hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Pucara Molina,https://www.booking.com/hotel/cl/hostal-pucara-molina.es.html?aid=2410095,"Hostal Pucara Molina se encuentra en Molina, a 20 km de Estadio La Granja, y ofrece alojamiento con jardín, parking privado gratis y salón de uso común. El alojamiento dispone de servicio de habitaciones y mostrador de información turística.

Las habitaciones del alojamiento tienen baño privado con ducha y secador de pelo. También disponen de wifi gratis, y algunas de las habitaciones tienen vistas a la piscina.

En el albergue se puede disfrutar de un desayuno continental.","Servicio de lavandería, Extintores, Llave de acceso, Información turística, De temporada, WiFi gratis, Registro de entrada y salida exprés, Registro de entrada / salida privado, Piscina al aire libre, Baños públicos, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Mobiliario exterior, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Español, Calefacción, Servicio de planchado, Ducha, Toallas, Buen desayuno, Servicio de limpieza diario, Jardín, Proporciona factura, Almuerzos para llevar, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Zona de juegos interior, Detectores de humo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de pícnic, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546055481.jpg?k=18b0b240e5ba8c38c34a7a68802be7dab200e1336f183377e2fbccfa237f2f3c&o=&hp=1,Molina,Chile
Hostal Radal Molina,https://www.booking.com/hotel/cl/radal.es.html?aid=2410095,"Hostal Radal Molina está en Molina, a 19 km de Estadio La Granja, y dispone de alojamiento con jardín, parking privado gratis y salón de uso común. El albergue libre de humo dispone de wifi gratis en todo el alojamiento.

En el albergue se puede disfrutar de un desayuno continental.","Extintores, Llave de acceso, Desayuno, WiFi gratis, Bañera, Cámaras de seguridad en las zonas comunitarias, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Español, Calefacción, Ducha, Jardín, Cafetería en el alojamiento, Parking gratis, Detectores de humo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/163877477.jpg?k=9c4e43be2c52092c4cfca44a3625874fb5098fd04da769c815f821daae26c97b&o=&hp=1,Molina,Chile
Lagar Hotel Boutique,https://www.booking.com/hotel/cl/lagar-boutique.es.html?aid=2410095,"El Lagar Hotel Boutique ofrece alojamiento con salón compartido en Molina, a 45 km de 7 tazas. El establecimiento alberga un restaurante y un bar. Además, ofrece vistas al jardín.

Los alojamientos del hotel están equipados con TV de pantalla plana. Las habitaciones del Lagar Hotel Boutique disponen de conexión WiFi gratuita y baño privado con ducha y artículos de aseo gratuitos. Todas las habitaciones tienen aire acondicionado y armario.

El Lagar Hotel Boutique ofrece un desayuno continental.","Inglés, Bar, TV de pantalla plana, Extintores, Llave de acceso, Insonorización, Restaurante, Ropa de cama, Productos de limpieza, Zona de comedor, Menús para dietas especiales (bajo petición), Utensilios de planchado, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Suelo de madera o parquet, Mobiliario exterior, Muy buen desayuno, TV, Menú para niños, Español, Calefacción, Bañera o ducha, Canales vía satélite, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Almuerzos para llevar, Canales por cable, Tour o clase sobre cultura local, Seguridad 24 horas, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Detectores de humo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/141258031.jpg?k=24f1678f2ce075eef545d10b66f985cc45856d61d32171d8707015825240be25&o=&hp=1,Molina,Chile
Hostal Aleros,https://www.booking.com/hotel/cl/hostal-adobes-de-molina.es.html?aid=2410095,"Hostal Aleros se encuentra en Molina, a 21 km de Estadio La Granja, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Se ofrece wifi gratis y servicio de habitaciones.

Las habitaciones del alojamiento disponen de baño privado, y algunas tienen además zona de estar.

En el hostal o pensión se sirve todas las mañanas un desayuno continental.

Puedes jugar al ping-pong en Hostal Aleros.","Tumbonas/sillas de playa, Bar, Extintores, Llave de acceso, Sombrillas, De temporada, Menús para dietas especiales (bajo petición), Ping pong, Desayuno, Zona poco profunda, WiFi gratis, Juguetes para la piscina, Piscina al aire libre, Barbacoa, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Baños públicos, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Menú para niños, Español, Calefacción, Caja fuerte, Valla alrededor de la piscina, Jardín, Almuerzos para llevar, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Detectores de humo, Zona TV / salón de uso compartido, Zona de pícnic, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547031437.jpg?k=40234500f17eb23a1a32c7a4cbf6a9f45bf238d767bf21849c33cc6083e66d12&o=&hp=1,Molina,Chile
Casa Familiar Las Yerbas,https://www.booking.com/hotel/cl/particular-sin-nombre.es.html?aid=2410095,"Casa Familiar Las Yerbas está en Molina y dispone de wifi gratis, jardín, salón de uso común y terraza.

Algunas unidades disponen de TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y baño compartido con bidet y secador de pelo.

Estadio La Granja está a 21 km del alojamiento.","Pista de tenis, Terraza, Extintores, Llave de acceso, Información turística, Parking en la calle, Desayuno fantástico, Prohibido fumar en todo el alojamiento, Español, Eventos deportivos en directo (emisión), Senderismo, Jardín, Tours a pie, Seguridad 24 horas, Ruta de bares, Parking gratis, Detectores de humo, Zona TV / salón de uso compartido, Baño compartido, Habitaciones familiares, Tours en bici, Wifi buena gratis (33 Mbps), Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/168314098.jpg?k=0d6ff3c46b5fbf10323c7a881aca430bd43ef790167d2b2c0369a6d1666bcea6&o=&hp=1,Molina,Chile
Casa cerca Radal 7 tazas,https://www.booking.com/hotel/cl/casa-cerca-radal-7-tazas.es.html?aid=2410095,"Casa cerca Radal 7 tazas, que tiene piscina privada y vistas al jardín, se encuentra en Molina. El alojamiento, que está a 19 km de Estadio La Granja, dispone de terraza y parking privado gratis.

Esta casa o chalet cuenta con 1 dormitorio, TV de pantalla plana y cocina.","Español, Parking gratis, Piscina, Piscina privada, Terraza, TV de pantalla plana, Vistas al jardín, Cocina, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/514389295.jpg?k=390ee08d3551943ceeed4483e0edfbc19c3cfa6259da8705c8ab80721ccf3373&o=&hp=1,Molina,Chile
Casa Campestre,https://www.booking.com/hotel/cl/habitacion-matrimonial-en-casa-campestre-con-bano-privador.es.html?aid=2410095,"Casa Campestre está en Molina, en la región de Maule Region, y dispone de balcón y vistas a la piscina. Esta casa rural tiene piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

Esta casa rural con aire acondicionado consta de 2 dormitorios, una sala de estar, una zona de cocina totalmente equipada con nevera y hervidor, y 2 baños con ducha y secador de pelo. Hay TV de pantalla plana.

En la recepción 24 horas se hablan varios idiomas, como español y francés.

Hay piscina al aire libre y terraza en este alojamiento, y en la zona se puede practicar senderismo y ciclismo.

Estadio La Granja está a 30 km del alojamiento, y 7 tazas está a 44 km.","Tumbonas/sillas de playa, Terraza, De temporada, TV de pantalla plana, Extintores, Llave de acceso, Productos de limpieza, Zona de fumadores, Vistas al jardín, Zona de comedor, Escritorio, Información turística, Utensilios de planchado, Cama plegable, Perchero, Plancha para pantalones, Sofá, Plancha para ropa, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Tendedero, Estación de carga de vehículos eléctricos, Patio, Zona de estar, Registro de entrada / salida privado, Piscina al aire libre, Barbacoa, Entrada privada, Suelo de madera o parquet, Mobiliario exterior, Horno, Lavadora, Español, Calefacción, Bañera o ducha, Microondas, Utensilios de cocina, Piscina privada, Francés, Ducha, Vistas a un patio interior, Papel higiénico, Armario, Mesa de comedor, Toallas, Senderismo, Para todas las edades, Vestidor, Jardín, Proporciona factura, Suelo de baldosa / mármol, Tours a pie, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Sombrillas, Secador de pelo, Ciclismo, Recepción 24 horas, WC, Aire acondicionado, Zona de pícnic, Habitaciones familiares, Tours en bici, Balcón, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419207661.jpg?k=5588fb25578ed6c131264e1155f6a0728d3d2e08514894dffc4041c3cce6bfe9&o=&hp=1,Molina,Chile
HostalValverde,https://www.booking.com/hotel/cl/hostalvalverde.es.html?aid=2410095,"HostalValverde está en Curicó, a 19 km de Estadio La Granja, y tiene terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación incluye un balcón con vistas a la montaña. En HostalValverde, las habitaciones incluyen baño privado con ducha.","Nevera, Español, Terraza, Baño privado, Vistas a la montaña, Utensilios de cocina, Ducha, Tetera / cafetera, Prohibido fumar en todo el alojamiento, Inglés, Mesa de comedor, Vistas, WC, WiFi gratis, Balcón, Calefacción, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582503120.jpg?k=92d3cf20bf7f034ba6325a70ef37ec6e274846d8341eb40e50a27011458ba134&o=&hp=1,Molina,Chile
Hotel Boutique Raíces,https://www.booking.com/hotel/cl/raices-curico.es.html?aid=2410095,"El Hotel Boutique Raíces está ubicado en Curicó y proporciona alojamiento, WiFi gratuita y un desayuno gratuito.

Las habitaciones están equipadas con TV de pantalla plana, baño privado, calefacción, aire acondicionado y escritorio.

El Hotel Boutique Raíces también alberga un restaurante de alta cocina tradicional chilena. Además, hay recepción 24 horas, jardín, terraza, instalaciones para reuniones y un salón compartido.

El establecimiento está a solo 1 calle de la plaza principal de Curicó, a 2 calles del centro comercial Mall Valle y a 3 calles del cerro Condell. El aeropuerto de Talca se halla a 55 km. El servicio de traslado comporta un suplemento.","Terraza, Tarjeta de acceso, Extintores, Información turística, Adaptado personas de movilidad reducida, Teléfono, Servicio de conserjería, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Chimenea exterior, Salas de reuniones / banquetes, Servicio de aparcacoches, Sala de juegos, Jardín, Tours a pie, Cafetería en el alojamiento, Música / espectáculos en directo, Aseo adicional, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Restaurante, Juegos de mesa / puzles, Cuerda de emergencia en el baño, Barbacoa, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Ducha, Servicio de despertador / alarma, Artículos de aseo gratis, Alquiler de bicicletas, TV de pantalla plana, Ropa de cama, Zona de fumadores, Enchufe cerca de la cama, Habitaciones sin humo, Menú para niños, Español, Vistas a la ciudad, Servicio de planchado, Armario, Toallas, Canales de pago, Canales por cable, WC con barras de apoyo, Parking gratis, Baño privado, Detectores de humo, Zona TV / salón de uso compartido, WC, Accesible para personas sordas, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Tendedero, Papel higiénico, Inglés, Bar, Snack-bar, Servicio de lavandería, Insonorización, Sombrillas, Menús para dietas especiales (bajo petición), Plancha para ropa, WiFi gratis, Registro de entrada y salida exprés, Baños públicos, Mobiliario exterior, Muy buen desayuno, Terraza / solárium, Centro de negocios, Bañera o ducha, Guardaequipaje, Servicio de limpieza diario, Senderismo, Proporciona factura, Parking en un garaje, Vino / champán, Secador de pelo, Aire acondicionado, Galerías de arte temporales",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515978895.jpg?k=5d519914328156f9e9dbc0c7e5b31ef957888b7348dfd8362f878137e75e50ad&o=&hp=1,Molina,Chile
Hotel Diego de Almagro Curicó,https://www.booking.com/hotel/cl/diego-de-almagro-curico.es.html?aid=2410095,"El Hotel Diego de Almagro Curicó ofrece WiFi gratuita en todas sus instalaciones y se encuentra a solo 1,2 km de la estación de tren de la ciudad. Alberga un centro de fitness, presta servicio de recepción 24 horas y ofrece habitaciones con aire acondicionado y baño privado.

Las habitaciones de este hotel están equipadas con TV con canales por cable.

Todas las mañanas se sirve un desayuno buffet.

En el Hotel Diego de Almagro Curicó hay una gran variedad de instalaciones de bienestar, incluida una sauna.

San Fernando está a 50 km del alojamiento.","Tumbonas/sillas de playa, Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Restaurante, Ropa de cama, Escritorio, WiFi gratis, Enchufe cerca de la cama, Piscina climatizada, Bañera, Piscina interior, Teléfono, Suelo de madera o parquet, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Español, Centro de negocios, Calefacción, Caja fuerte, Sauna, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Para todas las edades, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Secador de pelo, Horario de apertura, Recepción 24 horas, Ascensor, Toallas de playa/piscina, Aire acondicionado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/434218701.jpg?k=251e8fcc610a98f77b7f3270635c26608647b97238faa5e8f0c4fd77664de58c&o=&hp=1,Molina,Chile
