hotel,hotel_url,description,popular_facilities,highres_url,city,country
Villa Romero Convenciones,https://www.booking.com/hotel/pe/villa-romero-convenciones.es.html?aid=2410095,"Villa Romero Convenciones está en Monsefú, a 14 km de Estadio Elías Aguirre, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas ofrece recepción 24 horas. Hay bar.

En el hotel, las habitaciones están equipadas con escritorio y TV de pantalla plana. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado equipado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones también ofrecen balcón.

En Villa Romero Convenciones se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 11 km.","Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Perchero, Terraza, Papel higiénico, Bar, WiFi gratis, Toallas / sábanas (por un suplemento), Toallas, Jardín, Artículos de aseo gratis, Español, Aire acondicionado, Baño privado, Habitaciones sin humo, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567406367.jpg?k=7dc43b691e62b8eee39a447aa8d0248bfa8a20e20267e99a4a3b774ff8301c69&o=&hp=1,Monsefú,Perú
FINCA JAZMIN,https://www.booking.com/hotel/pe/finca-jazmin.es.html?aid=2410095,"FINCA JAZMIN se encuentra a solo 15 km de Estadio Elías Aguirre y ofrece alojamiento en Monsefú con jardín y terraza, además de recepción 24 horas. La casa o chalet, que cuenta con parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

La casa o chalet incluye 2 dormitorios, 3 baños con bañera, una sala de estar y una cocina.

En FINCA JAZMIN se puede usar la zona de juegos infantil.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 10 km.","Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de cocina, Noches de cine, Parking gratis, Radio, Tours en bici, Terraza, Bañera o ducha, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Habitaciones comunicadas disponibles, Karaoke, Proporciona factura, Libros, DVD o música para niños, Registro de entrada / salida privado, Jardín, Juegos de mesa / puzles, Productos de limpieza, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Español, Balcón, Habitaciones sin humo, Vistas, Zona de juegos para niños, Zona de pícnic, Cocina, Recepción 24 horas, Baño compartido, Senderismo, Camas extralargas (más de 2 metros), Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536683638.jpg?k=df429d4cd81c92c255f47cdfd0e32ec12c5ff0c99e0052ba9c66bf75e782fb92&o=&hp=1,Monsefú,Perú
Los Bungalows Del Tío San,https://www.booking.com/hotel/pe/los-bungalows-del-tio-san.es.html?aid=2410095,"Los Bungalows Del Tío San se encuentra en Chiclayo, a 10 km de Estadio Elías Aguirre, y ofrece alojamiento con jardín, parking privado gratis y restaurante. El hotel dispone de habitaciones familiares.

En el hotel, todas las habitaciones tienen baño privado y ducha, y algunas también ofrecen balcón.

En Los Bungalows Del Tío San se sirve todas las mañanas un desayuno americano.

El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 6 km.","Habitaciones sin humo, Papel higiénico, Jardín, Prohibido fumar en todo el alojamiento, Perchero, Inglés, Piscina, Desayuno, Parking gratis, Ducha, Español, Baño privado, Servicio de habitaciones, Habitaciones familiares, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565805324.jpg?k=5ce18da9ecf4e340b186b0719510d5a52c038300dd2412b877e6485ec932de0e&o=&hp=1,Monsefú,Perú
Marakos Pimentel,https://www.booking.com/hotel/pe/marakos.es.html?aid=2410095,"Marakos Pimentel se encuentra en Pimentel, a 7 min a pie de Playa Pimentel, y ofrece alojamiento con jardín, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo está a 14 min a pie de Playa Las Rocas.

En el hotel, las habitaciones incluyen escritorio. Marakos Pimentel dispone de algunas unidades con balcón, y todas tienen baño privado con ducha y artículos de aseo gratuitos. En el alojamiento, todas las habitaciones están equipadas con ropa de cama y toallas.

Estadio Elías Aguirre está a 13 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 15 km.","Playa, Prohibido fumar en todo el alojamiento, Plancha para pantalones, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Sombrillas, Llave de acceso, Servicio de limpieza diario, Salas de reuniones / banquetes, Happy hour, Terraza, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Mobiliario exterior, WiFi gratis, Inglés, Baños públicos, Pesca, Menú para niños, Alarma de seguridad, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Tumbonas/sillas de playa, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Fax / fotocopiadora, Almuerzos para llevar, Español, Baño privado, Habitaciones sin humo, Extintores, Restaurante, Zona de pícnic, Recepción 24 horas, Guardaequipaje, Escritorio, Ropa de cama, Ducha, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503399619.jpg?k=b3b6468f21af9429183ba588196dad789557a8e23c951c91886f4d3969d9ba59&o=&hp=1,Monsefú,Perú
Hotel Garuda Pimentel,https://www.booking.com/hotel/pe/garuda-pimentel.es.html?aid=2410095,"Hotel Garuda Pimentel ofrece habitaciones en Pimentel, cerca de Playa Pimentel y de Playa Las Rocas. Hay parking privado en el propio alojamiento.

En el hotel, cada habitación tiene balcón.

En Hotel Garuda Pimentel se sirve todos los días un desayuno continental.

Estadio Elías Aguirre está a 12 km del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 15 km del alojamiento.","Vistas, Prohibido fumar en todo el alojamiento, Desayuno, TV de pantalla plana, Parking privado, Español, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564636192.jpg?k=e1b5128537ba2d174c9ff007bbaed902b072c791c4e29d6299198fffa2a6d4ab&o=&hp=1,Monsefú,Perú
Rooms Pimentel Beach,https://www.booking.com/hotel/pe/rooms-pimentel-beach.es.html?aid=2410095,"Rooms Pimentel Beach está a 5 min a pie de Playa Pimentel y ofrece alojamiento con balcón. Hay wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales vía satélite y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Después de un día de pesca o ciclismo, la clientela puede relajarse en el salón de uso común.

Playa Las Rocas está a 17 min a pie del alojamiento, y Estadio Elías Aguirre está a 12 km. El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 15 km.","Playa, Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de comedor exterior, Canales vía satélite, Utensilios de planchado, Zona de cocina, Plancha para pantalones, Plancha para ropa, Zona de comedor, Llave de acceso, Servicio de limpieza diario, Perchero, Bañera o ducha, Vistas a un patio interior, Pista de tenis, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Utensilios de cocina, Seguridad 24 horas, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Nevera, Pesca, Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Aeróbic, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Mosquitera, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Microondas, Horno, Español, Baño privado, Balcón, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Servicio de streaming (como Netflix), Cocina, Tendedero, TV de pantalla plana, Ropa de cama, Entrada privada, Parking privado, Tetera / cafetera, Ducha, Ventilador, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565872370.jpg?k=7278a94da1a452c221d32a7383b16fb051973645e1bb39963c4bb3c9afa490ee&o=&hp=1,Monsefú,Perú
CASA AMOBLADA en GALILEA 2 PIMENTEL,https://www.booking.com/hotel/pe/casa-amoblada-en-galilea-2-pimentel.es.html?aid=2410095,"CASA AMOBLADA en GALILEA 2 PIMENTEL está en Santo Domingo, a solo 9,2 km de Estadio Elías Aguirre, y dispone de alojamiento con vistas al jardín, wifi gratis y parking privado gratis.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 7 km.","Vistas, Prohibido fumar en todo el alojamiento, Vistas al jardín, Cocina, WiFi gratis, Zona de cocina, TV de pantalla plana, Parking gratis, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582875359.jpg?k=6f120736cfb8c469a4b9bb65db50ea140bdcd5473612733cf38f062c53e15523&o=&hp=1,Monsefú,Perú
Hotel La Posada Del Ingles,https://www.booking.com/hotel/pe/la-posada-del-ingles.es.html?aid=2410095,"El Hotel La Posada Del Ingles se encuentra en Chiclayo y ofrece jardín, piscina en la terraza, restaurante, conexión Wi-Fi gratuita e instalaciones para reuniones. El desayuno está incluido. La playa de Pimentel y Santa Rosa se encuentran a 5 minutos en coche y el aeropuerto de Chiclayo, a 10 minutos en coche.

Las habitaciones de La Posada Del Ingles son tranquilas y cuentan con baño privado y vistas al jardín. Hay servicio de habitaciones y servicio de lavandería bajo petición.

La Posada Del Ingles sirve un desayuno inglés y un desayuno continental diario. El restaurante sirve platos internacionales y regionales.
Se preparan platos vegetarianos y de gluten bajo petición.

El Hotel La Posada Del Ingles se encuentra a 15 minutos en coche del Museo Arqueológico Nacional de Monsefu, de las pirámides de Ticucume y de las tumbas reales de Sipán. Hay aparcamiento privado gratuito.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Instalaciones para deportes acuáticos en el alojamiento, Plancha para pantalones, Muy buen desayuno, Parking gratis, Sombrillas, Terraza, Canguro / servicios para niños, Zona de spa / relajación, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Proporciona factura, Zona de fumadores, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Centro de negocios, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Zona TV / salón de uso compartido, Extintores, Horario de apertura, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Traslado aeropuerto, Tour o clase sobre cultura local, 2 piscinas, Vino / champán, Galerías de arte temporales, Servicios de belleza, Piscina infantil, Fax / fotocopiadora, Habitaciones sin humo, Guardaequipaje, Peluquería / salón de belleza, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Servicio de lavandería, Servicio de aparcacoches, Cámaras de seguridad fuera del alojamiento, Servicios de maquillaje, Menú para niños, Snack-bar, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Club infantil, Zona poco profunda, Adaptado para sillas de ruedas, Playa, Zona de juegos interior, Menús para dietas especiales (bajo petición), Cambio de moneda, Caja fuerte, Seguridad 24 horas, Servicio de conserjería, Inglés, Alquiler de coches, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Información turística, Juguetes para la piscina, Restaurante, Zona de juegos para niños, Zona de pícnic, Parque acuático, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/398246243.jpg?k=83fe9aac9ec7d2a44caae5939db74af3ced1c13688ce2f8511ec0f133d227b2f&o=&hp=1,Monsefú,Perú
Casa Huéspedes Pimentel,https://www.booking.com/hotel/pe/casa-huespedes-pimentel.es.html?aid=2410095,"Casa Huéspedes Pimentel está a pocos pasos de Playa Pimentel y ofrece salón de uso común, además de alojamiento con patio y wifi gratis.

El bed and breakfast ofrece terraza, vistas a la ciudad, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y lavavajillas, y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Playa Las Rocas está a 15 min a pie del alojamiento, y Estadio Elías Aguirre está a 12 km. El aeropuerto más cercano (Aeropuerto Internacional Capitán FAP José Abelardo Quiñónez Gonzales) está a 15 km.","Playa, Minibar, Protector de enchufes para niños, Mesa de comedor, Zona de comedor exterior, Barbacoa, Servicio de planchado, Zona de cocina, Plancha para pantalones, Desayuno, Prohibido fumar en todo el alojamiento, Zona de comedor, Menús para dietas especiales (bajo petición), Plancha para ropa, Cambio de moneda, Llave de acceso, Servicio de limpieza diario, Utensilios de planchado, Perchero, Salas de reuniones / banquetes, Terraza, Pediluvio, Bañera o ducha, Vistas a un patio interior, Zona de estar, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Utensilios de cocina, Mobiliario exterior, TV, Lavavajillas, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Nevera, Menú para niños, Barandillas de seguridad para bebés, Wifi buena gratis (24 Mbps), WC, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Snack-bar, Registro de entrada / salida privado, Artículos de aseo gratis, Secador de pelo, Microondas, Información turística, Productos de limpieza, Fax / fotocopiadora, Horno, Español, Baño privado, Patio, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Servicio de streaming (como Netflix), Cocina, Tendedero, TV de pantalla plana, Ropa de cama, Entrada privada, Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/474092189.jpg?k=34c649ad4ad18c6f3bcc03b7b3afeb3e34dc9b099c660f3fc35cc6d00751099f&o=&hp=1,Monsefú,Perú
Villa Santa,https://www.booking.com/hotel/pe/villa-santa.es.html?aid=2410095,"La Villa Santa ofrece alojamientos en Chiclayo, a solo 5 minutos en coche del aeropuerto. Los huéspedes podrán disfrutar de conexión WiFi gratuita, además de un desayuno gratuito todos los días.

Las habitaciones disponen de escritorio y baño privado con ducha y artículos de aseo gratuitos. También cuentan con TV de pantalla plana con canales por cable.

El personal de recepción de la Villa Santa está disponible las 24 horas del día. También se ofrece servicio diario de camarera de pisos.

Este establecimiento está situado a 2 minutos en coche de la estación de autobuses y a solo 7 minutos en coche de la plaza principal de la localidad. También se ofrecen servicios de traslado, por un suplemento.","Servicio de planchado, Plancha para ropa, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Alarma de seguridad, Canales por cable, Servicio de traslado, Proporciona factura, Portugués, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Snack-bar, Vino / champán, Toallas, Artículos de aseo gratis, Información turística, Fax / fotocopiadora, Almuerzos para llevar, Español, Baño privado, Habitaciones sin humo, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Servicio de despertador / alarma, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Buen desayuno, Ducha, Ventilador, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/65219110.jpg?k=7c0144c7a0e428a6ec5802476f1fe3308993486f53641c24d2e6388fb8e4b6d5&o=&hp=1,Monsefú,Perú
