hotel,hotel_url,description,popular_facilities,highres_url,city,country
HOTEL OSCAR GOLD,https://www.booking.com/hotel/br/oscar-gold.es.html?aid=2410095,"HOTEL OSCAR GOLD está en Montes Claros, en la región de Minas Gerais, a 5,5 km de Centro de Convenciones de Bahía. Este hotel de 4 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Algunas habitaciones del alojamiento tienen un balcón con vistas a la ciudad.

Todas las habitaciones del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

La recepción ofrece ayuda las 24 horas.

El aeropuerto (Aeropuerto de Montes Claros) está a 5 km.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Extintores, Detector de monóxido de carbono, Restaurante, Toda la unidad accesible en silla de ruedas, WiFi gratis, Teléfono, Alarma de seguridad, Servicio de despertador, Mobiliario exterior, TV, Bañera o ducha, Ducha, Salas de reuniones / banquetes, Bidet, Mesa de comedor, Toallas, Buen desayuno, Artículos de aseo gratis, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Detectores de humo, Ascensor, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/306785584.jpg?k=52dead8b7650802f1f021ec07583b2a99a4c644d2d9d42bb8f9eb5937a585f2d&o=&hp=1,Montes Claros,Brasil
Dubai Suites,https://www.booking.com/hotel/br/dubai-suites.es.html?aid=2410095,"El Dubai Suites ofrece piscina infinita y alojamiento sofisticado en la localidad de Montes Claros. Este hotel alberga un restaurante y un moderno centro de fitness. Hay WiFi gratuito en todas las instalaciones.

Los alojamientos del Dubai Suites disponen de TV LED con canales vía satélite y baño privado con secador de pelo y artículos de aseo gratuitos.

Se sirve un desayuno buffet a diario en la zona de desayuno. Este hotel también cuenta con sauna.","Terraza, Tarjeta de acceso, Abierta todo el año, Extintores, Boles para mascotas, Adaptado personas de movilidad reducida, Piscina al aire libre, Teléfono, Alarma de seguridad, TV, Habitaciones insonorizadas, Buffet para niños, Salas de reuniones / banquetes, Taquillas en el gimnasio / spa, Música / espectáculos en directo, Zona de juegos interior, Recepción 24 horas, Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Restaurante, Escritorio, Happy hour, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Cochecitos de bebé, Ducha, Bar en la piscina, Valla alrededor de la piscina, Artículos de aseo gratis, Cesta para mascotas, Bañera de hidromasaje / jacuzzi, TV de pantalla plana, Ropa de cama, Perchero, Enchufe cerca de la cama, Baño de vapor, Piscina con vistas, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Toallas de playa/piscina, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Bar, Servicio de lavandería, Menús para dietas especiales (bajo petición), WiFi gratis, Registro de entrada y salida exprés, Parking privado, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Habitaciones hipoalergénicas, Terraza / solárium, Centro de negocios, Guardaequipaje, Canales vía satélite, Servicio de limpieza diario, Desayuno en la habitación, Seguridad 24 horas, Parking en un garaje, Vino / champán, Secador de pelo, Desayuno excepcional, Aire acondicionado, Zona de spa / relajación, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/111879166.jpg?k=8ab8bd548f7b96080dce87e089fe55f3eb9fcae98c6e56351a20ffda99326fe1&o=&hp=1,Montes Claros,Brasil
Hotel Amsterdam Montes Claros,https://www.booking.com/hotel/br/amsterdam-apart.es.html?aid=2410095,"Hotel Amsterdam Montes Claros está en Montes Claros, en la región de Minas Gerais, a 9,1 km de Centro de Convenciones de Bahía. Este hotel de 4 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado en el propio alojamiento.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable y caja fuerte. Algunas habitaciones cuentan con cocina con microondas. En el hotel, las habitaciones disponen de ropa de cama y toallas.

En Hotel Amsterdam Montes Claros se puede disfrutar de un desayuno buffet o continental.

El personal de la recepción 24 horas puede dar consejos sobre la zona.

El aeropuerto (Aeropuerto de Montes Claros) está a 3 km.","Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Extintores, Restaurante, Ropa de cama, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Parking privado, Baño de vapor, Registro de entrada / salida privado, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Bidet, Servicio de despertador / alarma, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Canales por cable, Servicio de limpieza en seco, Parking en un garaje, Baño privado, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/240030477.jpg?k=417c8a01dbabf8403dc4612ba8610a68349d81376241c60af2ee8ebffbd7138b&o=&hp=1,Montes Claros,Brasil
Hotel Minas Brasil,https://www.booking.com/hotel/br/minas-brasil.es.html?aid=2410095,"Hotel Minas Brasil está en Montes Claros, a 5,2 km de Centro de Convenciones de Bahía, y dispone de alojamiento con wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones cuentan con armario. Todas las habitaciones del alojamiento tienen baño privado con ducha, TV y aire acondicionado. Algunas de las habitaciones también cuentan con zona de estar. En Hotel Minas Brasil, las habitaciones cuentan con ropa de cama y toallas.

El personal de la recepción 24 horas puede ayudar a la clientela con cualquier consulta que tenga.

El aeropuerto (Aeropuerto de Montes Claros) está a 5 km.","Desayuno fabuloso, Ropa de cama, WiFi gratis, Hipoalergénico, Teléfono, Servicio de despertador, TV, Habitaciones hipoalergénicas, Minibar, Canales vía satélite, Ducha, Armario, Toallas, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/65372280.jpg?k=608b88b01681d28c9f2b039bd81090499f62356bf1f397f0e3da351cf64f2e3a&o=&hp=1,Montes Claros,Brasil
NORTH HOTEIS,https://www.booking.com/hotel/br/north-hoteis.es.html?aid=2410095,"NORTH HOTEIS está en Montes Claros, a 5,2 km de Centro de Convenciones de Bahía, y dispone de alojamiento con wifi gratis y parking privado gratis. Hay vistas a la ciudad.

En el hotel, las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones cuentan con nevera.

En NORTH HOTEIS se puede disfrutar de un desayuno buffet.

El personal de la recepción 24 horas habla español y portugués, y siempre está dispuesto a echar una mano.

El aeropuerto (Aeropuerto de Montes Claros) está a 5 km.","TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Escritorio, Perchero, WiFi gratis, Registro de entrada / salida privado, Teléfono, Fruta, Alarma de seguridad, TV, Prohibido fumar en todo el alojamiento, Menú para niños, Español, Caja fuerte, Buffet para niños, Bañera o ducha, Supermercado pequeño en el alojamiento, Vistas a la ciudad, Ducha, Papel higiénico, Salas de reuniones / banquetes, Toallas, Buen desayuno, Artículos de aseo gratis, Proporciona factura, Canales por cable, Cafetería en el alojamiento, Nevera, Parking gratis, Baño privado, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539942662.jpg?k=6a871451e5d7b1cbac2eea90a7c3ce4d55f000e4a5dc3252bf10fbbd40120345&o=&hp=1,Montes Claros,Brasil
ibis Montes Claros Shopping,https://www.booking.com/hotel/br/ibis-montes-claros-shopping.es.html?aid=2410095,"El Ibis Montes Claros Shopping ofrece habitaciones con aire acondicionado, TV de pantalla plana y conexión WiFi gratuita a 3 km del centro de Montes Claros y dentro del centro comercial Montes Carlos.

Las habitaciones son cómodas y disponen de suelo de madera, minibar, teléfono, secador de pelo y TV por cable. El establecimiento alberga un centro de negocios y una recepción 24 horas con caja fuerte. El servicio de lavandería está disponible por un suplemento.

El Ibis Montes Claros alberga un bar restaurante y está a 2 minutos a pie de otros sitios para comer. Se sirve un desayuno por un suplemento.

El aeropuerto Mario Ribeiro está a 12 km, mientras que la estación de autobuses Montes Claros se encuentra a solo 5 minutos a pie. Hay aparcamiento gratuito.","Inglés, Bar, Servicio de lavandería, Restaurante, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Centro de negocios, Caja fuerte, Bañera o ducha, Ducha, Servicio de limpieza diario, Buen desayuno, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528884134.jpg?k=acf4e57679251b8c2eebad23514e84a5b73452aac6f73c1ba34865e21d8f8c0a&o=&hp=1,Montes Claros,Brasil
Hotel Nacional Montes Claros,https://www.booking.com/hotel/br/nacional-montes-claros.es.html?aid=2410095,"Hotel Nacional Montes Claros se encuentra en Montes Claros, en la región de Minas Gerais, a 6,1 km de Centro de Convenciones de Bahía. Este alojamiento ofrece restaurante, recepción 24 horas y guardaequipaje, además de wifi gratis en todo el alojamiento. Se ofrece parking privado por un suplemento.

En el hotel, cada habitación incluye armario. Hotel Nacional Montes Claros ofrece algunas habitaciones con vistas incluyen, y todas tienen baño privado con ducha.

El aeropuerto más cercano (Aeropuerto de Montes Claros) está a 5 km del alojamiento.","Restaurante, Desayuno, WiFi gratis, Enchufe cerca de la cama, Parking privado, Ventilador, Parking adaptado para personas de movilidad reducida, Español, Guardaequipaje, Ducha, Papel higiénico, Armario, Toallas, Servicio de limpieza diario, Parking en un garaje, Baño privado, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/117837448.jpg?k=be584530452115b9a3ad26ada07f856fed9f7fca2d2860e7adf817f331acea09&o=&hp=1,Montes Claros,Brasil
Rametta Hotel,https://www.booking.com/hotel/br/rametta.es.html?aid=2410095,"Rametta Hotel está en Montes Claros, a 6,1 km de Centro de Convenciones de Bahía, y dispone de habitaciones con aire acondicionado. Hay terraza solárium, wifi gratis y parking privado gratis.

En el hotel, las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones cuentan con minibar.

El personal de recepción habla tanto inglés como portugués y está siempre dispuesto a echar una mano.

El aeropuerto (Aeropuerto de Montes Claros) está a 5 km.","Inglés, TV de pantalla plana, Extintores, Desayuno fabuloso, Ropa de cama, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Minibar, Terraza / solárium, Calefacción, Servicio de planchado, Ducha, Armario, Toallas, Servicio de limpieza diario, Cesta para mascotas, Proporciona factura, Desayuno en la habitación, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/78279817.jpg?k=293eb1832f3dd2bcf773bdb044e1df832341a8560bcfa43dcccaeb0a95ac2523&o=&hp=1,Montes Claros,Brasil
kitnet 13 central com ar tv smart completa,https://www.booking.com/hotel/br/kitnet-13-central-com-ar-tv-smart-completa.es.html?aid=2410095,"Kitnet 13 central com ar tv smart completa se encuentra en Montes Claros, a solo 6,9 km de Centro de Convenciones de Bahía, y ofrece alojamiento con wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana, zona de comedor y cocina con microondas y minibar. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto de Montes Claros) está a 4 km del alojamiento.","TV de pantalla plana, Ropa de cama, Escritorio, Zona de comedor, Plancha para ropa, Perchero, WiFi gratis, Enchufe cerca de la cama, Ventilador, Fogones, Apartamento privado en edificio, TV, Prohibido fumar en todo el alojamiento, Minibar, Microondas, Ducha, Mesa de comedor, Toallas, Portugués, Tostadora, Secador de pelo, WC, Aire acondicionado, Cocina, Lavadora, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576800643.jpg?k=15db940aa8171a2b2757dd096f3d38e68542086c50079801a3b1410ee17dbdd3&o=&hp=1,Montes Claros,Brasil
Hotel Oscar Econômico Montes Claros,https://www.booking.com/hotel/br/oscar-economico.es.html?aid=2410095,"Hotel Oscar Econômico Montes Claros está en Montes Claros, a 5,4 km de Centro de Convenciones de Bahía, y dispone de alojamiento con salón de uso común, parking privado gratis y bar. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay vistas a la ciudad.

En el hotel, las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto (Aeropuerto de Montes Claros) está a 5 km.","Acceso a pisos superiores en ascensor, Bar, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Zona de comedor, Vistas a un lugar de interés, Enchufe cerca de la cama, Teléfono, Servicio de conserjería, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Calefacción, Bañera o ducha, Vistas a la ciudad, Ducha, Mesa de comedor, Vistas, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293971392.jpg?k=db09c51770987f0091586250f7b7a13fae8f817eaee8d6336bb3ba4c4a069015&o=&hp=1,Montes Claros,Brasil
