hotel,price,score,avg review,reviews count,image_links,hotel_url,popular_facilities,city,country,description
BALMORAL PLAZA HOTEL,US$76,"7,0",Bien,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/516400234.webp?k=72bcf494e65371eb1deaba3858a9ac6bd41d70f6631e86771b9429de9fd48f31&o=,https://www.booking.com/hotel/uy/balmoral-plaza-monteviseo.es.html?aid=2410095,"Recepción 24 horas, Ropa de cama, WC, Español, Baño privado, Bidet, Calefacción, Aire acondicionado, Caja fuerte, Inglés, Papel higiénico, WiFi gratis, Toallas, Armario, Desayuno, Ducha, Prohibido fumar en todo el alojamiento, Habitaciones sin humo",Montevideo,Uruguay,"BALMORAL PLAZA HOTEL está muy bien situado en el barrio de Centro de Montevideo, Montevideo, a pocos pasos de Plaza Cagancha, a menos de 1 km de Plaza de la Independencia y a 13 min a pie de Teatro Solís. Este hotel de 4 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. El alojamiento está a 2,5 km de Playa Ramírez y a 300 metros del centro de la ciudad.

En el hotel, las habitaciones tienen armario. En BALMORAL PLAZA HOTEL, cada habitación dispone de ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno sin gluten.

El personal de la recepción habla tanto inglés como español y puede ayudar a la clientela a planificar su estancia.

Cerca del alojamiento hay puntos de interés como Palacio Municipal, El Cabildo y Palacio Taranco. El aeropuerto (Aeropuerto internacional de Carrasco) está a 18 km."
Aloft Montevideo Hotel,US$179,"8,6",Fabuloso,607,https://cf.bstatic.com/xdata/images/hotel/max1024x768/448690648.webp?k=ea58e54a50ceeebb1ec81bf8cf264a389cb8782b955e11c940d07943627247c3&o=,https://www.booking.com/hotel/uy/aloft-montevideo.es.html?aid=2410095,"Música / espectáculos en directo, Snack-bar, Registro de entrada y salida exprés, Toallas de playa/piscina, Discoteca / DJ, Zona de juegos interior, Baño privado, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Aire acondicionado, Piscina interior, Billar, Fruta, Inglés, Registro de entrada / salida privado, Traslado aeropuerto, Happy hour, Cafetera, Servicio de traslado, Bar, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Adaptado personas de movilidad reducida, WC con barras de apoyo, Detectores de humo, Vino / champán, Salas de reuniones / banquetes, Seguridad 24 horas, Juegos de mesa / puzles, Calefacción, Portugués, Menús para dietas especiales (bajo petición), Sala de juegos, Servicio de conserjería, Extintores, Caja fuerte, Eventos deportivos en directo (emisión), Piscina climatizada, Prohibido fumar en todo el alojamiento, Alquiler de bicicletas, Recepción 24 horas, Muy buen desayuno, Cafetería en el alojamiento, Parking adaptado para personas de movilidad reducida, Gimnasio, Guardaequipaje, Ciclismo, Centro de negocios, Alarma de seguridad, Ascensor, Menú para niños, Tumbonas/sillas de playa, Buffet para niños, Parking en un garaje, Cámaras de seguridad en las zonas comunitarias, Terraza, Llave de acceso, Adaptado para sillas de ruedas, Cambio de moneda, Zona TV / salón de uso compartido, Español, Restaurante, WiFi gratis, Fax / fotocopiadora, Parking, Tarjeta de acceso, Habitaciones sin humo",Montevideo,Uruguay,"El Aloft Montevideo Hotel, situado a 3,6 km de la plaza Cagancha, Montevideo, ofrece restaurante, bar y conexión WiFi gratuita.

Todas las habitaciones son para no fumadores y disponen de TV de pantalla plana con canales por cable y baño privado con ducha. Algunos alojamientos tienen vistas al río o a la ciudad.

Hay recepción 24 horas, piscina, centro de negocios y centro de fitness.

La Plaza de la Independencia está a 4,2 km, el teatro Solís queda a 4,3 km y el El aeropuerto más cercano, el Internacional de Carrasco, se encuentra a 16 km del Aloft Montevideo Hotel."
Days Inn by Wyndham Montevideo,US$61,"8,1",Muy bien,3.546,https://cf.bstatic.com/xdata/images/hotel/max1024x768/285904296.webp?k=af5b29aba883b3c08d24711e029a2b674d3229805aef346c7b317ce1348a51cd&o=,https://www.booking.com/hotel/uy/days-inn.es.html?aid=2410095,"Teléfono, Baño privado, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Aire acondicionado, Proporciona factura, Inglés, Productos de limpieza, Armario, Servicio de traslado, Habitaciones insonorizadas, Ducha, Toallas, Buen desayuno, Vistas a la ciudad, Enchufe cerca de la cama, Secador de pelo, Detectores de humo, Canales vía satélite, Salas de reuniones / banquetes, Seguridad 24 horas, Calefacción, Bidet, Portugués, Extintores, Caja fuerte, Servicio de limpieza diario, Nevera, Parking privado, Prohibido fumar en todo el alojamiento, Perchero, Recepción 24 horas, Tendedero, Ropa de cama, WC, Radio, Insonorización, Gimnasio, Vistas, Guardaequipaje, Centro de negocios, Reloj despertador, Ascensor, Papel higiénico, Alarma de seguridad, Plancha para ropa, Servicio de habitaciones, Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Español, Servicio de planchado, Fax / fotocopiadora, Artículos de aseo gratis, Canales por cable, Servicio de despertador, Información turística, WiFi gratis, Habitaciones familiares, Habitaciones sin humo, TV",Montevideo,Uruguay,"Este hotel goza de una ubicación idónea en el centro de Montevideo, a solo unos minutos a pie del Obelisco y del centro comercial Tres Cruces Shopping. Se facilita aparcamiento privado por un suplemento. También se proporciona WiFi gratuita.

El Days Inn by Wyndham Montevideo sirve desayunos.

Todas las habitaciones del Days Inn by Wyndham Montevideo presentan una decoración sencilla y cuentan con minibar, aire acondicionado y escritorio.

El Days Inn by Wyndham Montevideo está situado a poca distancia de las tiendas, restaurantes y playas de Montevideo. La recepción está abierta las 24 horas y ofrece servicio de traslado.

El Days Inn by Wyndham Montevideo se encuentra a 2,5 km de la plaza del Entrevero, a 3,2 km de la plaza de la Independencia y a 4,7 km del recinto Antel Arena. Asimismo, el establecimiento se halla a 14,2 km del aeropuerto internacional de Carrasco."
ibis Montevideo Rambla,US$60,"8,2",Muy bien,2.608,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251931020.webp?k=1fdc458ad2f0a8785b3574090e2f7f5823c9a1b8dda662f0836c702ace900637&o=,https://www.booking.com/hotel/uy/ibis-montevideo-montevideo.es.html?aid=2410095,"Alquiler de coches, Teléfono, Baño privado, TV de pantalla plana, Aire acondicionado, Proporciona factura, Boles para mascotas, Inglés, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Servicio de traslado, Armario, WC con barras de apoyo, Bar, Ducha, Buen desayuno, Cajero automático en el hotel, Secador de pelo, Vino / champán, Detectores de humo, Plancha para pantalones, Salas de reuniones / banquetes, Juegos de mesa / puzles, Calefacción, Portugués, Terraza / solárium, Servicio de conserjería, Extintores, Caja fuerte, Servicio de limpieza diario, Mobiliario exterior, Almuerzos para llevar, Parking privado, Prohibido fumar en todo el alojamiento, Alquiler de bicicletas, Recepción 24 horas, WC, Cafetería en el alojamiento, Servicio de limpieza en seco, Vistas, Guardaequipaje, Centro de negocios, Alarma de seguridad, Ascensor, Menú para niños, Servicio de lavandería, Parking en un garaje, Cámaras de seguridad en las zonas comunitarias, Adaptado para sillas de ruedas, Servicio de planchado, Fax / fotocopiadora, Artículos de aseo gratis, Canales por cable, Español, Restaurante, Información turística, Escritorio, WiFi gratis, Habitaciones familiares, TV",Montevideo,Uruguay,"Ibis Montevideo Rambla está en Montevideo, a 12 min a pie de Playa Ramírez y a 1,5 km de Plaza Cagancha, y ofrece alojamiento con bar. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado en el propio alojamiento.

En el hotel, cada habitación dispone de escritorio. Todas las habitaciones del alojamiento están equipadas con TV de pantalla plana con canales por cable y caja fuerte.

El desayuno está disponible cada mañana e incluye opciones buffet, continentales o sin gluten.

Ibis Montevideo Rambla ofrece terraza solárium.

El personal habla inglés, español y portugués, y estará encantado de dar consejos sobre la zona en recepción.

Teatro Solís está a 2,3 km del alojamiento, y Plaza de la Independencia está a 2,3 km. El aeropuerto (Aeropuerto internacional de Carrasco) está a 18 km."
Dazzler by Wyndham Montevideo,US$105,"8,0",Muy bien,6.011,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514745014.webp?k=48c74f20d4012cfee7722140bf5323d9cfdf3a713f08123f092daaf70c6e5239&o=,https://www.booking.com/hotel/uy/dazzler-montevideo.es.html?aid=2410095,"Alquiler de coches, Paquetes de spa / bienestar, Teléfono, Baño privado, Cámaras de seguridad fuera del alojamiento, Piscina al aire libre, Bañera de hidromasaje / jacuzzi, Boles para mascotas, Inglés, Adaptado personas de movilidad reducida, Traslado aeropuerto, Habitaciones insonorizadas, Bar, Habitaciones hipoalergénicas, Buen desayuno, Detectores de humo, Secador de pelo, Baño de vapor, Salas de reuniones / banquetes, Seguridad 24 horas, Zona de spa / relajación, Calefacción, Portugués, Terraza / solárium, Extintores, Caja fuerte, Prohibido fumar en todo el alojamiento, Cesta para mascotas, Alquiler de bicicletas, Recepción 24 horas, Sauna, WC, Gimnasio, Jardín, Guardaequipaje, Centro de negocios, Alarma de seguridad, Ascensor, Servicio de habitaciones, Instalaciones de spa, Tumbonas/sillas de playa, Servicio de lavandería, Piscina en la azotea, Parking en un garaje, Cámaras de seguridad en las zonas comunitarias, Terraza, De temporada, Adaptado para sillas de ruedas, Para todas las edades, Español, Taquillas en el gimnasio / spa, Spa y centro de bienestar, Restaurante, WiFi gratis, Llave de acceso, Parking en el alojamiento, Tarjeta de acceso, Campo de golf (a menos de 3 km), Habitaciones sin humo, TV",Montevideo,Uruguay,"El Dazzler by Wyndham Montevideo se encuentra en Montevideo y ofrece piscina al aire libre, centro de fitness, spa, WiFi gratuita y desayuno buffet. El establecimiento está situado en el barrio de Punta Carretas, rodeado de una zona comercial con restaurantes y lugares de interés cultural. El establecimiento se halla a 500 metros del paseo marítimo y a 3 km del centro histórico.

Las habitaciones del Dazzler by Wyndham Montevideo gozan de un ambiente tranquilo y cuentan con TV de pantalla plana, minibar, calefacción central, armario y caja fuerte. El baño privado está equipado con bañera y secador de pelo. 

El spa del Dazzler by Wyndham Montevideo incluye sauna, baño turco y bañera. 

El Dazzler by Wyndham Montevideo tiene un bonito jardín y un centro de negocios. Además, hay servicio de habitaciones y servicio de lavandería disponibles bajo petición.

El Dazzler Montevideo se sitúa a 2,1 km del centro de la ciudad y a 19 km del aeropuerto internacional de Carrasco. Se facilita aparcamiento por un suplemento y sujeto a disponibilidad."
Hotel Tres Cruces,US$45,"7,8",Bien,2.109,https://cf.bstatic.com/xdata/images/hotel/max1024x768/21532416.webp?k=048b28f9f27e1f2e3ea0ba1236f9faad33861b53754614cb6729d20d3c895f16&o=,https://www.booking.com/hotel/uy/tres-cruces.es.html?aid=2410095,"Alquiler de coches, Parking gratis, Teléfono, Baño privado, TV de pantalla plana, Aire acondicionado, Tours a pie, Servicio de entrega de comestibles, Traslado aeropuerto, Servicio de traslado, Ducha, Toallas, Vistas a la ciudad, Detectores de humo, Secador de pelo, Calefacción, Bidet, Baños públicos, Servicio de conserjería, Extintores, Caja fuerte, Servicio de limpieza diario, Prohibido fumar en todo el alojamiento, Bañera o ducha, Recepción 24 horas, Ropa de cama, Muy buen desayuno, WC, Servicio de limpieza en seco, Vistas, Desayuno en la habitación, Guardaequipaje, Ascensor, Papel higiénico, Bañera, Servicio de lavandería, Parking en un garaje, Cámaras de seguridad en las zonas comunitarias, Español, Fax / fotocopiadora, Zona TV / salón de uso compartido, Artículos de aseo gratis, Canales por cable, Servicio de despertador, Información turística, WiFi gratis, Servicio de planchado, Habitaciones sin humo, TV",Montevideo,Uruguay,"El Hotel Tres Cruces está situado a 100 metros de la terminal de autobuses y el centro comercial de Tres Cruces, en Montevideo. Ofrece conexión Wi-Fi gratuita y un desayuno bufé. También dispone de un bar.

Las habitaciones del Hotel Tres Cruces ofrecen un ambiente tranquilo y cuentan con baño privado, aire acondicionado y TV por cable.

El Tres Cruces ofrece cajas fuertes para que los huéspedes puedan guardar sus objetos personales.

El edificio cuenta con ascensor y ofrece servicio de recepción las 24 horas. El bar está abierto todos los días hasta las 22:00.

El Hotel Tres Cruces está a 2 km de las playas de Pocitos y Ramírez y a 200 metros de la parada del autobús que va a las playas. El aeropuerto de Carrasco se encuentra a 25 km. Además, hay aparcamiento privado gratuito en las inmediaciones."
AHIVÁ Espacio Temporal,US$15,"8,4",Muy bien,849,https://cf.bstatic.com/xdata/images/hotel/max1024x768/274582835.webp?k=5fb2e8dea02005da6349337dcdf40c732f347f0670730e0e2f1687d4e51606da&o=,https://www.booking.com/hotel/uy/casa-magallanes.es.html?aid=2410095,"Zona de fumadores, Clases de fitness, Armario, Cocina compartida, Toallas, Enchufe cerca de la cama, Seguridad 24 horas, Juegos de mesa / puzles, Calefacción, Terraza / solárium, Galerías de arte temporales, Extintores, Suelo de madera o parquet, Mobiliario exterior, Eventos deportivos en directo (emisión), Tours en bici, Alquiler de bicicletas, Perchero, Recepción 24 horas, Ropa de cama, Servicio de lavandería, Terraza, Español, Zona TV / salón de uso compartido, WiFi gratis, Habitaciones familiares, Aseo adicional, Campo de golf (a menos de 3 km), Habitaciones sin humo",Montevideo,Uruguay,"La Casa Magallanes ofrece WiFi gratuita en todas las instalaciones y alojamiento en Montevideo, a 1,1 km de la plaza de Cagancha.

El alojamiento da acceso a un baño compartido.

Hay un mostrador de información turística.
La Plaza de la Independencia se encuentra a 1,8 km de la Casa Magallanes, mientras que Oceanside Boulevard está a 1,9 km del
 establecimiento. El aeropuerto más cercano es el aeropuerto internacional de Carrasco, situado a 17 km de la Casa Magallanes."
Hotel America,US$64,"7,9",Bien,3.092,https://cf.bstatic.com/xdata/images/hotel/max1024x768/255847283.webp?k=9d78ea03287d4cad06d4a7bf0d8b6e1d8dd29df6b8af47feb815bb2578f7ccbc&o=,https://www.booking.com/hotel/uy/america.es.html?aid=2410095,"Snack-bar, Alquiler de coches, Teléfono, Baño privado, Minibar, TV de pantalla plana, Cámaras de seguridad fuera del alojamiento, Hipoalergénico, Aire acondicionado, Tours a pie, Inglés, Traslado aeropuerto, Productos de limpieza, Armario, Servicio de traslado, Habitaciones hipoalergénicas, Ducha, Toallas, Buen desayuno, Enchufe cerca de la cama, Detectores de humo, Secador de pelo, Canales vía satélite, Calefacción, Bidet, Portugués, Servicio de conserjería, Extintores, Caja fuerte, Servicio de limpieza diario, Suelo de madera o parquet, Tours en bici, Parking privado, Prohibido fumar en todo el alojamiento, Alquiler de bicicletas, Máquina expendedora (bebidas), Bañera o ducha, Recepción 24 horas, Perchero, Ropa de cama, WC, Insonorización, Guardaequipaje, Ascensor, Papel higiénico, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Servicio de lavandería, Parking en un garaje, Cámaras de seguridad en las zonas comunitarias, Español, Servicio de planchado, Artículos de aseo gratis, Canales por cable, Servicio de despertador, Información turística, Escritorio, WiFi gratis, Habitaciones familiares, Tarjeta de acceso, Habitaciones sin humo, TV",Montevideo,Uruguay,"El Hotel America, situado a solo 5 calles del pintoresco centro histórico de Montevideo, la Ciudad Vieja, ofrece habitaciones con WiFi gratis. La playa de Pocitos queda a 15 minutos en coche. Además, hay aparcamiento privado.

El Hotel America dispone de habitaciones con aire acondicionado, TV LED, minibar y baño privado con ducha y artículos de aseo.

El America sirve un desayuno buffet con zumos naturales y cruasanes.

Asimismo, el hotel cuenta con recepción las 24 horas, mostrador de información turística y servicio de alquiler de coches.

El aeropuerto de Carrasco se halla a 23 km."
Esplendor by Wyndham Montevideo Cervantes,US$90,"8,0",Muy bien,2.834,https://cf.bstatic.com/xdata/images/hotel/max1024x768/163833120.webp?k=3673710bd7467db4f029328e9af0b0a2805632ea162486f06aff8b9931143535&o=,https://www.booking.com/hotel/uy/esplendor-cervantes-montevideo.es.html?aid=2410095,"Alquiler de coches, Baño privado, Aire acondicionado, Piscina interior, Boles para mascotas, Inglés, Adaptado personas de movilidad reducida, Traslado aeropuerto, Habitaciones insonorizadas, Buen desayuno, Detectores de humo, Seguridad 24 horas, Habitaciones familiares, Calefacción, Portugués, Prohibido fumar en todo el alojamiento, Cesta para mascotas, Alquiler de bicicletas, Abierta todo el año, Recepción 24 horas, Sauna, WC, Servicio de limpieza en seco, Gimnasio, Guardaequipaje, Centro de negocios, Ascensor, Servicio de lavandería, Para todas las edades, Terraza, Horario de apertura, Fax / fotocopiadora, Español, Información turística, WiFi gratis, Servicio de planchado, Tarjeta de acceso, Habitaciones sin humo",Montevideo,Uruguay,"Este hotel ofrece piscina cubierta y terraza en la azotea con vistas a Montevideo y se encuentra a solo 20 minutos a pie de la playa de Pocitos. Se pueden reservar masajes.

El Esplendor by Wyndham Montevideo Cervantes es un establecimiento de 4 estrellas con un vestíbulo amplio y WiFi gratuita en las zonas comunes. Dispone de instalaciones de spa.

Las habitaciones incluyen aire acondicionado, TV por cable de pantalla plana, minibar y elementos decorativos modernos.

El Esplendor by Wyndham Montevideo Cervantes sirve todos los días un desayuno buffet con zumos recién hechos y cruasanes.

El hotel está a 300 metros de la plaza de la Independencia y del encantador barrio de la Ciudad Vieja y dispone de recepción 24 horas."
Viajero Montevideo Hostel,US$19,"8,5",Muy bien,1.031,https://cf.bstatic.com/xdata/images/hotel/max1024x768/443619141.webp?k=7575d455ebc72c0e4a885abab3c4c53620bf79cf3f4b40b8d7bafc97bdb58921&o=,https://www.booking.com/hotel/uy/el-viajero-downtown.es.html?aid=2410095,"Música / espectáculos en directo, Snack-bar, Baño privado, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Aire acondicionado, Tours a pie, Billar, Inglés, Traslado aeropuerto, Happy hour, Servicio de traslado, Cocina compartida, Bar, Ducha, Toallas, Vistas a la ciudad, Enchufe cerca de la cama, Detectores de humo, Vino / champán, Seguridad 24 horas, Juegos de mesa / puzles, Calefacción, Entretenimiento nocturno, Portugués, Terraza / solárium, Extintores, Sala de juegos, Servicio de limpieza diario, Mobiliario exterior, Eventos deportivos en directo (emisión), Tours en bici, Desayuno, Noches de cine, Alquiler de bicicletas, Recepción 24 horas, Ropa de cama, WC, Guardaequipaje, Centro de negocios, Tour o clase sobre cultura local, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Terraza, Solo para adultos, Español, Chimenea exterior, Zona TV / salón de uso compartido, Taquillas, Información turística, Clases de cocina, WiFi gratis, Llave de acceso, Habitaciones sin humo",Montevideo,Uruguay,"Desde el 1 de abril nos trasladamos a un nuevo, más moderno, edificio de 6 pisos situado en la Ciudad Vieja, cerca de las principales atracciones turísticas de la ciudad. El Viajero Hostel ocupa un edificio histórico reformado y ofrece alojamiento a 10 minutos a pie de la Rambla y del océano Atlántico. Ofrece conexión Wi-Fi gratuita en las zonas comunes y un patio interior.

Las habitaciones del Viajero Hostel están equipadas con aire acondicionado y baño privado, mientras que otras tienen baño compartido.

El bar del albergue sirve bebidas, cócteles y aperitivos. Gracias a su céntrica ubicación, hay muchos restaurantes y cafeterías en los alrededores.

El personal del mostrador de información turística del Viajero Hostel ofrece información sobre excursiones por la ciudad. El albergue ofrece servicio de alquiler de bicicletas. La estación central de tren de Montevideo está a 1 km.

Alójese en habitaciones privadas, algunas de las cuales son de estilo dúplex, con una amplia y cómoda sala de estar en el piso de abetos donde podrá leer un libro o trabajar, antes de subir a descansar en el segundo piso con una cama privada y baño. O si lo prefieres, quédate en una habitación compartida (algunas son exclusivamente para mujeres). Todas las habitaciones tienen cortinas para garantizar su privacidad."
