hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Tierra del Sol Moquegua,https://www.booking.com/hotel/pe/tierra-del-sol-moquegua-moquegua.es.html?aid=2410095,"Hotel Tierra del Sol Moquegua está en Moquegua, a 16 min a pie de Estadio 25 de Noviembre, y dispone de alojamiento con salón de uso común, parking privado gratis y terraza. Este hotel de 2 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hotel tiene habitaciones familiares.

Todas las habitaciones están equipadas con TV de pantalla plana con canales por cable, hervidor, ducha, artículos de aseo gratuitos y escritorio. Las habitaciones de este alojamiento están equipadas con baño privado y vistas a la ciudad.

En el hotel se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto de Ilo) está a 89 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Servicio de limpieza diario, Terraza, Seguridad 24 horas, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Hervidor eléctrico, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores en ascensor, Vino / champán, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Ascensor, Adaptado personas de movilidad reducida, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Buen desayuno, Adaptado para sillas de ruedas, Ducha, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/390002416.jpg?k=a17f5a7d132a30e2c0ba1a1ac27796bcb951d3401da44a57ba5bf723250316d3&o=&hp=1,Moquegua,Perú
Hostal COLUMBIA,https://www.booking.com/hotel/pe/hostal-columbia-moquegua1.es.html?aid=2410095,"Hostal COLUMBIA está en Moquegua, a 19 min a pie de Estadio 25 de Noviembre. Este hotel de 2 estrellas ofrece mostrador de información turística y guardaequipaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones están equipadas con armario. Las habitaciones están equipadas con baño privado con artículos de aseo gratuitos, y algunas tienen vistas a la ciudad. En Hostal COLUMBIA, todas las habitaciones incluyen TV con canales vía satélite.

En el alojamiento se sirve todas las mañanas un desayuno buffet.

El aeropuerto más cercano (Aeropuerto de Ilo) está a 88 km.","Prohibido fumar en todo el alojamiento, Canales vía satélite, Desayuno, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, Servicio de traslado, Proporciona factura, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Fax / fotocopiadora, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Guardaequipaje, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552359263.jpg?k=d35317f7999b7f05fad203155f14bd11fe987d6d6591c455f30149731a3a0753&o=&hp=1,Moquegua,Perú
Hostal Montalvo,https://www.booking.com/hotel/pe/hostal-montalvo.es.html?aid=2410095,"Hostal Montalvo se encuentra en Moquegua, a 19 min a pie de Estadio 25 de Noviembre, y ofrece mostrador de información turística, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y terraza. Hay parking privado en el propio alojamiento.

En el hostal o pensión, todas las habitaciones cuentan con armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también disponen de vistas a la ciudad. En Hostal Montalvo, todas las habitaciones están equipadas con escritorio y TV de pantalla plana.

El personal de recepción siempre está dispuesto a ofrecer información.

El aeropuerto más cercano (Aeropuerto de Ilo) está a 88 km del alojamiento.","Protector de enchufes para niños, Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Servicio de planchado, Muy buen desayuno, Zona de comedor, Llave de acceso, Servicio de limpieza diario, Perchero, Terraza, Servicio de despertador, Bañera o ducha, Tour o clase sobre cultura local, Armario, Papel higiénico, Servicio de lavandería, Seguridad 24 horas, Servicio de aparcacoches, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Snack-bar, Registro de entrada / salida privado, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Zona de fumadores, Productos de limpieza, Fax / fotocopiadora, Tours a pie, Bañera, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Ruta de bares, Tendedero, Guardaequipaje, Escritorio, TV de pantalla plana, Parking privado, Ducha, Parking adaptado para personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/338157283.jpg?k=6bb06bc7d8242e05f01d0dbdf8fc16a9e87d486b6a41056acb14a9627ed50f77&o=&hp=1,Moquegua,Perú
Tierra del Sol Centro,https://www.booking.com/hotel/pe/tierra-del-sol-moquegua.es.html?aid=2410095,"Tierra del Sol Centro dispone de alojamiento en Moquegua. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento libre de humo está a 14 min a pie de Estadio 25 de Noviembre.

Todas las habitaciones están equipadas con TV de pantalla plana con canales por cable, hervidor, ducha, artículos de aseo gratuitos y escritorio. Las habitaciones del alojamiento tienen baño privado y vistas a la ciudad. Las habitaciones tienen armario.

En el hotel se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto de Ilo) está a 96 km.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Parking gratis, Llave de acceso, Servicio de limpieza diario, Perchero, Servicio de despertador, Seguridad 24 horas, Armario, Papel higiénico, Toda la unidad en la planta baja, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Hervidor eléctrico, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Artículos de aseo gratis, Toda la unidad accesible en silla de ruedas, Baño privado, Español, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Buen desayuno, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/400759884.jpg?k=6097b3f2e59b5474be5fee36c977c487a298d5e064110370fe3e97334971afe9&o=&hp=1,Moquegua,Perú
HOSTAL REAL CERRILLOS,https://www.booking.com/hotel/pe/hostal-real-cerrillos.es.html?aid=2410095,"HOSTAL REAL CERRILLOS está en Moquegua, a 1,9 km de Estadio 25 de Noviembre, y dispone de alojamiento con salón de uso común, parking privado gratis y terraza. Este alojamiento ofrece cocina compartida y recepción 24 horas, además de wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de conserjería y guardaequipaje.

En el hostal o pensión, las habitaciones cuentan con zona de estar, TV de pantalla plana con canales por cable, zona de cocina, zona de comedor y baño privado con artículos de aseo gratuitos, ducha secador de pelo. Cada habitación tiene cafetera, algunas ofrecen balcón y otras también cuentan con vistas a la ciudad. En HOSTAL REAL CERRILLOS, todas las habitaciones incluyen ropa de cama y toallas.

El aeropuerto (Aeropuerto de Ilo) está a 99 km.","Cafetera, Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Servicio de limpieza diario, Perchero, Terraza, Servicio de despertador, Bañera o ducha, Zona de estar, Armario, Papel higiénico, Cocina compartida, Utensilios de cocina, Detectores de humo, Servicio de conserjería, WiFi gratis, Lavavajillas, TV, Cámaras de seguridad fuera del alojamiento, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Hervidor eléctrico, Nevera, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Toallas, Artículos de aseo gratis, Secador de pelo, Microondas, Fax / fotocopiadora, Horno, Español, Baño privado, Zona TV / salón de uso compartido, Extintores, Servicio de streaming (como Netflix), Recepción 24 horas, Tendedero, Guardaequipaje, TV de pantalla plana, Ropa de cama, Tetera / cafetera, Ducha, Ventilador, Parking adaptado para personas de movilidad reducida, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/364465694.jpg?k=8a45926c3e76cae2f9adcfc1941b4f6ea0ef0ed8cb66bc15472195606a7a1dad&o=&hp=1,Moquegua,Perú
DM Hoteles Moquegua,https://www.booking.com/hotel/pe/el-mirador-de-moquegua.es.html?aid=2410095,"El Hotel El Mirador de Moquegua ofrece una piscina al aire libre, un restaurante, un jardín, conexión Wi-Fi gratis y desayunos. La plaza de Armas está a 5 minutos andando.

Las habitaciones del Hotel El Mirador de Moquegua cuentan con baño privado, minibar y TV por cable. Hay servicio de habitaciones.

El servicio de recepción 24 horas puede organizar servicios de lavandería y de planchado, así como de cambio de divisas. El hotel tiene un centro de negocios y una pista de squash. Todos los días se sirve un desayuno bufé americano.

El Hotel El Mirador de Moquegua se encuentra a 5 minutos en coche de la estación de Cruz del Sur y del área financiera de Moquegua. También se ofrece aparcamiento privado gratuito con reserva previa.","Sala de juegos, Parking en un garaje, Fruta, Servicio de planchado, Plancha para pantalones, Piscina con vistas, Parking gratis, Sombrillas, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Caja fuerte, Seguridad 24 horas, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Para todas las edades, Gimnasio, Alarma de seguridad, Lavamanos más bajo, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Vino / champán, Información turística, Jardín, Cafetería en el alojamiento, Centro de negocios, Juegos de mesa / puzles, Fax / fotocopiadora, Ascensor, Abierta todo el año, Horario de apertura, Aire acondicionado, WC con barras de apoyo, Sauna, Español, Piscina al aire libre, Habitaciones sin humo, Restaurante, Extintores, Zona TV / salón de uso compartido, Spa y centro de bienestar, Recepción 24 horas, WC elevado, Guardaequipaje, Buen desayuno, Instalaciones de spa, Adaptado para sillas de ruedas, Desayuno en la habitación, Ping pong, Adaptado personas de movilidad reducida, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/214354817.jpg?k=052e3207cd48f56fbe9ba2ee4605baee083b0c850a3752e383cb33c840ea32ab&o=&hp=1,Moquegua,Perú
Hotel Costa Sol Moquegua,https://www.booking.com/hotel/pe/costa-sol-moquegua.es.html?aid=2410095,"Hotel Costa Sol Moquegua está en Moquegua, a 14 min a pie de Estadio 25 de Noviembre. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y servicio de conserjería. El hotel dispone de piscina cubierta, sauna y servicio de habitaciones.

El aeropuerto (Aeropuerto de Ilo) está a 96 km.","Prohibido fumar en todo el alojamiento, Piscina climatizada, Llave de acceso, Servicio de limpieza diario, Servicio de despertador, Seguridad 24 horas, Habitaciones insonorizadas, Detectores de humo, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Para todas las edades, Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Registro de entrada / salida privado, Toallas de playa/piscina, Ascensor, Abierta todo el año, Desayuno fantástico, Español, Sauna, Habitaciones sin humo, Extintores, Piscina interior, Recepción 24 horas, Piscina en la azotea, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/334952248.jpg?k=636749a5b7e55524f3d6eee103e4ad919bbd6f3b285afd6f433932cd6eacbf05&o=&hp=1,Moquegua,Perú
Hotel Gran Marquez,https://www.booking.com/hotel/pe/gran-marquez.es.html?aid=2410095,"Hotel Gran Marquez se encuentra en Moquegua, a 3,8 km de Estadio 25 de Noviembre, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El alojamiento dispone de discoteca y servicio de conserjería.

En el hotel, cada habitación tiene escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y una terraza con vistas a la montaña. Las habitaciones cuentan con armario y hervidor.

En Hotel Gran Marquez se puede disfrutar de un desayuno continental.

El alojamiento ofrece zona de juegos infantil.

El aeropuerto más cercano (Aeropuerto de Ilo) está a 86 km del alojamiento.","Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Plancha para pantalones, Plancha para ropa, Parking gratis, Sombrillas, Perchero, Happy hour, Terraza, Bañera o ducha, Mobiliario exterior, Detectores de humo, WiFi gratis, Piscina pequeña, Para todas las edades, Karaoke, Baños públicos, Vistas al río, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Vistas a la montaña, 2 restaurantes, Discoteca / DJ, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Adecuada para niños, Zona TV / salón de uso compartido, Extintores, Ruta de bares, TV de pantalla plana, Ropa de cama, Habitaciones familiares, Mesa de comedor, Desayuno, Tour o clase sobre cultura local, Armario, Hervidor eléctrico, Vistas a un lugar de interés, Alarma de seguridad, Piscina privada, 2 piscinas, Vino / champán, Artículos de aseo gratis, Piscina infantil, Fax / fotocopiadora, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Guardaequipaje, Registro de entrada y salida exprés, Tobogán de agua, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Snack-bar, Juegos de mesa / puzles, Sofá, Abierta todo el año, Baño privado, Bingo, Zona poco profunda, Balcón, Escritorio, Ducha, Zona de juegos interior, Piscina con vistas, Cambio de moneda, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Toallas de playa/piscina, Juguetes para la piscina, Bar en la piscina, Restaurante, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Suelo de baldosa / mármol, Parque acuático, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580197668.jpg?k=660fbb67df1185f6a49fa577f221bf1ab34846b6a5bbcbab1c510fbd719fc0b5&o=&hp=1,Moquegua,Perú
Cálido Hostal,https://www.booking.com/hotel/pe/calido-hostal.es.html?aid=2410095,"Cálido Hostal se encuentra en Moquegua, a 10 min a pie de Estadio 25 de Noviembre. La posada u hostería libre de humo cuenta con wifi gratis en todo el alojamiento.

En la posada u hostería, cada habitación tiene TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

El aeropuerto más cercano (Aeropuerto de Ilo) está a 89 km del alojamiento.","Habitaciones sin humo, Extintores, Prohibido fumar en todo el alojamiento, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Guardaequipaje, Inglés, TV de pantalla plana, Llave de acceso, Servicio de limpieza diario, Español, Perchero, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/157328376.jpg?k=4ab05cac94779d588d5a5022d70bbeb3a7e9100ef6a68e157370b3cf6f57ab3e&o=&hp=1,Moquegua,Perú
Casa Andina Select Moquegua,https://www.booking.com/hotel/pe/casa-andina-select-moquegua.es.html?aid=2410095,"La Casa Andina Select Moquegua se encuentra en Moquegua y ofrece alojamiento con WiFi gratuita en todas las instalaciones y aparcamiento vigilado gratuito.

Todas las habitaciones están equipadas con baño privado, escritorio, minibar, TV por cable, caja fuerte, utensilios de planchado y aire acondicionado.

El establecimiento alberga un bar restaurante. La Casa Andina Select Moquegua cuenta con recepción 24 horas, servicio de cambio de divisa y cajero automático. Se presta servicio de lavandería por un suplemento.","Prohibido fumar en todo el alojamiento, Vistas al jardín, Plancha para ropa, Masajes, Parking gratis, Tratamientos faciales, Sombrillas, Perchero, Detectores de humo, WiFi gratis, Masaje de pies, Canales por cable, Jardín, Centro de negocios, Español, Extintores, TV de pantalla plana, Habitaciones familiares, Adaptado personas de movilidad reducida, Tarjeta de acceso, Desayuno, Armario, Masaje de cabeza, Hervidor eléctrico, Artículos de aseo gratis, Masaje de espalda, Cajero automático en el hotel, Servicios de belleza, Toda la unidad accesible en silla de ruedas, Caja fuerte para ordenador portátil, Habitaciones sin humo, Insonorización, Spa y centro de bienestar, Guardaequipaje, Peluquería / salón de belleza, Ventilador, Reloj despertador, Parking adaptado para personas de movilidad reducida, Minibar, Servicio de planchado, Masaje de manos, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Masaje corporal completo, Secador de pelo, Sofá, Corte de pelo, Baño privado, Aire acondicionado, Piscina al aire libre, Peinado, Pedicura, Escritorio, Adaptado para sillas de ruedas, Ducha, Teléfono, Utensilios de planchado, Cambio de moneda, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Gimnasio, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Toallas, Información turística, Ascensor, Sauna, Restaurante, Tratamientos corporales, Recepción 24 horas, Hipoalergénico, Masaje de cuello, Manicura",https://cf.bstatic.com/xdata/images/hotel/max1024x768/129620729.jpg?k=094bb0e36ac92a50a9aad5e55178f0b02b9d37fa2918422620d6bf4e234e53b2&o=&hp=1,Moquegua,Perú
