hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Té de Menta,https://www.booking.com/hotel/ec/hostal-te-de-menta.es.html?aid=2410095,"Hostal Té de Menta se encuentra en Muisne y dispone de jardín, restaurante, bar y wifi gratis en todo el alojamiento. La posada u hostería tiene habitaciones familiares.

En la posada u hostería, todas las habitaciones disponen de escritorio. Hostal Té de Menta ofrece algunas unidades con vistas al mar, y todas cuentan con balcón. Todas las unidades disponen de armario.","Playa, Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Perchero, Armario, Papel higiénico, Bar, WiFi gratis, Inglés, WC, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Español, Balcón, Habitaciones sin humo, Vistas, Escritorio, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506918376.jpg?k=561ff3a83748e43865c62359dc29f8e9ea228694696ad6b78e8589f3a4e03480&o=&hp=1,Muisne,Ecuador
Hostal TÉ de Menta,https://www.booking.com/hotel/ec/hostal-te-de-menta-muisne.es.html?aid=2410095,"Hostal TÉ de Menta se encuentra en Muisne y ofrece jardín.

Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha. Algunas habitaciones también disponen de terraza.","Jardín, Papel higiénico, WiFi gratis, Francés, WC, Ducha, Español, Baño privado, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530617887.jpg?k=7754402a77a970377f71d418749dc5a28a68f1b5de1fcdfc89a4fca2bb763ac4&o=&hp=1,Muisne,Ecuador
Mompiche Island Hostel,https://www.booking.com/hotel/ec/mompiche-island.es.html?aid=2410095,"Mompiche Island Hostel está en Mompiche, a pocos pasos de Playa de Mompiche, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece bar, zona de playa privada y zona de barbacoa. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación tiene armario, ropa de cama y un balcón con vistas al mar. Las habitaciones incluyen baño privado con ducha, y algunas también ofrecen cocina con nevera.","Playa, Mesa de comedor, Zona de comedor exterior, Barbacoa, Desayuno, Zona de comedor, Parking gratis, Menús para dietas especiales (bajo petición), Baño al aire libre, Traslado aeropuerto, Perchero, Happy hour, Terraza, Bañera o ducha, Tour o clase sobre cultura local, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Bar, Inglés, Equitación, Pesca, Menú para niños, Situado frente a la playa, Terraza / solárium, Toallas, Snack-bar, Jardín, Información turística, Zona de fumadores, Juegos de mesa / puzles, Wifi buena gratis (47 Mbps), Almuerzos para llevar, Tours a pie, Snorkel, Baño privado, Vistas al mar, Español, Balcón, Habitaciones sin humo, Vistas, Restaurante, Zona de pícnic, Recepción 24 horas, Tendedero, Francés, Zona privada de playa, Ropa de cama, Ducha, Ventilador, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/471221495.jpg?k=16173e9a2d95c0047d02167ff619c6f0ac96ba6804e410767b9c08602cc5d71f&o=&hp=1,Muisne,Ecuador
Casa Gaia Paradise,https://www.booking.com/hotel/ec/casa-gaia-un-paraiso-mompiche.es.html?aid=2410095,"Casa Gaia Paradise se encuentra en Mompiche, a pocos pasos de Playa de Mompiche, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 4 estrellas ofrece zona de playa privada y servicio de habitaciones. El hotel dispone de habitaciones familiares.

En el hotel, cada habitación incluye armario. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas al mar. En Casa Gaia Paradise, las habitaciones están equipadas con zona de estar.

En el alojamiento se puede disfrutar de un desayuno americano.","Playa, Prohibido fumar en todo el alojamiento, Mesa de comedor, Desayuno, Zona de comedor, Parking gratis, Perchero, Terraza, Zona de estar, Armario, Papel higiénico, Toda la unidad en la planta baja, Inglés, Tetera/cafetera en todas las habitaciones, Toallas / sábanas (por un suplemento), Mosquitera, Situado frente a la playa, WC, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Vistas al mar, Enchufe cerca de la cama, Vistas, Restaurante, Suelo de baldosa / mármol, Tendedero, Zona privada de playa, Entrada privada, Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547869331.jpg?k=6e8f658884150e1c75413f7a1fcf0832f3315d46d304b2cf83b3d497b891422f&o=&hp=1,Muisne,Ecuador
Casa Gaia,https://www.booking.com/hotel/ec/casa-gaia-mompiche1.es.html?aid=2410095,"Casa Gaia está en Mompiche, a pocos pasos de Playa de Mompiche, y ofrece bar y zona de playa privada en el propio alojamiento. Hay un restaurante en el alojamiento, además de parking privado gratis y wifi gratis.

Esta casa o chalet consta de 3 dormitorios, una zona de cocina y 3 baños.

En la casa o chalet se puede disfrutar de un desayuno americano.","Playa, Vistas, Restaurante, Juegos de mesa / puzles, Bar, Zona de pícnic, WiFi gratis, Mobiliario exterior, Zona privada de playa, Zona de cocina, Desayuno, Inglés, Parking gratis, Situado frente a la playa, Español, Baño privado, Habitaciones familiares, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565400439.jpg?k=6563d4807b69195e152f78dda0f9f2f531bc9f59b6edb181ff5c9225a72522a9&o=&hp=1,Muisne,Ecuador
La Caleta,https://www.booking.com/hotel/ec/la-caleta-mompiche2.es.html?aid=2410095,"La Caleta está en Mompiche, a pocos pasos de Playa de Mompiche, y ofrece alojamiento frente a la playa con jardín, entre otros. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hostal o pensión, las habitaciones están equipadas con un patio con vistas al jardín. En La Caleta, cada habitación cuenta con baño compartido y ropa de cama.

En el alojamiento se puede disfrutar de un desayuno continental.","Playa, Prohibido fumar en todo el alojamiento, Vistas al jardín, Desayuno, Armario, Toda la unidad en la planta baja, Inglés, Mosquitera, Situado frente a la playa, Portugués, Información turística, Toallas, Jardín, Español, Patio, Habitaciones sin humo, Vistas, Wifi buena gratis (36 Mbps), Tendedero, Baño compartido, Entrada privada, Ropa de cama, Parking privado, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516451524.jpg?k=0c49477c31beb84f18492bf77d41d8ab80197a6120410c0576d89617ed4aa219&o=&hp=1,Muisne,Ecuador
La Casa Mompiche,https://www.booking.com/hotel/ec/la-casa-mompiche.es.html?aid=2410095,"La Casa Mompiche está en Mompiche, a pocos pasos de Playa de Mompiche, y dispone de alojamiento con jardín, parking privado gratis, restaurante y zona de barbacoa. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

Algunas de las habitaciones cuentan con cocina con nevera. En el hostal o pensión, las habitaciones tienen zona de estar.

El desayuno está disponible cada mañana e incluye opciones a la carta, americanas o vegetarianas.","Playa, Vistas al jardín, Wifi rápida gratis (117 Mbps), Zona de comedor exterior, Barbacoa, Servicio de planchado, Desayuno, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Bañera o ducha, Vistas a un patio interior, Tour o clase sobre cultura local, Zona de estar, Papel higiénico, Cocina compartida, Canguro / servicios para niños, Servicio de lavandería, Mobiliario exterior, Inglés, Baños públicos, Equitación, Pesca, Mosquitera, Situado frente a la playa, WC, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Registro de entrada / salida privado, Información turística, Jardín, Cafetería en el alojamiento, Juegos de mesa / puzles, Servicios de belleza, Tours a pie, Clases de cocina, Español, Bingo, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Zona de pícnic, Recepción 24 horas, Pedicura, Entrada privada, Manicura, Ducha, Ventilador, Senderismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/95628585.jpg?k=1f5ef9425da8fd2c4f81eada6194ddb342330f02e2a8ec500d784c145281d1ec&o=&hp=1,Muisne,Ecuador
Onda Hostel Mompiche,https://www.booking.com/hotel/ec/onda-hostel-mompiche-mompiche.es.html?aid=2410095,"Onda Hostel Mompiche se encuentra en Mompiche, a pocos pasos de Playa de Mompiche, y ofrece alojamiento con jardín, parking privado gratis, terraza y bar. El alojamiento dispone de cocina compartida y wifi gratis en todo el alojamiento.

Todas las habitaciones disponen de baño compartido, y algunas también ofrecen cocina con nevera.

Puedes jugar al ping-pong en el hostal o pensión.","Playa, Sala de juegos, Desayuno, Parking gratis, Italiano, Terraza, Cocina compartida, Bar, WiFi gratis, Inglés, Situado frente a la playa, Jardín, Juegos de mesa / puzles, Español, Habitaciones sin humo, Francés, Baño compartido, Ventilador, Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/482323220.jpg?k=53126367de5bf7509d8669ff814f1e622a1b2601db88fdb0e4c0928ef086f617&o=&hp=1,Muisne,Ecuador
The Mudhouse Hostel Mompiche,https://www.booking.com/hotel/ec/hosteraa-the-mud-house.es.html?aid=2410095,"The Mudhouse Hostel Mompiche dispone de jardín, salón de uso común, terraza y bar en Mompiche. Este alojamiento ofrece cocina compartida y mostrador de información turística, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento disponen de un patio con vistas al río.

Algunas habitaciones disponen de cocina con nevera. Todas las unidades tienen ropa de cama.

Playa de Mompiche está a 7 min a pie del alojamiento.","Playa, Registro de entrada y salida exprés, Zona de comedor exterior, Noches de cine, Parking gratis, Llave de acceso, Servicio de limpieza diario, Terraza, Caja fuerte, Papel higiénico, Cocina compartida, Bar, Mobiliario exterior, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), Equitación, Pesca, Mosquitera, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Registro de entrada / salida privado, Información turística, Jardín, Zona de fumadores, Juegos de mesa / puzles, Fax / fotocopiadora, Taquillas, Español, Holandés, Parking en la calle, Habitaciones sin humo, Música / espectáculos en directo, Windsurf, Extintores, Zona TV / salón de uso compartido, Zona de pícnic, Guardaequipaje, Entrada privada, Ropa de cama, Ducha, Piragüismo, Ventilador, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/384584952.jpg?k=a3002c30bc28c79cf19823249cbc3540defb6ec8ddb93607577e2f0164c8b7f7&o=&hp=1,Muisne,Ecuador
Hostal Camping Sin Fronteras Mompiche,https://www.booking.com/hotel/ec/hostal-camping-sin-fronteras.es.html?aid=2410095,"Hostal Camping Sin Fronteras Mompiche está en Mompiche, en la región de Esmeraldas, cerca de Playa de Mompiche. Ofrece alojamiento con wifi gratis y parking privado gratis.

Algunas unidades también tienen una cocina equipada con nevera, horno y tostadora.

En el camping, la clientela puede usar la terraza solárium.","Parking en un garaje, Parking gratis, Seguridad 24 horas, Cocina compartida, Servicio de lavandería, Bar, Detectores de humo, Inglés, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Información turística, Zona de fumadores, Taquillas, Español, Wifi rápida gratis (99 Mbps), Habitaciones sin humo, Música / espectáculos en directo, Extintores, Recepción 24 horas, Guardaequipaje, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/310900104.jpg?k=4ac7e1e52807e3d60bcf9b7e4dd58668791a1aff322fa8029639593ce25cb975&o=&hp=1,Muisne,Ecuador
