hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Plaza CA,https://www.booking.com/hotel/ve/plaza-ca.es.html?aid=2410095,"Hotel Plaza CA ofrece alojamiento en Mérida. Este hotel de 2 estrellas ofrece servicio de habitaciones y mostrador de información turística. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, salón de uso común y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones disponen de armario. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. Las unidades del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

El aeropuerto (Aeropuerto Juan Pablo Pérez Alfonzo) está a 75 km.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Vistas a la ciudad, Spa y centro de bienestar, Canales por cable, Servicio de traslado, Vistas a la montaña, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Parking en un garaje, Desayuno fabuloso, Parking adaptado para personas de movilidad reducida, Aseo adicional, Servicio de despertador, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Recepción 24 horas, Cesta para mascotas, Aire acondicionado, Tours a pie, Ascensor, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, WC con barras de apoyo, Español, WC elevado, Adaptado personas de movilidad reducida, TV, Caja fuerte, Servicio de despertador / alarma, Adaptado para sillas de ruedas, Inglés, Servicio de lavandería, Boles para mascotas, Máquina expendedora (aperitivos), Bañera o ducha, Traslado aeropuerto, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Máquina expendedora (bebidas), Armario, Llave de acceso, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Tarjeta de acceso, Acceso a pisos superiores en ascensor, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/280091971.jpg?k=b755dd8cc5abeccb9ed6375c4a14b664a75c81299e9f845ea75f693e9d246cd8&o=&hp=1,Mérida,Venezuela
HOTEL MILLA SUITES MERIDA,https://www.booking.com/hotel/ve/milla-suites-merida.es.html?aid=2410095,"HOTEL MILLA SUITES MERIDA se encuentra en Mérida y ofrece alojamiento con wifi gratis y parking privado gratis.

El apartahotel ofrece terraza.

El aeropuerto más cercano (Aeropuerto Juan Pablo Pérez Alfonzo) está a 76 km.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Proporciona factura, Seguridad 24 horas, Ascensor, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, Menús para dietas especiales (bajo petición), Parking gratis, Español, Detectores de humo, Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Alarma de seguridad, Guardaequipaje, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551086640.jpg?k=c3eb6e0f277b3d160a95728060dd6eea72f430d44e6dee8ea0784c94ae6c2ec7&o=&hp=1,Mérida,Venezuela
Hotel Luna Azul,https://www.booking.com/hotel/ve/luna-azul-merida.es.html?aid=2410095,"Hotel Luna Azul se encuentra en Mérida. Este hotel de 3 estrellas tiene wifi gratis, salón de uso común y servicio de habitaciones. El alojamiento ofrece recepción 24 horas, servicio de conserjería y cambio de moneda.

En el hotel, cada habitación incluye armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones cuentan con nevera.

El aeropuerto más cercano (Aeropuerto Juan Pablo Pérez Alfonzo) está a 76 km del alojamiento.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Enchufe cerca de la cama, Cambio de moneda, Servicio de despertador, Ventilador, Artículos de aseo gratis, Teléfono, Baños públicos, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Detectores de humo, Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Armario, Servicio de conserjería, Alarma de seguridad, Ropa de cama, Llave de acceso, Toallas, Información turística, Nevera, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567587448.jpg?k=bcc99bcb7431420acb2d252cd19c047057c6393ee07a3e09131f878df505f254&o=&hp=1,Mérida,Venezuela
Hotel La Pedregosa,https://www.booking.com/hotel/ve/la-pedregosa.es.html?aid=2410095,"Hotel La Pedregosa tiene centro de fitness, jardín, terraza y restaurante en Mérida. Este hotel de 4 estrellas ofrece bar y tiene habitaciones con aire acondicionado y wifi gratis. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Las unidades de este alojamiento están equipadas con TV de pantalla plana.

En el hotel se puede disfrutar de un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto Juan Pablo Pérez Alfonzo) está a 71 km.","Servicio de habitaciones, Habitaciones familiares, Aire acondicionado, TV de pantalla plana, Recepción 24 horas, Parking gratis, WiFi gratis, Piscina, Jardín, Desayuno, Gimnasio, Español, Bar, Hervidor eléctrico, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/525421644.jpg?k=9cb334f4ee861331555f93c86639c7f2be2fb2dcec27667760d4af357a5ca57a&o=&hp=1,Mérida,Venezuela
Increíble Casa Entera con Buena Ubicación Mérida,https://www.booking.com/hotel/ve/increible-casa-entera-con-buena-ubicacion-merida.es.html?aid=2410095,"Increíble Casa Entera con Buena Ubicación Mérida, que tiene bar, dispone de alojamiento en Mérida con wifi gratis y vistas al jardín. Esta casa o chalet tiene jardín y parking privado gratis.

La casa o chalet tiene 2 dormitorios, 2 baños, ropa de cama, toallas, TV de pantalla plana, cocina totalmente equipada y terraza con vistas a la montaña. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El aeropuerto más cercano (Aeropuerto Juan Pablo Pérez Alfonzo) está a 70 km.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Accesible para personas sordas, Vistas, Tendedero, Calefacción, Vistas a un patio interior, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Vistas a la montaña, Escritorio, Toallas / sábanas (por un suplemento), Lavadora, Sala de juegos, Barbacoa, Horno, Vistas al jardín, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Cafetera, Artículos de aseo gratis, Secador de pelo, Bar, Patio, Libros, DVD o música para niños, Habitaciones familiares, Ducha, Entrada privada, Plancha para ropa, Parking gratis, Español, TV, Plancha para pantalones, Servicio de lavandería, Bañera o ducha, Chimenea, Habitaciones sin humo, Papel higiénico, Armario, Toda la unidad en la planta baja, Zona de cocina, Microondas, Ropa de cama, Vídeo, Jardín, Toallas, Minibar, Nevera, Vistas a un lugar de interés, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/566581009.jpg?k=0c6b3a059220774a5466a328588ca2584b9ed5529b13f252654c9b34db2a6055&o=&hp=1,Mérida,Venezuela
Villa Valcore,https://www.booking.com/hotel/ve/villa-valcore.es.html?aid=2410095,"Villa Valcore tiene jardín, terraza, restaurante y bar en Mérida. Posada u hostería dispone de parking privado gratis y wifi gratis.

En la posada u hostería se puede disfrutar de un desayuno a la carta.

Villa Valcore ofrece bañera de hidromasaje.

En la recepción se habla inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

El aeropuerto (Aeropuerto Juan Pablo Pérez Alfonzo) está a 83 km.","Servicio de habitaciones, Restaurante, Recepción 24 horas, Parking gratis, WiFi gratis, Jardín, Español, Desayuno, Spa y centro de bienestar, Inglés, Bar, Terraza, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/544578854.jpg?k=78d9b0551c576bd6d16e2fbc261ca53993124d728ec4a72cd74f7784505ae759&o=&hp=1,Mérida,Venezuela
Apartamentos en Mérida Mejor precio garantizado,https://www.booking.com/hotel/ve/apartamentos-en-merida-mejor-precio-garantizado.es.html?aid=2410095,"Apartamentos en Mérida Mejor precio garantizado es un alojamiento con wifi gratis y vistas a la montaña que está en Mérida. Este apartamento dispone de jardín y parking privado gratis.

El apartamento cuenta con patio y vistas a la ciudad, y tiene 3 dormitorios, una sala de estar, TV, una cocina equipada con nevera y microondas, y 2 baños con bañera o ducha. El apartamento también cuenta con 2 baños.

El aeropuerto (Aeropuerto Juan Pablo Pérez Alfonzo) está a 74 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de planchado, Cocina, Vistas, Tendedero, Vistas a la ciudad, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Utensilios de cocina, Canales por cable, Productos de limpieza, Baño compartido, Servicio de traslado, Supermercado pequeño en el alojamiento, Vistas a un lugar de interés, Escritorio, Lavadora, Vistas a la montaña, Servicio de limpieza en seco, Extintores, Vistas al jardín, Ventilador, Aseo adicional, Cambio de moneda, Cafetera, Seguridad 24 horas, Ascensor, Patio, Registro de entrada / salida privado, Habitaciones familiares, Radio, Sofá, Entrada privada, Parking gratis, Español, TV, Suelo de baldosa / mármol, Habitaciones hipoalergénicas, Mesa de comedor, Apartamento privado en edificio, Registro de entrada y salida exprés, Plancha para pantalones, Servicio de lavandería, Traslado aeropuerto, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Wifi básica gratis (7 Mbps), Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Toda la unidad en la planta baja, Zona de cocina, Microondas, Ropa de cama, Jardín, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Habitaciones insonorizadas, Toallas, Información turística, Nevera, Acceso a pisos superiores en ascensor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/509934898.jpg?k=544f5615622d20b2d0b3fa4502577624b44e47f2cf6eb92eea5dd9a9df884be2&o=&hp=1,Mérida,Venezuela
Un refugio de ensueño en Mérida,https://www.booking.com/hotel/ve/un-refugio-de-ensueno-en-merida.es.html?aid=2410095,"Un refugio de ensueño en Mérida se encuentra en Mérida. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina.","Prohibido fumar en todo el alojamiento, Cocina, TV de pantalla plana, Parking gratis, WiFi gratis, Zona de cocina, Español, Inglés, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584523930.jpg?k=1af78914ed6302e6ca7098a5616a3f52741dc9bc93d434eb33aacc18fea4a1cf&o=&hp=1,Mérida,Venezuela
Casa Cumbre,https://www.booking.com/hotel/ve/casa-cumbre.es.html?aid=2410095,"Casa Cumbre está en Mérida. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Esta casa o chalet tiene acceso a un balcón con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto Juan Pablo Pérez Alfonzo) está a 79 km.","Prohibido fumar en todo el alojamiento, Cocina, TV de pantalla plana, Parking gratis, WiFi gratis, Zona de cocina, Vistas al jardín, Vistas, Español, Inglés, Minibar, Balcón, Terraza, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584524022.jpg?k=1991f8751cec95cb98b313749dffe76070e8194dd896df690a475f5616f8eb14&o=&hp=1,Mérida,Venezuela
Apartamento Vacacional Mérida,https://www.booking.com/hotel/ve/apartamento-vacacional-merida-merida.es.html?aid=2410095,"Apartamento Vacacional Mérida se encuentra en Mérida.

Hay parking privado gratis en el apartamento.

El aeropuerto más cercano (Aeropuerto Juan Pablo Pérez Alfonzo) está a 66 km del alojamiento.","Parking gratis, Español, Inglés, Prohibido fumar en todo el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564262485.jpg?k=93a5580e5f9353f9591248eca92fbcbcd0894923e72e1fd706dd8d97684cc7cb&o=&hp=1,Mérida,Venezuela
