hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
H Luxury Residence Apartments - Holiday Paradise,US$371,"7,8",Bien,2.452,https://cf.bstatic.com/xdata/images/hotel/max1024x768/318561381.webp?k=54dd96edd1da5a1f699da7be09519adf211694043000bf86a65f7c3e06f4232e&o=,https://www.booking.com/hotel/au/five-star-apartment-in-heart-of-surfers-paradise.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Baño privado, Fax / fotocopiadora, Zona de fumadores, Discoteca / DJ, Masaje de manos, Spa y centro de bienestar, Chino, Masaje corporal completo, Bar en la piscina, Abierta todo el año, Sombrillas, Proporciona factura, Piscina climatizada, Ascensor, Restaurante, Camas extralargas (más de 2 metros), Zona de comedor, Centro de negocios, Fogones, Habitaciones sin humo, Cafetera, Buffet para niños, Utensilios de planchado, Servicio de limpieza diario, Peluquería / salón de belleza, Acceso a pisos superiores en ascensor, Masaje de pies, Papel higiénico, Hervidor eléctrico, 4 piscinas, WC, TV, Zona de comedor exterior, Secador de pelo, Sofá, Alarma de seguridad, Zona de pícnic, Parking en un garaje, Prohibido fumar en todo el alojamiento, Bañera de hidromasaje, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Mesa de comedor, Situado frente a la playa, Parque acuático, Tostadora, Aseo compartido, Piscina con vistas, Aire acondicionado, Terraza, Horario de apertura, Microondas, Playa, Apartamento privado en edificio, Sofá cama, Balcón, Escritorio, Nevera, Extintores, Campo de golf (a menos de 3 km), Horno, Mobiliario exterior, Secadora de ropa, Masaje de espalda, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Sauna, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Perchero, Solo para adultos, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Trona, Terraza / solárium, Utensilios de cocina, Barbacoa, Tarjeta de acceso, Masajes, Salas de reuniones / banquetes, WiFi gratis, Lavadora, Detectores de humo, Instalaciones de spa, Armario, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Habitaciones familiares, Bañera, Masaje en pareja, Lavavajillas, Parking adaptado para personas de movilidad reducida, Tobogán de agua, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Patio, Baño de vapor, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Servicio de streaming (como Netflix), Adecuada para niños, Parking gratis, Inglés, Entretenimiento nocturno, Zona poco profunda, Para todas las edades, Cama plegable, Piscina infantil, Registro de entrada y salida exprés, Masaje de cabeza, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Nerang,Australia,"El Luxury Residence Surfers Paradise Five Star Apartment está bien situado en el centro de Gold Coast, a 3 km del centro de convenciones y exposiciones de Gold Coast, y ofrece alojamiento con conexión WiFi gratuita, bañera de hidromasaje, sauna y centro de fitness.

Todos los apartamentos, de propiedad y gestión privada, cuentan con balcón, TV de pantalla plana con canales por cable, cocina bien equipada y baño privado con artículos de aseo gratuitos. Algunos alojamientos tienen zona de estar y/o de comedor.

Todas las mañanas se sirve un desayuno continental en el edificio de apartamentos. El restaurante está especializado en cocina europea.

El complejo de edificios cuenta con piscina cubierta, barbacoa, jardín y solárium.

El Star Gold Coast se encuentra a 3,4 km del apartamento, mientras que el centro comercial Marina Mirage está a 3,7 km. El aeropuerto de Gold Coast está a 20 km del Luxury Residence Surfers Paradise Five Star Apartment."
Canungra Valley Views,US$112,"9,0",Fantástico,41,https://cf.bstatic.com/xdata/images/hotel/max1024x768/360708486.webp?k=db3ba76505462c9c76aa4426e064a2e2b059a14b03bcf2473d1e94d327140342&o=,https://www.booking.com/hotel/au/canungra-valley-views.es.html?aid=2410095,"Snack-bar, Toallas, Vistas a la montaña, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Bañera o ducha, Toallas / sábanas (por un suplemento), Vistas, Cocina, Perchero, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Calefacción, Reproductor de DVD, Ventilador, Patio, Productos de limpieza, Tostadora, Aire acondicionado, Juegos de mesa / puzles, TV de pantalla plana, Terraza, Microondas, Zona de comedor, Tendedero, Utensilios de cocina, Parking gratis, Fogones, Habitaciones sin humo, Vino / champán, Inglés, WiFi gratis, Utensilios de planchado, Suelo de baldosa / mármol, Minibar, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, TV, Extintores, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Sofá, Jardín, Entrada privada, Servicio de traslado, Zona de pícnic, Proporciona factura, Mobiliario exterior, Zona de estar",Nerang,Australia,"Canungra Valley Views está en Boyland, a 21 km de Tamborine Rainforest Skywalk y a 35 km de Estadio Metricon. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. El alojamiento está a unos 37 km de Parque acuático Wet'n'Wild, a 38 km de Estación de tren de Helensvale y a 40 km de Dreamworld. Este alojamiento libre de humo se encuentra a 36 km de Warner Bros. Movie World.

En el hostal o pensión, cada habitación dispone de aire acondicionado, escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas a la montaña. Todas las habitaciones cuentan con nevera.

WhiteWater World está a 40 km del alojamiento, y Centro comercial Australia Fair está a 40 km. El aeropuerto (Aeropuerto de Gold Coast) está a 59 km."
Wyuna Beachfront Holiday Apartments,US$408,"8,0",Muy bien,90,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83561347.webp?k=2f983ec51818b16206341df540f07fd95efd0f78eaa733a6f0ae846101105393&o=,https://www.booking.com/hotel/au/wyuna-beachfront-holiday-apartments.es.html?aid=2410095,"Toallas, Baño privado, Fax / fotocopiadora, Ventilador, Zona de fumadores, Abierta todo el año, Piscina climatizada, Ascensor, Fogones, Habitaciones sin humo, Parking en la calle, Utensilios de planchado, Información turística, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Zona de comedor exterior, Secador de pelo, Sofá, Valla alrededor de la piscina, Servicio de entrega de comestibles, Vistas, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Situado frente a la playa, Servicio de despertador / alarma, Aseo adicional, Tostadora, Terraza, Horario de apertura, Microondas, Adosado, Playa, Apartamento privado en edificio, Canales vía satélite, Balcón, Escritorio, Insonorización, Nevera, Juguetes para la piscina, Extintores, Vistas al mar, Campo de golf (a menos de 3 km), Vistas a un lugar de interés, Horno, Mobiliario exterior, Secadora de ropa, Canales por cable, Tumbonas/sillas de playa, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, TV de pantalla plana, Trona, Barbacoa, Utensilios de cocina, WiFi gratis, Suelo de baldosa / mármol, Lavadora, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Lavavajillas, Habitaciones insonorizadas, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Reloj despertador, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Tendedero, Parking gratis, Inglés, Cama plegable, Piscina al aire libre, Proporciona factura, Zona de estar",Nerang,Australia,"El Wyuna Beachfront Holiday Apartments ofrece apartamentos de 2 y 3 dormitorios con acceso directo a la playa. Todos cuentan con cocina totalmente equipada, salón, zona de comedor y un gran balcón con vistas al océano. Hay WiFi gratuita.

La piscina al aire libre está climatizada durante todo el año. El establecimiento tiene vistas a zonas verdes a la sombra, con gimnasio al aire libre y parques infantiles.

Los Wyuna Beachfront Holiday Apartments presentan una decoración individual y disponen de baño con lavadora. El aseo está separado del baño. TV por cable y ropa de cama. Las toallas de playa/piscina comportan un suplemento.

A solo 50 metros hay una parada de autobús que conecta con los parques temáticos de Gold Coast, el casino Jupiter's, el centro de exposiciones y convenciones, el centro comercial Pacific Fair y los centros comerciales Robina. También se ofrece un servicio de enlace en autobús exprés con el aeropuerto de Gold Coast.

Hay aparcamiento cubierto vigilado gratuito. El Wyuna Apartments se encuentra a 20 minutos en coche al norte del aeropuerto de Gold Coast. El establecimiento se encuentra a poca distancia a pie de restaurantes, cafeterías y tiendas de moda y de artesanía, así como de mercados locales regulares."
Palm Beach Hotel,US$62,"7,4",Bien,1.610,https://cf.bstatic.com/xdata/images/hotel/max1024x768/52113536.webp?k=5fae119269119745c625564a1ddf39a3ac5edc976333f7ca4efa7c1a074e9260&o=,https://www.booking.com/hotel/au/palm-beach.es.html?aid=2410095,"Guardaequipaje, Toallas, Prohibido fumar en todo el alojamiento, Menú para niños, Cajero automático en el hotel, Artículos de aseo gratis, Calefacción, Zona de fumadores, Bar, Ropa de cama, Servicio de lavandería, Aire acondicionado, Restaurante, TV de pantalla plana, Parking gratis, Habitaciones sin humo, Playa, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Zona TV / salón de uso compartido, Escritorio, Acceso a pisos superiores solo mediante escaleras, TV, Habitaciones familiares, Zona de juegos interior",Nerang,Australia,"El Palm Beach Hotel está a solo 300 metros de la playa. El establecimiento ofrece conexión WiFi gratis y alberga un restaurante que sirve almuerzo y cena. Hay aparcamiento gratuito en las instalaciones.

El Palm Beach Hotel está a menos de 5 minutos a pie de las playas de arena de las proximidades, y se halla a 10 minutos en coche del aeropuerto de Gold Coast, a 20 minutos en coche del centro comercial Pacific Fair y a 25 minutos en coche de Surfers Paradise.

El establecimiento dispone de apartamentos independientes y de habitaciones privadas y compartidas. Los baños son comunes, y hay zona de salón y servicio de lavandería. Se proporcionan toallas y ropa de cama."
Nightcap at Hinterland Hotel Nerang,US$179,"7,8",Bien,846,https://cf.bstatic.com/xdata/images/hotel/max1024x768/312939089.webp?k=8561849c878775363f0dbdd1d587246b47ed2125cb92893fcdea6e8eae884de4&o=,https://www.booking.com/hotel/au/nightcap-at-hinterland-hotel-nerang.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Cajero automático en el hotel, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Ropa de cama, Enchufe cerca de la cama, Ducha, Aire acondicionado, Restaurante, TV de pantalla plana, Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Zona de juegos para niños, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Extintores, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Suelo de moqueta",Nerang,Australia,"El Nightcap at Hinterland Hotel Nerang, situado junto a las orillas tranquilas del río Nerang, dispone de restaurante, bar y parque infantil. Surfers Paradise se halla a 15 minutos en coche.

Todas las habitaciones incluyen aire acondicionado, TV, radio, despertador, hervidor eléctrico y plancha. El baño privado cuenta con ducha y aseo.

El bar salón y el bar de deportes son el lugar perfecto para reunirse con amigos y tomar una bebida refrescante. El bistró sirve platos deliciosos para almorzar y cenar, que incluyen carnes, pastas y mariscos.

El Hinterland Hotel se encuentra a 10 minutos en coche de los parques Warner Brothers Movie World y Dreamworld, mientras que Sea World queda a 20 minutos y el aeropuerto de Gold Coast, a 25 minutos, también en coche."
Bunk Surfers Paradise International Backpacker Hostel,US$45,"8,1",Muy bien,1.003,https://cf.bstatic.com/xdata/images/hotel/max1024x768/530186982.webp?k=95c0c68155f2611d7aa726c9899baa0c27950c5b6063c658be217bac24ef24b5&o=,https://www.booking.com/hotel/au/bunk-surfers-paradise.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Cajero automático en el hotel, Baño privado, Vistas, Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de fumadores, Servicio de lavandería, Sala de juegos, Aire acondicionado, Ascensor, Terraza, Japonés, Terraza / solárium, Español, Alemán, Valla alrededor de la piscina, Playa, Inglés, WiFi gratis, Balcón, Información turística, Zona TV / salón de uso compartido, Detectores de humo, Acceso a pisos superiores en ascensor, WC, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Zona de spa / relajación, Caja fuerte, Suelo de moqueta, Mobiliario exterior",Nerang,Australia,"El Bunk Surfers Paradise International Backpacker Hostel se encuentra a solo 4 minutos a pie de la playa de arena dorada de Surfers Paradise y cuenta con piscina al aire libre y bañera de hidromasaje. Hay WiFi gratuita en las zonas comunes y recepción las 24 horas.

El establecimiento alberga piscina con tumbonas y patio trasero. Las instalaciones compartidas incluyen cocina, zona de salón y sala de lavandería.

Las habitaciones tienen armario, aire acondicionado y baño privado con ducha. Algunas habitaciones tienen vistas al mar, a la piscina o la ciudad. Las habitaciones están reservadas para mochileros internacionales.

El Bunk Surfers Paradise International Backpacker Hostel se encuentra a solo 2 minutos a pie de la avenida Cavill, que alberga un supermercado y una gran variedad de tiendas, bares y cafeterías. Los parques temáticos Warner Bros Movie World y Wet 'n' Wild se encuentran a 30 minutos en coche. El aeropuerto más cercano es el de Gold Coast, ubicado a 20 km del Bunk Surfers Paradise International Backpacker Hostel."
Tequila Sunrise Hostel Surfers Paradise,US$76,"8,4",Muy bien,2.032,https://cf.bstatic.com/xdata/images/hotel/max1024x768/516423122.webp?k=9182b463d7786e57ede604bbe89c7755f77b2023b1895b6543e408f1a349a317&o=,https://www.booking.com/hotel/au/tequila-sunrise-hostel-surfers-paradise.es.html?aid=2410095,"Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Vistas a la ciudad, Plancha para ropa, Toallas / sábanas (por un suplemento), Vistas, Cocina, Cocina compartida, Mesa de comedor, Ropa de cama, Calefacción, Ducha, Ventilador, Servicio de lavandería, Tostadora, Aire acondicionado, Juegos de mesa / puzles, Terraza, Microondas, Zona de comedor, Terraza / solárium, Muy buen desayuno, Cenas temáticas, Fogones, Inglés, WiFi gratis, Balcón, Servicio de limpieza diario, Zona TV / salón de uso compartido, Lavadora, Detectores de humo, Ordenador, Papel higiénico, Baño compartido, WC, Hervidor eléctrico, Nevera, Extintores, Zona de comedor exterior, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Lavavajillas, Mobiliario exterior",Nerang,Australia,"Tequila Sunrise Hostel Surfers Paradise es un alojamiento muy bien situado en Gold Coast que ofrece salón de uso común, wifi gratis y habitaciones con aire acondicionado. Este alojamiento, que cuenta con cocina compartida, también ofrece terraza solárium. Mirador SkyPoint está a menos de 1 km del albergue y Centro comercial Marina Mirage, a 4 km.

En el albergue, todas las habitaciones están equipadas con un balcón con vistas a la ciudad. En Tequila Sunrise Hostel Surfers Paradise, cada habitación tiene baño compartido y ropa de cama.

En el alojamiento se puede disfrutar de un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Surfers Paradise Beach, Budds Beach y Playa de Narrowneck. El aeropuerto más cercano (Aeropuerto de Gold Coast) está a 21 km del alojamiento."
Maxmee Backpackers Resort,US$46,"7,0",Bien,999,https://cf.bstatic.com/xdata/images/hotel/max1024x768/139472177.webp?k=dc1cff6ffceca4b7aca8b38dbc73396e7f948079a7236335df61dc80103c6f96&o=,https://www.booking.com/hotel/au/surfers-paradise-backpackers-resort.es.html?aid=2410095,"Billar, Guardaequipaje, Seguridad 24 horas, Desayuno, Tumbonas/sillas de playa, Plancha para ropa, Perchero, Pista de tenis, Fax / fotocopiadora, Taquillas, Bar, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Solo para adultos, Ducha, Zona de fumadores, Calefacción, Servicio de lavandería, Ventilador, Chino, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Alquiler de bicicletas, Registro de entrada / salida privado, Equipamiento de tenis, Terraza / solárium, Eventos deportivos en directo (emisión), Barbacoa, Español, Alemán, Habitaciones sin humo, Playa, Vino / champán, Francés, Inglés, Noches de cine, Entretenimiento nocturno, WiFi gratis, Utensilios de planchado, Información turística, Ping pong, Máquina expendedora (bebidas), Happy hour, Zona TV / salón de uso compartido, Detectores de humo, WC, Ruta de bares, Extintores, Piscina al aire libre, Campo de golf (a menos de 3 km), Jardín, Dardos, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Caja fuerte, Zona de pícnic, Mobiliario exterior",Nerang,Australia,"La famosa playa de Surfers Paradise está a solo 5 minutos a pie cuando se hospeda en Maxmee Resort. Este albergue cuenta con WiFi gratuita, pista de tenis y piscina al aire libre.

El albergue también ofrece servicio de lavandería, pista de baloncesto, mesa de ping pong, pista de voleibol y tablas de bodyboard, todo ello de uso y acceso gratuito. El personal del mostrador de información turística proporciona consejos sobre lugares para visitar y ofrece un servicio de organización de excursiones.

El Maxmee Backpackers Resort ganó el premio TripAdvisor Award for Excellence tanto en 2014 como en 2015. Hay habitaciones compartidas y apartamentos independientes de 2 dormitorios.

Este albergue se encuentra a solo 20 minutos a pie (8 minutos en tranvía) de la avenida Cavill, que alberga varios sitios para comer, tiendas y locales de ocio nocturno. El aeropuerto de Gold Coast queda a 30 minutos en coche."
Golden Riviera Absolute Beachfront Resort,US$366,"8,4",Muy bien,780,https://cf.bstatic.com/xdata/images/hotel/max1024x768/208993844.webp?k=5705f67ccf19f6b3196e9e963245b62f10b589fbf358eee5197109145d58842b&o=,https://www.booking.com/hotel/au/golden-riviera-beach-resort.es.html?aid=2410095,"Toallas, Baño privado, Fax / fotocopiadora, Servicio de lavandería, Toallas de playa/piscina, Abierta todo el año, Sombrillas, Piscina climatizada, Zona de comedor, Servicio de limpieza en seco, Fogones, Habitaciones sin humo, Francés, Servicio de limpieza diario, Información turística, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, TV, Zona de comedor exterior, Secador de pelo, Zona de pícnic, Valla alrededor de la piscina, Parking en un garaje, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Situado frente a la playa, Mesa de comedor, Tostadora, Piscina con vistas, Aire acondicionado, Microondas, Pesca, Playa, Canales vía satélite, Balcón, Nevera, Extintores, Campo de golf (a menos de 3 km), Horno, Mobiliario exterior, Canales por cable, Tumbonas/sillas de playa, Sauna, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Calefacción, Ropa de cama, TV de pantalla plana, Alquiler de bicicletas, Terraza / solárium, Barbacoa, Utensilios de cocina, Tarjeta de acceso, Adaptado para sillas de ruedas, WiFi gratis, Detectores de humo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Bañera, Lavavajillas, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Alquiler de coches, Cocina, Ducha, Patio, Llave de acceso, Adaptado personas de movilidad reducida, Parking gratis, Inglés, Zona poco profunda, Para todas las edades, Piscina al aire libre, Jardín, Gimnasio, Proporciona factura",Nerang,Australia,"This resort, located directly on the Gold Coast beach front, offers self-catering apartments with private balcony. The landscaped gardens feature a large outdoor heated pool, spa pool and 2 barbecue areas.

Golden Riviera Beach Resort is situated on the quiet beach of Tugun, less than 5 minutes’ walk from cafes, restaurants, parks, supermarkets and bars. Coolangatta Airport is only 5 minutes’ drive away.

Each apartment is air-conditioned in the living area, kitchen and dining room and includes a fully equipped kitchen, laundry facilities and cable TV.  Ceiling fans in the bedrooms and all bed linen are provided. WiFi is available. Some apartments offer ocean views.

Free secure underground car parking is provided. The vibrant nightlife of Surfers Paradise is only 20 km from Golden Riviera Beach Resort Gold Coast."
Surf Inn Boutique Backpackers - FREE BREAKFAST,US$66,"8,8",Fabuloso,1.306,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514688768.webp?k=ef495e8e7519949bd5ac136591f0acb73ba31246bdd80c836e92cc47c2c4916b&o=,https://www.booking.com/hotel/au/surf-inn-hostel.es.html?aid=2410095,"Guardaequipaje, Tumbonas/sillas de playa, Fax / fotocopiadora, Solo para adultos, Taquillas, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ducha, Servicio de lavandería, Desayuno fantástico, Aire acondicionado, Cafetería en el alojamiento, Máquina expendedora (aperitivos), Registro de entrada / salida privado, Instalaciones para deportes acuáticos en el alojamiento, Habitaciones sin humo, Playa, Inglés, WiFi gratis, Servicio de limpieza diario, Información turística, Máquina expendedora (bebidas), Detectores de humo, Papel higiénico, WC, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Alarma de seguridad, Mobiliario exterior",Nerang,Australia,"Surf Inn Boutique Backpackers - FREE BREAKFAST in Gold Coast provides adults-only accommodation with an outdoor swimming pool with sun beds and music. Surf Inn does not have a shared guest kitchen however we do have a commercial kitchen with an amazing pizza oven. We offer tasty cheap eats for Breakfast, Lunch and Dinner. Free WiFi is available and limited free parking can be arranged. A 2.5% card surcharge is applied to all pre-charged bookings.

Popular points of interest near the accommodation include Budds Beach, SkyPoint Observation Deck and Infinity Maze. The nearest airport is Gold Coast Airport, 20 km from Surf Inn Boutique Backpackers - FREE BREAKFAST."
