hotel,hotel_url,description,popular_facilities,highres_url,city,country
The Nomadic Hotel,https://www.booking.com/hotel/cr/the-nomadic.es.html?aid=2410095,"The Nomadic Hotel goza de una ubicación céntrica en Playa Guiones, Nosara, en Costa Rica, a 5 minutos a pie del punto de surf y de la playa. Cada mañana se sirve un desayuno gratuito.

Las habitaciones están equipadas con baño privado y aire acondicionado.

El bar de la piscina de agua salada sirve cervezas. Se ofrecen clases de yoga en el pabellón de yoga al aire libre. El establecimiento cuenta con muchas zonas comunes.

The Nomadic se encuentra a 46 km de Playa Grande y a 17 km de Sámara. El aeropuerto internacional Daniel Oduber Quirós, el más cercano, está ubicado a 73 km.","Papel higiénico, Ropa de cama, Caja fuerte, Inglés, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Eventos deportivos en directo (emisión), Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Aire acondicionado, Traslado aeropuerto, Juegos de mesa / puzles, Detectores de humo, Noches de cine, Seguridad 24 horas, Playa, Cámaras de seguridad en las zonas comunitarias, Toallas, Supermercado pequeño en el alojamiento, Bañera o ducha, WC, Servicio de traslado, Zona de spa / relajación, Bar, Guardaequipaje, Servicio de conserjería, Recepción 24 horas, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Zona TV / salón de uso compartido, Toallas de playa/piscina, Zona de pícnic, Parking en la calle, Clases de yoga, Tarjeta de acceso, Caja fuerte para ordenador portátil, Servicio de limpieza diario, Información turística, Fruta, Piscina al aire libre, Registro de entrada y salida exprés, Extintores, Adaptado personas de movilidad reducida, Servicio de habitaciones, Solo para adultos, WiFi gratis, Habitaciones hipoalergénicas, Ventilador, Productos de limpieza, Terraza / solárium, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/297509131.jpg?k=fd81ddd703c1fd09c3c6e8f684c4715305c94af749fd62df41586238d4c1b82c&o=&hp=1,Nosara,Costa Rica
Villa Mango B&B,https://www.booking.com/hotel/cr/villa-mango-b-amp-b.es.html?aid=2410095,"La Villa Mango B&B se encuentra en el límite de la Reserva Biológica Nosara a poca distancia a pie de la playa de Pelada. Cuenta con una piscina exterior de agua salada y conexión WiFi gratuita en todo el establecimiento.

Las habitaciones ofrece una decoración rústica con ventiladores, vistas a la selva y al mar, y terrazas con hamacas. Los baños son privados e incluyen ducha.

El restaurante de la villa sirve un desayuno completo que está incluido en el precio. También hay locales de restauración y bares en la zona de Playa Guiones, que está a 3,5 km, o en Pelada, a 1 km.

La Villa Mango B&B se encuentra a 10 minutos a pie de la playa de Pelada y de lugares donde se organizan actividades como paseos a caballo, pesca y yoga.

El aeropuerto local de Nosara está a 6 minutos en coche y el centro urbano de Nosara se halla a 4,5 km. Es recomendable el uso de un vehículo durante su estancia en Nosara.","Papel higiénico, Ropa de cama, Vistas al jardín, Caja fuerte, Baño privado, Inglés, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Juegos de mesa / puzles, Piscina con vistas, Secador de pelo, Wifi buena gratis (22 Mbps), Playa, Vistas, Francés, Toallas, Bañera o ducha, Snorkel, WC, Servicio de traslado, Guardaequipaje, Senderismo, Zona de fumadores, Bañera, Servicio de conserjería, Enchufe cerca de la cama, Pesca, Terraza, Ducha, Artículos de aseo gratis, Alquiler de bicicletas, Tours a pie, Servicio de lavandería, Abierta todo el año, Jardín, Mobiliario exterior, Piscina de agua salada, Equitación, Máquina expendedora (bebidas), Toallas de playa/piscina, Minigolf, Acceso a pisos superiores solo mediante escaleras, Caja fuerte para ordenador portátil, Servicio de limpieza diario, Piragüismo, Extintores, Alquiler de coches, Piscina al aire libre, Submarinismo, Juguetes para la piscina, Ventilador, Perchero, Tumbonas/sillas de playa, Armario, Desayuno excepcional, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/184749891.jpg?k=b7417af166f2d1a8d07a52b3566497a43d33f81bc6b943c8df91154ec00daddb&o=&hp=1,Nosara,Costa Rica
Green Sanctuary Hotel,https://www.booking.com/hotel/cr/green-sanctuary.es.html?aid=2410095,"El Green Sanctuary Hotel está situado en Nosara y ofrece piscina al aire libre y centro de spa y bienestar. Cuenta con conexión WiFi gratuita y aparcamiento privado gratuito.

Todas las habitaciones disponen de aire acondicionado, minibar y baño privado con ducha, secador de pelo y artículos de aseo gratuitos. También incluyen caja fuerte, caja fuerte para ordenador portátil y ventilador.

El Green Sanctuary Hotel alberga un jardín, una terraza y un bar. Además, tiene mostrador de información turística.

El aeropuerto de Nosara se encuentra a 15 minutos en coche.","Baño privado, Vino / champán, Registro de entrada / salida privado, Playa, Snack-bar, Masajes, Bar, Mobiliario exterior, Piscina al aire libre, Muy buen desayuno, WiFi gratis, Minibar, Toallas / sábanas (por un suplemento), Terraza / solárium, WC elevado, Papel higiénico, Vistas al jardín, Portugués, Habitaciones sin humo, Cenas temáticas, Suelo de baldosa / mármol, Secador de pelo, Vistas, WC, Servicio de traslado, Bañera, Canguro / servicios para niños, Enchufe cerca de la cama, Ducha, Parking adaptado para personas de movilidad reducida, Zona poco profunda, Clases de fitness, Información turística, Fruta, Paquetes de spa / bienestar, Perchero, Tetera / cafetera, Balcón, Tetera/cafetera en todas las habitaciones, Aire acondicionado, Parking gratis, Valla alrededor de la piscina, Traslado aeropuerto, Adaptado para sillas de ruedas, Piscina con vistas, Patio, Sombrillas, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Baños públicos, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Cafetera, Mosquitera, Extintores, Alquiler de coches, Zona de estar, Español, Caja fuerte, Inglés, Juegos de mesa / puzles, Toda la unidad en la planta baja, Toallas, Bañera o ducha, Snorkel, Entrada privada, Abierta todo el año, Tours a pie, Cambio de moneda, Prohibido fumar en todo el alojamiento, Happy hour, Parking en la calle, Clases de yoga, Adaptado personas de movilidad reducida, Instalaciones de spa, Ventilador, Armario, Bar en la piscina, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/102408099.jpg?k=4f30fefe3d60d83f04a9f98eff5cdbeb0294d82c2c1086f448e991f9f64d09c9&o=&hp=1,Nosara,Costa Rica
Selina Nosara,https://www.booking.com/hotel/cr/selina-nosara.es.html?aid=2410095,"Selina Nosara está en Nosara, a 18 min a pie de Playa Pelada, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este hotel de 3 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado y wifi gratis. El alojamiento ofrece personal de animación y cocina compartida.

En el hotel se sirve todas las mañanas un desayuno continental.

Se puede jugar al billar en Selina Nosara, y también hay alquiler de bicicletas.

Playa Guiones está a 1,9 km del alojamiento, y Playa de Nosara está a 2,4 km. El aeropuerto más cercano (Aeropuerto de Nosara) está a 3 km.","Personal de animación, Aire acondicionado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Cocina compartida, Bar, Guardaequipaje, Centro de negocios, Restaurante, Servicio de lavandería, Abierta todo el año, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Zona poco profunda, Clases de yoga, Servicio de limpieza diario, Información turística, Extintores, Piscina al aire libre, Discoteca / DJ, Karaoke, WiFi gratis, Billar, Tumbonas/sillas de playa, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/247474810.jpg?k=13a0bffc727cf5ae1ea4974ab85fdad738188ee733b2c79d625477e2abf5e070&o=&hp=1,Nosara,Costa Rica
Living Hotel,https://www.booking.com/hotel/cr/living.es.html?aid=2410095,"El Living Hotel se encuentra a 5 minutos a pie de la playa de Guiones y ofrece solárium, piscina y zona de salón con techo de paja. Hay conexión WiFi gratuita en todas las zonas comunes.

Las habitaciones presentan una decoración tropical y disponen de ventilador de techo, aire acondicionado y caja fuerte para ordenador portátil.

El bar Living Juice ofrece fruta fresca y local y café. A 500 metros hay varios restaurantes de cocina internacional y local.

El Living Hotel organiza clases de surf, excursiones en tirolina, pesca deportiva y paseos a caballo. También ofrece servicios de spa, alquiler de bicicletas y alquiler de coches.

El salón con techo de paja cuenta con hamacas y zona de estar soleada.

Este hotel se encuentra a 5 minutos en coche del aeropuerto de Nosara y a 2 horas y 30 minutos en coche del aeropuerto internacional Daniel Oduber de Liberia. Se ofrece servicio de enlace con los aeropuertos y con cualquier otro destino por un suplemento.","Papel higiénico, Ropa de cama, Vistas al jardín, Caja fuerte, Baño privado, Inglés, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Detectores de humo, Patio, Secador de pelo, Seguridad 24 horas, Toda la unidad en la planta baja, Playa, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Snack-bar, Snorkel, WC, Cocina compartida, Servicio de traslado, Entrada privada, Guardaequipaje, Senderismo, Nevera, Restaurante, Servicio de conserjería, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Alquiler de bicicletas, Abierta todo el año, Jardín, Escritorio, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Equitación, Toallas de playa/piscina, Clases de yoga, Caja fuerte para ordenador portátil, Servicio de limpieza diario, Piragüismo, Información turística, Alquiler de coches, Piscina al aire libre, Extintores, WiFi gratis, Submarinismo, Ciclismo, Ventilador, Perchero, Terraza / solárium, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515502058.jpg?k=dbc2c4cac047cb43f915c17dcb5e8f14833a502de91f5dbf67fbffc579b95bdd&o=&hp=1,Nosara,Costa Rica
Chill-Inn Nosara,https://www.booking.com/hotel/cr/nyunsu-nosara.es.html?aid=2410095,"Chill-Inn Nosara, en Nosara, dispone de jardín y zona de barbacoa. Hay terraza, wifi gratis y parking privado gratis.

En el albergue, las habitaciones disponen de un balcón con vistas al jardín. En Chill-Inn Nosara, todas las habitaciones tienen aire acondicionado y baño privado.

El aeropuerto (Aeropuerto de Nosara) está a pocos pasos, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Vistas al jardín, Baño privado, Caja fuerte, Inglés, Aire acondicionado, Parking gratis, Zona de comedor exterior, Traslado aeropuerto, Vistas a un patio interior, Juegos de mesa / puzles, Patio, Toda la unidad en la planta baja, Playa, Zona de cocina, Vistas, Toallas, Snorkel, WC, Tours en bici, Barbacoa, Servicio de traslado, Entrada privada, Nevera, Servicio de conserjería, Ruta de bares, Canguro / servicios para niños, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Utensilios de cocina, Alquiler de bicicletas, Zona de comedor, Jardín, Cambio de moneda, Llave de acceso, Prohibido fumar en todo el alojamiento, Mosquitera, Mesa de comedor, Equitación, Zona de pícnic, Servicio de limpieza diario, Información turística, Extintores, Alquiler de coches, WiFi gratis, Cocina, Ventilador, Perchero, Toallas / sábanas (por un suplemento), Zona de estar, Tetera / cafetera, Habitaciones familiares, Pesca, Muebles de exterior, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/227441520.jpg?k=9828a2d76554164c1fa1477296f43e2474a1c8fcb8e58fa39682952871674c20&o=&hp=1,Nosara,Costa Rica
Jungle's Edge,https://www.booking.com/hotel/cr/jungle-39-s-edge.es.html?aid=2410095,"El Jungle’s Edge está situado a 1,7 km de la playa de surf Guiones y a 5 minutos en coche de la playa Pelada y ofrece una decoración única y colorida, un estudio de yoga y una piscina de agua salada.

Las suites y las habitaciones cuentan con zona de comedor y nevera. Todas las cabañas son privadas y cuentan con ventilador, zona de cocina, conexión Wi-Fi y baño privado.

Hay un restaurante a solo 200 metros. El establecimiento también cuenta con sala de billar, una gran hoguera y zona de co-working.

El Jungle's Edge también cuenta con jardín amplio, terraza y zona de barbacoa. Se pueden practicar actividades como snorkel, pesca y equitación. Se pueden organizar paseos a caballo.

El aeropuerto internacional de Liberia queda a 2 horas en coche.","Papel higiénico, Ropa de cama, Baño privado, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Toda la unidad en la planta baja, Chimenea exterior, Toallas, Bañera o ducha, WC, Cocina compartida, Servicio de traslado, Masajes, Entrada privada, Guardaequipaje, Senderismo, Zona de fumadores, Servicio de lavandería, Terraza, Ducha, Abierta todo el año, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Equitación, Clases de fitness, Piscina al aire libre, WiFi gratis, Billar, Terraza / solárium, Piscina infinita, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/425029453.jpg?k=36b5c65b66a97d1348641ed4b4881e34624306da26e0876e73f8f97a236a7a87&o=&hp=1,Nosara,Costa Rica
Iluminar Beachfront Suites,https://www.booking.com/hotel/cr/iluminar-beachfront-suites.es.html?aid=2410095,"Iluminar Beachfront Suites está en Nosara, a 2 min a pie de Playa Guiones y a 800 metros de Playa Pelada, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y terraza.

Hay un baño privado totalmente equipado con ducha y secador de pelo.

En el alojamiento se puede disfrutar de un desayuno vegetariano, vegano o sin gluten.

Playa de Nosara está a 2,5 km del alojamiento. El aeropuerto (Aeropuerto de Nosara) está a 4 km.","Ropa de cama, Papel higiénico, Vistas al jardín, Caja fuerte, Baño privado, Inglés, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Secador de pelo, Seguridad 24 horas, Playa, Vistas, Toallas, Bañera o ducha, Snorkel, WC, Entrada privada, Nevera, Enchufe cerca de la cama, Servicio de lavandería, Utensilios de cocina, Ducha, Terraza, Zona de comedor, Situado frente a la playa, Jardín, Cafetera, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Mesa de comedor, Equitación, Parking en la calle, Servicio de limpieza diario, Registro de entrada y salida exprés, Muy buen desayuno, WiFi gratis, Tendedero, Submarinismo, Ventilador, Perchero, Fogones, Zona de estar, Terraza / solárium, Tetera / cafetera, Armario, Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/407367056.jpg?k=a4bc8a536c1e38d961f64d78e093346c6f69d36901ce3a2239b6994f4d039087&o=&hp=1,Nosara,Costa Rica
The Gilded Iguana,https://www.booking.com/hotel/cr/the-gilded-iguana.es.html?aid=2410095,"The Gilded Iguana dispone de piscina exterior y restaurante a la carta y se encuentra en Nosara, a 300 metros de la playa. Este establecimiento ofrece conexión Wi-Fi gratuita en todas las zonas.

Las habitaciones cuentan con balcón, patio, zona de estar, baño privado con ducha, toallas, vistas al jardín y ropa de cama.

The Gilded Iguana ofrece jardín, bar y aparcamiento gratuito. Hay cafeterías y restaurantes a 100 metros.

Este establecimiento se encuentra a 1,7 km de la playa Guiones y 3 km de la playa Pelada. El aeropuerto internacional de Liberia se encuentra a 2 horas en coche.","Servicios de depilación, Servicios de belleza, Baño privado, Vino / champán, Registro de entrada / salida privado, Salas de reuniones / banquetes, Detectores de humo, Playa, Snack-bar, Masajes, Bar, Zona de fumadores, Habitaciones insonorizadas, Servicio de limpieza en seco, Escritorio, Mobiliario exterior, Piscina de agua salada, Tour o clase sobre cultura local, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Minibar, Terraza / solárium, Piscina infinita, Desayuno excepcional, Proporciona factura, Masaje de pies, Exfoliación corporal, Papel higiénico, Ropa de cama, Servicio de despertador, Suelo de baldosa / mármol, Habitaciones sin humo, Teléfono, Secador de pelo, WC, Tratamientos corporales, Tours en bici, Servicio de traslado, Zona de spa / relajación, Senderismo, Servicio de conserjería, Enchufe cerca de la cama, Almuerzos para llevar, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Situado frente a la playa, Toallas de playa/piscina, Servicio de limpieza diario, Clases de fitness, Información turística, Fruta, Masaje corporal completo, Paquetes de spa / bienestar, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Radio, Piscina infantil, Tetera/cafetera en todas las habitaciones, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Sombrillas, Seguridad 24 horas, Entrenador personal, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Entretenimiento nocturno, Baños públicos, Guardaequipaje, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Baño al aire libre, Masaje en pareja, Soporte para iPod, Mosquitera, Servicio de entrega de comestibles, Caja fuerte para ordenador portátil, Extintores, Alquiler de coches, Masaje de cabeza, Zona de estar, Habitaciones familiares, Español, Masaje de cuello, Caja fuerte, Alarma de seguridad, Inglés, Tratamientos faciales, Juegos de mesa / puzles, Menús para dietas especiales (bajo petición), Toallas, Masaje de manos, Hervidor eléctrico, Snorkel, Masaje de espalda, Restaurante, Silla de masajes, Abierta todo el año, Tours a pie, Servicio de planchado, Llave de acceso, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Clases de yoga, Tratamientos capilares, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Parking en un garaje, Adaptado personas de movilidad reducida, Taquillas en el gimnasio / spa, Instalaciones de spa, Ciclismo, Ventilador, Envoltura corporal, Armario, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/138803843.jpg?k=1e04c9de638a2b246fc687e3ae16af253c94c79670ebd9a631a10bd97d851ae8&o=&hp=1,Nosara,Costa Rica
Hotel Boutique Lagarta Lodge,https://www.booking.com/hotel/cr/lagarta-lodge.es.html?aid=2410095,"El Hotel Boutique Lagarta Lodge se encuentra en Nosara y ofrece piscina al aire libre, jardín y terraza. Este establecimiento de 4 estrellas cuenta con WiFi gratuita y servicio de conserjería. Tiene bañera de hidromasaje y vistas a la montaña.

Las habitaciones incluyen balcón. Las habitaciones del Hotel Boutique Lagarta Lodge disponen de vistas al jardín y baño privado con ducha y artículos de aseo gratuitos. Todas están equipadas con escritorio y cafetera.

Cada mañana se sirve un desayuno a la carta. Alberga un restaurante que prepara especialidades locales y platos sin lactosa.

El Hotel Boutique Lagarta Lodge está a 41 km de Tamarindo, a 44 km de Playa Grande y a 42 km del aeropuerto de Tamarindo.
Se ofrece servicio de traslado gratuito solo desde el aeropuerto de Nosara hasta el hotel.","WC con barras de apoyo, Papel higiénico, Alarma de seguridad, Fax / fotocopiadora, Caja fuerte, Baño privado, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Salas de reuniones / banquetes, Habitaciones sin humo, Traslado aeropuerto, Albornoz, Detectores de humo, Adaptado para sillas de ruedas, Teléfono, Secador de pelo, Playa, Español, Cámaras de seguridad en las zonas comunitarias, Toallas, Snorkel, WC, Tours en bici, Servicio de traslado, Zona de spa / relajación, Bar, Entrada privada, Masajes, Centro de negocios, Senderismo, Zona de fumadores, Restaurante, Servicio de conserjería, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Abierta todo el año, Jardín, Spa y centro de bienestar, Mobiliario exterior, Cafetera, Cambio de moneda, Prohibido fumar en todo el alojamiento, Equitación, Clases de yoga, Tarjeta de acceso, Servicio de limpieza diario, Información turística, Fruta, Piscina al aire libre, Extintores, Para todas las edades, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Instalaciones de spa, Bañera de hidromasaje / jacuzzi, Música / espectáculos en directo, Ventilador, Perchero, Terraza / solárium, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Pesca, Menú para niños, Proporciona factura, Desayuno fantástico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/357578277.jpg?k=8feacafe04a743a143c30db6ef909cd49b93df4ae269a5267a9a16e378412262&o=&hp=1,Nosara,Costa Rica
