hotel,hotel_url,description,popular_facilities,highres_url,city,country
"WE Hotel, La Lima",https://www.booking.com/hotel/hn/b-amp-g-lodge.es.html?aid=2410095,"WE Hotel, La Lima está en La Lima y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. Hay parking privado en el propio alojamiento.

Algunas habitaciones ofrecen cocina con nevera, horno y microondas.

En el alojamiento se puede disfrutar de un desayuno americano, vegetariano o vegano.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 3 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Piscina infantil, Wifi buena gratis (20 Mbps), Fax / fotocopiadora, Aire acondicionado, Registro de entrada / salida privado, Habitaciones sin humo, Traslado aeropuerto, Adaptado para sillas de ruedas, Desayuno en la habitación, Campo de golf (a menos de 3 km), Seguridad 24 horas, Guardaequipaje, Zona de fumadores, Restaurante, Servicio de lavandería, Terraza, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Jardín, Cambio de moneda, Llave de acceso, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Parking privado, Servicio de limpieza diario, Información turística, Alquiler de coches, Registro de entrada y salida exprés, Muy buen desayuno, Adaptado personas de movilidad reducida, Servicio de habitaciones, Servicio de aparcacoches, Habitaciones familiares, Inglés, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545448173.jpg?k=91d4e8594e0c637ac516a458913d7dd6237b873ffa5b7d84b14c847682ab87e9&o=&hp=1,Olanchito,Honduras
Kimpton - Grand Roatan Resort and Spa,https://www.booking.com/hotel/hn/grand-roatan-caribbean-resort.es.html?aid=2410095,"El Kimpton Grand Roatán Resort & Spa ofrece alojamiento en West Bay Beach y cuenta con wifi gratuita y piscina al aire libre en una playa de arena blanca. El establecimiento cuenta con 4 restaurantes y aparcamiento gratuito.

Las habitaciones de este hotel tienen aire acondicionado y cuentan con comodidades como un televisor de pantalla plana. Algunos alojamientos disponen de zona de estar. Todas las habitaciones tienen baño privado y balcón o patio privado.

La zona es ideal para practicar snorkel y buceo. El aeropuerto Juan Manuel Gálvez, el más cercano, se encuentra a 20 minutos en coche. El establecimiento ofrece servicio de traslado.","Servicio de despertador / alarma, Servicios de belleza, Baño privado, Vino / champán, Salas de reuniones / banquetes, Detectores de humo, Playa, Snack-bar, Ascensor, Masajes, Bar, Zona de fumadores, Zapatillas, Mobiliario exterior, Tarjeta de acceso, Servicio de habitaciones, WiFi gratis, Submarinismo, Terraza / solárium, Proporciona factura, Cajero automático en el hotel, Papel higiénico, Ropa de cama, Servicio de despertador, Habitaciones sin humo, Desayuno en la habitación, Teléfono, Secador de pelo, WC, Servicio de traslado, Zona de spa / relajación, Servicio de conserjería, Canguro / servicios para niños, Enchufe cerca de la cama, Ducha, Reloj despertador, Situado frente a la playa, Toallas de playa/piscina, Zona de pícnic, Servicio de limpieza diario, Información turística, Paquetes de spa / bienestar, Canales vía satélite, Tumbonas/sillas de playa, Menú para niños, Balcón, Piscina infantil, Adecuada para niños, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Sala de juegos, Sombrillas, Seguridad 24 horas, Cafetería en el alojamiento, Baños públicos, Guardaequipaje, Centro de negocios, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Servicio de entrega de comestibles, Boles para mascotas, Extintores, Alquiler de coches, Habitaciones familiares, Canales de pago, Desayuno fantástico, Español, Caja fuerte, Alarma de seguridad, Inglés, 2 piscinas, Campo de golf (a menos de 3 km), TV de pantalla plana, Toallas, Plancha para ropa, Snorkel, Restaurante, Abierta todo el año, Italiano, Servicio de planchado, Cambio de moneda, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Happy hour, Clases de yoga, Calefacción, Piragüismo, Adaptado personas de movilidad reducida, Instalaciones de spa, Bañera de hidromasaje / jacuzzi, Habitaciones hipoalergénicas, Armario, Pesca, Baño de vapor, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504627990.jpg?k=be280bd646cc1e92feb0ab9ae6472e45c2dd626ad44f3530500f9d199d3a8823&o=&hp=1,Olanchito,Honduras
MANURII Garden,https://www.booking.com/hotel/hn/colibri-hill.es.html?aid=2410095,"El MANURII Garden dispone de 8 habitaciones y 2 apartamentos. Cuenta con piscina, bar, restaurante, un impresionante jardín tropical y habitaciones con aire acondicionado y baño privado.

Algunas habitaciones tienen balcón con vistas al mar. Este hotel de propiedad familiar combina la cultura honduresa con la cultura alemana.

El MANURII Garden se encuentra en un oasis verde, a solo unos pasos de la concurrida calle principal, con sus animados bares y restaurantes. El MANURII Garden es la eponym del hotel y ofrece la diversidad de colibríes todos los días.

El MANURII Garden se encuentra en Utila, la más pequeña de las islas Bay, en el Caribe. Es famoso por su buceo en el segundo arrecife más grande del mundo. La Ceiba está a 40 km del hotel.

El hotel está a solo 600 metros de la terraza principal del ferry.","Papel higiénico, Ropa de cama, Vistas al jardín, Fax / fotocopiadora, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Juegos de mesa / puzles, Seguridad 24 horas, Vistas, Chimenea exterior, Horario de apertura, Toallas, Bañera o ducha, WC, Masajes, Bar, Zona de fumadores, Servicio de conserjería, Enchufe cerca de la cama, Terraza, Ducha, Suelo de madera o parquet, Abierta todo el año, Jardín, Llave de acceso, Mobiliario exterior, Zona de pícnic, Parking en la calle, Acceso a pisos superiores solo mediante escaleras, Piscina pequeña, Clases de yoga, Alemán, Boles para mascotas, Información turística, Extintores, Piscina al aire libre, Solo para adultos, WiFi gratis, Ventilador, Perchero, Productos de limpieza, Terraza / solárium, Piscina infinita, Armario, Bar en la piscina, Inglés, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/370721964.jpg?k=9e0d1823540018bb102913b2585233c24f66188fcc981d15c53231782d7eab76&o=&hp=1,Olanchito,Honduras
"Hotel Real InterContinental San Pedro Sula, an IHG Hotel",https://www.booking.com/hotel/hn/real-intercontinental-san-pedro-sula.es.html?aid=2410095,"Este hotel, situado en el corazón del distrito de ocio y negocios de San Pedro Sula, alberga piscina al aire libre, spa con sauna y centro de fitness. Hay conexión a internet de alta velocidad.

Todas las habitaciones disponen de TV de pantalla plana, soporte móvil, ropa de cama de algodón egipcio de 300 hilos, cortinas opacas, ventanas insonorizadas y baño amplio con amplios cabezales de ducha.

El Bambú Restaurant propone un buffet internacional y platos a la carta. Además, el NAU Sushi Lounge ofrece sushi, cócteles artesanos y música en directo. El Factory Steak & Lobster sirve carnes de primera calidad y langosta recién capturada.

El establecimiento se encuentra en el complejo Multiplaza Mall, con más de 100 locales, como cafeterías, boutiques, restaurantes y tiendas. El aeropuerto internacional Villeda Morales se halla a 15 km.","Servicios de depilación, Fax / fotocopiadora, Servicios de belleza, Baño privado, Vino / champán, Registro de entrada / salida privado, Salas de reuniones / banquetes, Detectores de humo, Canales por cable, Ascensor, Masajes, Bar, Guiado auditivo, Zona de fumadores, Habitaciones insonorizadas, Zapatillas, Servicio de limpieza en seco, Escritorio, Mobiliario exterior, Tarjeta de acceso, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Galerías de arte temporales, Música / espectáculos en directo, Minibar, TV, WC elevado, Proporciona factura, Masaje de pies, Exfoliación corporal, Papel higiénico, Ropa de cama, Servicio de despertador, Eventos deportivos en directo (emisión), Habitaciones sin humo, Cenas temáticas, Albornoz, Desayuno en la habitación, Teléfono, Secador de pelo, Vistas, Cuerda de emergencia en el baño, WC, Servicio de traslado, Zona de spa / relajación, Acceso a pisos superiores en ascensor, Bañera, Servicio de conserjería, Canguro / servicios para niños, Enchufe cerca de la cama, Almuerzos para llevar, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Insonorización, Zona TV / salón de uso compartido, Clases de cocina, Servicio de limpieza diario, Masaje corporal completo, Fruta, Paquetes de spa / bienestar, Canales vía satélite, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Buffet para niños, Menú para niños, Radio, WC con barras de apoyo, Tetera/cafetera en todas las habitaciones, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Gimnasio, Suelo de moqueta, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Sombrillas, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Entretenimiento nocturno, Guardaequipaje, Centro de negocios, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Cafetera, Soporte para iPod, Caja fuerte para ordenador portátil, Extintores, Registro de entrada y salida exprés, Masaje de cabeza, Productos de limpieza, Desayuno fantástico, Español, Masaje de cuello, Caja fuerte, Alarma de seguridad, Utensilios de planchado, Tratamientos faciales, Campo de golf (a menos de 3 km), Apoyo visual: braille, TV de pantalla plana, Menús para dietas especiales (bajo petición), Lavamanos más bajo, Toallas, Plancha para ropa, Masaje de manos, Bañera o ducha, Barbacoa, Masaje de espalda, Restaurante, Servicio de planchado, Cambio de moneda, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Happy hour, Adaptado personas de movilidad reducida, Instalaciones de spa, Envoltura corporal, Armario, Inglés, Baño de vapor, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532240755.jpg?k=303a01e7ab829e40ceec6f218774d3ab79027b0290fc5c414d99d299a9795826&o=&hp=1,Olanchito,Honduras
Coral View Beach Resort,https://www.booking.com/hotel/hn/coral-view-beach-resort.es.html?aid=2410095,"El Coral View Beach Resort está situado en la isla tropical de Utila, rodeado de una gran variedad de arrecifes de coral y aguas caribeñas, y ofrece centro de buceo, escuela, restaurante (Shell Del Mar), bar frente al mar (Reef Bar), 2 piscinas, tienda de buceo y conexión WiFi gratuita.

Las habitaciones incluyen baño privado y ducha de agua caliente, así como el uso de nuestro equipo de snorkel y kayak.

El establecimiento ofrece servicio de traslado gratuito. En los alrededores se pueden practicar diversas actividades, como equitación y snorkel.

Se puede llegar al Coral View Beach Resort desde el muelle municipal de Utila, girar a la izquierda (este) a lo largo de la calle principal y es un paseo rápido de 8 minutos en tuk-tuk (taxi) o unos 20 minutos a pie.","Fax / fotocopiadora, Baño privado, Registro de entrada / salida privado, Salas de reuniones / banquetes, Playa, Bar, Ruta de bares, Mobiliario exterior, Piscina de agua salada, Tour o clase sobre cultura local, Piscina al aire libre, WiFi gratis, Submarinismo, Terraza / solárium, Traslado aeropuerto (gratis), Proporciona factura, Papel higiénico, Ropa de cama, Servicio de despertador, Habitaciones sin humo, Desayuno en la habitación, WC, Servicio de traslado, Senderismo, Servicio de conserjería, Almuerzos para llevar, Enchufe cerca de la cama, Suelo de madera o parquet, Ducha, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Zona TV / salón de uso compartido, Zona de pícnic, Clases de cocina, Servicio de limpieza diario, Información turística, Fruta, Tumbonas/sillas de playa, Menú para niños, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Traslado aeropuerto, Piscina con vistas, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Zona privada de playa, Boles para mascotas, Extintores, Alquiler de coches, Registro de entrada y salida exprés, Habitaciones familiares, Desayuno, Español, Alarma de seguridad, Juegos de mesa / puzles, Menús para dietas especiales (bajo petición), Toallas, Bañera o ducha, Snorkel, Restaurante, Abierta todo el año, Tours a pie, Servicio de planchado, Cambio de moneda, Pista de tenis, Happy hour, Equitación, Clases de yoga, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Ciclismo, Armario, Bar en la piscina, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/383105358.jpg?k=c48845002d2ee7883475d2ca8dbcc1e22da03f948476d7a37e5c5e95e809d0d4&o=&hp=1,Olanchito,Honduras
Airport Inn Roatan,https://www.booking.com/hotel/hn/airport-inn-roa-coxen-hole.es.html?aid=2410095,"Airport Inn Roatan está en Roatán, a 19 km de Parque Gumbalimba, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y mostrador de información turística. El alojamiento ofrece traslado para ir o volver del aeropuerto y también hay servicio de alquiler de coches.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones incluyen cafetera y baño privado con bañera o ducha y artículos de aseo gratuitos. Algunas habitaciones también incluyen zona de cocina con nevera. En el hotel, todas las habitaciones cuentan con ropa de cama y toallas.

En Airport Inn Roatan se sirve cada mañana un desayuno americano.

Carambola Gardens está a 9,4 km del alojamiento. El aeropuerto (Aeropuerto internacional Juan Manuel Gálvez) está a 1 km.","Papel higiénico, Ropa de cama, Vistas al jardín, Fax / fotocopiadora, Baño privado, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Desayuno en la habitación, TV de pantalla plana, Menús para dietas especiales (bajo petición), Cámaras de seguridad en las zonas comunitarias, Toallas, Snack-bar, Supermercado pequeño en el alojamiento, Bañera o ducha, Plancha para ropa, Servicio de traslado, Guardaequipaje, Proporciona factura, Plancha para pantalones, Restaurante, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Almuerzos para llevar, Servicio de planchado, Jardín, Cambio de moneda, Mobiliario exterior, Cafetera, Llave de acceso, Máquina expendedora (bebidas), Servicio de entrega de comestibles, Servicio de limpieza diario, Información turística, Extintores, Registro de entrada y salida exprés, Alquiler de coches, Servicio de habitaciones, WiFi gratis, Máquina expendedora (aperitivos), Terraza / solárium, TV, Inglés, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569464476.jpg?k=8896018a43a06854504b4593c051342935ae59c8ed4d6649acb5430fc364c02d&o=&hp=1,Olanchito,Honduras
Hotel Caxa Real,https://www.booking.com/hotel/hn/caxa-real-comayagua.es.html?aid=2410095,"Hotel Caxa Real, que tiene bar, está en Comayagua. Este hotel de 3 estrellas ofrece terraza y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay un restaurante de cocina americana y parking privado gratis.

En el hotel, todas las habitaciones incluyen armario. En Hotel Caxa Real, todas las habitaciones disponen de escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, las habitaciones tienen ropa de cama y toallas.

El personal, que habla inglés, español y francés, ofrece consejos las 24 horas en la recepción.

El aeropuerto (Aeropuerto internacional de Palmerola) está a 8 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","2 restaurantes, Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Francés, Toallas, WC, Bar, Restaurante, Recepción 24 horas, Terraza, Ducha, Artículos de aseo gratis, Escritorio, Prohibido fumar en todo el alojamiento, Mesa de comedor, WiFi gratis, Perchero, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520647523.jpg?k=939e0e7378b2fedc45cb247c1f914640b9109f17ec71809f51487b4bcda51d9e&o=&hp=1,Olanchito,Honduras
Paraiso Rainforest and Beach Hotel,https://www.booking.com/hotel/hn/paraiso-rainforest-and-beach-omoa.es.html?aid=2410095,"El Paraiso Rainforest and Beach Hotel se encuentra frente a la bahía de Omoa, a 24 km de San Pedro Sula, y ofrece alojamiento y WiFi gratuita en todas sus instalaciones. También alberga una sala de juegos y un bar. Se facilita aparcamiento privado gratuito.

Las habitaciones disponen de TV de pantalla plana por cable y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

Hay un mostrador de información turística y una tienda de regalos.

Asimismo, el hotel dispone de mesa de billar y se encuentra a 1 hora y 35 minutos en coche del aeropuerto internacional Ramón Villeda Morales, el más cercano.","Piscina infantil, 2 restaurantes, Caja fuerte, Inglés, Baño privado, Adecuada para niños, Aire acondicionado, 2 piscinas, Parking gratis, Salas de reuniones / banquetes, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Piscina con vistas, Playa, Menús para dietas especiales (bajo petición), Snack-bar, Snorkel, Masajes, Bar, Dardos, Senderismo, Restaurante, Buen desayuno, Servicio de lavandería, Terraza, Abierta todo el año, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Jardín, Mobiliario exterior, Zona privada de playa, Equitación, Toallas de playa/piscina, Servicio de limpieza diario, Piragüismo, Información turística, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Submarinismo, Billar, Tumbonas/sillas de playa, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/119102707.jpg?k=fca013079fadaa62b2e9e50588713a17b9207348a003f33851f0e223b27c9b58&o=&hp=1,Olanchito,Honduras
Hotel Las Hamacas,https://www.booking.com/hotel/hn/las-hamacas.es.html?aid=2410095,"Hotel Las Hamacas tiene piscina al aire libre, terraza, restaurante y bar en La Ceiba. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento dispone de karaoke y servicio de traslado gratuito.

En el hotel, todas las habitaciones están equipadas con armario. Todas las habitaciones del alojamiento tienen baño privado con artículos de aseo gratuitos, TV de pantalla plana y aire acondicionado. Algunas de las habitaciones cuentan con balcón. En Hotel Las Hamacas, las habitaciones tienen ropa de cama y toallas.

El alojamiento ofrece desayuno continental o americano.

Hotel Las Hamacas ofrece zona de juegos infantil. Puedes jugar al billar y al ping-pong en el hotel.

El aeropuerto (Aeropuerto Internacional Golosón) está a 10 km.","2 restaurantes, Papel higiénico, Ropa de cama, Fax / fotocopiadora, Caja fuerte, Baño privado, Servicio de despertador, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Habitaciones sin humo, Salas de reuniones / banquetes, Suelo de baldosa / mármol, Juegos de mesa / puzles, Zona de juegos para niños, Detectores de humo, Teléfono, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Toallas, Snack-bar, Plancha para ropa, Snorkel, Servicio de traslado, Bar, Baños públicos, Ping pong, Senderismo, Restaurante, Equipamiento de juegos para exterior, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Almuerzos para llevar, Servicio de planchado, Abierta todo el año, Cambio de moneda, Llave de acceso, Baño al aire libre, Prohibido fumar en todo el alojamiento, Happy hour, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Extintores, Para todas las edades, Muy buen desayuno, Servicio de habitaciones, WiFi gratis, Karaoke, Billar, Productos de limpieza, Terraza / solárium, Tumbonas/sillas de playa, Armario, Habitaciones familiares, TV, Menú para niños, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/48402345.jpg?k=899846643b6157faaa54b28e0143875841ceb1dc0561f253a2e2af235b598222&o=&hp=1,Olanchito,Honduras
Indura Beach & Golf Resort Curio Collection By Hilton,https://www.booking.com/hotel/hn/indura-resort.es.html?aid=2410095,"El Indura Resort ofrece 3 piscinas al aire libre y un centro de spa y bienestar en Tela, entre la laguna de Los Maicos y el mar Caribe en Honduras. Este alojamiento sostenible organiza clases de yoga y tai chi.

Las habitaciones del complejo incluyen TV de pantalla plana, aire acondicionado, soporte para iPod, cafetera y baño privado con ducha, secador de pelo y albornoz. Algunas habitaciones gozan de vistas al mar y a la montaña. También disponen de zona de estar y TV por cable.

El Indura Resort alberga 5 restaurantes diferentes, algunos con un bar en la zona del vestíbulo o junto a la piscina. Se ofrecen platos gourmet, aperitivos y carnes.

El establecimiento dispone de un centro de fitnesss, instalaciones para reuniones, un club infantil y un campo de golf de 18 hoyos diseñado por Gary Player. El establecimiento proporciona aparcamiento gratuito.","Club infantil, Salas de reuniones / banquetes, Detectores de humo, Canales por cable, Playa, Snack-bar, Ascensor, Masajes, Bar, Ping pong, Nevera, Servicio de limpieza en seco, Escritorio, Tarjeta de acceso, Muy buen desayuno, Servicio de habitaciones, Terraza / solárium, TV, WC elevado, Cajero automático en el hotel, Servicio de despertador, Habitaciones sin humo, Albornoz, Teléfono, Secador de pelo, WC, Servicio de traslado, Bañera, Canguro / servicios para niños, Parking adaptado para personas de movilidad reducida, Reloj despertador, Toallas de playa/piscina, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Paquetes de spa / bienestar, Aeróbic, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Balcón, Radio, WC con barras de apoyo, Piscina infantil, Tetera/cafetera en todas las habitaciones, Adecuada para niños, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Seguridad 24 horas, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Masaje en pareja, Caja fuerte para ordenador portátil, Extintores, Registro de entrada y salida exprés, Zona de estar, Habitaciones familiares, Español, Caja fuerte, Inglés, 2 piscinas, Utensilios de planchado, Vídeo, Campo de golf (a menos de 3 km), TV de pantalla plana, Restaurante, Abierta todo el año, Tours a pie, Servicio de planchado, Llave de acceso, Spa y centro de bienestar, Pista de tenis, Clases de yoga, Calefacción, Instalaciones para deportes acuáticos en el alojamiento, Adaptado personas de movilidad reducida, WiFi en todo el alojamiento, Taquillas en el gimnasio / spa, Instalaciones de spa, Ciclismo, Ventilador, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490839574.jpg?k=5edd232f700f9be409762eedd96ca825cdad3b0bbb85c6c7da2ea0d99a550a41&o=&hp=1,Olanchito,Honduras
