hotel,hotel_url,description,popular_facilities,highres_url,city,country
Vikara,https://www.booking.com/hotel/ec/vikara.es.html?aid=2410095,"Vikara está en Olón, a pocos pasos de Playa Olón, y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con piscina al aire libre.

Algunas unidades tienen zona de estar y/o patio.

En el bed and breakfast se sirve cada mañana un desayuno americano.

Vikara dispone de terraza solárium.","Servicio de planchado, Desayuno, Clases de yoga, Menús para dietas especiales (bajo petición), Parking gratis, Masajes, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Paquetes de spa / bienestar, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Toda la unidad en la planta baja, Mobiliario exterior, Alquiler de bicicletas, WiFi gratis, Inglés, Para todas las edades, Masaje de pies, Baños públicos, Equitación, Menú para niños, Masaje corporal completo, Servicio de traslado, Proporciona factura, Terraza / solárium, Toallas, Vino / champán, Jardín, Cafetería en el alojamiento, Snack-bar, Solo para adultos, Zona de fumadores, Masaje de espalda, Abierta todo el año, Español, Baño privado, Aire acondicionado, Piscina al aire libre, Habitaciones sin humo, Restaurante, Extintores, Zona de pícnic, Instalaciones de spa, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/283761385.jpg?k=5edd7a50bb08af22987023b18c5bccf642c64d530360cf46a8f727a861232030&o=&hp=1,Olón,Ecuador
Hostal Oloncito,https://www.booking.com/hotel/ec/hostal-oloncito.es.html?aid=2410095,"El Hostal Oloncito ofrece alojamientos junto a la playa de Olón, a 3 minutos a pie del centro de la ciudad. El establecimiento tiene un jardín tropical, una cocina compartida y conexión WiFi gratuita en todas sus instalaciones. Además, hay chimenea y sala de juegos.

Las habitaciones están decoradas con elementos de piedra y madera exótica. Disponen de escritorio, ropa de cama y baño privado con toallas y ducha.

El establecimiento cuenta con aparcamiento gratuito y una terraza amueblada con techo de palapa y vistas al jardín. A unos 3 minutos a pie del alojamiento hay un restaurante. En las inmediaciones del establecimiento se pueden hacer varias actividades, como snorkel, equitación, surf y windsurf.

El establecimiento queda a 10 km del acuario de Valdivia, a 3 minutos en coche del refugio de tortugas Estrella del Mar y a 20 km de 1 de las iglesias más antiguas de la zona.

El Hostal Oloncito está a 2 km de un parque natural, a 1 hora en coche del centro urbano de La Libertad y a 2 horas en coche del aeropuerto internacional José Joaquín de Olmedo.","Playa, Entretenimiento nocturno, Sala de juegos, Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Barbacoa, Zona de juegos interior, Masaje de manos, Masajes, Parking gratis, Baño al aire libre, Sombrillas, Tours en bici, Traslado aeropuerto, Chimenea exterior, Perchero, Salas de reuniones / banquetes, Terraza, Habitaciones hipoalergénicas, Armario, Papel higiénico, Cocina compartida, Masaje de cabeza, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Equipamiento de tenis, Masaje de pies, Baños públicos, Equitación, Pesca, Alarma de seguridad, Masaje corporal completo, WC, Alemán, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Snack-bar, Jardín, Cafetería en el alojamiento, Masaje de espalda, Centro de negocios, Galerías de arte temporales, Juegos de mesa / puzles, 2 restaurantes, Productos de limpieza, Tours a pie, Bañera de hidromasaje / jacuzzi, Snorkel, Baño privado, Aire acondicionado, Español, Parking en la calle, Equipamiento de juegos para exterior, Habitaciones sin humo, Enchufe cerca de la cama, Windsurf, Restaurante, Extintores, Zona de juegos para niños, Zona de pícnic, Zona TV / salón de uso compartido, Guardaequipaje, Entrada privada, Ropa de cama, Masaje de cuello, Ducha, Ventilador, Senderismo, Ping pong, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/47823600.jpg?k=fb66801f55d405cb3b415e6f441283330d3a372b7dd212ffa0ad127a64f5ede1&o=&hp=1,Olón,Ecuador
The Sea Garden House,https://www.booking.com/hotel/ec/the-sea-garden-house.es.html?aid=2410095,"El The Sea Garden House está situado en la playa de Olón y ofrece habitaciones con conexión WiFi gratuita, balcón privado y vistas al mar. También hay una sala de juegos. El Museo Amantes de Sumpa se encuentra a 55 km.

El The Sea Garden House presenta un tejado a dos aguas y paredes de ladrillo a la vista. Ofrece habitaciones muy luminosas con baño privado.

Todos los días se sirve el desayuno.

El The Sea Garden House se halla a 160 km de la estación de autobuses de Guayaquil y del aeropuerto José Joaquín Olmedo.","Playa, Barbacoa, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Sombrillas, Italiano, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Inglés, Menú para niños, Tarjetas de transporte público, Situado frente a la playa, Servicio de traslado, Servicio de habitaciones, Zona de fumadores, Snack-bar, Información turística, Jardín, Juegos de mesa / puzles, Almuerzos para llevar, Español, Aire acondicionado, Parking en la calle, Habitaciones sin humo, Restaurante, Zona de juegos para niños, Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/15187655.jpg?k=7f0034c62fd3b17f5d5b80e5de968062fdd0b8f5917b9f8c429806c87777c95c&o=&hp=1,Olón,Ecuador
Alma Olon,https://www.booking.com/hotel/ec/alma-olon.es.html?aid=2410095,"Alma Olon está en Olón y tiene terraza, restaurante, bar y wifi gratis en todo el alojamiento. Playa Olón está a pocos pasos del hotel.

Las habitaciones cuentan con baño privado y artículos de aseo gratuitos, y algunas también ofrecen cocina con nevera. En el hotel, todas las habitaciones incluyen aire acondicionado y TV.","Playa, Registro de entrada y salida exprés, Canales vía satélite, Instalaciones para deportes acuáticos en el alojamiento, Desayuno, Clases de yoga, Masajes, Parking gratis, Entrenador personal, Llave de acceso, Servicio de limpieza diario, Happy hour, Terraza, Boles para mascotas, Bar, Detectores de humo, WiFi gratis, TV, Inglés, Menú para niños, Masaje corporal completo, Proporciona factura, Servicio de habitaciones, Terraza / solárium, Zona de fumadores, Artículos de aseo gratis, Galerías de arte temporales, Español, Baño privado, Aire acondicionado, Parking en la calle, Clases de fitness, Habitaciones sin humo, Extintores, Restaurante, Servicio de streaming (como Netflix), Peluquería / salón de belleza, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517486307.jpg?k=d2d24cf3ca658b1dad35691987dcf833c969f6c99f236cd263c82b1aea7549f8&o=&hp=1,Olón,Ecuador
Ocean Blue Hotel,https://www.booking.com/hotel/ec/ocean-blue.es.html?aid=2410095,"Ocean Blue Hotel está en Olón, a 2,4 km de Playa Olón, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis. El cafetería es ideal para tomar algo.

En el hotel, las habitaciones incluyen aire acondicionado, armario, TV de pantalla plana, baño privado, ropa de cama, toallas y patio con vistas a la piscina. Algunas habitaciones también incluyen cocina con nevera y microondas.

En Ocean Blue Hotel se sirve cada mañana un desayuno americano.

El alojamiento ofrece alojamiento de 3 estrellas con bañera de hidromasaje y terraza.

Hay un bar en el alojamiento, y también se puede usar la zona business.","Playa, Fruta, Vistas al jardín, Canales vía satélite, Prohibido fumar en todo el alojamiento, Plancha para pantalones, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Sombrillas, Llave de acceso, Servicio de limpieza diario, Salas de reuniones / banquetes, Happy hour, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de entrega de comestibles, Vistas a la piscina, Bar, Mobiliario exterior, WiFi gratis, TV, Servicio de conserjería, Piscina pequeña, Para todas las edades, Menú para niños, Alarma de seguridad, WC, Proporciona factura, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Snack-bar, Registro de entrada / salida privado, Información turística, Centro de negocios, Fax / fotocopiadora, Almuerzos para llevar, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Bañera, Español, Baño privado, Patio, Aire acondicionado, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Enchufe cerca de la cama, Música / espectáculos en directo, Zona de pícnic, Recepción 24 horas, Extintores, Zona TV / salón de uso compartido, Zona privada de playa, Guardaequipaje, Suelo de baldosa / mármol, TV de pantalla plana, Ropa de cama, Ducha, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/63001617.jpg?k=5f581da318a6cb5a799030ce84debf1ebd38ae5a2605b36a1e41c924c1367e24&o=&hp=1,Olón,Ecuador
Samai Lodge Holistic Living,https://www.booking.com/hotel/ec/red-mangrove-samai-lodge.es.html?aid=2410095,"El Samai Lodge Holistic Living, situado a solo 1 km de la playa de Olón - San José, ofrece un jardín con piscina, además de habitaciones con vistas al jardín y al mar, cerca de Montañita. El desayuno está incluido y hay conexión WiFi gratuita en las zonas comunes.

Las habitaciones del Samai Lodge Holistic Living son muy luminosas y disponen de techos de madera, ventanales con vistas al mar y al jardín y baño privado con artículos de aseo.

Todos los días se sirve un desayuno americano compuesto de productos frescos procedentes del huerto del establecimiento.

El Samai Lodge Holistic Living se encuentra a 10 minutos en coche de la estación de autobuses de Olón y a 15 minutos en coche de Montañita. La ciudad de Quayaquil queda a 3 horas en coche.","Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Eventos deportivos en directo (emisión), Masajes, Parking gratis, Sombrillas, Tours en bici, Perchero, Terraza, Canguro / servicios para niños, Zona de spa / relajación, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Karaoke, Masaje de pies, Pesca, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Centro de negocios, Taquillas en el gimnasio / spa, Vistas a la montaña, Snorkel, Español, Zona TV / salón de uso compartido, Extintores, Ropa de cama, Secadora de ropa, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Noches de cine, Baño al aire libre, Entrenador personal, Traslado aeropuerto, Chimenea exterior, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Vistas a un lugar de interés, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Piscina infantil, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Vistas al mar, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Spa y centro de bienestar, WC elevado, Guardaequipaje, Entrada privada, Buen desayuno, Instalaciones de spa, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Zona de estar, Habitaciones hipoalergénicas, Papel higiénico, Cocina compartida, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Libros, DVD o música para niños, Snack-bar, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Abierta todo el año, Clases de cocina, Baño privado, Aire acondicionado, Balcón, Piscina al aire libre, Adaptado para sillas de ruedas, Ducha, Capilla, Camas extralargas (más de 2 metros), Ciclismo, Playa, Entretenimiento nocturno, Zona de juegos interior, Clases de yoga, Menús para dietas especiales (bajo petición), Llave de acceso, Paquetes de spa / bienestar, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Equitación, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Información turística, WC con barras de apoyo, Restaurante, Zona de pícnic, Masaje en pareja, Masaje de cuello, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/13234457.jpg?k=4180e141897e3bb776142db3fbb468fb257bd36b3a268cc8973d93b3b68ba8e6&o=&hp=1,Olón,Ecuador
Sea view suite Olón,https://www.booking.com/hotel/ec/sea-view-suite-olon.es.html?aid=2410095,"Sea view suite Olón se encuentra en Olón y ofrece alojamiento con balcón y wifi gratis. Este apartamento está a pocos pasos de Playa Olón.

Este apartamento con aire acondicionado da a una terraza con vistas al mar y cuenta con 1 dormitorio y cocina totalmente equipada. Hay toallas y ropa de cama en el apartamento.","Playa, Prohibido fumar en todo el alojamiento, Zona de cocina, Parking gratis, Italiano, Terraza, Papel higiénico, Apartamento privado en edificio, WiFi gratis, TV, Inglés, Nevera, WC, Acceso a pisos superiores solo mediante escaleras, Toallas, Artículos de aseo gratis, Español, Aire acondicionado, Vistas al mar, Parking en la calle, Fogones, Balcón, Habitaciones sin humo, Vistas, Cocina, Francés, TV de pantalla plana, Ropa de cama, Entrada privada, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542844619.jpg?k=cc15621f48aab86a0bcb1b843c613d250c048628962c73115548d72fe5c5c43a&o=&hp=1,Olón,Ecuador
Casa Palmamar,https://www.booking.com/hotel/ec/casa-palmamar.es.html?aid=2410095,"Casa Palmamar está en Olón, a pocos pasos de Playa Olón. Este hostal o pensión acepta mascotas y ofrece wifi gratis.

En el hostal o pensión, todas las habitaciones tienen terraza. Las unidades del alojamiento disponen de baño privado con ducha, TV de pantalla plana y aire acondicionado. Algunas habitaciones también ofrecen balcón. En Casa Palmamar, las habitaciones están equipadas con ropa de cama y toallas.","Prohibido fumar en todo el alojamiento, Parking gratis, Perchero, Terraza, Papel higiénico, Mobiliario exterior, Detectores de humo, WiFi gratis, TV, Inglés, Alemán, WC, Proporciona factura, Toallas, Español, Aire acondicionado, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Suelo de baldosa / mármol, TV de pantalla plana, Ropa de cama, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530569773.jpg?k=32367ce06265d2c113dd26cc278ee502b98262f6249e1eb28b2b21da686d3b04&o=&hp=1,Olón,Ecuador
Bed and Breakfast La Casa Naranja,https://www.booking.com/hotel/ec/la-casa-naranja.es.html?aid=2410095,"La Casa Naranja es un B&B situado en Olón que ofrece un desayuno americano o sin gluten diario por un suplemento y actividades al aire libre. A 10 minutos a pie hay una reserva natural y la terminal de autobuses CLP.

Las habitaciones de La Casa Naranja cuentan con aire acondicionado, ventilador y baño privado con agua caliente. Se proporcionan toallas limpias y ropa de cama.

La playa de Olón se encuentra a 120 metros, mientras que el aeropuerto General Ulpiano Paez está a 1 hora y media en coche.","Playa, Cafetera, Parking en un garaje, Prohibido fumar en todo el alojamiento, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Vistas a un patio interior, Seguridad 24 horas, Armario, Papel higiénico, Detectores de humo, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Wifi rápida gratis (272 Mbps), Tetera/cafetera en todas las habitaciones, Hervidor eléctrico, Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Detector de monóxido de carbono, Vistas a la montaña, Bañera, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Balcón, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Servicio de streaming (como Netflix), Suelo de baldosa / mármol, Escritorio, Ropa de cama, TV de pantalla plana, Tetera / cafetera, Ducha, Ventilador, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/409281582.jpg?k=47cc77e58e283a7d287d580c7e7ee60c291f202d2d1112615bc120193684c709&o=&hp=1,Olón,Ecuador
Rincón d'Olón Boutique Hotel,https://www.booking.com/hotel/ec/rincon-d-39-olon-olon.es.html?aid=2410095,"El Rincón d'Olón Boutique Hotel se encuentra en el centro de Olón y ofrece piscina pequeña al aire libre, desayuno buffet continental gratuito y WiFi de alta velocidad. El establecimiento cuenta con terraza en la azotea, cabina de hamacas, jardín tropical y zona de barbacoa de uso gratuito.

Algunos alojamientos tienen cocina totalmente equipada y hervidor de agua con café, té, agua embotellada y minibar gratuito. Algunas habitaciones tienen vistas a las montañas, al jardín o a la ciudad. Todas las habitaciones tienen baño privado con ducha de agua caliente. TV de pantalla plana, ventilador de techo y aire acondicionado.

Hay aparcamiento gratuito vigilado por cámaras de alta definición.

En la zona se pueden practicar diversas actividades, como surf, parapente, equitación y ciclismo. El Rincón d'Olón Boutique Hotel se encuentra a 4,2 km de Montañita y a 26 km de Puerto López.","Prohibido fumar en todo el alojamiento, Plancha para ropa, Masajes, Parking gratis, Cubierta para piscina, Perchero, Terraza, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Nevera, Canales por cable, Zona de fumadores, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Almuerzos para llevar, Español, Parking en la calle, Enchufe cerca de la cama, Extintores, TV de pantalla plana, Ropa de cama, Traslado aeropuerto (gratis), Horario de apertura, Adaptado personas de movilidad reducida, Habitaciones familiares, Tarjeta de acceso, Cafetera, Fruta, Desayuno, Traslado aeropuerto, Hervidor eléctrico, WC, Vino / champán, Artículos de aseo gratis, Piscina infantil, Fax / fotocopiadora, Habitaciones sin humo, Guardaequipaje, Entrada privada, Ventilador, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Servicio de limpieza diario, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Secador de pelo, Productos de limpieza, Abierta todo el año, Baño privado, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Tetera / cafetera, Ducha, Calefacción, Playa, Clases de yoga, Cambio de moneda, Llave de acceso, Boles para mascotas, Caja fuerte, Inglés, Tetera/cafetera en todas las habitaciones, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Toallas de playa/piscina, Bar en la piscina, Restaurante, Suelo de baldosa / mármol, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/197143823.jpg?k=adbad4ac57bca3ef5814d5167b2242d81b0557ffc56ce2d960f017fadcb76f78&o=&hp=1,Olón,Ecuador
