hotel,hotel_url,description,popular_facilities,highres_url,city,country
Sunset Hut Hostel,https://www.booking.com/hotel/hn/sunset-hut-hostel.es.html?aid=2410095,"Sunset Hut Hostel dispone de piscina al aire libre, jardín, salón de uso común y terraza en Omoa. El alojamiento tiene bar y zona de playa privada. Hay un restaurante de cocina americana y parking privado gratis.

Algunas de las habitaciones también están equipadas con cocina con nevera, horno y microondas.

Puedes jugar al billar, al ping-pong y a los dardos en el albergue.

En la recepción 24 horas se hablan varios idiomas, como inglés y español.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 70 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Piscina con vistas, Noches de cine, Sombrillas, Seguridad 24 horas, Playa, Menús para dietas especiales (bajo petición), Horario de apertura, Español, Cámaras de seguridad en las zonas comunitarias, Snack-bar, Equipamiento de bádminton, Snorkel, WC, Cocina compartida, Tours en bici, Barbacoa, Servicio de traslado, Bar, Entretenimiento nocturno, Dardos, Ping pong, Senderismo, Proporciona factura, Restaurante, Servicio de conserjería, Recepción 24 horas, Zona de fumadores, Servicio de lavandería, Almuerzos para llevar, Terraza, Ducha, Bingo, Tours a pie, Abierta todo el año, Situado frente a la playa, Jardín, Mobiliario exterior, Cambio de moneda, Happy hour, Llave de acceso, Zona TV / salón de uso compartido, Baño al aire libre, Zona privada de playa, Servicio de entrega de comestibles, Zona de pícnic, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Piscina al aire libre, Instalaciones para deportes acuáticos en el alojamiento, Extintores, Solo para adultos, Servicio de habitaciones, Para todas las edades, Comedia en vivo, Karaoke, Música / espectáculos en directo, Billar, Baños públicos, Terraza / solárium, Tumbonas/sillas de playa, Pesca, Desayuno, Parque acuático",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553289286.jpg?k=34997cc6b14b2a8e706f2ac6ac9eb7585b4ff46734bb6603ff0c673bcc8d2837&o=&hp=1,Omoa,Honduras
Paraiso Rainforest and Beach Hotel,https://www.booking.com/hotel/hn/paraiso-rainforest-and-beach-omoa.es.html?aid=2410095,"El Paraiso Rainforest and Beach Hotel se encuentra frente a la bahía de Omoa, a 24 km de San Pedro Sula, y ofrece alojamiento y WiFi gratuita en todas sus instalaciones. También alberga una sala de juegos y un bar. Se facilita aparcamiento privado gratuito.

Las habitaciones disponen de TV de pantalla plana por cable y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

Hay un mostrador de información turística y una tienda de regalos.

Asimismo, el hotel dispone de mesa de billar y se encuentra a 1 hora y 35 minutos en coche del aeropuerto internacional Ramón Villeda Morales, el más cercano.","Piscina infantil, 2 restaurantes, Caja fuerte, Inglés, Baño privado, Adecuada para niños, Aire acondicionado, 2 piscinas, Parking gratis, Salas de reuniones / banquetes, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Piscina con vistas, Playa, Menús para dietas especiales (bajo petición), Snack-bar, Snorkel, Masajes, Bar, Dardos, Senderismo, Restaurante, Buen desayuno, Servicio de lavandería, Terraza, Abierta todo el año, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Jardín, Mobiliario exterior, Zona privada de playa, Equitación, Toallas de playa/piscina, Servicio de limpieza diario, Piragüismo, Información turística, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Submarinismo, Billar, Tumbonas/sillas de playa, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/119102707.jpg?k=fca013079fadaa62b2e9e50588713a17b9207348a003f33851f0e223b27c9b58&o=&hp=1,Omoa,Honduras
Hotel Viña del Mar Omoa,https://www.booking.com/hotel/hn/vina-del-mar-omoa.es.html?aid=2410095,"Hotel Viña del Mar Omoa tiene piscina al aire libre, salón de uso común, restaurante y bar en Omoa. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos. En el hotel, las habitaciones están equipadas con ropa de cama y toallas.

En Hotel Viña del Mar Omoa se sirve todas las mañanas un desayuno buffet.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 81 km.","Piscina infantil, Papel higiénico, Ropa de cama, Baño privado, Adecuada para niños, Vino / champán, 2 piscinas, Registro de entrada / salida privado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Salas de reuniones / banquetes, Aire acondicionado, Traslado aeropuerto, Juegos de mesa / puzles, Habitaciones sin humo, Sombrillas, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Playa, Toda la unidad en la planta baja, Horario de apertura, Checo, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Bañera o ducha, WC, Servicio de traslado, Bar, Baños públicos, Guardaequipaje, Zona de fumadores, Restaurante, Buen desayuno, Habitaciones insonorizadas, Enchufe cerca de la cama, Servicio de lavandería, Almuerzos para llevar, Ducha, Artículos de aseo gratis, Tours a pie, Abierta todo el año, Situado frente a la playa, Mobiliario exterior, Happy hour, Zona TV / salón de uso compartido, Zona privada de playa, Zona de pícnic, Zona poco profunda, Boles para mascotas, Extintores, Para todas las edades, Servicio de habitaciones, WiFi gratis, Karaoke, Tumbonas/sillas de playa, TV, Habitaciones familiares, Inglés, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/265525373.jpg?k=976f5b4b56dcffc9f089446d65981273aaa8cde4f130831469c9e7d0cdbc884a&o=&hp=1,Omoa,Honduras
Plasencia Estate,https://www.booking.com/hotel/hn/plasencia-estate.es.html?aid=2410095,"Plasencia Estate, que cuenta con piscina al aire libre, jardín y salón de uso común, ofrece alojamiento en Omoa con wifi gratis y vistas a la ciudad. Esta casa o chalet dispone de parking privado gratis y cocina compartida.

Esta casa o chalet con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 4 baños con ducha y bañera de hidromasaje. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet, la clientela puede disfrutar de bañera de hidromasaje. Hay terraza y barbacoa en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 73 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baños termales, Baño privado, Registro de entrada / salida privado, Salas de reuniones / banquetes, Canales por cable, Cama plegable, Playa, Bar, Hipoalergénico, Zona de fumadores, Nevera, Vistas a la piscina, Escritorio, Mobiliario exterior, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Tendedero, Submarinismo, Terraza / solárium, TV, Proporciona factura, Ropa de cama, Papel higiénico, Vistas al jardín, Habitaciones sin humo, Teléfono, Vistas, Cocina compartida, WC, Servicio de traslado, Vistas a la ciudad, Senderismo, Servicio de conserjería, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Suelo de madera o parquet, Zona TV / salón de uso compartido, Toallas de playa/piscina, Zona de pícnic, Servicio de limpieza diario, Información turística, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Balcón, Radio, Piscina infantil, Vistas a la montaña, Aire acondicionado, Aseo adicional, Parking gratis, Valla alrededor de la piscina, Traslado aeropuerto, Piscina con vistas, Patio, Seguridad 24 horas, Piscina en la azotea, Zona de cocina, Horario de apertura, Pediluvio, Entretenimiento nocturno, Baños públicos, Guardaequipaje, Servicio de lavandería, Terraza, Alquiler de bicicletas, Zona de comedor, Jardín, Cafetera, Baño al aire libre, Zona privada de playa, Mesa de comedor, Servicio de entrega de comestibles, Horno, Piscina pequeña, Microondas, Alquiler de coches, Registro de entrada y salida exprés, Extintores, Discoteca / DJ, Karaoke, Cocina, Fogones, Productos de limpieza, Zona de estar, Habitaciones familiares, Español, Inglés, Zona de comedor exterior, TV de pantalla plana, Sofá cama, Francés, Toallas, Plancha para ropa, Hervidor eléctrico, Bañera o ducha, Barbacoa, Entrada privada, Pesca, Abierta todo el año, Servicio de planchado, Vistas al mar, Lavadora, Cambio de moneda, Vestidor, Vistas a un lugar de interés, Independiente, Bañera de hidromasaje, Para todas las edades, Bañera de hidromasaje / jacuzzi, Ventilador, Armario, Bar en la piscina, Servicio de streaming (como Netflix), Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/306682428.jpg?k=2d6ae4d59288e4fe1d9e87b7ee21a2f469741db5c77a7ff309d4d06144219928&o=&hp=1,Omoa,Honduras
Hermoso condominio frente al mar con vistas espectaculares,https://www.booking.com/hotel/hn/hermoso-condominio-frente-al-mar-con-vistas-espectaculares.es.html?aid=2410095,"Hermoso condominio frente al mar con vistas espectaculares está en Omoa y ofrece terraza. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 4 dormitorios, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 80 km.","Ropa de cama, Papel higiénico, Aire acondicionado, Parking gratis, TV de pantalla plana, Vistas, Toallas, Barbacoa, Nevera, Terraza, Lavadora, Prohibido fumar en todo el alojamiento, Horno, Microondas, WiFi gratis, Cocina, Fogones, Tetera / cafetera, Inglés, Piscina, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581374763.jpg?k=66c7dabc7153b6fe5d221ca27938ff91ae49c4f29cfdd729b3ca21118e76205a&o=&hp=1,Omoa,Honduras
Acogedora Cabaña con Piscina y kiosco de playa,https://www.booking.com/hotel/hn/acogedora-cabana-con-piscina-y-kiosco-de-playa-omoa.es.html?aid=2410095,"Acogedora Cabaña con Piscina y kiosco de playa, que cuenta con piscina al aire libre, jardín y terraza, dispone de alojamiento en Omoa con wifi gratis y vistas al mar. La villa, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, pesca y snorkel.

Esta villa con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 3 baños con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en la villa.

Hay zona de playa privada en el propio alojamiento.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 77 km.","Accesible para personas sordas, Baño privado, Vino / champán, Registro de entrada / salida privado, Canales por cable, Playa, Chimenea exterior, Zona de fumadores, Nevera, Vistas a la piscina, Mobiliario exterior, Tostadora, Chimenea, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Juguetes para la piscina, Toallas / sábanas (por un suplemento), Terraza / solárium, Piscina infinita, TV, Ropa de cama, Papel higiénico, Vistas al jardín, Habitaciones sin humo, Suelo de baldosa / mármol, Secador de pelo, Vistas, Libros, DVD o música para niños, Senderismo, Servicio de conserjería, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Situado frente a la playa, Toallas de playa/piscina, Zona de pícnic, Zona poco profunda, Servicio de limpieza diario, Información turística, Canales vía satélite, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Radio, Vistas a la montaña, Aire acondicionado, Parking gratis, Piscina con vistas, Patio, Sombrillas, Noches de cine, Seguridad 24 horas, Horario de apertura, Plancha para pantalones, Servicio de lavandería, Terraza, Artículos de aseo gratis, Zona de comedor, Jardín, Cafetera, Piscina climatizada, Zona privada de playa, Mesa de comedor, Horno, Piscina pequeña, Boles para mascotas, Microondas, Extintores, Cocina, Fogones, Productos de limpieza, Zona de estar, Habitaciones familiares, Español, Inglés, Utensilios de planchado, Zona de comedor exterior, Juegos de mesa / puzles, TV de pantalla plana, Toda la unidad en la planta baja, Sofá cama, Toallas, Plancha para ropa, Bañera o ducha, Snorkel, Barbacoa, Entrada privada, Pesca, Abierta todo el año, Servicio de planchado, Vistas al mar, Llave de acceso, Vestidor, Prohibido fumar en todo el alojamiento, Independiente, Calefacción, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Ventilador, Armario, Servicio de streaming (como Netflix), Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580623200.jpg?k=99437744162e1381bf76f0a384c7e9a3c11522a940434a2d1b111338315453c6&o=&hp=1,Omoa,Honduras
"Hermosa Cabaña en playa privada!Omoa, Cortès",https://www.booking.com/hotel/hn/hermosa-cabana-en-playa-privada-omoa-cortes.es.html?aid=2410095,"Hermosa Cabaña en playa privada!Omoa, Cortès se encuentra en Omoa y ofrece alojamiento con wifi gratis y parking privado gratis.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 81 km del alojamiento.","Prohibido fumar en todo el alojamiento, Baño privado, Aire acondicionado, Parking gratis, Piscina, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564733518.jpg?k=4bc73f230269e28d9befede801a20d77462693ab4b31d514ae02d6b847f11228&o=&hp=1,Omoa,Honduras
"Casa de Rio en Masca, Omoa",https://www.booking.com/hotel/hn/casa-de-rio-en-masca-omoa.es.html?aid=2410095,"Casa de Rio en Masca, Omoa está en Omoa y ofrece terraza. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Esta casa o chalet de 3 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 69 km.","Cocina, TV de pantalla plana, Vistas al jardín, Aire acondicionado, Vistas, Parking gratis, Inglés, Terraza, Balcón, Piscina, Piscina privada, Español, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577563009.jpg?k=53e0de6d5edd88f56516cabf168a4de323354c8a36df4cdb0cfb55ee5255721b&o=&hp=1,Omoa,Honduras
"Casa de Rio en Masca, Omoa",https://www.booking.com/hotel/hn/casa-de-rio-en-masca-omoa-omoa.es.html?aid=2410095,"Casa de Rio en Masca, Omoa está en Omoa y ofrece alojamiento con aire acondicionado, terraza y wifi gratis. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

Esta casa o chalet dispone de 3 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y 2 baños con bañera o ducha. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 69 km.","Vistas a la montaña, Ropa de cama, Papel higiénico, Vistas al jardín, Inglés, Vistas al río, Aire acondicionado, Parking gratis, Zona de comedor exterior, Patio, Sombrillas, Secador de pelo, TV de pantalla plana, Zona de cocina, Sofá cama, Vistas, Toallas, Plancha para ropa, Bañera o ducha, Barbacoa, Entrada privada, Nevera, Vistas a la piscina, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Terraza, Zona de comedor, Jardín, Cafetera, Mesa de comedor, Horno, Acceso a pisos superiores solo mediante escaleras, Microondas, WiFi gratis, Cocina, Ventilador, Productos de limpieza, Zona de estar, Tetera / cafetera, TV, Independiente, Muebles de exterior, Balcón, Piscina, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577659021.jpg?k=cbc8a1817122b5e25745cfbae53f24f4091641c234fc23cd16553db246c97e18&o=&hp=1,Omoa,Honduras
Soymon,https://www.booking.com/hotel/hn/soymon.es.html?aid=2410095,"Soymon se encuentra en Omoa y ofrece terraza. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. La cocina está equipada con minibar.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 80 km del alojamiento.","Cocina, TV de pantalla plana, Minibar, Vistas al jardín, Zona de cocina, Aire acondicionado, Vistas, Parking gratis, Inglés, Terraza, Balcón, Piscina, Piscina privada, Español, WiFi gratis, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563161933.jpg?k=3d12a2dbf1a0dd6b0b53793c4e14a9e2a45943ed6a5faa1233483232d3cb89e6&o=&hp=1,Omoa,Honduras
