hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal La Rosa Otavalo,https://www.booking.com/hotel/ec/hostal-la-rosa.es.html?aid=2410095,"El Hostal La Rosa Otavalo ofrece alojamiento en el centro de la ciudad de Otavalo. Ofrece habitaciones familiares, terraza y vistas a la ciudad. Ofrece recepción 24 horas, servicio de enlace con el aeropuerto, salón compartido y WiFi gratuita de alta velocidad en todas las instalaciones.

Las habitaciones del albergue cuentan con escritorio, TV, baño privado con ducha, ropa de cama, toallas y patio con vistas a la ciudad. Todas las habitaciones del Hostal La Rosa Otavalo incluyen zona de estar y servicio de limpieza diario.

Todas las mañanas se sirve un desayuno americano.

La zona es ideal para practicar ciclismo. El Hostal La Rosa Otavalo ofrece bicicletas de uso gratuito y servicio de alquiler de coches.

El albergue cuenta con centro de negocios y salas de reuniones.

Ibarra se encuentra a 25 km del Hostal La Rosa Otavalo. El aeropuerto internacional Mariscal Sucre de Quito es el más cercano y queda a 41 km.","Parking en un garaje, Protector de enchufes para niños, Zona de comedor exterior, Plancha para pantalones, Plancha para ropa, Sombrillas, Perchero, Terraza, Mobiliario exterior, Detectores de humo, WiFi gratis, Nevera, Baños públicos, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Vistas a la montaña, Español, Enchufe cerca de la cama, Extintores, Ropa de cama, Habitaciones familiares, Cafetera, Mesa de comedor, Traslado aeropuerto, Armario, Suelo de moqueta, Vistas a un lugar de interés, Alarma de seguridad, WC, Habitaciones sin humo, Vistas, Insonorización, Guardaequipaje, Reloj despertador, Servicio de limpieza diario, Barandillas protectoras para bebés, Acceso al salón executive, Zona de estar, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Servicio de aparcacoches, TV, Cámaras de seguridad fuera del alojamiento, Productos de limpieza, Tours a pie, Desayuno fantástico, Bañera, Baño privado, Patio, Vestidor, Escritorio, Ducha, Camas extralargas (más de 2 metros), Canales vía satélite, Llave de acceso, Servicio de despertador, Seguridad 24 horas, Utensilios de cocina, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Alquiler de coches, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Vistas a la ciudad, Recepción 24 horas, Suelo de baldosa / mármol, Tendedero, Servicio de despertador / alarma, Parking privado, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/136484311.jpg?k=1c1bf1306e1c198f07ac80f613b0fb76013fc94a364a4f0f431c03c86ebd3550&o=&hp=1,Otavalo,Ecuador
Hotel Santafe Inn,https://www.booking.com/hotel/ec/santa-fe-1.es.html?aid=2410095,"Hotel Santafe Inn está en Otavalo, a 25 km de Museo Nacional del Banco Central del Ecuador, y dispone de alojamiento con salón de uso común, parking privado, terraza y restaurante. El alojamiento ofrece recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis.

Algunas habitaciones ofrecen cocina con nevera, lavavajillas y microondas.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 86 km.","Sala de juegos, Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Menús para dietas especiales (bajo petición), Tours en bici, Llave de acceso, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Caja fuerte, Tour o clase sobre cultura local, Seguridad 24 horas, Habitaciones hipoalergénicas, Servicio de lavandería, Habitaciones insonorizadas, Servicio de entrega de comestibles, Servicio de aparcacoches, Bar, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Alarma de seguridad, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Snack-bar, Registro de entrada / salida privado, Información turística, Cafetería en el alojamiento, Zona de fumadores, Juegos de mesa / puzles, Fax / fotocopiadora, Tours a pie, Español, Máquina expendedora (bebidas), Habitaciones sin humo, Música / espectáculos en directo, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Parking privado, Buen desayuno, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Máquina expendedora (aperitivos), Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/194386083.jpg?k=a08cb6681f9d0620fae09cd3effdc5210e7ac5428fb0edfdb60a98e76c237f1b&o=&hp=1,Otavalo,Ecuador
Santa Fe,https://www.booking.com/hotel/ec/santa-fe-otavalo1.es.html?aid=2410095,"Santa Fe, que cuenta con terraza, bar y vistas a la ciudad, se encuentra en Otavalo, a 25 km de Museo Nacional del Banco Central del Ecuador. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación cuenta con escritorio y TV. Todas las habitaciones están equipadas con baño privado con bañera y artículos de aseo gratuitos. Todas las unidades cuentan con nevera.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 87 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Minibar, Suelo de madera o parquet, Canales vía satélite, Servicio de planchado, Desayuno, Zona de comedor, Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Bañera o ducha, Caja fuerte, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Bar, Servicio de conserjería, TV, Lavavajillas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Toallas / sábanas (por un suplemento), Nevera, WC, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Snack-bar, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Tours a pie, Bañera, Español, Baño privado, Caja fuerte para ordenador portátil, Máquina expendedora (bebidas), Extintores, Recepción 24 horas, Tendedero, Escritorio, Máquina expendedora (aperitivos), Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/257447650.jpg?k=e13958ac7038b6e23c6b59412ae01d5aaed27e7786eeff0587ff906110775716&o=&hp=1,Otavalo,Ecuador
Hostal Riviera Sucre,https://www.booking.com/hotel/ec/hostal-riviera-sucre-otavalo.es.html?aid=2410095,"Hostal Riviera Sucre se encuentra en Otavalo, a 25 km de Museo Nacional del Banco Central del Ecuador, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este albergue de 2 estrellas ofrece servicio de conserjería y mostrador de información turística. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el albergue, todas las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Hay opciones americanas o sin gluten de desayuno disponibles todas las mañanas en Hostal Riviera Sucre.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 86 km.","Sala de juegos, Parking en un garaje, Registro de entrada y salida exprés, Vistas al jardín, Canales vía satélite, Zona de juegos interior, Eventos deportivos en directo (emisión), Prohibido fumar en todo el alojamiento, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Terraza, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Cama plegable, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Libros, DVD o música para niños, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Información turística, Jardín, Secador de pelo, Cafetería en el alojamiento, Zona de fumadores, Juegos de mesa / puzles, Adaptado personas de movilidad reducida, Español, Baño privado, Vistas a la ciudad, Holandés, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Francés, Guardaequipaje, TV de pantalla plana, Ropa de cama, Desayuno excepcional, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/133583972.jpg?k=f10d5886732c82ec1e479c7b964a5cb7c94b0d013dda556a4d79e12dc490eef6&o=&hp=1,Otavalo,Ecuador
The Traveler Hostel,https://www.booking.com/hotel/ec/the-traveler-hostel.es.html?aid=2410095,"The Traveler Hostel se encuentra en Otavalo, a 24 km de Museo Nacional del Banco Central del Ecuador, y ofrece jardín, habitaciones libres de humo, wifi gratis en todo el alojamiento y terraza. El alojamiento dispone de cocina compartida y guardaequipaje.

En el albergue, todas las habitaciones están equipadas con ropa de cama y toallas.

En The Traveler Hostel se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 88 km del alojamiento.","Prohibido fumar en todo el alojamiento, Desayuno, Llave de acceso, Servicio de limpieza diario, Terraza, Seguridad 24 horas, Papel higiénico, Cocina compartida, Mobiliario exterior, Detectores de humo, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), WC, Terraza / solárium, Registro de entrada / salida privado, Toallas, Jardín, Juegos de mesa / puzles, Taquillas, Español, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona de pícnic, Guardaequipaje, Ropa de cama, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/227689587.jpg?k=2acda72be894a9a9de594fedf9ed71b38886bc3d1bd477145eaab01ef01e3342&o=&hp=1,Otavalo,Ecuador
El Andariego,https://www.booking.com/hotel/ec/el-andariego-otavalo.es.html?aid=2410095,"El Andariego está en Otavalo, a 25 km de Museo Nacional del Banco Central del Ecuador, y dispone de alojamiento con salón de uso común, parking privado, terraza y restaurante. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 87 km.","Parking en un garaje, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Caja fuerte, Seguridad 24 horas, Papel higiénico, Cocina compartida, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Snack-bar, Información turística, Toallas, Cafetería en el alojamiento, Zona de fumadores, Juegos de mesa / puzles, Español, Habitaciones sin humo, Zona TV / salón de uso compartido, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, Parking privado, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/244037776.jpg?k=523d52ba3a2016f5e66c2d3d773614d2ea847bc95c513e0ffd5f2d32470834e8&o=&hp=1,Otavalo,Ecuador
Hotel Sacha Golden,https://www.booking.com/hotel/ec/the-sacha.es.html?aid=2410095,"Hotel Sacha Golden se encuentra en Otavalo, a 25 km de Museo Nacional del Banco Central del Ecuador, y ofrece alojamiento con restaurante, parking privado gratis y bar. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hotel dispone de habitaciones familiares.

El hotel ofrece desayuno buffet o americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 88 km del alojamiento.","Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Plancha para pantalones, Servicio de planchado, Desayuno, Parking gratis, Llave de acceso, Servicio de limpieza diario, Salas de reuniones / banquetes, Caja fuerte, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Menú para niños, Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Información turística, Vino / champán, Cafetería en el alojamiento, Galerías de arte temporales, 2 restaurantes, Almuerzos para llevar, Español, Habitaciones sin humo, Extintores, Restaurante, Recepción 24 horas, Guardaequipaje, Desayuno en la habitación, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515748011.jpg?k=284cc39dd51c7c7b58a22301f5082fd45089bb939bd7b7b1fcdcbb5fcf2f449e&o=&hp=1,Otavalo,Ecuador
Hostal Chasqui,https://www.booking.com/hotel/ec/hostal-chasqui.es.html?aid=2410095,"El Hostal Chasqui se encuentra en Otavalo y ofrece jardín, terraza, bar y WiFi gratuita. Las habitaciones incluyen cocina, baño privado y patio con vistas a la montaña.

Las habitaciones del albergue disponen de escritorio. Algunos alojamientos del Hostal Chasqui tienen balcón. Todos cuentan con armario.

El personal de recepción habla español e inglés.

. El aeropuerto internacional de Mariscal Sucre de Quito, el más cercano, está a 40 km.","Cafetera, Parking en un garaje, Vistas al jardín, Zona de comedor exterior, Barbacoa, Mesa de comedor, Zona de cocina, Reproductor de DVD, Zona de comedor, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Vistas a un patio interior, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Utensilios de cocina, Servicio de aparcacoches, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Tetera/cafetera en todas las habitaciones, Nevera, Vistas a un lugar de interés, Alarma de seguridad, WC, Portugués, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Zona de fumadores, Vistas a la montaña, Productos de limpieza, Fax / fotocopiadora, Muebles de exterior, Español, Baño privado, Patio, Vistas a la ciudad, Balcón, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Cocina, Tendedero, Recepción 24 horas, Servicio de despertador / alarma, TV de pantalla plana, Entrada privada, Vídeo, Lavadora, Tetera / cafetera, Ducha, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/196931976.jpg?k=99db30cfeaa3ecd8a0fbb0811aebad3dc5ecb8bf8f7410403bddeb9ced3489d6&o=&hp=1,Otavalo,Ecuador
Hostal Aly,https://www.booking.com/hotel/ec/hostal-aly.es.html?aid=2410095,"Hostal Aly se encuentra en Otavalo, en la región de Imbabura, a 25 km de Museo Nacional del Banco Central del Ecuador. El hostal o pensión ofrece vistas a la ciudad, terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación dispone de escritorio y TV de pantalla plana. Todas las habitaciones disponen de baño privado con ducha y artículos de aseo gratuitos. En Hostal Aly, cada habitación incluye zona de estar.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 87 km.","Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Llave de acceso, Terraza, Bañera o ducha, Vistas a un patio interior, Zona de estar, Seguridad 24 horas, Papel higiénico, Mobiliario exterior, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Alarma de seguridad, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Detector de monóxido de carbono, Sofá, Productos de limpieza, Bañera, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Escritorio, TV de pantalla plana, Entrada privada, Parking privado, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518366398.jpg?k=c8f56326c5de3102400caf3dd1e64663bac218a0ffa9bc200d209f56af7628f2&o=&hp=1,Otavalo,Ecuador
Acoma,https://www.booking.com/hotel/ec/acoma.es.html?aid=2410095,"El Acoma Hotel está situado en Otavalo, frente al volcán Imbabura y a 2 calles del famoso mercado de artesanías (conocido como La Plaza de Ponchos). Ofrece habitaciones luminosas con baño privado.

Los alojamientos del Acoma Hotel disponen de ropa de cama blanca y TV LCD por cable. Hay servicio de habitaciones.

Los huéspedes podrán relajarse en el jardín o explorar la zona comercial que rodea el hotel. Además, se ofrecen servicios de lavandería, planchado y limpieza en seco bajo petición.

La terminal de autobuses está a 700 metros. Hay aparcamiento gratuito.","Prohibido fumar en todo el alojamiento, Plancha para pantalones, Plancha para ropa, Muy buen desayuno, Parking gratis, Perchero, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, Baños públicos, Canales por cable, Lavamanos más bajo, Proporciona factura, Zona de fumadores, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ropa de cama, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Traslado aeropuerto, Armario, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Habitaciones sin humo, WC elevado, Guardaequipaje, Entrada privada, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, TV, Cámaras de seguridad fuera del alojamiento, Snack-bar, Secador de pelo, Juegos de mesa / puzles, Productos de limpieza, Baño privado, Vestidor, Supermercado pequeño en el alojamiento, Adaptado para sillas de ruedas, Ducha, Calefacción, Cuerda de emergencia en el baño, Utensilios de planchado, Menús para dietas especiales (bajo petición), Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Información turística, WC con barras de apoyo, Restaurante, Recepción 24 horas, Hipoalergénico, Desayuno en la habitación, Servicio de limpieza en seco, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563868173.jpg?k=47c9dbf9842e5d44aea7ccf3507f86e4017dc9447cc0ca3a1a2bf5578d437ea7&o=&hp=1,Otavalo,Ecuador
