hotel,hotel_url,description,popular_facilities,highres_url,city,country
Apartamentos Playa Dorada,https://www.booking.com/hotel/ve/apartamentos-playa-dorada.es.html?aid=2410095,"Apartamentos Playa Dorada tiene piscina al aire libre y zona de playa privada, y está en Pampatar, a 2,1 km de Playa Círculo Militar y a 2,6 km de Playa Varadero. Este alojamiento con aire acondicionado está a 17 min a pie de Playa de Pampatar y ofrece wifi gratis y parking privado en el propio alojamiento.

El apartamento cuenta con terraza y vistas al mar, y tiene 1 dormitorio, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto internacional del Caribe Santiago Mariño) está a 35 km.","Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Zona de fumadores, Productos de limpieza, Baño compartido, Lavavajillas, Lavadora, Piscina privada, Horno, Enchufe cerca de la cama, Artículos de aseo gratis, Perchero, Abierta todo el año, Tetera / cafetera, Fogones, Playa, Aire acondicionado, Ascensor, Seguridad 24 horas, Habitaciones familiares, Ducha, Sofá, Parking gratis, Español, Situado frente a la playa, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, 2 piscinas, Zona privada de playa, Mesa de comedor, Apartamento privado en edificio, Vistas al mar, Adaptado para sillas de ruedas, Inglés, Sofá cama, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Armario, Microondas, Ropa de cama, Ruso, Habitaciones insonorizadas, Toallas, Nevera, Acceso a pisos superiores en ascensor, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567002628.jpg?k=7da7d3f6feabc060c70b043b5b56596607962818056e74808515ad9039e29a3c&o=&hp=1,Pampatar,Venezuela
Hotel Margarita Real,https://www.booking.com/hotel/ve/margarita-real-pampatar.es.html?aid=2410095,"Hotel Margarita Real se encuentra en Pampatar, a 14 min a pie de Playa El Ángel y a 1,3 km de Playa Varadero, y ofrece alojamiento con wifi gratis, jardín con piscina al aire libre, vistas a la ciudad y acceso a la sauna y a la bañera de hidromasaje.

Algunas unidades tienen aire acondicionado e incluyen terraza y/o balcón, además de zona de estar.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

Playa Círculo Militar está a 15 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Baño compartido, Zona poco profunda, Desayuno, Piscina al aire libre, Sauna, Abierta todo el año, Bar, Aire acondicionado, Habitaciones familiares, Toallas de playa/piscina, Parking gratis, Español, Inglés, Sombrillas, Habitaciones sin humo, Bañera de hidromasaje / jacuzzi, Jardín, Para todas las edades, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/291774846.jpg?k=4c9d16be4e7d29d16d850da1a18218a483f26a914323e9210cc86d891cde9202&o=&hp=1,Pampatar,Venezuela
Aquarius Hotel Boutique,https://www.booking.com/hotel/ve/aquarius-boutique.es.html?aid=2410095,"Aquarius Hotel Boutique está en Pampatar, a 7 min a pie de Playa Moreno, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. El hotel tiene wifi gratis y está a unos 17 min a pie de Playa El Ángel y a 2,2 km de Playa Varadero. El hotel tiene terraza, vistas a la ciudad, restaurante y bar.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. Las unidades tienen armario.

Aquarius Hotel Boutique ofrece desayuno continental o americano.

En la recepción 24 horas se habla inglés y español, y el personal estará encantado de dar consejos sobre la zona.

El aeropuerto (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Galerías de arte temporales, Baño privado, Zona TV / salón de uso compartido, Vistas a la ciudad, Menú para niños, Proporciona factura, Servicio de despertador, Cafetera, Abierta todo el año, Registro de entrada / salida privado, TV, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Suelo de madera o parquet, Nevera, Vistas a un lugar de interés, Para todas las edades, Restaurante, Cenas temáticas, Muy buen desayuno, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Fruta, Vistas al jardín, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Piscina infantil, Terraza, TV de pantalla plana, Vistas a la piscina, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Escritorio, Extintores, Parking en un garaje, Zona poco profunda, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Baños públicos, Bar, Recepción 24 horas, Habitaciones familiares, Toallas de playa/piscina, Alquiler de bicicletas, Caja fuerte, Sombrillas, Papel higiénico, Servicio de conserjería, Tour o clase sobre cultura local, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Información turística, Piscina pequeña, Acceso a pisos superiores solo mediante escaleras, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Barbacoa, Artículos de aseo gratis, Servicio de despertador / alarma, Armario, Minibar, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494406799.jpg?k=56e6490f979e77288aae94e1550aa140fda1dd4cee1d5756716abb1ea02a0ec7&o=&hp=1,Pampatar,Venezuela
Lidotel Margarita,https://www.booking.com/hotel/ve/lidotel-boutique-margarita.es.html?aid=2410095,"Situado en Isla Margarita, el Lidotel Margarita ofrece modernas habitaciones con conexión inalámbrica a internet gratis y una TV de pantalla plana. Las instalaciones incluyen una piscina al aire libre con vistas panorámicas a la isla.

Las habitaciones del Margarita Lidotel Hotel Boutique presentan un interior elegante con muebles de madera. Todas las habitaciones están equipadas con aire acondicionado, menaje para hacer té y café y un baño privado de mármol.

Además de una piscina al aire libre, el Boutique Margarita también tiene un gimnasio, una recepción 24 horas y servicio de lavandería.

Los huéspedes pueden disfrutar de la cocina nacional e internacional en el restaurante Le Nouveau. El Benji's Bar ofrece una amplia variedad de bebidas, refrescos y cócteles tropicales.

El Lidotel Margarita tiene acceso directo a Sambil Valencia, donde los huéspedes pueden disfrutar de numerosas tiendas, restaurantes y bares.","Club infantil, Restaurante, Baño privado, Servicio de planchado, Habitaciones comunicadas disponibles, Muy buen desayuno, WiFi gratis, Accesible para personas sordas, Acceso a pisos superiores en ascensor, Canales por cable, Salas de reuniones / banquetes, Fax / fotocopiadora, Escritorio, Enchufe cerca de la cama, Servicio de despertador, Cafetera, Piscina al aire libre, Artículos de aseo gratis, Teléfono, Perchero, Secador de pelo, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Solárium, Habitaciones familiares, Ducha, Centro de negocios, Entrada privada, Plancha para ropa, Parking gratis, Suelo de moqueta, Español, TV, Gimnasio, Caja fuerte, Mesa de comedor, Inglés, Servicio de lavandería, Bañera o ducha, Utensilios de planchado, Habitaciones sin humo, Bañera, Servicio de habitaciones, Papel higiénico, Bañera de hidromasaje / jacuzzi, Armario, Nevera, Toallas, Desayuno en la habitación, Guardaequipaje, Ropa de cama, Información turística, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/444886136.jpg?k=bd46788ed2a8a48a01a8e4b7155e27e17d874eb03250a02e6b51287660790ec3&o=&hp=1,Pampatar,Venezuela
Un rinconcito en Pampatar,https://www.booking.com/hotel/ve/un-rinconcito-en-pampatar.es.html?aid=2410095,"Un rinconcito en Pampatar está a solo 5 min a pie de Playa Círculo Militar y dispone de alojamiento en Pampatar con piscina al aire libre y terraza, además de recepción 24 horas. Este apartamento tiene piscina privada, jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una sala de estar. El alojamiento ofrece cocina.

El apartamento ofrece bañera de hidromasaje. Un rinconcito en Pampatar ofrece servicio de alquiler de coches.

Playa Varadero está a 5 min a pie del alojamiento, y Playa El Ángel está a 800 metros. El aeropuerto más cercano (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Cocina, Tumbonas/sillas de playa, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Piscina de agua salada, Zona de fumadores, Productos de limpieza, Italiano, Baño al aire libre, Fax / fotocopiadora, Lavadora, Zona de estar, Piscina privada, Proporciona factura, Extintores, Piscina al aire libre, Artículos de aseo gratis, Perchero, Secador de pelo, Abierta todo el año, Alquiler de coches, Playa, Masajes, Tours a pie, Recepción 24 horas, Canguro / servicios para niños, Registro de entrada / salida privado, Aire acondicionado, Habitaciones familiares, Ducha, Entrada privada, Plancha para ropa, Parking gratis, Suelo de moqueta, Español, Habitaciones hipoalergénicas, Registro de entrada y salida exprés, Wifi rápida gratis (52 Mbps), Secadora de ropa, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Bañera de hidromasaje / jacuzzi, Vino / champán, Servicio de limpieza diario, Armario, Jardín, Servicio de conserjería, Alarma de seguridad, Piscina pequeña, Guardaequipaje, Información turística, Para todas las edades, WC, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/459809907.jpg?k=795e46f8a255708297e11beed71d92a902d8815feb489a0df33f22d7e1b0a6f4&o=&hp=1,Pampatar,Venezuela
Aria By LD Hotel Boutique,https://www.booking.com/hotel/ve/aria-boutique-by-ld-hoteles.es.html?aid=2410095,"Aria By LD Hotel Boutique ofrece alojamiento de 4 estrellas en Pampatar, frente a la playa, y dispone de bicicletas gratis, piscina al aire libre y jardín. El alojamiento está a 16 min a pie de Playa de Pampatar y a 2 km de Playa Círculo Militar, y dispone de zona de playa privada, además de bar. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y guardaequipaje.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones están equipadas con terraza. Todas las habitaciones incluyen caja fuerte.

El desayuno está disponible todos los días e incluye opciones a la carta, continentales o americanas.

Playa Varadero está a 2,4 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional del Caribe Santiago Mariño) está a 35 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, Tumbonas/sillas de playa, Horario de apertura, Mobiliario exterior, Canales vía satélite, Fruta, Proporciona factura, Extintores, Desayuno, Piscina al aire libre, Artículos de aseo gratis, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Playa, Recepción 24 horas, Solo para adultos, Aire acondicionado, Abierta todo el año, Registro de entrada / salida privado, Paquetes de spa / bienestar, Baños públicos, Ducha, Masajes, Menús para dietas especiales (bajo petición), Entrada privada, Toallas de playa/piscina, Parking gratis, Terraza / solárium, Español, Situado frente a la playa, Alquiler de bicicletas, Caja fuerte, Zona privada de playa, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Vino / champán, Servicio de limpieza diario, Sombrillas, Bar en la piscina, Masaje corporal completo, Jardín, Servicio de conserjería, Llave de acceso, Masaje en pareja, Desayuno en la habitación, Minibar, Guardaequipaje, WC, Terraza, TV de pantalla plana, Piscina infinita",https://cf.bstatic.com/xdata/images/hotel/max1024x768/310695221.jpg?k=24b1d3e20d1e6300c1da2dcfd1b2f9fa8dab77e75430afd29b98594096bf48f5&o=&hp=1,Pampatar,Venezuela
Kasa Karibe in Margarita Island,https://www.booking.com/hotel/ve/kasa-karibe-in-margarita-island.es.html?aid=2410095,"Kasa Karibe in Margarita Island se encuentra en Pampatar y ofrece alojamiento con balcón y wifi gratis. El alojamiento, que está a 2 min a pie de Playa El Ángel, dispone de terraza y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y microondas.

Playa Varadero está a 3 min a pie del alojamiento, y Playa Círculo Militar está a 700 metros. El aeropuerto (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km.","Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Portugués, Escritorio, Lavadora, Secador de pelo, Tetera / cafetera, Aire acondicionado, Habitaciones familiares, Plancha para ropa, Parking gratis, Español, Inglés, Secadora de ropa, Habitaciones sin humo, Microondas, Nevera, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578035766.jpg?k=f9a49b0c0621c5b8601a16f249a244ca98972e37183198f4f4535e6a29678f6f&o=&hp=1,Pampatar,Venezuela
Casas de Corintia en playa Moreno isla Margarita,https://www.booking.com/hotel/ve/casas-de-corintia-en-playa-moreno-isla-margarita.es.html?aid=2410095,"Casas de Corintia en playa Moreno isla Margarita se encuentra en Pampatar, a solo 2 min a pie de Playa El Ángel, y ofrece alojamiento frente a la playa con piscina al aire libre, jardín, terraza y wifi gratis. Este alojamiento ofrece piscina privada y parking privado gratis.

Este apartamento se encuentra en la planta baja y cuenta con 2 dormitorios, cocina bien equipada, sala de estar y TV de pantalla plana. Hay toallas y ropa de cama en el apartamento.

Playa Varadero está a 5 min a pie del alojamiento, y Playa Círculo Militar está a 1 km. El aeropuerto más cercano (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Horario de apertura, Lavadora, Piscina privada, Zona poco profunda, Vistas al jardín, Piscina al aire libre, Abierta todo el año, Playa, Patio, Aire acondicionado, Ducha, Plancha para ropa, Toallas de playa/piscina, Parking gratis, Español, Situado frente a la playa, Apartamento privado en edificio, Secadora de ropa, Toda la unidad accesible en silla de ruedas, Papel higiénico, Armario, Toda la unidad en la planta baja, Zona de cocina, Jardín, Toallas, Ropa de cama, Para todas las edades, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548173004.jpg?k=0b2129712e8e07be7ab324be74c8529fe06bb4b5decbba2fcd82f79371a4f558&o=&hp=1,Pampatar,Venezuela
Villa La Blanquilla,https://www.booking.com/hotel/ve/villa-la-blanquilla.es.html?aid=2410095,"Villa La Blanquilla se encuentra en Pampatar y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con piscina al aire libre.

El apartamento ofrece patio, vistas a la piscina, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y microondas, y baño privado con ducha.

Villa La Blanquilla ofrece terraza.

El aeropuerto más cercano (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas a la piscina, Baño privado, Habitaciones comunicadas disponibles, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Parking en la calle, Cámaras de seguridad fuera del alojamiento, Utensilios de cocina, Canales por cable, Canales vía satélite, Adecuada para niños, Productos de limpieza, Zona de fumadores, Servicio de traslado, Zona de estar, Baño adicional, Piscina privada, Proporciona factura, Servicio de limpieza en seco, Extintores, Zona poco profunda, Vistas al jardín, Piscina con vistas, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Aseo adicional, Cafetera, Perchero, Abierta todo el año, Baños públicos, Tetera / cafetera, Seguridad 24 horas, Patio, Aire acondicionado, Solárium, Registro de entrada / salida privado, Habitaciones familiares, Vestidor, Ducha, Sofá, Entrada privada, Parking gratis, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, 2 piscinas, Mesa de comedor, Apartamento privado en edificio, Registro de entrada y salida exprés, Sofá cama, Traslado aeropuerto, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Bañera, Armario, Jardín, Servicio de conserjería, Microondas, Ropa de cama, Llave de acceso, Piscina pequeña, Piscina infantil, Nevera, Información turística, Zona de comedor, Para todas las edades, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/53366790.jpg?k=d19cd2069a1eca9e677bf4d53d7361c91fc52b492d517d02e90684ca3f6ff6c9&o=&hp=1,Pampatar,Venezuela
Apartamento tipo estudio en Pampatar Margarita,https://www.booking.com/hotel/ve/apartamento-tipo-estudio-en-pampatar-margarita.es.html?aid=2410095,"Apartamento tipo estudio en Pampatar Margarita, que tiene piscina privada y vistas al mar, está en Pampatar. Este apartamento dispone de parking privado gratis, recepción 24 horas y wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en el apartamento.

En el apartamento, la clientela puede disfrutar de piscina cubierta. Hay zona de playa privada en el propio alojamiento.

Cerca del alojamiento hay puntos de interés como Playa Varadero, Playa El Ángel y Playa Círculo Militar. El aeropuerto (Aeropuerto internacional del Caribe Santiago Mariño) está a 33 km.","Vistas a la piscina, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Lavadora, Piscina privada, Horno, Piscina con vistas, Abierta todo el año, Tetera / cafetera, Ascensor, Recepción 24 horas, Playa, Aire acondicionado, Sofá, Plancha para ropa, Parking gratis, Español, Situado frente a la playa, TV, Piscina interior, Zona privada de playa, Inglés, Vistas al mar, Sombrillas, Servicio de limpieza diario, Nevera, Valla alrededor de la piscina, Microondas, Toallas, Guardaequipaje, Ropa de cama, Para todas las edades, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583967173.jpg?k=f2831121886a1028d6d935be7c12ec4b5120ceb6c65c5f4e0925e3e4f3709799&o=&hp=1,Pampatar,Venezuela
