hotel,hotel_url,description,popular_facilities,highres_url,city,country
Casa Boqui Hostal,https://www.booking.com/hotel/cl/casa-boqui-hostal.es.html?aid=2410095,"Casa Boqui Hostal se encuentra en Panguipulli, a 50 km de Termas Geométricas, y ofrece alojamiento con jardín, parking privado gratis y terraza. El alojamiento está a 10 km de Lago Panguipulli, a 28 km de Lago Calafquén y a 31 km de Lago Riñihue. El hostal o pensión libre de humo cuenta con wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Casa Boqui Hostal se puede disfrutar de un desayuno continental.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 87 km del alojamiento.","Terraza, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Plancha para ropa, Perchero, Desayuno, WiFi gratis, Enchufe cerca de la cama, Ventilador, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Ducha, Papel higiénico, Toallas, Artículos de aseo gratis, Jardín, Canales por cable, Parking gratis, Baño privado, Secador de pelo, Toallas / sábanas (por un suplemento), Acceso a pisos superiores solo mediante escaleras, WC, Habitaciones familiares, Zona de comedor exterior, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540488443.jpg?k=36beca9b8a31791c444b151486bc4e26fd7254919794ae978bef7a628b764757&o=&hp=1,Panguipulli,Chile
Albergo B&B,https://www.booking.com/hotel/cl/albergo-b-amp-b.es.html?aid=2410095,"El Albergo B&B se encuentra a 1 km del lago Panguipulli y ofrece alojamiento con salón compartido, terraza y cocina compartida. Este bed and breakfast ofrece WiFi y aparcamiento privado gratuitos.

El baño privado está totalmente equipado con ducha y artículos de aseo gratuitos.

El Albergo B&B sirve un desayuno americano todas las mañanas. El lago Calafquen se encuentra a 28 km del alojamiento, mientras que el lago Riñihue está a 34 km. El aeropuerto más cercano es el de Pichoy, ubicado a 85 km del Albergo B&B.","Terraza, Inglés, TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Información turística, Cocina compartida, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Juegos de mesa / puzles, Fax / fotocopiadora, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Guardaequipaje, Ducha, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Proporciona factura, Canales por cable, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Italiano, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, WC, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513352231.jpg?k=ee6d9c2f7e138d0141e7d79515d04f2daf664929aee13ac80eca8981c87a7a78&o=&hp=1,Panguipulli,Chile
Apart hotel Puchaley Lafquen,https://www.booking.com/hotel/cl/puchaley-lafquen.es.html?aid=2410095,"El Apart hotel Puchaley Lafquen se encuentra en un entorno natural privilegiado con vistas panorámicas, a solo 1 km del centro de la ciudad de Panguipulli y a solo 7 km de la playa Chauquen.

El establecimiento ofrece un desayuno continental diario y habitaciones y bungalows con WiFi gratuita.

La sala de eventos y celebraciones del Apart hotel Puchaley Lafquen, con un aforo máximo de 60 personas, está sujeta a petición y comporta un suplemento.

El Apart hotel Puchaley Lafquen dispone de alojamientos cómodos con baño privado y TV por cable. Las habitaciones gozan de vistas al lago y los bungalows incluyen cocina.

El establecimiento está a 1 km de la estación de autobús y a 60 km del parque nacional Huilo Huilo. Hay aparcamiento privado gratuito.","Terraza, Inglés, Extintores, Desayuno fabuloso, Ropa de cama, Productos de limpieza, Información turística, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada y salida exprés, Patio, Traslado aeropuerto, Barbacoa, Registro de entrada / salida privado, Entrada privada, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Calefacción, Bañera o ducha, Salas de reuniones / banquetes, Toallas, Solo para adultos, Bañera de hidromasaje / jacuzzi, Jardín, Tours a pie, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Nevera, Parking gratis, Baño privado, Parking en un garaje, Adaptado para sillas de ruedas, Secador de pelo, Aire acondicionado, Zona de pícnic, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/151861758.jpg?k=610013e243f4fe17549677e27b1f16170c916a3960cc30e0e5b8b4440a3f3451&o=&hp=1,Panguipulli,Chile
Refugio Ruka Cümelen,https://www.booking.com/hotel/cl/ruka-cumelen.es.html?aid=2410095,"Refugio Ruka Cümelen, en Panguipulli, ofrece alojamiento solo para adultos con jardín, salón de uso común y terraza. El alojamiento está a 11 km de Lago Panguipulli, a 29 km de Lago Calafquén y a 35 km de Lago Riñihue. El alojamiento dispone de cocina compartida, mostrador de información turística y guardaequipaje.

En el albergue, cada habitación incluye un patio con vistas al jardín. Las habitaciones tienen baño privado con ducha, algunas ofrecen balcón y otras también incluyen vistas a la montaña. Todas las habitaciones tienen ropa de cama.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 87 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Inglés, Llave de acceso, Ropa de cama, Vistas al jardín, Información turística, Perchero, Cocina compartida, Parking en la calle, Enchufe cerca de la cama, Registro de entrada y salida exprés, Patio, Traslado aeropuerto, Registro de entrada / salida privado, Entrada privada, Prohibido fumar en todo el alojamiento, Español, Guardaequipaje, Ducha, Solo para adultos, Jardín, Parking gratis, Baño privado, Zona TV / salón de uso compartido, WC, Zona de pícnic, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/182435604.jpg?k=888babcfd29b697006e65bab83fef976151c7a87d2ad563d7a26a5e768734da9&o=&hp=1,Panguipulli,Chile
Cabañas Parque Del Lago,https://www.booking.com/hotel/cl/cabanas-parque-del-lago.es.html?aid=2410095,"El establecimiento Cabañas Parque Del Lago se encuentra a 500 metros del centro de Panguipulli y proporciona alojamientos independientes. También dispone de conexión WiFi gratuita y restaurante.

Los alojamientos incluyen zona de estar, baño privado con secador de pelo y artículos de aseo gratuitos y cocina totalmente equipada. También se proporciona desayuno diario por un suplemento.

El Cabañas Parque Del Lago dispone de jardín, zona de barbacoa, terraza, salón compartido, servicios de planchado y de lavandería y aparcamiento gratuito.

El establecimiento está a 200 metros de la plaza de La Bandera y a 500 metros de la terminal de autobuses de Panguipulli.","Terraza, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Información turística, Insonorización, Toda la unidad accesible en silla de ruedas, Vistas a un lugar de interés, Desayuno, WiFi gratis, Enchufe cerca de la cama, Patio, Zona de estar, Barbacoa, Baños públicos, Entrada privada, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Calefacción, Caja fuerte, Bañera o ducha, Microondas, Vistas a la ciudad, Utensilios de cocina, Servicio de planchado, Vistas a un patio interior, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Pediluvio, Jardín, Proporciona factura, Suelo de baldosa / mármol, Canales por cable, Desayuno en la habitación, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Secador de pelo, Aseo adicional, WC, Habitaciones familiares, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/167923399.jpg?k=6c2f641d91dd6a8133a2373e562c7140b8c6ff5cbd13857a7ac96cf17e61f02c&o=&hp=1,Panguipulli,Chile
Hotel Boutique Family Suites,https://www.booking.com/hotel/cl/boutique-family-suites.es.html?aid=2410095,"Hotel Boutique Family Suites se encuentra en Panguipulli, a 11 km de Lago Panguipulli, y ofrece alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. El alojamiento cuenta con salón de uso común y se encuentra a 31 km de Lago Calafquén. El hotel cápsula tiene terraza, vistas al jardín, restaurante y bar.

En el hotel cápsula, todas las habitaciones tienen patio. Todas las habitaciones cuentan con baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen cocina con horno. Todas las unidades del alojamiento están equipadas con TV y secador de pelo.

Hotel Boutique Family Suites tiene un centro de spa y bienestar equipado con sauna. Se puede jugar al ping-pong en el alojamiento, y también hay alquiler de bicicletas.

Lago Riñihue está a 32 km del alojamiento. El aeropuerto (Aeropuerto Pichoy) está a 87 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Abierta todo el año, Extintores, Productos de limpieza, Información turística, Ping pong, Adaptado personas de movilidad reducida, Piscina climatizada, Registro de entrada / salida privado, Fruta, Servicio de conserjería, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Buffet para niños, Sauna, Mesa de comedor, Para todas las edades, Jardín, Spa y centro de bienestar, Cafetería en el alojamiento, Habitaciones familiares, Portugués, Tumbonas/sillas de playa, Restaurante, Vistas al jardín, Zona de comedor, De temporada, Tarjetas de transporte público, Juegos de mesa / puzles, Patio, Bañera, Barbacoa, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Prohibido fumar en todo el alojamiento, Minibar, Calefacción, Ducha, Pediluvio, Artículos de aseo gratis, Alquiler de bicicletas, Horario de apertura, Zona de fumadores, Piscina pequeña, Desayuno, Enchufe cerca de la cama, 3 piscinas, Baño de vapor, Traslado aeropuerto, Menú para niños, Español, Piscina con vistas, Servicio de planchado, Toallas, Gimnasio, Vestidor, Canales por cable, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Toallas de playa/piscina, Zona TV / salón de uso compartido, WC, Accesible para personas sordas, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Tendedero, Papel higiénico, Bar, Snack-bar, Servicio de lavandería, Llave de acceso, Detector de monóxido de carbono, Insonorización, Sombrillas, Menús para dietas especiales (bajo petición), Zona poco profunda, Baños públicos, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, WC elevado, Bañera o ducha, Canales vía satélite, Servicio de limpieza diario, Proporciona factura, Acceso al salón executive, Seguridad 24 horas, Nevera, Vino / champán, Secador de pelo, Karaoke, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563091380.jpg?k=85384ede1060f3979e746b9ce859c8210d06df51d9ede87fee7ec8d331ed5269&o=&hp=1,Panguipulli,Chile
Hostal El Durmiente a 5 minutos del centro de Panguipulli,https://www.booking.com/hotel/cl/hostal-el-durmiente-a-5-minutos-del-centro-de-panguipulli.es.html?aid=2410095,"Hostal El Durmiente a 5 minutos del centro de Panguipulli está en Panguipulli, a 49 km de Termas Geométricas y a 11 km de Lago Panguipulli. Ofrece alojamiento con terraza y wifi gratis en todo el alojamiento, además de parking privado gratis. Este alojamiento libre de humo se encuentra a 27 km de Lago Calafquén.

Todas las habitaciones están equipadas con nevera, lavavajillas, hervidor, ducha, artículos de aseo gratuitos y armario. En el hostal o pensión, las habitaciones incluyen ropa de cama y toallas.

Lago Riñihue está a 35 km del alojamiento. El aeropuerto (Aeropuerto Pichoy) está a 86 km.","Terraza, Inglés, Ropa de cama, Zona de comedor, WiFi gratis, Enchufe cerca de la cama, Bañera, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Microondas, Utensilios de cocina, Ducha, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Hervidor eléctrico, Nevera, Parking gratis, Lavavajillas, WC, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518227038.jpg?k=e12fe8d76cbf8d682b37272621fecb53721514af1c4835f70a9d8b62b624d7b4&o=&hp=1,Panguipulli,Chile
Hostal Central Panguipulli,https://www.booking.com/hotel/cl/hostal-central-panguipulli.es.html?aid=2410095,"Hostal Central Panguipulli, que tiene salón de uso común, está en la región de Los Ríos, Panguipulli, a 50 km de Termas Geométricas y a 10 km de Lago Panguipulli. El albergue está a unos 28 km de Lago Calafquén y a 34 km de Lago Riñihue. El albergue dispone de vistas al jardín, terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el albergue, todas las habitaciones disponen de balcón. En Hostal Central Panguipulli, las habitaciones disponen de ropa de cama y toallas.

El aeropuerto (Aeropuerto Pichoy) está a 85 km.","Terraza, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Ropa de cama, Vistas al jardín, Zona de comedor, Plancha para ropa, Utensilios de planchado, Perchero, Cocina compartida, Sofá, WiFi gratis, Enchufe cerca de la cama, Patio, Ventilador, Entrada privada, Mobiliario exterior, Español, Calefacción, Microondas, Utensilios de cocina, Ducha, Papel higiénico, Mesa de comedor, Toallas, Chimenea, Proporciona factura, Hervidor eléctrico, Nevera, Alquiler de bicicletas, Tostadora, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Zona TV / salón de uso compartido, WC, Zona de comedor exterior, Cocina, Tendedero, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516999124.jpg?k=6047b0707bd1d160a4b008523f8cbe5124720f0929095e6cd5383e7e25f20e67&o=&hp=1,Panguipulli,Chile
Cabaña By Casur panguipulli,https://www.booking.com/hotel/cl/cabana-by-casur-panguipulli.es.html?aid=2410095,"Cabaña By Casur panguipulli es un alojamiento con vistas al jardín que está en Panguipulli, a 31 km de Lago Calafquén y a 32 km de Lago Riñihue. El alojamiento, que se encuentra a 11 km de Lago Panguipulli, ofrece jardín y parking privado gratis.

La casa o chalet dispone de terraza, 2 dormitorios, sala de estar y cocina bien equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Pichoy) está a 87 km del alojamiento.","Parking gratis, Terraza, Zona de cocina, TV de pantalla plana, Vistas al jardín, Jardín, Cocina, Español, Calefacción, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/404304906.jpg?k=6ccc2e9756083cd9ec6f0e6a9dd851e34ef78c13d09be089f77f242c6eb0d1eb&o=&hp=1,Panguipulli,Chile
Hotel Casa Panguipulli,https://www.booking.com/hotel/cl/casa-panguipulli.es.html?aid=2410095,"Este establecimiento ofrece una piscina y habitaciones con vistas al lago en una zona tranquila de Panguipulli, a 2 km del circuito comercial. Coñaripe y las Termas Geométricas están a 45 km. Todos los días se sirve un desayuno bufé.

El Hotel Casa Panguipulli cuenta con habitaciones cómodas que presentan una decoración elegante y disponen de baño privado y ducha. El establecimiento proporciona un servicio de lavandería.

El aeropuerto de Valdivia se encuentra a 87 km. Hay aparcamiento privado gratuito.","Terraza, Inglés, Abierta todo el año, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Escritorio, Zona de comedor, Menús para dietas especiales (bajo petición), Información turística, Plancha para pantalones, WiFi gratis, Juegos de mesa / puzles, Bañera, Traslado aeropuerto, Piscina al aire libre, Barbacoa, Fax / fotocopiadora, Mobiliario exterior, Muy buen desayuno, Prohibido fumar en todo el alojamiento, Español, Calefacción, Caja fuerte, Bañera o ducha, Francés, Servicio de planchado, Ducha, Chimenea exterior, Papel higiénico, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Para todas las edades, Jardín, Proporciona factura, Seguridad 24 horas, Parking gratis, Baño privado, Alquiler de bicicletas, Vino / champán, Parking en un garaje, Portugués, Secador de pelo, Zona TV / salón de uso compartido, WC, Aire acondicionado, Zona de pícnic, Habitaciones comunicadas disponibles, Zona de comedor exterior, Cocina, Servicio de traslado, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/200873035.jpg?k=4f0da41251786a3a99c7305bb013ce5f8e40ba1a1a7638c0fd9d5fff0522a8d6&o=&hp=1,Panguipulli,Chile
