hotel,hotel_url,description,popular_facilities,city,country
Zoku Paris,https://www.booking.com/hotel/fr/zoku-paris.es.html?aid=2410095,"Zoku Paris está en París y dispone de vistas a la ciudad, centro de fitness, salón de uso común, terraza, restaurante y bar. Hay wifi gratis en todo el alojamiento.

El apartahotel ofrece zona de estar con TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y microondas.

Zoku Paris ofrece desayuno buffet o continental.

El alojamiento ofrece servicio de alquiler de bicicletas.

Arco del Triunfo está a 3,2 km del alojamiento, y Estación de metro Pigalle está a 3,2 km. El aeropuerto (Aeropuerto de París - Charles de Gaulle) está a 21 km.","ñ, ó, e, 4, R,  , a, n, b, p, j, l, s, o, C, r, ,, g, c, F, f, i, W, T, H, 2, V, A, v, B, h, t, u, d, m",París,Francia
Hôtel Vic Eiffel,https://www.booking.com/hotel/fr/ha-tel-vic-eiffel.es.html?aid=2410095,"El Hôtel Vic Eiffel, situado en el distrito 15.º de París, ofrece recepción 24 horas, patio y consigna de equipaje. Está a 20 minutos a pie de la Torre Eiffel.

Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana, cafetera Nespresso y té Kusmi. El baño es privado y está equipado con secador de pelo y artículos de aseo gratuitos.

Todas las mañanas, el Hôtel Vic Eiffel sirve un desayuno exprés o buffet. Hay un restaurante a poca distancia a pie.

También hay ascensor, habitaciones para personas con discapacidad y WiFi gratuita en todas las instalaciones. La estación de metro de Sèvres-Lecourbe (línea 6) está al lado del hotel y ofrece acceso directo al distrito de los Campos Elíseos y la estación de tren de Montparnasse.",,París,Francia
MIJE MARAIS Hostel,https://www.booking.com/hotel/fr/mije-marais.es.html?aid=2410095,"El MIJE MARAIS Hostel, que se encuentra en el centro del Marais, cuenta con 3 establecimientos excepcionales: el Mije Fourcy, el Fauconnier y el Maubuisson.

El MIJE MARAIS Hostel cuenta con un ubicación ideal, en el distrito 4 de París, a 1,2 km del Centro Pompidou, a 1,4 km de la Ópera de la Bastilla y a 1,6 km de la catedral de Notre Dame. Tiene recepción 24 horas, consigna de equipaje, restaurante y WiFi gratuita. Este hostal tiene habitaciones familiares.

Los baños son compartidos e incluyen ducha. Los aseos están en el rellano, cerca de las habitaciones.

El alojamiento sirve todas las mañanas un desayuno continental sencillo.

El alojamiento está abierto a todos los públicos y acoge a numerosos grupos de todo el mundo (como estudiantes o asociaciones).

El MIJE MARAIS Hostel dispone de terraza.

El hostal está a 1,6 km de Sainte-Chapelle y a 1,8 km del Museo del Louvre. El aeropuerto más cercano es el de París - Orly, a 16 km del MIJE MARAIS Hostel.",,París,Francia
Maison le Bac Paris Aparthotel,https://www.booking.com/hotel/fr/masion-le-bac-apt-101b.es.html?aid=2410095,"Maison le Bac Paris Aparthotel se encuentra en el centro de París, a 17 min a pie de Museo del Louvre y a 1,4 km de Gare de l'Est, y ofrece alojamiento con wifi gratis y zona de estar.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. La cocina dispone de nevera, horno y microondas. También se ofrece tostadora, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Centro Pompidou, Ópera Garnier y Gare du Nord. El aeropuerto más cercano (Aeropuerto de París - Orly) está a 17 km del alojamiento.","q, L, ñ, ó, e,  , a, n, b, p, j, l, s, o, C, r, ,, g, c, F, f, i, W, H, A, v, B, h, t, G, u, d, m",París,Francia
Hotel Antin Trinité,https://www.booking.com/hotel/fr/antin-trinite.es.html?aid=2410095,"El Hôtel Antin Trinité goza de una ubicación céntrica, frente a los conocidos grandes almacenes Galeries Lafayette. Se encuentra a tan solo 500 metros de la ópera Garnier y del elegante barrio de la Madeleine.

Las habitaciones del Antin Trinité presentan una decoración en tonos luminosos y cuentan con TV por cable y vía satélite con Canal+ y Bein Sports y teléfono. El baño privado tiene ducha y secador de pelo.

El desayuno buffet se sirve en la sala de desayunos o en las habitaciones. También hay prensa diaria. Asimismo, se proporciona servicio nocturno de habitaciones y consigna de equipaje.

La recepción 24 horas dispone de una consigna de equipaje y organiza servicio de enlace con el aeropuerto. Asimismo, este hotel se halla a 2 minutos a pie de la estación de metro de Chaussée d'Antin - La Fayette, que enlaza con el Louvre.",,París,Francia
Hotel Studia,https://www.booking.com/hotel/fr/studia.es.html?aid=2410095,"El Hotel Studia está situado en el animado Barrio Latino y ofrece alojamiento apto para mascotas en París. Hay WiFi gratuita en todo el edificio y las habitaciones son de estilo clásico.

Las habitaciones están equipadas con TV de pantalla plana y baño privado con secador de pelo y artículos de aseo gratuitos.

El establecimiento está a poca distancia a pie de varios lugares de interés turístico, como la catedral de Notre Dame y los jardines de Luxemburgo. El aeropuerto de París-Orly es el más cercano y se halla a 13 km.",,París,Francia
Tipi,https://www.booking.com/hotel/fr/tipi.es.html?aid=2410095,"Este hotel se encuentra en el centro de París, a 750 metros de la estación de tren de Montparnasse. Ofrece recepción 24 horas, un patio lleno de flores y habitaciones con conexión Wi-Fi gratuita.

Las habitaciones disponen de TV de pantalla plana, escritorio y baño privado con secador de pelo.

Cada mañana se sirve un desayuno bufé en la elegante sala de desayunos del hotel Tipi. En la misma calle del hotel encontrará un mercado.

El hotel Tipi está a 1,4 km de los Jardines de Luxemburgo y a 550 metros de la estación de metro Gaité, que comunica con los Campos Elíseos. Hay aparcamiento público en los alrededores.",,París,Francia
Hôtel Joe M,https://www.booking.com/hotel/fr/centre.es.html?aid=2410095,"Este establecimiento de 3 estrellas está situado a solo 2 minutos a pie de las estaciones de metro Grands Boulevards y Le Peletier y ofrece WiFi gratuita y un bar salón. La Ópera Garnier y las tiendas de lujo Galeries Lafayette y Printemps se encuentran a 10 minutos a pie.

Las habitaciones del Hôtel Joe M presentan una decoración actual y disponen de TV LCD con canales vía satélite y set para preparar bebidas calientes. Se puede acceder a todas en ascensor tradicional.

El Hôtel Joe M sirve un desayuno buffet con repostería francesa, huevos y salchichas. En la recepción 24 horas se proporciona prensa gratuita y servicio de enlace con el aeropuerto.

Los huéspedes pueden alquilar bicicletas públicas, y el Museo del Louvre está a 20 minutos a pie. Además, la red de transporte local comunica directamente con la plaza de la Concordia, la Torre Eiffel y la animada plaza de la República.",,París,Francia
District Republique,https://www.booking.com/hotel/fr/district-republique.es.html?aid=2410095,"El District Republique está ubicado en París, a 500 metros de la plaza de la República y del canal Saint-Martin. Este hotel, reformado en julio de 2020, ofrece habitaciones con TV, WiFi gratuita y baño privado.

Se puede llegar a todas las habitaciones en ascensor. El District Republique sirve un desayuno continental.

La estación de metro République ofrece enlaces con todas las zonas de París. El District Republique se encuentra a 1,2 km de la estación de tren Gare du Nord. El hotel también cuenta con recepción 24 horas.",,París,Francia
Hôtel LOCOMO,https://www.booking.com/hotel/fr/adriatic.es.html?aid=2410095,"El Hôtel LOCOMO se encuentra en París.

Las habitaciones incluyen WiFi gratuita, TV, aire acondicionado y baño. La recepción también proporciona secadores de pelo y utensilios de planchado.

El Hôtel LOCOMO cuenta con recepción abierta las 24 horas y consigna de equipaje.

El hotel se encuentra a 200 metros de la estación Gare de Lyon y del servicio de traslado en autobús AirFrance, que conecta directamente con el aeropuerto Charles de Gaulle. También está a 600 metros de la ópera de la Bastilla y a 900 metros del AccorHotels Arena. El aeropuerto de París-Charles de Gaulle está a 22 km.",,París,Francia
