hotel,hotel_url,description,popular_facilities,highres_url,city,country
Alquimia Posada,https://www.booking.com/hotel/uy/alquimia-spa-y-posada.es.html?aid=2410095,"El Alquimia Spa y Posada ofrece piscina al aire libre y cubierta, un spa, un jardín, conexión Wi-Fi gratuita y bicicletas de uso gratuito. Está en Guichón, a 300 metros de una parada de autobús y a 5 km de las aguas termales de Almirón.

Las habitaciones del Alquimia Spa y Posada proporcionan un ambiente tranquilo y cuentan con baño privado, aire acondicionado y vistas panorámicas. También hay servicio de habitaciones.

En el spa se ofrecen masajes antiestrés, tratamientos con piedras calientes, shiatsu, biomagnetismo, reflexología, terapias con flores de Bach y sesiones de reiki, taichi y yoga. El establecimiento alberga un salón de belleza y una bañera de hidromasaje.

Además, ofrece aparcamiento privado gratuito y conexión Wi-Fi gratuita en las zonas comunes.","Servicio de habitaciones, Alquiler de bicicletas, Parking gratis, Vistas, WiFi gratis, Jardín, Baño privado, Piscina interior, Zona TV / salón de uso compartido, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Desayuno excepcional, Pesca, Senderismo, Adaptado personas de movilidad reducida, Ducha, Spa y centro de bienestar, Aire acondicionado, Español, Masajes",https://cf.bstatic.com/xdata/images/hotel/max1024x768/19593297.jpg?k=a7bd70013a9316e7cd9b966aaa207b1376dad214624781e89018bcd66730f529&o=&hp=1,Paysandú,Uruguay
Estancia Termal San Nicanor,https://www.booking.com/hotel/uy/estancia-termal-san-nicanor.es.html?aid=2410095,"La Estancia Termal San Nicanor está situada en Chapicuy. Cuenta con piscina al aire libre rodeada de jardines, proporciona conexión Wi-Fi gratuita y ofrece suites, habitaciones compartidas y bungalows. La ciudad de Salto queda a 25 km.

La Estancia Termal San Nicanor ofrece bungalows con chimenea y cocina, así como habitaciones compartidas con ventilador que incluyen la ropa de cama.

El restaurante propone cocina local.

Se pueden reservar excursiones, por un suplemento. Las fuentes termales de Dayman están a 15 km.

La San Nicanor está a 120 km del aeropuerto de Paysandu y a 20 km del aeropuerto de Salto. El establecimiento facilita aparcamiento gratuito.","Toallas, Parking gratis, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Bidet, Piscina al aire libre, Vistas, Terraza, Cafetería en el alojamiento, WiFi gratis, Jardín, Español, Inglés, Información turística, Restaurante, Baño privado, Servicio de planchado, Servicio de limpieza diario, Para todas las edades, Habitaciones familiares, Vistas al jardín, Muy buen desayuno, Abierta todo el año, Zona de cocina, Bañera de hidromasaje / jacuzzi, Nevera, Armario, Zona de pícnic, Mobiliario exterior, Recepción 24 horas, Papel higiénico, Calefacción, Ducha, Entrada privada, Centro de negocios, Aire acondicionado, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/21353015.jpg?k=62ee9f667a08e6c033c96d563fd6cc1da82e5cd7b478e9f379c47385c618d040&o=&hp=1,Paysandú,Uruguay
Hotel La Castellana,https://www.booking.com/hotel/uy/la-castellana.es.html?aid=2410095,"El Hotel La Castellana está situado a solo 5 minutos en coche del centro de Paysandú y ofrece un jardín con piscina y habitaciones con conexión Wi-Fi gratuita y TV por cable. Todos los días se sirve un desayuno bufé. El río Uruguay y las playas se encuentran a 5 km.

Las habitaciones amplias y luminosas del Hotel La Castellana están decoradas en tonos claros. Todas ellas disponen de aire acondicionado, calefacción y minibar, y algunas ofrecen vistas al lago.

Los huéspedes podrán relajarse en las tumbonas de la piscina o solicitar una sesión de masaje. También podrán reservar excursiones en el mostrador de información turística.

Se ofrece un servicio de enlace con el aeropuerto. El Hotel La Castellana está situado a 20 km de la ciudad de Colón.","Servicio de habitaciones, Minibar, Toallas, Parking gratis, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Bañera o ducha, Bidet, Barbacoa, TV, Piscina al aire libre, WC, Vistas, Canales por cable, Fax / fotocopiadora, Perchero, Terraza, Vino / champán, Cafetería en el alojamiento, WiFi gratis, Jardín, Español, Información turística, Salas de reuniones / banquetes, Almuerzos para llevar, Secador de pelo, Restaurante, Desayuno, Baño privado, Servicio de planchado, Escritorio, Registro de entrada / salida privado, Menú para niños, Servicio de limpieza diario, Zona TV / salón de uso compartido, Para todas las edades, Habitaciones familiares, Mosquitera, Sombrillas, Caja fuerte, Servicio de despertador, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Armario, Zona de pícnic, Mobiliario exterior, Snack-bar, Papel higiénico, Servicio de conserjería, Recepción 24 horas, Calefacción, Extintores, Ducha, Teléfono, Desayuno en la habitación, Centro de negocios, Aire acondicionado, Artículos de aseo gratis, Masajes, Toda la unidad en la planta baja, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523019651.jpg?k=c35d86126c12d705c77b45bdb7afd59664c528467ffc8cb7ed646c1b3062d3e3&o=&hp=1,Paysandú,Uruguay
Relax V,https://www.booking.com/hotel/uy/julio-bergalli.es.html?aid=2410095,"Relax V está en Paysandú, a 21 km de Estación de autobuses de Colón, y ofrece alojamiento con wifi gratis y aire acondicionado. El alojamiento, que se encuentra a 15 min a pie de Estadio Parque Artigas, ofrece terraza y parking privado gratis.

El apartamento cuenta con balcón y vistas a la ciudad, y dispone de 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 1 baño con ducha.","Parking gratis, Prohibido fumar en todo el alojamiento, Bañera o ducha, Cocina, Mesa de comedor, Lavadora, TV, Parking en un garaje, Perchero, Terraza, Utensilios de cocina, WiFi gratis, Español, Suelo de baldosa / mármol, Baño privado, Canales vía satélite, Apartamento privado en edificio, Zona de comedor, Vistas a la ciudad, Balcón, Horno, TV de pantalla plana, Zona de cocina, Nevera, Microondas, Ducha, Entrada privada, Aire acondicionado, Alarma de seguridad",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505555463.jpg?k=1ca46aee5da95f2d26d7e8a5f98fc519c4a8e995b6542c996f4a3e25acce579e&o=&hp=1,Paysandú,Uruguay
ONE TRIP,https://www.booking.com/hotel/uy/one-trip-paysandu2.es.html?aid=2410095,"ONE TRIP está en Paysandú, a solo 21 km de Estación de autobuses de Colón, y dispone de alojamiento con terraza y wifi gratis. El alojamiento, que se encuentra a 4,5 km de Estadio Parque Artigas, ofrece jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado se compone de 1 dormitorio independiente, una cocina totalmente equipada y 1 baño. Se ofrece TV de pantalla plana.","Jardín, Español, Parking gratis, Prohibido fumar en todo el alojamiento, Inglés, Calefacción, Cocina, TV de pantalla plana, Balcón, Habitaciones familiares, Vistas, Aire acondicionado, Wifi básica gratis (8 Mbps), Terraza, Baño privado, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/488010909.jpg?k=c844539a7075a3327a52e58545dd66a429aed67828267a56a67d6a4bca5a646a&o=&hp=1,Paysandú,Uruguay
Apartamento céntrico,https://www.booking.com/hotel/uy/apartamento-a-estrenar-centro-paysandu.es.html?aid=2410095,"Apartamento céntrico se encuentra en Paysandú. El alojamiento tiene parking privado gratis y está a 2 km de Estadio Parque Artigas y a 20 km de Estación de autobuses de Colón.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en el apartamento.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Cocina, Bidet, Lavadora, Perchero, Independiente, Hervidor eléctrico, Tostadora, Productos de limpieza, Horno, Tendedero, TV de pantalla plana, Nevera, Microondas, Papel higiénico, Ducha, Entrada privada, Aire acondicionado, Español, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/491137706.jpg?k=a0ea32ff88de7c70ecea8973800ec7618fbfe08e2803e0666a8132b46f3a4241&o=&hp=1,Paysandú,Uruguay
Apartamento Romian 2,https://www.booking.com/hotel/uy/apartamento-romian-2.es.html?aid=2410095,"Apartamento Romian 2 está en Paysandú, a 8 min a pie de Estadio Parque Artigas, y ofrece alojamiento con aire acondicionado y parking privado dispone de en el propio alojamiento. Este apartamento está a 21 km de Estación de autobuses de Colón.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina.","Parking gratis, Prohibido fumar en todo el alojamiento, Cocina, Lavadora, Aire acondicionado, Español, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/499755450.jpg?k=1408f380465a6e3a8ea02c1105f53a6308f4e78d13d03a6713df0bd6c4da7eb3&o=&hp=1,Paysandú,Uruguay
Relax IV,https://www.booking.com/hotel/uy/julio-c-bergalli.es.html?aid=2410095,"Relax IV está en Paysandú, a 16 min a pie de Estadio Parque Artigas y a 21 km de Estación de autobuses de Colón, y ofrece wifi gratis.","WiFi gratis, Español, Aire acondicionado, Prohibido fumar en todo el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/249599551.jpg?k=3ae1870ddadac051ae63939607744e23148ecb18383ecea7d43d7899c6834ad1&o=&hp=1,Paysandú,Uruguay
Salinas del Almiron Resort Termal,https://www.booking.com/hotel/uy/salinas-del-almiron-resort-termal.es.html?aid=2410095,"El Salinas del Almiron Resort Termal está situado en Guichón y ofrece WiFi gratuita en todas las dependencias. El establecimiento alberga un centro de spa, una piscina al aire libre abierta durante todo el año y un restaurante. Se sirve desayunos todos los días.

Las habitaciones incluyen TV de pantalla plana y baño privado con bidet, ducha y artículos de aseo gratuitos.

El establecimiento cuenta con recepción 24 horas y tienda de regalos. Se proporciona aparcamiento privado gratuito.

Los huéspedes podrán jugar al ping pong en el establecimiento. El complejo también cuenta con bicicletas de uso gratuito","Alquiler de bicicletas, Desayuno fabuloso, Fax / fotocopiadora, Perchero, Jardín, Gimnasio, Secador de pelo, Club infantil, Parque acuático, Servicio de limpieza diario, Ping pong, Caja fuerte, Tobogán de agua, TV de pantalla plana, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Calefacción, Extintores, Proporciona factura, Teléfono, Horario de apertura, Ropa de cama, Servicio de habitaciones, Estación de carga de vehículos eléctricos, Sauna, Hipoalergénico, Habitaciones sin humo, Bar, Aseo adicional, Bidet, Ascensor, Cámaras de seguridad en las zonas comunitarias, Billar, Suelo de baldosa / mármol, Información turística, Salas de reuniones / banquetes, Acceso a pisos superiores solo mediante escaleras, Personal de animación, Sala de juegos, Escritorio, Canales vía satélite, Canales de pago, Zona TV / salón de uso compartido, Toallas de playa/piscina, Solárium, Abierta todo el año, Ducha, Spa y centro de bienestar, Piscina climatizada, Artículos de aseo gratis, Minibar, Parking gratis, Prohibido fumar en todo el alojamiento, 2 piscinas, Bañera o ducha, Guardaequipaje, WC, Vistas, WiFi gratis, Patio, Zona de juegos para niños, Restaurante, Buffet para niños, Baño privado, Servicio de planchado, Toallas / sábanas (por un suplemento), Habitaciones familiares, Plancha para pantalones, Vistas a un lugar de interés, Tumbonas/sillas de playa, Cochecitos de bebé, Juegos de mesa / puzles, Aire acondicionado, Masajes, Servicio de lavandería, Para todas las edades, Toallas, Enchufe cerca de la cama, Baños termales, Cámaras de seguridad fuera del alojamiento, TV, Canales por cable, Sofá, Vino / champán, Insonorización, Caja fuerte para ordenador portátil, Inglés, Fruta, Hervidor eléctrico, Portugués, Piscina de agua salada, Menú para niños, Albornoz, Detectores de humo, Tendedero, Menús para dietas especiales (bajo petición), Piscina con vistas, Servicio de despertador, Vistas al jardín, Armario, Acceso a pisos superiores en ascensor, Snack-bar, Zona de juegos interior, Español, Vistas a la piscina, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/201529938.jpg?k=b9323d838d7938a528dfae3aabc113ae7b1269c49a175d065dd0c2defd6574e8&o=&hp=1,Paysandú,Uruguay
Posada campo bello,https://www.booking.com/hotel/uy/posada-campo-bello-quebracho.es.html?aid=2410095,"Posada campo bello se encuentra en Quebracho. Este apartamento dispone de jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una zona de cocina y 1 baño. Se ofrece TV de pantalla plana.","Jardín, Parking gratis, Zona de cocina, Calefacción, Vistas, Aire acondicionado, Español, Baño privado, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527609603.jpg?k=3c2b710000b4ed37683f6c800791c5c739b67fd6b44ae01f0c83be994fecae7c&o=&hp=1,Paysandú,Uruguay
Apart del Este Loft 7,https://www.booking.com/hotel/uy/apart-del-este-loft-7.es.html?aid=2410095,"Apart del Este Loft 7 está en Paysandú, a 2,7 km de Estadio Parque Artigas, y ofrece alojamiento con aire acondicionado y parking privado dispone de en el propio alojamiento. El alojamiento, que se encuentra a 23 km de Estación de autobuses de Colón, ofrece jardín.

El apartamento dispone de TV de pantalla plana, 1 dormitorio.","Estación de carga de vehículos eléctricos, Jardín, Parking gratis, Prohibido fumar en todo el alojamiento, Inglés, Calefacción, Vistas, Aire acondicionado, Español, Vistas al jardín, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/446862123.jpg?k=fc5feae9885dd7160fabfe0c89a3a179d01fac58ae9a23b480aa5021ac2e30bc&o=&hp=1,Paysandú,Uruguay
Apart del Este 2,https://www.booking.com/hotel/uy/apart-del-este-paysandu.es.html?aid=2410095,"Apart del Este 2 es un alojamiento con vistas al jardín que se encuentra en Paysandú, a 2,7 km de Estadio Parque Artigas y a 23 km de Estación de autobuses de Colón. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana, zona de comedor, cocina con nevera y sala de estar. Hay toallas y ropa de cama en el apartamento.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Bañera o ducha, Cocina, Mesa de comedor, Barbacoa, Vistas, WiFi gratis, Español, Patio, Inglés, Hervidor eléctrico, Secador de pelo, Tostadora, Canales de pago, Zona de comedor, Sofá cama, Horno, Tendedero, Suelo de moqueta, Vistas al jardín, TV de pantalla plana, Zona de cocina, Nevera, Microondas, Papel higiénico, Calefacción, Ducha, Cama plegable, Aire acondicionado, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/379417056.jpg?k=2a67d6e186e01fbd3350777e9c92b927c55e09c6c15b36b8ebd97258cdc51e95&o=&hp=1,Paysandú,Uruguay
Hotel Papiros,https://www.booking.com/hotel/uy/papiros.es.html?aid=2410095,"El Hotel Papiros está a solo 50 metros de la plaza Colón. Cuenta con un gran jardín con piscina y zona de barbacoa. Las habitaciones están equipadas con conexión Wi-Fi gratuita y aire acondicionado. El hotel está situado en Paysandu. El establecimiento dispone de aparcamiento gratuito.

Las habitaciones del Papiros Hotel son luminosas y tienen grandes ventanas con vistas al jardín y la ciudad. Todas cuentan con TV por cable y minibar.

Todos los días se sirve un desayuno bufé. Los huéspedes podrán disfrutar de barbacoas en el jardín.

Al lado de la piscina hay tumbonas. En el establecimiento también hay una sala de juegos. La plaza Artigas está a 300 metros.

El Hotel Papiros se encuentra a 2,2 km de la terminal de autobuses.","Alquiler de bicicletas, Minibar, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Bidet, Barbacoa, TV, Piscina al aire libre, WC, Canales por cable, Zona de fumadores, Perchero, Suelo de madera o parquet, Protector de enchufes para niños, WiFi gratis, Jardín, Español, Salas de reuniones / banquetes, Secador de pelo, Acceso a pisos superiores solo mediante escaleras, Baño privado, Sala de juegos, Escritorio, Alquiler de coches, Servicio de despertador, Caja fuerte, Muy buen desayuno, TV de pantalla plana, Secadora de ropa, Armario, Recepción 24 horas, Papel higiénico, Calefacción, Ducha, Teléfono, Centro de negocios, Aire acondicionado, Artículos de aseo gratis, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/11316778.jpg?k=5eea6bf7b711c7ec196d6704c36a8bf78a4d58deffacc0e970d4321fe9e7782f&o=&hp=1,Paysandú,Uruguay
las cuatro eme,https://www.booking.com/hotel/uy/las-cuatro-eme.es.html?aid=2410095,"Las cuatro eme tiene jardín y se encuentra en Paysandú, a 4,7 km de Estadio Parque Artigas y a 17 km de Estación de autobuses de Colón. Esta casa o chalet ofrece parking privado gratis, salón de uso común y wifi gratis.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y hervidor, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en la casa o chalet.","Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Cocina, Mesa de comedor, Bidet, Lavadora, TV, Parking en un garaje, Sofá, Utensilios de cocina, Independiente, WiFi gratis, Jardín, Patio, Suelo de baldosa / mármol, Información turística, Hervidor eléctrico, Fogones, Secador de pelo, Ventilador, Productos de limpieza, Baño privado, Servicio de streaming (como Netflix), Canales de pago, Zona de comedor, Zona TV / salón de uso compartido, Horno, Tendedero, Zona de estar, Plancha para ropa, Toda la unidad accesible en silla de ruedas, TV de pantalla plana, Nevera, Microondas, Armario, Chimenea, Papel higiénico, Calefacción, Ducha, Aire acondicionado, Español, Radio, Toda la unidad en la planta baja, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/126744848.jpg?k=32271c5931d825dfa5a43558f2a97aa9b43b3344e0de02b39b143dfe132b3fad&o=&hp=1,Paysandú,Uruguay
Apart del Este 5,https://www.booking.com/hotel/uy/apart-del-este-5.es.html?aid=2410095,"Apart del Este 5 es un alojamiento con wifi gratis y vistas al jardín que se encuentra en Paysandú. El alojamiento, que está a 2,7 km de Estadio Parque Artigas, dispone de jardín y parking privado gratis.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

Estación de autobuses de Colón está a 23 km del alojamiento.","WiFi gratis, Jardín, Parking gratis, Prohibido fumar en todo el alojamiento, Inglés, Habitaciones sin humo, Calefacción, Cocina, TV de pantalla plana, Habitaciones familiares, Vistas, Aire acondicionado, Español, Vistas al jardín, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/446851068.jpg?k=70251524255cee0e8981c316aebd5db46d65ffe31892933d70b57cda9fd59951&o=&hp=1,Paysandú,Uruguay
Chacra La Recompensa Glamtainer,https://www.booking.com/hotel/uy/casa-de-campo-y-relax.es.html?aid=2410095,"Chacra La Recompensa Glamtainer está en Paysandú, a 8,2 km de Estadio Parque Artigas y a 16 km de Estación de autobuses de Colón, y ofrece salón de uso común y aire acondicionado. Este bed and breakfast tiene piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

El bed and breakfast tiene TV de pantalla plana. La cocina dispone de nevera, microondas y fogones, y hay bidet, artículos de aseo gratuitos y secador de pelo.

Hay piscina al aire libre y terraza solárium en este alojamiento, y en la zona se puede practicar senderismo y pesca.","Terraza / solárium, Tetera / cafetera, Servicio de entrega de comestibles, Chimenea exterior, Perchero, Terraza, Baño adicional, Protector de enchufes para niños, Italiano, Jardín, Secador de pelo, Zona de comedor, Cafetera, TV de pantalla plana, Nevera, Senderismo, Papel higiénico, Calefacción, Extintores, Ropa de cama, Habitaciones sin humo, Bidet, Barbacoa, Parking en un garaje, Zona de fumadores, Utensilios de cocina, Zona de comedor exterior, Suelo de baldosa / mármol, Cubierta para piscina, Tostadora, Servicio de streaming (como Netflix), Piscina privada, Zona TV / salón de uso compartido, Solárium, Zona de estar, Plancha para ropa, Ducha, Artículos de aseo gratis, Parking gratis, Prohibido fumar en todo el alojamiento, Bañera o ducha, Cocina, Piscina al aire libre, WC, Vistas, Libros, DVD o música para niños, WiFi gratis, Patio, Fogones, Baño privado, De temporada, Utensilios de planchado, Toallas / sábanas (por un suplemento), Plancha para pantalones, Vistas a un lugar de interés, Zona de cocina, Tumbonas/sillas de playa, Mobiliario exterior, Juegos de mesa / puzles, Aire acondicionado, Toallas, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, TV, Sofá, Inglés, Hervidor eléctrico, Portugués, Solo para adultos, Piscina con vistas, Mosquitera, Vistas al jardín, Microondas, Pesca, Armario, Zona de pícnic, Español, Vistas a la piscina, Toda la unidad en la planta baja, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/349476685.jpg?k=46802d13f57ab6db21094abccdbfa7f2757978e1bf35bde5982c0b095927bf61&o=&hp=1,Paysandú,Uruguay
Casa Contenedor y espacio verde,https://www.booking.com/hotel/uy/casa-contenedor-y-espacio-verde.es.html?aid=2410095,"Casa Contenedor y espacio verde está en Paysandú, a 6,1 km de Estadio Parque Artigas, y ofrece alojamiento con aire acondicionado y parking privado dispone de en el propio alojamiento. Esta casa o chalet tiene acceso a una cocina totalmente equipada.

Estación de autobuses de Colón está a 15 km del alojamiento.","Parking gratis, Prohibido fumar en todo el alojamiento, Inglés, Cocina, Vistas, Aire acondicionado, Español, Vistas al jardín",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447902615.jpg?k=f1e10c7be68a08065c28a82814b864f650ae48ab75e46105f0eefaaedb9b565f&o=&hp=1,Paysandú,Uruguay
