hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Spa Lo Aguirre,https://www.booking.com/hotel/cl/spa-lo-aguirre.es.html?aid=2410095,"Hotel Spa Lo Aguirre se encuentra en Peñaflor, a 33 km de Movistar Arena, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento está a 35 km de Museo de la Memoria y los Derechos Humanos, a 37 km de Museo de Arte Precolombino y a 38 km de Cerro Santa Lucía. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado equipado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones también están equipadas con balcón. En el hotel, cada habitación tiene ropa de cama y toallas.

La Chascona está a 40 km del alojamiento, y Museo Interactivo Mirador está a 40 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 35 km del alojamiento.","Terraza, Inglés, TV de pantalla plana, Ropa de cama, Zona de comedor, Perchero, Desayuno, WiFi gratis, Ventilador, Prohibido fumar en todo el alojamiento, Español, Sauna, Ducha, Vistas, Toallas, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Jardín, Spa y centro de bienestar, Servicio de habitaciones, Parking gratis, Baño privado, Italiano, Secador de pelo, Recepción 24 horas, WC, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582125944.jpg?k=e9a97e37d37228937a92e1ad1055fba2a793763db27c26e49aaf7d3a985eb97a&o=&hp=1,Peñaflor,Chile
HotelSpa Lo Aguirre,https://www.booking.com/hotel/cl/hotelspa-lo-aguirre.es.html?aid=2410095,"HotelSpa Lo Aguirre está en Peñaflor, a 33 km de Movistar Arena, y dispone de alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento dispone de bar y se encuentra a 35 km de Museo de la Memoria y los Derechos Humanos. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado equipado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones también incluyen balcón. En el hotel, cada habitación dispone de ropa de cama y toallas.

Museo de Arte Precolombino está a 37 km del alojamiento, y Cerro Santa Lucía está a 38 km. El aeropuerto (Aeropuerto Arturo Merino Benítez) está a 35 km.","Terraza, Terapia con luz, Tetera/cafetera en todas las habitaciones, Bar, Servicios de belleza, Tetera / cafetera, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Masaje de pies, Ropa de cama, Masajes, Zona de comedor, Masaje de manos, Plancha para pantalones, Perchero, Instalaciones de spa, Desayuno, WiFi gratis, Juegos de mesa / puzles, Servicios de depilación, Ventilador, Servicio de conserjería, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Tratamientos capilares, Mobiliario exterior, Masaje de cabeza, Prohibido fumar en todo el alojamiento, Español, Masaje corporal completo, Centro de negocios, Pedicura, Sauna, Microondas, Servicio de planchado, Ducha, Chimenea exterior, Salas de reuniones / banquetes, Paquetes de spa / bienestar, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Manicura, Bañera de hidromasaje / jacuzzi, Jardín, Proporciona factura, Masaje en pareja, Spa y centro de bienestar, Tratamientos faciales, Masaje de espalda, Hervidor eléctrico, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Baño al aire libre, Parking gratis, Baño privado, Exfoliación corporal, Tratamientos corporales, Italiano, Masaje de cuello, Secador de pelo, Recepción 24 horas, Detectores de humo, Zona TV / salón de uso compartido, WC, Zona de spa / relajación, Servicios de maquillaje, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530638792.jpg?k=ce7916bb617a76d05d62d9c064df9a66d7e46c6308ab5f6b132e4bcb3d953fa1&o=&hp=1,Peñaflor,Chile
Holtel Spa Lo Aguirre,https://www.booking.com/hotel/cl/holtel-spa-lo-aguirre.es.html?aid=2410095,"Holtel Spa Lo Aguirre se encuentra en Peñaflor, a 35 km de Movistar Arena y a 37 km de Museo de la Memoria y los Derechos Humanos. Ofrece alojamiento con wifi gratis y un jardín con terraza.

El bed and breakfast ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha.

En Holtel Spa Lo Aguirre se puede disfrutar de un desayuno continental.

Museo de Arte Precolombino está a 39 km del alojamiento, y Cerro Santa Lucía está a 40 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 37 km del alojamiento.","Terraza, Inglés, TV de pantalla plana, Ropa de cama, Zona de comedor, Desayuno, WiFi gratis, Prohibido fumar en todo el alojamiento, Español, Calefacción, Sauna, Ducha, Toallas, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Jardín, Parking gratis, Baño privado, Italiano, Secador de pelo, WC, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581287227.jpg?k=a5d5cbe0cdd0fd62d52ee809585b5530f92094311ad49ad1daa299740532adf5&o=&hp=1,Peñaflor,Chile
Casa aislada 1 piso Peñaflor-Malloco,https://www.booking.com/hotel/cl/casa-aislada-1-piso-penaflor-malloco.es.html?aid=2410095,"Casa aislada 1 piso Peñaflor-Malloco, que cuenta con vistas al jardín, dispone de alojamiento con terraza y patio a unos 36 km de Museo de la Memoria y los Derechos Humanos. El alojamiento, que se encuentra a 34 km de Movistar Arena, ofrece jardín y parking privado gratis.

La casa o chalet dispone de 3 dormitorios, cocina con microondas, lavadora y 2 baños con artículos de aseo gratuitos y secador de pelo. Se ofrece TV de pantalla plana.

Museo de Arte Precolombino está a 38 km del alojamiento, y Cerro Santa Lucía está a 39 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 36 km del alojamiento.","Terraza, TV de pantalla plana, Productos de limpieza, Vistas al jardín, Plancha para ropa, Utensilios de planchado, WiFi gratis, Enchufe cerca de la cama, Patio, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Bañera o ducha, Artículos de aseo gratis, Chimenea, Jardín, Hervidor eléctrico, Parking gratis, Baño privado, Secador de pelo, Baño adicional, WC, Habitaciones familiares, Cocina, Lavadora, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582122793.jpg?k=f4cb5e2f3e8e40264c4ee7d7c41ebb065901b0054c002fbad1804ca7baab059a&o=&hp=1,Peñaflor,Chile
Casa de Campo en Malloco,https://www.booking.com/hotel/cl/la-serena-sanctuary.es.html?aid=2410095,"Casa de Campo en Malloco, que cuenta con vistas al jardín, ofrece alojamiento con patio y hervidor a unos 33 km de Movistar Arena. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

La casa o chalet cuenta con 5 dormitorios, 3 baños, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas a la piscina.

Museo de la Memoria y los Derechos Humanos está a 36 km del alojamiento, y Museo de Arte Precolombino está a 36 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 35 km del alojamiento.","Terraza, Inglés, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Escritorio, Zona de comedor, De temporada, Vistas al jardín, Sofá, Zona poco profunda, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Patio, Bañera, Zona de estar, Piscina al aire libre, Fogones, Entrada privada, Suelo de madera o parquet, Horno, Prohibido fumar en todo el alojamiento, Español, Piscina con vistas, Bañera o ducha, Piscina privada, Ducha, Mesa de comedor, Armario, Toallas, Chimenea, Para todas las edades, Suelo de baldosa / mármol, Jardín, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Aseo adicional, Horario de apertura, WC, Baño compartido, Habitaciones familiares, Habitaciones comunicadas disponibles, Zona de comedor exterior, Cocina, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/518461155.jpg?k=3a83d695022357a8a05d844ae0ce37bf6facc1bee0e86bd9978d66893e59f3e4&o=&hp=1,Peñaflor,Chile
Hotel Spa Natura,https://www.booking.com/hotel/cl/spa-natura-talagante.es.html?aid=2410095,"Hotel Spa Natura se encuentra en Talagante, a 34 km de Movistar Arena, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo está a 37 km de Museo de la Memoria y los Derechos Humanos.

En el hotel, cada habitación incluye armario y TV de pantalla plana. En Hotel Spa Natura, todas las habitaciones disponen de ropa de cama y toallas.

Hay opciones continentales o americanas de desayuno disponibles todas las mañanas en el alojamiento.

Museo de Arte Precolombino está a 38 km del alojamiento, y Cerro Santa Lucía está a 39 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 36 km.","Terraza, Inglés, Tetera/cafetera en todas las habitaciones, Bar, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Vistas al jardín, Desayuno, WiFi gratis, Ventilador, Prohibido fumar en todo el alojamiento, Español, Calefacción, Sauna, Piscina, Ducha, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Jardín, Spa y centro de bienestar, Hervidor eléctrico, Servicio de habitaciones, Parking gratis, Baño privado, Secador de pelo, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, WC, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568087307.jpg?k=06f5d7d7496020e64c4f1d93977a980be950f5cf441031f60841c3d4b1c68b37&o=&hp=1,Peñaflor,Chile
Cabañas Carampangue,https://www.booking.com/hotel/cl/cabanas-carampangue.es.html?aid=2410095,"Cabañas Carampangue se encuentra en Talagante, a 34 km de Casino Monticello y a 34 km de Centro de convenciones Monticello, y ofrece acceso a un jardín con terraza.

Hay una cocina totalmente equipada y un baño privado.

Movistar Arena está a 44 km del alojamiento, y Museo de la Memoria y los Derechos Humanos está a 46 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 46 km del alojamiento.","Terraza, Parking gratis, Baño privado, Jardín, Cocina, Español, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522012519.jpg?k=3b9283c1b087798b31e3fc8f3ca5db868e072f3e77de56cc01b575fb5cafe9ad&o=&hp=1,Peñaflor,Chile
Loft Cabaña El Recuerdo,https://www.booking.com/hotel/cl/cabana-maipo.es.html?aid=2410095,"Loft Cabaña El Recuerdo, que tiene bañera de hidromasaje, se encuentra en Maipo. El alojamiento, que está a 28 km de Movistar Arena, dispone de jardín y parking privado gratis.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar.

Museo de la Memoria y los Derechos Humanos está a 30 km del alojamiento, y Museo Interactivo Mirador está a 31 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 41 km.","Parking gratis, Piscina, Inglés, Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas al jardín, Aire acondicionado, Jardín, Desayuno, Bañera de hidromasaje, WiFi gratis, Español, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/450092537.jpg?k=fc1a0c01d4a256e5138fc5170df718ba14f48c45f34e99a1fd8a88e55d27cf65&o=&hp=1,Peñaflor,Chile
Hermosa Casa del Valle en Parcela en Padre Hurtado Santiago,https://www.booking.com/hotel/cl/casa-de-lujo-escandinava.es.html?aid=2410095,"Hermosa Casa del Valle en Parcela en Padre Hurtado Santiago es un alojamiento con jardín y bar que está en Padre Hurtado, a 32 km de Movistar Arena, a 35 km de Museo de la Memoria y los Derechos Humanos y a 35 km de Museo de Arte Precolombino. Este alojamiento ofrece ping pong, parking privado gratis, wifi gratis y acceso a un balcón.

La casa o chalet tiene 3 dormitorios, 3 baños, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas a la montaña.

Cerro Santa Lucía está a 36 km del alojamiento, y La Chascona está a 38 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 34 km.","Muebles de exterior, Terraza, Inglés, Bar, Tetera / cafetera, TV de pantalla plana, Libros, DVD o música para niños, Ropa de cama, Escritorio, Zona de comedor, Vistas al jardín, Plancha para ropa, Utensilios de planchado, Reloj despertador, Perchero, Balcón, Sofá, Ping pong, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Zona de estar, Camas extralargas (más de 2 metros), Fogones, Ventilador, Barbacoa, Alarma de seguridad, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Independiente, Calefacción, Microondas, Clases de yoga, Mesa de comedor, Vistas, Toallas, Gimnasio, Cafetera, Cámaras de seguridad fuera del alojamiento, Jardín, Dardos, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tiro con arco, Karaoke, Equipamiento de juegos para exterior, Habitaciones familiares, Zona de comedor exterior, Cocina, Lavadora, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526522813.jpg?k=9b97744edd6d984b03c04c55b27ddccf0f4ad215c9ed15e5ea0a404a29a4d28d&o=&hp=1,Peñaflor,Chile
gran casa de campo,https://www.booking.com/hotel/cl/gran-casa-de-campo-calera-de-tango.es.html?aid=2410095,"Gran casa de campo es un alojamiento con vistas al jardín que se encuentra en Calera de Tango, a 35 km de Movistar Arena y a 38 km de Museo de la Memoria y los Derechos Humanos. Esta villa tiene piscina privada, jardín y parking privado gratis.

La villa dispone de terraza, 2 dormitorios, sala de estar y cocina bien equipada con nevera y lavavajillas. Hay toallas y ropa de cama en la villa.

Museo de Arte Precolombino está a 38 km del alojamiento, y Cerro Santa Lucía está a 39 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 37 km del alojamiento.","Terraza, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Escritorio, Vistas al jardín, Plancha para ropa, Fogones, Barbacoa, Entrada privada, Horno, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Guardaequipaje, Piscina, Piscina privada, Toallas, Chimenea, Jardín, Nevera, Parking gratis, Secador de pelo, Lavavajillas, Cocina, Lavadora, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504197053.jpg?k=cdb1b7c231bf98c86535323f80040fa82161445d4139e98abeb1f6fde5ffcd70&o=&hp=1,Peñaflor,Chile
