hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Tambo Colorado,https://www.booking.com/hotel/pe/hostal-tambo-colorado.es.html?aid=2410095,"El Hostal Tambo Colorado ofrece alojamiento en Pisco, a 50 metros de la plaza principal, a 20 minutos en coche del aeropuerto internacional de Pisco y a 5 km de la estación de autobuses.

Las habitaciones del Hostal Tambo Colorado están equipadas con TV y baño con agua caliente las 24 horas. El hostal ofrece WiFi gratuita y desayuno diario opcional por un suplemento.

Los huéspedes pueden hacer uso de la cocina totalmente equipada y disfrutar de un cóctel pisco sour en la cafetería.

El establecimiento dispone de mostrador de información turística, que puede organizar excursiones a la isla Ballestas, donde se pueden observar lobos marinos y aves. También se pueden reservar excursiones arqueológicas a las ruinas incas de Tambo Colorado. El albergue se halla a 30 minutos en coche del parque nacional de Paracas.

El albergue se localiza a poca distancia de una gran variedad de restaurantes, bares y comercios. Además, proporciona aparcamiento gratuito y servicios de traslado al aeropuerto y a las estaciones de autobuses, disponible por un suplemento.","Servicio de planchado, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Cocina compartida, Servicio de lavandería, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Información turística, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Fax / fotocopiadora, Español, Baño privado, Patio, Máquina expendedora (bebidas), Habitaciones sin humo, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Ventilador, Desayuno fabuloso, Máquina expendedora (aperitivos), Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/165972870.jpg?k=8f78db98a68bd25fe96683f15943f0129353da2f893d26337dabf8023f4c2641&o=&hp=1,Pisco,Perú
Hotel LUXOTEL PISCO,https://www.booking.com/hotel/pe/luxotel-pisco-pisco.es.html?aid=2410095,"Hotel LUXOTEL PISCO se encuentra en Pisco, a 1,9 km de Playa Pisco y a 47 km de Tambo Colorado. Ofrece alojamiento con terraza y wifi gratis en todo el alojamiento, además de parking privado gratis. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. Este alojamiento hipoalergénico está a 4 min a pie de Iglesia San Clemente.

En el hotel, todas las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Hay opciones continentales o americanas de desayuno disponibles todas las mañanas en Hotel LUXOTEL PISCO.

Cerca del alojamiento hay puntos de interés como Palacio Municipal, Iglesia Compañía de Jesus y Plaza de Armas. El aeropuerto más cercano (Aeropuerto Capitán FAP Renán Elías Olivera) está a 8 km.","Playa, Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Servicio de planchado, Plancha para pantalones, Desayuno, Noches de cine, Zona de comedor, Parking gratis, Plancha para ropa, Llave de acceso, Accesible para personas sordas, Servicio de limpieza diario, Terraza, Boles para mascotas, Servicio de despertador, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones hipoalergénicas, Detectores de humo, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Vino / champán, Registro de entrada / salida privado, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Productos de limpieza, Fax / fotocopiadora, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Supermercado pequeño en el alojamiento, Servicio de streaming (como Netflix), Ruta de bares, Recepción 24 horas, Cesta para mascotas, Guardaequipaje, Hipoalergénico, TV de pantalla plana, Ropa de cama, Peluquería / salón de belleza, Ducha, Ventilador, Desayuno en la habitación, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577341991.jpg?k=04a571b547a97f220e3051e3db19a59b1dbcd68ac9f90b7053b605acfa2199eb&o=&hp=1,Pisco,Perú
Mandala Lux Hotel,https://www.booking.com/hotel/pe/mandala-lux.es.html?aid=2410095,"Mandala Lux Hotel se encuentra en Pisco, a 10 min a pie de Playa Pisco, y ofrece alojamiento con jardín, parking privado gratis y restaurante. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Algunas habitaciones del alojamiento incluyen un patio con vistas al mar.

En el hotel, todas las habitaciones cuentan con escritorio. Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también disponen de vistas a la ciudad. Todas las unidades del alojamiento están equipadas con TV de pantalla plana y secador de pelo.

El desayuno diario ofrece opciones a la carta, continentales o americanas.

Cerca del alojamiento hay puntos de interés como Plaza de Armas, Iglesia San Clemente y Palacio Municipal. El aeropuerto más cercano (Aeropuerto Capitán FAP Renán Elías Olivera) está a 8 km del alojamiento.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Desayuno, Parking gratis, Traslado aeropuerto, Perchero, Armario, Papel higiénico, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), WC, Servicio de habitaciones, Toallas, Jardín, Artículos de aseo gratis, Secador de pelo, Español, Baño privado, Habitaciones sin humo, Recepción 24 horas, Escritorio, TV de pantalla plana, Traslado aeropuerto (gratis), Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576257589.jpg?k=a9635bcab050e09d65e8f67831446c1827e91c99ccef984eb509920fea075fe1&o=&hp=1,Pisco,Perú
Mandala,https://www.booking.com/hotel/pe/hostal-manda.es.html?aid=2410095,"Mandala es un alojamiento de 3 estrellas que está en Pisco, a 19 min a pie de Playa Pisco, y que tiene terraza. El alojamiento está cerca de varios lugares de interés destacados, a unos 6 min a pie de Iglesia San Clemente, a 400 metros de Palacio Municipal y a 8 min a pie de Iglesia Compañía de Jesus. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y cambio de moneda.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. El baño privado está equipado con bidet y artículos de aseo gratuitos.

Tambo Colorado está a 47 km del alojamiento, y Plaza de Armas está a 3 min a pie. El aeropuerto (Aeropuerto Capitán FAP Renán Elías Olivera) está a 9 km.","Servicio de planchado, Plancha para pantalones, Cambio de moneda, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Papel higiénico, Servicio de lavandería, Servicio de conserjería, Servicio de traslado, Proporciona factura, Servicio de habitaciones, Terraza / solárium, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Español, Baño privado, Habitaciones sin humo, Extintores, Recepción 24 horas, Tendedero, TV de pantalla plana, Buen desayuno, Ducha, Desayuno en la habitación, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/342702057.jpg?k=96dca65e2c0c7b5ad702a7172706a31961f215eba1df3c6a71825d42cfa4170a&o=&hp=1,Pisco,Perú
Hotel San Isidro,https://www.booking.com/hotel/pe/san-isidro-pisco.es.html?aid=2410095,"Hotel San Isidro está en Pisco, a 2,8 km de Playa Pisco, y dispone de alojamiento con terraza, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo se encuentra a 46 km de Tambo Colorado.

Cerca del alojamiento hay puntos de interés como Iglesia Compañía de Jesus, Palacio Municipal y Plaza de Armas. El aeropuerto (Aeropuerto Capitán FAP Renán Elías Olivera) está a 10 km.","Habitaciones sin humo, Terraza, Prohibido fumar en todo el alojamiento, Bar, Recepción 24 horas, WiFi gratis, Inglés, Piscina, Desayuno, Parking gratis, Traslado aeropuerto (gratis), Traslado aeropuerto, Español, Servicio de habitaciones, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/480635895.jpg?k=dd4a5af0c516afec8c245db8df84a77bab0f1c688a00fa85a35fdfee493e86c4&o=&hp=1,Pisco,Perú
Starlight Inn,https://www.booking.com/hotel/pe/starlight-inn.es.html?aid=2410095,"El Starlight Inn está situado en Pisco, a 800 metros de la plaza de Armas, y ofrece habitaciones con WiFi gratuita. La playa más cercana queda a 2 km.

Las habitaciones incluyen baño privado con ducha y agua caliente, TV de pantalla plana y ventilador.

Los huéspedes podrán desayunar en la habitación y tomar una copa en el bar del Starlight Inn.

Además, hay aparcamiento gratuito, sujeto a disponibilidad.

En el establecimiento se pueden organizar excursiones ecológicas y de aventura.

La recepción está abierta las 24 horas.

El Starlight Inn se encuentra a 15 minutos en coche de Paracas y a 2,5 km del aeropuerto internacional de Pisco.","Parking en un garaje, Fruta, Mesa de comedor, Prohibido fumar en todo el alojamiento, Servicio de planchado, Desayuno, Plancha para ropa, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Happy hour, Salas de reuniones / banquetes, Boles para mascotas, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones hipoalergénicas, Utensilios de cocina, Servicio de aparcacoches, Bar, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Servicio de entrega de comestibles, Inglés, Nevera, Baños públicos, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Productos de limpieza, Fax / fotocopiadora, Español, Baño privado, Ordenador portátil, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Servicio de despertador / alarma, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Desayuno en la habitación, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564511391.jpg?k=cb22ab0fb37e98ec4963daaf2c8fc9780608c922d0325bd47731b319da9dc75c&o=&hp=1,Pisco,Perú
Embassy Beach,https://www.booking.com/hotel/pe/embassy-beach.es.html?aid=2410095,"El Embassy Beach está ubicado en Pisco y ofrece piscina exterior, restaurante y conexión Wi-Fi gratuita.

Las habitaciones del Embassy Beach incluyen zona de estar, TV por cable, baño privado y vistas.

El Embassy Beach cuenta con centro de fitness, sala de juegos y aparcamiento gratuito. En el establecimiento y sus alrededores se pueden hacer numerosas actividades, como jugar al billar y al ping pong.

El Embassy Beach está a 900 metros del parque San Martín, a 1,2 km de la plaza principal de la ciudad y 1,3 km de la iglesia de San Clemente.","Sala de juegos, Mesa de comedor, Servicio de planchado, Desayuno, Billar, Parking gratis, Sombrillas, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Armario, Papel higiénico, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Teléfono, Baños públicos, Gimnasio, WC, Proporciona factura, Servicio de habitaciones, Terraza / solárium, Toallas, Información turística, Jardín, Artículos de aseo gratis, Piscina infantil, Español, Baño privado, Piscina al aire libre, Extintores, Restaurante, Zona de juegos para niños, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Desayuno en la habitación, Ping pong",https://cf.bstatic.com/xdata/images/hotel/max1024x768/139809538.jpg?k=7bb307d01c952bd918efd644b8b85abc0f31766ccafba3a27ec9be3118b3bae9&o=&hp=1,Pisco,Perú
Hospedaje Anais,https://www.booking.com/hotel/pe/hospedaje-anais-pisco.es.html?aid=2410095,"Hospedaje Anais se encuentra en Pisco, a 1,8 km de Playa Pisco, y ofrece mostrador de información turística, habitaciones libres de humo, salón de uso común, wifi gratis y terraza. El alojamiento está a 48 km de Tambo Colorado, a 18 min a pie de Iglesia Compañía de Jesus y a 1,4 km de Iglesia San Clemente. El alojamiento dispone de cocina compartida y cambio de moneda.

Algunas de las habitaciones también tienen zona de cocina con nevera y microondas.

El hostal o pensión ofrece desayuno continental o americano.

Palacio Municipal está a 17 min a pie del alojamiento, y Plaza de Armas está a 1,4 km. El aeropuerto más cercano (Aeropuerto Capitán FAP Renán Elías Olivera) está a 6 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Fruta, Prohibido fumar en todo el alojamiento, Desayuno, Menús para dietas especiales (bajo petición), Cambio de moneda, Traslado aeropuerto, Terraza, Seguridad 24 horas, Cocina compartida, Servicio de lavandería, Alquiler de bicicletas, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Menú para niños, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Información turística, Vino / champán, Español, Zona TV / salón de uso compartido, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/322206816.jpg?k=99b666f62d74bed9d7396d0489ad2d6ca88c36143be5bc09fcf72d23fbb19239&o=&hp=1,Pisco,Perú
Posada Gino,https://www.booking.com/hotel/pe/posada-gino.es.html?aid=2410095,"La colorida Posada Gino se encuentra en Pisco, a solo 2 minutos a pie de la Plaza de Armas, y ofrece conexión Wi-Fi gratuita y recepción 24 horas. El centro comercial y financiero de Pisco también está a solo 2 minutos a pie.

Las habitaciones de la Posada Gino presentan atractivas paredes de color amarillo y muebles de madera oscura. Cuentan con baño privado con artículos de aseo gratuitos, TV por cable, ventilador y suelo de baldosa o mármol. Las toallas y la ropa de cama están incluidas.

Los huéspedes pueden hacer uso de la cocina común y del centro de negocios gratuito. También se ofrece consigna de equipaje gratuita y servicio de habitaciones 24 horas.

La posada se encuentra a 200 metros de la iglesia de la Compañía de Jesús y a 2 minutos a pie de la catedral de Pisco. La estación de autobuses de Pisco se halla a 4 minutos a pie y la reserva natural nacional de Paracas, a 15 minutos en coche. La Posada Gino ofrece aparcamiento gratuito.","Parking en un garaje, Desayuno, Parking gratis, Bañera o ducha, Armario, Papel higiénico, Servicio de lavandería, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Canales por cable, Servicio de habitaciones, Toallas, Información turística, Artículos de aseo gratis, Secador de pelo, Español, Baño privado, Sauna, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/153677502.jpg?k=0f5c33553298ef66a7b403fff7b69eea1207a7f268426393d7005bae6ab8fa41&o=&hp=1,Pisco,Perú
Casa - Hospedaje Munay Ki - Yoga -,https://www.booking.com/hotel/pe/hospedaje-munay-ki-yoga.es.html?aid=2410095,"Casa - Hospedaje Munay Ki - Yoga - se encuentra a solo 1,8 km de Playa Pisco y dispone de alojamiento en Pisco con jardín y terraza, además de mostrador de información turística. Este bed and breakfast ofrece alojamiento con patio.

Este bed and breakfast ofrece wifi gratis, TV de pantalla plana vía satélite, lavadora y zona de cocina con nevera y lavavajillas. Hay toallas y ropa de cama en el bed and breakfast.

El desayuno está disponible todos los días e incluye opciones continentales, americanas o vegetarianas.

Cerca del alojamiento hay puntos de interés como Iglesia San Clemente, Palacio Municipal y Iglesia Compañía de Jesus. El aeropuerto más cercano (Aeropuerto Capitán FAP Renán Elías Olivera) está a 9 km del alojamiento.","Cafetera, Parking en un garaje, Utensilios de planchado, Vistas al jardín, Zona de comedor exterior, Mesa de comedor, Canales vía satélite, Zona de cocina, Parking, Desayuno, Plancha para ropa, Zona de comedor, Clases de yoga, Llave de acceso, Perchero, Terraza, Bañera o ducha, Vistas a un patio interior, Zona de estar, Armario, Papel higiénico, Toda la unidad en la planta baja, Servicio de aparcacoches, Mobiliario exterior, Detectores de humo, WiFi gratis, Lavavajillas, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Secador de pelo, Información turística, Zona de fumadores, Sofá, Productos de limpieza, Español, Baño privado, Patio, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Tendedero, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Lavadora, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528306056.jpg?k=d0dadd033cd33302e1d2176fa6db19befa026db1875d262a9131e2cbfcc2dac3&o=&hp=1,Pisco,Perú
