hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Hospedaje en Quito Norte, Apartamento & Suite independientes",https://www.booking.com/hotel/ec/departamento-en-quito-norte.es.html?aid=2410095,"Hospedaje en Quito Norte, Apartamento & Suite independientes está en Quito, a 5,1 km de Estadio Rodrigo Paz Delgado y a 14 km de Centro comercial Iñaquito. Ofrece jardín, salón de uso común y wifi gratis.

El apartamento ofrece patio, vistas al jardín, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y microondas, y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Centro comercial Quicentro está a 17 km del alojamiento, y Estadio Olímpico Atahualpa está a 17 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 33 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Canales vía satélite, Zona de comedor exterior, Barbacoa, Baño adicional, Vistas al jardín, Plancha para ropa, Zona de comedor, Parking gratis, Menús para dietas especiales (bajo petición), Llave de acceso, Traslado aeropuerto, Bañera o ducha, Zona de estar, Tour o clase sobre cultura local, Vistas a un patio interior, Papel higiénico, Servicio de lavandería, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, WiFi gratis, TV, Inglés, Nevera, Toallas / sábanas (por un suplemento), Hervidor eléctrico, WC, Servicio de traslado, Proporciona factura, Toallas, Jardín, Artículos de aseo gratis, Microondas, Secador de pelo, Servicio de limpieza en seco, Español, Baño privado, Patio, Fogones, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Zona de pícnic, Cocina, TV de pantalla plana, Ropa de cama, Entrada privada, Desayuno excepcional, Ducha, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/285929443.jpg?k=77b0feff89e59a39ac3022eff5dc85bd3fe0490978029946d9290444bd32c056&o=&hp=1,Pomasqui,Ecuador
El Vergel Norte,https://www.booking.com/hotel/ec/el-vergel-norte.es.html?aid=2410095,"El Vergel Norte está en Quito, a 8,7 km de Estadio Rodrigo Paz Delgado y a 14 km de Centro comercial Quicentro. Ofrece alojamiento con terraza y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a unos 15 km de Parque La Carolina, a 16 km de Centro comercial Iñaquito y a 19 km de Parque El Ejido. Este alojamiento libre de humo se encuentra a 14 km de Estadio Olímpico Atahualpa.

Las habitaciones incluyen baño privado con ducha y artículos de aseo gratuitos. En el hostal o pensión, todas las habitaciones cuentan con escritorio y TV de pantalla plana.

En El Vergel Norte se puede disfrutar de un desayuno a la carta o continental.

En recepción se hablan varios idiomas, como inglés, español y francés, y el personal ofrece consejos sobre la zona.

Teatro Sucre está a 20 km del alojamiento, y Teatro Bolívar está a 21 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 27 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, WC, Canales por cable, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Toallas, Snack-bar, Registro de entrada / salida privado, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Francés, Escritorio, TV de pantalla plana, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/307323235.jpg?k=a905fe24c7021edd1dd76d2a2ce1188cddc61f91e7714056509c4faef32a1810&o=&hp=1,Pomasqui,Ecuador
MITAD DEL MUNDO sirah,https://www.booking.com/hotel/ec/mitad-del-mundo-sirah.es.html?aid=2410095,"MITAD DEL MUNDO sirah es un alojamiento con terraza que está en Quito, a 21 km de Centro comercial Quicentro, a 21 km de Estadio Olímpico Atahualpa y a 22 km de Parque La Carolina. El alojamiento, que se encuentra a 11 km de Estadio Rodrigo Paz Delgado, ofrece jardín y parking privado gratis.

Esta casa o chalet se encuentra en la planta baja y cuenta con 2 dormitorios, cocina bien equipada con microondas, una sala de estar y TV de pantalla plana.

Centro comercial Iñaquito está a 24 km del alojamiento, y Parque El Ejido está a 25 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 37 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de cocina, Parking gratis, Traslado aeropuerto, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Inglés, Servicio de traslado, Toallas, Jardín, Artículos de aseo gratis, Microondas, Español, Patio, Vistas, Sofá cama, Cocina, TV de pantalla plana, Entrada privada, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585470952.jpg?k=e902d45eb40aeb73e65966b5d0357a12be2eaed372977419f0612262caaa4a7d&o=&hp=1,Pomasqui,Ecuador
Dos Hemisferios,https://www.booking.com/hotel/ec/dos-hemisferios.es.html?aid=2410095,"Dos Hemisferios se encuentra en Quito, a 15 km de Estadio Rodrigo Paz Delgado, y ofrece alojamiento con jardín, parking privado gratis y terraza. El alojamiento está a unos 25 km de Centro comercial Quicentro, a 25 km de Estadio Olímpico Atahualpa y a 26 km de Parque La Carolina. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis.

En el hotel, todas las habitaciones disponen de un patio con vistas a la ciudad. Todas las habitaciones están equipadas con baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen zona de cocina con nevera. En Dos Hemisferios, las habitaciones cuentan con armario y TV de pantalla plana.

El alojamiento ofrece desayuno continental o vegetariano.

Puedes jugar al billar en Dos Hemisferios.

Centro comercial Iñaquito está a 27 km del alojamiento, y Museo de Arte Colonial está a 29 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 41 km del alojamiento.","Entretenimiento nocturno, Parking en un garaje, Fruta, Registro de entrada y salida exprés, Zona de juegos interior, Plancha para pantalones, Desayuno, Billar, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Tour o clase sobre cultura local, Armario, Papel higiénico, Seguridad 24 horas, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Karaoke, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Registro de entrada / salida privado, Información turística, Zona de fumadores, Vistas a la montaña, Bañera, Español, Baño privado, Patio, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Servicio de streaming (como Netflix), Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Entrada privada, Ducha, Desayuno en la habitación, Senderismo, Teléfono, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/336492676.jpg?k=37d89883cb1233f64a43e74f27fa3668c58bdcdb9526ddd18248f73b26f817f6&o=&hp=1,Pomasqui,Ecuador
Hostal Piamonte,https://www.booking.com/hotel/ec/hostal-piamonte.es.html?aid=2410095,"Hostal Piamonte se encuentra en Quito, a 11 km de Estadio Rodrigo Paz Delgado, y ofrece alojamiento con terraza, parking privado gratis y bar. El alojamiento está a unos 15 km de Estadio Olímpico Atahualpa, a 16 km de Parque La Carolina y a 17 km de Centro comercial Iñaquito. Este alojamiento libre de humo está a 15 km de Centro comercial Quicentro.

Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. En el hostal o pensión, todas las habitaciones están equipadas con TV de pantalla plana con canales por cable.

En recepción se hablan varios idiomas, como inglés y español, y el personal ofrece información sobre la zona.

Parque El Ejido está a 20 km del alojamiento, y Teatro Sucre está a 21 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 27 km del alojamiento.","Prohibido fumar en todo el alojamiento, Parking gratis, Terraza, Papel higiénico, Bar, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, WC, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Toallas, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/560634859.jpg?k=7ba92c6143b1f78e2594ecddbc061c91023659db5facb19dccf8a002c3a702fa&o=&hp=1,Pomasqui,Ecuador
Hotel Inty Raymi,https://www.booking.com/hotel/ec/inty-raymi-quito.es.html?aid=2410095,"Hotel Inty Raymi está en Quito, a 15 km de Estadio Rodrigo Paz Delgado y a 25 km de Centro comercial Quicentro. Ofrece alojamiento con terraza y wifi gratis en todo el alojamiento, además de parking privado gratis. Este hotel de 1 estrella ofrece servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo se encuentra a 25 km de Estadio Olímpico Atahualpa.

Parque La Carolina está a 26 km del alojamiento, y Centro comercial Iñaquito está a 27 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 41 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Seguridad 24 horas, Habitaciones insonorizadas, Servicio de lavandería, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, Lavamanos más bajo, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Información turística, Registro de entrada / salida privado, Snack-bar, Apoyo visual: braille, Español, WC con barras de apoyo, Habitaciones sin humo, Extintores, Habitaciones familiares, Recepción 24 horas, WC elevado, Guardaequipaje, Adaptado para sillas de ruedas, Calefacción, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530645622.jpg?k=79a7cd51e32e177e84dea0bbd31beb8cb8748acd59db7ad29a3265840cc36270&o=&hp=1,Pomasqui,Ecuador
Rising Sun Apt Northeast Quito,https://www.booking.com/hotel/ec/rising-sun-apt-northeast-quito.es.html?aid=2410095,"Rising Sun Apt Northeast Quito está en Quito, a 15 km de Estadio Rodrigo Paz Delgado, a 19 km de Centro comercial Quicentro y a 19 km de Estadio Olímpico Atahualpa. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

El apartamento tiene terraza, 2 dormitorios, sala de estar y cocina bien equipada. Hay TV de pantalla plana.

Parque La Carolina está a 20 km del alojamiento, y Centro comercial Iñaquito está a 21 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 30 km.","Vistas, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Inglés, Escritorio, TV de pantalla plana, Parking gratis, Lavadora, Español, Terraza, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586062218.jpg?k=b9cd3d3e375282012f815f0bd9b8d590b2a59aab2854d58f184bb222f5bed9ce&o=&hp=1,Pomasqui,Ecuador
Casa El Rincón del Sol,https://www.booking.com/hotel/ec/casa-el-rincon-del-sol-quito.es.html?aid=2410095,"Casa El Rincón del Sol está en Quito y dispone de alojamiento con wifi gratis a 21 km de Centro comercial Quicentro, a 21 km de Estadio Olímpico Atahualpa y a 22 km de Parque La Carolina. El alojamiento, que se encuentra a 11 km de Estadio Rodrigo Paz Delgado, ofrece terraza y parking privado gratis.

La casa o chalet de 2 dormitorios cuenta con sala de estar con TV de pantalla plana con canales por cable, cocina totalmente equipada con nevera y horno, y 3 baños con bidet.

Centro comercial Iñaquito está a 24 km del alojamiento, y Parque El Ejido está a 25 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 37 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Utensilios de planchado, Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Aseo adicional, Traslado aeropuerto, Perchero, Terraza, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Utensilios de cocina, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Habitaciones comunicadas disponibles, Nevera, Hervidor eléctrico, Alarma de seguridad, WC, Canales por cable, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Toallas, Adosado, Registro de entrada / salida privado, Juegos de mesa / puzles, Sofá, Productos de limpieza, Taquillas, Horno, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Español, Equipamiento de juegos para exterior, Fogones, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Cocina, Suelo de baldosa / mármol, Francés, TV de pantalla plana, Lavadora, Ducha, Tostadora, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551967232.jpg?k=700138f74d8b7b817e5ab81b4848e97765ef435aac369d018a87ef18361e8988&o=&hp=1,Pomasqui,Ecuador
Villa Mirlo – Escondite de Lujo en Quito,https://www.booking.com/hotel/ec/villa-mirlo-escondite-de-lujo-en-quito-quito.es.html?aid=2410095,"Villa Mirlo – Escondite de Lujo en Quito es un alojamiento con vistas al jardín que está en Quito, a 20 km de Centro comercial Quicentro y a 20 km de Estadio Olímpico Atahualpa. El alojamiento, que se encuentra a 14 km de Estadio Rodrigo Paz Delgado, ofrece jardín y parking privado gratis.

Esta villa de 2 dormitorios dispone de wifi gratis, TV de pantalla plana y cocina con fogones.

Parque La Carolina está a 21 km del alojamiento, y Centro comercial Iñaquito está a 22 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 30 km.","Jardín, Secador de pelo, Vistas, Vistas al jardín, Cocina, WiFi gratis, Barbacoa, Zona de cocina, Guardaequipaje, Plancha para ropa, TV de pantalla plana, Inglés, Parking gratis, Español, Calefacción, Fogones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551304759.jpg?k=8fcf598f7008ca233d14567aa22503d74289ecf7be07df326e2e04d449803d7a&o=&hp=1,Pomasqui,Ecuador
Hostal San Juan de Calderon,https://www.booking.com/hotel/ec/hostal-san-juan-de-calderon.es.html?aid=2410095,"Hostal San Juan de Calderon se encuentra en Hacienda Bellavista, a 13 km de Estadio Rodrigo Paz Delgado, y ofrece alojamiento con terraza, parking privado gratis y bar. El hostal o pensión tiene wifi gratis y está a unos 19 km de Centro comercial Quicentro y a 19 km de Estadio Olímpico Atahualpa. Hay vistas a la ciudad.

En el hostal o pensión, cada habitación tiene armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Parque La Carolina está a 20 km del alojamiento, y Centro comercial Iñaquito está a 21 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 29 km del alojamiento.","Armario, Papel higiénico, Artículos de aseo gratis, Vistas, Bar, WiFi gratis, TV de pantalla plana, Ropa de cama, Parking gratis, Tetera / cafetera, WC, Ducha, Español, Baño privado, Terraza, Vistas a la ciudad, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/571640188.jpg?k=7896644b1ae2a4c54e2900d5abb430c89ecceb23230227368110cf334b069071&o=&hp=1,Pomasqui,Ecuador
