hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel La Herreria Colonial,https://www.booking.com/hotel/co/la-herreria.es.html?aid=2410095,"El hotel ocupa una encantadora mansión de estilo colonial situada en la zona comercial y cultural. Ofrece habitaciones elegantes con conexión Wi-Fi gratuita.

El Hotel La Herrería Colonial goza de una excelente ubicación para visitar lugares de interés como la Torre del Reloj y el puente Humilladero, ambos a 200 metros.

Las habitaciones están decoradas en tonos cálidos con elementos de madera clara o mimbre. TV de pantalla plana por cable y baño privado con ducha.

Todos los días se sirve un desayuno americano con frutas tropicales y el famoso café colombiano en el restaurante o en el balcón, decorado con una parrilla de hierro forjado de estilo español.

La posada cuenta con recepción 24 horas y mostrador de información turística y está a solo 2 km del aeropuerto Guillermo León Valencia y de la terminal de transporte.

El hotel no tiene servicio de estacionamiento, pero el cliente puede tomar esta opción a media cuadra del hotel y pagar el valor de $7.000 por noche, su vehículo permanece seguro en el interior.

El hotel no acepta mascotas.","Secador de pelo, Terraza, Alarma de seguridad, Teléfono, Habitaciones sin humo, Suelo de madera o parquet, Baño privado, Extintores, Servicio de limpieza en seco, Parking en un garaje, Ropa de cama, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Mobiliario exterior, Utensilios de planchado, Tostadora, Zona de comedor exterior, Insonorización, Zona de comedor, Restaurante, Cafetería en el alojamiento, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Vistas a un patio interior, Zona de estar, Escritorio, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Lavadora, Habitaciones familiares, Plancha para pantalones, Servicio de despertador / alarma, Sombrillas, Parking privado, Papel higiénico, Fax / fotocopiadora, Almuerzos para llevar, Caja fuerte, TV, Armario, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Productos de limpieza, Buffet para niños, Secadora de ropa, Servicio de planchado, Guardaequipaje, WC, Microondas, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Nevera, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Recepción 24 horas, Inglés, Perchero, Información turística, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Ducha, Plancha para ropa, Taquillas, Servicio de despertador, Servicio de lavandería, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569080221.jpg?k=d78720e6e8de7151a53d037ce2e947f1d8872270fa2eb9463094df28b3f016af&o=&hp=1,Popayán,Colombia
Hotel Villa Blanca,https://www.booking.com/hotel/co/villa-blanca.es.html?aid=2410095,"Hotel Villa Blanca se encuentra en Popayán. El alojamiento ofrece recepción 24 horas, servicio de traslado, salón de uso común y wifi gratis.

En el hotel, cada habitación incluye escritorio, TV de pantalla plana y baño privado.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 1 km.","Prohibido fumar en todo el alojamiento, Teléfono, Recepción 24 horas, Baño privado, TV, Perchero, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Entrada privada, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Escritorio, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/92682302.jpg?k=7ef5ecd709d7be7c4a8ff122a65d12f9a36528d3988ca9c15f3e8d3f2819204d&o=&hp=1,Popayán,Colombia
Hotel La Plazuela,https://www.booking.com/hotel/co/la-plazuela.es.html?aid=2410095,"El Hotel La Plazuela ofrece una pizzería artesanal con masa fermentada 100% fermentada casera, salsa de tomate fresca de la región, con 18 años de tradición y reconocida localmente; pizzas, lasañas, pastas largas, sopas y bebidas refrescantes; también ofrece conexión inalámbrica a internet gratuita y un desayuno americano en Popayán. La plaza Caldas está a 100 metros. La recepción está abierta las 24 horas.

Las habitaciones de esta casa del siglo XVIII ofrecen un ambiente tranquilo y disponen de baño privado con ducha. Hay servicio de habitaciones.

El Hotel La Plazuela está a 2 km del centro comercial Campanario y del aeropuerto Guillermo León Valencia.","Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Ventilador, Baño privado, Jardín, Extintores, WC con barras de apoyo, TV, Armario, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Patio, Menús para dietas especiales (bajo petición), Acceso a pisos superiores solo mediante escaleras, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Mobiliario exterior, Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Tarjeta de acceso, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Escritorio, Guardaequipaje, Servicio de despertador, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Insonorización, Bar, Restaurante, TV de pantalla plana, Canales vía satélite, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Toda la unidad en la planta baja, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/122526968.jpg?k=3e3b6780fae9be54ca0d6e4b5d1aa9e9c516346e0f71faba4db31322e9f83260&o=&hp=1,Popayán,Colombia
Hotel Encanto,https://www.booking.com/hotel/co/encanto-popayan.es.html?aid=2410095,"Hotel Encanto dispone de alojamiento en Popayán. Este hotel de 4 estrellas tiene wifi gratis, restaurante y bar. El hotel tiene habitaciones familiares.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Algunas habitaciones también ofrecen cocina con nevera y fogones. En el hotel, las habitaciones están equipadas con ropa de cama y toallas.

Hotel Encanto ofrece desayuno a la carta o americano.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 1 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Secador de pelo, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Inglés, Traslado aeropuerto, Vino / champán, Italiano, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, WC, Servicio de streaming (como Netflix), Bar, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575510884.jpg?k=7c5f68fe33816578dc758cf1673405f25f7300b1aee11fbee183b72eb21b2432&o=&hp=1,Popayán,Colombia
San Eduardo Popayan,https://www.booking.com/hotel/co/san-eduardo-popayan-popayan.es.html?aid=2410095,"San Eduardo Popayan está en Popayán. Esta habitación en casa particular ofrece alojamiento con wifi gratis.

La habitación en casa particular dispone de TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 7 km.","Prohibido fumar en todo el alojamiento, Baño privado, TV de pantalla plana, Toallas, Ropa de cama, Español, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584821739.jpg?k=c1db95142876b4b8d5ad7c8d74dcaac95681d3813ad9424710d46dbb38d1c81f&o=&hp=1,Popayán,Colombia
Hotel Lili Popayán - Sede 2,https://www.booking.com/hotel/co/lili-sede-2.es.html?aid=2410095,"Hotel Lili Popayán - Sede 2 está en Popayán. El hotel también dispone de wifi gratis y parking privado gratis.

En el hotel, cada habitación dispone de armario. En Hotel Lili Popayán - Sede 2, cada habitación cuenta con baño privado y ducha, y algunas también ofrecen balcón. En el alojamiento, todas las habitaciones cuentan con TV de pantalla plana con canales por cable.

El personal de recepción puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 2 km.","Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Baño privado, Armario, Parking gratis, WiFi gratis, Ducha, Servicio de habitaciones, Canales por cable, Servicio de lavandería, Salas de reuniones / banquetes, WC, Servicio de streaming (como Netflix), TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426855273.jpg?k=62cd19dcc533deea01d30ad1841b56f63d3526ed234f7b950dd0a88ca02cef1e&o=&hp=1,Popayán,Colombia
Hotel Lili - Popayán,https://www.booking.com/hotel/co/lili-popayan.es.html?aid=2410095,"Hotel Lili - Popayán ofrece alojamiento en Popayán. Este alojamiento ofrece cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, las habitaciones disponen de baño privado y ducha, y algunas también ofrecen balcón.

El personal de la recepción 24 horas puede echar una mano y dar consejos sobre la zona.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 2 km.","Alarma de seguridad, Habitaciones sin humo, Recepción 24 horas, Baño privado, Extintores, TV, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Proporciona factura, Servicio de planchado, Servicio de despertador, Servicio de lavandería, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/315086147.jpg?k=48871d58cae9cef872eade9590eeb8f0bb4d73bfb3ac076f0a197318e82fbbf2&o=&hp=1,Popayán,Colombia
Alojamiento Colonial Popayán,https://www.booking.com/hotel/co/alojamiento-colonial-popayan.es.html?aid=2410095,"Alojamiento Colonial Popayán está en Popayán. Esta habitación en casa particular ofrece alojamiento con wifi gratis.

La habitación en casa particular dispone de TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 2 km.","Armario, Prohibido fumar en todo el alojamiento, Baño privado, TV de pantalla plana, Toallas, Ropa de cama, Español, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581459800.jpg?k=00c8ec30e44f36e83875fb03ea1750428c359536bf21991891621be37274ebdc&o=&hp=1,Popayán,Colombia
Lienzo Hostel and Mural Art Museum,https://www.booking.com/hotel/co/araracuara-hostel.es.html?aid=2410095,"Lienzo Hostel and Mural Art Museum está en Popayán y ofrece wifi gratis. El alojamiento dispone de cocina compartida, salón de uso común y servicio de organización de tours.

En el hostal o pensión, las habitaciones tienen patio. En Lienzo Hostel and Mural Art Museum, las habitaciones cuentan con baño compartido y ropa de cama.

En el alojamiento se sirve cada mañana un desayuno vegetariano.

En la recepción 24 horas se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 2 km.","Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Caja fuerte, Cafetería en el alojamiento, Habitaciones sin humo, Senderismo, Noches de cine, Recepción 24 horas, Cenas temáticas, Libros, DVD o música para niños, Servicio de limpieza diario, Baño compartido, Extintores, Clases de cocina, Cocina, Inglés, Armario, Perchero, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Muy buen desayuno, Patio, Ropa de cama, Galerías de arte temporales, Seguridad 24 horas, WiFi gratis, Cocina compartida, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Proporciona factura, Música / espectáculos en directo, Plancha para ropa, Tours a pie, Taquillas, Solo para adultos, Llave de acceso, Equitación, Eventos deportivos en directo (emisión), Servicio de despertador, Guardaequipaje, Tostadora, Servicio de lavandería, Microondas, Toda la unidad en la planta baja, Zona de comedor, Toallas, Lavadora, Español, Nevera, Papel higiénico, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524920836.jpg?k=ab2b1f17ff28c945c1284fba5c72ff24b1cc6a67b758a95c4b1d2531e576ec51&o=&hp=1,Popayán,Colombia
CASA LOMA HOTEL BOUTIQUE & TERRAZA GASTRO,https://www.booking.com/hotel/co/casa-loma-boutique-amp-terraza-gastro.es.html?aid=2410095,"CASA LOMA HOTEL BOUTIQUE & TERRAZA GASTRO tiene jardín, terraza, restaurante y bar en Popayán. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. El hotel dispone de habitaciones familiares.

En el hotel, las habitaciones están equipadas con armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También incluyen wifi gratis, y algunas habitaciones incluyen vistas a la ciudad. En CASA LOMA HOTEL BOUTIQUE & TERRAZA GASTRO, las habitaciones tienen TV de pantalla plana con canales por cable.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 2 km.","Desayuno, Terraza, Spa y centro de bienestar, Sombrillas, Alarma de seguridad, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, TV, Armario, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Canales por cable, Aseo adicional, Llave de acceso, Servicio de planchado, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419806079.jpg?k=10d48b5937a73b7ff43d6dd9ec58f89499631dd381fad0617ceaba2fb1ee3d01&o=&hp=1,Popayán,Colombia
