hotel,hotel_url,description,popular_facilities,highres_url,city,country
Comfort Hotel Presidente Prudente,https://www.booking.com/hotel/br/comfort-presidente-prudente.es.html?aid=2410095,"Comfort Hotel Presidente Prudente está en Presidente Prudente, en la región de Estado de São Paulo, a 3,5 km de Estadio Prudentão. Este hotel de 4 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, cada habitación cuenta con ropa de cama y toallas.

En Comfort Hotel Presidente Prudente se sirve todas las mañanas un desayuno buffet.

El aeropuerto más cercano (Aeropuerto Presidente Prudente) está a 9 km.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Extintores, Detector de monóxido de carbono, Restaurante, Ropa de cama, WiFi gratis, Enchufe cerca de la cama, Teléfono, Muy buen desayuno, TV, Minibar, Ducha, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de habitaciones, Parking gratis, Baño privado, Caja fuerte para ordenador portátil, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563030546.jpg?k=95188a05bcae25acea3bffc0a30622e7a9ee4f4d594315ab452c88aeb90b9c95&o=&hp=1,Presidente Prudente,Brasil
EKO HOTEL,https://www.booking.com/hotel/br/eko.es.html?aid=2410095,"EKO HOTEL se encuentra en Presidente Prudente, en la región de Estado de São Paulo, a 6 km de Estadio Prudentão. El hotel ofrece terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas de las habitaciones también tienen zona de cocina con nevera y microondas. Todas las unidades de este alojamiento incluyen aire acondicionado y armario.

En EKO HOTEL se puede disfrutar de un desayuno buffet.

El aeropuerto más cercano (Aeropuerto Presidente Prudente) está a 7 km del alojamiento.","Acceso a pisos superiores en ascensor, Terraza, Tarjeta de acceso, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Bañera o ducha, Salas de reuniones / banquetes, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, WC con barras de apoyo, Baño privado, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/362463609.jpg?k=e894f96ba6a2dc4e0c16f6253615904093bd1cfde0ce52858f311ce24f8dba27&o=&hp=1,Presidente Prudente,Brasil
ibis Styles Presidente Prudente Portal D'Oeste,https://www.booking.com/hotel/br/portal-doeste.es.html?aid=2410095,"ibis Styles Presidente Prudente Portal D'Oeste offers adult and children swimming pools, steam and dry saunas, a business centre and gym, only 500 metres from Presidente Prudente Centre. WiFi and private parking are free.

The daily breakfast buffet offers a variety of fresh fruits, breads and cold meats.

All rooms at ibis Styles are air-conditioned and feature a flat-screen TV with cable channels and warm lighting. They also contain a minibar and private bathroom with a hot shower.

 ibis Styles Presidente Prudente Portal D'Oeste offers a games room, fitness centre, playground and meeting facilities. It is 100 metres from Presidente Prudente Bus Station and 700 metres from the local airport. Cidade da Criança Water Park is 6.5 km away.","Tumbonas/sillas de playa, Inglés, Tarjeta de acceso, Abierta todo el año, Extintores, Escritorio, Menús para dietas especiales (bajo petición), Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Juguetes para la piscina, Baño de vapor, Registro de entrada / salida privado, Teléfono, Alarma de seguridad, TV, Prohibido fumar en todo el alojamiento, Minibar, Caja fuerte, Sauna, Guardaequipaje, Cochecitos de bebé, Ducha, Servicio de planchado, Salas de reuniones / banquetes, Bar en la piscina, Armario, Toallas, Gimnasio, Buen desayuno, Billar, Servicio de aparcacoches, Servicio de limpieza diario, Para todas las edades, Adecuada para niños, Bañera de hidromasaje / jacuzzi, Jardín, Canales por cable, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Piscina infantil, Zona de juegos interior, Recepción 24 horas, Detectores de humo, Ascensor, Toallas de playa/piscina, WC, Aire acondicionado, 2 piscinas, Habitaciones familiares, Club infantil, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581257524.jpg?k=7deca905c79000e3bcd90e1720a0565850e9333cd13fa1c38dcf3589788460f6&o=&hp=1,Presidente Prudente,Brasil
Godoy Palace Hotel Ltda Me,https://www.booking.com/hotel/br/godoy-palace.es.html?aid=2410095,"El Godoy Palace Hotel está situado a 4 km del centro de Presidente Prudente y ofrece alojamientos con conexión Wi-Fi gratuita, aparcamiento privado, recepción las 24 horas, servicio de habitaciones e instalaciones para personas de movilidad reducida.

Las habitaciones del Godoy Palace son para no fumadores y cuentan con aire acondicionado, escritorio, TV de pantalla plana con canales por cable, conexión Wi-Fi gratuita y baño con ducha de agua caliente.

Todos los días se sirve un desayuno buffet en la sala de desayunos que incluye fruta fresca, pan, embutido y bebidas frías y calientes.

El hotel está a solo 2 km de la Universidad de Oeste Paulista, a 6 km del centro de convenciones Parque de Exposições y a 8 km del aeropuerto Presidente Prudente.","Acceso a pisos superiores en ascensor, Parking gratis, Portugués, Ducha, Salas de reuniones / banquetes, TV de pantalla plana, Servicio de despertador, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Muy buen desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Canales por cable, Habitaciones sin humo, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/121470496.jpg?k=727ec7fae7d569126240c374808da1cf2cb8e01ab3a1d1a0e04bdd57920b6a41&o=&hp=1,Presidente Prudente,Brasil
ibis Presidente Prudente Manoel Goulart,https://www.booking.com/hotel/br/ibis-presidente-prudente.es.html?aid=2410095,"Ibis Presidente Prudente Manoel Goulart está en Presidente Prudente, a 3,7 km de Estadio Prudentão, y dispone de alojamiento con restaurante, parking privado gratis y bar. Este hotel de 3 estrellas ofrece recepción 24 horas, mostrador de información turística y wifi gratis. Hay vistas a la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En ibis Presidente Prudente Manoel Goulart, las habitaciones disponen de ropa de cama y toallas.

El alojamiento ofrece desayuno buffet o continental.

El aeropuerto (Aeropuerto Presidente Prudente) está a 8 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, TV de pantalla plana, Extintores, Llave de acceso, Insonorización, Restaurante, Ropa de cama, Productos de limpieza, Zona de comedor, Escritorio, Información turística, Zona de fumadores, Reloj despertador, Perchero, Utensilios de planchado, Adaptado personas de movilidad reducida, Toda la unidad accesible en silla de ruedas, WiFi gratis, Enchufe cerca de la cama, Happy hour, Registro de entrada y salida exprés, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Alarma de seguridad, Entrada privada, Parking adaptado para personas de movilidad reducida, Suelo de madera o parquet, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Español, Centro de negocios, Apoyo visual: braille, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Ducha, Vistas a un patio interior, Servicio de despertador / alarma, Armario, Toallas, Servicio de limpieza diario, Trona, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582434147.jpg?k=404020ef32d84f2bffc294c57f711bc1c4d9e72e345b585f41c484219fa8e06e&o=&hp=1,Presidente Prudente,Brasil
Avenida Hotel,https://www.booking.com/hotel/br/avenida-presidente-prudente.es.html?aid=2410095,"Avenida Hotel se encuentra en Presidente Prudente, a 6 km de Estadio Prudentão, y ofrece alojamiento con wifi gratis y parking privado gratis. El alojamiento dispone de recepción 24 horas y guardaequipaje.

En el hotel, todas las habitaciones cuentan con armario y TV. En Avenida Hotel, cada habitación tiene ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Presidente Prudente) está a 7 km del alojamiento.","Caja fuerte, Parking gratis, Guardaequipaje, Portugués, Prohibido fumar en todo el alojamiento, Ventilador, Armario, Toallas, Buen desayuno, Ropa de cama, Recepción 24 horas, Cámaras de seguridad en las zonas comunitarias, TV, WiFi gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/91262568.jpg?k=9785191c98d7e109afef4031bb98641b258ef4c5d7e698243de1d22956183665&o=&hp=1,Presidente Prudente,Brasil
JR Hotel,https://www.booking.com/hotel/br/jr-presidente-pudente.es.html?aid=2410095,"El JR está situado a solo 6 km del aeropuerto de Presidente Prudente y cuenta con gimnasio, sala de TV y bar de estilo americano. Ofrece un desayuno bufé diario, habitaciones con aire acondicionado y conexión Wi-Fi gratuita.

Todas las habitaciones incluyen TV LCD, minibar, caja fuerte, baño y secador de pelo. Las suites también tienen una zona de estar y algunas de ellas disponen de bañera de hidromasaje y zona de comedor.

El JR Hotel se encuentra a 2 km de la estación de autobuses y el centro de la ciudad de Presidente Prudente y a 1,7 km del centro comercial Parque Prudente. El parque acuático Cidade da Criança está a 4,7 km del hotel y el club SESC Thermas, a 4,5 km. Se ofrece servicio gratuito de aparcacoches.","Bar, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Escritorio, Ping pong, Cama plegable, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Piscina al aire libre, Teléfono, Fax / fotocopiadora, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Calefacción, Caja fuerte, Suelo de moqueta, Ducha, Salas de reuniones / banquetes, Servicio de aparcacoches, Gimnasio, Artículos de aseo gratis, Billar, Sala de juegos, Parking gratis, Baño privado, Secador de pelo, Horario de apertura, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Club infantil, Habitaciones familiares, Portugués, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/472852555.jpg?k=b41eb021e7d7c626fb490b269812d209bcaa52fece5518701d51f08ef67b9593&o=&hp=1,Presidente Prudente,Brasil
Aruá Hotel,https://www.booking.com/hotel/br/arua-presidente-prudente.es.html?aid=2410095,"Aruá Hotel se encuentra en Presidente Prudente, a 5,2 km de Estadio Prudentão, y ofrece alojamiento con centro de fitness, parking privado gratis, restaurante y bar. Este hotel de 3 estrellas tiene wifi gratis, club infantil y servicio de habitaciones. El hotel dispone de sauna y recepción 24 horas.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Aruá Hotel, todas las habitaciones tienen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o americano.

El alojamiento ofrece terraza solárium.

El aeropuerto más cercano (Aeropuerto Presidente Prudente) está a 7 km.","Acceso a pisos superiores en ascensor, Inglés, Bar, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Menús para dietas especiales (bajo petición), Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Baño de vapor, Piscina al aire libre, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Terraza / solárium, Caja fuerte, Sauna, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Suelo de baldosa / mármol, Almuerzos para llevar, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Nevera, Parking gratis, Baño privado, Vino / champán, Secador de pelo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ascensor, Toallas de playa/piscina, WC, Aire acondicionado, Club infantil, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/138315409.jpg?k=d982aa2f2c88754243109aca2470c4d78c4ee54f327eac9f8be32791e6ef7374&o=&hp=1,Presidente Prudente,Brasil
Hotel Chantilly,https://www.booking.com/hotel/br/chantilly.es.html?aid=2410095,"El Hotel Chantilly ofrece alojamiento sencillo y práctico en el centro de Presidente Prudente, a solo 500 metros de la estación de autobuses. Dispone de aparcamiento privado gratuito, conexión Wi-Fi gratuita y recepción abierta las 24 horas del día.

Las habitaciones del Hotel Chantilly están equipadas con ventilador, TV y minibar. También cuentan con un baño privado con ducha de agua caliente.

Todas las mañanas en la sala de desayunos se sirve un desayuno buffet que incluye una variedad de frutas frescas, panes y embutidos, así como una selección de bebidas frías y calientes.","TV de pantalla plana, Ropa de cama, Escritorio, Perchero, WiFi gratis, Enchufe cerca de la cama, Estación de carga de vehículos eléctricos, Ventilador, Teléfono, TV, Prohibido fumar en todo el alojamiento, Minibar, Armario, Toallas, Buen desayuno, Parking gratis, Toallas / sábanas (por un suplemento), Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/34388166.jpg?k=347b4edb9a29d32c4e32722e5744b0b5ed06148fa5ad7e607f63afb19f613080&o=&hp=1,Presidente Prudente,Brasil
Hotel Rota do Pantanal,https://www.booking.com/hotel/br/rota-do-pantanal.es.html?aid=2410095,"El Hotel Rota do Pantanal está situado a sólo 10 minutos en coche del centro de Presidente Prudente, dispone de recepción abierta las 24 horas y ofrece un desayuno bufé, conexión Wi-Fi gratuita y habitaciones con aire acondicionado.

Las habitaciones del Rota do Pantanal Hotel están equipadas con ventilador, TV y minibar. Son de estilo sencillo, presentan una decoración cálida e incluyen ropa de cama y toallas de baño. Todas ellas cuentan con baño privado.

El Museo Municipal de Presidente Prudente se halla a 4,2 km del hotel, mientras que el centro comercial Prudente se encuentra a sólo 10 minutos en coche. La terminal de autobuses más cercana se encuentra a 4,5 km.","Acceso a pisos superiores en ascensor, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Insonorización, Escritorio, Utensilios de planchado, Perchero, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Happy hour, Hipoalergénico, Camas extralargas (más de 2 metros), Ventilador, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Centro de negocios, Caja fuerte, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Servicio de planchado, Ducha, Vistas a un patio interior, Bidet, Salas de reuniones / banquetes, Armario, Vistas, Toallas, Artículos de aseo gratis, Canales de pago, Servicio de limpieza diario, Servicio de despertador / alarma, Suelo de baldosa / mármol, Acceso al salón executive, Canales por cable, Desayuno en la habitación, Mosquitera, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Caja fuerte para ordenador portátil, Portugués, Adaptado para sillas de ruedas, Toallas / sábanas (por un suplemento), Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/53743953.jpg?k=803bea92bec014d5b7179dc4dd4123e02e12652044556a1ce65e416ee5d5fdc3&o=&hp=1,Presidente Prudente,Brasil
