hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Los Algarrobos,https://www.booking.com/hotel/ec/hostal-los-algarrobos.es.html?aid=2410095,"El Hotel Los Algarrobos se encuentra en Puerto Baquerizo Moreno, a solo 100 metros de la playa Mann. Ofrece un desayuno diario gratuito y WiFi gratuita.

Las habitaciones disponen de TV, armario, aire acondicionado, suelo de baldosa y baño privado con ducha y aseo.

El Hotel Los Algarrobos alberga una recepción abierta las 24 horas, jardines tropicales, una sala de juegos con mesa de billar y una terraza compartida con vistas a la localidad. También hay una pequeña zona de aperitivos disponible las 24 horas donde se sirve café, té, agua, chocolate y agua de sabores.

El Hotel Los Algarrobos se encuentra a menos de 5 minutos a pie de varios restaurantes y tiendas y a solo 1,5 km del aeropuerto de San Cristóbal.","Playa, Entretenimiento nocturno, Protector de enchufes para niños, Prohibido fumar en todo el alojamiento, Canales vía satélite, Muy buen desayuno, Menús para dietas especiales (bajo petición), Tours en bici, Llave de acceso, Servicio de limpieza diario, Buffet para niños, Salas de reuniones / banquetes, Happy hour, Terraza, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Karaoke, Toallas / sábanas (por un suplemento), Pesca, Menú para niños, Alarma de seguridad, Baños públicos, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Juegos de mesa / puzles, Centro de negocios, Zona de fumadores, Almuerzos para llevar, Tours a pie, Bañera, Snorkel, Baño privado, Aire acondicionado, Español, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Zona TV / salón de uso compartido, Ruta de bares, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Ducha, Senderismo, Ciclismo, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561902734.jpg?k=93ae3cd5e3da355550d71c40bd93a2e2c83f61876d36c456ef67b14f5b33d77c&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Casa de Nelly,https://www.booking.com/hotel/ec/casa-de-nelly.es.html?aid=2410095,"Casa de Nelly se encuentra en Puerto Baquerizo Moreno, a 2 min a pie de Playa Oro, y ofrece alojamiento frente a la playa con terraza, entre otros. Este hotel de 4 estrellas ofrece jardín y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece cocina compartida, servicio de traslado gratuito y servicio de organización de tours.

En el hotel, cada habitación está equipada con armario y TV de pantalla plana, y algunas también ofrecen balcón.

El desayuno está disponible todos los días e incluye opciones continentales, americanas o vegetarianas.

Casa de Nelly ofrece zona de juegos infantil.

En recepción se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

Playa Mann está a 4 min a pie del alojamiento, y Playa de Puerto Baquerizo Moreno está a 600 metros. El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 2 km del alojamiento.","Playa, Billar, Menús para dietas especiales (bajo petición), Tours en bici, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Pesca, Alarma de seguridad, Situado frente a la playa, Servicio de traslado, Proporciona factura, Lavamanos más bajo, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Secador de pelo, Cafetería en el alojamiento, Información turística, Zona de fumadores, Fax / fotocopiadora, Tours a pie, Snorkel, Baño privado, Aire acondicionado, WC con barras de apoyo, Español, Habitaciones sin humo, Enchufe cerca de la cama, Habitaciones familiares, Extintores, Zona de juegos para niños, Recepción 24 horas, Hipoalergénico, TV de pantalla plana, Buen desayuno, Adaptado para sillas de ruedas, Ducha, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/497029445.jpg?k=46550023f6e53103c54c554925f2f73de6b56744ed6253ebe17f4ddcb2c6983b&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Hostal Andry,https://www.booking.com/hotel/ec/hostal-andry.es.html?aid=2410095,"El Hostal Andry se encuentra en San Cristóbal. Ofrece conexión WiFi gratuita. En el establecimiento y en los alrededores se pueden practicar diversas actividades, como ir en bicicleta.

Todas las habitaciones tienen vistas a la ciudad, TV por cable, aire acondicionado, terraza y baño privado con ducha, bañera y artículos de aseo gratuitos.

El Hostal Andry dispone de terraza, servicio de enlace con el aeropuerto, salón de uso común, mostrador de información turística y consigna de equipaje.

El albergue se encuentra en el centro de Puerto Baquerizo Moreno, a 1 calle del malecón y a 5 minutos a pie de la playa.","Entretenimiento nocturno, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Canales vía satélite, Utensilios de planchado, Plancha para pantalones, Desayuno, Plancha para ropa, Aseo adicional, Tours en bici, Servicio de limpieza diario, Llave de acceso, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Tour o clase sobre cultura local, Armario, Papel higiénico, Seguridad 24 horas, Mobiliario exterior, Servicio de conserjería, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Toallas / sábanas (por un suplemento), Pesca, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Toallas, Información turística, Artículos de aseo gratis, Secador de pelo, Wifi buena gratis (26 Mbps), Centro de negocios, Productos de limpieza, Discoteca / DJ, Fax / fotocopiadora, Tours a pie, Bañera, Snorkel, Baño privado, Aire acondicionado, Español, Vistas a la ciudad, Habitaciones sin humo, Vistas, Vestidor, Enchufe cerca de la cama, Extintores, Insonorización, Ruta de bares, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Entrada privada, Ducha, Senderismo, Teléfono, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/159088440.jpg?k=022e5c0751082161874d6ac4a6934c4fced04ac6fa6129d5725d3ba0fb6b3b87&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Hostal Gosén,https://www.booking.com/hotel/ec/gosen-guest-house.es.html?aid=2410095,"El Hostal Gosén se encuentra en la isla de San Cristóbal, a 5 minutos a pie de la playa de surf de Punta Carola. Hay conexión WiFi gratuita en todas las instalaciones.

Las habitaciones disponen de baño privado con ducha. También incluyen aire acondicionado.

El Hostal Gosén cuenta con recepción 24 horas, jardín y terraza. También hay un salón compartido.

El establecimiento se encuentra a 1 km de la zona de restaurantes y a 1,5 km del aeropuerto de San Cristóbal.","Sala de juegos, Muy buen desayuno, Tours en bici, Terraza, Caja fuerte, Seguridad 24 horas, Habitaciones hipoalergénicas, Papel higiénico, Mobiliario exterior, Alquiler de bicicletas, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Baños públicos, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Snack-bar, Vino / champán, Jardín, Cafetería en el alojamiento, Toallas, Información turística, Juegos de mesa / puzles, Español, Baño privado, Aire acondicionado, Zona TV / salón de uso compartido, Extintores, Zona de pícnic, Recepción 24 horas, TV de pantalla plana, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/190177234.jpg?k=e4339dca9f00e974795de255427289a7a027f708c9d07a8d88583c036862a378&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Hotel Casa Blanca,https://www.booking.com/hotel/ec/casa-blanca-puerto-baquerizo.es.html?aid=2410095,"Hotel Casa Blanca está en Puerto Baquerizo Moreno y tiene terraza, restaurante, bar y wifi gratis en todo el alojamiento. El alojamiento está cerca de Playa de Puerto Baquerizo Moreno, de Playa Oro y de Playa Mann. El alojamiento dispone de servicio de habitaciones, mostrador de información turística y guardaequipaje.

Las unidades de este alojamiento están equipadas con hervidor. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también incluyen balcón. En el hotel, las habitaciones incluyen ropa de cama y toallas.

El aeropuerto (Aeropuerto de San Cristóbal) está a 1 km.","Minibar, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Sombrillas, Aseo adicional, Llave de acceso, Servicio de limpieza diario, Perchero, Happy hour, Terraza, Caja fuerte, Seguridad 24 horas, Papel higiénico, Bar, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Tetera/cafetera en todas las habitaciones, Hervidor eléctrico, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Secador de pelo, Cafetería en el alojamiento, Información turística, Zona de fumadores, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Extintores, Restaurante, Tendedero, Guardaequipaje, TV de pantalla plana, Ropa de cama, Tetera / cafetera, Ducha, Desayuno fabuloso, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/114089037.jpg?k=b88d672c6601eeca468af21577504a5f0a2fcc4263953da48387070723e2b41f&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Hotel Pimampiro,https://www.booking.com/hotel/ec/pimampiro.es.html?aid=2410095,"Hotel Pimampiro, que tiene piscina al aire libre, jardín, restaurante y wifi gratis, está en Puerto Baquerizo Moreno, a 6 min a pie de Playa de Puerto Baquerizo Moreno y a 1,1 km de Playa Oro. Este alojamiento se encuentra muy cerca de lugares de interés como Playa Mann. Algunas unidades del alojamiento tienen un balcón con vistas al mar.

En el hotel, todas las habitaciones cuentan con patio. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En Hotel Pimampiro, las habitaciones cuentan con aire acondicionado y caja fuerte.

En el alojamiento se sirve cada mañana un desayuno continental.

El personal habla tanto inglés como español y estará encantado de dar consejos sobre la zona en recepción.

El aeropuerto (Aeropuerto de San Cristóbal) está a 1 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Plancha para ropa, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Bañera o ducha, Caja fuerte, Papel higiénico, Servicio de lavandería, Mobiliario exterior, WiFi gratis, Inglés, Para todas las edades, Tetera/cafetera en todas las habitaciones, Nevera, WC, Proporciona factura, Toallas, Información turística, Jardín, Artículos de aseo gratis, Secador de pelo, Juegos de mesa / puzles, Productos de limpieza, Abierta todo el año, Español, Baño privado, Patio, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Restaurante, Enchufe cerca de la cama, Recepción 24 horas, Entrada privada, Tetera / cafetera, Desayuno excepcional, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462515314.jpg?k=a44b64e9a0deab2360e410182905ba26c789400a28412df9ad8fa5055f684d28&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Casa Rentera D'Elias,https://www.booking.com/hotel/ec/casa-rentera-d-elias-puerto-baquerizo-moreno.es.html?aid=2410095,"Casa Rentera D'Elias está en Puerto Baquerizo Moreno, a 7 min a pie de Playa Oro, y dispone de alojamiento con terraza, wifi gratis, cocina compartida y recepción 24 horas. Este alojamiento ofrece mesa de billar.

La habitación en casa particular dispone de TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

Playa de Puerto Baquerizo Moreno está a 8 min a pie del alojamiento, y Playa Mann está a 900 metros. El aeropuerto (Aeropuerto de San Cristóbal) está a 2 km.","Prohibido fumar en todo el alojamiento, Plancha para pantalones, Billar, Zona de comedor, Terraza, Armario, Papel higiénico, Cocina compartida, Utensilios de cocina, Mobiliario exterior, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, WC, Proporciona factura, Terraza / solárium, Toallas, Información turística, Artículos de aseo gratis, Secador de pelo, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Vistas, Extintores, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Ping pong",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568250613.jpg?k=b2072b96be2cba8eac716faef3c4c156ed1cf89b8d1189dc5a47d364e57abafa&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Hotel Islas Galapagos,https://www.booking.com/hotel/ec/islas-galapagos-puerto-baquerizo-moreno1.es.html?aid=2410095,"Hotel Islas Galapagos se encuentra en Puerto Baquerizo Moreno, a 5 min a pie de Playa de Puerto Baquerizo Moreno, y ofrece mostrador de información turística, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y salón de uso común. El alojamiento, construido en 1984, está a 11 min a pie de Playa Oro y a 1,4 km de Playa Mann. Algunas unidades del alojamiento disponen de un patio con vistas al jardín.

El baño privado está equipado con ducha, artículos de aseo gratuitos y secador de pelo. Todas las unidades de este alojamiento incluyen aire acondicionado y armario.

El aeropuerto (Aeropuerto de San Cristóbal) está a 1 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Servicio de despertador, Armario, Papel higiénico, Mobiliario exterior, WiFi gratis, WC, Servicio de traslado, Proporciona factura, Toallas, Información turística, Jardín, Artículos de aseo gratis, Secador de pelo, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Guardaequipaje, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/509079116.jpg?k=d5d44deb51b7ac1cdc455f4f587dd780f54625ebb98c5b25d712f05a694a17dc&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Dolphin House,https://www.booking.com/hotel/ec/dolphin-house.es.html?aid=2410095,"El Dolphin House se encuentra en San Cristóbal y ofrece habitaciones cómodas, algunas de ellas con vistas al mar. El establecimiento cuenta con jardín y terraza amplia. Además, hay WiFi gratuita en las zonas comunes.

Todas las habitaciones del Dolphin House incluyen TV, aire acondicionado y baño privado con ducha. Algunas habitaciones están equipadas con zona de estar.

La recepción está abierta las 24 horas. El establecimiento se halla a menos de 5 minutos a pie de numerosas tiendas y sitios para comer.","Prohibido fumar en todo el alojamiento, Parking gratis, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Zona de estar, Armario, Papel higiénico, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), WC, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Muebles de exterior, Snorkel, Baño privado, Aire acondicionado, Español, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/101649421.jpg?k=2f498dad1f7e5b5ad20b00cffc0751207984a72f62ab253a54e86efabcd3de28&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
Casa D'Lucas,https://www.booking.com/hotel/ec/casa-d-lucas.es.html?aid=2410095,"Casa D'Lucas está en Puerto Baquerizo Moreno, en la región de Isla de San Cristóbal, cerca de Playa de Puerto Baquerizo Moreno y Playa Oro. Ofrece alojamiento con wifi gratis y parking privado gratis.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos.

En el apartamento se puede usar la terraza.

Playa Mann está a 19 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 1 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Traslado aeropuerto, Terraza, Bañera o ducha, Papel higiénico, Cocina compartida, Utensilios de cocina, Mobiliario exterior, WiFi gratis, Nevera, WC, Servicio de traslado, Terraza / solárium, Toallas, Artículos de aseo gratis, Independiente, Español, Baño privado, Aire acondicionado, Fogones, Balcón, Habitaciones sin humo, Vistas, Cocina, TV de pantalla plana, Ropa de cama, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/460236687.jpg?k=c0a41da7003fafae911c3a2b80490b48a06cc50188d0c30cc1c2a67d0fd4b3a6&o=&hp=1,Puerto Baquerizo Moreno,Ecuador
