hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Rudy's Beach,https://www.booking.com/hotel/hn/hostal-rudy-39-s-beach.es.html?aid=2410095,"Hostal Rudy's Beach está frente a la playa en Puerto Cortés y dispone de bar y zona de playa privada. Este alojamiento ofrece restaurante, cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El hostal o pensión ofrece vistas al jardín y terraza solárium.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también están equipadas con patio. En el hostal o pensión, cada habitación incluye ropa de cama y toallas.

Hostal Rudy's Beach ofrece barbacoa. La clientela puede practicar actividades en Puerto Cortés y alrededores, como pesca y ciclismo.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 72 km del alojamiento.","Papel higiénico, Ropa de cama, Vistas al jardín, Inglés, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aseo adicional, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Aire acondicionado, Adaptado para sillas de ruedas, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Playa, Vistas, Pediluvio, Cámaras de seguridad en las zonas comunitarias, Toallas, Bañera o ducha, Cocina compartida, Barbacoa, Bar, Entrada privada, Baños públicos, Zona de fumadores, Restaurante, Enchufe cerca de la cama, Almuerzos para llevar, Artículos de aseo gratis, Ducha, Parking adaptado para personas de movilidad reducida, Zona de comedor, Situado frente a la playa, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Zona privada de playa, Mesa de comedor, Servicio de entrega de comestibles, Zona de pícnic, Parking en la calle, Servicio de limpieza diario, Extintores, Adaptado personas de movilidad reducida, Servicio de habitaciones, WiFi gratis, Ciclismo, Habitaciones hipoalergénicas, Toallas / sábanas (por un suplemento), Terraza / solárium, Tumbonas/sillas de playa, TV, Habitaciones familiares, Pesca, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/317598781.jpg?k=0ac684518377a9a9beaa2f5ee32fd192838a340ea43cdc6c543a2ead9df49e3f&o=&hp=1,Puerto Cortés,Honduras
Apartamentos y Hostal RUDON #1,https://www.booking.com/hotel/hn/apartamentos-y-hostal-rudon.es.html?aid=2410095,"Apartamentos y Hostal RUDON #1 está en Puerto Cortés y ofrece alojamiento con wifi gratis y parking privado gratis.

Algunos alojamientos incluyen patio, zona de estar con TV de pantalla plana y aire acondicionado.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 71 km.","Cambio de moneda, Prohibido fumar en todo el alojamiento, Fax / fotocopiadora, Baño privado, Barbacoa, Aire acondicionado, Parking gratis, Habitaciones sin humo, Servicio de lavandería, Inglés, Parking en un garaje, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248397456.jpg?k=cd85546799608b3b82cbcfef02079de725c37e7a8567003d0927d2f41f216006&o=&hp=1,Puerto Cortés,Honduras
MiCasa Stays,https://www.booking.com/hotel/hn/casa-habitacion-cortes.es.html?aid=2410095,"El MiCasa Stays se encuentra en Puerto Cortés y ofrece alojamiento con patio y WiFi gratuita. El alojamiento tiene vistas a la montaña y está a 50 km de San Pedro Sula.

El alojamiento está equipado con TV de pantalla plana por cable.

También hay un jardín.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Alarma de seguridad, Baño privado, Inglés, Aire acondicionado, Suelo de moqueta, Parking gratis, Habitaciones sin humo, Detectores de humo, Patio, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Toallas, Bañera o ducha, WC, Servicio de traslado, Centro de negocios, Zona de fumadores, Enchufe cerca de la cama, Servicio de lavandería, Ducha, Artículos de aseo gratis, Servicio de planchado, Zona de comedor, Jardín, Vestidor, Mobiliario exterior, Escritorio, Cambio de moneda, Prohibido fumar en todo el alojamiento, Mesa de comedor, Servicio de limpieza diario, Extintores, Camas extralargas (más de 2 metros), Parking en un garaje, WiFi gratis, Ventilador, Perchero, Zona de estar, Armario, TV, Servicio de streaming (como Netflix), Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/374042999.jpg?k=83039a24b99112d814996f08d6f223ee579ee035bb5c213b495020c72a02d0d9&o=&hp=1,Puerto Cortés,Honduras
Apartamentos y Hostal RUDON #4,https://www.booking.com/hotel/hn/apartamentos-y-hostal-rudon-4.es.html?aid=2410095,"Apartamentos y Hostal RUDON #4 está en Puerto Cortés. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 71 km.","Cocina, Prohibido fumar en todo el alojamiento, Aire acondicionado, Parking gratis, Inglés, TV de pantalla plana, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576639756.jpg?k=e831dcd5c478dbfd85c2c69d79729f1891be85fb4c11b4491125136a8d3d5a5b&o=&hp=1,Puerto Cortés,Honduras
Plasencia Estate,https://www.booking.com/hotel/hn/plasencia-estate.es.html?aid=2410095,"Plasencia Estate, que cuenta con piscina al aire libre, jardín y salón de uso común, ofrece alojamiento en Omoa con wifi gratis y vistas a la ciudad. Esta casa o chalet dispone de parking privado gratis y cocina compartida.

Esta casa o chalet con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 4 baños con ducha y bañera de hidromasaje. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet, la clientela puede disfrutar de bañera de hidromasaje. Hay terraza y barbacoa en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 73 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baños termales, Baño privado, Registro de entrada / salida privado, Salas de reuniones / banquetes, Canales por cable, Cama plegable, Playa, Bar, Hipoalergénico, Zona de fumadores, Nevera, Vistas a la piscina, Escritorio, Mobiliario exterior, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Tendedero, Submarinismo, Terraza / solárium, TV, Proporciona factura, Ropa de cama, Papel higiénico, Vistas al jardín, Habitaciones sin humo, Teléfono, Vistas, Cocina compartida, WC, Servicio de traslado, Vistas a la ciudad, Senderismo, Servicio de conserjería, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Suelo de madera o parquet, Zona TV / salón de uso compartido, Toallas de playa/piscina, Zona de pícnic, Servicio de limpieza diario, Información turística, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Balcón, Radio, Piscina infantil, Vistas a la montaña, Aire acondicionado, Aseo adicional, Parking gratis, Valla alrededor de la piscina, Traslado aeropuerto, Piscina con vistas, Patio, Seguridad 24 horas, Piscina en la azotea, Zona de cocina, Horario de apertura, Pediluvio, Entretenimiento nocturno, Baños públicos, Guardaequipaje, Servicio de lavandería, Terraza, Alquiler de bicicletas, Zona de comedor, Jardín, Cafetera, Baño al aire libre, Zona privada de playa, Mesa de comedor, Servicio de entrega de comestibles, Horno, Piscina pequeña, Microondas, Alquiler de coches, Registro de entrada y salida exprés, Extintores, Discoteca / DJ, Karaoke, Cocina, Fogones, Productos de limpieza, Zona de estar, Habitaciones familiares, Español, Inglés, Zona de comedor exterior, TV de pantalla plana, Sofá cama, Francés, Toallas, Plancha para ropa, Hervidor eléctrico, Bañera o ducha, Barbacoa, Entrada privada, Pesca, Abierta todo el año, Servicio de planchado, Vistas al mar, Lavadora, Cambio de moneda, Vestidor, Vistas a un lugar de interés, Independiente, Bañera de hidromasaje, Para todas las edades, Bañera de hidromasaje / jacuzzi, Ventilador, Armario, Bar en la piscina, Servicio de streaming (como Netflix), Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/306682428.jpg?k=2d6ae4d59288e4fe1d9e87b7ee21a2f469741db5c77a7ff309d4d06144219928&o=&hp=1,Puerto Cortés,Honduras
The Country House,https://www.booking.com/hotel/hn/the-country-house.es.html?aid=2410095,"The Country House, que está en Omoa, tiene aire acondicionado y ofrece alojamiento con balcón. Esta casa o chalet tiene piscina privada, jardín, zona de barbacoa, wifi gratis y parking privado gratis.

Esta casa o chalet se encuentra en la planta baja y tiene 5 dormitorios, cocina bien equipada con nevera y horno, una sala de estar y TV de pantalla plana. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet ofrece bañera de hidromasaje. The Country House tiene zona de playa privada y piscina al aire libre.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 74 km.","Ropa de cama, Papel higiénico, Vistas al jardín, Aire acondicionado, Parking gratis, Zona de comedor exterior, Juegos de mesa / puzles, Patio, Secador de pelo, TV de pantalla plana, Toda la unidad en la planta baja, Playa, Español, Vistas, Detector de monóxido de carbono, Toallas, Plancha para ropa, Bañera o ducha, WC, Barbacoa, Nevera, Bañera, Abierta todo el año, Ducha, Jardín, Piscina de agua salada, Zona privada de playa, Mesa de comedor, Horno, Bañera de hidromasaje, Microondas, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, Bañera de hidromasaje / jacuzzi, Juguetes para la piscina, Fogones, Tumbonas/sillas de playa, Tetera / cafetera, TV, Habitaciones familiares, Inglés, Balcón, Piscina privada, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506077400.jpg?k=b6a5e25ee0cfb73dd87887eac8d45b19b1b45510495823c4fa62d6fe60326320&o=&hp=1,Puerto Cortés,Honduras
Hotel Viña del Mar Omoa,https://www.booking.com/hotel/hn/vina-del-mar-omoa.es.html?aid=2410095,"Hotel Viña del Mar Omoa tiene piscina al aire libre, salón de uso común, restaurante y bar en Omoa. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos. En el hotel, las habitaciones están equipadas con ropa de cama y toallas.

En Hotel Viña del Mar Omoa se sirve todas las mañanas un desayuno buffet.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 81 km.","Piscina infantil, Papel higiénico, Ropa de cama, Baño privado, Adecuada para niños, Vino / champán, 2 piscinas, Registro de entrada / salida privado, Cámaras de seguridad fuera del alojamiento, Parking gratis, Salas de reuniones / banquetes, Aire acondicionado, Traslado aeropuerto, Juegos de mesa / puzles, Habitaciones sin humo, Sombrillas, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Playa, Toda la unidad en la planta baja, Horario de apertura, Checo, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Bañera o ducha, WC, Servicio de traslado, Bar, Baños públicos, Guardaequipaje, Zona de fumadores, Restaurante, Buen desayuno, Habitaciones insonorizadas, Enchufe cerca de la cama, Servicio de lavandería, Almuerzos para llevar, Ducha, Artículos de aseo gratis, Tours a pie, Abierta todo el año, Situado frente a la playa, Mobiliario exterior, Happy hour, Zona TV / salón de uso compartido, Zona privada de playa, Zona de pícnic, Zona poco profunda, Boles para mascotas, Extintores, Para todas las edades, Servicio de habitaciones, WiFi gratis, Karaoke, Tumbonas/sillas de playa, TV, Habitaciones familiares, Inglés, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/265525373.jpg?k=976f5b4b56dcffc9f089446d65981273aaa8cde4f130831469c9e7d0cdbc884a&o=&hp=1,Puerto Cortés,Honduras
"Hermosa Cabaña en playa privada!Omoa, Cortès",https://www.booking.com/hotel/hn/hermosa-cabana-en-playa-privada-omoa-cortes.es.html?aid=2410095,"Hermosa Cabaña en playa privada!Omoa, Cortès se encuentra en Omoa y ofrece alojamiento con wifi gratis y parking privado gratis.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 81 km del alojamiento.","Prohibido fumar en todo el alojamiento, Baño privado, Aire acondicionado, Parking gratis, Piscina, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564733518.jpg?k=4bc73f230269e28d9befede801a20d77462693ab4b31d514ae02d6b847f11228&o=&hp=1,Puerto Cortés,Honduras
Soymon,https://www.booking.com/hotel/hn/soymon.es.html?aid=2410095,"Soymon se encuentra en Omoa y ofrece terraza. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. La cocina está equipada con minibar.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 80 km del alojamiento.","Cocina, TV de pantalla plana, Minibar, Vistas al jardín, Zona de cocina, Aire acondicionado, Vistas, Parking gratis, Inglés, Terraza, Balcón, Piscina, Piscina privada, Español, WiFi gratis, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563161933.jpg?k=3d12a2dbf1a0dd6b0b53793c4e14a9e2a45943ed6a5faa1233483232d3cb89e6&o=&hp=1,Puerto Cortés,Honduras
Hermoso condominio frente al mar con vistas espectaculares,https://www.booking.com/hotel/hn/hermoso-condominio-frente-al-mar-con-vistas-espectaculares.es.html?aid=2410095,"Hermoso condominio frente al mar con vistas espectaculares está en Omoa y ofrece terraza. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 4 dormitorios, TV de pantalla plana y cocina con nevera y horno. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto de Puerto Barrios) está a 80 km.","Ropa de cama, Papel higiénico, Aire acondicionado, Parking gratis, TV de pantalla plana, Vistas, Toallas, Barbacoa, Nevera, Terraza, Lavadora, Prohibido fumar en todo el alojamiento, Horno, Microondas, WiFi gratis, Cocina, Fogones, Tetera / cafetera, Inglés, Piscina, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581374763.jpg?k=66c7dabc7153b6fe5d221ca27938ff91ae49c4f29cfdd729b3ca21118e76205a&o=&hp=1,Puerto Cortés,Honduras
