hotel,hotel_url,description,popular_facilities,highres_url,city,country
Tuzco Lodge,https://www.booking.com/hotel/ec/hostal-tuzco.es.html?aid=2410095,"Tuzco Lodge está en Puerto López, a 7 min a pie de Playa de Puerto López, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este albergue de 3 estrellas ofrece terraza y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece cocina compartida y servicio de organización de tours.

En el albergue, todas las habitaciones incluyen escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En Tuzco Lodge, las habitaciones cuentan con ropa de cama y toallas.

La clientela puede practicar actividades en Puerto López y alrededores, como ciclismo.

El aeropuerto (Aeropuerto internacional Eloy Alfaro) está a 93 km.","Parking en un garaje, Fruta, Tobogán de agua, Zona de comedor, Parking gratis, Sombrillas, Tours en bici, Llave de acceso, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Boles para mascotas, Caja fuerte, Tour o clase sobre cultura local, Papel higiénico, Cocina compartida, Servicio de lavandería, WiFi gratis, TV, Inglés, Para todas las edades, Toallas / sábanas (por un suplemento), Pesca, WC, Canales por cable, Baño de vapor, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Información turística, Jardín, Toallas de playa/piscina, Tumbonas/sillas de playa, Piscina infantil, Productos de limpieza, Tours a pie, Adaptado personas de movilidad reducida, Abierta todo el año, Snorkel, Baño privado, Aire acondicionado, Español, Equipamiento de juegos para exterior, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Ruta de bares, Suelo de baldosa / mármol, Cesta para mascotas, Escritorio, Ropa de cama, TV de pantalla plana, Ducha, Parking adaptado para personas de movilidad reducida, Senderismo, Desayuno fabuloso, Ciclismo, Habitaciones familiares, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/256231615.jpg?k=36ee3294be3214e02f0383ec0131c447b47cc3387b76b2f9c833a33e09d78bb4&o=&hp=1,Puerto López,Ecuador
New Nautilus Lodge,https://www.booking.com/hotel/ec/nautilus-lodge.es.html?aid=2410095,"New Nautilus Lodge se encuentra en Puerto López, a 2 min a pie de Playa de Puerto López, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este hotel de 3 estrellas ofrece bar. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación incluye armario. En New Nautilus Lodge, todas las habitaciones están equipadas con aire acondicionado, caja fuerte y TV de pantalla plana, y algunas también ofrecen balcón. Todas las unidades cuentan con nevera.

En el alojamiento se sirve todos los días un desayuno continental.

La clientela puede practicar actividades en Puerto López y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 92 km del alojamiento.","Fruta, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Utensilios de planchado, Masajes, Parking gratis, Llave de acceso, Traslado aeropuerto, Perchero, Terraza, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Piscina infinita, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Inglés, Para todas las edades, Tetera/cafetera en todas las habitaciones, Nevera, Hervidor eléctrico, Equitación, Pesca, WC, Servicio de traslado, Proporciona factura, Baños públicos, Cámaras de seguridad en las zonas comunitarias, Piscina privada, Servicio de habitaciones, Tumbonas/sillas de playa, Terraza / solárium, Toallas, Vino / champán, Jardín, Registro de entrada / salida privado, Información turística, Zona de fumadores, Juegos de mesa / puzles, Toallas de playa/piscina, Sofá, Piscina infantil, Bar en la piscina, Productos de limpieza, Tours a pie, Abierta todo el año, Desayuno fantástico, Snorkel, Aire acondicionado, Español, Piscina de agua salada, Piscina al aire libre, Habitaciones sin humo, Extintores, Recepción 24 horas, Francés, TV de pantalla plana, Tetera / cafetera, Ducha, Desayuno en la habitación, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/382685964.jpg?k=7943115a3eaa6ccf84916b199f37be9d2e6afa1ef91b4561179791f0d23e26ef&o=&hp=1,Puerto López,Ecuador
Hotel La Costa International,https://www.booking.com/hotel/ec/camping-la-costa.es.html?aid=2410095,"Hotel La Costa International se encuentra en Puerto López, a 9 min a pie de Playa del Salango, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y salón de uso común. Este hotel de 3 estrellas ofrece terraza y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de cocina compartida, servicio de habitaciones y guardaequipaje.

En el hotel, cada habitación tiene un balcón con vistas a la montaña. Las habitaciones incluyen escritorio.

Hotel La Costa International ofrece zona de juegos infantil. En este hotel hay alquiler de bicicletas y alquiler de coches, y la zona es ideal para practicar ciclismo.

El personal de la recepción 24 horas habla inglés yespañol, y puede ayudar a la clientela a planificar su estancia.

El aeropuerto (Aeropuerto internacional Eloy Alfaro) está a 100 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Masajes, Parking gratis, Aseo adicional, Tours en bici, Perchero, Terraza, Bañera o ducha, Toda la unidad en la planta baja, Mobiliario exterior, WiFi gratis, Para todas las edades, Baños públicos, Pesca, Proporciona factura, Terraza / solárium, Estación de carga de vehículos eléctricos, Registro de entrada / salida privado, Jardín, Zona de fumadores, Vistas a la montaña, Snorkel, Español, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Extintores, Habitaciones familiares, Submarinismo, Fruta, Mesa de comedor, Desayuno, Baño al aire libre, Traslado aeropuerto, Chimenea exterior, Vistas a un patio interior, WC, Vino / champán, Artículos de aseo gratis, Piscina infantil, Toda la unidad accesible en silla de ruedas, Chimenea, Habitaciones sin humo, Vistas, Insonorización, Guardaequipaje, Entrada privada, Ventilador, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Zona de comedor, Zona de estar, Papel higiénico, Cocina compartida, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Tours a pie, Abierta todo el año, Baño privado, Patio, Aire acondicionado, Balcón, Piscina al aire libre, Escritorio, Ducha, Camas extralargas (más de 2 metros), Ciclismo, Playa, Boles para mascotas, Seguridad 24 horas, Vistas a la piscina, Inglés, Toallas / sábanas (por un suplemento), Equitación, Albornoz, Alquiler de coches, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Restaurante, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Tendedero, Suelo de baldosa / mármol, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/401994020.jpg?k=2f3d5214cd8a91c1e21b977458e9b854729ae6e9218921df59cab52611930809&o=&hp=1,Puerto López,Ecuador
Hotel-Restaurante Ancora,https://www.booking.com/hotel/ec/ancora.es.html?aid=2410095,"Hotel-Restaurante Ancora se encuentra en Puerto López, a pocos pasos de Playa de Puerto López, y ofrece alojamiento con centro de fitness, parking privado gratis, jardín y salón de uso común. Este alojamiento, que cuenta con servicio de habitaciones, también cuenta con restaurante y piscina al aire libre. El hotel también dispone de wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

El hotel ofrece terraza.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 92 km del alojamiento.","Playa, Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Barbacoa, Eventos deportivos en directo (emisión), Plancha para pantalones, Servicio de planchado, Desayuno, Clases de yoga, Masaje de manos, Parking gratis, Baño al aire libre, Sombrillas, Masajes, Tours en bici, Llave de acceso, Traslado aeropuerto, Chimenea exterior, Servicio de limpieza diario, Salas de reuniones / banquetes, Happy hour, Terraza, Zona de fumadores, Paquetes de spa / bienestar, Habitaciones insonorizadas, Servicio de lavandería, Masaje de cabeza, Zona de spa / relajación, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Masaje de pies, Baños públicos, Pesca, Masaje corporal completo, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Vino / champán, Snack-bar, Jardín, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Juegos de mesa / puzles, Centro de negocios, Solo para adultos, Masaje de espalda, Silla de masajes, Catalán, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Snorkel, Aire acondicionado, Español, Piscina al aire libre, Música / espectáculos en directo, Restaurante, Extintores, Zona TV / salón de uso compartido, Habitaciones sin humo, Guardaequipaje, Masaje en pareja, Adaptado para sillas de ruedas, Masaje de cuello, Senderismo, Adaptado personas de movilidad reducida, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/440052978.jpg?k=1b4aac2d8e0bf4edd0b0d8ff4bacf617647ff0448bd01e27d441732904cfa5b8&o=&hp=1,Puerto López,Ecuador
Hospedaje Dannita B&B,https://www.booking.com/hotel/ec/hostel-dannita.es.html?aid=2410095,"El Hostel Dannita se encuentra en Puerto López, a solo 6 minutos a pie del océano, y alberga un restaurante de pizzas y comida rápida. Gratis Hay conexión Wi-Fi.

Casi todas las habitaciones del Hospedaje Dannita tienen baño privado o compartido con ducha y artículos de aseo gratuitos. Hay ventilador.

La recepción está abierta hasta las 22:00 y ofrece información turística. Hay una sala de TV compartida.

Las playas de Los Frailes y Tortuga se encuentran a 16 minutos en coche. El aeropuerto más cercano es el aeropuerto internacional Eloy Alfaro de Manta, ubicado a 106 km.

En casa tenemos 2 perros, nuestro hospedaje es rústico y muy básico Por eso nuestros costos son económicos, nuestro objetivo son principalmente mochileros.
No tenemos cocina, ni refrigerador, ni garaje, el uso del aire acondicionado en el dormitorio es solo para grupos en caso de ventilador de una o dos personas.

El desayuno está incluido y se sirve pan básico, huevo y café de 08:00 a 09:00.","Papel higiénico, Restaurante, Servicio de lavandería, Extintores, Proporciona factura, Español, Suelo de baldosa / mármol, WiFi gratis, Desayuno, Entrada privada, Mosquitera, WC, Ducha, Clases de cocina, Baño privado, Ventilador, Información turística",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106374867.jpg?k=b95629fabc71625e1ef09779eb51b0d06f270e7579de09dbd1f2310dde4b31ff&o=&hp=1,Puerto López,Ecuador
Hostal Alcazaba,https://www.booking.com/hotel/ec/alcazaba.es.html?aid=2410095,"El Alcazaba, que cuenta con un restaurante a la carta, jardín y terraza, se encuentra a 800 metros de la playa de Puerto López y a 12 km de la playa de Los Frailes.

Las habitaciones cuentan con baño privado con ducha y toallas. Los extras incluyen ropa de cama y ventilador.

El Alcazaba ofrece recepción abierta las 24 horas y mostrador de información turística. Además, a 1 km hay un mercado y a menos de 900 metros se pueden encontrar varios restaurantes.

También se organizan actividades como buceo y avistamiento de ballenas en temporada.

El establecimiento está a 3 horas en coche del aeropuerto internacional José Joaquín Olmedo.","Playa, Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Barbacoa, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Aseo adicional, Tours en bici, Servicio de limpieza diario, Llave de acceso, Terraza, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Cocina compartida, Servicio de lavandería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Pesca, Vistas a un lugar de interés, WC, Servicio de traslado, Proporciona factura, Lavamanos más bajo, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Vistas a la montaña, Productos de limpieza, Tours a pie, Adaptado personas de movilidad reducida, Snorkel, WC con barras de apoyo, Patio, Español, Vistas a la ciudad, Habitaciones sin humo, Vistas, Restaurante, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Entrada privada, Adaptado para sillas de ruedas, Ducha, Ventilador, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/400832745.jpg?k=3f8a3b3a8f3c27aa482719eac0f11e09a98efdfef3c9be6e6151f2ba26d71fce&o=&hp=1,Puerto López,Ecuador
Nativa Whale Domes,https://www.booking.com/hotel/ec/nativawhale-camping-domes.es.html?aid=2410095,"Nativa Whale Domes se encuentra en Puerto López, cerca de Playa de Puerto López, y ofrece alojamiento con wifi gratis y parking privado gratis.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 92 km del alojamiento.","Playa, WiFi gratis, Baño compartido, Parking gratis, Español, Aire acondicionado, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/229838155.jpg?k=0d8a575e2504126f73c0fa6c772b95c85aad66546be954025761460b030896d1&o=&hp=1,Puerto López,Ecuador
Monte Líbano Suites,https://www.booking.com/hotel/ec/monte-libano-suites.es.html?aid=2410095,"Monte Líbano Suites es un alojamiento con wifi gratis y vistas al jardín que está en Puerto López. El alojamiento, que se encuentra a 4 min a pie de Playa de Puerto López, ofrece jardín y parking privado gratis.

Este apartamento con aire acondicionado se compone de 1 dormitorio independiente, una sala de estar, una cocina totalmente equipada con nevera y microondas, y 1 baño. Hay toallas y ropa de cama en el apartamento.

El apartamento ofrece servicio de alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 93 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Mesa de comedor, Vistas al jardín, Zona de cocina, Zona de comedor, Parking gratis, Traslado aeropuerto, Perchero, Bañera o ducha, Zona de estar, Armario, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Alquiler de bicicletas, WiFi gratis, TV, Nevera, Pesca, WC, Proporciona factura, Toallas, Información turística, Jardín, Microondas, Independiente, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Cocina, Suelo de baldosa / mármol, TV de pantalla plana, Ropa de cama, Entrada privada, Ducha, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/174825400.jpg?k=d07fd30d53e3125dba4ac4d60a5e2d303eeeef71c74560f97fd56eba852f6c77&o=&hp=1,Puerto López,Ecuador
hostal Monte Libano,https://www.booking.com/hotel/ec/hostal-monte-libano.es.html?aid=2410095,"Hostal Monte Libano se encuentra a pocos pasos de Playa de Puerto López y ofrece alojamiento conterraza, restaurante y cocina compartida. Se ofrece wifi gratis.

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 93 km.","Playa, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Terraza, Bañera o ducha, Papel higiénico, Cocina compartida, Servicio de lavandería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Equitación, Pesca, Situado frente a la playa, WC, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Información turística, Cafetería en el alojamiento, Almuerzos para llevar, Clases de cocina, Baño privado, Snorkel, Español, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Ropa de cama, Desayuno excepcional, Ducha, Senderismo, Habitaciones familiares, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/123398337.jpg?k=b3de118b6eabc4a9cc6fb3f27a422363f4551c96e92bad5887061352b7e0dc1f&o=&hp=1,Puerto López,Ecuador
Bed and Breakfast Puerto López,https://www.booking.com/hotel/ec/bed-and-breakfast-puerto-lopez.es.html?aid=2410095,"Bed and Breakfast Puerto López está en Puerto López, cerca de Playa de Puerto López, y ofrece alojamiento con wifi gratis y parking privado gratis.

Algunas unidades tienen balcón y/o patio con vistas al jardín.

En el bed and breakfast se puede disfrutar de un desayuno continental.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto (Aeropuerto internacional Eloy Alfaro) está a 89 km.","Playa, Prohibido fumar en todo el alojamiento, Desayuno, Billar, Parking gratis, Tours en bici, Llave de acceso, Servicio de limpieza diario, Seguridad 24 horas, Alquiler de bicicletas, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Baños públicos, Alarma de seguridad, Situado frente a la playa, Lavamanos más bajo, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Información turística, Registro de entrada / salida privado, Jardín, Tours a pie, Adaptado personas de movilidad reducida, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Extintores, Recepción 24 horas, Guardaequipaje, Adaptado para sillas de ruedas, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/556570960.jpg?k=19dc5332afddc6a301f25ec259f77c6fe3da29b37ae3dfbf89d603d26b8c4e95&o=&hp=1,Puerto López,Ecuador
