hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hostal Bernardita,US$29,"8,5",Muy bien,200,https://cf.bstatic.com/xdata/images/hotel/max1024x768/423418054.webp?k=99ce1d50bc4baaa81d7f8832a0099fb04365ed842de13ab4b85ab8aee2efdf5d&o=,https://www.booking.com/hotel/cl/hostal-bernardita-puerto-natales.es.html?aid=2410095,"Registro de entrada / salida privado, Máquina expendedora (bebidas), Máquina expendedora (aperitivos), Calefacción, TV de pantalla plana, Español, Zona TV / salón de uso compartido, Parking gratis, Perchero, Mobiliario exterior, Servicio de streaming (como Netflix), TV, Parking adaptado para personas de movilidad reducida, Plancha para pantalones, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Artículos de aseo gratis, Zona de fumadores, Enchufe cerca de la cama, Cafetería en el alojamiento, Tours a pie, Cafetera, Servicio de limpieza diario, Servicio de entrega de comestibles, Habitaciones sin humo, Zona de estar, Bañera o ducha, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Proporciona factura, Productos de limpieza, Ducha, Buen desayuno, WC, Guardaequipaje, Senderismo, Prohibido fumar en todo el alojamiento, Secador de pelo, Servicio de conserjería, Servicio de planchado, Información turística, Seguridad 24 horas, Alarma de seguridad, Zona de comedor, Bar, Servicio de limpieza en seco, Bañera, Habitaciones familiares, Parking en la calle, Toallas, Wifi buena gratis (29 Mbps), Extintores, Armario, Snack-bar, Detectores de humo, Servicio de lavandería, Papel higiénico, Aseo adicional, Ropa de cama, Almuerzos para llevar",Puerto Natales,Chile,"Hostal Bernardita está en Puerto Natales, a menos de 1 km de Estación de autobús de Puerto Natales, y dispone de servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis en todo el alojamiento y bar. El alojamiento está a unos menos de 1 km de Museo Historico Municipal, a 8 min a pie de Plaza de Armas de Puerto Natales y a 700 metros de Parroquia María Auxiliadora de Puerto Natales. El cafetería es ideal para tomar algo.

Las unidades de este alojamiento están equipadas con cafetera. En el hostal o pensión, cada habitación cuenta con ropa de cama y toallas.

Hostal Bernardita ofrece desayuno buffet o americano.

Cueva del Milodón está a 29 km del alojamiento. El aeropuerto más cercano (Aeropuerto Teniente Julio Gallardo) está a 7 km."
Hostal B&B Coastal Natales,US$35,"9,2",Fantástico,330,https://cf.bstatic.com/xdata/images/hotel/max1024x768/402951896.webp?k=91e581cda9875719f706fa952ebc282b43452c6e6f45e574a9a3e3025fba8863&o=,https://www.booking.com/hotel/cl/hostal-b-amp-b-coastal-natales.es.html?aid=2410095,"Registro de entrada / salida privado, Calefacción, Español, Traslado aeropuerto, Desayuno, Artículos de aseo gratis, Nevera, Tetera/cafetera en todas las habitaciones, Habitaciones sin humo, Proporciona factura, Ducha, Prohibido fumar en todo el alojamiento, Secador de pelo, Información turística, Microondas, Zona de comedor, Servicio de traslado, Utensilios de cocina, Habitaciones familiares, WiFi gratis, Toallas, Toallas / sábanas (por un suplemento), Armario, Mesa de comedor, Recepción 24 horas, Tetera / cafetera, Papel higiénico, Ropa de cama, Tostadora",Puerto Natales,Chile,"Hostal B&B Coastal Natales se encuentra en Puerto Natales, a 1,8 km de Estación de autobús de Puerto Natales y a 7 min a pie de Museo Historico Municipal. El alojamiento está a unos 12 min a pie de Plaza de Armas de Puerto Natales, a menos de 1 km de Parroquia María Auxiliadora de Puerto Natales y a 29 km de Cueva del Milodón. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis en todo el alojamiento.

En el hostal o pensión, las habitaciones están equipadas con armario. En Hostal B&B Coastal Natales, todas las habitaciones disponen de ropa de cama y toallas.

En el alojamiento se sirve todas las mañanas un desayuno continental.

El aeropuerto más cercano (Aeropuerto Teniente Julio Gallardo) está a 7 km."
Hotel Costaustralis,US$150,"8,4",Muy bien,1.010,https://cf.bstatic.com/xdata/images/hotel/max1024x768/55515463.webp?k=790acf9bb35134154adccc1f9852b81012e1d1562ef2b5a38f8d745ca9521bd7&o=,https://www.booking.com/hotel/cl/costa-australis.es.html?aid=2410095,Error al acceder a la página del hotel.,Puerto Natales,Chile,"El establecimiento es la mejor opción para visitar Torres del Paine y todos los lugares de interés de la Patagonia.
Disfrute de la mejor experiencia en la Patagonia chilena con un excelente servicio, amplias y confortables habitaciones y un servicio de salón con las mejores vistas al mar y a las montañas de la Patagonia. El Hotel Costaustralis de Puerto Natales es la opción ideal para conocer los numerosos lugares de interés de la Patagonia y el parque nacional Torres del Paine.

El establecimiento se encuentra en el corazón de Puerto Natales, muy cerca de todos los servicios gastronómicos, culturales y de entretenimiento que ofrece nuestra encantadora ciudad."
Hostal Reymar,US$79,"8,6",Fabuloso,498,https://cf.bstatic.com/xdata/images/hotel/max1024x768/300298316.webp?k=447b22874ffa3eb6a93f7f5a6ce0b0f730ecddb49637c5e420192603f78dc21a&o=,https://www.booking.com/hotel/cl/reymar.es.html?aid=2410095,"Registro de entrada / salida privado, Calefacción, Español, Cámaras de seguridad fuera del alojamiento, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Desayuno fabuloso, Cámaras de seguridad en las zonas comunitarias, Fax / fotocopiadora, Proporciona factura, WC, Guardaequipaje, Llave de acceso, Ducha, Prohibido fumar en todo el alojamiento, Inglés, Baño privado, Información turística, Servicio de traslado, WiFi gratis, Extintores, Recepción 24 horas",Puerto Natales,Chile,"El ReyMar, situado en el centro de Puerto Natales, a 5 calles del mar y a 3 calles de la plaza principal, ofrece habitaciones acogedoras con paneles de madera y baño privado. Se proporciona TV por cable, así como WiFi gratuita.

Las habitaciones del Hostal ReyMar también cuentan con moqueta, cortinas de encaje, ropa de cama de colores vivos, calefacción y teléfono.

Todos los días se sirve un desayuno buffet con varios tipos de panes y tartas. La recepción está abierta las 24 horas.

El Hostal ReyMar está en el centro de la ciudad, cerca de tiendas, bares y restaurantes. Hay un mostrador de información turística en el establecimiento. El aeropuerto de Puerto Natales está a escasos 7 km."
El Patagónico Hostel,US$29,"9,4",Fantástico,820,https://cf.bstatic.com/xdata/images/hotel/max1024x768/225071046.webp?k=d23d6326d8a76ec097710135a9107c4587a9b42affd9aa1fb055ec3a5e1ab4f9&o=,https://www.booking.com/hotel/cl/el-patagonico-hostel.es.html?aid=2410095,"Registro de entrada / salida privado, Jardín, Calefacción, Español, Zona TV / salón de uso compartido, Perchero, Barbacoa, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Tours a pie, Cocina compartida, Habitaciones sin humo, Cámaras de seguridad en las zonas comunitarias, Juegos de mesa / puzles, Ducha, Buen desayuno, Guardaequipaje, WC, Senderismo, Prohibido fumar en todo el alojamiento, Inglés, Información turística, Taquillas, Alarma de seguridad, Servicio de traslado, WiFi gratis, Extintores, Papel higiénico, Ropa de cama",Puerto Natales,Chile,"El Patagónico Hostel está en Puerto Natales, a menos de 1 km de Estación de autobús de Puerto Natales, y dispone de mostrador de información turística, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y salón de uso común. Este alojamiento, que tiene cocina compartida, también ofrece barbacoa. Se ofrece servicio de traslado.

Todas las habitaciones tienen ropa de cama.

Cerca del alojamiento hay puntos de interés como Museo Historico Municipal, Plaza de Armas de Puerto Natales y Parroquia María Auxiliadora de Puerto Natales. El aeropuerto (Aeropuerto Teniente Julio Gallardo) está a 7 km."
Corner Hostel Puerto Natales,US$19,"8,6",Fabuloso,653,https://cf.bstatic.com/xdata/images/hotel/max1024x768/229125419.webp?k=700cac9fab031177ce5487da34573e7fed6982c18233d9e1a4943ea5c70f2582&o=,https://www.booking.com/hotel/cl/corner-hostel-puerto-natales.es.html?aid=2410095,"Jardín, Calefacción, Español, Zona TV / salón de uso compartido, Parking gratis, Mobiliario exterior, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Tours en bici, Terraza, Tours a pie, Cocina compartida, Habitaciones sin humo, Cámaras de seguridad en las zonas comunitarias, Fax / fotocopiadora, Juegos de mesa / puzles, Ciclismo, Proporciona factura, Ducha, WC, Guardaequipaje, Llave de acceso, Tour o clase sobre cultura local, Senderismo, Prohibido fumar en todo el alojamiento, Inglés, Información turística, WiFi gratis, Parking en la calle, Extintores, Detectores de humo, Terraza / solárium, Papel higiénico",Puerto Natales,Chile,"Corner Hostel Puerto Natales se encuentra en Puerto Natales y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento está cerca de Estación de autobús de Puerto Natales, de Museo Historico Municipal y de Plaza de Armas de Puerto Natales. El alojamiento ofrece cocina compartida, mostrador de información turística y guardaequipaje.

Algunas de las habitaciones también tienen cocina con nevera y microondas.

La zona es ideal para practicar ciclismo, y en el albergue hay alquiler de bicicletas.

Parroquia María Auxiliadora de Puerto Natales está a menos de 1 km del alojamiento, y Cueva del Milodón está a 30 km. El aeropuerto más cercano (Aeropuerto Teniente Julio Gallardo) está a 8 km del alojamiento."
Camping Güino,US$10,"9,4",Fantástico,96,https://cf.bstatic.com/xdata/images/hotel/max1024x768/328189202.webp?k=156441dba7a6709fc216e12111a51f74acb0f844e3e5ef8b425cf761629722e6&o=,https://www.booking.com/hotel/cl/camping-guino.es.html?aid=2410095,"Jardín, Cocina, Calefacción, Español, Wifi rápida gratis (239 Mbps), Parking gratis, Zona TV / salón de uso compartido, Barbacoa, Patio, Noches de cine, Horno, Zona de fumadores, Terraza, Suelo de baldosa / mármol, Nevera, Aseo compartido, Cocina compartida, Vistas a la montaña, Vistas a la ciudad, Cafetera, Libros, DVD o música para niños, Zona de estar, Bañera o ducha, Juegos de mesa / puzles, Vistas a un lugar de interés, Ducha, WC, Guardaequipaje, Inglés, Vistas al lago, Información turística, Vistas, Seguridad 24 horas, Zona de comedor, Utensilios de cocina, Vistas al jardín, Vistas al mar, Extintores, Sofá, Baño compartido, Mesa de comedor, Tetera / cafetera, Zona de comedor exterior, Papel higiénico, Zona de cocina, Ordenador portátil, Tostadora",Puerto Natales,Chile,"El Camping Güino está situado en Puerto Natales, a 500 metros de la estación de autobuses de Puerto Natales y a 1,1 km de la plaza Yungay, y ofrece lugares vacíos para caravanas. Hay WiFi gratuita.

El establecimiento alberga un jardín. Hay aparcamiento para remolques con acceso a electricidad, por un suplemento.

El camping se encuentra a 1,9 km del pueblo artesanal Ether Aike y a 2,3 km del Museo Municipal de Historia."
Natalino Hotel Patagonia,US$179,"8,4",Muy bien,607,https://cf.bstatic.com/xdata/images/hotel/max1024x768/8276413.webp?k=3a22aadf2a959f8d550a9b58ccf569540fefb791089960f22dbf8e87ecf46f86&o=,https://www.booking.com/hotel/cl/natalino-patagonia.es.html?aid=2410095,"Toallas de playa/piscina, Calefacción, Español, TV de pantalla plana, Baños públicos, Zona TV / salón de uso compartido, Parking gratis, Perchero, Masajes, Menús para dietas especiales (bajo petición), TV, Acceso a pisos superiores en ascensor, Plancha para pantalones, Tarjeta de acceso, Cámaras de seguridad fuera del alojamiento, Artículos de aseo gratis, Ascensor, Enchufe cerca de la cama, Terraza, Spa y centro de bienestar, Suelo de baldosa / mármol, Cafetería en el alojamiento, Canales por cable, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Vistas a la ciudad, Servicio de limpieza diario, Zona poco profunda, Habitaciones sin humo, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Juegos de mesa / puzles, Fax / fotocopiadora, Canales vía satélite, Servicio de despertador, Proporciona factura, Productos de limpieza, Piscina pequeña, Ducha, WC, Escritorio, Guardaequipaje, Caja fuerte, Prohibido fumar en todo el alojamiento, Horario de apertura, Secador de pelo, Zona de spa / relajación, Baño privado, Servicio de conserjería, Muy buen desayuno, Información turística, Servicio de planchado, Alarma de seguridad, Zona de comedor, Seguridad 24 horas, Instalaciones de spa, Servicio de traslado, Gimnasio, WiFi gratis, Toallas, Piscina interior, Extintores, Parking en un garaje, Para todas las edades, Vino / champán, Armario, Snack-bar, Detectores de humo, Recepción 24 horas, Inglés, De temporada, Piscina en la azotea, Teléfono, Servicio de lavandería, Papel higiénico, Ropa de cama",Puerto Natales,Chile,"Natalino Hotel Patagonia se encuentra en Puerto Natales, a 1,7 km de Estación de autobús de Puerto Natales, y ofrece alojamiento con centro de fitness, parking privado gratis, salón de uso común y terraza. Este hotel de 4 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel dispone de piscina cubierta y servicio de conserjería.

En el hotel, todas las habitaciones cuentan con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades incluyen caja fuerte.

Cerca del alojamiento hay puntos de interés como Museo Historico Municipal, Plaza de Armas de Puerto Natales y Parroquia María Auxiliadora de Puerto Natales. El aeropuerto más cercano (Aeropuerto Teniente Julio Gallardo) está a 7 km del alojamiento."
HOSTAL MIRAFLORES,US$21,"7,7",Bien,35,https://cf.bstatic.com/xdata/images/hotel/max1024x768/504554615.webp?k=27ae712984f98b56a8d7f69a9cf95916aa6b109c1fb43a327a71e924abfaf07a&o=,https://www.booking.com/hotel/cl/hostal-miraflores-puerto-natales.es.html?aid=2410095,"Registro de entrada / salida privado, Suelo de madera o parquet, Calefacción, Español, Zona TV / salón de uso compartido, Perchero, Mobiliario exterior, Lavadora, Artículos de aseo gratis, Cocina compartida, Habitaciones sin humo, Zona de estar, Bañera o ducha, Alquiler de coches, Ducha, WC, Llave de acceso, Prohibido fumar en todo el alojamiento, Inglés, Información turística, Habitaciones familiares, WiFi gratis, Toallas, Extintores, Armario, Papel higiénico, Servicio de lavandería, Ropa de cama",Puerto Natales,Chile,"HOSTAL MIRAFLORES ofrece habitaciones en Puerto Natales, cerca de Museo Historico Municipal y de Plaza de Armas de Puerto Natales. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratisen todo el alojamiento. Este alojamiento libre de humo se encuentra a 7 min a pie de Estación de autobús de Puerto Natales.

En el hostal o pensión, las habitaciones incluyen armario. En HOSTAL MIRAFLORES, cada habitación está equipada con ropa de cama y toallas.

Parroquia María Auxiliadora de Puerto Natales está a 13 min a pie del alojamiento, y Cueva del Milodón está a 30 km. El aeropuerto más cercano (Aeropuerto Teniente Julio Gallardo) está a 8 km del alojamiento."
Hostal Doble E Patagonia,US$95,"8,8",Fabuloso,141,https://cf.bstatic.com/xdata/images/hotel/max1024x768/170350453.webp?k=c1032c09ccc0c03d79217e71404323ca3932b766efb9f52fd83b5cfa73c9283d&o=,https://www.booking.com/hotel/cl/hostal-doble-e-patagonia.es.html?aid=2410095,"Jardín, Calefacción, Español, Parking gratis, Artículos de aseo gratis, Enchufe cerca de la cama, Servicio de limpieza diario, Habitaciones sin humo, Proporciona factura, Fruta, Guardaequipaje, Senderismo, Prohibido fumar en todo el alojamiento, Secador de pelo, Inglés, Baño privado, Servicio de conserjería, Muy buen desayuno, Habitaciones familiares, WiFi gratis, Canguro / servicios para niños, Toallas, Chimenea exterior, Registro de entrada y salida exprés, Vino / champán, Armario, Recepción 24 horas, Francés, Papel higiénico",Puerto Natales,Chile,"Hostal Doble E Patagonia se encuentra en Puerto Natales, a 17 min a pie de Estación de autobús de Puerto Natales y a 3,2 km de Museo Historico Municipal. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. El alojamiento, construido en 2017, está a 3,5 km de Parroquia María Auxiliadora de Puerto Natales y a 32 km de Cueva del Milodón. Este alojamiento libre de humo está a 3,5 km de Plaza de Armas de Puerto Natales.

En el hostal o pensión, cada habitación dispone de armario. Todas las habitaciones disponen de baño privado con artículos de aseo gratuitos, y algunas disponen de vistas a la ciudad.

En recepción se habla inglés, español y francés, y el personal está dispuesto a ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto Teniente Julio Gallardo) está a 9 km."
