hotel,hotel_url,description,popular_facilities,highres_url,city,country
"Cabaña, Coñico, Purranque",https://www.booking.com/hotel/cl/cabana-conico-purranque.es.html?aid=2410095,"Cabaña, Coñico, Purranque, que cuenta con vistas al jardín, se encuentra en Purranque, a unos 17 km de Puerto Octay. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

La casa o chalet se compone de 2 dormitorios, una cocina totalmente equipada y 1 baño. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 56 km del alojamiento.","Parking gratis, Baño privado, Inglés, TV de pantalla plana, Calefacción, Vistas, Cocina, Vistas al jardín, WiFi gratis, Español, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549192844.jpg?k=982646da8daf67ba1a20da44601f8a88709e61d633be5a10441e5e616d8fb617&o=&hp=1,Purranque,Chile
Habitación Casa Sureña,https://www.booking.com/hotel/cl/habitacion-casa-surena.es.html?aid=2410095,"Habitación Casa Sureña se encuentra en Purranque, a solo 29 km de Puerto Octay, y ofrece alojamiento con jardín y wifi gratis.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 46 km.","Inglés, WiFi gratis, Jardín, Prohibido fumar en todo el alojamiento, Español, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507430127.jpg?k=5c8df79f2aa738b0563461821b4a541bad265e87a3bf530d26b92037e5f467c1&o=&hp=1,Purranque,Chile
Hostal Triwe,https://www.booking.com/hotel/cl/hostal-triwe.es.html?aid=2410095,"El Hostal Triwe está situado en Puerto Octay, a 39 km de Puerto Varas. En el establecimiento hay aparcamiento privado gratuito. Esta ciudad es un destino perfecto para ir de compras, ya que está cerca de grandes ciudades.

Todas las habitaciones incluyen TV de pantalla plana y baño privado. Hay secador de pelo y artículos de aseo gratuitos. El Hostal Triwe ofrece WiFi gratuita en todas las instalaciones.

El establecimiento ofrece recepción abierta las 24 horas.

El Hostal Triwe está a 22 km de Frutillar y a 40 km de Puyehue. El aeropuerto Cañal Bajo-Carlos Hott Siebert está a 43 km del establecimiento.","Terraza, Playa, Bar, Canguro / servicios para niños, Inglés, Snack-bar, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Cambio de moneda, Zona de fumadores, WiFi gratis, Juegos de mesa / puzles, Parking en la calle, Happy hour, Traslado aeropuerto, Fruta, Servicio de conserjería, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Cenas temáticas, Desayuno fantástico, Prohibido fumar en todo el alojamiento, Español, Calefacción, Pesca, Guardaequipaje, Cochecitos de bebé, Servicio de planchado, Chimenea exterior, Salas de reuniones / banquetes, Servicio de aparcacoches, Servicio de limpieza diario, Sala de juegos, Jardín, Almuerzos para llevar, Tours a pie, Cafetería en el alojamiento, Parking gratis, Alquiler de bicicletas, Vino / champán, Ciclismo, Zona TV / salón de uso compartido, Zona de pícnic, Habitaciones familiares, Tours en bici, Servicio de traslado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/165963742.jpg?k=888b3916cf309925656b5a772e1a1decb3ccf5e98b6d6914f21a7b2e0e73f3b6&o=&hp=1,Purranque,Chile
Domos Frutillar,https://www.booking.com/hotel/cl/domos-frutillar-2-personas.es.html?aid=2410095,"Domos Frutillar se encuentra en Frutillar, en la región de Los Lagos, y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad cuenta con patio con vistas al jardín, TV de pantalla plana por cable, cocina bien equipada y baño privado con ducha. También hay nevera, microondas y hervidor.

También hay un jardín ideal para relajarse.

Museo Pablo Fierro está a 35 km del alojamiento, y Puerto Octay está a 32 km. El aeropuerto más cercano (Aeropuerto El Tepual) está a 60 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Vistas al jardín, Información turística, Juegos de mesa / puzles, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Patio, Traslado aeropuerto, Registro de entrada / salida privado, Cámaras de seguridad en las zonas comunitarias, Servicio de entrega de comestibles, TV, Prohibido fumar en todo el alojamiento, Español, Independiente, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Guardaequipaje, Ducha, Mesa de comedor, Vistas, Jardín, Proporciona factura, Canales por cable, Tours a pie, Hervidor eléctrico, Tour o clase sobre cultura local, Seguridad 24 horas, Nevera, Comedia en vivo, Parking gratis, Baño privado, Vino / champán, Equipamiento de juegos para exterior, WC, Aire acondicionado, Habitaciones familiares, Wifi buena gratis (33 Mbps), Cocina, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522509971.jpg?k=746079a178999ef19f24ce5f78d10e1bcaf2db50a452fc93c483e69c185fa2fb&o=&hp=1,Purranque,Chile
"Espectacular Tiny House,terraza,Aire acondicionado",https://www.booking.com/hotel/cl/espectacular-tiny-house-terraza-aire-acondicionado.es.html?aid=2410095,"Espectacular Tiny House, terraza,Aire acondicionado se encuentra en Puerto Octay, a solo 46 km de Volcán Osorno, y ofrece alojamiento con terraza y wifi gratis. El alojamiento, que está a 3,1 km de Puerto Octay, dispone de jardín y parking privado gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera. Hay toallas y ropa de cama en el apartamento.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 56 km.","Terraza, Inglés, Tetera / cafetera, TV de pantalla plana, Ropa de cama, Barbacoa, Prohibido fumar en todo el alojamiento, Español, Calefacción, Toallas, Jardín, Nevera, Wifi rápida gratis (414 Mbps), Parking gratis, Secador de pelo, Aire acondicionado, Cocina, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520361245.jpg?k=396ca9b4cc05c54c476ef960532b6a4efa890cdeb3f0e29e22b25edf31c10138&o=&hp=1,Purranque,Chile
Refugio Sereno,https://www.booking.com/hotel/cl/refugio-sereno.es.html?aid=2410095,"Refugio Sereno está en Puerto Octay y ofrece terraza. El alojamiento, que se encuentra a 10 km de Puerto Octay, ofrece jardín y parking privado gratis.

La casa o chalet cuenta con TV de pantalla plana, 4 dormitorios.

El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 67 km del alojamiento.","Terraza, Parking gratis, Inglés, TV de pantalla plana, Vistas al jardín, Jardín, Bañera de hidromasaje, Prohibido fumar en todo el alojamiento, Español, Calefacción, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529829274.jpg?k=29c1029524c29d8a9af1add30d1ea5e5e9afaefee13ad15bc9c2a856fba54075&o=&hp=1,Purranque,Chile
Cabaña Puerto Octay,https://www.booking.com/hotel/cl/cabana-puerto-octay.es.html?aid=2410095,"Cabaña Puerto Octay está en Puerto Octay, a 11 min a pie de Puerto Octay y a 49 km de Volcán Osorno, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado ofrece acceso directo a una terraza con vistas al jardín y cuenta con 2 dormitorios y cocina totalmente equipada.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 59 km.","Parking gratis, Terraza, Piscina privada, Jardín, TV de pantalla plana, Barbacoa, Cocina, Vistas al jardín, Aire acondicionado, Bañera de hidromasaje / jacuzzi, Habitaciones familiares, WiFi gratis, Español, Habitaciones sin humo, Calefacción, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520673991.jpg?k=29e9c56de2096e11a53d83bd5106389507603c56407f1cf351a4ff64e9170acd&o=&hp=1,Purranque,Chile
REFUGIO SERENO,https://www.booking.com/hotel/cl/refugio-sereno-llanquihue.es.html?aid=2410095,"REFUGIO SERENO está a 44 km de Museo Pablo Fierro y ofrece alojamiento conjardín, terraza y servicio de habitaciones.

Se puede practicar esquí y ciclismo en la zona, y la habitación en casa particular ofrece zona de playa privada.

Puerto Octay está a 8,5 km del alojamiento, y Casa Kuschel está a 41 km. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 65 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Tumbonas/sillas de playa, Terraza, Playa, Inglés, TV de pantalla plana, Extintores, Ropa de cama, Sombrillas, Información turística, Zona de comedor, Juegos de mesa / puzles, Registro de entrada y salida exprés, Piragüismo, Traslado aeropuerto, Registro de entrada / salida privado, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Español, Calefacción, Ducha, Guardaesquíes, Mesa de comedor, Parque acuático, Gimnasio, Senderismo, Jardín, Tours a pie, Tour o clase sobre cultura local, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Vistas a la montaña, Zona privada de playa, Piscina infantil, Ciclismo, WC, Esquí, Tours en bici, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Galerías de arte temporales, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528746232.jpg?k=3f7d07da44c6c88ec9c1690846cf0292f0e2f1f82887b0ab224557bc071d8572&o=&hp=1,Purranque,Chile
Hostal Don Luis,https://www.booking.com/hotel/cl/hostal-don-luis-purranque.es.html?aid=2410095,"Hostal Don Luis se encuentra en Purranque, en la región de Los Lagos, y ofrece alojamiento con parking privado gratis.

En el apartamento, la clientela puede usar la terraza.

Puerto Octay está a 30 km del alojamiento. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 47 km.","Terraza, Parking gratis, Piscina, Prohibido fumar en todo el alojamiento, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484430572.jpg?k=1ff6c73673a94594b0914c866d023808dd09a9544528b6630d7bc6cc68f5b1dc&o=&hp=1,Purranque,Chile
Hostería la Baja,https://www.booking.com/hotel/cl/hosteria-la-baja-puerto-octay.es.html?aid=2410095,"Hostería la Baja está en Puerto Octay y dispone de wifi gratis, jardín, terraza y bar.

En el bed and breakfast se sirve todas las mañanas un desayuno americano.

Puerto Octay está a 3,4 km del alojamiento. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 61 km.","Parking gratis, Baño privado, Bar, Terraza, Ducha, Prohibido fumar en todo el alojamiento, Inglés, Armario, Mesa de comedor, Ropa de cama, Zona de comedor, WC, Jardín, Desayuno, WiFi gratis, Español, Hervidor eléctrico, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533291752.jpg?k=20349311dbf5fbaead84fb622ed786fc2e6fec37864dfcf1d2258ac0b6099ba0&o=&hp=1,Purranque,Chile
