hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Hosteria Entre Lagos,https://www.booking.com/hotel/cl/hosteria-entre-lagos-puyehue1.es.html?aid=2410095,"Hotel Hosteria Entre Lagos está en Puyehue, a 27 km de Termas de Puyehue, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 2 estrellas ofrece bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones tienen armario y TV de pantalla plana, y algunas también ofrecen balcón.

Aguas Calientes Hot Springs está a 31 km del alojamiento, y Antillanca está a 49 km. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 44 km.","Terraza, Inglés, Bar, TV de pantalla plana, Restaurante, Plancha para ropa, Desayuno, WiFi gratis, Enchufe cerca de la cama, Traslado aeropuerto, Prohibido fumar en todo el alojamiento, Español, Calefacción, Secadora de ropa, Armario, Jardín, Servicio de habitaciones, Parking gratis, Recepción 24 horas, Habitaciones familiares, Lavadora, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523112213.jpg?k=baade3d2d71662ff3e77ff29f50581d4ee92473c840614376b9cd518f3b06692&o=&hp=1,Puyehue,Chile
Cabaña Puyehue,https://www.booking.com/hotel/cl/puyehue-entre-lagos.es.html?aid=2410095,"Cabaña Puyehue está en Puyehue, a 28 km de Termas de Puyehue y a 32 km de Aguas Calientes Hot Springs, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana.

Este apartamento se compone de 3 dormitorios independientes, una cocina totalmente equipada y 1 baño.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 44 km.","Español, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, Baño compartido, WiFi gratis, Lavadora, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559370861.jpg?k=4b197ba628115ff19e1e7d5278a6bebde9239270a42339e22bd7acdaaea0b571&o=&hp=1,Puyehue,Chile
Hospedaje Familiar El Encanto,https://www.booking.com/hotel/cl/el-encanto-puyehue.es.html?aid=2410095,"Hospedaje Familiar El Encanto se encuentra en Puyehue, en la región de Los Lagos, y ofrece alojamiento con parking privado gratis.

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

También hay un jardín ideal para relajarse.

Termas de Puyehue está a 17 km del alojamiento, y Aguas Calientes Hot Springs está a 21 km. El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 60 km del alojamiento.","TV de pantalla plana, Extintores, Llave de acceso, Ropa de cama, Vistas al jardín, Enchufe cerca de la cama, Registro de entrada y salida exprés, Registro de entrada / salida privado, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Canales vía satélite, Papel higiénico, Armario, Toallas, Artículos de aseo gratis, Jardín, Proporciona factura, Canales por cable, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, WC, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/442375467.jpg?k=106fd35dc7ac286f196d143c321d548b7cc3ee08c58b2c47e06b9633e330289d&o=&hp=1,Puyehue,Chile
Outscape Puyehue,https://www.booking.com/hotel/cl/outscape-puyehue.es.html?aid=2410095,"Outscape Puyehue tiene vistas al río, wifi gratis y parking privado gratis. Está en Puyehue, a 9,2 km de Termas de Puyehue.

Cada unidad está equipada con aire acondicionado, baño privado y cocina con microondas y fogones.

Aguas Calientes Hot Springs está a 13 km del alojamiento, y Antillanca está a 32 km. El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 61 km.","Muebles de exterior, Playa, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Extintores, Ropa de cama, Zona de comedor, WiFi gratis, Enchufe cerca de la cama, Registro de entrada / salida privado, Fogones, Prohibido fumar en todo el alojamiento, Español, Vistas al río, Calefacción, Microondas, Vistas al lago, Utensilios de cocina, Ducha, Papel higiénico, Toallas, Proporciona factura, Parking gratis, Baño privado, Toda la unidad en la planta baja, WC, Aire acondicionado, Cocina, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515320035.jpg?k=c51839eac8f74086e2d9a61f90dfdf0c739a632221bf4c08c88419ee47c696aa&o=&hp=1,Puyehue,Chile
Cabañas Buen Recuerdo,https://www.booking.com/hotel/cl/cabanas-buen-recuerdo-puyehue.es.html?aid=2410095,"Cabañas Buen Recuerdo está en Puyehue, a solo 19 km de Termas de Puyehue, y dispone de alojamiento frente a la playa con jardín, acceso a pie de pista y wifi gratis. La casa o chalet, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como esquí y pesca.

La casa o chalet cuenta con terraza y vistas al jardín, y tiene 2 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 1 baño con ducha. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet ofrece zona de juegos infantil.

Aguas Calientes Hot Springs está a 22 km del alojamiento, y Antillanca está a 41 km. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 52 km.","Terraza, Playa, TV de pantalla plana, Llave de acceso, Situado frente a la playa, Ropa de cama, Esquí, Vistas al jardín, Información turística, Zona de fumadores, Perchero, Sofá, Zona de juegos para niños, WiFi gratis, Enchufe cerca de la cama, Patio, Zona de estar, Barbacoa, Entrada privada, Apartamento privado en edificio, Cenas temáticas, Horno, TV, Español, Independiente, Calefacción, Pesca, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Escuela de esquí, Ducha, Vistas a un patio interior, Guardaesquíes, Mesa de comedor, Armario, Toallas, Vistas, Senderismo, Cafetera, Jardín, Canales por cable, Tours a pie, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Tostadora, Toda la unidad en la planta baja, WC, Zona de pícnic, Habitaciones familiares, Tours en bici, Zona de comedor exterior, Cocina, Acceso directo a pistas, Tendedero, Zona de cocina, Papel higiénico",Error al acceder a la página del hotel.,Puyehue,Chile
Las Juntas Ecolodge,https://www.booking.com/hotel/cl/hostal-y-cabaa-as-las-juntas.es.html?aid=2410095,"Las Juntas Ecolodge se encuentra frente al lago Puyehue y ofrece un jardín grande y WiFi gratuita. Todos los días se sirve un desayuno buffet en el comedor o en la habitación, de forma gratuita.  Se proporciona información turística y servicio de alquiler de coches.

Las habitaciones de Las Juntas Ecolodge cuentan con baño privado, calefacción y servicio de habitaciones.

Los huéspedes de Las Juntas Ecolodge pueden organizar excursiones por la zona, como paseos a caballo, senderismo, pesca y kayak.

El desayuno buffet incluye pan y mermeladas caseros, queso, embutidos, mantequilla, yogur, cereales y productos regionales. El servicio de comida se ofrece en temporada baja y debe solicitarse con antelación.

La estación de esquí de Antillanca está a 33 km y las aguas termales de Puyehue, a 15 km. Hay aparcamiento privado gratuito.","Terraza, Playa, Inglés, Servicio de lavandería, Extintores, Llave de acceso, Situado frente a la playa, Ropa de cama, Cambio de moneda, Vistas al jardín, Información turística, Zona de fumadores, Perchero, WiFi gratis, Juegos de mesa / puzles, Registro de entrada y salida exprés, Patio, Baños públicos, Muy buen desayuno, Prohibido fumar en todo el alojamiento, Español, Calefacción, Bañera o ducha, Papel higiénico, Armario, Artículos de aseo gratis, Jardín, Proporciona factura, Parking gratis, Baño privado, Alemán, Zona privada de playa, Secador de pelo, Recepción 24 horas, Habitaciones familiares, Habitaciones sin humo, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/277769478.jpg?k=177ab30ffd6160d83efcb179e19b96e37a01c11d27a84bdcc74313fe1ba1d925&o=&hp=1,Puyehue,Chile
Cabañas Jardín del Turista,https://www.booking.com/hotel/cl/cabanas-jardin-del-turista.es.html?aid=2410095,"Cabañas Jardín del Turista, que cuenta con vistas al jardín, dispone de alojamiento con terraza y patio a unos 31 km de Aguas Calientes Hot Springs. El alojamiento, que se encuentra a 28 km de Termas de Puyehue, ofrece jardín y parking privado gratis.

El apartamento dispone de 2 dormitorios, TV de pantalla plana con canales por cable, una cocina equipada con nevera y microondas, y 1 baño con ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Antillanca está a 50 km del alojamiento. El aeropuerto más cercano (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 43 km.","Terraza, Inglés, TV de pantalla plana, Ropa de cama, Vistas al jardín, Zona de comedor, Perchero, Enchufe cerca de la cama, Patio, TV, Prohibido fumar en todo el alojamiento, Español, Independiente, Calefacción, Microondas, Ducha, Armario, Artículos de aseo gratis, Jardín, Proporciona factura, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Toda la unidad en la planta baja, WC, Cocina, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/470577571.jpg?k=365e5a1ec3cfe2620dccc499860c98dabccf1bb69cc3cd865d01af37a2f209b6&o=&hp=1,Puyehue,Chile
Lodge El Taique,https://www.booking.com/hotel/cl/lodge-el-taique.es.html?aid=2410095,"Este establecimiento se encuentra en Puyehue, a solo 20 minutos en coche del parque nacional de Puyehue, y ofrece habitaciones rodeadas de un parque de 4 hectáreas. Los huéspedes pueden relajarse en la acogedora sala de estar junto a la chimenea.

Las habitaciones del Lodge El Taique disponen de calefacción y baño privado con ducha. Todas las habitaciones tienen vistas al lago Rupanco y conexión Wi-Fi gratuita.

La estación de esquí de Antillanca está a 44 km y el centro de Osorno, a 69 km. El mostrador de información turística puede organizar traslados y ofrecer consejos para moverse por la zona.

Todos los días se sirve un desayuno bufé con café, té, leche, zumo, pan casero y mermeladas. El restaurante El Taique ofrece platos franceses.","Terraza, Inglés, Bar, Snack-bar, Abierta todo el año, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Vistas al jardín, Información turística, Menús para dietas especiales (bajo petición), Cambio de moneda, Zona de fumadores, Piscina pequeña, Desayuno, Zona de juegos para niños, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Zona poco profunda, Piscina climatizada, Registro de entrada y salida exprés, Registro de entrada / salida privado, Piscina al aire libre, Barbacoa, Servicio de conserjería, Baños públicos, Mobiliario exterior, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Español, Terraza / solárium, Calefacción, Caja fuerte, Bañera o ducha, Guardaequipaje, Francés, Cochecitos de bebé, Ducha, Papel higiénico, Servicio de planchado, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Senderismo, Para todas las edades, Jardín, Proporciona factura, Tours a pie, Cafetería en el alojamiento, Parking gratis, Baño privado, Vistas a la montaña, Vino / champán, Equipamiento de juegos para exterior, Zona de juegos interior, Zona TV / salón de uso compartido, Habitaciones familiares, Servicio de traslado, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/38520189.jpg?k=7ef4d050e2a176c08db36ec5c64aedd352c0d2ef6e095d157df35b357295d64a&o=&hp=1,Puyehue,Chile
Cabañas Tinajas hidromasaje Chanlelfu,https://www.booking.com/hotel/cl/cabanas-chanlelfu.es.html?aid=2410095,"Cabañas Tinajas hidromasaje Chanlelfu dispone de jardín y está en Puyehue, a 28 km de Termas de Puyehue y a 32 km y a Aguas Calientes Hot Springs.

Cada unidad dispone de terraza, TV de pantalla plana, cocina bien equipada y baño privado con ducha y secador de pelo.

El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 44 km.","Terraza, TV de pantalla plana, Sofá cama, Perchero, Entrada privada, Habitaciones sin humo, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Ducha, Chimenea, Jardín, Baño privado, Secador de pelo, WC, Habitaciones comunicadas disponibles, Habitaciones familiares, Cocina, Tendedero, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/334336094.jpg?k=0d8928bd29267e8916d889e21e2ab1ae607e118e4e37270fc1b2a75366e8b47e&o=&hp=1,Puyehue,Chile
Rincón Puyehue,https://www.booking.com/hotel/cl/rincon-puyehue.es.html?aid=2410095,"Rincón Puyehue se encuentra en Puyehue y ofrece alojamiento con balcón y wifi gratis. El alojamiento, que está a 28 km de Termas de Puyehue, dispone de terraza y parking privado gratis.

El apartamento de 2 dormitorios dispone de sala de estar con TV de pantalla plana vía satélite y cocina totalmente equipada.

Aguas Calientes Hot Springs está a 32 km del alojamiento. El aeropuerto (Aeropuerto Cañal Bajo Carlos Hott Siebert) está a 44 km.","Terraza, TV de pantalla plana, Extintores, Llave de acceso, Escritorio, Sofá cama, WiFi gratis, Enchufe cerca de la cama, Mantas eléctricas, Adosado, Bañera, Registro de entrada / salida privado, Cámaras de seguridad en las zonas comunitarias, Apartamento privado en edificio, TV, Español, Independiente, Calefacción, Bañera o ducha, Canales vía satélite, Ducha, Armario, Cámaras de seguridad fuera del alojamiento, Canales por cable, Seguridad 24 horas, Parking gratis, Radio, Habitaciones familiares, Cocina, Balcón, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576647333.jpg?k=9a7b18e9f401a02a863241719376bca6d4243b04aafeb4cfe9f42325a644f87f&o=&hp=1,Puyehue,Chile
