hotel,hotel_url,description,popular_facilities,highres_url,city,country
Posada Real,https://www.booking.com/hotel/ec/posada-real-puyo.es.html?aid=2410095,"Posada Real está en Puyo y ofrece jardín y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento dispone de servicio de traslado de pago para ir o volver del aeropuerto.

El personal de la recepción 24 horas habla inglés y español.","Parking en un garaje, Servicio de planchado, Plancha para pantalones, Parking gratis, Cambio de moneda, Traslado aeropuerto, Boles para mascotas, Seguridad 24 horas, Servicio de lavandería, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Jardín, Español, Habitaciones sin humo, Extintores, Recepción 24 horas, Cesta para mascotas, Guardaequipaje, Buen desayuno, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/200419147.jpg?k=eb50dba3f9a3cc2f4f044691866f44fbcc3465be175214fd27e30d4fded84aef&o=&hp=1,Puyo,Ecuador
Casa hospedaje Puyo,https://www.booking.com/hotel/ec/casa-hospedaje-puyo-puyo.es.html?aid=2410095,"Casa hospedaje Puyo se encuentra en Puyo y dispone dejardín y terraza. Todas las habitaciones están equipadas con un balcón con vistas al jardín.

Las habitaciones de este alojamiento incluyen TV de pantalla plana y cocina. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también disponen de vistas a la ciudad. Todas las unidades cuentan con nevera.","Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de cocina, Parking gratis, Terraza, Papel higiénico, Utensilios de cocina, TV, Inglés, Tetera/cafetera en todas las habitaciones, Nevera, Hervidor eléctrico, WC, Acceso a pisos superiores solo mediante escaleras, Toallas, Jardín, Artículos de aseo gratis, Sofá, Español, Baño privado, Patio, Vistas a la ciudad, Balcón, Enchufe cerca de la cama, Vistas, Cocina, Tendedero, Suelo de baldosa / mármol, TV de pantalla plana, Entrada privada, Tetera / cafetera, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/398451426.jpg?k=7b7be3d0b5bc92185182d334770786a6effcadd04f39700a0167c5a11161540b&o=&hp=1,Puyo,Ecuador
Hostal Puyo,https://www.booking.com/hotel/ec/hostal-puyo.es.html?aid=2410095,"Hostal Puyo está en Puyo y cuenta con terraza. Este alojamiento ofrece restaurante, cocina compartida y salón de uso común, además de wifi gratis. Hay parking privado gratis y hotel también dispone de alquiler de bicicletas para descubrir los alrededores.

Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas a la ciudad. En el hotel, las habitaciones incluyen armario y TV.

La clientela puede practicar actividades en Puyo y alrededores, como ciclismo.

El personal del alojamiento puede dar consejos en la recepción 24 horas.","Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Menús para dietas especiales (bajo petición), Parking gratis, Tours en bici, Llave de acceso, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Tour o clase sobre cultura local, Armario, Papel higiénico, Cocina compartida, Cama plegable, Servicio de lavandería, Seguridad 24 horas, Mobiliario exterior, Alquiler de bicicletas, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Suelo de moqueta, Habitaciones comunicadas disponibles, Baños públicos, Alarma de seguridad, WC, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Zona de fumadores, Juegos de mesa / puzles, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Desayuno fantástico, Bañera, Español, Baño privado, Habitaciones sin humo, Extintores, Restaurante, Zona TV / salón de uso compartido, Recepción 24 horas, Servicio de despertador / alarma, Tendedero, Guardaequipaje, Ducha, Ventilador, Desayuno en la habitación, Senderismo, Parking adaptado para personas de movilidad reducida, Teléfono, Ciclismo, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/107497829.jpg?k=a2a8fa7a7c9c565d7dc3629bf09c890266380f60870ccc9e733e7a4e87a03fad&o=&hp=1,Puyo,Ecuador
Hostal Las Palmas,https://www.booking.com/hotel/ec/hostal-las-palmas.es.html?aid=2410095,"El Hostal Las Palmas se encuentra a 200 metros del centro de Puyo, a 3 km de la estación de autobús y a 500 metros de la zona de bares, donde además hay espectáculos en directo. Ofrece conexión Wi-Fi gratuita y un desayuno americano.

Las habitaciones del Hostal Las Palmas tienen vistas al jardín, TV por cable, terraza con hamaca y baño privado con ducha.

El Hostal Las Palmas cuenta con jardín y servicio de lavandería. Se organizan excursiones a las reservas de Hola Vida y Yasuní, situadas en la selva.

El Hostal Las Palmas se encuentra a 1 km del parque etnobotánico Omaere y a menos de 50 km de Baños. Se ofrece aparcamiento privado gratuito.","Parking en un garaje, Parking gratis, Servicio de limpieza diario, Bañera o ducha, Papel higiénico, Detectores de humo, WiFi gratis, TV, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Información turística, Toallas, Jardín, Bañera, Español, Baño privado, Vistas, Extintores, Francés, Desayuno excepcional, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/350530341.jpg?k=a177e159ef8ce442958b243632f8022ae91073da4b480fae20e6a4e8b1590ede&o=&hp=1,Puyo,Ecuador
Hosteria Flor de Canela,https://www.booking.com/hotel/ec/hosteria-flor-de-canela.es.html?aid=2410095,"Hosteria Flor de Canela se encuentra en Puyo y ofrece alojamiento con wifi gratis, vistas a la montaña, jardín con piscina al aire libre y acceso a la sauna y a la bañera de hidromasaje.

Algunas unidades incluyen balcón y/o patio con vistas a la piscina o al río.

El lodge cuenta con un restaurante que sirve cocina local y cocina internacional.

Hay terraza en el propio alojamiento, y cerca se puede practicar senderismo.","Parking en un garaje, Fruta, Registro de entrada y salida exprés, Servicio de planchado, Plancha para pantalones, Baño de vapor, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Llave de acceso, Servicio de limpieza diario, Buffet para niños, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Canguro / servicios para niños, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Karaoke, Baños públicos, Menú para niños, Alquiler de coches, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Tumbonas/sillas de playa, Terraza / solárium, Vino / champán, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Información turística, Zona de fumadores, Toallas de playa/piscina, Piscina infantil, Bar en la piscina, Productos de limpieza, Discoteca / DJ, Almuerzos para llevar, Tours a pie, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Sauna, Zona poco profunda, Máquina expendedora (bebidas), Piscina al aire libre, Habitaciones sin humo, Restaurante, Extintores, Zona de pícnic, Ruta de bares, Recepción 24 horas, Guardaequipaje, De temporada, Ducha, Personal de animación, Senderismo, Máquina expendedora (aperitivos), Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/445597011.jpg?k=fa2d0c7f35fe3afd827eae6d381cc9c8ac5634d08c58937d7e5a5b7dfbdbc962&o=&hp=1,Puyo,Ecuador
Skyview Studio,https://www.booking.com/hotel/ec/estudio-contemporaneo-puyo.es.html?aid=2410095,"Skyview Studio está en Puyo. Hay parking privado en el propio alojamiento y wifi gratis.

Este apartamento consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.","Cafetera, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de cocina, Plancha para ropa, Zona de comedor, Parking gratis, Servicio de limpieza diario, Perchero, Bañera o ducha, Zona de estar, Armario, Papel higiénico, Utensilios de cocina, Servicio de entrega de comestibles, Mobiliario exterior, Apartamento privado en edificio, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, WC, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Información turística, Artículos de aseo gratis, Microondas, Sofá, Productos de limpieza, Español, Baño privado, Vistas a la ciudad, Enchufe cerca de la cama, Vistas, Extintores, Sofá cama, Cocina, TV de pantalla plana, Ropa de cama, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Ventilador, Secadora de ropa",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550075357.jpg?k=3bc3439b9c91d2438508380abda079d27bb1c70356d2e210aeb9efab98029789&o=&hp=1,Puyo,Ecuador
Hotel ARAUCANO,https://www.booking.com/hotel/ec/araucano.es.html?aid=2410095,"Hotel ARAUCANO ofrece alojamiento en Puyo. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana y zona de cocina. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También incluyen wifi gratis, y algunas de las habitaciones incluyen vistas a la ciudad. En el hotel, cada habitación dispone de ropa de cama y toallas.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de cocina, Zona de comedor, Perchero, Bañera o ducha, Zona de estar, Papel higiénico, Utensilios de cocina, WiFi gratis, Lavavajillas, Cámaras de seguridad fuera del alojamiento, WC, Servicio de habitaciones, Toallas, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584929373.jpg?k=ab2aab1c239d19165612e6108f0d6e16bc5ceb4e4c52ddc53556dcea70489c34&o=&hp=1,Puyo,Ecuador
Hosteria Orkidea Lodge,https://www.booking.com/hotel/ec/hosteria-orkidea-lodge.es.html?aid=2410095,"Hosteria Orkidea Lodge tiene piscina al aire libre, jardín, salón de uso común y terraza en Puyo. Hay un restaurante de cocina local y parking privado gratis.

En la posada u hostería, cada habitación dispone de un patio con vistas al jardín. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la montaña. En Hosteria Orkidea Lodge, las habitaciones disponen de TV de pantalla plana con canales vía satélite.

Se puede jugar al ping-pong en el alojamiento, y la zona es ideal para practicar senderismo.","Sala de juegos, Vistas al jardín, Masajes, Parking gratis, Sombrillas, Perchero, Terraza, Bañera o ducha, Piscina infinita, Detectores de humo, WiFi gratis, Para todas las edades, Karaoke, Baños públicos, Pesca, Canales por cable, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Centro de negocios, Vistas a la montaña, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Desayuno, Noches de cine, Chimenea exterior, Tour o clase sobre cultura local, Armario, WC, Vino / champán, Artículos de aseo gratis, Piscina infantil, Silla de masajes, Habitaciones sin humo, Vistas, Guardaequipaje, Entrada privada, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, Servicio de aparcacoches, TV, Menú para niños, Masaje corporal completo, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Baño privado, Patio, Zona poco profunda, Piscina al aire libre, Adaptado para sillas de ruedas, Ducha, Canales vía satélite, Zona de juegos interior, Menús para dietas especiales (bajo petición), Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Toallas de playa/piscina, Bar en la piscina, WC con barras de apoyo, Restaurante, Zona de pícnic, Suelo de baldosa / mármol, Servicio de despertador / alarma, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/384081394.jpg?k=9be5b4f0d299c34f430e024db38be99737570292205ab691fdefd9ce0abff449&o=&hp=1,Puyo,Ecuador
El Jardín Hotel & Restaurante,https://www.booking.com/hotel/ec/restaurante-el-jardin-puyo.es.html?aid=2410095,"El Jardín Hotel & Restaurante tiene jardín, salón de uso común, terraza y restaurante en Puyo. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación cuenta con un patio con vistas al jardín. El baño privado está equipado con ducha, artículos de aseo gratuitos y secador de pelo. Las unidades disponen de armario.

El Jardín Hotel & Restaurante ofrece bañera de hidromasaje. La zona es ideal para practicar senderismo y ciclismo, y además hay alquiler de bicicletas y alquiler de coches eneste hotel.","Parking en un garaje, Vistas al jardín, Masajes, Parking gratis, Sombrillas, Aseo adicional, Tours en bici, Perchero, Happy hour, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Masaje de pies, Cenas temáticas, Zona de fumadores, Detector de monóxido de carbono, Jardín, Cafetería en el alojamiento, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Desayuno fabuloso, Habitaciones familiares, Fruta, Traslado aeropuerto, Chimenea exterior, Vistas a un patio interior, Armario, Masaje de cabeza, Vistas a un lugar de interés, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Vistas, Guardaequipaje, Entrada privada, Ventilador, Reloj despertador, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Zona de estar, Papel higiénico, Servicio de lavandería, Servicio de aparcacoches, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Masaje corporal completo, Snack-bar, Secador de pelo, Juegos de mesa / puzles, Productos de limpieza, Tours a pie, Baño privado, Patio, Ducha, Camas extralargas (más de 2 metros), Ciclismo, Menús para dietas especiales (bajo petición), Llave de acceso, Caja fuerte, Seguridad 24 horas, Bar, Servicio de conserjería, Toallas / sábanas (por un suplemento), Albornoz, Alquiler de coches, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Restaurante, Recepción 24 horas, Suelo de baldosa / mármol, Masaje de cuello, Senderismo",Error al acceder a la página del hotel.,Puyo,Ecuador
Cabañas Germany,https://www.booking.com/hotel/ec/cabanas-germany.es.html?aid=2410095,"Cabañas Germany está en Puyo y ofrece vistas al río, jardín, salón de uso común y terraza. En el lodge, tanto el wifi como el parking privado son gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Se puede descubrir la zona practicando senderismo en los alrededores.","Parking en un garaje, Suelo de madera o parquet, Vistas al jardín, Parking gratis, Baño al aire libre, Servicio de limpieza diario, Perchero, Pediluvio, Terraza, Bañera o ducha, Papel higiénico, Toda la unidad en la planta baja, Mobiliario exterior, WiFi gratis, Inglés, Vistas a un lugar de interés, WC, Vistas al río, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Toallas, Información turística, Jardín, Artículos de aseo gratis, Galerías de arte temporales, Piscina infantil, Español, Baño privado, Patio, Balcón, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Ruta de bares, Parque acuático, Ducha, Senderismo, Desayuno fabuloso, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/274500912.jpg?k=e5e37d1e332a59eef4bacb4600caae44a0a754e5db4a3e0991afb718465f6102&o=&hp=1,Puyo,Ecuador
