hotel,hotel_url,description,popular_facilities,highres_url,city,country
La carolina,https://www.booking.com/hotel/ar/la-carolina-villa-de-las-rosas.es.html?aid=2410095,"La carolina se encuentra en Villa de Las Rosas, en la provincia de Córdoba, y ofrece alojamiento con wifi gratis y estacionamiento privado gratuito.

Todos los alojamientos disponen de aire acondicionado, baño privado, TV de pantalla plana y zona de cocina totalmente equipada.

El alojamiento alberga un jardín.

El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 170 km del departamento.","Estacionamiento gratuito, Baño privado, TV de pantalla plana, Prohibido fumar en todo el establecimiento, Jardín, Calefacción, Español, Kitchenette, Wifi gratis, Vista, Aire acondicionado, Pileta privada, Pileta",https://cf.bstatic.com/xdata/images/hotel/max1024x768/438241925.jpg?k=cd1057217b5db1f8fab2768ffc7f7b801e3b93a4042432c5e15efe58bdc4a9dc&o=&hp=1,Quebrada de las Rosas,Panamá
Cabaña de Emma,https://www.booking.com/hotel/ar/cabana-de-emma.es.html?aid=2410095,"Cabaña de Emma se encuentra en Villa de las Rosas. El alojamiento ofrece vistas al jardín.

Este chalet de montaña cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto de Valle de Conlara) está a 61 km.","Estacionamiento gratuito, Vista al jardín, Cocina, Calefacción, Español, Wifi gratis, Vista, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559884237.jpg?k=8fb5a7e9afb66a8039731baa3c27f7ac924f87e598240fe357eed4f17b7b9e55&o=&hp=1,Quebrada de las Rosas,Panamá
Habitación en suite frente al Champaqui,https://www.booking.com/hotel/ar/habitacion-en-suite-frente-al-champaqui.es.html?aid=2410095,"Habitación en suite frente al Champaqui está en Villa de las Rosas. Este alojamiento ofrece pileta privada, wifi gratis y estacionamiento privado gratis.","Baño privado, Independiente, Vista a un punto turístico, Calefacción, Departamento privado en edificio, Utensilios de cocina, Vista a la montaña, Pileta privada, Escritorio, Baño adicional, Estación de recarga de vehículos eléctricos, Desayuno, Enchufe cerca de la cama, Ventilador, Servicio de despertador, Parrilla, Toda la unidad está situada en planta baja, Pileta al aire libre, Adaptada para personas con discapacidad auditiva, Patio, Muebles de exterior, Ducha, Check-in/check-out privado, Vista al jardín, Entrada privada, Español, Inglés, Sofá cama, Wifi gratis, Vista, Chimenea, Papel higiénico, Estacionamiento gratuito, Baño, Lavarropas, Jardín, Vista a un patio interno, Semiindependiente, Habitaciones para no fumadores, Tostadora, Toallas, Ropa de cama, Vista a la pileta, Prohibido fumar en todo el establecimiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575821119.jpg?k=6341cafea868055184f0715ad9f87ae5e933a80b399c16b006d687aeb0e55837&o=&hp=1,Quebrada de las Rosas,Panamá
Atardecida,https://www.booking.com/hotel/ar/atardecida.es.html?aid=2410095,"El Atardecida es un alojamiento con wifi gratis y vistas al jardín situado en Villa de Las Rosas. Esta casa cuenta con pileta privada, jardín y estacionamiento privado gratuito.

El alojamiento dispone de cocina.

El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 172 km de la casa.","Estacionamiento gratuito, Vista al jardín, Lavarropas, Cocina, Jardín, Calefacción, Español, Wifi gratis, Ropa de cama, Vista, Prohibido fumar en todo el establecimiento, Pileta privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524895077.jpg?k=94bb45bab37b64614976138064f11d2cab22665e491e8fd6deb2860d8b9605c4&o=&hp=1,Quebrada de las Rosas,Panamá
BABAJI Home,https://www.booking.com/hotel/ar/babaji-home-villa-de-las-rosas.es.html?aid=2410095,"El BABAJI Home se encuentra en Villa de Las Rosas y ofrece alojamiento con pileta privada, wifi gratis y estacionamiento privado gratuito. Esta casa tiene jardín.

La casa consta de 2 dormitorios independientes, cocina totalmente equipada y baño. Hay TV de pantalla plana. Este alojamiento es para no fumadores.

El aeropuerto más cercano es el de Valle del Conlara, ubicado a 55 km de la casa.","Baño privado, Independiente, Cocina, Ténder para la ropa, Calefacción, Utensilios de cocina, Mesa de pool, Pileta privada, Zona de estar, Perchero de barral, Zona de comedor exterior, Ventilador, Francés, Heladera, Parrilla, Abierta todo el año, Toda la unidad está situada en planta baja, Solo para adultos, Noches de películas, Muebles de exterior, Vista al jardín, Entrada privada, Español, 2 piletas, Mesa de comedor, Inglés, Mosquitero, Wifi gratis, Vista, Estacionamiento gratuito, Jardín, Microondas, Vista a un patio interno, Toallas, Ropa de cama, Vista a la pileta, Zona de comedor, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512813010.jpg?k=8220539a785e42b1e7233249886cdc63ccc30f1ebb961c807bd1a502b2eefe0e&o=&hp=1,Quebrada de las Rosas,Panamá
"Quincho de las rosas solo para pasar el dia no para dormir, en ese caso hablar con encargado",https://www.booking.com/hotel/ar/quincho-de-las-rosas.es.html?aid=2410095,"Quincho de las rosas, que cuenta con pileta al aire libre abierta todo el año y vistas a la montaña, se encuentra en Villa de las Rosas. Este chalet de montaña dispone de pileta privada, jardín y estacionamiento privado gratis.

El chalet de montaña incluye 1 dormitorio, 2 baños con bidet y ducha, una zona de estar y una cocina.

El aeropuerto más cercano (Aeropuerto de Valle de Conlara) está a 59 km.","Baño privado, Cocina, Calefacción, Utensilios de cocina, Vista a la montaña, Pileta infinita, Pileta privada, Zona de estar, Tetera/Cafetera, Horarios, Abierta todo el año, Toda la unidad está situada en planta baja, Pileta al aire libre, Patio, Adaptada para personas con discapacidad auditiva, Tours a pie, Juegos de mesa/puzzles, Ducha, Vista al jardín, Sofá, Español, Bidé, Kitchenette, Mesa de comedor, Inglés, Bañera o ducha, Vista, Estacionamiento gratuito, Jardín, Habitaciones para no fumadores, Vista a la pileta, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522020682.jpg?k=347a683dd5974ef24c85aba409670c560b26f9ae472626b08478ee03051421e0&o=&hp=1,Quebrada de las Rosas,Panamá
Sotavento Posada,https://www.booking.com/hotel/ar/sotavento-posada-villa-de-las-rosas.es.html?aid=2410095,"Sotavento Posada está en Villa de las Rosas, en la región de Provincia de Córdoba, y ofrece alojamiento con estacionamiento privado gratis.

Hay un baño privado con bidet en cada unidad, además de artículos de aseo gratuitos, secador de pelo y albornoces.

El aeropuerto más cercano (Aeropuerto de Valle de Conlara) está a 62 km.","Baño privado, Servicio de planchado, Calefacción, Cámaras de seguridad en exterior del alojamiento, Mobiliario exterior, Zona de fumadores, Servicio de delivery de alimentos, Perchero de barral, Proporciona factura, Extintores, Bata de baño, Zona poco profunda, Desayuno, Enchufe cerca de la cama, Acceso con llave, Ventilador, Recorrida de bares, Parrilla, Cafetería en la propiedad, Horarios, Secador de pelo, Pileta de inmersión, Toda la unidad está situada en planta baja, Pileta al aire libre, Servicio de transfer, Tours a pie, Solo para adultos, Vino/Champán, Juegos de mesa/puzzles, Por temporada, Solárium, Ducha, Check-in/check-out privado, Vista al jardín, Sillas y reposeras, Español, Bidé, Inglés, Servicio de lavandería, Mosquitero, Artículos de tocador gratuitos, Senderismo, Bañera o ducha, Vista, Papel higiénico, Estacionamiento gratuito, Baño, Armario, Terraza/solárium, Jardín, Pileta con vistas, Piso de baldosa/mármol, Galerías de arte temporarias, Habitaciones para no fumadores, Servicio diario de limpieza, Tours en bici, Toallas, Información turística, Ropa de cama, Prohibido fumar en todo el establecimiento, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/554165271.jpg?k=a1bfda9cb1beeb2f1a233f5c3d7f504570efc5b2cb1a205b543eaf81330a57f5&o=&hp=1,Quebrada de las Rosas,Panamá
Casa bela energia,https://www.booking.com/hotel/ar/bela-energia-villa-de-las-rosas.es.html?aid=2410095,"El Bela energia ofrece alojamiento con cocina en Villa de Las Rosas, a 2,9 km de Los Molles y a 5,4 km de Las Tapias. Se encuentra a 1,2 km de Los Molles y ofrece jardín y estacionamiento privado gratuito.

Esta casa cuenta con 1 dormitorio, 1 baño y TV de pantalla plana.

La casa está a 6,7 km de la Quebrada de los Pozos y a 8,1 km de Chuchiras. El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 173 km del Bela energia.","Baño privado, Servicio de planchado, Independiente, Cocina, Ténder para la ropa, Calefacción, Hornalla, Mobiliario exterior, Canales por cable, Canales vía satélite, Zona de fumadores, Servicio de tintorería, Ciclismo, Pava eléctrica, Zona de estar, Perchero de barral, Tetera/Cafetera, Proporciona factura, Zona de comedor exterior, Equitación, Horno, Enchufe cerca de la cama, Silla para bebés, Ventilador, Tour o clase sobre la cultura local, Heladera, Cambio de moneda, Acceso con llave, Parrilla, Toda la unidad está situada en planta baja, Pileta al aire libre, Patio, Tours a pie, Aire acondicionado, Solárium, Habitaciones familiares, Ducha, Check-in/check-out privado, Vista al jardín, Sofá, Entrada privada, Sillas y reposeras, Español, Bidé, TV, Kitchenette, Mesa de comedor, Servicio de lavandería, Servicio de streaming (ej.: Netflix), Sofá cama, Wifi gratis, Bañera o ducha, Toda la unidad es accesible mediante silla de ruedas, Senderismo, Vista, Estacionamiento gratuito, Baño, Armario, Canales de pago, Zona de pícnic, Jardín, Alarma de seguridad, Servicio diario de limpieza, Tostadora, Tours en bici, Toallas, Información turística, Salas de reuniones/banquetes, Ropa de cama, Vista a la pileta, Zona de comedor, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553241845.jpg?k=f8f182f6e14758f61efebe3de20c2878d98671e9bb7c62cd33eee155854a7044&o=&hp=1,Quebrada de las Rosas,Panamá
Incayuyo Cabañas,https://www.booking.com/hotel/ar/incayuyo-cabanas.es.html?aid=2410095,"Incayuyo Cabañas se encuentra en Villa de las Rosas, en la región de Provincia de Córdoba, y ofrece alojamiento con wifi gratis y estacionamiento privado gratis.

Hay una cocina totalmente equipada y un baño privado.

También hay un jardín ideal para relajarse.","Baño privado, Cocina, Calefacción, Utensilios de cocina, Productos de limpieza, Zona de estar, Perchero de barral, Horno, Enchufe cerca de la cama, Heladera, Sofá, Español, Bidé, Kitchenette, Mesa de comedor, Inglés, Mosquitero, Wifi gratis, Bañera o ducha, Vista, Pileta, Papel higiénico, Estacionamiento gratuito, Jardín, Portugués",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568530029.jpg?k=b92f6b8f50acdf478a5fe0a2355a60861d0b680799e876a872bb41cc278fdf2c&o=&hp=1,Quebrada de las Rosas,Panamá
Raíces serranas,https://www.booking.com/hotel/ar/raices-serranas.es.html?aid=2410095,"Raíces serranas está en Villa de las Rosas y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con pileta al aire libre.

La casa de vacaciones ofrece patio, vistas a la montaña, zona de estar, TV de pantalla plana, cocina totalmente equipada con heladera y horno, y baño privado con bidet y secador de pelo. También hay microondas, fogones y hervidor.

El aeropuerto (Aeropuerto de Valle de Conlara) está a 57 km.","Baño privado, Independiente, Cocina, Cama plegable, Ténder para la ropa, Calefacción, Hornalla, Mobiliario exterior, Utensilios de cocina, Vista a la montaña, Productos de limpieza, Pava eléctrica, Pileta privada, Zona de estar, Perchero de barral, Pileta climatizada, Zona de comedor exterior, Horno, Zona poco profunda, Enchufe cerca de la cama, Ventilador, Heladera, Parrilla, Abierta todo el año, Secador de pelo, Toda la unidad está situada en planta baja, Pileta al aire libre, Patio, Aire acondicionado, Ducha, Vista al jardín, Sofá, Entrada privada, Español, Bidé, TV, Mesa de comedor, Mosquitero, Sofá cama, Wifi gratis, Bañera o ducha, Pileta/toallones, Vista, Papel higiénico, Estacionamiento gratuito, Baño, Armario, Canales de pago, Jardín, Microondas, Piso de baldosa/mármol, Pileta con vistas, Vista a un patio interno, Habitaciones para no fumadores, Toallas, Ropa de cama, Vista a la pileta, Zona de comedor, Para todas las edades, Prohibido fumar en todo el establecimiento, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/514539903.jpg?k=c146456cc1aea13c558587beecc6a366cde37fd7c2ea5a43c9936e6d07754405&o=&hp=1,Quebrada de las Rosas,Panamá
