hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hospedaje Mirador Quellón,https://www.booking.com/hotel/cl/hospedaje-diario-y-mensual-economico.es.html?aid=2410095,"Hospedaje Mirador Quellón se encuentra en Quellón y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de salón de uso común y terraza.

La habitación en casa particular ofrece desayuno buffet o continental.

El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 104 km.","Terraza, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Ropa de cama, Zona de fumadores, Información turística, Perchero, Cocina compartida, Desayuno, WiFi gratis, Parking en la calle, Enchufe cerca de la cama, Cámaras de seguridad en las zonas comunitarias, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Toallas, Proporciona factura, Canales por cable, Parking gratis, Zona TV / salón de uso compartido, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493021460.jpg?k=c725f97f3755cb419cc3be9e52addaec4afd01c81b3bfb6d26035f3aef270d28&o=&hp=1,Quellón,Chile
"QUELKUN, FAMILIAR",https://www.booking.com/hotel/cl/quelkun-familiar.es.html?aid=2410095,"QUELKUN, FAMILIAR está en Quellón. Esta habitación en casa particular dispone de parking privado gratis, recepción 24 horas y wifi gratis.

La habitación en casa particular dispone de TV de pantalla plana por cable. Hay toallas y ropa de cama en la habitación en casa particular.

En la habitación en casa particular se sirve cada mañana un desayuno continental.

El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 103 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","TV de pantalla plana, Entretenimiento nocturno, Servicio de lavandería, Extintores, Ropa de cama, Productos de limpieza, Información turística, Zona de comedor, Zona de fumadores, Plancha para ropa, Utensilios de planchado, Plancha para pantalones, Desayuno, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Traslado aeropuerto, Registro de entrada / salida privado, Fax / fotocopiadora, Servicio de despertador, Mobiliario exterior, TV, Español, Calefacción, Microondas, Guardaequipaje, Francés, Servicio de planchado, Ducha, Secadora de ropa, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Cesta para mascotas, Canales por cable, Desayuno en la habitación, Hervidor eléctrico, Seguridad 24 horas, Nevera, Parking gratis, Secador de pelo, Recepción 24 horas, Baño compartido, Habitaciones familiares, Lavadora, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555249674.jpg?k=d48a359bdededa57477016c9570d92770174cf66c605bfdc537055e04256c08b&o=&hp=1,Quellón,Chile
Hotel Mitos,https://www.booking.com/hotel/cl/hostal-mitos.es.html?aid=2410095,"Hotel Mitos está en Quellón y tiene terraza, restaurante y wifi gratis. Algunas unidades del alojamiento tienen un patio con vistas al mar.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En el hotel, las habitaciones disponen de ropa de cama y toallas.

En Hotel Mitos se sirve cada mañana un desayuno a la carta.

El aeropuerto (Aeropuerto de Mocopulli) está a 103 km.","Terraza, TV de pantalla plana, Servicio de lavandería, Libros, DVD o música para niños, Extintores, Ropa de cama, Productos de limpieza, Información turística, WiFi gratis, Enchufe cerca de la cama, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Entrada privada, Suelo de madera o parquet, Prohibido fumar en todo el alojamiento, Español, Calefacción, Sauna, Bañera o ducha, Ducha, Papel higiénico, Toallas, Artículos de aseo gratis, Proporciona factura, Spa y centro de bienestar, Canales por cable, Baño privado, Aseo adicional, Detectores de humo, WC, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/179237936.jpg?k=48b79870b5185157d678732caa6a8f5719fed20e035539c9279fddaf5ecffbe9&o=&hp=1,Quellón,Chile
Hotel Patagonia Insular,https://www.booking.com/hotel/cl/patagonia-insular.es.html?aid=2410095,"El Hotel Patagonia Insular ofrece alojamiento en Quellón.

Las habitaciones incluyen TV de pantalla plana. El baño es privado.

El Hotel Patagonia Insular se encuentra a 5 minutos en coche del ayuntamiento de Quellón y a 5 minutos en coche de un astillero artesanal. El Hotel Patagonia Insular se encuentra a 5 minutos en coche de Hito Cero, un monumento que marca el comienzo de la carretera Panamericana. Castro está a 1 hora en coche.","Terraza, Bar, Snack-bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Escritorio, Información turística, Insonorización, Plancha para pantalones, Vistas a un lugar de interés, Utensilios de planchado, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Juegos de mesa / puzles, Enchufe cerca de la cama, Patio, Bañera, Registro de entrada / salida privado, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Español, Terraza / solárium, Calefacción, Bañera o ducha, Guardaequipaje, Vistas a la ciudad, Servicio de planchado, Ducha, Vistas a un patio interior, Salas de reuniones / banquetes, Armario, Vistas, Toallas, Artículos de aseo gratis, Mesa de comedor, Servicio de limpieza diario, Jardín, Proporciona factura, Canales por cable, WC con barras de apoyo, Cafetería en el alojamiento, Parking gratis, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, WC, Lavamanos más bajo, Habitaciones familiares, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/70746496.jpg?k=707b55330a05a8316ba229c3e3f82c06da68ba7a5679847d3f481537b1ce46c9&o=&hp=1,Quellón,Chile
Alojamiento Danmar,https://www.booking.com/hotel/cl/alojamiento-danmar.es.html?aid=2410095,"Alojamiento Danmar está en Quellón. Hay wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado ofrece acceso directo a un balcón con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El aeropuerto (Aeropuerto de Mocopulli) está a 104 km.","Español, Inglés, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Vistas, Vistas al jardín, Aire acondicionado, Wifi rápida gratis (431 Mbps), Cocina, Lavadora, Calefacción, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/522147383.jpg?k=f3f5dd678c842d08f8f646f57ce4e8b10d69bd9c353f23b0fb748e6a25d68187&o=&hp=1,Quellón,Chile
Casa Miramar,https://www.booking.com/hotel/cl/casa-miramar-quellon.es.html?aid=2410095,"Casa Miramar está en Quellón, en la región de Chiloé, y dispone de patio y vistas a la ciudad. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 3 dormitorios, TV de pantalla plana vía satélite y cocina con microondas.

El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 104 km.","TV de pantalla plana, Llave de acceso, Zona de fumadores, Información turística, Sofá, Servicio de streaming (como Netflix), Patio, Barbacoa, Vistas al mar, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Vistas a la ciudad, Ducha, Mesa de comedor, Toallas, Jardín, Hervidor eléctrico, Parking gratis, WC, Aire acondicionado, Habitaciones familiares, Cocina, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515158789.jpg?k=e5689ace79ab6f3a8c0072f68d5c0e8a55db29b71ed746e9a10c5b53645f25dd&o=&hp=1,Quellón,Chile
Cabaña Coigües Balneario Punta de Lapas,https://www.booking.com/hotel/cl/cabana-coigues.es.html?aid=2410095,"Cabaña Coigües Balneario Punta de Lapas se encuentra en Quellón. Este alojamiento ofrece parking privado gratis y acceso a un patio.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y bañera. Se ofrece TV de pantalla plana con canales vía satélite.

El aeropuerto más cercano (Aeropuerto de Mocopulli) está a 108 km.","TV de pantalla plana, Zona de comedor, Sofá, Enchufe cerca de la cama, Patio, Bañera, Zona de estar, TV, Prohibido fumar en todo el alojamiento, Español, Calefacción, Independiente, Microondas, Bañera o ducha, Utensilios de cocina, Canales vía satélite, Ducha, Mesa de comedor, Vistas, Cafetera, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, WC, Aire acondicionado, Cocina, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/444589459.jpg?k=463b60aa2009208c7c2ce2ec5fd9742d52245ac5554efaedb3a93edafb82212f&o=&hp=1,Quellón,Chile
Lan Küyen,https://www.booking.com/hotel/cl/lan-kuyen.es.html?aid=2410095,"Lan Küyen está en Quellón. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento con aire acondicionado ofrece acceso directo a una terraza con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto de Mocopulli) está a 108 km.","Español, Francés, Parking gratis, Terraza, Inglés, Italiano, Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Calefacción, Vistas, Cocina, Vistas al jardín, Aire acondicionado, WiFi gratis, Lavadora, Zona de cocina, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521052497.jpg?k=eac0627586137d9af249eaa6102d8ff17b313b3be471ebff4863a8bb4d0a76c7&o=&hp=1,Quellón,Chile
Cabanas Neptuno,https://www.booking.com/hotel/cl/cabanas-neptuno.es.html?aid=2410095,"El Cabanas Neptuno ofrece un restaurante y bungalows independientes en Puerto Quellón. También tiene conexión Wi-Fi gratuita.

Los bungalows del Cabanas Neptuno cuentan con calefacción, baño privado, cocina totalmente equipada y vistas a la montaña.

El Cabanas Neptuno alberga un jardín y una terraza. En el establecimiento o en sus inmediaciones se pueden practicar distintas actividades, como senderismo. Se proporciona aparcamiento gratuito.","Terraza, Playa, Tetera / cafetera, TV de pantalla plana, Servicio de lavandería, Situado frente a la playa, Restaurante, Productos de limpieza, Vistas al jardín, Zona de comedor, Información turística, Zona de fumadores, Vistas a un lugar de interés, Sofá, Zona de juegos para niños, WiFi gratis, Enchufe cerca de la cama, Aseo compartido, Patio, Zona de estar, Barbacoa, Entrada privada, Servicio de despertador, Suelo de madera o parquet, Vistas al mar, Horno, Servicio de entrega de comestibles, TV, Español, Independiente, Calefacción, Pesca, Microondas, Bañera o ducha, Utensilios de cocina, Vistas a la ciudad, Guardaequipaje, Ducha, Vistas a un patio interior, Mesa de comedor, Armario, Servicio de aparcacoches, Toallas, Artículos de aseo gratis, Canales de pago, Senderismo, Vistas, Servicio de limpieza diario, Jardín, Proporciona factura, Almuerzos para llevar, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Vistas a la montaña, Tostadora, Secador de pelo, Aseo adicional, Toallas / sábanas (por un suplemento), Recepción 24 horas, Toda la unidad en la planta baja, WC, Aire acondicionado, Habitaciones comunicadas disponibles, Habitaciones familiares, Cocina, Balcón, Servicio de traslado, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/93461768.jpg?k=805338a4bff2ee54010d96778f2207fb12c441f027ee29da2e257a8978cf6c24&o=&hp=1,Quellón,Chile
CABAÑA 325 centro de QUELLON,https://www.booking.com/hotel/cl/cabana-325.es.html?aid=2410095,"CABAÑA 325 centro de QUELLON está en Quellón. Hay parking privado en el propio alojamiento y wifi gratis.

La casa o chalet dispone de 5 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y patio con vistas al jardín.

La casa o chalet ofrece servicio de alquiler de bicicletas.

El aeropuerto (Aeropuerto de Mocopulli) está a 103 km.","TV de pantalla plana, Ropa de cama, Zona de fumadores, Vistas al jardín, Zona de comedor, Información turística, Sofá, WiFi gratis, Patio, Bañera, Zona de estar, Registro de entrada / salida privado, TV, Prohibido fumar en todo el alojamiento, Español, Independiente, Calefacción, Microondas, Bañera o ducha, Utensilios de cocina, Ducha, Vistas a un patio interior, Mesa de comedor, Toallas, Canales por cable, Hervidor eléctrico, Nevera, Parking gratis, Baño privado, Alquiler de bicicletas, Tostadora, WC, Cocina, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/480680665.jpg?k=1ca60691eded91aa2945f76cad888216c520917bab3d008031724af36f1eb22f&o=&hp=1,Quellón,Chile
