hotel,hotel_url,description,popular_facilities,highres_url,city,country
Casa Quepos,https://www.booking.com/hotel/cr/casa-quepos.es.html?aid=2410095,"Casa Quepos se encuentra en Quepos, a 7,5 km de Parque nacional Manuel Antonio, y ofrece alojamiento con jardín, parking privado gratis y salón de uso común. El hostal o pensión está a unos 14 min a pie de Marina Pez Vela y a 22 km de Rainmaker Costa Rica. El hostal o pensión libre de humo cuenta con wifi gratis en todo el alojamiento.

Las habitaciones de este alojamiento incluyen zona de estar. Cada habitación tiene cafetera, y algunas también ofrecen cocina con microondas y fogones. En el hostal o pensión, las habitaciones incluyen ropa de cama y toallas.

Puedes jugar al ping-pong en Casa Quepos.

El aeropuerto más cercano (Aeropuerto de La Managua) está a 5 km del alojamiento.","Papel higiénico, Ropa de cama, Inglés, Aire acondicionado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Toda la unidad en la planta baja, Zona de cocina, Toallas, Snorkel, Servicio de traslado, Guardaequipaje, Ping pong, Zona de fumadores, Nevera, Enchufe cerca de la cama, Servicio de lavandería, Utensilios de cocina, Ducha, Zona de comedor, Jardín, Mobiliario exterior, Cafetera, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Mesa de comedor, Tarjeta de acceso, Información turística, Parking en un garaje, WiFi gratis, Tendedero, Toallas / sábanas (por un suplemento), Zona de estar, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533114101.jpg?k=e75c3cf0e5dddaef8e0f29311ceb7dae21d7a7714d51f865b64834a577adbe40&o=&hp=1,Quepos,Costa Rica
Cheap Hostel Quepos,https://www.booking.com/hotel/cr/cheap-hostel-quepos.es.html?aid=2410095,"Cheap Hostel Quepos está en Quepos, a 14 min a pie de Marina Pez Vela y a 22 km de Rainmaker Costa Rica. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 7,5 km de Parque nacional Manuel Antonio.

Algunas de las habitaciones también disponen de cocina con nevera.

El aeropuerto más cercano (Aeropuerto de La Managua) está a 5 km.","Prohibido fumar en todo el alojamiento, Papel higiénico, Zona TV / salón de uso compartido, WC, Cocina compartida, Ventilador, Enchufe cerca de la cama, Inglés, Ducha, Desayuno, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572976107.jpg?k=2c2a2412a2368b88bcf15a6bbdf4b0d5e25c587c5959d537b2cf799c81cc74b3&o=&hp=1,Quepos,Costa Rica
Apartamentos Frigia QUEPOS,https://www.booking.com/hotel/cr/apartamentos-frigia-quepos-quepos.es.html?aid=2410095,"Apartamentos Frigia QUEPOS se encuentra a 2,7 km de Playa La Macha y ofrece terraza, además de alojamiento con aire acondicionado, balcón y wifi gratis.

Hay una cocina totalmente equipada y un baño privado.

Parque nacional Manuel Antonio está a 7 km del alojamiento, y Marina Pez Vela está a 12 min a pie. El aeropuerto más cercano (Aeropuerto de La Managua) está a 5 km del alojamiento.","Alarma de seguridad, Baño privado, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Seguridad 24 horas, Zona de cocina, Cámaras de seguridad en las zonas comunitarias, Cocina compartida, Terraza, Prohibido fumar en todo el alojamiento, WiFi gratis, Cocina, Habitaciones familiares, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586706501.jpg?k=8642372463f1262e6f73fa564b57fda266101f450be18bb836d2d2f42d9ae415&o=&hp=1,Quepos,Costa Rica
Mochis,https://www.booking.com/hotel/cr/mochis.es.html?aid=2410095,"Mochis se encuentra en Quepos y ofrece alojamiento con terraza y wifi gratis a 8,1 km de Parque nacional Manuel Antonio y a 19 min a pie de Marina Pez Vela.

Todas las unidades cuentan con TV de pantalla plana y cocina totalmente equipada con nevera, tostadora y cafetera.

Rainmaker Costa Rica está a 22 km del alojamiento. El aeropuerto más cercano (Aeropuerto de La Managua) está a 5 km del alojamiento.","Ropa de cama, Papel higiénico, Inglés, Baño privado, Aire acondicionado, Habitaciones sin humo, TV de pantalla plana, Zona de cocina, Toallas, WC, Nevera, Servicio de conserjería, Enchufe cerca de la cama, Utensilios de cocina, Artículos de aseo gratis, Terraza, Zona de comedor, Cafetera, Prohibido fumar en todo el alojamiento, Tostadora, Independiente, WiFi gratis, Cocina, Tendedero, Apartamento privado en edificio, Ventilador, Tetera / cafetera, TV, Habitaciones familiares, Servicio de streaming (como Netflix), Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/497236289.jpg?k=506c83d1a7e1452abc5b191b3be49dd70063915758722e57ead01972f216b4a5&o=&hp=1,Quepos,Costa Rica
Apartamentos Mansión Tropical,https://www.booking.com/hotel/cr/cabinas-mansion-tropical.es.html?aid=2410095,"El Cabinas Mansión Tropical se encuentra en Quepos, a 7 km del parque nacional Manuel Antonio, y ofrece habitaciones con aire acondicionado y aparcamiento privado gratuito.

Las habitaciones del Cabinas Mansión Tropical incluyen cafetera y baño privado con ducha. Hay WiFi gratuita en todas las instalaciones y TV de pantalla plana.

Las tirolinas Canopy están a 1,8 km del Cabinas Mansión Tropical. El aeropuerto internacional Tobías Bolaños es el más cercano y se encuentra a 58 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Inglés, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Secador de pelo, TV de pantalla plana, Canales por cable, Toallas, Hervidor eléctrico, Snorkel, WC, Servicio de traslado, Senderismo, Nevera, Zona de fumadores, Enchufe cerca de la cama, Tours a pie, Ducha, Mobiliario exterior, Cafetera, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Información turística, Extintores, Parking en un garaje, WiFi gratis, Tetera / cafetera, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248924964.jpg?k=eba966f8a71a207cba7f603dc91f18682cd9c07b6136c0ac2545b415ad199e48&o=&hp=1,Quepos,Costa Rica
Miguel Surf Camp,https://www.booking.com/hotel/cr/miguel-surf-camp.es.html?aid=2410095,"Miguel Surf Camp está en Quepos, en la región de Puntarenas, a 3,5 km de Isla Damas. Ofrece alojamiento con wifi gratis, zona de barbacoa, jardín y parking privado gratis.

Algunos alojamientos incluyen una terraza con vistas al mar, zona de cocina totalmente equipada y baño compartido con ducha.

El camping ofrece servicio de alquiler de coches.

El aeropuerto (Aeropuerto de La Managua) está a 7 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Inglés, Portugués, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Desayuno en la habitación, Sombrillas, Wifi básica gratis (9 Mbps), Zona de juegos interior, Playa, Cocina compartida, Tours en bici, Barbacoa, Servicio de traslado, Masajes, Baños públicos, Guardaequipaje, Senderismo, Equipamiento de juegos para exterior, Canguro / servicios para niños, Terraza, Tours a pie, Italiano, Situado frente a la playa, Jardín, Mobiliario exterior, Baño al aire libre, Zona privada de playa, Equitación, Servicio de entrega de comestibles, Zona de pícnic, Clases de cocina, Piragüismo, Tour o clase sobre cultura local, Fruta, Estación de carga de vehículos eléctricos, Alquiler de coches, Parking en un garaje, Submarinismo, Habitaciones familiares, Pesca, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/276684900.jpg?k=d5432f0c2b4b53033d9cc3a304a22bef77e19f02eee8bed90504e0fc704bc16d&o=&hp=1,Quepos,Costa Rica
Apartamentos Morpho CR 2,https://www.booking.com/hotel/cr/apartamentos-morpho-cr-2-quepos.es.html?aid=2410095,"Apartamentos Morpho CR 2 está en Quepos y ofrece alojamiento con salón de uso común y wifi gratis a 2,9 km de Playa La Macha y a 7,7 km de Parque nacional Manuel Antonio.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales por cable y baño compartido con ducha y artículos de aseo gratuitos. Todas las unidades tienen aire acondicionado e incluyen zona de estar y/o de comedor.

Marina Pez Vela está a 1,7 km del alojamiento, y Rainmaker Costa Rica está a 22 km. El aeropuerto (Aeropuerto de La Managua) está a 5 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Accesible para personas sordas, Ropa de cama, Papel higiénico, Inglés, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Canales por cable, Toda la unidad en la planta baja, Zona de cocina, Sofá cama, Cámaras de seguridad en las zonas comunitarias, Wifi buena gratis (29 Mbps), Toallas, Baño compartido, Bañera o ducha, Plancha para ropa, Cocina compartida, WC, Snorkel, Servicio de traslado, Aseo compartido, Senderismo, Nevera, Servicio de conserjería, Plancha para pantalones, Sofá, Servicio de lavandería, Utensilios de cocina, Artículos de aseo gratis, Ducha, Servicio de planchado, Zona de comedor, Servicio de limpieza en seco, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Independiente, Mesa de comedor, Servicio de entrega de comestibles, Acceso a pisos superiores solo mediante escaleras, Parking privado, Servicio de limpieza diario, Microondas, Registro de entrada y salida exprés, Cocina, Apartamento privado en edificio, Ventilador, Perchero, Productos de limpieza, Zona de estar, Tetera / cafetera, TV, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248513002.jpg?k=d34df492a02159d0897b27bbebea48296907eb75ced49f218b53a1498d82ccbb&o=&hp=1,Quepos,Costa Rica
Villas Jacquelina,https://www.booking.com/hotel/cr/villas-jacquelina-hostel-amp-mini-spa.es.html?aid=2410095,"El Hotel Villas Jacquelina es un hotel boutique ecológico situado en Quepos que ofrece vistas a las montañas, piscina, WiFi gratuita y cocina compartida. Se sirven desayunos locales e internacionales a diario.

El establecimiento puede organizar actividades a la llegada, como pesca deportiva y excursiones de aventura como tirolina, rafting, vela, salto en cascada y cuatrimoto, entre otras actividades.

El Hotel Villas Jacquelina se encuentra a 1 km del centro de Quepos y a 6 km de las playas de Manuel Antonio.

El hotel está situado a 15 minutos en coche del aeropuerto local de Quepos y a 2 horas y media en coche del aeropuerto internacional Juan Santamaría.","Cámaras de seguridad fuera del alojamiento, Gimnasio, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Cámaras de seguridad en las zonas comunitarias, Cocina compartida, Abierta todo el año, Parking adaptado para personas de movilidad reducida, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona de pícnic, Parking en la calle, Servicio de limpieza diario, Información turística, Extintores, Piscina al aire libre, WiFi gratis, Terraza / solárium, Habitaciones familiares, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/345089329.jpg?k=ee66ec44746729cc733bb377a6fef6491befbe8404f7ddc23db20318a9874c99&o=&hp=1,Quepos,Costa Rica
The Jungle Container,https://www.booking.com/hotel/cr/the-jungle-container.es.html?aid=2410095,"The Jungle Container está a 8,4 km de Parque nacional Manuel Antonio y ofrece terraza, además de alojamiento con patio y wifi gratis.

Las unidades tienen zona de cocina totalmente equipada con nevera, cafetera y microondas. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Marina Pez Vela está a 2,1 km del alojamiento, y Rainmaker Costa Rica está a 22 km. El aeropuerto más cercano (Aeropuerto de La Managua) está a 4 km.","Papel higiénico, Ropa de cama, Aire acondicionado, Habitaciones sin humo, Zona de comedor exterior, Juegos de mesa / puzles, Patio, Toda la unidad en la planta baja, Zona de cocina, Toallas, Nevera, Enchufe cerca de la cama, Servicio de lavandería, Utensilios de cocina, Terraza, Cafetera, Prohibido fumar en todo el alojamiento, Piscina pequeña, Microondas, Piscina al aire libre, Wifi rápida gratis (66 Mbps), Tendedero, Toallas / sábanas (por un suplemento), Productos de limpieza, Zona de estar, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506925507.jpg?k=a3bd287288134fe87460be32d04a4a44ec1f50d4b209d3c6d8809fdd94c85c49&o=&hp=1,Quepos,Costa Rica
Guest House Pura Vida,https://www.booking.com/hotel/cr/habitacion-pura-vida.es.html?aid=2410095,"El establecimiento se encuentra a 2 km del centro de Quepos y a 10 km de Costa Rica, y ofrece aparcamiento privado gratuito y WiFi gratuita en todas las instalaciones.

Las habitaciones tienen agua caliente, ventilador y baño privado o compartido. El establecimiento puede organizar excursiones por la zona.

El parque Manuel Antonio está a 15 minutos en coche. El aeropuerto internacional Tobías Bolaños está a 57 km. El aeropuerto local está a 4 km, en Colinas del Este. El supermercado Pali está a 1,5 km. Se puede llegar a San José en coche a las 3:00.","Papel higiénico, Ropa de cama, Inglés, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Toallas, Bañera o ducha, Snorkel, Cocina compartida, Servicio de traslado, Guardaequipaje, Senderismo, Zona de fumadores, Servicio de conserjería, Buen desayuno, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Jardín, Mobiliario exterior, Información turística, Alquiler de coches, WiFi gratis, Ventilador, Terraza / solárium, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/337990076.jpg?k=077a28212513f99ca928acbbbc6ead7b5ba01bc5b9459198dbd43039afe42e26&o=&hp=1,Quepos,Costa Rica
