hotel,hotel_url,description,popular_facilities,highres_url,city,country
PUEBLITO MAGICO,https://www.booking.com/hotel/ec/pueblito-magico.es.html?aid=2410095,"PUEBLITO MAGICO dispone de jardín, terraza, restaurante y bar en Montalvo. Hay vistas al jardín.

En la posada u hostería, cada habitación tiene armario. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos.

En la recepción 24 horas se hablan varios idiomas, como inglés, español y francés.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 172 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Piscina, Recepción 24 horas, Inglés, Baño privado, Jardín, Aire acondicionado, Armario, Perchero, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Parque acuático, Vistas al jardín, WC, Francés, Bar, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549080086.jpg?k=a69db7885a92b6424b98d03a818c60db9578f2ea70665738a0c84407de63e815&o=&hp=1,Quero,Ecuador
Casa de Campo Quinta EL Paraíso,https://www.booking.com/hotel/ec/casa-de-campo-quinta-el-paraiso-ambato.es.html?aid=2410095,"Casa de Campo Quinta EL Paraíso está en Ambato y dispone de vistas a la ciudad, jardín, salón de uso común y bar. En el apartamento, tanto el wifi como el parking privado son gratis.

Cada unidad dispone de patio con vistas a la montaña, TV de pantalla plana, zona de comedor, cocina bien equipada y baño privado con ducha.

En Casa de Campo Quinta EL Paraíso se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 170 km.","Desayuno, Sombrillas, Almuerzos para llevar, Prohibido fumar en todo el alojamiento, Baños públicos, Alarma de seguridad, Habitaciones sin humo, Senderismo, Recepción 24 horas, Cenas temáticas, Calefacción, Baño privado, Jardín, Extintores, TV, Cocina, Tour o clase sobre cultura local, Información turística, Snack-bar, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Registro de entrada / salida privado, Servicio de conserjería, Patio, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Mesa de comedor, Zona de cocina, Zona de pícnic, Barbacoa, Mobiliario exterior, Pesca, Tours a pie, Vistas a la montaña, Llave de acceso, Equitación, Vistas al jardín, Salas de reuniones / banquetes, Piscina infantil, Bar, Zona de comedor, TV de pantalla plana, Habitaciones familiares, Español, Vistas a la ciudad, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570835362.jpg?k=2e8187416292fbb45e0265cf475cadd8f4c4d22305c085aa8dc0f25a235d3253&o=&hp=1,Quero,Ecuador
Hotel Versailles,https://www.booking.com/hotel/ec/versailles.es.html?aid=2410095,"El Hotel Versailles se encuentra a 5 km del centro de Ambato y ofrece una bañera de hidromasaje, un restaurante y habitaciones funcionales con vistas a las montañas. Cuenta con conexión Wi-Fi gratuita y aparcamiento gratuito.

Las habitaciones del Hotel Versailles presentan una decoración funcional. Disponen de escritorio, TV vía satélite y baño privado con ducha. La tarifa incluye un desayuno americano.

El Hotel Versailles tiene un bar, instalaciones para reuniones y recepción las 24 horas, donde se proporciona información turística. También hay un servicio de enlace con el aeropuerto, disponible por un suplemento.

El Hotel Versailles está situado a 50 km del aeropuerto internacional de Cotopaxi, a 1 hora en coche del volcán Cotopaxi y a 2 horas en coche de Quito.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Suelo de madera o parquet, Lavamanos más bajo, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Parking gratis, Parking en un garaje, Buen desayuno, Servicio de habitaciones, Proporciona factura, Restaurante, Servicio de entrega de comestibles, Cafetería en el alojamiento, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Cuerda de emergencia en el baño, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Escritorio, Salas de reuniones / banquetes, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Karaoke, Zona de pícnic, Vistas a la montaña, Vistas al jardín, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Francés, Bar, TV de pantalla plana, Toallas, Español, Zona de fumadores, Vistas, Recepción 24 horas, Inglés, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Fruta, Ducha, Servicio de despertador, Servicio de lavandería, Vistas a la ciudad, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/193480672.jpg?k=74888fab44d3e6407cc502655c57bb365b66ed205b87cef02751b2acf6902b49&o=&hp=1,Quero,Ecuador
Habitación en Casa de Campo,https://www.booking.com/hotel/ec/habitacion-en-casa-de-campo.es.html?aid=2410095,"Habitación en Casa de Campo se encuentra en Ambato y dispone de jardín. Hostal o pensión ofrece parking privado gratis y wifi gratis.

En el hostal o pensión, cada habitación tiene baño privado con ducha.

En Habitación en Casa de Campo se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 170 km del alojamiento.","Desayuno, Jardín, Prohibido fumar en todo el alojamiento, Parking gratis, Baño privado, Vistas a la montaña, Vistas, Español, Inglés, Calefacción, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582914254.jpg?k=7b4e5b13ea42767af13af50176115290231c166282a537a90d22bcf62a5f9704&o=&hp=1,Quero,Ecuador
Jardines Ambato,https://www.booking.com/hotel/ec/apartahotel.es.html?aid=2410095,"Jardines Ambato dispone de jardín, salón de uso común, terraza y bar en Ambato. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

Todas las habitaciones están equipadas con baño privado, algunas ofrecen balcón y otras también disponen de vistas a la ciudad.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 159 km del alojamiento.","Desayuno, Terraza, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Caja fuerte, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Inglés, Calefacción, Baño privado, Jardín, Extintores, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Cocina compartida, Proporciona factura, Mobiliario exterior, Taquillas, Llave de acceso, Gimnasio, Guardaequipaje, Portugués, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Francés, Bar, Habitaciones familiares, Español, Parking privado, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495180397.jpg?k=578da3c4ece5c10938d89d6a2dd466bde3d1fe1c5b5304eda995c5c0a5221dc4&o=&hp=1,Quero,Ecuador
Hostal Casa del Valle,https://www.booking.com/hotel/ec/hostal-casa-del-valle.es.html?aid=2410095,"Hostal Casa del Valle se encuentra en Hacienda Pitula. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, todas las habitaciones cuentan con baño privado y ducha, y algunas también ofrecen balcón.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 180 km.","Terraza, Wifi buena gratis (16 Mbps), WC, Prohibido fumar en todo el alojamiento, Parking gratis, Toallas, Vistas, Vistas a la ciudad, Español, Inglés, Baño privado, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/487024466.jpg?k=201208c46f7029138c1a64d7304c6e6015882601ceeb7330867e024b25f371b3&o=&hp=1,Quero,Ecuador
Hotel Miraflores,https://www.booking.com/hotel/ec/miraflores-ambato123.es.html?aid=2410095,"Hotel Miraflores dispone de jardín, salón de uso común, terraza y restaurante en Ambato. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El bar es ideal para tomar algo.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. El baño privado está equipado con bañera o ducha, artículos de aseo gratuitos y secador de pelo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 159 km.","Secador de pelo, Terraza, Alarma de seguridad, Bañera o ducha, Toallas / sábanas (por un suplemento), Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Desayuno fantástico, Extintores, Vino / champán, Menú para niños, Parking gratis, Zona TV / salón de uso compartido, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Proporciona factura, Buffet para niños, Desayuno en la habitación, Servicio de despertador, Servicio de lavandería, Bar, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/317952538.jpg?k=6e205454f91e09e4a3e358ed98ad8b8a8bd968581b4d45fa8fad71fbc2355064&o=&hp=1,Quero,Ecuador
Hotel Seny,https://www.booking.com/hotel/ec/seny-vip.es.html?aid=2410095,"Hotel Seny se encuentra en Ambato. Este hotel de 3 estrellas ofrece recepción 24 horas, servicio de conserjería y wifi gratis. Algunas habitaciones del alojamiento incluyen un patio con vistas a la ciudad.

En el hotel se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 158 km del alojamiento.","Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Recepción 24 horas, Inglés, Desayuno fantástico, Extintores, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Parking en un garaje, Seguridad 24 horas, WiFi gratis, Detectores de humo, Proporciona factura, Servicio de aparcacoches, Mobiliario exterior, Habitaciones insonorizadas, Llave de acceso, Servicio de planchado, Habitaciones hipoalergénicas, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/185575829.jpg?k=10960f1703e07b5dc784ce1753c153ee86a0889d598cded1c4dd3e85712056fb&o=&hp=1,Quero,Ecuador
Floresta Inn Hotel,https://www.booking.com/hotel/ec/floresta-inn.es.html?aid=2410095,"Floresta Inn Hotel ofrece alojamiento en Ambato. Este alojamiento, que tiene recepción 24 horas, también ofrece restaurante. El hotel también dispone de wifi gratis y parking privado gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las habitaciones tienen baño privado con ducha y artículos de aseo gratuitos.

En el hotel se puede disfrutar de un desayuno continental.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 160 km.","WC, Zona de comedor exterior, Prohibido fumar en todo el alojamiento, Baños públicos, Parking gratis, Baño privado, TV de pantalla plana, Toallas, Muy buen desayuno, Habitaciones familiares, Guardaequipaje, Español, Recepción 24 horas, Inglés, Artículos de aseo gratis, WiFi gratis, Ducha, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/427461888.jpg?k=768615ae2d781ebff5d81c64304c9cc0a445a7749a56f1660ae8ad232a6e0177&o=&hp=1,Quero,Ecuador
4 Suite Balcón estelar Ambato,https://www.booking.com/hotel/ec/cuarto-independiente-con-sala-de-estar-ambato.es.html?aid=2410095,"4 Suite Balcón estelar Ambato se encuentra en Ambato y ofrece alojamiento con jardín, wifi gratis, cocina compartida y recepción 24 horas. Este alojamiento ofrece parking privado gratis y acceso a una terraza.

El apartamento cuenta con 1 dormitorio, una cocina con nevera y microondas, y 1 baño con ducha y bañera. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 159 km del alojamiento.","Terraza, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Extintores, Cocina, Armario, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Patio, WiFi gratis, Cocina compartida, Ducha, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Proporciona factura, Bañera, Sofá, Vistas a un patio interior, Secadora de ropa, Llave de acceso, Vistas al jardín, WC, Microondas, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Balcón, Toallas, Lavadora, Habitaciones familiares, Español, Vistas a la ciudad, Nevera, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581648639.jpg?k=7e90b1bfb117b37cc9ffa0978f8639039ef61221a644336fbf6cd76ce9ba4d7d&o=&hp=1,Quero,Ecuador
