hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Villa Santa Ana,https://www.booking.com/hotel/pe/villa-santa-ana.es.html?aid=2410095,"Hotel Villa Santa Ana ofrece alojamiento en Quillabamba. Este hotel de 2 estrellas tiene wifi gratis, jardín y terraza. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación cuenta con un patio con vistas al jardín. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también tienen vistas a la ciudad. En Hotel Villa Santa Ana, todas las habitaciones tienen TV de pantalla plana con canales por cable.

El aeropuerto (Aeropuerto internacional Alejandro Velasco Astete) está a 204 km.","Protector de enchufes para niños, Prohibido fumar en todo el alojamiento, Vistas al jardín, Servicio de planchado, Plancha para pantalones, Aseo adicional, Accesible para personas sordas, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Toda la unidad en la planta baja, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Acceso a pisos superiores en ascensor, Toallas, Información turística, Jardín, Artículos de aseo gratis, Fax / fotocopiadora, Ascensor, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Español, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Tendedero, Guardaequipaje, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/301964374.jpg?k=9efbb619f24cd0c2d6e63f0a971aa6d7b757cdf5f41ffd0ca13e87ae73b186dd&o=&hp=1,Quillabamba,Perú
Hotel Purakilla,https://www.booking.com/hotel/pe/purakilla-quillabamba.es.html?aid=2410095,"Hotel Purakilla se encuentra en Quillabamba y dispone de jardín. Todas las opciones de alojamiento de este hotel de 3 estrellas tienen vistas a la piscina, terraza y piscina cubierta. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hotel, todas las habitaciones tienen escritorio y TV de pantalla plana. Hotel Purakilla ofrece algunas unidades con caja fuerte, y todas tienen baño privado con ducha y artículos de aseo gratuitos.

El personal de recepción habla tanto inglés como español y está dispuesto a ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 203 km.","Playa, Prohibido fumar en todo el alojamiento, Piscina climatizada, Servicio de planchado, Plancha para pantalones, Sombrillas, Servicio de limpieza diario, Perchero, Terraza, Caja fuerte, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Toda la unidad en la planta baja, Vistas a la piscina, Detectores de humo, WiFi gratis, Inglés, Para todas las edades, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Servicio de habitaciones, Toallas, Toallas de playa/piscina, Jardín, Artículos de aseo gratis, Juguetes para la piscina, Abierta todo el año, Español, Baño privado, Aire acondicionado, Valla alrededor de la piscina, Balcón, Habitaciones sin humo, Vistas, Extintores, Piscina interior, Recepción 24 horas, Escritorio, TV de pantalla plana, Parking privado, Ducha, Ventilador, Horario de apertura, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576901468.jpg?k=8a57cb00a80db38c154e3b20250574b6ac9e5ad359213d200945ec83bd7edb73&o=&hp=1,Quillabamba,Perú
Casa Verde,https://www.booking.com/hotel/pe/casa-verde-quillabamba.es.html?aid=2410095,"Casa Verde se encuentra en Quillabamba y dispone de vistas al jardín, wifi gratis y parking privado gratis.

Hay una zona de cocina totalmente equipada y un baño compartido.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 203 km del alojamiento.","Prohibido fumar en todo el alojamiento, Vistas al jardín, Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Servicio de limpieza diario, Vistas a un patio interior, Papel higiénico, Servicio de lavandería, Toda la unidad en la planta baja, Utensilios de cocina, WiFi gratis, Inglés, Tetera/cafetera en todas las habitaciones, Nevera, WC, Libros, DVD o música para niños, Jardín, Microondas, Juegos de mesa / puzles, Español, Habitaciones sin humo, Vistas, Habitaciones familiares, Extintores, Zona de pícnic, Baño compartido, Ropa de cama, Tetera / cafetera, Adaptado para sillas de ruedas, Ducha, Adaptado personas de movilidad reducida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539730834.jpg?k=9b09fedcf8791f05d54e6bddfc1c82ac8618812c2dd0fffcd82412eb422291cb&o=&hp=1,Quillabamba,Perú
Casa Plaza Bolívar,https://www.booking.com/hotel/pe/casa-plaza-bolivar-quillabamba11.es.html?aid=2410095,"Casa Plaza Bolívar está en Quillabamba y ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis, jardín y salón de uso común.

En el bed and breakfast se sirve todas las mañanas un desayuno americano.

Hay terraza en el propio alojamiento, y cerca se puede practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 203 km.","Registro de entrada y salida exprés, Barbacoa, Muy buen desayuno, Parking gratis, Sombrillas, Tours en bici, Cambio de moneda, Llave de acceso, Traslado aeropuerto, Perchero, Happy hour, Terraza, Salas de reuniones / banquetes, Caja fuerte, Tour o clase sobre cultura local, Armario, Papel higiénico, Cocina compartida, Seguridad 24 horas, Habitaciones hipoalergénicas, Mobiliario exterior, Alquiler de bicicletas, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Piscina pequeña, Para todas las edades, Inglés, Baños públicos, Alquiler de coches, Canales por cable, Servicio de traslado, Proporciona factura, Aeróbic, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Tumbonas/sillas de playa, Terraza / solárium, Toallas, Snack-bar, Jardín, Registro de entrada / salida privado, Información turística, Centro de negocios, Zona de fumadores, Tours a pie, Abierta todo el año, Clases de cocina, Baño privado, Horario de apertura, Español, Bingo, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Zona de pícnic, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Traslado aeropuerto (gratis), Ventilador, Desayuno en la habitación, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524926178.jpg?k=5ff30af800ed6ea6e755e4e7d5b74e0f65d36db589f9090a2bd302deeade8041&o=&hp=1,Quillabamba,Perú
Hotel Megantoni,https://www.booking.com/hotel/pe/megantoni-quillabamba.es.html?aid=2410095,"Hotel Megantoni, en Quillabamba, ofrece alojamiento de 3 estrellas con jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones cuentan con escritorio y TV de pantalla plana. En Hotel Megantoni, cada habitación dispone de baño privado y ducha, y algunas también ofrecen balcón. Todas las habitaciones tienen armario.

El personal de recepción siempre está dispuesto a ofrecer consejos.

El aeropuerto (Aeropuerto internacional Alejandro Velasco Astete) está a 202 km.","Prohibido fumar en todo el alojamiento, Zona de comedor, Parking gratis, Perchero, Terraza, Armario, Papel higiénico, WiFi gratis, Toallas / sábanas (por un suplemento), WC, Toallas, Jardín, Español, Baño privado, Habitaciones sin humo, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/497457966.jpg?k=2761f6f8164cfc4b4e4d323c855001ede362d6a7a1a1bb380ac7c03fd72f957e&o=&hp=1,Quillabamba,Perú
Eco Hotel Villa Suites,https://www.booking.com/hotel/pe/eco-villa-leon.es.html?aid=2410095,"Eco Hotel Villa Suites tiene jardín, terraza, restaurante y bar en Quillabamba. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones están equipadas con balcón.

En Eco Hotel Villa Suites se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 206 km.","Entretenimiento nocturno, Servicio de planchado, Plancha para pantalones, Desayuno, Parking gratis, Servicio de limpieza diario, Salas de reuniones / banquetes, Happy hour, Terraza, Tour o clase sobre cultura local, Seguridad 24 horas, Servicio de lavandería, Bar, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Servicio de habitaciones, Terraza / solárium, Vino / champán, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Información turística, Centro de negocios, Zona de fumadores, Bañera de hidromasaje / jacuzzi, Bañera, Español, Balcón, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vistas, Música / espectáculos en directo, Extintores, Zona de pícnic, Recepción 24 horas, Guardaequipaje, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/470933356.jpg?k=8c93a4bc37998ff506e6a41b1ce92d44467c829c3aba19b4c2b667c8009b8d47&o=&hp=1,Quillabamba,Perú
Gran Hotel Panorama,https://www.booking.com/hotel/pe/gran-panorama.es.html?aid=2410095,"Gran Hotel Panorama dispone de piscina al aire libre, jardín, salón de uso común y bar en Quillabamba. Todas las opciones de alojamiento de este hotel de 3 estrellas tienen vistas a la ciudad y piscina cubierta. El alojamiento ofrece servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades disponen de armario.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 202 km.","Parking en un garaje, Utensilios de planchado, Parking gratis, Italiano, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Caja fuerte, Bar, WiFi gratis, TV, Inglés, WC, Canales por cable, Servicio de habitaciones, 2 piscinas, Acceso a pisos superiores en ascensor, Toallas, Jardín, Cafetería en el alojamiento, Centro de negocios, Ascensor, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Baño privado, Español, Vistas a la ciudad, Máquina expendedora (bebidas), Enchufe cerca de la cama, Vistas, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Buen desayuno, Ducha, Ventilador, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/176088876.jpg?k=7cc499aab1890ba850b59be72832914c9355c89239171dac86e88a8900f63ba1&o=&hp=1,Quillabamba,Perú
Hotel COCA KINTU,https://www.booking.com/hotel/pe/hospedaje-coca-kintu.es.html?aid=2410095,"Hotel COCA KINTU se encuentra en Quillabamba y dispone de salón de uso común, terraza, restaurante y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Cada habitación tiene baño privado con ducha, algunas ofrecen balcón y otras también ofrecen vistas al río.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 206 km del alojamiento.","Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Llave de acceso, Servicio de limpieza diario, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Baños públicos, Alarma de seguridad, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Estación de carga de vehículos eléctricos, Toallas, Registro de entrada / salida privado, Almuerzos para llevar, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Zona TV / salón de uso compartido, Extintores, Supermercado pequeño en el alojamiento, Recepción 24 horas, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583587523.jpg?k=34195bf3ec08f4c10a119226b15c14df20db9ffcfa3d4ae33df1f7c26ce213db&o=&hp=1,Quillabamba,Perú
Habitación Céntrica Quillabamba,https://www.booking.com/hotel/pe/habitacion-centrica-quillabamba.es.html?aid=2410095,"Habitación Céntrica Quillabamba es un alojamiento con wifi gratis y vistas a la ciudad que se encuentra en Quillabamba.

La habitación en casa particular cuenta con TV de pantalla plana.

En la habitación en casa particular se sirve todos los días un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 203 km del alojamiento.","Armario, Papel higiénico, Vistas, Prohibido fumar en todo el alojamiento, Mesa de comedor, WiFi gratis, Inglés, Desayuno, TV de pantalla plana, Parking gratis, WC, Ducha, Español, Vistas a la ciudad, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583574132.jpg?k=b8aa25d9ed19ef27bd28c32b4a3873da13a7320721ea407b931b43756a450486&o=&hp=1,Quillabamba,Perú
Hotel Burj Khalifa,https://www.booking.com/hotel/pe/burj-khalifa.es.html?aid=2410095,"Hotel Burj Khalifa, en Quillabamba, ofrece alojamiento de 3 estrellas con piscina al aire libre, terraza y bar. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación cuenta con armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También disponen de wifi gratis, y algunas de las habitaciones disponen de vistas a la ciudad. En Hotel Burj Khalifa, todas las habitaciones disponen de TV de pantalla plana con canales por cable.

En el alojamiento, la clientela puede disfrutar de bañera de hidromasaje.

El aeropuerto más cercano (Aeropuerto internacional Alejandro Velasco Astete) está a 203 km.","Desayuno, Piscina con vistas, Parking gratis, Baño al aire libre, Servicio de limpieza diario, Terraza, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Bar, Servicio de conserjería, WiFi gratis, TV, Piscina pequeña, Para todas las edades, Alarma de seguridad, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Ascensor, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Horario de apertura, Baño privado, Aire acondicionado, Español, Valla alrededor de la piscina, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Extintores, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ducha, Desayuno en la habitación, Piscina en la azotea, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495885226.jpg?k=4ee2486bffaa6c422cfba82513133702836d8d4f81fcbf8ac64de61416cef651&o=&hp=1,Quillabamba,Perú
