hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Campestre Villa Kimpy - Eje Cafetero - Quindio,https://www.booking.com/hotel/co/campestre-villa-kimpy-eje-cafetero-quindio.es.html?aid=2410095,"Hotel Campestre Villa Kimpy - Eje Cafetero - Quindio está en Quimbaya, a 43 km de Ukumari Zoo, y dispone de alojamiento con piscina al aire libre, parking privado, jardín y restaurante. El alojamiento dispone de bar y se encuentra a 11 km de Parque Nacional de la Cultura Agropecuaria (PANACA). El alojamiento ofrece recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, cada habitación está equipada con un patio con vistas al jardín. En Hotel Campestre Villa Kimpy - Eje Cafetero - Quindio, las habitaciones cuentan con baño privado y ropa de cama.

En el alojamiento se puede disfrutar de un desayuno americano.

Parque Nacional del Café está a 13 km del alojamiento, y Estadio Hernán Ramírez Villegas está a 36 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 30 km.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Jardín, Patio, Ropa de cama, WiFi gratis, Ducha, Parking privado, Piscina al aire libre, Vistas al jardín, Para todas las edades, Bar, Restaurante, Abierta todo el año, Toallas, Habitaciones familiares, Zona poco profunda, Español, Toda la unidad en la planta baja, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577284842.jpg?k=b8734ca9c9786af4a7ffc744ca3b2f71500e6001931de88471560a10b7e68652&o=&hp=1,Quimbaya,Colombia
FINCA HOTEL JARDIN CAFETERO DEL QUINDIO,https://www.booking.com/hotel/co/finca-jardin-cafetero-del-quindio.es.html?aid=2410095,"FINCA HOTEL JARDIN CAFETERO DEL QUINDIO se encuentra en Quimbaya, a 46 km de Ukumari Zoo, y ofrece piscina al aire libre, habitaciones libres de humo, wifi gratis en todo el alojamiento y jardín. Este hotel de 3 estrellas ofrece servicio de habitaciones. Hay parking privado en el propio alojamiento.

En el hotel se sirve todas las mañanas un desayuno americano.

Parque Nacional del Café está a 12 km del alojamiento, y Parque Nacional de la Cultura Agropecuaria (PANACA) está a 14 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 29 km.","Desayuno, Horario de apertura, Prohibido fumar en todo el alojamiento, Abierta todo el año, Servicio de habitaciones, Piscina al aire libre, Habitaciones sin humo, Habitaciones familiares, Español, Zona poco profunda, WiFi gratis, Jardín, Parking privado, Para todas las edades",https://cf.bstatic.com/xdata/images/hotel/max1024x768/543723021.jpg?k=364dc1000d42dab96675d04ccdf979c2eacc295afcaf85082550fcce8663cad7&o=&hp=1,Quimbaya,Colombia
Hotel Campestre Atardecer Cafetero,https://www.booking.com/hotel/co/eco-campestre-atardecer-cafetero.es.html?aid=2410095,"Hotel Campestre Atardecer Cafetero está en Quimbaya, a 41 km de Ukumari Zoo, y dispone de alojamiento con piscina al aire libre, parking privado, jardín y terraza. Este alojamiento, que tiene servicio de conserjería, también ofrece zona de juegos infantil. El restaurante sirve platos de cocina americana y el bar es ideal para tomar algo.

En el hotel, las habitaciones disponen de TV de pantalla plana, baño privado y un patio con vistas a la montaña.

Se puede jugar al billar, al ping-pong y a los dardos en Hotel Campestre Atardecer Cafetero, y la zona es ideal para practicar senderismo.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 11 km del alojamiento, y Parque Nacional del Café está a 19 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 36 km.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Vistas a la piscina, Senderismo, Noches de cine, Lavamanos más bajo, Baño privado, Jardín, Centro de negocios, Extintores, Tour o clase sobre cultura local, Equipamiento de juegos para exterior, Masaje de pies, Zona de juegos interior, Mobiliario exterior, Bañera, Masaje de cabeza, Baño al aire libre, Restaurante, Piscina con vistas, Masaje de espalda, Sala de juegos, Entretenimiento nocturno, Cenas temáticas, Solárium, Cámaras de seguridad en las zonas comunitarias, Patio, Música / espectáculos en directo, Comedia en vivo, Piscina al aire libre, Vistas a un patio interior, Llave de acceso, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Masaje de cuello, Adaptado personas de movilidad reducida, Habitaciones familiares, Sombrillas, Parking privado, Papel higiénico, Juegos de mesa / puzles, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Masaje de manos, Adaptado para sillas de ruedas, Desayuno fantástico, TV, Masajes, Piscina pequeña, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Vistas a un lugar de interés, Karaoke, Aeróbic, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Barbacoa, Vistas a la montaña, Vistas al jardín, WC, Terraza / solárium, Bar, TV de pantalla plana, Español, Zona de fumadores, Dardos, Zona de juegos para niños, Baños públicos, Vistas, Masaje en pareja, Vino / champán, Piscina infinita, Información turística, Servicio de conserjería, Ping pong, Menús para dietas especiales (bajo petición), Ducha, Plancha para ropa, Para todas las edades, Servicio de lavandería, Masaje corporal completo, Piscina infantil, Billar, Abierta todo el año, Tumbonas/sillas de playa, Zona poco profunda, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563610646.jpg?k=6afb7e202bbc14fa608809781c5bf3a78f7ca1e6a629b59f686f2b8e0d28aac9&o=&hp=1,Quimbaya,Colombia
PARIS. HOTEL,https://www.booking.com/hotel/co/paris-quimbaya-quindio.es.html?aid=2410095,"PARIS. HOTEL se encuentra en Quimbaya, a 38 km de Ukumari Zoo y a 7,7 km de Parque Nacional de la Cultura Agropecuaria (PANACA). Ofrece alojamiento con salón de uso común y wifi gratis en todo el alojamiento, además de parking privado gratis. Este hotel de 4 estrellas ofrece servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo está a 15 km de Parque Nacional del Café.

En el hotel, cada habitación tiene armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Estadio Hernán Ramírez Villegas está a 31 km del alojamiento, y Villa Olímpica de Pereira está a 31 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 33 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cafetería en el alojamiento, Bañera o ducha, Toallas / sábanas (por un suplemento), Canales de pago, Adaptado para sillas de ruedas, Recepción 24 horas, Cenas temáticas, Baño privado, Aire acondicionado, Extintores, WC con barras de apoyo, TV, Armario, Tour o clase sobre cultura local, Traslado aeropuerto, Snack-bar, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, Servicio de traslado, Galerías de arte temporales, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Alquiler de coches, Música / espectáculos en directo, Plancha para ropa, Productos de limpieza, Canales por cable, Tours a pie, Habitaciones insonorizadas, Aseo adicional, Canguro / servicios para niños, Servicio de despertador, Francés, Canales vía satélite, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/273084070.jpg?k=a45425c94ecfeb5cc2a2673c27077afbd1a66b3a2cf2b762a5fa782b8b57ca13&o=&hp=1,Quimbaya,Colombia
Hotel Casa Alejandria,https://www.booking.com/hotel/co/hostal-casa-alejandria.es.html?aid=2410095,"Hotel Casa Alejandria, que se encuentra a 38 km de Ukumari Zoo y a 7,2 km de Parque Nacional de la Cultura Agropecuaria (PANACA), ofrece habitaciones en Quimbaya. El alojamiento está a unos 15 km de Parque Nacional del Café, a 30 km de Estadio Hernán Ramírez Villegas y a 31 km de Villa Olímpica de Pereira. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

Centro de Convenciones Expofuturo está a 31 km del alojamiento, y Jardín Botánico de Pereira está a 37 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 32 km.","Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Ventilador, Inglés, Baño privado, Extintores, TV, Parking, Armario, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking en un garaje, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Máquina expendedora (aperitivos), Canales por cable, Llave de acceso, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/359948517.jpg?k=64b83759e6c170e9c10f14c44bcb0328b35113494db799b1e958a0437ef5c3f2&o=&hp=1,Quimbaya,Colombia
Apartamentos Quimbaya,https://www.booking.com/hotel/co/apartamentos-quimbaya.es.html?aid=2410095,"Apartamentos Quimbaya está en Quimbaya y dispone de vistas a la ciudad y wifi gratis a 37 km de Ukumari Zoo y a 7,5 km de Parque Nacional de la Cultura Agropecuaria (PANACA).

Algunas unidades también tienen una cocina equipada con nevera.

Parque Nacional del Café está a 15 km del alojamiento, y Estadio Hernán Ramírez Villegas está a 30 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 32 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Habitaciones familiares, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456762513.jpg?k=e0baf11a7221744d9cc159f71a9db74579b65f734c3948536e85d2a4d0233cec&o=&hp=1,Quimbaya,Colombia
Hotel Campestre Café Tropical,https://www.booking.com/hotel/co/campestre-cafe-tropical-quimbaya.es.html?aid=2410095,"Hotel Campestre Café Tropical se encuentra en Quimbaya, a 44 km de Ukumari Zoo, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y restaurante. Este hotel de 3 estrellas tiene wifi gratis y servicio de habitaciones. El bar es ideal para tomar algo.

En el hotel, todas las habitaciones cuentan con armario. En Hotel Campestre Café Tropical, cada habitación tiene TV de pantalla plana, baño privado y un balcón con vistas a la montaña.

En el alojamiento se sirve todos los días un desayuno americano.

Puedes jugar al ping-pong en Hotel Campestre Café Tropical.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 12 km del alojamiento, y Parque Nacional del Café está a 12 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 29 km del alojamiento.","Desayuno, Juegos de mesa / puzles, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Vistas, Baño privado, Jardín, TV, Armario, Parking gratis, Ping pong, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Piscina al aire libre, Vistas a la montaña, Vistas al jardín, Para todas las edades, Bar, Restaurante, TV de pantalla plana, Balcón, Abierta todo el año, Toallas, Habitaciones familiares, Español, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/563832044.jpg?k=6d2bd6ae3525efaab7ddf150478db0f04512adb2217f639c69f754d936dc503e&o=&hp=1,Quimbaya,Colombia
finca hotel palmas frente a panaca,https://www.booking.com/hotel/co/cabanas-quimbaya.es.html?aid=2410095,"Finca hotel palmas frente a panaca se encuentra en Quimbaya, en la región de Quindío, cerca de Parque Nacional de la Cultura Agropecuaria (PANACA), y ofrece alojamiento con parking privado gratis.

Algunas unidades disponen de terraza y/o balcón con vistas a la montaña o a la piscina.

Ukumari Zoo está a 43 km del alojamiento, y Parque Nacional del Café está a 19 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 36 km.","Terraza, Parking gratis, Muy buen desayuno, Español, Inglés, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523183500.jpg?k=3356734d7d6a342769048873e420f97685c0f8d0cef1d275a61594cc160fab9b&o=&hp=1,Quimbaya,Colombia
Hostal el portoncito,https://www.booking.com/hotel/co/hostal-el-portoncito-quimbaya1.es.html?aid=2410095,"Hostal el portoncito, que se encuentra a 38 km de Ukumari Zoo y a 7,8 km de Parque Nacional de la Cultura Agropecuaria (PANACA), ofrece habitaciones en Quimbaya. El alojamiento está a unos 15 km de Parque Nacional del Café, a 31 km de Estadio Hernán Ramírez Villegas y a 31 km de Villa Olímpica de Pereira. El hostal o pensión libre de humo ofrece wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hostal o pensión, todas las habitaciones tienen baño privado y ropa de cama.

Centro de Convenciones Expofuturo está a 32 km del alojamiento, y Jardín Botánico de Pereira está a 37 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 33 km.","WC, Prohibido fumar en todo el alojamiento, Baño privado, TV de pantalla plana, Ropa de cama, Español, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/509962751.jpg?k=71e5b02ba5b00b72e9b8ff7230f93785eeb6fbd6183fae0b2248a641a5eb47c4&o=&hp=1,Quimbaya,Colombia
Alojamiento Rural Finca El Rubi- Eje cafetero,https://www.booking.com/hotel/co/alojamiento-rural-finca-el-rubi.es.html?aid=2410095,"Alojamiento Rural Finca El Rubi- Eje cafetero, que tiene vistas a la montaña, ofrece alojamiento con jardín y balcón a unos 39 km de Ukumari Zoo. Esta casa rural dispone de parking privado gratis, cocina compartida y wifi gratis.

La casa rural dispone de TV de pantalla plana. Hay toallas y ropa de cama en la casa rural.

Parque Nacional de la Cultura Agropecuaria (PANACA) está a 10 km del alojamiento, y Parque Nacional del Café está a 17 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 34 km.","Vistas, Baño privado, Jardín, Extintores, TV, Tour o clase sobre cultura local, Información turística, Tetera / cafetera, Parking gratis, Patio, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Mesa de comedor, Vistas a un lugar de interés, Mobiliario exterior, Tours a pie, Vistas a la montaña, Vistas al jardín, Chimenea exterior, Servicio de lavandería, WC, Vistas al río, Toda la unidad en la planta baja, Zona de comedor, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/378241043.jpg?k=a1230e6b044cd47e84c90d98998274bd1b8af5301af9f8d11b6a1ec01af83f7a&o=&hp=1,Quimbaya,Colombia
