hotel,hotel_url,description,popular_facilities,highres_url,city,country
Chakana Hotel Boutique Centro,https://www.booking.com/hotel/ec/la-chakana-boutique.es.html?aid=2410095,"Chakana Hotel Boutique Centro está en Quito, a 11 min a pie de Teatro Sucre, y dispone de alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. Este hotel de 4 estrellas ofrece bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Todas las habitaciones de este alojamiento están equipadas con zona de estar. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también incluyen vistas a la ciudad. En el hotel, cada habitación dispone de escritorio y TV.

En el alojamiento se puede disfrutar de un desayuno continental, vegetariano o vegano.

Cerca del alojamiento hay puntos de interés como Teatro Bolívar, Museo de Arte Colonial y Parque El Ejido. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 34 km.","Clases de yoga, Menús para dietas especiales (bajo petición), Parking gratis, Masajes, Sombrillas, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Happy hour, Terraza, Servicio de despertador, Zona de estar, Tour o clase sobre cultura local, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Masaje de pies, Masaje corporal completo, Alarma de seguridad, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Cenas temáticas, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Snack-bar, Registro de entrada / salida privado, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Galerías de arte temporales, Masaje de espalda, Servicios de belleza, Productos de limpieza, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Desayuno fantástico, Español, Baño privado, Máquina expendedora (bebidas), Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Vestidor, Zona TV / salón de uso compartido, Recepción 24 horas, Ruta de bares, Servicio de despertador / alarma, Francés, Guardaequipaje, Hipoalergénico, Escritorio, Entrada privada, Masaje de cuello, Ducha, Desayuno en la habitación, Calefacción, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582493469.jpg?k=852de942cf140871c73f70f9799dbfdae25855cfa934bd63932400d7ca4608cf&o=&hp=1,Quinindé,Ecuador
Hotel Madrigal,https://www.booking.com/hotel/ec/madrigal.es.html?aid=2410095,"Hotel Madrigal se encuentra en Portoviejo, a 46 km de Puerto de Manta, y ofrece alojamiento con salón de uso común, parking privado, terraza y bar. El alojamiento dispone de recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis en todo el alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Eloy Alfaro) está a 44 km del alojamiento.","Parking en un garaje, Fruta, Registro de entrada y salida exprés, Masaje de manos, Muy buen desayuno, Masajes, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Seguridad 24 horas, Masaje de cabeza, Servicio de entrega de comestibles, Servicio de aparcacoches, Bar, Mobiliario exterior, WiFi gratis, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Masaje de pies, Menú para niños, Masaje corporal completo, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Snack-bar, Registro de entrada / salida privado, Vino / champán, Cafetería en el alojamiento, Información turística, Masaje de espalda, Juegos de mesa / puzles, Silla de masajes, Almuerzos para llevar, Español, Aire acondicionado, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Guardaequipaje, Masaje en pareja, Parking privado, Masaje de cuello, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/334500356.jpg?k=606690bf58b8c342819a59ac08991a22b5f918587c1606a6661d724e21570867&o=&hp=1,Quinindé,Ecuador
The Secret Garden,https://www.booking.com/hotel/ec/the-secret-garden.es.html?aid=2410095,"The Secret Garden dispone de bicicletas gratis, salón de uso común, terraza y restaurante en Quito. El albergue, que cuenta con bar, está cerca de varios lugares de interés destacados, a unos 8 min a pie de Teatro Sucre, a 1,9 km de Parque El Ejido y a 13 min a pie de Teatro Bolívar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis en todo el alojamiento.

Cada habitación está equipada con caja fuerte, y algunas también ofrecen balcón. Las habitaciones incluyen ropa de cama.

La clientela puede practicar actividades en Quito y alrededores, como ciclismo.

Museo de Arte Colonial está a 14 min a pie del alojamiento, y Centro comercial Iñaquito está a 5,7 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 35 km del alojamiento.","Entretenimiento nocturno, Fruta, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Tours en bici, Traslado aeropuerto, Happy hour, Terraza, Servicio de despertador, Caja fuerte, Tour o clase sobre cultura local, Seguridad 24 horas, Habitaciones insonorizadas, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Equitación, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Terraza / solárium, Vino / champán, Información turística, Zona de fumadores, Cafetería en el alojamiento, Galerías de arte temporales, Juegos de mesa / puzles, Discoteca / DJ, Fax / fotocopiadora, Tours a pie, Taquillas, Español, Caja fuerte para ordenador portátil, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Música / espectáculos en directo, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Ruta de bares, Guardaequipaje, Ropa de cama, Senderismo, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/242166421.jpg?k=d1f4c53e65dbefac42d2e866a50fd228030a9f7b7f92690867f612025d8f670b&o=&hp=1,Quinindé,Ecuador
"San Jose De Puembo Quito Airport, An Ascend Hotel Collection",https://www.booking.com/hotel/ec/san-jose-de-puembo-quito-airport.es.html?aid=2410095,"El San Jose De Puembo Quito Airport, situado a solo 15 minutos en coche del aeropuerto internacional Quito Mariscal Sucre, ofrece piscinas exterior y al aire libre. Hay WiFi gratuita.

Las habitaciones cuentan con TV, baño privado con bañera o ducha y vistas a las montañas.

Además, el San Jose De Puembo Quito Airport dispone de gimnasio y de centro de equitación. También se proporciona aparcamiento gratuito. El desayuno buffet se sirve por un suplemento.

El San Jose De Puembo Quito Airporto está a 25 km del centro de Quito y a 30 minutos en coche del centro comercial El Jardín y del parque metropolitano Guangüiltagua.","Sala de juegos, Prohibido fumar en todo el alojamiento, Plancha para pantalones, Billar, Masajes, Parking gratis, Tratamientos faciales, Sombrillas, Tours en bici, Cubierta para piscina, 3 piscinas, Canguro / servicios para niños, Zona de spa / relajación, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Karaoke, Masaje de pies, Lavamanos más bajo, Proporciona factura, Terraza / solárium, Zona de fumadores, Jardín, Centro de negocios, Almuerzos para llevar, Taquillas, Español, Parking en la calle, Equipamiento de juegos para exterior, Zona TV / salón de uso compartido, Extintores, Traslado aeropuerto (gratis), Horario de apertura, Desayuno fabuloso, Ping pong, Habitaciones familiares, Adaptado personas de movilidad reducida, Tarjeta de acceso, Piscina climatizada, Noches de cine, Tinte, Traslado aeropuerto, Chimenea exterior, Hammam, Masaje de cabeza, Alarma de seguridad, Vino / champán, Masaje de espalda, Servicios de belleza, Piscina infantil, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Habitaciones sin humo, Spa y centro de bienestar, WC elevado, Guardaequipaje, Instalaciones de spa, Valla alrededor de la piscina, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Servicios de maquillaje, Menú para niños, Masaje corporal completo, Tratamientos capilares, Snack-bar, Juegos de mesa / puzles, Tours a pie, Abierta todo el año, Corte de pelo, Club infantil, Pedicura, Adaptado para sillas de ruedas, Capilla, Calefacción, Ciclismo, Piscina con vistas, Menús para dietas especiales (bajo petición), Paquetes de spa / bienestar, Caja fuerte, Seguridad 24 horas, Bar, Inglés, Equitación, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Baño de vapor, Servicios de depilación, Toallas de playa/piscina, Bar en la piscina, Ascensor, WC con barras de apoyo, Sauna, Restaurante, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Tratamientos corporales, Masaje en pareja, Masaje de cuello, Manicura, Senderismo, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/491353369.jpg?k=a1f7692c00783f32cfc658c14d0cae9f7c74a7da64c0ae112963ea1f6a07a131&o=&hp=1,Quinindé,Ecuador
"Holiday Inn - Quito Airport, an IHG Hotel",https://www.booking.com/hotel/ec/holiday-inn-quito-airport.es.html?aid=2410095,"Holiday Inn - Quito Airport, an IHG Hotel está en Tababela, a 34 km de Estadio Rodrigo Paz Delgado, y dispone de alojamiento con centro de fitness, parking privado gratis, jardín y restaurante. Este hotel de 5 estrellas ofrece guardaequipaje. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Algunas habitaciones también cuentan con zona de cocina con microondas y minibar.

La clientela puede usar el centro de negocios o relajarse en el bar

Parque El Ejido está a 34 km del alojamiento, y Parque La Carolina está a 34 km. El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 1 km.","Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Piscina climatizada, Servicio de planchado, Menús para dietas especiales (bajo petición), Parking gratis, Masajes, Sombrillas, Llave de acceso, Servicio de limpieza diario, Traslado aeropuerto, Paquetes de spa / bienestar, Salas de reuniones / banquetes, Happy hour, Boles para mascotas, Caja fuerte, Seguridad 24 horas, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Servicio de lavandería, Zona de spa / relajación, Servicio de aparcacoches, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Para todas las edades, Baños públicos, Menú para niños, Masaje corporal completo, Gimnasio, Alarma de seguridad, Lavamanos más bajo, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Baño de vapor, Tumbonas/sillas de playa, Zona de fumadores, Snack-bar, Vino / champán, Jardín, Toallas de playa/piscina, Centro de negocios, Bar en la piscina, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Abierta todo el año, Horario de apertura, Aire acondicionado, WC con barras de apoyo, Español, Piscina al aire libre, Extintores, Restaurante, Supermercado pequeño en el alojamiento, Habitaciones sin humo, Spa y centro de bienestar, Recepción 24 horas, Cesta para mascotas, Calefacción, Guardaequipaje, WC elevado, Traslado aeropuerto (gratis), Instalaciones de spa, Adaptado para sillas de ruedas, Parking adaptado para personas de movilidad reducida, Desayuno en la habitación, Desayuno fabuloso, Adaptado personas de movilidad reducida, Tarjeta de acceso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/301159363.jpg?k=32d851f5bb834bc1bb253c613c2ab5f7d2e70b02823adfa08f4c73a57056be60&o=&hp=1,Quinindé,Ecuador
San Rafael Hotel,https://www.booking.com/hotel/ec/san-rafael-amp-spa.es.html?aid=2410095,"San Rafael Hotel está en Guaranda, a 50 km de Chimborazo Volcano, y dispone de alojamiento con salón de uso común, parking privado gratis y terraza. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Algunas habitaciones cuentan con cocina con nevera, lavavajillas y horno.

En el hotel se puede disfrutar de un desayuno continental.

La zona es ideal para practicar ciclismo, y en San Rafael Hotel hay alquiler de bicicletas.

Hay una cafetería en el alojamiento, y también se puede usar la zona business.

El aeropuerto (Aeropuerto internacional José Joaquín de Olmedo) está a 167 km.","Parking en un garaje, Fruta, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Tours en bici, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Terraza, Caja fuerte, Tour o clase sobre cultura local, Seguridad 24 horas, Servicio de lavandería, Servicio de entrega de comestibles, Servicio de aparcacoches, Alquiler de bicicletas, Servicio de conserjería, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Baños públicos, Menú para niños, Alarma de seguridad, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Vino / champán, Snack-bar, Registro de entrada / salida privado, Cafetería en el alojamiento, Información turística, Centro de negocios, Zona de fumadores, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Bañera de hidromasaje / jacuzzi, Español, Bingo, Habitaciones sin humo, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Ruta de bares, Guardaequipaje, Buen desayuno, Desayuno en la habitación, Ciclismo, Habitaciones familiares, Tarjeta de acceso, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521781552.jpg?k=ac68292a023b6f367080419c9a295a480fa3e8c7199f12c2668e3214d0b32f28&o=&hp=1,Quinindé,Ecuador
Hostal Mariscal Sucre,https://www.booking.com/hotel/ec/hostal-mariscal-sucre.es.html?aid=2410095,"El Hostal Mariscal Sucre está ubicado en Hacienda Guambi y ofrece WiFi gratuito. Alberga un restaurante y proporciona un servicio de traslado gratuito. Tiene jardín.

Las habitaciones disponen de TV de pantalla plana y baño privado con ducha.

Se sirve un desayuno continental a diario.

Hay recepción 24 horas.

El Hostal Mariscal Sucre se encuentra a 20 km de Quito y a 5 minutos del aeropuerto.","Habitaciones sin humo, Jardín, Restaurante, Recepción 24 horas, WiFi gratis, Guardaequipaje, 2 restaurantes, Parking gratis, Buen desayuno, Traslado aeropuerto, Servicio de limpieza diario, Español, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/172374812.jpg?k=ce21d50bcab360cc1d4841543c0362c43e4ff63c2e84a8a162de3ae0b2d23a5a&o=&hp=1,Quinindé,Ecuador
Muyuyo Lodge,https://www.booking.com/hotel/ec/muyuyo-lodge.es.html?aid=2410095,"Estos bungalows rústicos de bambú se encuentran en un pequeño acantilado situado frente a la playa de Ayangue y ofrecen vistas al jardín o al mar. Este lodge proporciona acceso directo a la playa y WiFi gratuita. Además, se pueden reservar actividades de parapente o excursiones de senderismo. El establecimiento está a 5 km del centro de buceo Islote El Pelado y facilita aparcamiento privado gratuito.

El Muyuyo Lodge cuenta con bungalows y habitaciones prácticos con baño privado con ducha, TV por cable, reproductor de DVD, terraza privada con vistas al mar, aire acondicionado y cocina con microondas y nevera.

Además, el establecimiento alberga un restaurante que sirve un desayuno diario.

El alojamiento está a 5 km del distrito de San Pedro y a 20 km de la playa de Montañita.","Playa, Minibar, Prohibido fumar en todo el alojamiento, Piscina con vistas, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Terraza, Zona de estar, Papel higiénico, Piscina infinita, Servicio de conserjería, WiFi gratis, TV, Inglés, Para todas las edades, Nevera, Pesca, Situado frente a la playa, WC, Servicio de traslado, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Jardín, Artículos de aseo gratis, Abierta todo el año, Muebles de exterior, Snorkel, Baño privado, Aire acondicionado, Horario de apertura, Español, Balcón, Piscina al aire libre, Habitaciones sin humo, Enchufe cerca de la cama, Francés, Guardaequipaje, TV de pantalla plana, Ropa de cama, Entrada privada, Buen desayuno, Ducha, Desayuno en la habitación, Habitaciones familiares, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/84577259.jpg?k=fa6476dc0cc37ad4b7d736e6b68d66acb01df7e2853a105640ac34f83922d1ea&o=&hp=1,Quinindé,Ecuador
Chilcabamba Lodge,https://www.booking.com/hotel/ec/chilcabamba-lodge.es.html?aid=2410095,"El Chilcabamba Lodge se encuentra en el parque nacional Cotopaxi, a 6 km de la entrada, y ofrece habitaciones cómodas con encanto decoradas al estilo rústico. El desayuno diario a base de fruta y cereales está incluido y el restaurante del establecimiento prepara cocina regional.

Las habitaciones del Chilcabamba disponen de calefacción y baño privado con ducha.

Durante su estancia en el establecimiento, los huéspedes pueden disfrutar de la naturaleza y visitar el parque. La localidad de Pedregal está cerca del alojamiento y la ciudad de Quito, a 2 horas en coche. Hay aparcamiento privado gratuito cerca del establecimiento.","Sala de juegos, Parking en un garaje, Zona de juegos interior, Menús para dietas especiales (bajo petición), Parking gratis, Tours en bici, Traslado aeropuerto, Chimenea exterior, Buffet para niños, Servicio de limpieza diario, Zona de estar, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Detectores de humo, Equitación, Servicio de traslado, Proporciona factura, Terraza / solárium, Vino / champán, Información turística, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Juegos de mesa / puzles, Almuerzos para llevar, Tours a pie, Clases de cocina, Baño privado, Español, Chimenea, Habitaciones sin humo, Extintores, Restaurante, Zona TV / salón de uso compartido, Desayuno excepcional, Senderismo, Calefacción, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/376156205.jpg?k=86e08809225c5db964ee58086a9bda03556ea1708949cd90ac42149a057c5b1d&o=&hp=1,Quinindé,Ecuador
Hotel y Hosteria Natabuela,https://www.booking.com/hotel/ec/y-hosteria-natabuela.es.html?aid=2410095,"Hotel y Hosteria Natabuela se encuentra en Natabuela, a 10 km de Museo Nacional del Banco Central del Ecuador, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y restaurante. Todas las habitaciones disponen de TV con canales por cable y baño privado. Este hotel acepta mascotas y ofrece wifi gratis.

Se puede jugar al billar en este hotel de 4 estrellas, y la zona es ideal para practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 103 km.","Sala de juegos, Fruta, Zona de juegos interior, Servicio de planchado, Plancha para pantalones, Desayuno, Billar, Menús para dietas especiales (bajo petición), Parking gratis, Baño al aire libre, Servicio de limpieza diario, Chimenea exterior, Perchero, Salas de reuniones / banquetes, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Inglés, Para todas las edades, Baños públicos, Menú para niños, Canales por cable, Servicio de traslado, Zona de fumadores, Toallas, Vino / champán, Jardín, Cafetería en el alojamiento, Snack-bar, Información turística, Juegos de mesa / puzles, Centro de negocios, 2 restaurantes, Fax / fotocopiadora, Adaptado personas de movilidad reducida, Bañera de hidromasaje / jacuzzi, Horario de apertura, Baño privado, Español, Holandés, Habitaciones sin humo, Zona TV / salón de uso compartido, Restaurante, Piscina interior, Zona de pícnic, Calefacción, Capilla, Desayuno en la habitación, Parking adaptado para personas de movilidad reducida, Ciclismo, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/52523289.jpg?k=3f31a742633a9d926a6ec13c4ca94c42678dcb37a0fa67d6ca577d3a162dcdb0&o=&hp=1,Quinindé,Ecuador
