hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Niyat Urban Hotel,US$31,"8,1",Muy bien,1.151,https://cf.bstatic.com/xdata/images/hotel/square600/30282199.webp?k=f89905314cac3f147bfe404c03d463cf351c19186b1b8213403e86c43283b52e&o=,https://www.booking.com/hotel/ar/niyat-urban.es.html?aid=2410095,"Ducha, Inodoro elevado, Terraza, TV de pantalla plana, Recepción 24 horas, Servicio diario de limpieza, Papel higiénico, Detector de monóxido de carbono, Bañera o ducha, Guardaequipaje, Sauna, Escritorio, Secador de pelo, Caja fuerte, Servicio de lavandería, Extintores, TV, Aire acondicionado, Calefacción, Gimnasio, Proporciona factura, Adaptado para sillas de ruedas, Buen desayuno, Adaptado para personas con movilidad reducida, Servicio de planchado, Información turística, Fax/fotocopiadora, Wifi gratis, Zona TV/salón compartidos, Acceso a pisos superiores mediante ascensor, Cámaras de seguridad en áreas comunes, Portugués, Baño privado, Toallas, Teléfono, Inglés, Ascensor, Terraza/solárium, Servicio de conserjería, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Bidé, Caja fuerte con capacidad para notebook, Artículos de tocador gratuitos, Detector de humo, Hidromasaje/jacuzzi, Acceso con tarjeta, Ropa de cama, Servicio de despertador",Resistencia,Argentina,"Este hotel está situado en la localidad de Resistencia, frente a la plaza 25 de Mayo. Ofrece habitaciones elegantes.

El Niyat Urban Hotel dispone de habitaciones luminosas con aire acondicionado y decoradas con detalles de arte contemporáneo. Todas cuentan con TV de pantalla plana y algunas ofrecen vistas a la ciudad. Las suites incluyen bañera de hidromasaje y microondas.

El Niyat sirve un desayuno americano completo que incluye jugos naturales y pastelería.

La calle peatonal Arturo Illia se encuentra a 5 minutos a pie."
Amérian Hotel Casino Gala,US$66,"8,5",Muy bien,560,https://cf.bstatic.com/xdata/images/hotel/square600/31965450.webp?k=eec69b6b59bcb7c7e17fed162be178fde068841c81132c7bdc88fe89066988f3&o=,https://www.booking.com/hotel/ar/amerian-casino-gala.es.html?aid=2410095,"Ducha, Vista a la ciudad, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Habitaciones para no fumadores, Servicio diario de limpieza, Inodoro con barras de apoyo, Papel higiénico, Guardaequipaje, Vista, Escritorio, Secador de pelo, Caja fuerte, Lavamanos más bajo, Extintores, TV, Aire acondicionado, Estacionamiento en un garaje, Gimnasio, Proporciona factura, Calefacción, Adaptado para sillas de ruedas, Horarios, Adaptado para personas con movilidad reducida, Habitaciones insonorizadas, Acceso a pisos superiores mediante ascensor, Wifi gratis, Muy buen desayuno, Cámaras de seguridad en áreas comunes, Pileta privada, Apoyo visual: braille, Estacionamiento gratuito, Restaurante, Baño privado, Enchufe cerca de la cama, Para todas las edades, Habitaciones familiares, Toallas, Teléfono, Inglés, Alfombra, Seguridad las 24 horas, Ascensor, Servicio de conserjería, Insonorización, Armario, Canales por cable, Salas de reuniones/banquetes, Casino, Prohibido fumar en todo el establecimiento, Bidé, Pileta al aire libre, Cámaras de seguridad en exterior del alojamiento, Artículos de tocador gratuitos, Minibar, Detector de humo, Por temporada, Acceso con tarjeta, Alarma de seguridad, Servicio de despertador",Resistencia,Argentina,"El Amerian Hotel Casino Gala se encuentra en Resistencia y ofrece pileta al aire libre, spa y habitaciones lujosas y cómodas. Ofrece conexión wifi gratis y un impresionante casino. Se encuentra a 2 calles de la catedral y de la plaza 25 de Mayo.

Las habitaciones del Amerian Hotel Casino Gala cuentan con aire acondicionado, TV de pantalla plana por cable, escritorio y minibar. También tienen una cómoda zona de estar y un baño moderno con bañera de hidromasaje. Todas las habitaciones tienen vistas preciosas a la ciudad.

El hotel cuenta con sauna, solárium y centro de fitness. El bar sirve aperitivos y bebidas. El restaurante ofrece platos deliciosos.

También cuenta con instalaciones para reuniones, zona de salón y recepción 24 horas. Se ofrece servicio de link con el aeropuerto a pedido.

Se facilita estacionamiento gratuito. Se encuentra a 5 km de la terminal de autobuses y a 8 km del aeropuerto de Resistencia."
Gala Hotel y Convenciones,US$55,"8,9",Fabuloso,645,https://cf.bstatic.com/xdata/images/hotel/square600/69739917.webp?k=5ffeade4a3602994be0d2b794c956fd9e4a1443f7b6e390cab5283ec97a5e9f1&o=,https://www.booking.com/hotel/ar/gala-y-convenciones.es.html?aid=2410095,"TV de pantalla plana, Recepción 24 horas, Jardín, Español, Bañera, Cafetería en la propiedad, Habitaciones para no fumadores, Servicio diario de limpieza, Inodoro con barras de apoyo, Bañera o ducha, Guardaequipaje, Escritorio, Caja fuerte, Servicio de lavandería, Estacionamiento en la calle, Lavamanos más bajo, Extintores, Calefacción, Aire acondicionado, Adaptado para sillas de ruedas, Gimnasio, Horarios, Vista al jardín, Buen desayuno, Adaptado para personas con movilidad reducida, Servicio de planchado, Habitaciones insonorizadas, Wifi gratis, Cámaras de seguridad en áreas comunes, Bar, Estacionamiento gratuito, Restaurante, Estacionamiento adaptado para personas con movilidad reducida, Habitaciones familiares, Toallas, Inglés, Ascensor, Canales por cable, Plancha para pantalones, Salas de reuniones/banquetes, Casino, Prohibido fumar en todo el establecimiento, Bidé, Pileta al aire libre, Cámaras de seguridad en exterior del alojamiento, Centro de negocios, Artículos de tocador gratuitos, Minibar, Detector de humo, Por temporada, Acceso con tarjeta, Alarma de seguridad, Servicio de despertador",Resistencia,Argentina,"El Gala Hotel y Convenciones ofrece alojamiento en Resistencia y cuenta con con wifi gratis, instalaciones para reuniones, pileta al aire libre y casino. El alojamiento sirve un desayuno todas las mañanas. El alojamiento dispone de ventanales con vistas panorámicas a los alrededores.

Todas las habitaciones del Gala Hotel y Convenciones son cómodas, presentan una decoración elegante y constan de aire acondicionado, TV LCD de 39 pulgadas, minibar y caja fuerte. También incluyen baño privado con bañera.

Además, el Hotel y Convenciones Gala cuenta con jardín, centro de fitness y salón con máquinas tragamonedas. También alberga un bar. La recepción está abierta las 24 horas. Se facilita estacionamiento gratuito.

El Gala Hotel y Convenciones se encuentra a 46 km de Paso de la Patria, a 19 km de Corrientes y a 3 km del aeropuerto de Resistencia."
Edificio Misionero Klein,US$15,"9,4",Fantástico,7,https://cf.bstatic.com/xdata/images/hotel/square600/521706401.webp?k=63c6872293b66ee159586e118b0c59bb3557ace646cb3fce3e2a17fcf41fb366&o=,https://www.booking.com/hotel/ar/edificio-misionero-klein.es.html?aid=2410095,"Ducha, TV de pantalla plana, Español, Papel higiénico, Bañera o ducha, Vista, Calefacción, TV, Aire acondicionado, Cocina, Extintores, Vista al jardín, Patio, Cámaras de seguridad en áreas comunes, Estacionamiento gratuito, Baño privado, Acceso a pisos superiores solo por escalera, Wifi rápido gratis (96 Mbps), Toallas, Baño, Armario, Bidé, Cámaras de seguridad en exterior del alojamiento, Artículos de tocador gratuitos, Departamento privado en edificio, Ropa de cama",Resistencia,Argentina,"Edificio Misionero Klein está en Resistencia, en la región de Chaco, y ofrece alojamiento con wifi gratis y estacionamiento privado gratis.

Todas las unidades tienen aire acondicionado y disponen de baño privado, TV de pantalla plana y cocina totalmente equipada.

El aeropuerto (Aeropuerto Internacional de Resistencia) está a 5 km."
Howard Johnson Plaza La Ribera,US$76,"9,1",Fantástico,393,https://cf.bstatic.com/xdata/images/hotel/square600/482667290.webp?k=947446b3b760317d8d255961283242a8f3324f6c698d385a127ce2fd14a3961e&o=,https://www.booking.com/hotel/ar/howard-johnson-plaza-la-ribera.es.html?aid=2410095,"Paquetes de spa, Masaje de pies, Habitaciones para no fumadores, Papel higiénico, Guardaequipaje, Secador de pelo, Servicio de lavandería, Sombrillas, Lavamanos más bajo, Extintores, Pileta de inmersión, Adaptado para sillas de ruedas, Masaje de espalda, Menú light (a pedido), Alquiler de autos, Zona de fumadores, Wifi gratis, Acceso a pisos superiores mediante ascensor, Galerías de arte temporarias, Portugués, Servicio de conserjería, Masaje de manos, Salas de reuniones/banquetes, Pileta climatizada, Pileta al aire libre, Caja fuerte con capacidad para notebook, Detector de humo, Hidromasaje/jacuzzi, Ducha, Perchero de barral, Inodoro elevado, Abierta todo el año, Inodoro con barras de apoyo, Estacionamiento privado, Escritorio, Calefacción, Adaptado para personas con movilidad reducida, Fax/fotocopiadora, Cámaras de seguridad en áreas comunes, Equipamiento de juegos para exterior, Pediluvio, Enchufe cerca de la cama, Habitaciones familiares, Teléfono, Baño, Parrilla, Snack-bar, Armario, Masaje de cabeza, Bidé, Máquina expendedora (bebidas), Artículos de tocador gratuitos, Masaje de cuello, Servicio a la habitación, Menú para menores, Juegos de mesa/puzzles, Acceso con tarjeta, TV de pantalla plana, Recepción 24 horas, Español, Cafetería en la propiedad, Fruta, Servicio diario de limpieza, Pileta con vistas, Estacionamiento en un garaje, Servicio de planchado, Masaje corporal completo, Instalaciones de spa, Baño privado, Toallas, Inglés, Masajes, Servicio de transfer, Cámaras de seguridad en exterior del alojamiento, Spa, Ropa de cama, Para todas las edades, Terraza, Jardín, Bañera o ducha, Sauna, Vista, Sillas y reposeras, Caja fuerte, Plancha para ropa, TV, Aire acondicionado, Gimnasio, Proporciona factura, Vista al jardín, Zona de spa/relajación, Información turística, Muy buen desayuno, Pileta privada, Bar, Vino/Champán, Restaurante, Estacionamiento adaptado para personas con movilidad reducida, Ascensor, Seguridad las 24 horas, Terraza/solárium, Mobiliario exterior, Canales por cable, Prohibido fumar en todo el establecimiento, Centro de negocios, Alarma de seguridad, Servicio de despertador",Resistencia,Argentina,"El Howard Johnson Plaza La Ribera se encuentra en Resistencia y ofrece pileta al aire libre, centro de fitness, jardín y terraza. Este hotel de 4 estrellas alberga un bar y ofrece habitaciones con aire acondicionado, wifi gratis y baño privado. Hay estacionamiento privado gratuito y servicio de alquiler de autos.

Las habitaciones del hotel están equipadas con TV de pantalla plana por cable y caja fuerte. Las habitaciones del Howard Johnson Plaza La Ribera incluyen ropa de cama y toallas.

El alojamiento sirve un desayuno buffet. El Howard Johnson Plaza La Ribera alberga un restaurante que sirve cocina argentina, italiana y mediterránea. También se pueden solicitar platos vegetarianos, sin lácteos y sin gluten.

El personal de la recepción 24 horas habla inglés, español y portugués."
Hostel Cha,US$24,"9,0",Fantástico,130,https://cf.bstatic.com/xdata/images/hotel/square600/234598822.webp?k=377eacb88b4d7189fb8ab58b5dc77a9bc9bf8c07ca67f68e63a33705dbd8780e&o=,https://www.booking.com/hotel/ar/hospedaje-cha.es.html?aid=2410095,"Terraza, Lockers, Español, Habitaciones para no fumadores, Solo para adultos, Guardaequipaje, Baño compartido, Extintores, Calefacción, Aire acondicionado, Zona TV/salón compartidos, Información turística, Acceso con llave, Wifi gratis, Cámaras de seguridad en áreas comunes, Traslados (aeropuerto), Inglés, Servicio de transfer, Mobiliario exterior, Prohibido fumar en todo el establecimiento, Cámaras de seguridad en exterior del alojamiento, Juegos de mesa/puzzles",Resistencia,Argentina,"El Hostel Cha está situado en Resistencia, a 19 km de Corrientes, y ofrece un salón compartido y conexión wifi gratis.

Este bed and breakfast dispone de balcón, vistas a la ciudad, zona de estar, TV por cable, zona de cocina totalmente equipada con heladera y horno y baño compartido con bidet y secador de pelo. Hay fogones, hervidor de agua y cafetera.

El Hostel Cha cuenta con terraza.

El aeropuerto internacional Resistencia es el más cercano y está a 7 km del alojamiento."
Depto Piacentini p/ 1 o 2 personas,US$18,"8,7",Fabuloso,6,https://cf.bstatic.com/xdata/images/hotel/square600/520601308.webp?k=1abd041a4c71895e9d754db932d186a1e1c3b3d872dba32af4da33f5ecf903ab&o=,https://www.booking.com/hotel/ar/depto-piacentini-p-1-o-2-personas.es.html?aid=2410095,"Prohibido fumar en todo el establecimiento, Portugués, Español, Calefacción, Minimercado en la propiedad, Aire acondicionado, Cocina, Inglés, Ascensor, Detector de humo, Acceso con llave, Wifi gratis, Seguridad las 24 horas, Cámaras de seguridad en áreas comunes",Resistencia,Argentina,"Depto Piacentini p/ 1 o 2 personas está en Resistencia. Este departamento ofrece alojamiento con wifi gratis.

El alojamiento tiene aire acondicionado y ofrece cocina."
Tu Hogar de Lujo en el Corazón de Resistencia,US$25,"9,0",Fantástico,3,https://cf.bstatic.com/xdata/images/hotel/square600/520155213.webp?k=3225e2ba4e7bbd72853494c44e3519413b08ab2ddebf68f87e41efac28a9a1ad&o=,https://www.booking.com/hotel/ar/tu-hogar-de-lujo-en-el-corazon-de-resistencia.es.html?aid=2410095,"Zona de estar, Prohibido fumar en todo el establecimiento, Plancha para ropa, Portugués, Recepción 24 horas, Jardín, Español, Calefacción, TV, Aire acondicionado, Cocina, Inglés, Utensilios de cocina, Heladera, Pileta privada",Resistencia,Argentina,"Tu hogar de lujo en el corazón de Resistencia se encuentra en Resistencia. Este departamento dispone de pileta privada y jardín.

Este departamento de 1 dormitorio tiene aire acondicionado y cuenta con zona de estar, TV y cocina con heladera.

El personal de recepción puede ofrecer información sobre qué hacer por la zona.

El aeropuerto más cercano (Aeropuerto Internacional de Resistencia) está a 8 km."
Excelencia y ubicación,US$19,10,Excepcional,5,https://cf.bstatic.com/xdata/images/hotel/square600/524243590.webp?k=82816912911d87a115f535b6f94b79faa38c08f03c8fb9dbc26036e00dcc4136&o=,https://www.booking.com/hotel/ar/comodidad-y-ubicacion-resistencia.es.html?aid=2410095,"Ducha, Pava eléctrica, Productos de limpieza, Perchero de barral, Balcón, Español, Papel higiénico, Bañera o ducha, Guardaequipaje, Kitchenette, Escritorio, Secador de pelo, Plancha para ropa, Calefacción, Extintores, Aire acondicionado, Proporciona factura, Zona de comedor, Check-in/check-out privado, Información turística, Wifi gratis, Libros, DVD o música para niños, Zona de fumadores, Acceso con llave, Cámaras de seguridad en áreas comunes, Mesa de comedor, Portugués, Baño privado, Enchufe cerca de la cama, Almuerzos para llevar, Acceso a pisos superiores solo por escalera, Toallas, Baño, Inglés, Ventilador, Armario, Check-in/check-out exprés, Plancha para pantalones, Servicio de delivery de alimentos, Prohibido fumar en todo el establecimiento, Microondas, Bidé, Cámaras de seguridad en exterior del alojamiento, Departamento privado en edificio, Heladera, Ropa de cama",Resistencia,Argentina,"Excelencia y ubicación se encuentra en Resistencia y ofrece alojamiento con balcón y wifi gratis.

Este departamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una zona de cocina totalmente equipada con heladera y hervidor, y 1 baño con bidet y secador de pelo. Hay toallas y ropa de cama en el departamento.

El aeropuerto (Aeropuerto Internacional de Resistencia) está a 9 km, y el alojamiento ofrece servicio de transfer de pago para ir o volver del aeropuerto."
Departamento temporario VICTORIA,US$29,"9,7",Excepcional,11,https://cf.bstatic.com/xdata/images/hotel/square600/517851147.webp?k=510c5fc43f2811cd627167ecc9834c57d3ed7c9b58ce539f8c5db22b8b3d5d32&o=,https://www.booking.com/hotel/ar/departamento-temporario-victoria.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Pava eléctrica, Perchero de barral, Vista a la ciudad, TV de pantalla plana, Balcón, Español, Habitaciones para no fumadores, Papel higiénico, Detector de monóxido de carbono, Canales vía satélite, Kitchenette, Vista, Alarma de seguridad, Caja fuerte, Plancha para ropa, Adaptada para personas con discapacidad auditiva, Calefacción, TV, Aire acondicionado, Cocina, Juegos de mesa/rompecabezas, Extintores, Servicio de streaming (ej.: Netflix), Zona de comedor, Acceso a pisos superiores mediante ascensor, Campo de golf (a menos de 3 km), Check-in/check-out privado, Wifi gratis, Acceso con llave, Italiano, Cámaras de seguridad en áreas comunes, Mesa de comedor, Estacionamiento gratuito, Portugués, Baño privado, Enchufe cerca de la cama, Protector de enchufes para menores, Habitaciones familiares, Toallas, Baño, Inglés, Ascensor, Utensilios de cocina, Ventilador, Insonorización, Cochecitos de bebé, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Sofá, Microondas, Bidé, Baño adicional, Cámaras de seguridad en exterior del alojamiento, Pesca, Artículos de tocador gratuitos, Detector de humo, Departamento privado en edificio, Heladera, Toda la unidad es accesible mediante silla de ruedas, Ropa de cama",Resistencia,Argentina,"El Departamento temporario VICTORIA se encuentra en Resistencia. El alojamiento cuenta con balcón, estacionamiento privado gratuito y wifi gratis.

El departamento consta de 2 dormitorios, cocina totalmente equipada y baño. Hay TV de pantalla plana. Este alojamiento es para no fumadores.

El aeropuerto más cercano es el aeropuerto internacional de Resistencia, a 8 km del departamento."
