hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Patagonia,US$80,"8,8",Fabuloso,927,https://cf.bstatic.com/xdata/images/hotel/max1024x768/44721616.webp?k=ddb8f44a6c3525a302d7a44b7abc95acea58ac0d430181ad393f8ebd8333eb9b&o=,https://www.booking.com/hotel/ar/patagonia-el-calafate.es.html?aid=2410095,"Servicio diario de limpieza, Zona TV/salón compartidos, Bañera o ducha, Prohibido fumar en todo el establecimiento, Armario, Guardaequipaje, Servicio de conserjería, Hidromasaje/jacuzzi, Adaptado para personas con movilidad reducida, Toallas, Baño privado, Guiado auditivo, Cámaras de seguridad en exterior del alojamiento, Cámaras de seguridad en áreas comunes, Escritorio, Recepción 24 horas, Masaje de cuello, Desayuno fabuloso, Toda la unidad es accesible mediante silla de ruedas, Ascensor, Galerías de arte temporarias, Calefacción, Bar, Habitaciones para no fumadores, Gimnasio, Canales por cable, Restaurante, Información turística, Secador de pelo, Jardín, Caja fuerte con capacidad para notebook, Detector de humo, Centro de negocios, Alfombra, Adaptado para sillas de ruedas, Masaje de espalda, Inodoro elevado, Español, Masaje de cabeza, TV, Extintores, Bañera, Baño, Traslados (aeropuerto), Masajes, Servicio de lavandería, Fax/fotocopiadora, Caja fuerte, Papel higiénico, Insonorización, Sauna, Inglés, Habitaciones comunicadas disponibles, Minibar, Wifi gratis, Teléfono, Proporciona factura, Servicio de transfer, Salas de reuniones/banquetes, Masaje corporal completo, Inodoro con barras de apoyo, Acceso a pisos superiores mediante ascensor, Servicio de planchado, Bidé, Ducha, Servicio de despertador, Terraza, Servicio a la habitación",Rio Gallegos,Argentina,"El Hotel Patagonia se encuentra en el centro de Río Gallegos, a solo 100 metros de la avenida principal, y ofrece spa, centro de fitness y habitaciones con conexión de wifi gratis y TV por cable. El alojamiento alberga un restaurante y sirve desayunos.

Las habitaciones del Hotel Patagonia presentan una decoración sobria en tonos cálidos y cuentan con ventanas grandes que las hacen muy luminosas. Todas tienen escritorio y minibar. Las suites incluyen bañera de hidromasaje privada.

Todos los días se sirve un desayuno buffet. El restaurante sirve platos internacionales y el bar ofrece cócteles.

El spa incluye sauna y sala de masajes. El alojamiento alberga un centro de fitness y un salón encantador.

Hay estacionamiento gratuito, sujeto a disponibilidad. La recepción 24 horas ofrece servicio de link con el aeropuerto de Río Gallegos, situado a 10 km. El Hotel Patagonia está situado en el corazón del centro comercial y financiero de la ciudad."
Laguna Azul,US$28,"8,1",Muy bien,933,https://cf.bstatic.com/xdata/images/hotel/max1024x768/116456397.webp?k=5f5a86c7dfd4e9ced7f6a32202c7429c70b759eba934de58aadf1ee293c00086&o=,https://www.booking.com/hotel/ar/laguna-azul-rio-gallegos.es.html?aid=2410095,"Servicio diario de limpieza, Enchufe cerca de la cama, Bañera o ducha, Prohibido fumar en todo el establecimiento, Armario, Toallas, Ropa de cama, Baño privado, Recepción 24 horas, Calefacción, Habitaciones para no fumadores, Canales por cable, Piso de baldosa/mármol, Español, TV, Extintores, Perchero de barral, Baño, Papel higiénico, Buen desayuno, Acceso a pisos superiores solo por escalera, Wifi gratis, Bidé, Ducha",Rio Gallegos,Argentina,"El Laguna Azul ofrece alojamiento en Río Gallegos. Hay recepción 24 horas y wifi gratis en todas las instalaciones.

Las habitaciones incluyen armario, TV, baño privado, ropa de cama y toallas.

El Laguna Azul sirve un desayuno continental.

El aeropuerto internacional Piloto Civil Norberto Fernández es el más cercano y queda a 6 km."
Hotel Paris,US$17,"7,0",Bien,500,https://cf.bstatic.com/xdata/images/hotel/max1024x768/238411846.webp?k=3d0369d7a78c00ad2552656f98658af38fe6859a9c4cd61d87ac16ee4cf9c9b7&o=,https://www.booking.com/hotel/ar/paris-rio-gallegos.es.html?aid=2410095,"Zona TV/salón compartidos, Inglés, Desayuno, Adaptado para sillas de ruedas, Wifi gratis, Recepción 24 horas, Prohibido fumar en todo el establecimiento, Habitaciones familiares, Guardaequipaje, Baño público, Máquina expendedora (bebidas), Español, Calefacción, Extintores, Adaptado para personas con movilidad reducida, Información turística",Rio Gallegos,Argentina,"Este alojamiento se encuentra en el centro de Río Gallegos, a 100 metros de la avenida de San Martín y a 800 metros de la costa. Sirve desayuno a diario, y dispone de habitaciones funcionales con conexión de wifi gratis.

El Hotel Paris ofrece habitaciones con baño privado o compartido, algunas de ellas provistas de TV por cable y calefacción.

Las instalaciones del Paris Hotel incluyen zona de comedor con utensilios de cocina, y hay ordenadores a disposición de los huéspedes en el vestíbulo.

El alojamiento cuenta con recepción 24 horas y consigna de equipaje, y se halla a 10 km de la terminal de micros de Río Gallegos y a 25 km del aeropuerto de la localidad."
Cabo Vírgenes,US$25,"7,2",Bien,177,https://cf.bstatic.com/xdata/images/hotel/max1024x768/89747615.webp?k=f4c39a690328608a38f4204ea941d094b8af04dfc5abd4ff7043d3c7e76b452c&o=,https://www.booking.com/hotel/ar/cabo-virgenes.es.html?aid=2410095,"Prohibido fumar en todo el establecimiento, Armario, Servicio de conserjería, Toallas, Ropa de cama, Baño privado, Estacionamiento gratuito, Recepción 24 horas, Calefacción, Canales por cable, Información turística, Piso de baldosa/mármol, Español, TV, Papel higiénico, Buen desayuno, Wifi gratis, Bidé, Ducha",Rio Gallegos,Argentina,"El Cabo Vírgenes ofrece alojamiento en Río Gallegos.

Todas las habitaciones incluyen TV con canales por cable. Todas las habitaciones tienen baño privado con bidet.

Hay recepción 24 horas en las instalaciones.

El aeropuerto de Río Gallegos es el más cercano y está a 7 km del Cabo Vírgenes."
Amerian Río Gallegos Apart & Suites,US$96,"9,0",Fantástico,788,https://cf.bstatic.com/xdata/images/hotel/max1024x768/61730355.webp?k=bc0e6338d3f04b25b0334b390016d86d6cd021d0fecf307f8a5492c7f65b62b4&o=,https://www.booking.com/hotel/ar/costa-rio-apart.es.html?aid=2410095,"Zona TV/salón compartidos, Enchufe cerca de la cama, Bañera o ducha, Prohibido fumar en todo el establecimiento, Armario, Guardaequipaje, Muy buen desayuno, Servicio de conserjería, TV de pantalla plana, Adaptado para personas con movilidad reducida, Toallas, Baño privado, Recepción 24 horas, Check-in/check-out privado, Aire acondicionado, Ascensor, Calefacción, Habitaciones para no fumadores, Información turística, Pava eléctrica, Zona de estar, Secador de pelo, Piso de madera o parquet, Centro de negocios, Español, Plancha para pantalones, TV, Baño, Servicio de lavandería, Fax/fotocopiadora, Caja fuerte, Papel higiénico, Wifi gratis, Teléfono, Proporciona factura, Servicio de planchado, Ducha, Servicio a la habitación",Rio Gallegos,Argentina,"El Amerian Rio Gallegos está situado en Río Gallegos, en la avenida principal y a 50 metros del centro de la ciudad y la plaza principal, y ofrece alojamiento independiente con conexión wifi gratis y desayuno gratuito.

Los estudios del Amerian Rio Gallegos proporcionan un ambiente tranquilo y disponen de zona de cocina con utensilios y zona de comedor.

El Amerian Rio Gallegos cuenta con recepción abierta las 24 horas, consigna de equipaje y bar.

El Amerian Rio Gallegos se encuentra a 3 km de la terminal de micros, a 4 km del mar y a 8 km del aeropuerto de Río Gallegos. Además, se proporciona estacionamiento público gratuito."
Casa Grilli cerca de la terminal,US$29,10,Excepcional,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515389718.webp?k=50856f4a8f7a3987ff854b22439ce4b4bdefc96e25faf4e338e4ced4ea82e4a8&o=,https://www.booking.com/hotel/ar/casa-grilli-cerca-de-la-terminal.es.html?aid=2410095,"Enchufe cerca de la cama, Hornalla, Prohibido fumar en todo el establecimiento, Juegos de mesa/puzzles, Microondas, Zona de comedor, TV de pantalla plana, Toallas, Ropa de cama, Cocina, Baño privado, Patio, Vista a un patio interno, Estacionamiento gratuito, Heladera, Escritorio, Check-in/check-out privado, Mesa de comedor, Sofá, Calefacción, Independiente, Cambio de moneda, Información turística, Productos de limpieza, Horno, Kitchenette, Español, TV, Juegos de mesa/rompecabezas, Baño, Artículos de tocador gratuitos, Papel higiénico, Inglés, Wifi gratis, Lavarropas, Ducha, Utensilios de cocina",Rio Gallegos,Argentina,"Casa Grilli cerca de la terminal se encuentra en Río Gallegos. Este alojamiento ofrece estacionamiento privado gratis, wifi gratis y acceso a un patio.

El departamento de 1 dormitorio tiene sala de estar con TV de pantalla plana, cocina totalmente equipada con heladera y horno, y 1 baño con ducha. Hay toallas y ropa de cama en el departamento.

El aeropuerto más cercano (Aeropuerto Internacional Piloto Civil Norberto Fernández) está a 6 km."
avellaneda suites,US$34,"8,0",Muy bien,231,https://cf.bstatic.com/xdata/images/hotel/max1024x768/487165955.webp?k=15bb20d3d44419d0ae2b00ff8266f888000f717cf3e235189c4d6d8303e6e495&o=,https://www.booking.com/hotel/ar/avellaneda-suites-rio-gallegos.es.html?aid=2410095,"Servicio diario de limpieza, Zona TV/salón compartidos, Enchufe cerca de la cama, Bañera o ducha, Prohibido fumar en todo el establecimiento, Armario, Mobiliario exterior, Guardaequipaje, Juegos de mesa/puzzles, Muy buen desayuno, Servicio de conserjería, Hidromasaje/jacuzzi, Adaptado para personas con movilidad reducida, Toallas, Ropa de cama, TV de pantalla plana, Baño privado, Seguridad las 24 horas, Cámaras de seguridad en exterior del alojamiento, Estacionamiento en la calle, Estacionamiento gratuito, Servicio de tintorería, Toallas/sábanas (cargos extra), Cámaras de seguridad en áreas comunes, Lavamanos más bajo, Recepción 24 horas, Check-in/check-out privado, Acceso con llave, Calefacción, Habitaciones para no fumadores, Canales por cable, Información turística, Check-in/check-out exprés, Secador de pelo, Jardín, Productos de limpieza, Alarma de seguridad, Detector de humo, Adaptado para sillas de ruedas, Inodoro elevado, Español, Plancha para pantalones, TV, Extintores, Baño, Perchero de barral, Traslados (aeropuerto), Artículos de tocador gratuitos, Baño adicional, Servicio de lavandería, Fax/fotocopiadora, Papel higiénico, Cocina compartida, Acceso a pisos superiores solo por escalera, Servicio de transfer, Wifi gratis, Proporciona factura, Vista a la ciudad, Habitaciones familiares, Inodoro con barras de apoyo, Servicio de planchado, Bidé, Ducha, Servicio de despertador, Servicio a la habitación",Rio Gallegos,Argentina,"El Avellaneda suites se encuentra en Río Gallegos. Todos los alojamientos de este hotel de 3 estrellas tienen vistas a la ciudad y acceso a un salón compartido y a un jardín. Además, hay recepción 24 horas, cocina compartida y servicio de organización de excursiones.

Las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El avellaneda suites sirve un desayuno americano.

El aeropuerto internacional Piloto Civil Norberto Fernández, el más cercano, queda a 6 km. Se proporciona servicio de link con el aeropuerto por un adicional."
Hotel Sehuen,US$49,"8,3",Muy bien,434,https://cf.bstatic.com/xdata/images/hotel/max1024x768/78507508.webp?k=e3dacd10fa47bba67c2228c482f8dda68094c41f3b6d44cd8fca577ab37dad31&o=,https://www.booking.com/hotel/ar/sehuen-rio-gallegos.es.html?aid=2410095,"Zona TV/salón compartidos, Enchufe cerca de la cama, Bañera o ducha, Armario, Servicio de conserjería, TV de pantalla plana, Toallas, Ropa de cama, Baño privado, Estacionamiento gratuito, Recepción 24 horas, Canales de pago, Calefacción, Bar, Habitaciones para no fumadores, Snack-bar, Información turística, Español, TV, Perchero de barral, Bañera, Artículos de tocador gratuitos, Servicio de lavandería, Caja fuerte, Papel higiénico, Inglés, Buen desayuno, Minibar, Wifi gratis, Salas de reuniones/banquetes, Bidé, Servicio de despertador",Rio Gallegos,Argentina,"El Hotel Sehuen ofrece alojamiento en Río Gallegos, a solo 150 metros de la avenida principal. Los huéspedes podrán disfrutar del bar.

Todas las habitaciones del Hotel Sehuen son luminosas y tienen baño privado, TV por cable, minibar y WiFi.

El alojamiento sirve desayuno continental y cuenta con cafetería abierta las 24 horas, servicio de lavandería, consigna de equipaje y recepción abierta todo el día.

El Hotel Sehuen está a 10 km del aeropuerto de Río Gallegos, el aeropuerto más cercano. Hay estacionamiento privado gratuito."
Hotel Aire de Patagonia,US$50,"8,3",Muy bien,194,https://cf.bstatic.com/xdata/images/hotel/max1024x768/20634652.webp?k=b7f7bd81eb17ccc1728273d03460e87339982f8fee5b20edef80d524eaa491de&o=,https://www.booking.com/hotel/ar/aire-de-patagonia.es.html?aid=2410095,"Servicio diario de limpieza, Zona TV/salón compartidos, Bañera o ducha, Prohibido fumar en todo el establecimiento, Armario, Guardaequipaje, Máquina expendedora (bebidas), Servicio de conserjería, TV de pantalla plana, Adaptado para personas con movilidad reducida, Toallas, Baño privado, Cámaras de seguridad en áreas comunes, Recepción 24 horas, Toda la unidad es accesible mediante silla de ruedas, Calefacción, Bar, Habitaciones para no fumadores, Secador de pelo, Vino/Champán, Detector de humo, Desayuno, Español, Plancha para pantalones, Extintores, Perchero de barral, Bañera, Fax/fotocopiadora, Caja fuerte, Papel higiénico, Inglés, Acceso a pisos superiores solo por escalera, Wifi gratis, Proporciona factura, Salas de reuniones/banquetes, Habitaciones familiares, Cafetería en la propiedad, Servicio de planchado, Bidé, Servicio de despertador",Rio Gallegos,Argentina,"El Hotel Aire de Patagonia, bien situado en el centro de la ciudad de Río Gallegos, a 300 metros de la plaza San Martín, ofrece conexión wifi gratis y restaurante. La avenida de Kirchner, la principal avenida de la ciudad, está a 500 metros.

Las habitaciones del Hotel Aire de Patagonia son tranquilas y disponen de baño privado, TV LED de 32 pulgadas y sábanas de algodón egipcio.

El Hotel Aire de Patagonia proporciona room service las 24 horas y servicio de limpieza diario. Además, alberga centro de negocios y bar.

El Hotel Aire de Patagonia se encuentra a 15 minutos en auto del aeropuerto internacional Piloto Civil Norberto Fernández. Por un adicional, se facilita estacionamiento privado en el mismo alojamiento. Dicho servicio está sujeto a disponibilidad."
Hotel Oviedo,US$38,"7,5",Bien,53,https://cf.bstatic.com/xdata/images/hotel/max1024x768/20876975.webp?k=244b31470e888edca4053d8670f38b37fa647ef8214125240945e8332caedbb2&o=,https://www.booking.com/hotel/ar/oviedo-rao-gallegos.es.html?aid=2410095,"Estacionamiento gratuito, Desayuno, Wifi gratis, Recepción 24 horas, Guardaequipaje, Español, TV, Servicio de conserjería, Calefacción, Ducha, Canales por cable, Baño privado",Rio Gallegos,Argentina,"El Hotel Oviedo ofrece desayuno gratuito y conexión de wifi gratis en Río Gallegos, a 200 metros de la avenida principal Presidente Néstor Kirchner.

Las habitaciones presentan un diseño sencillo, con toques de color. Todas tienen baño privado, TV por cable y calefacción.

La recepción abrí las 24 horas. El Hotel Oviedo proporciona servicio de conserjería y consigna de equipaje.

El alojamiento se encuentra a 4 km del aeropuerto internacional Piloto Civil Norberto Fernández. El Hotel Oviedo ofrece estacionamiento privado gratuito, disponible con reserva previa."
