hotel,price,score,avg review,reviews count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Internacional,US$103,"8,0",Muy bien,769,https://cf.bstatic.com/xdata/images/hotel/max1024x768/99957071.webp?k=4f20b639c64d753cf47e269746f506f0fa1304f753f90ddecc47ed5a932a78a9&o=,https://www.booking.com/hotel/uy/internacional.es.html?aid=2410095,"Zona TV / salón de uso compartido, Baño privado, Enchufe cerca de la cama, Patio, Detectores de humo, Nevera, Parking adaptado para personas de movilidad reducida, Plancha para pantalones, Ping pong, Servicio de conserjería, Guardaequipaje, Mobiliario exterior, Proporciona factura, TV, Bañera o ducha, Servicio de despertador, Tendedero, Toallas, Portugués, Servicio de limpieza diario, Caja fuerte para ordenador portátil, Zona de juegos interior, Aire acondicionado, Minibar, Baños públicos, Servicio de lavandería, Zona de fumadores, Calefacción, Muy buen desayuno, Desayuno en la habitación, Servicio de despertador / alarma, Vistas a un patio interior, Habitaciones sin humo, Servicio de planchado, Centro de negocios, Bar, Cámaras de seguridad en las zonas comunitarias, Seguridad 24 horas, WiFi gratis, Caja fuerte, Gimnasio, Recepción 24 horas, Ropa de cama, Menús para dietas especiales (bajo petición), TV de pantalla plana, Canales de pago, Extintores, Prohibido fumar en todo el alojamiento, Sala de juegos, Armario, Canales vía satélite, Papel higiénico, Zona de juegos para niños, Club infantil, Bidet, Snack-bar, Secador de pelo, Información turística, Cámaras de seguridad fuera del alojamiento, Servicio de habitaciones, Fax / fotocopiadora, Perchero, Jardín, Cafetería en el alojamiento, Registro de entrada / salida privado, Artículos de aseo gratis, Sofá, Parking gratis, Teléfono, Ducha, Habitaciones familiares, Vistas, WC, Español, Alarma de seguridad, Salas de reuniones / banquetes, Parking en un garaje, Tarjeta de acceso",Rocha,Uruguay,"El Hotel Internacional está situado en la avenida Brasil de Chuy, en la frontera entre Uruguay y Brasil. Sirve un desayuno bufé incluido todos los días y ofrece habitaciones con conexión Wi-Fi gratuita y TV de plasma.

Las habitaciones del Internacional Hotel están decoradas con suelo de baldosa y disponen de calefacción y minibar. Todas las habitaciones y apartamentos tienen aire acondicionado.

Además, este hotel cuenta con patio con jardín y parque infantil y ofrece servicio de café. A pocos pasos hay tiendas libres de impuestos.

El Hotel Internacional ofrece aparcamiento gratuito y se encuentra a 35 km de la fortaleza de Santa Teresa, a 9 km de la playa de Ocean y a 230 km de Punta del Este."
UY Proa Sur Hotel,US$90,"8,7",Fabuloso,1.594,https://cf.bstatic.com/xdata/images/hotel/max1024x768/245223365.webp?k=569bc7dc878ae49d74cdfc21813958f6dc5d0e4dbc3d4dca1576d38558560754&o=,https://www.booking.com/hotel/uy/uy-proa-sur.es.html?aid=2410095,"Piscina interior, Secador de pelo, WiFi gratis, Acceso a pisos superiores en ascensor, Baño privado, Caja fuerte, Enchufe cerca de la cama, Información turística, Servicio de lavandería, Gimnasio, Recepción 24 horas, Cámaras de seguridad fuera del alojamiento, Fax / fotocopiadora, Detectores de humo, Ropa de cama, Menús para dietas especiales (bajo petición), Piscina pequeña, TV de pantalla plana, Horario de apertura, Adaptado personas de movilidad reducida, Calefacción, Artículos de aseo gratis, Adaptado para sillas de ruedas, Suelo de baldosa / mármol, Servicio de entrega de comestibles, Parking gratis, Buen desayuno, Inglés, Teléfono, Servicio de conserjería, Ducha, Guardaequipaje, Extintores, Habitaciones familiares, Proporciona factura, TV, Prohibido fumar en todo el alojamiento, WC, Servicio de despertador, Español, Tendedero, Canales vía satélite, Tarjeta de acceso, Papel higiénico, Toallas, WC elevado, Habitaciones sin humo, Sauna, Abierta todo el año, Servicio de planchado, Servicio de limpieza diario, Bidet, Para todas las edades, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Piscina climatizada, Toallas de playa/piscina, Aire acondicionado, Escritorio, Minibar, Baños públicos, Ascensor, Tumbonas/sillas de playa",Rocha,Uruguay,"Este establecimiento ofrece vistas panorámicas al mar y piscina cubierta y se encuentra en La Paloma, a 1,5 km de una parada de autobús. Alberga sauna y centro de fitness. Hay WiFi gratuita.

El Uy Proa Sur Hotel ofrece habitaciones con aire acondicionado, vistas al mar, TV por cable de pantalla plana y baño privado con bañera y artículos de aseo.

Además, se sirve un desayuno completo diario con café y zumos.

El hotel está a 125 km de Punta del Este y cuenta con mostrador de información turística y servicio de alquiler de coches.
Además, organiza servicio de enlace con el aeropuerto, ubicado a 110 km."
La Casa del Caminante,US$40,"7,3",Bien,27,https://cf.bstatic.com/xdata/images/hotel/max1024x768/172820484.webp?k=1019ae46c522ab3b5556e95d1421a398497b3ba82f76a250d47280dd630684d3&o=,https://www.booking.com/hotel/uy/la-casa-del-caminante.es.html?aid=2410095,"WiFi gratis, Baño privado, Fogones, Utensilios de cocina, Terraza, Enchufe cerca de la cama, Patio, Información turística, Servicio de lavandería, Nevera, Ropa de cama, Zona de estar, Jardín, Vistas a la ciudad, Zona de cocina, Canales de pago, Italiano, Ducha, Extintores, Habitaciones familiares, Cocina, Mobiliario exterior, Juegos de mesa / puzles, Bañera o ducha, Armario, Papel higiénico, Habitaciones sin humo, Barbacoa, Ventilador, Chimenea exterior, Adosado, Tours a pie, Zona de comedor exterior",Rocha,Uruguay,"La Casa del Caminante ofrece alojamiento independiente en Aguas Dulces, a pocos metros de la playa. El establecimiento dispone de conexión WiFi gratuita y un jardín amplio.

Los apartamentos de La Casa del Caminante están decorados de forma sencilla y cómoda. Todos incluyen zona de estar con TV por cable y cocina bien equipada. Algunos disfrutan de vistas al jardín.

En la zona se pueden practicar varias actividades, como equitación y senderismo. Los huéspedes también podrán relajarse en el jardín. Hay servicio de alquiler de bicicletas."
Puertas al Cabo,US$115,"8,4",Muy bien,491,https://cf.bstatic.com/xdata/images/hotel/max1024x768/278159467.webp?k=1566d9d6945e7a950e9ae2b48a465e7802e109ad976be9d63e4cb7f87eee90cf&o=,https://www.booking.com/hotel/uy/puertas-al-cabo.es.html?aid=2410095,"Pesca, WiFi gratis, Happy hour, Baño privado, Fruta, Terraza, Senderismo, Información turística, Entretenimiento nocturno, Recepción 24 horas, Servicio de habitaciones, Tour o clase sobre cultura local, Ropa de cama, Menús para dietas especiales (bajo petición), Fax / fotocopiadora, Clases de yoga, Sombrillas, Jardín, Masajes, Cafetería en el alojamiento, Menú para niños, Zona de pícnic, Vino / champán, Clases de cocina, Suelo de baldosa / mármol, Servicio de entrega de comestibles, Bingo, Restaurante, Playa, Masaje de cabeza, Buen desayuno, Inglés, Equitación, Ducha, Toallas / sábanas (por un suplemento), Extintores, Música / espectáculos en directo, Habitaciones familiares, Situado frente a la playa, Seguridad 24 horas, Mobiliario exterior, Traslado aeropuerto, Proporciona factura, Masaje de pies, Prohibido fumar en todo el alojamiento, Juegos de mesa / puzles, Servicio de despertador / alarma, Servicio de despertador, Toda la unidad en la planta baja, Eventos deportivos en directo (emisión), Español, Toallas, Barbacoa, Cenas temáticas, Portugués, Servicio de limpieza diario, Masaje corporal completo, Chimenea exterior, Aeróbic, Bar, Almuerzos para llevar, Tours a pie, Masaje de espalda, Cocina compartida, Snack-bar",Rocha,Uruguay,"Puertas al Cabo tiene jardín, terraza, restaurante y bar en Cabo Polonio. El alojamiento, construido en 1999, está a solo pocos pasos de Playa Sur y a 7 min a pie de Playa de la Calavera. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

En el albergue, las habitaciones disponen de baño privado y ropa de cama."
La Tahona,US$79,"8,7",Fabuloso,100,https://cf.bstatic.com/xdata/images/hotel/max1024x768/112727494.webp?k=ff4c079db9f43950a4ff2554ad91813d0bc0d29dc5731ecd13754e2eb01be21a&o=,https://www.booking.com/hotel/uy/la-tahona.es.html?aid=2410095,"Zona TV / salón de uso compartido, Pesca, WiFi gratis, Baño privado, Fogones, Fruta, Horno, Terraza, Senderismo, Enchufe cerca de la cama, Servicio de lavandería, Nevera, Ropa de cama, Menús para dietas especiales (bajo petición), Perchero, Clases de yoga, Jardín, Zona de estar, Parking en la calle, Zona de fumadores, Vistas al jardín, Zona de pícnic, Vistas a la montaña, Registro de entrada / salida privado, Parking adaptado para personas de movilidad reducida, Calefacción, Entrada privada, Parking gratis, Inglés, Desayuno, Equitación, Ducha, Guardaequipaje, Habitaciones familiares, Cocina, Mobiliario exterior, Lavadora, Juegos de mesa / puzles, Vistas, Bañera o ducha, WC, Sala de juegos, Toda la unidad en la planta baja, Armario, Español, Llave de acceso, Papel higiénico, Toallas, Zona de juegos para niños, Habitaciones sin humo, Barbacoa, Hervidor eléctrico, Bañera, Terraza / solárium, Equipamiento de juegos para exterior, Canguro / servicios para niños, Ventilador, Bidet, Chimenea exterior, Salas de reuniones / banquetes, Mosquitera, Suelo de madera o parquet, Zona de comedor exterior, Chimenea, Cocina compartida, Trona",Rocha,Uruguay,"El establecimiento La Tahona está situado en Rocha, a 40 km de La Paloma, y dispone de solárium y vistas al río y a la montaña. La Pedrera queda a 36 km. Hay WiFi gratuita.

Todos los alojamientos tienen vistas a las montañas, chimenea, baño privado, aparcamiento privado gratuito, toallas y ropa de cama.

El establecimiento alberga una cocina común y un restaurante, disponibles bajo petición.

En la zona también se puede practicar equitación, pesca y senderismo. El aeropuerto internacional Capitán Carlos A. Curbelo, el más cercano, queda a 84 km de La Tahona."
Valizas Hostel,US$21,"8,6",Fabuloso,193,https://cf.bstatic.com/xdata/images/hotel/max1024x768/329779136.webp?k=76a0e0f62ffd0b2b03ef107f469192d65c082ce17dd5f8782c55444c01668685&o=,https://www.booking.com/hotel/uy/valizas-hostel.es.html?aid=2410095,"Zona TV / salón de uso compartido, Billar, WiFi gratis, Happy hour, Fruta, Terraza, Caja fuerte, Información turística, Servicio de lavandería, Solárium, Recepción 24 horas, Cámaras de seguridad fuera del alojamiento, Servicio de habitaciones, Fax / fotocopiadora, Discoteca / DJ, Sombrillas, Jardín, Francés, Parking en la calle, Cafetería en el alojamiento, Menú para niños, Zona de fumadores, Zona de pícnic, Boles para mascotas, Calefacción, Taquillas, Tumbonas/sillas de playa, Parking gratis, Playa, Italiano, Alquiler de bicicletas, Inglés, Muy buen desayuno, Guardaequipaje, Extintores, Habitaciones familiares, Mobiliario exterior, Juegos de mesa / puzles, Sala de juegos, Español, Alarma de seguridad, Llave de acceso, Cambio de moneda, Barbacoa, Habitaciones sin humo, Alemán, Terraza / solárium, Centro de negocios, Servicio de limpieza diario, Portugués, Chimenea exterior, Ruta de bares, Ciclismo, Bar, Zona de juegos interior, Aire acondicionado, Cámaras de seguridad en las zonas comunitarias, Cocina compartida, Seguridad 24 horas",Rocha,Uruguay,"El Valizas Hostel se encuentra en la avenida principal, a 100 metros de la playa, y ofrece conexión Wi-Fi gratuita y desayuno en Rocha. Cuenta con un jardín, un solárium y una zona de barbacoa. A 300 metros hay una parada de autobús.

Las habitaciones del Valizas cuentan con baño privado o compartido.

Los huéspedes pueden relajarse en el jardín o con un aperitivo del bar. Hay un centro de negocios y servicio de lavandería.

El Valizas Hostel dispone de aparcamiento gratuito."
Compay Hostel La Pedrera,US$16,"8,4",Muy bien,160,https://cf.bstatic.com/xdata/images/hotel/max1024x768/422663626.webp?k=6865ad3b1aacbc092a56dca160f14f3930542ad74d3f20c9dcac000017b0829e&o=,https://www.booking.com/hotel/uy/compay-hostel.es.html?aid=2410095,"Personal de animación, Zona TV / salón de uso compartido, Pesca, Snorkel, WiFi gratis, Happy hour, Terraza, Senderismo, Enchufe cerca de la cama, Patio, Entretenimiento nocturno, Información turística, Recepción 24 horas, Servicio de lavandería, Servicio de habitaciones, Tour o clase sobre cultura local, Menús para dietas especiales (bajo petición), Vistas a un lugar de interés, Servicio de traslado, Jardín, Parking en la calle, Zona de fumadores, Zona de pícnic, Noches de cine, Clases de cocina, Parking gratis, Playa, Alquiler de bicicletas, Inglés, Desayuno, Ping pong, Ducha, Guardaequipaje, Protector de enchufes para niños, Música / espectáculos en directo, Extintores, Piscina privada, Juegos de mesa / puzles, Servicio de limpieza en seco, WC, Piscina al aire libre, Sala de juegos, Eventos deportivos en directo (emisión), Español, Papel higiénico, Acceso a pisos superiores solo mediante escaleras, Cambio de moneda, Barbacoa, Habitaciones sin humo, Vistas a la piscina, Cenas temáticas, Equipamiento de juegos para exterior, Windsurf, Servicio de limpieza diario, Ruta de bares, Salas de reuniones / banquetes, Bar, Zona de juegos interior, Tours a pie, Cocina compartida, Seguridad 24 horas",Rocha,Uruguay,"El Compay Hostel La Pedrera se encuentra en La Pedrera y ofrece jardín con piscina y zona de barbacoa, cocina compartida y habitaciones con conexión Wi-Fi gratuita y vistas al mar. Se pueden solicitar clases de surf. La playa de El Desplayado está a 300 metros.

Las habitaciones del Compay Hostel La Pedrera están equipadas con taquillas privadas. Todas tienen baño compartido con agua caliente.

Todos los días se sirve un desayuno continental. El establecimiento cuenta con cocina compartida y zona de barbacoa. En el salón compartido hay ordenadores. Se proporciona información turística.

También hay una sala de lectura. La playa de El Barco está a 700 metros.

El Compay Hostel La Pedrera se encuentra a 800 metros de la zona comercial y a 500 metros de la estación de autobuses."
El Diablo en Paz,US$135,"8,7",Fabuloso,64,https://cf.bstatic.com/xdata/images/hotel/max1024x768/228959391.webp?k=f09947e0e1b3880598b0e8f8c4848ec0317bdc7dbcd4adb876cfb22e90e52b3b&o=,https://www.booking.com/hotel/uy/la-paz-del-diablo-i-y-ii.es.html?aid=2410095,"WiFi gratis, Baño privado, Fogones, Zona de comedor exterior, Horno, Utensilios de cocina, Insonorización, Enchufe cerca de la cama, Patio, Solárium, Información turística, Recepción 24 horas, Cámaras de seguridad fuera del alojamiento, Nevera, Vistas a un lugar de interés, Perchero, TV de pantalla plana, Zona de estar, Jardín, Parking en la calle, Sombrillas, Vistas al jardín, Zona de pícnic, Productos de limpieza, Calefacción, Sofá, Entrada privada, Parking gratis, Vistas a la ciudad, Zona de cocina, Secadora de ropa, Zona de comedor, Mesa de comedor, Toallas / sábanas (por un suplemento), Ducha, Extintores, Cocina, Mobiliario exterior, Proporciona factura, TV, Vistas, Bañera o ducha, WC, Piscina al aire libre, Cafetera, Armario, Servicio de streaming (como Netflix), Toda la unidad en la planta baja, Tendedero, Canales vía satélite, Alarma de seguridad, Papel higiénico, Cambio de moneda, Hervidor eléctrico, Barbacoa, Vistas a la piscina, Terraza / solárium, Ventilador, Bidet, Habitaciones insonorizadas, Microondas, Aire acondicionado, Tostadora, Cámaras de seguridad en las zonas comunitarias, Euskera",Rocha,Uruguay,"El establecimiento La Paz del Diablo está situado en Punta del Diablo, a 200 metros del centro y a 350 metros de la playa de Rivero. Ofrece una piscina al aire libre y una zona de barbacoa.

Además, dispone de cocina totalmente equipada, baño privado con ducha y aire acondicionado.

La Paz del Diablo alberga un jardín.

El establecimiento se encuentra a 400 metros de la playa de Pescadores y a 500 metros de la playa de la Viuda. El Boulevard de Santa Teresa está a 200 metros."
Viejo Lobo,US$24,"8,6",Fabuloso,489,https://cf.bstatic.com/xdata/images/hotel/max1024x768/111491159.webp?k=80b947dac6af54d9cf3fa6a6da65a514597d65ab68907194ada099250e79b26a&o=,https://www.booking.com/hotel/uy/viejo-lobo.es.html?aid=2410095,"Zona TV / salón de uso compartido, Pesca, Snorkel, WiFi gratis, Senderismo, Detectores de humo, Información turística, Ropa de cama, Jardín, Zona de fumadores, Zona de pícnic, Calefacción, Playa, Inglés, Equitación, Guardaequipaje, Extintores, Música / espectáculos en directo, Habitaciones familiares, Situado frente a la playa, Mobiliario exterior, Juegos de mesa / puzles, Galerías de arte temporales, WC, Sala de juegos, Español, Papel higiénico, Toallas, Habitaciones sin humo, Terraza / solárium, Equipamiento de juegos para exterior, Portugués, Windsurf, Chimenea exterior, Ruta de bares, Mosquitera, Bar, Tours a pie, Cocina compartida",Rocha,Uruguay,"El establecimiento Viejo Lobo ocupa un encantador rancho situado a 1 minuto a pie de la Playa Norte y a 15 minutos a pie del faro de Cabo Polonio. Ofrece chimenea, cocina común y alojamientos económicos con vistas al mar.

Las luminosas habitaciones del establecimiento Viejo Lobo están decoradas con suelo de baldosa y tienen baño compartido.

Los huéspedes pueden utilizar la cocina común y la zona de barbacoa.

También hay guardaequipaje, una chimenea en el vestíbulo y un mostrador de información turística para reservar excursiones. Además, el monumento natural de Dunas está a 30 minutos a pie.

El establecimiento Viejo Lobo se halla a 7 km de la terminal de autobuses de Cabo Polonio, mientras que la Playa Sur queda a 3 minutos a pie."
"Posada Buscavida Close to CABO POLONIO, Oceanía del Polonio",US$58,"7,5",Bien,40,https://cf.bstatic.com/xdata/images/hotel/max1024x768/222903677.webp?k=55c653de9b9aff0a5de7e62dd48b390ad7e1d5f327edfb41b0fbef42a0369a6a&o=,https://www.booking.com/hotel/uy/posada-buscavida.es.html?aid=2410095,"Pesca, WiFi gratis, Terraza, Senderismo, Información turística, Entretenimiento nocturno, Servicio de lavandería, Recepción 24 horas, Servicio de habitaciones, Masajes, Jardín, Parking en la calle, Zona de fumadores, Servicio de entrega de comestibles, Restaurante, Parking gratis, Playa, Inglés, Desayuno, Equitación, Guardaequipaje, Desayuno en la habitación, Situado frente a la playa, Mobiliario exterior, Traslado aeropuerto, Español, Barbacoa, Habitaciones sin humo, Terraza / solárium, Canguro / servicios para niños, Windsurf, Servicio de limpieza diario, Bar",Rocha,Uruguay,"La Posada Buscavida Close to CABO POLONIO, Oceanía del Polonio, ubicada entre acacias y pinos, está a 200 metros del océano con dunas de arenas vírgenes y vistas espectaculares que conducen a una playa privada y kilómetros de una costa prístina.

Todas las habitaciones tienen baño privado con ducha de agua caliente y terraza privada con sofá, mesa y hamaca.

La Posada Buscavida Close to CABO POLONIO, Oceanía del Polonio se encuentra en Oceanía del Polonio, en el departamento de Rocha, a 34 km de La Paloma. Ofrece zona de barbacoa y restaurante con terraza.

El establecimiento cuenta con bar y aparcamiento privado gratuito.

En la zona se pueden practicar diversas actividades, como equitación y senderismo. La Posada Buscavida Close to CABO POLONIO, Oceanía del Polonio se halla a 12 km de Cabo Polonio y a 26 km de La Pedrera."
