hotel,hotel_url,description,popular_facilities,highres_url,city,country
Mahalo Hostel,https://www.booking.com/hotel/co/mahalo-hostel.es.html?aid=2410095,"Mahalo Hostel se encuentra en Salento, a 47 km de Ukumari Zoo, y ofrece servicio de conserjería, salón de uso común, wifi gratis y terraza. El alojamiento está a unos 35 km de Jardín Botánico de Pereira, a 35 km de Universidad Tecnológica de Pereira y a 36 km de Viaducto César Gaviria Trujillo. El albergue dispone de habitaciones familiares.

La zona es ideal para practicar ciclismo, y en el albergue hay alquiler de bicicletas.

En la recepción, el personal habla inglés, español y portugués.

Viaducto entre Pereira y Dosquebradas está a 37 km del alojamiento, y Museo de Arte de Pereira está a 39 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 35 km.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Spa y centro de bienestar, Alarma de seguridad, Baños públicos, Cafetería en el alojamiento, Masaje de manos, Noches de cine, Recepción 24 horas, Cenas temáticas, Servicio de limpieza diario, Inglés, Solárium, Desayuno fantástico, Clases de cocina, Extintores, Ciclismo, Silla de masajes, Masajes, Tour o clase sobre cultura local, Menú para niños, Masaje en pareja, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Tours en bici, Galerías de arte temporales, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Bingo, Masaje de pies, Proporciona factura, Zona de fumadores, Zona de juegos interior, Mobiliario exterior, Tours a pie, Taquillas, Masaje de cabeza, Alquiler de bicicletas, Llave de acceso, Equitación, Chimenea exterior, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Masaje corporal completo, Portugués, Terraza / solárium, Clases de yoga, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Toallas, Habitaciones familiares, Español, Masaje de espalda, Clases de fitness, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/284190949.jpg?k=2908dd668cc53b893d0755da9c2a855b94c9b6c9b8de5e6bba2c49f9febdc154&o=&hp=1,Salento,Colombia
Hotel Natura Cocora,https://www.booking.com/hotel/co/natura-cocora.es.html?aid=2410095,"Hotel Natura Cocora está en Salento, a 48 km de Ukumari Zoo, y dispone de alojamiento con jardín, parking privado gratis y terraza. El alojamiento se encuentra a 36 km de Jardín Botánico de Pereira, a 36 km de Universidad Tecnológica de Pereira y a 37 km de Viaducto César Gaviria Trujillo. Este hotel acepta mascotas y ofrece wifi gratis.

Cada habitación dispone de baño privado con ducha, algunas ofrecen balcón y otras también incluyen vistas a la ciudad. En el hotel, cada habitación tiene zona de estar.

Viaducto entre Pereira y Dosquebradas está a 38 km del alojamiento, y Museo de Arte de Pereira está a 39 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 35 km.","Inglés, Terraza, WC, Jardín, Prohibido fumar en todo el alojamiento, Baños públicos, Parking gratis, Habitaciones sin humo, Baño privado, Toallas, Habitaciones familiares, Desayuno fabuloso, Español, Zona de estar, WiFi gratis, Ducha, Papel higiénico, Enchufe cerca de la cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/309489416.jpg?k=76e270b3625acc3fa16a08030bd7f92482b35e0bf9528a9cd182c3e97498de03&o=&hp=1,Salento,Colombia
Casa Emmanuel,https://www.booking.com/hotel/co/casa-emmanuel-salento2.es.html?aid=2410095,"Casa Emmanuel se encuentra en Salento, a 47 km de Ukumari Zoo y a 35 km de Jardín Botánico de Pereira. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a unos 36 km de Viaducto César Gaviria Trujillo, a 37 km de Viaducto entre Pereira y Dosquebradas y a 38 km de Museo de Arte de Pereira. Este alojamiento libre de humo está a 35 km de Universidad Tecnológica de Pereira.

En el hostal o pensión, cada habitación tiene armario. Algunas de las habitaciones también están equipadas con cocina con fogones y tostadora.

Monumento a los Fundadores está a 40 km del alojamiento, y Catedral de Nuestra Señora de la Pobreza está a 40 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 34 km del alojamiento.","Armario, Suelo de baldosa / mármol, Perchero, Prohibido fumar en todo el alojamiento, Toda la unidad accesible en silla de ruedas, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Vistas, Suelo de madera o parquet, Entrada privada, Inglés, Español, WiFi gratis, Jardín, Enchufe cerca de la cama, Protector de enchufes para niños",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515320779.jpg?k=97b9c2bbd7dd1512afd3be12af1f3823e4155fbe92e88465124b7c447b9a71ba&o=&hp=1,Salento,Colombia
Mi Balconcito,https://www.booking.com/hotel/co/mi-balconcito.es.html?aid=2410095,"Mi Balconcito está en Salento y dispone de wifi gratis a 47 km de Ukumari Zoo y a 35 km de Jardín Botánico de Pereira.

Algunas unidades tienen TV de pantalla plana por cable, cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

Universidad Tecnológica de Pereira está a 35 km del alojamiento, y Viaducto César Gaviria Trujillo está a 36 km. El aeropuerto (Aeropuerto internacional de El Edén) está a 34 km.","WiFi gratis, Habitaciones familiares, Español, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/385777616.jpg?k=c739e691a7b8bfae70def954a3b8cfdfa7c012e1bb161d663588764eb112478f&o=&hp=1,Salento,Colombia
Posada Elenita,https://www.booking.com/hotel/co/donde-elenita.es.html?aid=2410095,"Posada Elenita se encuentra en Salento, a 47 km de Ukumari Zoo y a 35 km de Jardín Botánico de Pereira, y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la ciudad.

Universidad Tecnológica de Pereira está a 35 km del alojamiento, y Viaducto César Gaviria Trujillo está a 36 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 34 km.","Terraza, Habitaciones sin humo, Muebles de exterior, Jardín, Extintores, TV, Entrada privada, Ropa de cama, WiFi gratis, Ducha, Enchufe cerca de la cama, Tours a pie, Zona de estar, Llave de acceso, Servicio de lavandería, WC, Zona de comedor exterior, TV de pantalla plana, Balcón, Toallas, Lavadora, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/322787790.jpg?k=fc4f6ed0093fbaf72f6e5f6018475f272a06cbdee63f86431d6e756260fe005f&o=&hp=1,Salento,Colombia
El Patio de mi Casa Hotel Restaurante,https://www.booking.com/hotel/co/el-patio-restaurante.es.html?aid=2410095,"El Patio de mi Casa Hotel Restaurante se encuentra a 47 km de Ukumari Zoo, en Salento, y dispone de equipamiento como terraza, restaurante y bar. El alojamiento está a 35 km de Jardín Botánico de Pereira, a 35 km de Universidad Tecnológica de Pereira y a 36 km de Viaducto César Gaviria Trujillo. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

Viaducto entre Pereira y Dosquebradas está a 37 km del alojamiento, y Museo de Arte de Pereira está a 38 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 34 km.","Terraza, Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Senderismo, Cambio de moneda, Recepción 24 horas, Cenas temáticas, Extintores, Clases de cocina, Parking, Traslado aeropuerto, Vino / champán, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Servicio de habitaciones, Proporciona factura, Mobiliario exterior, Tours a pie, Llave de acceso, Equitación, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Plancha para pantalones, Habitaciones familiares, Español, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/365595249.jpg?k=7bf91f527122e1d20fc7d3ce7bfbed4062ed279dc79b8dd6e656f237779cdfdc&o=&hp=1,Salento,Colombia
habitación privada BAREQUE,https://www.booking.com/hotel/co/hospedaje-bareque-salento.es.html?aid=2410095,"Habitación privada BAREQUE está en Salento, a 47 km de Ukumari Zoo y a 35 km de Jardín Botánico de Pereira, y ofrece alojamiento con wifi gratis.

En el bed and breakfast se puede disfrutar de un desayuno continental.

Universidad Tecnológica de Pereira está a 35 km del alojamiento, y Museo de Arte de Pereira está a 36 km. El aeropuerto (Aeropuerto internacional Matecaña) está a 40 km.","Desayuno, Prohibido fumar en todo el alojamiento, Baño privado, Toallas, Español, WiFi gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537074941.jpg?k=cf991b29a0f38819bacae46da71dda766a9fb3d191b5f72fb98a3ff335068547&o=&hp=1,Salento,Colombia
Hospedaje Vista Hermosa Salento,https://www.booking.com/hotel/co/vista-hermosa-salento.es.html?aid=2410095,"Hospedaje Vista Hermosa Salento está en Salento y tiene jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento está a unos 36 km de Jardín Botánico de Pereira, a 36 km de Universidad Tecnológica de Pereira y a 37 km de Viaducto César Gaviria Trujillo. Este alojamiento libre de humo se encuentra a 47 km de Ukumari Zoo.

Las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Todas las habitaciones incluyen baño privado con ducha, algunas ofrecen balcón y otras también tienen vistas a la ciudad. En el albergue, todas las habitaciones tienen ropa de cama y toallas.

En Hospedaje Vista Hermosa Salento se puede disfrutar de un desayuno a la carta.

La zona es ideal para practicar senderismo, y en el alojamiento hay alquiler de bicicletas.

Viaducto entre Pereira y Dosquebradas está a 38 km del alojamiento, y Museo de Arte de Pereira está a 39 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 34 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Juegos de mesa / puzles, Sombrillas, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Senderismo, Inglés, Baño privado, Jardín, Extintores, TV, Traslado aeropuerto, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Tours en bici, Desayuno fabuloso, Ropa de cama, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Enchufe cerca de la cama, Zona de juegos interior, Canales por cable, Tours a pie, Alquiler de bicicletas, Llave de acceso, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Tendedero, Español, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/498141306.jpg?k=70628536bf2bc84e49a176143e585966d480473c5e227fc3138931ce66daf7d6&o=&hp=1,Salento,Colombia
Hostal Villa del Sol,https://www.booking.com/hotel/co/hostal-villa-del-sol.es.html?aid=2410095,"Hostal Villa del Sol está en Salento, a 37 km de Viaducto César Gaviria Trujillo y a 38 km de Viaducto entre Pereira y Dosquebradas. El alojamiento está a unos 47 km de Ukumari Zoo, a 36 km de Jardín Botánico de Pereira y a 36 km de Universidad Tecnológica de Pereira. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones cuentan con un patio con vistas a la montaña. Todas las habitaciones incluyen baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En Hostal Villa del Sol, las habitaciones cuentan con ropa de cama y toallas.

La zona es ideal para practicar ciclismo, y en el alojamiento hay alquiler de bicicletas.

Museo de Arte de Pereira está a 39 km del alojamiento, y Monumento a los Fundadores está a 40 km. El aeropuerto más cercano (Aeropuerto internacional de El Edén) está a 34 km.","Servicio de entrega de comestibles, Secador de pelo, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Recepción 24 horas, Inglés, Baño privado, Extintores, Cocina, Ciclismo, Discoteca / DJ, Tarjetas de transporte público, Accesible para personas sordas, Traslado aeropuerto, Vino / champán, Información turística, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Registro de entrada / salida privado, Servicio de conserjería, Patio, Tours en bici, Ropa de cama, Servicio de traslado, Entrada privada, Cocina compartida, Ducha, Servicio de habitaciones, Mesa de comedor, Vistas a un lugar de interés, Enchufe cerca de la cama, Zona de cocina, Proporciona factura, Ruta de bares, Plancha para ropa, Wifi buena gratis (25 Mbps), Mobiliario exterior, Productos de limpieza, Tours a pie, Cafetera, Vistas a la montaña, Aseo adicional, Alquiler de bicicletas, Llave de acceso, Gimnasio, Equitación, Acceso al salón executive, Utensilios de cocina, Zona de comedor exterior, Tetera/cafetera en todas las habitaciones, Toda la unidad en la planta baja, Billar, Zona de comedor, Toallas, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Baños termales, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/434953252.jpg?k=f2332f326a2507f9b151c3d8d12fcf79b52ea567f9eced68ff28a42c05cccd49&o=&hp=1,Salento,Colombia
Huellas Con Café,https://www.booking.com/hotel/co/huellas-con-cafe.es.html?aid=2410095,"Huellas Con Café está en Salento, a 47 km de Ukumari Zoo y a 35 km de Jardín Botánico de Pereira, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. La habitación en casa particular, que se encuentra en un edificio de 2024, está a 35 km de Universidad Tecnológica de Pereira y a 36 km de Museo de Arte de Pereira.

Monumento a los Fundadores está a 36 km del alojamiento, y Catedral de Nuestra Señora de la Pobreza está a 36 km. El aeropuerto más cercano (Aeropuerto internacional Matecaña) está a 40 km.","Prohibido fumar en todo el alojamiento, Baño privado, TV de pantalla plana, Toallas, Español, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585733488.jpg?k=bd001dc5e551dadcb5526450733eea1b6d3393cfadcb55bd0af9adccca21728d&o=&hp=1,Salento,Colombia
