hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Presidente Beach Salinas,https://www.booking.com/hotel/ec/greenfields.es.html?aid=2410095,"El Hotel Presidente Beach Salinas ofrece piscina al aire libre, baño de vapor y restaurante, y está situado a 4 km del parque central de Salinas y a 5 minutos en coche de la playa de San Lorenzo.

Las habitaciones tienen conexión Wi-Fi gratuita, aire acondicionado, canales vía satélite y canales de pago. El baño privado está equipado con ducha, toallas y artículos de aseo gratuitos. Además, se proporciona la ropa de cama.

El Hotel Presidente Beach Salinas dispone de centro de fitness y aparcamiento gratuito.

Este establecimiento está a 4,8 km de la playa de Chipipe y a 6,4 km de la playa de Mar Bravo. La plaza principal de La Libertad se encuentra a 7 minutos en coche y el aeropuerto internacional José Joaquín se halla a 2 horas en coche.","Sala de juegos, Parking en un garaje, Fruta, Mesa de comedor, Canales vía satélite, Prohibido fumar en todo el alojamiento, Billar, Parking gratis, Sombrillas, Llave de acceso, Servicio de limpieza diario, Servicio de despertador, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Papel higiénico, Tumbonas/sillas de playa, Bar, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Gimnasio, Alarma de seguridad, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Cafetería en el alojamiento, Centro de negocios, Toallas de playa/piscina, Piscina infantil, Bar en la piscina, Fax / fotocopiadora, Ascensor, Abierta todo el año, Bañera, Español, Baño privado, Aire acondicionado, Sauna, Adecuada para niños, Zona TV / salón de uso compartido, Vistas, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Buen desayuno, Ducha, Parking adaptado para personas de movilidad reducida, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/287134741.jpg?k=92270de57440359e46a645974dd20128eea27551dfb8b8cb707f674ad4dcd9dc&o=&hp=1,Salinas,Ecuador
Hotel Marvento II,https://www.booking.com/hotel/ec/marvento-2.es.html?aid=2410095,"Ofrece piscina cubierta y habitaciones con conexión Wi-Fi gratuita en Salinas, a 100 metros de la playa y a 12 calles del parque central. Además, incluye un desayuno americano diario y aparcamiento privado gratuito.

Las habitaciones del Hotel Marvento II son prácticas y están equipadas con aire acondicionado, TV por cable con pantalla plana y baño privado.

El establecimiento cuenta con un restaurante y servicio de habitaciones.

La ciudad de Guayaquil y el aeropuerto José Joaquín de Olmedo se encuentran a 141 km. La recepción está disponible las 24 horas.","Extintores, Recepción 24 horas, WiFi gratis, Parking gratis, Ascensor, Buen desayuno, Español, Servicio de habitaciones, Habitaciones familiares, Caja fuerte",https://cf.bstatic.com/xdata/images/hotel/max1024x768/56783297.jpg?k=540f06c8f78d2d8657c7e10c300dc15b5503d42efff2787229e369114229dcb5&o=&hp=1,Salinas,Ecuador
Fogata Hostel,https://www.booking.com/hotel/ec/fogata-hostel.es.html?aid=2410095,"Fogata Hostel está en Salinas, a 7 min a pie de Playa de San Lorenzo, y dispone de alojamiento con piscina al aire libre, parking privado gratis, jardín y bar. Este alojamiento, que tiene habitaciones familiares, también ofrece terraza solárium. El alojamiento ofrece ocio nocturno y cocina compartida.

Las habitaciones del alojamiento tienen baño privado con ducha y secador de pelo. También cuentan con wifi gratis, y algunas de las habitaciones también cuentan con vistas a la ciudad.

El personal habla inglés y español, y estará encantado de dar consejos sobre la zona en la recepción 24 horas.

Playa de Chipipe está a 1,8 km del alojamiento.","Entretenimiento nocturno, Parking en un garaje, Instalaciones para deportes acuáticos en el alojamiento, Muy buen desayuno, Parking gratis, Servicio de limpieza diario, Chimenea exterior, Seguridad 24 horas, Papel higiénico, Cocina compartida, Bar, Mobiliario exterior, WiFi gratis, Inglés, Menú para niños, WC, Terraza / solárium, Toallas, Vino / champán, Jardín, Secador de pelo, Snack-bar, Información turística, Abierta todo el año, Español, Baño privado, Aire acondicionado, Piscina al aire libre, Habitaciones sin humo, Extintores, Zona de pícnic, Recepción 24 horas, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/118253222.jpg?k=9fb1639405f71e494a3172fd068ee468ea4585734c701f7f10ec7ad95f60bdea&o=&hp=1,Salinas,Ecuador
Chescos Hotel & Hostel,https://www.booking.com/hotel/ec/chesco-39-s-place-hostel.es.html?aid=2410095,"El Chescos Hotel & Hostel se encuentra frente a la playa de Salinas, en el malecón de Salinas. Ofrece WiFi gratuita.

Cada habitación dispone de aire acondicionado, ventilador y baño privado con ducha.

El Chescos Hotel & Hostel cuenta con terraza y bar. También cuenta con salón compartido y mostrador de información turística.

A 2 minutos a pie hay un supermercado y gran variedad de bares y restaurantes. El aeropuerto General Ulpiano Páez se halla a 5 minutos en coche.","Playa, Entretenimiento nocturno, Sala de juegos, Fruta, Menús para dietas especiales (bajo petición), Llave de acceso, Salas de reuniones / banquetes, Happy hour, Seguridad 24 horas, Servicio de entrega de comestibles, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Karaoke, Baños públicos, Situado frente a la playa, Dardos, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Zona de fumadores, Snack-bar, Vino / champán, Registro de entrada / salida privado, Información turística, Centro de negocios, Juegos de mesa / puzles, Español, Aire acondicionado, Habitaciones sin humo, Música / espectáculos en directo, Restaurante, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Buen desayuno, Piragüismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/502787976.jpg?k=93aa6d8d30ee9a21988c6e08f2e32098934c3d1514cb709efb23e09607a3df6f&o=&hp=1,Salinas,Ecuador
Posada Estrella,https://www.booking.com/hotel/ec/posada-estrella.es.html?aid=2410095,"Posada Estrella está en Salinas y cuenta con vistas a la ciudad, piscina al aire libre, jardín, salón de uso común y terraza. En el bed and breakfast, tanto el wifi como el parking privado son gratis.

Todas las unidades tienen aire acondicionado e incluyen incluyen con nevera, microondas y zona de comedor. Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Posada Estrella ofrece servicio de alquiler de bicicletas.

Cerca del alojamiento hay puntos de interés como Playa Milina, Playa de Santa Elena y Playa de Puerto Lucía.","Sala de juegos, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Eventos deportivos en directo (emisión), Plancha para ropa, Parking gratis, Sombrillas, Tours en bici, Perchero, Terraza, Bañera o ducha, Mobiliario exterior, Detectores de humo, WiFi gratis, Reproductor de Blu-ray, Para todas las edades, Nevera, Pesca, Canales por cable, Proporciona factura, Terraza / solárium, Zona de fumadores, Jardín, Español, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Ropa de cama, Desayuno excepcional, Habitaciones familiares, Cafetera, Mesa de comedor, Videoconsola Nintendo Wii, Vistas a un patio interior, Armario, Alarma de seguridad, WC, Piscina privada, Videojuegos, Artículos de aseo gratis, Microondas, Fax / fotocopiadora, Vistas al mar, Habitaciones sin humo, Vistas, Entrada privada, Barbacoa, Zona de comedor, Zona de estar, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Juegos de mesa / puzles, Abierta todo el año, Baño privado, Patio, Aire acondicionado, Zona poco profunda, Balcón, Piscina al aire libre, Servicio de streaming (como Netflix), Vídeo, Ducha, Calefacción, Utensilios de planchado, Reproductor de DVD, Piscina con vistas, Radio, Llave de acceso, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Vistas a la piscina, Inglés, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Toallas de playa/piscina, Juguetes para la piscina, Vistas a la ciudad, Zona de pícnic, Suelo de baldosa / mármol, Tendedero",https://cf.bstatic.com/xdata/images/hotel/max1024x768/375224040.jpg?k=c61a0224ba52dc912037f6d58692140ff8f1cf936a8cc609a251ff1d2ace57a9&o=&hp=1,Salinas,Ecuador
Hotel Marvento Suites,https://www.booking.com/hotel/ec/marvento-suites.es.html?aid=2410095,"El Hotel Marvento Suites está situado a solo 2 minutos a pie de la playa, en Salinas. Ofrece piscina al aire libre, un restaurante a la carta, un desayuno diario gratuito y conexión Wi-Fi gratuita.

Las habitaciones disponen de TV vía satélite y baño privado con ducha y aseo.

El Hotel Marvento Suites cuenta con sauna, bañera de hidromasaje y un servicio de recepción 24 horas. Además, el hotel está ubicado a solo 5 minutos a pie de una gran variedad de restaurantes, bares y tiendas.

El hotel se encuentra a solo 1 km del club de golf Country y a 3 minutos en coche del aeropuerto General Ulpiano Paez.","Playa, Prohibido fumar en todo el alojamiento, Canales vía satélite, Muy buen desayuno, Parking gratis, Sombrillas, Salas de reuniones / banquetes, Bañera o ducha, Caja fuerte, Armario, Papel higiénico, Servicio de conserjería, WiFi gratis, TV, Para todas las edades, Toallas / sábanas (por un suplemento), WC, Canales por cable, Proporciona factura, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Acceso a pisos superiores en ascensor, Toallas, Jardín, Ascensor, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Zona poco profunda, Máquina expendedora (bebidas), Piscina al aire libre, Habitaciones sin humo, Restaurante, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Escritorio, Ducha, Horario de apertura, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/56784181.jpg?k=b8ebe4c843021c6df706fd14af90a66f64a902bf48bc10796f1454f5174eba20&o=&hp=1,Salinas,Ecuador
Hostel Casa Betancourt,https://www.booking.com/hotel/ec/hostel-casa-betancourt-salinas.es.html?aid=2410095,"Hostel Casa Betancourt se encuentra en Salinas, a 3 min a pie de Playa de San Lorenzo, y ofrece alojamiento con jardín, parking privado gratis y bar. Hay wifi gratis en todo el alojamiento y Playa de Chipipe está a 17 min a pie.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también están equipadas con balcón.","Habitaciones sin humo, Papel higiénico, Artículos de aseo gratis, Jardín, Playa, Bar, WiFi gratis, Desayuno, TV de pantalla plana, Parking gratis, Aire acondicionado, WC, Ducha, Español, Baño privado, Habitaciones familiares, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517712477.jpg?k=5abb2247752ae9ac27cc1f08da526a031c6a0f1349b7c8ac00e5845c6f31c4fd&o=&hp=1,Salinas,Ecuador
Hotel Dorado Inn,https://www.booking.com/hotel/ec/dorado-inn-salinas1.es.html?aid=2410095,"Hotel Dorado Inn se encuentra en Salinas, a pocos pasos de Playa de San Lorenzo, y ofrece servicio de conserjería, habitaciones libres de humo, salón de uso común, wifi gratis y terraza. El alojamiento cuenta con bar y se encuentra a 7 min a pie de Playa de Chipipe. El hotel dispone de piscina al aire libre, bañera de hidromasaje y servicio de habitaciones.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones están equipadas con aire acondicionado y baño privado.

El personal de recepción puede ofrecer información sobre qué hacer por la zona.

Playa del Mar Bravo está a 2,7 km del alojamiento.","Playa, Prohibido fumar en todo el alojamiento, Sombrillas, Llave de acceso, Servicio de limpieza diario, Happy hour, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Bar, Mobiliario exterior, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Registro de entrada / salida privado, Cafetería en el alojamiento, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Piscina al aire libre, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Horario de apertura, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/416168469.jpg?k=7a20c15225b252b3c738c6000e4e2686ab76bb37b49aae9db44858aab5bd0175&o=&hp=1,Salinas,Ecuador
Riveri Salinas host,https://www.booking.com/hotel/ec/riveri-salinas-d5a.es.html?aid=2410095,"Riveri Salinas host está en Salinas, a 3 min a pie de Playa de San Lorenzo y a 800 metros de Playa de Chipipe. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. El alojamiento dispone de recepción 24 horas y guardaequipaje.

En el hostal o pensión, cada habitación incluye un patio con vistas al jardín. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En Riveri Salinas host, cada habitación cuenta con ropa de cama y toallas.

Playa del Mar Bravo está a 2,7 km del alojamiento.","Parking en un garaje, Vistas al jardín, Zona de comedor exterior, Zona de cocina, Parking, Plancha para ropa, Zona de comedor, Zona de estar, Seguridad 24 horas, Papel higiénico, Cocina compartida, Utensilios de cocina, Mobiliario exterior, WiFi gratis, Alarma de seguridad, WC, Proporciona factura, Zona de fumadores, Toallas, Artículos de aseo gratis, Secador de pelo, Productos de limpieza, Español, Baño privado, Patio, Aire acondicionado, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523087297.jpg?k=7447a4e6bb6d8ebb752de1b923f1abfc387691580b6f7d81923d0b97e570386a&o=&hp=1,Salinas,Ecuador
Hotel Mileto,https://www.booking.com/hotel/ec/mileto.es.html?aid=2410095,"Hotel Mileto dispone de alojamiento en Salinas, cerca de Playa de San Lorenzo y de Playa de Chipipe. Este hotel de 2 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. Se ofrece parking privado por un suplemento.

En el hotel, las habitaciones incluyen escritorio. Todas las habitaciones del alojamiento están equipadas con TV y artículos de aseo gratuitos.

La recepción ofrece ayuda las 24 horas, y el personal habla inglés y español.

Playa del Mar Bravo está a 2,9 km del alojamiento.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Utensilios de planchado, Canales vía satélite, Servicio de planchado, Plancha para ropa, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Pesca, Baños públicos, Mosquitera, Canales por cable, Servicio de traslado, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Snorkel, Baño privado, Aire acondicionado, Español, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Ruta de bares, Guardaequipaje, Hipoalergénico, Escritorio, Parking privado, Lavadora, Ventilador, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106908322.jpg?k=36107029a18aa460dd3afd6f424ffdbeb0f0d966405efc6adc384cba63c44635&o=&hp=1,Salinas,Ecuador
