hotel,hotel_url,description,popular_facilities,highres_url,city,country
HOSTAL SAN FRANCISCO,https://www.booking.com/hotel/ec/hostal-san-francisco-san-cristobal.es.html?aid=2410095,"HOSTAL SAN FRANCISCO está en San Cristóbal, a pocos pasos de Playa de Puerto Baquerizo Moreno, y tiene terraza, habitaciones libres de humo y wifi gratis. Playa Oro está a 6 min a pie del hostal o pensión y Playa Mann, a 1,1 km.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hostal o pensión, las habitaciones están equipadas con aire acondicionado y baño privado.

El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 1 km.","Habitaciones sin humo, Papel higiénico, Extintores, Prohibido fumar en todo el alojamiento, Español, WiFi gratis, TV, TV de pantalla plana, Aire acondicionado, WC, Ducha, Proporciona factura, Baño privado, Terraza, Habitaciones familiares, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/295724292.jpg?k=49eba0ed037887579baa37aa771bea118023ecc42388aee12c34d217b7e65de0&o=&hp=1,San Cristóbal,Ecuador
Darwin's temple 3,https://www.booking.com/hotel/ec/darwins-temple-3-san-cristobal.es.html?aid=2410095,"Darwin's temple 3, que se encuentra en San Cristóbal, ofrece alojamiento con patio. Dispone de jardín, vistas al jardín y wifi gratis en todo el alojamiento.

Este apartamento de 2 dormitorios tiene aire acondicionado y ofrece 1 baño con bañera o ducha. El alojamiento ofrece zona de cocina.

El apartamento ofrece desayuno americano o vegetariano.

El aeropuerto (Aeropuerto de San Cristóbal) está a 7 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas al jardín, Zona de comedor exterior, Zona de cocina, Desayuno, Traslado aeropuerto, Servicio de limpieza diario, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Utensilios de cocina, Detectores de humo, WiFi gratis, Inglés, WC, Servicio de traslado, Zona de fumadores, Toallas, Información turística, Jardín, Independiente, Sofá, Español, Baño privado, Patio, Aire acondicionado, Habitaciones sin humo, Extintores, Zona de pícnic, Suelo de baldosa / mármol, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/569892869.jpg?k=fbc9bdd2db0c26ee24d5e784a8efdb752d8085ebdf26cb5a72270cce10a67603&o=&hp=1,San Cristóbal,Ecuador
Darwin's temple,https://www.booking.com/hotel/ec/darwins-temple.es.html?aid=2410095,"Darwin's temple, que tiene jardín, dispone de alojamiento en San Cristóbal con wifi gratis y vistas al jardín. Este apartamento tiene acceso a un patio.

El apartamento dispone de 1 dormitorio, una cocina totalmente equipada con nevera y 1 baño con ducha y bañera.

El desayuno está disponible cada mañana e incluye opciones americanas, vegetarianas o veganas.

El aeropuerto (Aeropuerto de San Cristóbal) está a 7 km.","Mesa de comedor, Vistas al jardín, Zona de cocina, Desayuno, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Toda la unidad en la planta baja, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, WiFi gratis, Inglés, Nevera, Toallas, Registro de entrada / salida privado, Jardín, Independiente, Sofá, Bañera, Español, Baño privado, Patio, Habitaciones sin humo, Zona de pícnic, Cocina, Tendedero, Suelo de baldosa / mármol, Entrada privada, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/482843233.jpg?k=e388a9ee0ed2c1d9dd19edb5d5d9088f870161ce5173bf7b879048b5a9d0f541&o=&hp=1,San Cristóbal,Ecuador
Mango Tree,https://www.booking.com/hotel/ec/mango-tree.es.html?aid=2410095,"Mango Tree se encuentra en San Cristóbal, a 8 min a pie de Playa Oro, y dispone de terraza, habitaciones libres de humo y wifi gratis en todo el alojamiento. El hostal o pensión está a unos 10 min a pie de Playa Mann y a 1,1 km de Playa de Puerto Baquerizo Moreno. Hay vistas a la ciudad.

Las habitaciones de este alojamiento están equipadas con cafetera. En el hostal o pensión, cada habitación tiene aire acondicionado y baño privado.

El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 2 km del alojamiento, que ofrece servicio de traslado gratis para ir o volver del aeropuerto.","Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de comedor exterior, Zona de comedor, Aseo adicional, Tours en bici, Traslado aeropuerto, Perchero, Terraza, Bañera o ducha, Zona de estar, Papel higiénico, Utensilios de cocina, Alquiler de bicicletas, Inglés, Nevera, WC, Servicio de traslado, Toallas, Wifi buena gratis (30 Mbps), Horno, Español, Baño privado, Vistas al mar, Aire acondicionado, Vistas a la ciudad, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Cocina, Tendedero, Suelo de baldosa / mármol, Traslado aeropuerto (gratis), Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/424188393.jpg?k=d1a20fcaf8d267f2aa5d02353656320c7932bf27d65068baebef063cb9031dc7&o=&hp=1,San Cristóbal,Ecuador
darwin's temple 2,https://www.booking.com/hotel/ec/darwins-temple-2.es.html?aid=2410095,"Darwin's temple 2, que tiene jardín, dispone de alojamiento en San Cristóbal con wifi gratis y vistas al jardín. Este apartamento ofrece alojamiento con balcón.

El apartamento tiene 2 dormitorios, una zona de cocina con nevera y 1 baño con bañera o ducha.

El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 7 km.","Vistas al jardín, Zona de comedor exterior, Zona de cocina, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, WiFi gratis, Inglés, Nevera, Menú para niños, WC, Zona de fumadores, Registro de entrada / salida privado, Toallas, Jardín, Información turística, Muebles de exterior, Español, Baño privado, Patio, Balcón, Habitaciones sin humo, Zona de pícnic, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/336156178.jpg?k=f279fbaaf8d0257c2c3bd85eb30a87a6ee612218ddf745cda62fb98bd6a56b4c&o=&hp=1,San Cristóbal,Ecuador
"Moonlight, Galápagos",https://www.booking.com/hotel/ec/moonlight-galapagos.es.html?aid=2410095,"Moonlight, Galápagos está en San Cristóbal y dispone de vistas a la ciudad y wifi gratis a 5 min a pie de Playa Oro y a 600 metros de Playa Mann.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales vía satélite y baño privado con ducha y artículos de aseo gratuitos. También hay nevera, lavavajillas y tostadora, además de cafetera y hervidor.

Se puede practicar senderismo en la zona, y el apartamento ofrece zona de playa privada.

Playa de Puerto Baquerizo Moreno está a 10 min a pie del alojamiento. El aeropuerto (Aeropuerto de San Cristóbal) está a 2 km.","Playa, Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Canales vía satélite, Zona de cocina, Zona de comedor, Parking gratis, Tours en bici, Llave de acceso, Perchero, Bañera o ducha, Habitaciones hipoalergénicas, Armario, Papel higiénico, Utensilios de cocina, Detectores de humo, WiFi gratis, Lavavajillas, TV, Nevera, Hervidor eléctrico, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Detector de monóxido de carbono, Toallas, Información turística, Artículos de aseo gratis, Independiente, Servicio de limpieza en seco, Productos de limpieza, Tours a pie, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Cocina, Tendedero, Zona privada de playa, TV de pantalla plana, Ropa de cama, Tetera / cafetera, Ducha, Ventilador, Senderismo, Camas extralargas (más de 2 metros), Habitaciones familiares, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462198024.jpg?k=97a9b2d9b9c11a4f4c5828caa1c2b724cd8fab70812447b472a1a2ff50e6ffd0&o=&hp=1,San Cristóbal,Ecuador
Hotel Mar Azul,https://www.booking.com/hotel/ec/mar-azul-san-cristobal.es.html?aid=2410095,"Hotel Mar Azul, que está a 10 min a pie de Playa Oro y a 1,4 km de Playa Mann, ofrece habitaciones en San Cristóbal. Este hotel de 3 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Este alojamiento libre de humo se encuentra a 3 min a pie de Playa de Puerto Baquerizo Moreno.

Todas las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 1 km.","Habitaciones sin humo, Papel higiénico, Artículos de aseo gratis, Jardín, Prohibido fumar en todo el alojamiento, WiFi gratis, Inglés, TV de pantalla plana, Aire acondicionado, WC, Ducha, Español, Baño privado, Habitaciones familiares, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572321654.jpg?k=eae36ff1be52e1c2c536e60286778759aeccc3f66b02d603019afc6046bb7a9c&o=&hp=1,San Cristóbal,Ecuador
Hospedaje Arvakeni,https://www.booking.com/hotel/ec/hospedaje-arvakeni-san-cristobal.es.html?aid=2410095,"Hospedaje Arvakeni se encuentra en San Cristóbal, cerca de Playa Oro, Playa Mann, y Playa de Puerto Baquerizo Moreno, y ofrece wifi gratis.

El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 2 km.","Papel higiénico, Extintores, Prohibido fumar en todo el alojamiento, WiFi gratis, Inglés, Ropa de cama, Español, Baño privado, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/208738639.jpg?k=1f70ca13ee67f197263c25b54e57f9e18bcba1df49315bff11eaffe19c6c0281&o=&hp=1,San Cristóbal,Ecuador
La casa de los Ciprés,https://www.booking.com/hotel/ec/la-casa-del-cipres.es.html?aid=2410095,"La casa de los Ciprés se encuentra en San Cristóbal y ofrece jardín, wifi gratis, cocina compartida y mostrador de información turística. Este alojamiento con vistas al jardín ofrece patio.

Esta casa o chalet con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y 1 baño con ducha y artículos de aseo gratuitos. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto de San Cristóbal) está a 7 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Mesa de comedor, Zona de comedor exterior, Vistas al jardín, Zona de cocina, Zona de comedor, Traslado aeropuerto, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Utensilios de cocina, Mobiliario exterior, WiFi gratis, TV, Inglés, Nevera, Servicio de traslado, Canales de pago, Toallas, Información turística, Jardín, Artículos de aseo gratis, Microondas, Independiente, Sofá, Productos de limpieza, Horno, Español, Aire acondicionado, Patio, Fogones, Habitaciones sin humo, Enchufe cerca de la cama, Cocina, Tendedero, Baño compartido, Suelo de baldosa / mármol, TV de pantalla plana, Entrada privada, Ducha, Ventilador, Teléfono, Habitaciones familiares, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/556374981.jpg?k=377a45f6ea7265f912358d2e43b915b70581a1544ff5e988198530921b228448&o=&hp=1,San Cristóbal,Ecuador
CASA DE NOELIA,https://www.booking.com/hotel/ec/casa-de-noelia-san-cristobal.es.html?aid=2410095,"CASA DE NOELIA se encuentra en San Cristóbal, a 13 min a pie de Playa de Puerto Baquerizo Moreno y a 1,7 km de Playa Oro, y ofrece aire acondicionado. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Playa Mann está a 2 km del alojamiento. El aeropuerto (Aeropuerto de San Cristóbal) está a 1 km.","Armario, Papel higiénico, Utensilios de cocina, Prohibido fumar en todo el alojamiento, WiFi gratis, Ropa de cama, Parking gratis, Zona de comedor, Ducha, WC, Español, Aire acondicionado, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503588331.jpg?k=d9bd2f80a344f609e4edbe7882684251b5f99d7a50d7bcfc2ac7b3f762eb8edc&o=&hp=1,San Cristóbal,Ecuador
