hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel El Aeropuerto,https://www.booking.com/hotel/co/aeropuerto.es.html?aid=2410095,"El Hotel El Aeropuerto está situado a 750 metros de la plaza principal de San José del Guaviare y cuenta con piscina al aire libre, gimnasio y restaurante. Hay conexión WiFi gratuita en todas las instalaciones.

Las habitaciones incluyen TV por cable, aire acondicionado y balcón, así como mesa de comedor y baño privado con ducha y artículos de aseo gratuitos. Además, las habitaciones gozan de vistas a la piscina y al jardín. Este establecimiento también dispone de minibar y terraza.

El establecimiento alberga instalaciones como 2 auditorios con capacidad para 250 personas y mostrador de información turística. El aparcamiento es gratuito.

Este hotel está a solo 3 minutos en coche del aeropuerto Jorge Enrique González Torres.","Secador de pelo, Terraza, Supermercado pequeño en el alojamiento, Alarma de seguridad, Bañera o ducha, Teléfono, Habitaciones sin humo, Vistas a la piscina, Senderismo, Baño privado, Jardín, Centro de negocios, Extintores, Hipoalergénico, Tour o clase sobre cultura local, Parking gratis, Bar en la piscina, Servicio de habitaciones, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Máquina expendedora (bebidas), Restaurante, Balcón, Servicio de entrega de comestibles, Cafetería en el alojamiento, Cenas temáticas, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Capilla, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Habitaciones insonorizadas, Piscina al aire libre, Tarjeta de acceso, Desayuno en la habitación, Camas extralargas (más de 2 metros), Escritorio, Habitaciones hipoalergénicas, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Toda la unidad en la planta baja, Papel higiénico, Fax / fotocopiadora, Sombrillas, Suelo de baldosa / mármol, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, Parking en la calle, Desayuno fantástico, TV, Armario, Servicio de traslado, Detectores de humo, Sauna, Cesta para mascotas, Valla alrededor de la piscina, Productos de limpieza, Tours a pie, Hervidor eléctrico, Vistas al jardín, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, 2 restaurantes, Perchero, Información turística, Snack-bar, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Fruta, Boles para mascotas, Gimnasio, Servicio de despertador, Para todas las edades, Servicio de lavandería, Abierta todo el año, Tumbonas/sillas de playa, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/394365508.jpg?k=7184385c80701e4fb22afa9b7b28571e2e8bcc13e00efa79846805231a76d366&o=&hp=1,San José del Guaviare,Colombia
De Greiff House,https://www.booking.com/hotel/co/hostal-de-greiff.es.html?aid=2410095,"De Greiff House se encuentra en San José del Guaviare y dispone de salón de uso común. Este alojamiento ofrece cocina compartida y servicio de traslado gratuito, además de wifi gratis en todo el alojamiento. El hostal o pensión tiene habitaciones familiares.

Las habitaciones de este alojamiento están equipadas con cafetera. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también disponen de patio. En el hostal o pensión, todas las habitaciones tienen ropa de cama y toallas.

La zona es ideal para practicar ciclismo, y en De Greiff House hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 1 km.","Secador de pelo, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Adaptado para sillas de ruedas, Baño privado, Aire acondicionado, Extintores, Cocina, TV, Ciclismo, Armario, Traslado aeropuerto, Perchero, Información turística, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Toda la unidad accesible en silla de ruedas, Entrada privada, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Detectores de humo, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Proporciona factura, Plancha para ropa, Mobiliario exterior, Traslado aeropuerto (gratis), Productos de limpieza, Habitaciones insonorizadas, Cafetera, Sofá, Alquiler de bicicletas, Zona de estar, Llave de acceso, Utensilios de planchado, Habitaciones hipoalergénicas, Escritorio, Utensilios de cocina, WC, Zona de comedor exterior, Servicio de streaming (como Netflix), Tetera/cafetera en todas las habitaciones, Cámaras de seguridad fuera del alojamiento, Toda la unidad en la planta baja, Zona de comedor, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Lavadora, Habitaciones familiares, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/554988829.jpg?k=367f3fd138281b5242d73807e4ac3525990d792dc81547415de88c9e77adb1fe&o=&hp=1,San José del Guaviare,Colombia
Hotel Quinto Nivel,https://www.booking.com/hotel/co/quinto-nivel.es.html?aid=2410095,"Hotel Quinto Nivel se encuentra en San José del Guaviare y cuenta con bar. Este hotel de 3 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. El hotel ofrece vistas a la ciudad, terraza y recepción 24 horas.

En el hotel, las habitaciones tienen armario. En Hotel Quinto Nivel, las habitaciones están equipadas con escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, cada habitación está equipada con ropa de cama y toallas.

En Hotel Quinto Nivel, la clientela puede disfrutar de bañera de hidromasaje. Puedes jugar a los dardos en el hotel.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 1 km del alojamiento.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Teléfono, Suelo de madera o parquet, Baño privado, Centro de negocios, Extintores, WC con barras de apoyo, Tour o clase sobre cultura local, Toda la unidad accesible en silla de ruedas, Parking gratis, Parking en un garaje, Tours en bici, Ropa de cama, Tiro con arco, Servicio de habitaciones, Mobiliario exterior, Bañera, Insonorización, Happy hour, Sala de juegos, Servicio de entrega de comestibles, Vestidor, Cafetería en el alojamiento, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Muy buen desayuno, WiFi gratis, Enchufe cerca de la cama, Música / espectáculos en directo, Pesca, Habitaciones insonorizadas, Tarjeta de acceso, Llave de acceso, Habitaciones hipoalergénicas, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Juegos de mesa / puzles, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Vistas a un lugar de interés, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Productos de limpieza, Buffet para niños, Tours a pie, Servicio de planchado, Guardaequipaje, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Detector de monóxido de carbono, Dardos, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Vino / champán, Perchero, Información turística, Snack-bar, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Boles para mascotas, Ducha, Servicio de lavandería, Vistas al río, Vistas a la ciudad, Ascensor, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/324477433.jpg?k=956dbd798b763bb933a35c11f54a63e8e23a8eb768dc56164ac905c2eded4538&o=&hp=1,San José del Guaviare,Colombia
Alojamiento Rural Entre El llano y la selva,https://www.booking.com/hotel/co/alojamiento-rural-entre-el-llano-y-la-selva.es.html?aid=2410095,"Alojamiento Rural Entre El llano y la selva se encuentra en San José del Guaviare y ofrece wifi gratis, jardín, salón de uso común y terraza.

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El lodge ofrece desayuno a la carta o continental.

Se puede descubrir la zona practicando senderismo en los alrededores y Alojamiento Rural Entre El llano y la selva ofrece servicio de alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 17 km del alojamiento, que ofrece servicio de traslado gratis para ir o volver del aeropuerto.","Desayuno, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Vistas, Recepción 24 horas, Ventilador, Jardín, Aire acondicionado, Armario, Traslado aeropuerto, Perchero, Información turística, Baño adicional, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Tours en bici, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Barandillas protectoras para bebés, Plancha para ropa, Zona de fumadores, Zona de pícnic, Mobiliario exterior, Tours a pie, Alquiler de bicicletas, Escritorio, Servicio de lavandería, WC, Terraza / solárium, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Toallas, Lavadora, Habitaciones familiares, Tendedero, Plancha para pantalones, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/492402873.jpg?k=7dfcb5c0e6a0bf85001318d855540db4c13937fce0439a5fee26b289452f3741&o=&hp=1,San José del Guaviare,Colombia
San pedro suite,https://www.booking.com/hotel/co/san-pedro-suite-san-jose-del-guaviare1.es.html?aid=2410095,"San pedro suite se encuentra en San José del Guaviare. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 1 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Recepción 24 horas, Aire acondicionado, Extintores, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Seguridad 24 horas, WiFi gratis, Detectores de humo, Cocina compartida, Servicio de habitaciones, Proporciona factura, Habitaciones insonorizadas, Llave de acceso, Servicio de planchado, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/328830247.jpg?k=04937a6a32cc5cdd692b3e030ad201dfa967046466f381aebd0dcdffa66c3b68&o=&hp=1,San José del Guaviare,Colombia
Centro Vacacional Las Palmas,https://www.booking.com/hotel/co/centro-vacacional-las-palmas.es.html?aid=2410095,"Centro Vacacional Las Palmas dispone de piscina al aire libre, jardín, terraza y restaurante en San José del Guaviare. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado gratis y hotel también ofrece servicio de traslado para descubrir los alrededores.

En el hotel, cada habitación incluye armario. Centro Vacacional Las Palmas dispone de algunas habitaciones con vistas a la piscina, y todas cuentan con balcón. En el alojamiento, todas las habitaciones están equipadas con TV de pantalla plana con canales por cable.

En Centro Vacacional Las Palmas, la clientela puede disfrutar de bañera de hidromasaje.

El personal de recepción siempre está dispuesto a ayudar.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 1 km del alojamiento.","Terraza, Sombrillas, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Muebles de exterior, Vistas, Recepción 24 horas, Ventilador, Baño privado, Jardín, Aire acondicionado, TV, Armario, Menú para niños, Traslado aeropuerto, Parking gratis, Bar en la piscina, Desayuno fabuloso, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Tobogán de agua, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Traslado aeropuerto (gratis), Canales por cable, Piscina al aire libre, Desayuno en la habitación, Parque acuático, Llave de acceso, Para todas las edades, Cubierta para piscina, Toda la unidad en la planta baja, Bar, Restaurante, Zona de comedor, Balcón, TV de pantalla plana, Toallas, Abierta todo el año, Habitaciones familiares, Zona poco profunda, Piscina con vistas, Español, Nevera, Minibar, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/419216353.jpg?k=5ec5046c21852bf497ff7c296a08fb15770129db47ffce87098440754980185f&o=&hp=1,San José del Guaviare,Colombia
Alojamiento Entre el Llano y la Amazonía,https://www.booking.com/hotel/co/alojamiento-entre-el-llano-y-la-amazonia.es.html?aid=2410095,"Alojamiento Entre el Llano y la Amazonía está en San José del Guaviare, en la región de Guaviare, y tiene balcón y vistas al jardín. Este apartamento ofrece alojamiento con patio.

El apartamento tiene 2 dormitorios, una cocina con nevera y fogones, y 1 baño con ducha, artículos de aseo gratuitos y lavadora. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 2 km.","Independiente, Bañera o ducha, Toallas / sábanas (por un suplemento), Vistas, Ventilador, Baño privado, Apartamento privado en edificio, Cocina, Fogones, Patio, Entrada privada, Ropa de cama, Ducha, Enchufe cerca de la cama, Plancha para ropa, Productos de limpieza, Cafetera, Sofá, Vistas al jardín, Utensilios de cocina, Zona de comedor, Balcón, Toallas, Lavadora, Habitaciones familiares, Tendedero, Español, Nevera, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568190964.jpg?k=a9b94252b479a5e0cd44e66920d73b3a6bfb532b2f2aa17bba60604530d89f13&o=&hp=1,San José del Guaviare,Colombia
Hostel Lodge la Herradura,https://www.booking.com/hotel/co/hostal-yetawa.es.html?aid=2410095,"Hostel Lodge la Herradura se encuentra en San José del Guaviare y dispone dejardín, salón de uso común y restaurante. El alojamiento ofrece cocina compartida y servicio de organización de tours.

Todas las habitaciones están equipadas con baño compartido, y algunas también ofrecen cocina.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a pocos pasos del alojamiento.","Jardín, Juegos de mesa / puzles, Información turística, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Baños públicos, Cámaras de seguridad en las zonas comunitarias, Restaurante, Parking gratis, Zona TV / salón de uso compartido, Habitaciones familiares, Español, Cocina compartida, Baño compartido, Extintores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520819891.jpg?k=da5344f396f7baa7dd5f41649b30f90d1b030f1d2a4997af470777396e34da73&o=&hp=1,San José del Guaviare,Colombia
ECORAUDAL posada campestre,https://www.booking.com/hotel/co/ecoraudal-posada-campestre.es.html?aid=2410095,"ECORAUDAL posada campestre dispone de habitaciones con aire acondicionado en San José del Guaviare. El hotel también ofrece wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta, americano o vegetariano.

El personal, que habla inglés y español, ofrece información en la recepción.

El aeropuerto más cercano (Aeropuerto Jorge Enrique González Torres) está a 4 km del alojamiento.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Piscina, Recepción 24 horas, Ventilador, Calefacción, Baño privado, Jardín, Aire acondicionado, Inglés, Armario, Traslado aeropuerto, Perchero, Parking gratis, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Mesa de comedor, Traslado aeropuerto (gratis), WC, Zona de comedor, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546391072.jpg?k=febf2f2d15ad9f24c9f1b68503d4b8614dc16f803e88566aa3d90334276d9d45&o=&hp=1,San José del Guaviare,Colombia
Cómoda casa cerca al centro,https://www.booking.com/hotel/co/comoda-casa-cerca-al-centro.es.html?aid=2410095,"Cómoda casa cerca al centro está en San José del Guaviare. El alojamiento tiene wifi gratis en todo el alojamiento.

Esta casa o chalet tiene aire acondicionado y cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Jorge Enrique González Torres) está a 1 km.","Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Lavadora, Español, Cocina, Inglés, WiFi gratis, Aire acondicionado, Escritorio",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551827458.jpg?k=367dff9ecdbcce79b42cb264eab71db85cca4a08dd7544f25a6c6c1f6054cf64&o=&hp=1,San José del Guaviare,Colombia
