hotel,hotel_url,description,popular_facilities,highres_url,city,country
Apartamento céntrico en Terreros,https://www.booking.com/hotel/es/apartamento-centrico-en-terreros.es.html?aid=2410095,"Apartamento céntrico en Terreros está en San Juan de los Terreros y dispone de alojamiento a 7 min a pie de Cala Cuartel, a 34 km de Marina Golf Mojácar y a 24 km de Club de golf Valle del Este. El alojamiento tiene parking privado gratis y está a 2 min a pie de Cala de la tía Antonia y a 400 metros de Playa de Mar Rabiosa.

Club de golf Desert Springs está a 26 km del alojamiento, y Marina Golf-Mojácar está a 30 km. El aeropuerto (Aeropuerto internacional Región de Murcia) está a 83 km.","Parking gratis, Español, Prohibido fumar en todo el alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547616627.jpg?k=099b87d738745c56c202eab1352969184a57df67be17ceb68dfac55016878036&o=&hp=1,San Juan de los Morros,Venezuela
Duplex Cala Pinar,https://www.booking.com/hotel/es/duplex-cala-pinar.es.html?aid=2410095,"Duplex Cala Pinar se encuentra en Pulpí y tiene piscina privada, cocina y vistas al jardín. El alojamiento, que está a 7 min a pie de Cala de la tía Antonia, dispone de terraza y parking privado gratis.

Esta casa o chalet de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar.

Playa de Mar Rabiosa está a 7 min a pie del alojamiento, y Playa la Mar Serena está a 900 metros. El aeropuerto (Aeropuerto internacional Región de Murcia) está a 83 km.","Prohibido fumar en todo el alojamiento, Cocina, TV de pantalla plana, Parking gratis, WiFi gratis, Piscina, Calefacción, Plancha para ropa, Terraza, Vistas al jardín, Vistas, Español, Secador de pelo, Aire acondicionado, Escritorio, Lavadora, Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/464152491.jpg?k=f96b81b3934cf440a9f68b2d8ef8a042dceb24710070292b2057383449e78271&o=&hp=1,San Juan de los Morros,Venezuela
El Indalo,https://www.booking.com/hotel/es/el-indalo.es.html?aid=2410095,"El Indalo se encuentra en Pulpí, a solo 8 min a pie de Cala de la tía Antonia, y ofrece alojamiento con piscina de temporada al aire libre, terraza y wifi gratis. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

Esta casa o chalet de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.

Playa de Mar Rabiosa está a 8 min a pie del alojamiento, y Cala Cuartel está a 1 km. El aeropuerto más cercano (Aeropuerto internacional Región de Murcia) está a 83 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Tendedero, Utensilios de cocina, Lavadora, Zona de estar, Piscina privada, Zona poco profunda, Ventilador, Piscina al aire libre, Secador de pelo, De temporada, Aire acondicionado, Habitaciones familiares, Ducha, Sofá, Plancha para ropa, Parking gratis, Español, Inglés, Sofá cama, Bañera o ducha, Utensilios de planchado, Habitaciones sin humo, Bañera, Papel higiénico, Sombrillas, Jardín, Zona de cocina, Piscina pequeña, Para todas las edades, WC, Terraza, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537030052.jpg?k=34fa1af0955973bdf75ced046499ed69f1ed70b8e92d244bcaaac5ef0fd39b8a&o=&hp=1,San Juan de los Morros,Venezuela
Senator Águilas,https://www.booking.com/hotel/es/don-juan-spa-resort.es.html?aid=2410095,"El Senator Águilas está situado frente al puerto deportivo de Águila y el mar Mediterráneo. Durante julio y agosto, los huéspedes tienen acceso gratuito a las piscinas.

El Senator Águilas ofrece acceso directo a 2 playas y al paseo marítimo de Águila. Los huéspedes pueden disfrutar de tarifas especiales en el Senator Águilas, situado al lado del hotel.

El restaurante del hotel sirve un buffet con cocina en vivo. También hay un pub y una cafetería.

Las habitaciones del Senator Águilas cuentan con conexión gratuita a internet y TV vía satélite. Todas tienen caja fuerte y baño privado.","Minigolf, Baño privado, Servicio de planchado, Proporciona factura, Servicio de despertador, Estación de carga de vehículos eléctricos, Playa, Instalaciones para deportes acuáticos en el alojamiento, TV, Detectores de humo, Zona de juegos para niños, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Máquina expendedora (bebidas), Servicio de habitaciones, Almuerzos para llevar, Tours en bici, Tarjeta de acceso, Submarinismo, Guardaequipaje, Acceso a pisos superiores en ascensor, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fax / fotocopiadora, Snorkel, Secador de pelo, Alquiler de coches, De temporada, Aire acondicionado, Tours a pie, Menús para dietas especiales (bajo petición), Español, Servicio de lavandería, Senderismo, Traslado aeropuerto, Máquina expendedora (aperitivos), Servicio de limpieza diario, Alarma de seguridad, Ropa de cama, Manicura, Terraza, TV de pantalla plana, WiFi gratis, Calefacción, Mobiliario exterior, Escritorio, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Piscina al aire libre, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Situado frente a la playa, Suelo de baldosa / mármol, Alquiler de bicicletas, Caja fuerte, Billar, Bañera o ducha, Sombrillas, Papel higiénico, Servicio de conserjería, Cafetería en el alojamiento, Toallas, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Ciclismo, Snack-bar, Ascensor, Pedicura, Habitaciones hipoalergénicas, Servicio de despertador / alarma, Servicios de belleza, Tratamientos corporales, Armario, Parking, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/8057541.jpg?k=d050b5df84860b45715dd782e0409343e91c1e30de28ddff3196b9e3fdad03ea&o=&hp=1,San Juan de los Morros,Venezuela
Maxcaly Playa,https://www.booking.com/hotel/es/maxcaly-playa.es.html?aid=2410095,"Maxcaly Playa se encuentra en Águilas, a pocos pasos de Playa de Calarreona, y ofrece bar y vistas al jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y servicio de conserjería, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento incluyen un balcón con vistas al mar.

En el hostal o pensión, cada habitación dispone de armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones están equipadas con terraza. En Maxcaly Playa, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet o continental.

En los alrededores se pueden practicar actividades como senderismo, pesca y ciclismo, o disfrutar de un momento de relax frente a la playa.

Cala Mijo está a 11 min a pie del alojamiento, y Cala de las Tortugas está a 1,1 km. El aeropuerto más cercano (Aeropuerto internacional Región de Murcia) está a 78 km del alojamiento.","Restaurante, Baño privado, Servicio de planchado, WiFi gratis, Calefacción, Accesible para personas sordas, Tendedero, Mosquitera, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ciclismo, Italiano, Fruta, Menú para niños, Toallas / sábanas (por un suplemento), Windsurf, Servicio de limpieza en seco, Proporciona factura, Extintores, Vistas al jardín, Enchufe cerca de la cama, Buen desayuno, Artículos de aseo gratis, Snorkel, Perchero, Secador de pelo, Seguridad 24 horas, Bar, Playa, Aire acondicionado, Tours a pie, Squash, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Menús para dietas especiales (bajo petición), Trona, Español, Situado frente a la playa, TV, Buffet para niños, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Ruta de bares, Bañera o ducha, Senderismo, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Ping pong, Vino / champán, Servicio de limpieza diario, Armario, Servicio de conserjería, Alarma de seguridad, Llave de acceso, Tours en bici, Cafetería en el alojamiento, Toallas, Submarinismo, Guardaequipaje, Ropa de cama, Información turística, Suelo de madera o parquet, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555945704.jpg?k=c6310f6dfeffa67be5033a3612f361f06f40ffdbbf39e1f2b4e93c66f90ab7da&o=&hp=1,San Juan de los Morros,Venezuela
Casa Aloe,https://www.booking.com/hotel/es/casa-aloe-pulpi.es.html?aid=2410095,"Casa Aloe está en Pulpí, a 49 km de Marina Golf Mojácar y a 31 km de Club de golf Valle del Este, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y terraza. Este alojamiento con vistas a la ciudad dispone de balcón.

Esta casa o chalet tiene 4 dormitorios, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 2 baños con bidet. Hay toallas y ropa de cama en la casa o chalet.

Club de golf Desert Springs está a 33 km del alojamiento, y Marina Golf-Mojácar está a 44 km. El aeropuerto más cercano (Aeropuerto internacional Región de Murcia) está a 85 km.","Habitaciones comunicadas disponibles, Bañera de hidromasaje, Cocina, WiFi gratis, Vistas, Calefacción, Tendedero, Vistas a la ciudad, Vistas a un patio interior, Balcón, Utensilios de cocina, Productos de limpieza, Lavavajillas, Escritorio, Lavadora, Zona de estar, Zona de juegos interior, Proporciona factura, Extintores, Zona de comedor exterior, Acceso a pisos superiores solo mediante escaleras, Horno, Enchufe cerca de la cama, Aseo adicional, Juegos de mesa / puzles, Cafetera, Francés, Perchero, Secador de pelo, Fogones, Patio, Aire acondicionado, Libros, DVD o música para niños, Muebles de exterior, Habitaciones familiares, Ducha, Sofá, Entrada privada, Plancha para ropa, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Plancha para pantalones, Inglés, Bañera o ducha, Utensilios de planchado, Habitaciones sin humo, Papel higiénico, Bañera, Armario, Jardín, Zona de cocina, Microondas, Ropa de cama, Llave de acceso, Tostadora, Toallas, Adosado, Nevera, Zona de comedor, Aseo compartido, WC, Terraza, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/402945426.jpg?k=cddf05dc234c361c7a84c55d6bff91b547b796697b70ba4352a82079468d24a7&o=&hp=1,San Juan de los Morros,Venezuela
CASA Rural CORTIJO CON PISCINA MOLINO EL TARAHAL,https://www.booking.com/hotel/es/casa-rural-cortijo-molino-el-tarahal.es.html?aid=2410095,"CASA Rural CORTIJO CON PISCINA MOLINO EL TARAHAL está en El Tarahal y dispone de vistas a la montaña, piscina de temporada al aire libre, jardín, salón de uso común y terraza.

Marina Golf Mojácar está a 39 km del alojamiento, y Club de golf Valle del Este está a 17 km. El aeropuerto (Aeropuerto de Almería) está a 92 km.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Vistas, Utensilios de cocina, Zona de fumadores, Vistas a la montaña, Piscina al aire libre, De temporada, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Terraza / solárium, Español, Mesa de comedor, Habitaciones sin humo, Papel higiénico, Armario, Nevera, Jardín, Toallas, Ropa de cama, Zona de comedor, WC, Terraza, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/411219421.jpg?k=d4a1da0dd67c523c29ac40dbcc60eeabcdc7366abdc0de67f727f475bd03084e&o=&hp=1,San Juan de los Morros,Venezuela
Hotel Carlos III,https://www.booking.com/hotel/es/carlos-iii-aguilas.es.html?aid=2410095,"El Hotel Carlos III goza de una ubicación céntrica en Águilas, a 50 metros de la playa y del ayuntamiento. El hotel ofrece conexión Wi-Fi gratuita, recepción 24 horas y habitaciones con aire acondicionado.

Todas las habitaciones cuentan con TV, escritorio y armario. También disponen de calefacción y baño privado con bañera y artículos de aseo gratuitos.

También hay un bar. El hotel ofrece servicio de limpieza en seco. El mostrador de información turística puede organizar un servicio de enlace con el aeropuerto por un suplemento.","Baño privado, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Insonorización, Muy buen desayuno, WiFi gratis, Calefacción, Vistas a la ciudad, Mobiliario exterior, Salas de reuniones / banquetes, Canales vía satélite, Productos de limpieza, Italiano, Escritorio, Windsurf, Baño adicional, Proporciona factura, Extintores, Parking en un garaje, Enchufe cerca de la cama, Aseo adicional, Servicio de despertador, Caja fuerte para ordenador portátil, Artículos de aseo gratis, Teléfono, Secador de pelo, Seguridad 24 horas, Bar, Playa, Recepción 24 horas, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Radio, Español, TV, Caja fuerte, Inglés, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Catalán, Nevera, Servicio de conserjería, Llave de acceso, Parking, Camas extralargas (más de 2 metros), Suelo de madera o parquet, Cafetería en el alojamiento, Toallas, Submarinismo, Minibar, Ropa de cama, Información turística, WC, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/338960338.jpg?k=d77c342ce49b377e4eaba7ae82f47e08d100625b97c29fcb0b315b889476ac5a&o=&hp=1,San Juan de los Morros,Venezuela
Hostel Águilas Isla del Fraile,https://www.booking.com/hotel/es/isla-del-fraile-by-selecta.es.html?aid=2410095,"Hostel Águilas Isla del Fraile dispone de jardín, terraza, restaurante y bar en Águilas. El alojamiento se encuentra a 2,4 km de Playa Amarilla, a 2,5 km de Playa de las Delicias y a 3 km de Playa de Levante. El alojamiento ofrece cocina compartida y mostrador de información turística.

Las habitaciones del alojamiento tienen baño compartido con ducha y secador de pelo. También ofrecen wifi gratis, y algunas habitaciones están equipadas con vistas a la piscina. Las habitaciones incluyen ropa de cama.

La clientela puede practicar actividades en Águilas y alrededores, como senderismo, pesca y snorkel.

Marina Golf Mojácar está a 50 km del alojamiento, y Club de golf Valle del Este está a 40 km. El aeropuerto más cercano (Aeropuerto internacional Región de Murcia) está a 68 km del alojamiento.","Minigolf, Insonorización, Zona de fumadores, Baño compartido, Menú para niños, Vistas a la montaña, Toallas / sábanas (por un suplemento), Proporciona factura, Pista de tenis, Playa, Hipoalergénico, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Máquina expendedora (bebidas), Tours en bici, Suelo de madera o parquet, Submarinismo, Vistas a un lugar de interés, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fax / fotocopiadora, Vistas al jardín, Snorkel, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Tours a pie, Ducha, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Senderismo, Máquina expendedora (aperitivos), Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Ropa de cama, Terraza, Campo de golf (a menos de 3 km), WiFi gratis, Vistas, Calefacción, Mobiliario exterior, Zona de juegos interior, Extintores, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Equipamiento de tenis, Seguridad 24 horas, Bar, Solárium, Habitaciones familiares, Pesca, Alquiler de bicicletas, Adaptado para sillas de ruedas, Piragüismo, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Cafetería en el alojamiento, Información turística, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Ciclismo, Snack-bar, Perchero, Habitaciones hipoalergénicas, Toda la unidad en la planta baja, Taquillas, WC, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/125877039.jpg?k=ee4a7a691d7a5d938d16d3fecaec427c7c6696662f3d1d7bb41458d24aec7ad9&o=&hp=1,San Juan de los Morros,Venezuela
El Paso,https://www.booking.com/hotel/es/el-paso.es.html?aid=2410095,"Este hotel goza de una ubicación ideal en la localidad costera de Águilas, a las afueras de la provincia de Murcia. Esta zona ofrece hermosos paisajes y 28 kilómetros de playas.

El Paso se encuentra en una zona animada, a solo 5 minutos de la playa y la zona del puerto. Anexado a sólo 50 metros del Cafe Restaurant El Paso. En las inmediaciones hay numerosas tiendas y bares.

Las habitaciones del hotel tienen una decoración sencilla y mucha luz natural. Dispone de balcón privado, baño y aire acondicionado.

La zona y el clima, con una temperatura media de 25,2oC, son perfectos para actividades al aire libre. Los huéspedes podrán practicar senderismo, deportes acuáticos y ciclismo.

El Paso está situado entre los aeropuertos de Alicante, Murcia y Almería. Está bien comunicado por autopista.","Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, Insonorización, WiFi gratis, Calefacción, Accesible para personas sordas, Acceso a pisos superiores en ascensor, Balcón, Cámaras de seguridad fuera del alojamiento, Salas de reuniones / banquetes, Productos de limpieza, Menú para niños, Fax / fotocopiadora, Escritorio, Toallas / sábanas (por un suplemento), Baño adicional, Servicio de limpieza en seco, Extintores, Acceso al salón executive, Parking en un garaje, Desayuno, Aseo adicional, Enchufe cerca de la cama, Servicio de despertador, Artículos de aseo gratis, Snack-bar, Teléfono, Perchero, Secador de pelo, Seguridad 24 horas, Recepción 24 horas, Playa, Aire acondicionado, Ascensor, Baños públicos, Ducha, Centro de negocios, Parking gratis, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Caja fuerte, Servicio de despertador / alarma, Inglés, Secadora de ropa, Servicio de lavandería, Bañera o ducha, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Papel higiénico, Servicio de limpieza diario, Armario, Reloj despertador, Nevera, Servicio de conserjería, Alarma de seguridad, Almuerzos para llevar, Toallas, Minibar, Guardaequipaje, Ropa de cama, Información turística, WC, TV de pantalla plana, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/15832678.jpg?k=fe1a73a2b2dc5f9af8ad09353b83c1028f607e5db5eb659114660ee703ba9494&o=&hp=1,San Juan de los Morros,Venezuela
