hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
"ESPACIO MINGA, casa quinta en la ciudad, hasta 8 personas",US$60,"9,1",Fantástico,9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/431694146.webp?k=3b0e204589f2e1314627df5a5ca765a849f8684e5c9762c5072760a7803785c6&o=,https://www.booking.com/hotel/ar/espacio-minga-corrientes.es.html?aid=2410095,"Habitaciones para no fumadores, Papel higiénico, Kitchenette, Vista a un patio interno, Cocina, Vista a la pileta, Zona de comedor, Habitaciones insonorizadas, Zona de fumadores, Wifi gratis, Portugués, Muebles de exterior, Salas de reuniones/banquetes, Sofá, Pileta al aire libre, Zona poco profunda, Zona de estar, Ducha, Perchero de barral, Inodoro elevado, Zona de pícnic, Escritorio, Baño compartido, Calefacción, Cama plegable, Zona de comedor exterior, Adaptado para personas con movilidad reducida, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Habitaciones familiares, Piso de baldosa/mármol, Parrilla, Independiente, Ventilador, Cochecitos de bebé, Armario, Bidé, Artículos de tocador gratuitos, Cambio de moneda, Productos de limpieza, Pava eléctrica, Español, Servicio diario de limpieza, Cafetera, Niñera/servicios para menores, Acceso con llave, Sofá cama, Patio, Toallas, Utensilios de cocina, Insonorización, Zona de juegos para menores, Cámaras de seguridad en exterior del alojamiento, Horno, Heladera, Por temporada, Ropa de cama, Para todas las edades, Vestidor, Jardín, Bañera o ducha, Ténder para la ropa, Entrada privada, Vista, Sillas y reposeras, Tostadora, Aire acondicionado, Proporciona factura, Vista al jardín, Pileta privada, Estacionamiento gratuito, Mesa de comedor, Estacionamiento adaptado para personas con movilidad reducida, Toda la unidad está situada en planta baja, Terraza/solárium, Hornalla, Canales por cable, Baño adicional, Habitaciones comunicadas disponibles, Reproductor de CD, Radio, Toda la unidad es accesible mediante silla de ruedas, Alarma de seguridad",San Luis del Palmar,Argentina,"El Espacio Minga se encuentra en Corrientes. Hay estacionamiento privado y wifi gratis.

El alojamiento dispone de aire acondicionado y cocina.

El aeropuerto más cercano es el aeropuerto internacional Doctor Fernando Piragine Niveyro, a 2 km de la casa."
casa-quinta cerca de corrientes y santa ana,US$91,"9,8",Excepcional,31,https://cf.bstatic.com/xdata/images/hotel/max1024x768/403457790.webp?k=0ccd92875a8d13ed6603023092478b6ffebb0da6bd0f9112333b78ba8bee22a2&o=,https://www.booking.com/hotel/ar/casa-quinta-cerca-de-corrientes-y-santa-ana.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Pava eléctrica, Perchero de barral, TV de pantalla plana, Jardín, Español, Tetera/Cafetera, Valla alrededor de la pileta, Papel higiénico, Cafetera, Vista, Ténder para la ropa, Sillas y reposeras, Sombrillas, Pileta de inmersión, Calefacción, Horarios, Cama plegable, Cocina, Vista a la pileta, Zona de comedor exterior, Vista al jardín, Proporciona factura, Juegos de mesa/rompecabezas, Aire acondicionado, Campo de golf (a menos de 3 km), Wifi gratis, Sofá cama, Patio, Pileta privada, Clases de yoga, Estacionamiento gratuito, Mesa de comedor, Equipamiento de juegos para exterior, Portugués, Baño privado, Enchufe cerca de la cama, Tours en bici, Habitaciones familiares, Toallas, Baño, Inglés, Seguridad las 24 horas, Toda la unidad está situada en planta baja, Utensilios de cocina, Ventilador, Armario, Sofá, Microondas, Bidé, Pileta al aire libre, Baño adicional, Equipamiento de tenis, Juegos de mesa/puzzles, Hidromasaje/jacuzzi, Heladera, Ropa de cama, Para todas las edades, Por temporada",San Luis del Palmar,Argentina,"La casa-quinta cerca de corrientes y santa ana se encuentra en Corrientes y ofrece jardín, wifi gratis y vistas al jardín. El alojamiento se encuentra a 7,5 km de Camba Punta y a 8,5 km de Isla Meza.

Esta casa de campo cuenta con aire acondicionado, 2 dormitorios y baño con bidet y ducha. Se proporcionan toallas y ropa de cama.

La casa de campo está a 6,1 km de Santa Ana y a 7,1 km de Laguna Brava. El aeropuerto más cercano es el aeropuerto internacional Doctor Fernando Piragine Niveyro, ubicado a 5 km de la casa-quinta cerca de corrientes y santa ana."
Casa familiar,US$48,"8,9",Fabuloso,7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/481921683.webp?k=d76c66b7e1d7985d193214fcacdb6f2eb6d51a0c5668a5d6012df3abe003114f&o=,https://www.booking.com/hotel/ar/casa-familiar-corrientes.es.html?aid=2410095,"Zona de estar, Perchero de barral, TV de pantalla plana, Recepción 24 horas, Español, Habitaciones para no fumadores, Hidromasaje, Servicio diario de limpieza, Papel higiénico, Bañera o ducha, Toallas/sábanas (cargos extra), Ténder para la ropa, Tostadora, Calefacción, TV, Canales de pago, Cocina, Aire acondicionado, Clases de gimnasia, Zona de comedor, Información turística, Acceso con llave, Wifi gratis, Entrenador personal, Mesa de comedor, Estacionamiento gratuito, Baño privado, Enchufe cerca de la cama, Habitaciones familiares, Inglés, Independiente, Toda la unidad está situada en planta baja, Utensilios de cocina, Ventilador, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Microondas, Bidé, Hidromasaje/jacuzzi, Heladera, Ropa de cama",San Luis del Palmar,Argentina,"La Casa familiar se encuentra en Corrientes y cuenta con bañera de hidromasaje.

Esta casa cuenta con aire acondicionado, 1 dormitorio, TV de pantalla plana y cocina."
Lujoso Chalet con pileta frente al río,US$139,10,Excepcional,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/530666828.webp?k=e84868194e86a26220190ee785fc47aa5e257bdb707d2fe7a0a252d702375229&o=,https://www.booking.com/hotel/ar/lujoso-chalet-con-pileta-frente-al-rio.es.html?aid=2410095,"Estacionamiento gratuito, Pileta, Portugués, TV de pantalla plana, Terraza, Balcón, Español, Calefacción, Aire acondicionado, Cocina, Vista al jardín, Inglés, Italiano, Francés, Wifi gratis, Vista, Kitchenette, Pileta privada",San Luis del Palmar,Argentina,"Lujoso Chalet con pileta frente al río está en Paso de la Patria y ofrece terraza. Hay estacionamiento privado en el propio alojamiento y wifi gratis.

El aeropuerto (Aeropuerto internacional Doctor Fernando Piragine Niveyro) está a 34 km."
Habitación en hermosa casa de descanso,US$28,"9,0",Fantástico,4,https://cf.bstatic.com/xdata/images/hotel/max1024x768/500743291.webp?k=5693e665c66fe38e10e9732d475ff05a140f9db08a2da3135b21010891ea1fbc&o=,https://www.booking.com/hotel/ar/hermosa-casa-de-descanso-capital.es.html?aid=2410095,"Ducha, Pava eléctrica, Perchero de barral, Desayuno, TV de pantalla plana, Jardín, Español, Tetera/Cafetera, Habitaciones para no fumadores, Lavarropas, Papel higiénico, Vista, Secador de pelo, Baño compartido, Plancha para ropa, TV, Aire acondicionado, Servicio de streaming (ej.: Netflix), Zona de comedor, Francés, Wifi gratis, Patio, Pileta privada, Estacionamiento gratuito, Mesa de comedor, Portugués, Enchufe cerca de la cama, Habitaciones familiares, Toallas, Baño, Inglés, Toda la unidad está situada en planta baja, Utensilios de cocina, Ventilador, Instalaciones para planchar, Bidé, Pileta al aire libre, Zona poco profunda, Artículos de tocador gratuitos, Heladera, Toda la unidad es accesible mediante silla de ruedas, Ropa de cama, Para todas las edades, Por temporada",San Luis del Palmar,Argentina,"La Hermosa casa de descanso se encuentra en Laguna Brava.

Todas las mañanas se sirve un desayuno americano."
Óga Rory,US$27,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/532386241.webp?k=c21791bd7ca234d4f71f4a2f076b226334e9d1526f8fa886d8db4eef56dfd1e2&o=,https://www.booking.com/hotel/ar/oga-rory-corrientes.es.html?aid=2410095,"Ducha, Pileta, Pava eléctrica, Desayuno, TV de pantalla plana, Jardín, Español, Tetera/Cafetera, Papel higiénico, Vista, Calefacción, Aire acondicionado, Zona de comedor, Tetera/cafetera en todas las habitaciones, Wifi gratis, Estacionamiento gratuito, Mesa de comedor, Portugués, Baño privado, Toallas, Baño, Inglés, Utensilios de cocina, Armario, Prohibido fumar en todo el establecimiento, Artículos de tocador gratuitos, Heladera, Ropa de cama",San Luis del Palmar,Argentina,"Óga Rory se encuentra en Corrientes.

El aeropuerto más cercano (Aeropuerto internacional Doctor Fernando Piragine Niveyro) está a 1 km del alojamiento."
RINCON SOÑADO,US$32,"1,0",Puntuación,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/527353881.webp?k=563db801a42c4a244c565e3d66371b12ceb49bc82aafdaa86805fcba02a26b85&o=,https://www.booking.com/hotel/ar/rincon-sonado-paso-de-la-patria.es.html?aid=2410095,"Estacionamiento gratuito, Pileta, Prohibido fumar en todo el establecimiento, Portugués, TV de pantalla plana, Español, Aire acondicionado, Cocina, Lavarropas, Vista al jardín, Wifi gratis, Pileta privada",San Luis del Palmar,Argentina,RINCON SOÑADO se encuentra en Paso de la Patria.
ALOJAMIENTO CENTENARIO,US$37,"8,6",Fabuloso,14,https://cf.bstatic.com/xdata/images/hotel/max1024x768/465326548.webp?k=7b0b033d8d6dcb9eff78863ebf613bed1db618a67d66670f7506fb3458e80270&o=,https://www.booking.com/hotel/ar/alojamiento-centenario-corrientes1.es.html?aid=2410095,"Plancha para pantalones, Estacionamiento gratuito, Prohibido fumar en todo el establecimiento, Portugués, Desayuno, Baño privado, Español, Calefacción, Aire acondicionado, Habitaciones familiares, Habitaciones para no fumadores, Proporciona factura, Inglés, Servicio diario de limpieza, Check-in/check-out privado, Información turística, Wifi gratis, Detector de humo",San Luis del Palmar,Argentina,"El ALOJAMIENTO CENTENARIO se encuentra en Corrientes.

Por las mañanas se sirve un desayuno continental."
Residencia C Porá - alquiler de habitación privada en una casa creativa compartida,US$34,10,Excepcional,1,https://cf.bstatic.com/xdata/images/hotel/max1024x768/517421851.webp?k=2bdb4a8ef7872936d3fc7b6813777c57272a096442491af4d990adffbda270bc&o=,https://www.booking.com/hotel/ar/residencia-c-pora.es.html?aid=2410095,"Perchero de barral, Terraza, Balcón, Jardín, Senderismo, Español, Habitaciones para no fumadores, Valla alrededor de la pileta, Pileta con vistas, Vista, Sillas y reposeras, Baño compartido, Pileta de inmersión, Aire acondicionado, Wifi gratis, Estacionamiento gratuito, Portugués, Habitaciones familiares, Inglés, Prohibido fumar en todo el establecimiento, Cocina compartida, Pileta al aire libre, Por temporada, Para todas las edades",San Luis del Palmar,Argentina,La Residencia C Porá se encuentra en Santa Ana.
El Cairel 2,US$45,"9,2",Fantástico,5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/516650783.webp?k=ee925b8c7872e0122a2da35e3f0c64d2937975a889fc5aa83ef06707d831d7a3&o=,https://www.booking.com/hotel/ar/el-cairel-2.es.html?aid=2410095,"Ducha, Productos de limpieza, Pava eléctrica, TV de pantalla plana, Terraza, Jardín, Español, Tetera/Cafetera, Bañera o ducha, Kitchenette, Ténder para la ropa, Entrada privada, Vista, Playa, Calefacción, TV, Aire acondicionado, Cocina, Vista a la pileta, Vista al jardín, Wifi gratis, Sofá cama, Estacionamiento gratuito, Baño privado, Habitaciones familiares, Acceso a pisos superiores solo por escalera, Toallas, Parrilla, Alfombra, Utensilios de cocina, Hornalla, Muebles de exterior, Armario, Prohibido fumar en todo el establecimiento, Sofá, Microondas, Bidé, Horno, Habitaciones comunicadas disponibles, Heladera, Ropa de cama",San Luis del Palmar,Argentina,"El Cairel 2 ofrece alojamiento con zona de cocina en Paso de la Patria. Este departamento tiene jardín y estacionamiento privado gratuito. El departamento dispone de habitaciones familiares.

Los alojamientos del complejo de departamentos disponen de baño privado y wifi gratis. Algunas habitaciones también cuentan con terraza. Los alojamientos del complejo de departamentos disponen de aire acondicionado y TV de pantalla plana.

El aeropuerto más cercano es el aeropuerto internacional Doctor Fernando Piragine Niveyro, a 35 km del departamento."
