hotel,hotel_url,description,popular_facilities,highres_url,city,country
"WE Hotel, La Lima",https://www.booking.com/hotel/hn/b-amp-g-lodge.es.html?aid=2410095,"WE Hotel, La Lima está en La Lima y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. Hay parking privado en el propio alojamiento.

Algunas habitaciones ofrecen cocina con nevera, horno y microondas.

En el alojamiento se puede disfrutar de un desayuno americano, vegetariano o vegano.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 3 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Piscina infantil, Wifi buena gratis (20 Mbps), Fax / fotocopiadora, Aire acondicionado, Registro de entrada / salida privado, Habitaciones sin humo, Traslado aeropuerto, Adaptado para sillas de ruedas, Desayuno en la habitación, Campo de golf (a menos de 3 km), Seguridad 24 horas, Guardaequipaje, Zona de fumadores, Restaurante, Servicio de lavandería, Terraza, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Jardín, Cambio de moneda, Llave de acceso, Prohibido fumar en todo el alojamiento, Servicio de entrega de comestibles, Parking privado, Servicio de limpieza diario, Información turística, Alquiler de coches, Registro de entrada y salida exprés, Muy buen desayuno, Adaptado personas de movilidad reducida, Servicio de habitaciones, Servicio de aparcacoches, Habitaciones familiares, Inglés, Menú para niños, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545448173.jpg?k=91d4e8594e0c637ac516a458913d7dd6237b873ffa5b7d84b14c847682ab87e9&o=&hp=1,San Manuel,Honduras
Hotel Bethlehem,https://www.booking.com/hotel/hn/hostal-bethlehem.es.html?aid=2410095,"Hotel Bethlehem está en La Lima y tiene jardín y terraza. Hay parking privado gratis y hostal o pensión también dispone de alquiler de coches para descubrir los alrededores.

En el hostal o pensión, las habitaciones disponen de escritorio. Las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también ofrecen balcón. En Hotel Bethlehem, cada habitación cuenta con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 2 km.","Papel higiénico, Ropa de cama, Servicio de despertador, Baño privado, Aire acondicionado, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Campo de golf (a menos de 3 km), Secador de pelo, TV de pantalla plana, Canales por cable, Seguridad 24 horas, Toallas, Plancha para ropa, Bañera o ducha, WC, Entrada privada, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Zona de comedor, Jardín, Escritorio, Mesa de comedor, Alquiler de coches, Bañera de hidromasaje / jacuzzi, Ventilador, Perchero, Productos de limpieza, TV, Habitaciones familiares, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/244153054.jpg?k=78db43b5cfdb098708c174364d7f681073afe7904b44035d33ac4f5d4e1ffa3f&o=&hp=1,San Manuel,Honduras
CASA DE HUESPEDES CASA BONITA,https://www.booking.com/hotel/hn/casa-de-huespedes-casa-bonita.es.html?aid=2410095,"CASA DE HUESPEDES CASA BONITA dispone de bicicletas gratis, jardín, salón de uso común y terraza en La Lima. Este alojamiento ofrece cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Hay un restaurante de cocina americana y parking privado gratis.

El alojamiento con aire acondicionado cuenta con zona de estar, TV de pantalla plana con canales vía satélite, cocina, zona de comedor y baño privado con secador de pelo, ducha y bañera. En el hostal o pensión, cada habitación tiene ropa de cama y toallas.

La clientela puede practicar actividades en La Lima y alrededores, como senderismo y ciclismo.

En la recepción 24 horas se hablan varios idiomas, como inglés y español.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 3 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Registro de entrada / salida privado, Canales por cable, Snack-bar, Zona de fumadores, Nevera, Mobiliario exterior, Tostadora, Servicio de habitaciones, WiFi gratis, Tendedero, Toallas / sábanas (por un suplemento), Terraza / solárium, TV, Proporciona factura, Papel higiénico, Ropa de cama, Vistas al jardín, Servicio de despertador, Habitaciones sin humo, Suelo de baldosa / mármol, Desayuno en la habitación, Secador de pelo, Vistas, WC, Cocina compartida, Tours en bici, Servicio de traslado, Senderismo, Bañera, Enchufe cerca de la cama, Sofá, Utensilios de cocina, Ducha, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de limpieza diario, Información turística, Baño adicional, Canales vía satélite, Perchero, Tetera / cafetera, Menú para niños, Radio, Aire acondicionado, Aseo adicional, Parking gratis, Traslado aeropuerto, Patio, Seguridad 24 horas, Lavavajillas, Zona de cocina, Supermercado pequeño en el alojamiento, Guardaequipaje, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Terraza, Alquiler de bicicletas, Zona de comedor, Jardín, Cafetera, Mosquitera, Mesa de comedor, Servicio de entrega de comestibles, Horno, Acceso a pisos superiores solo mediante escaleras, Microondas, Extintores, Registro de entrada y salida exprés, Cocina, Fogones, Productos de limpieza, Zona de estar, Habitaciones familiares, Desayuno, Español, Inglés, Zona de comedor exterior, Campo de golf (a menos de 3 km), TV de pantalla plana, Sofá cama, Toallas, Plancha para ropa, Bañera o ducha, Barbacoa, Entrada privada, Cesta para mascotas, Restaurante, Tours a pie, Servicio de planchado, Lavadora, Cambio de moneda, Vestidor, Llave de acceso, Prohibido fumar en todo el alojamiento, Equitación, Parking en la calle, Servicio de aparcacoches, Ciclismo, Ventilador, Armario, Servicio de streaming (como Netflix)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/291737794.jpg?k=d837797b7f7a1407171b2296ffb03e9d29964bdf21a32b6d782ca7b14cd0c6e7&o=&hp=1,San Manuel,Honduras
Posadas Mateo,https://www.booking.com/hotel/hn/posadas-mateo-la-lima.es.html?aid=2410095,"Posadas Mateo está en La Lima. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento de 2 dormitorios ofrece TV de pantalla plana, aire acondicionado y sala de estar. El alojamiento ofrece cocina.","Cocina, Prohibido fumar en todo el alojamiento, Aire acondicionado, Parking gratis, WiFi gratis, Balcón, TV de pantalla plana, Español, Zona de cocina, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580203546.jpg?k=0e46b5271930f084f5c84dbb789a250ec814b9328d3fc981a69ae132fd16c133&o=&hp=1,San Manuel,Honduras
Hostal Lima Verde,https://www.booking.com/hotel/hn/hostal-limar-confort.es.html?aid=2410095,"Hostal Lima Verde se encuentra en La Lima y dispone de jardín, salón de uso común y wifi gratis en todo el alojamiento. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

En el albergue, todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado y ropa de cama. En Hostal Lima Verde, cada habitación cuenta con aire acondicionado y caja fuerte.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a pocos pasos.","Ropa de cama, Alarma de seguridad, Fax / fotocopiadora, Caja fuerte, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Utensilios de planchado, Parking gratis, Traslado aeropuerto, Detectores de humo, Adaptado para sillas de ruedas, Campo de golf (a menos de 3 km), Seguridad 24 horas, TV de pantalla plana, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Lavamanos más bajo, Plancha para ropa, Servicio de traslado, Entrada privada, Guardaequipaje, Zona de fumadores, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Tours a pie, Jardín, Escritorio, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de limpieza diario, Información turística, Extintores, Alquiler de coches, Adaptado personas de movilidad reducida, Parking en un garaje, WiFi gratis, Toallas / sábanas (por un suplemento), Productos de limpieza, Zona de estar, TV, Habitaciones familiares, Canales de pago, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/424912786.jpg?k=684e7ddaf0983a0c13f29c72bf3b3a5d9798da952c58697cd978f8132f2bee2a&o=&hp=1,San Manuel,Honduras
Espacio acogedor y tranquilo cerca de aeropuerto,https://www.booking.com/hotel/hn/espacio-acogedor-y-tranquilo-cerca-de-aeropuerto.es.html?aid=2410095,"Espacio acogedor y tranquilo cerca de aeropuerto se encuentra en La Lima.

Hay parking privado gratis en el apartamento.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 2 km.","Aire acondicionado, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/567608145.jpg?k=2cee672046e25ba884f0a9d388837454af400c8836e12269e98317a880e04854&o=&hp=1,San Manuel,Honduras
Posadas Mateo,https://www.booking.com/hotel/hn/posadas-mateo.es.html?aid=2410095,"Posadas Mateo ofrece alojamiento con piscina al aire libre abierta todo el año, wifi gratis y parking privado gratis en La Lima.

Las unidades están equipadas con terraza y ofrecen aire acondicionado, TV de pantalla plana y baño privado con bañera y artículos de aseo gratuitos.

En el apartamento se puede disfrutar de un desayuno americano.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 6 km del alojamiento.","Papel higiénico, Baño privado, Aire acondicionado, Aseo adicional, Parking gratis, Habitaciones sin humo, Valla alrededor de la piscina, TV de pantalla plana, Zona de cocina, Horario de apertura, Vistas, Bañera, Enchufe cerca de la cama, Terraza, Artículos de aseo gratis, Abierta todo el año, Lavadora, Jardín, Vestidor, Prohibido fumar en todo el alojamiento, Piscina climatizada, Zona poco profunda, Para todas las edades, Piscina al aire libre, WiFi gratis, Cocina, Ventilador, Productos de limpieza, Armario, Habitaciones familiares, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517574660.jpg?k=7cc5df4d1609c642a2c9355f720b53d34b31c9fae575401bb214482bf68f63ae&o=&hp=1,San Manuel,Honduras
Residencial Del Golf,https://www.booking.com/hotel/hn/residencial-del-golf.es.html?aid=2410095,"Residencial Del Golf se encuentra en La Lima y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de jardín y terraza.

Cada unidad está equipada con aire acondicionado, baño privado y zona de cocina con nevera, horno, microondas y fogones.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 4 km.","Papel higiénico, Caja fuerte, Baño privado, Aire acondicionado, Parking gratis, TV de pantalla plana, Zona de cocina, Toallas, Hervidor eléctrico, WC, Nevera, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Terraza, Jardín, Prohibido fumar en todo el alojamiento, Mesa de comedor, Horno, Acceso a pisos superiores solo mediante escaleras, Microondas, WiFi gratis, Bañera de hidromasaje / jacuzzi, Perchero, Fogones, Tetera / cafetera, Armario, TV, Inglés, Piscina, Piscina privada, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494944522.jpg?k=33fe9e771af6928ac430344dc14204561c4edc7d34db33e0bdae055845400989&o=&hp=1,San Manuel,Honduras
H4 LAS CABAÑAS,https://www.booking.com/hotel/hn/h4-las-cabanas.es.html?aid=2410095,"H4 LAS CABAÑAS se encuentra en Corozal y ofrece alojamiento de 5 estrellas con jardín. Hotel ofrece parking privado gratis y wifi gratis.

En el hotel, todas las habitaciones incluyen armario.

En recepción se habla inglés, español y italiano, y el personal está siempre dispuesto a echar una mano.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 24 km.","Jardín, Prohibido fumar en todo el alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Recepción 24 horas, Armario, Habitaciones familiares, Inglés, Italiano, Piscina, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484702488.jpg?k=f5781177bb97b9bd6c75a4508f9c7eb93ef899ca77f2c73569a07a65091b0ebe&o=&hp=1,San Manuel,Honduras
Metrotel Express,https://www.booking.com/hotel/hn/metrotel-express.es.html?aid=2410095,"El Metrotel Express está a 10 minutos en coche del aeropuerto internacional de Honduras, a 20 minutos de la estación metropolitana de autobuses y a 12 minutos del centro de San Pedro Sula. Cuenta con piscina al aire libre y WiFi gratuita.

Las habitaciones del Metrotel Express presentan una decoración sencilla y disponen de aire acondicionado, TV por cable y teléfono. El baño es privado e incluye ducha.","Servicio de despertador / alarma, Fax / fotocopiadora, Baño privado, Salas de reuniones / banquetes, Detectores de humo, Zona de juegos para niños, Canales por cable, Bar, Hipoalergénico, Zona de fumadores, Habitaciones insonorizadas, Servicio de limpieza en seco, Escritorio, Tarjeta de acceso, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, TV, Papel higiénico, Vistas al jardín, Servicio de despertador, Habitaciones sin humo, Teléfono, Vistas, WC, Servicio de traslado, Bañera, Servicio de conserjería, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Insonorización, Zona poco profunda, Servicio de limpieza diario, Información turística, Canales vía satélite, Radio, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Sombrillas, Seguridad 24 horas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Baños públicos, Guardaequipaje, Centro de negocios, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Cafetera, Extintores, Máquina expendedora (aperitivos), Productos de limpieza, Zona de estar, Habitaciones familiares, Desayuno, Español, Caja fuerte, Alarma de seguridad, TV de pantalla plana, Entrada privada, Equipamiento de juegos para exterior, Abierta todo el año, Servicio de planchado, Cambio de moneda, Máquina expendedora (bebidas), Para todas las edades, Adaptado personas de movilidad reducida, Bidet, Armario, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565748492.jpg?k=32264363afb0f0176746f8953f7a7e728d40cc7a416f715bef243952292cbcbe&o=&hp=1,San Manuel,Honduras
MATS,https://www.booking.com/hotel/hn/mats.es.html?aid=2410095,"MATS está en San Pedro Sula y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín.

Todas las unidades cuentan con una cocina totalmente equipada para poder hacer la comida.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 10 km.","Cocina, Jardín, TV de pantalla plana, Aire acondicionado, Parking gratis, Inglés, Balcón, Piscina, Piscina privada, Español, WiFi gratis, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541773942.jpg?k=fb49f5be1b55fa090b639d6968bd0d45456c615d9f5597c8bfcacaa233b4a514&o=&hp=1,San Manuel,Honduras
Hotel Casa del Arbol,https://www.booking.com/hotel/hn/casa-del-arbol-centro.es.html?aid=2410095,"El hotel está situado a 900 metros del estadio Morazán y a 5 minutos a pie del parque central, la plaza principal de la ciudad. Tiene un diseño ecológicamente sostenible y ofrece conexión Wi-Fi y aparcamiento privado, ambos gratuitos.

Las habitaciones del Hotel Casa del Arbol disponen de aire acondicionado, escritorio, armario, TV por cable de pantalla plana, vistas a la ciudad y baño privado con ducha y artículos de aseo gratuitos.

El precio incluye un desayuno continental y a 1 km hay varios restaurantes. El hotel cuenta con un árbol de mango en su interior.

El Hotel Casa del Arbol se encuentra a 10 minutos en coche del estadio olímpico y de la estación metropolitana de autobuses. El aeropuerto internacional de Honduras está a 20 minutos en coche.","Papel higiénico, Ropa de cama, Fax / fotocopiadora, Caja fuerte, Baño privado, Inglés, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aseo adicional, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Patio, Desayuno en la habitación, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Detectores de humo, Seguridad 24 horas, Vistas, Pediluvio, Cámaras de seguridad en las zonas comunitarias, Toallas, Plancha para ropa, Hervidor eléctrico, WC, Servicio de traslado, Baños públicos, Guardaequipaje, Proporciona factura, Plancha para pantalones, Centro de negocios, Bañera, Zona de fumadores, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Reloj despertador, Jardín, Escritorio, Mobiliario exterior, Cambio de moneda, Servicio de limpieza en seco, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Acceso a pisos superiores solo mediante escaleras, Peluquería / salón de belleza, Servicio de limpieza diario, Información turística, Fruta, Extintores, Utensilios de planchado, Muy buen desayuno, Aire acondicionado, WiFi gratis, Canales vía satélite, Perchero, Toallas / sábanas (por un suplemento), Terraza / solárium, Armario, Habitaciones familiares, TV, Suelo de baldosa / mármol, Barandillas protectoras para bebés, Radio, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/445356310.jpg?k=fae584ce0db591d6c601bff754a575ef740f6e5bcdf2d5d91c8236041de900ff&o=&hp=1,San Manuel,Honduras
