hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hosteria Rumipamba De Las Rosas,https://www.booking.com/hotel/ec/hosteria-rumipamba-de-las-rosas.es.html?aid=2410095,"Hosteria Rumipamba De Las Rosas dispone de jardín, salón de uso común, terraza y restaurante en San Miguel de Salcedo. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El bar es ideal para tomar algo.

Todas las habitaciones están equipadas con baño privado, algunas ofrecen patio y otras también disponen de vistas a la montaña.

En el hotel se puede disfrutar de un desayuno a la carta o americano.

Hosteria Rumipamba De Las Rosas ofrece zona de juegos infantil. Puedes jugar al ping-pong y al tenis en el alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 131 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Juegos de mesa / puzles, Zona de juegos para niños, Almuerzos para llevar, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Cenas temáticas, Servicio de limpieza diario, Baño privado, Jardín, Centro de negocios, Extintores, Calefacción, Inglés, Vino / champán, Menú para niños, Información turística, Snack-bar, Equipamiento de juegos para exterior, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Ping pong, Servicio de conserjería, Pista de tenis, Parking en un garaje, Zona TV / salón de uso compartido, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Capilla, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Servicio de aparcacoches, Zona de pícnic, Barbacoa, Mobiliario exterior, Pediluvio, Desayuno en la habitación, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Equipamiento de tenis, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Sombrillas, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/50315922.jpg?k=577883d1eca7e40dac155c8956f19f18079a823daa317c5b591bf839b1debd13&o=&hp=1,San Miguel,Ecuador
Paraíso San Marcos,https://www.booking.com/hotel/ec/paraiso-san-marcos.es.html?aid=2410095,"Paraíso San Marcos se encuentra en San Miguel de Salcedo y cuenta con jardín. El hostal o pensión también ofrece wifi gratis y parking privado gratis.

El hostal o pensión dispone de algunas habitaciones con vistas incluyen, y todas tienen baño privado con ducha.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 135 km del alojamiento.","Jardín, Prohibido fumar en todo el alojamiento, Parking gratis, Baño privado, Vistas al jardín, Vistas, Español, WiFi gratis, Ducha, Papel higiénico, Mesa de comedor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/475911359.jpg?k=28d666c793f02c4b464580d90e76b0b12dfe59419e1dbf787f81486094a0327e&o=&hp=1,San Miguel,Ecuador
Hawkay Glamping,https://www.booking.com/hotel/ec/hawkay.es.html?aid=2410095,"Hawkay Glamping tiene vistas al lago y está en San Miguel de Salcedo. Cuenta con restaurante, recepción 24 horas, bar, jardín y terraza.

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

El camping ofrece servicio de alquiler de bicicletas, y en los alrededores se puede practicar ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 138 km.","Desayuno, Terraza, Supermercado pequeño en el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Baños públicos, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Noches de cine, Vistas, Papel higiénico, Recepción 24 horas, Cenas temáticas, Calefacción, Baño privado, Jardín, Extintores, Ciclismo, Discoteca / DJ, Tour o clase sobre cultura local, Vino / champán, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Tours en bici, Servicio de traslado, Galerías de arte temporales, Ducha, Detectores de humo, Enchufe cerca de la cama, Proporciona factura, Música / espectáculos en directo, Zona de fumadores, Zona de pícnic, Mobiliario exterior, Tours a pie, Alquiler de bicicletas, Llave de acceso, Chimenea exterior, Servicio de lavandería, Terraza / solárium, Clases de yoga, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Toallas, Habitaciones familiares, Español, Minibar, Vistas al lago, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/410012358.jpg?k=ed52cca3f02b921d6fee8e7a51fa539b2a5c49fbf02b266789fede4bbabefb54&o=&hp=1,San Miguel,Ecuador
Rancho Las Tunas,https://www.booking.com/hotel/ec/rancho-las-tunas.es.html?aid=2410095,"Rancho Las Tunas se encuentra en Hacienda La Provincia. Este chalet de montaña tiene acceso a una cocina totalmente equipada.

Hay parking privado gratis en el chalet de montaña.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 142 km del alojamiento.","Desayuno, Español, Parking gratis, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/566292919.jpg?k=b9daa5d5a79c072bd3fad9e9015eb9871a8a7ab0daf411fb0ba9959e4ed3f17c&o=&hp=1,San Miguel,Ecuador
Hotel Makroz,https://www.booking.com/hotel/ec/makroz.es.html?aid=2410095,"Hotel Makroz, en Latacunga, ofrece alojamiento de 3 estrellas con salón de uso común, restaurante y bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

Las habitaciones de este alojamiento incluyen zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha. En el hotel, cada habitación incluye ropa de cama y toallas.

En Hotel Makroz se puede disfrutar de un desayuno continental o americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 115 km del alojamiento.","Secador de pelo, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Almuerzos para llevar, Bañera o ducha, Teléfono, Vistas, Recepción 24 horas, Calefacción, Baño privado, Extintores, TV, Armario, Traslado aeropuerto, Perchero, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Muy buen desayuno, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Vistas a un lugar de interés, Proporciona factura, Reloj despertador, Zona de fumadores, Productos de limpieza, Canales por cable, Desayuno en la habitación, Zona de estar, Llave de acceso, Utensilios de planchado, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Gimnasio, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/260941345.jpg?k=241f9fb20fcd92620cfdfb573fa0a1a6e8b4366cb04d7c936f2795230c2b2fa4&o=&hp=1,San Miguel,Ecuador
Great location family hostel,https://www.booking.com/hotel/ec/cotopaxi-rainforest.es.html?aid=2410095,"Great location family hostel ofrece wifi gratis y está en Latacunga. Este alojamiento, que tiene cocina compartida, también ofrece terraza. Hay un restaurante de cocina mexicana y parking privado gratis.

En el albergue, cada habitación está equipada con armario. En Great location family hostel, cada habitación cuenta con baño privado y ropa de cama.

En el alojamiento se sirve todas las mañanas un desayuno continental.

La zona es ideal para practicar ciclismo, y en Great location family hostel hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 115 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Servicio de entrega de comestibles, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Baños públicos, Cafetería en el alojamiento, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Cenas temáticas, Inglés, Baño privado, Extintores, Clases de cocina, Ciclismo, Armario, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Pista de tenis, Tours en bici, Ropa de cama, Menús para dietas especiales (bajo petición), Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Enchufe cerca de la cama, Detectores de humo, Proporciona factura, Plancha para ropa, Zona de fumadores, Mobiliario exterior, Tours a pie, Alquiler de bicicletas, Desayuno en la habitación, Guardaequipaje, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Restaurante, Toallas, Habitaciones familiares, Español, Happy hour, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513829806.jpg?k=8253e8f97b4e052c85d517e47bcea9c920c711debf99da9e99c0ea1123903303&o=&hp=1,San Miguel,Ecuador
Hostel Tierra de Fuego,https://www.booking.com/hotel/ec/hostel-tierra-de-fuego-latacunga.es.html?aid=2410095,"Hostel Tierra de Fuego dispone de jardín, terraza, restaurante y bar en Latacunga. Hay wifi gratis y se ofrece parking privado por un suplemento.

Todas las unidades incluyen nevera, horno, cafetera, ducha, artículos de aseo gratuitos y armario. Las habitaciones del alojamiento están equipadas con secador de pelo y ordenador portátil.

Puedes jugar al ping-pong en el hostal o pensión.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 116 km.","Secador de pelo, Terraza, Ordenador portátil, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Suelo de madera o parquet, Jardín, Parking en un garaje, Tours en bici, Cocina compartida, Mesa de comedor, Zona de cocina, Zona de juegos interior, Utensilios de planchado, Zona de comedor exterior, Insonorización, Zona de comedor, Restaurante, Happy hour, Sala de juegos, Horno, Cocina, Cámaras de seguridad en las zonas comunitarias, Patio, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Cafetera, Vistas a un patio interior, Zona de estar, Acceso al salón executive, Chimenea exterior, Cámaras de seguridad fuera del alojamiento, Lavadora, Habitaciones familiares, Servicio de despertador / alarma, Utensilios de cocina, Parking privado, Papel higiénico, Juegos de mesa / puzles, Armario, Artículos de aseo gratis, Detectores de humo, Vistas a un lugar de interés, Productos de limpieza, Tours a pie, Vistas a la montaña, Secadora de ropa, Vistas al jardín, Guardaequipaje, WC, Microondas, Terraza / solárium, Francés, Bar, Toallas, Español, Nevera, Zona de fumadores, Reproductor de CD, Inglés, Videoconsola Xbox 360, Vino / champán, Perchero, Información turística, Snack-bar, Ping pong, Entrada privada, Ducha, Plancha para ropa, Radio, Aseo adicional, Servicio de despertador, Servicio de lavandería, Vistas a la ciudad, Minibar",https://cf.bstatic.com/xdata/images/hotel/max1024x768/196945415.jpg?k=bddb9b3ed5ace582fa166c1fafbdb2ffbd6ab9d07b53b0d1023c1225d1cf90d6&o=&hp=1,San Miguel,Ecuador
Hostal Café Tiana,https://www.booking.com/hotel/ec/hostal-cafe-tiana.es.html?aid=2410095,"Hostal Café Tiana se encuentra en Latacunga y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Se ofrece parking privado por un suplemento.

Algunas habitaciones también disponen de cocina con nevera, horno y microondas.

En el hostal o pensión se puede disfrutar de un desayuno continental.

La clientela puede practicar actividades en Latacunga y alrededores, como ciclismo.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 115 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Senderismo, Servicio de limpieza diario, Inglés, Jardín, Extintores, Ciclismo, Traslado aeropuerto, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Tours en bici, Servicio de traslado, WiFi gratis, Buen desayuno, Cocina compartida, Detectores de humo, Proporciona factura, Zona de fumadores, Peluquería / salón de belleza, Tours a pie, Taquillas, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Habitaciones familiares, Español, Parking privado, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/166273423.jpg?k=7e5829fc7ce057116d5c107c596ca2137878aaa0545626d2df8d92db6dfcf520&o=&hp=1,San Miguel,Ecuador
Hotel Maderanegra By Huasicama,https://www.booking.com/hotel/ec/hostal-huasicama.es.html?aid=2410095,"Hotel Maderanegra By Huasicama dispone de alojamiento en Latacunga. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento tienen una terraza con vistas a la ciudad.

En el hotel, todas las habitaciones tienen armario. Algunas habitaciones incluyen cocina con nevera, microondas y minibar. En Hotel Maderanegra By Huasicama, las habitaciones tienen TV de pantalla plana con canales por cable.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 116 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Terraza, Sombrillas, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Bañera o ducha, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Centro de negocios, Extintores, TV, Armario, Tour o clase sobre cultura local, Traslado aeropuerto, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Enchufe cerca de la cama, Detectores de humo, Proporciona factura, Alquiler de coches, Zona de fumadores, Mobiliario exterior, Canales por cable, Tours a pie, Llave de acceso, Chimenea exterior, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561629687.jpg?k=d68887c69f293f0745f700b3d088c734a6a0b19bd162b62c83850fab3e36d43d&o=&hp=1,San Miguel,Ecuador
Hotel Rosim Cotopaxi,https://www.booking.com/hotel/ec/rose-inn.es.html?aid=2410095,"Hotel Rosim Cotopaxi está en Latacunga y dispone de salón de uso común. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación dispone de armario. Todas las habitaciones tienen baño compartido, secador de pelo y ropa de cama.

En Hotel Rosim Cotopaxi se puede disfrutar de un desayuno buffet o vegetariano.

La clientela puede practicar actividades en Latacunga y alrededores, como ciclismo.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 115 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Secador de pelo, Terraza, Juegos de mesa / puzles, Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Senderismo, Inglés, Libros, DVD o música para niños, Baño privado, Baño compartido, Extintores, Ciclismo, Armario, Traslado aeropuerto, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Tours en bici, Ropa de cama, Menús para dietas especiales (bajo petición), Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Proporciona factura, Ruta de bares, Zona de fumadores, Mobiliario exterior, Tours a pie, Vistas a un patio interior, Aseo adicional, Equitación, Eventos deportivos en directo (emisión), Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Toallas, Habitaciones familiares, Español, Utensilios de cocina, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565311397.jpg?k=63e1c23255c89ddeffb818ece1e7c72e18e203dcab07cea07196342e1495d2c4&o=&hp=1,San Miguel,Ecuador
