hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hospedaje el placer,US$18,"8,7",Fabuloso,165,https://cf.bstatic.com/xdata/images/hotel/max1024x768/271669908.webp?k=9b724e9d3fccebd22b3fd3bbbbfdbe3b17ba19026960b35e5659cc3d81225f20&o=,https://www.booking.com/hotel/ar/hospedaje-el-placer.es.html?aid=2410095,"Cancha de tenis, Prohibido fumar en todo el establecimiento, Cocina compartida, Baño privado, Senderismo, Español, Calefacción, Pesca, Aire acondicionado, Habitaciones familiares, Habitaciones para no fumadores, Cambio de moneda, Información turística, Peluquería/salón de belleza, Wifi gratis",San Pedro,Argentina,"El Hospedaje el placer se encuentra en San Pedro y ofrece alojamiento con TV de pantalla plana y zona de cocina compartida con placa eléctrica.

Algunos alojamientos tienen zona de comedor y/o patio.

Baradero se encuentra a 35 km del departamento."
Cabañas Norden San Pedro,US$49,"8,5",Muy bien,26,https://cf.bstatic.com/xdata/images/hotel/square600/139268793.webp?k=ac36eccb8eaf6919b09880d20cea247c0654b713760f72b692b12d90d444ae41&o=,https://www.booking.com/hotel/ar/posada-norden-san-pedro.es.html?aid=2410095,"Desayuno, Terraza, Jardín, Minigolf, Recepción 24 horas, Español, Habitaciones para no fumadores, Pileta/toallones, Zona de pícnic, Valla alrededor de la pileta, Pileta con vistas, Sillas y reposeras, Barandillas protectoras para bebés, Extintores, Calefacción, Aire acondicionado, Estacionamiento en un garaje, Adaptado para sillas de ruedas, Adaptado para personas con movilidad reducida, Desayuno en la habitación, Check-in/check-out privado, Información turística, Acceso con llave, Zona de fumadores, Habitaciones insonorizadas, Cámaras de seguridad en áreas comunes, Estacionamiento gratuito, Tours en bici, Habitaciones familiares, Parrilla, Actividades para menores, Mobiliario exterior, Check-in/check-out exprés, Servicio de delivery de alimentos, Pileta al aire libre, Cámaras de seguridad en exterior del alojamiento, Zona poco profunda, Pesca, Servicio a la habitación, Juegos de mesa/puzzles, Hidromasaje/jacuzzi, Por temporada, Ciclismo",San Pedro,Argentina,"Las Cabañas Norden San Pedro ofrecen una pileta exterior de temporada y una zona de parrilla y están situadas en San Pedro, en la región de Buenos Aires. Los alojamientos cuentan con aire acondicionado y bañera de hidromasaje. Baradero se sitúa a 22 km.

Todas las cabañas disponen de TV de pantalla plana vía satélite y zona de cocina con heladera. Se facilitan toallas. Pueden estar hechas de madera, solo la planta superior, o con materiales rígidos.

Las Cabañas Norden San Pedro también incluyen bañera de hidromasaje."
Casa Pellegrini - Hostel,US$12,"9,6",Excepcional,12,https://cf.bstatic.com/xdata/images/hotel/square600/475664698.webp?k=317abe400d1ee4bc08dfcfce1cdb09fda5ec828dbe5e1438d2c97ce0e864ab49&o=,https://www.booking.com/hotel/ar/casa-pellegrini-b-amp-b.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Vista a la ciudad, Desayuno, Jardín, Español, Bañera, Habitaciones para no fumadores, Lavarropas, Papel higiénico, Cafetera, Secador de pelo, Baño compartido, Calefacción, Aire acondicionado, Cocina, Zona de comedor, Zona TV/salón compartidos, Información turística, Zona de fumadores, Wifi gratis, Patio, Mesa de comedor, Enchufe cerca de la cama, Toallas, Baño, Inglés, Toda la unidad está situada en planta baja, Utensilios de cocina, Hornalla, Ventilador, Cocina compartida, Bidé, Piso de madera o parquet, Horno, Cambio de moneda, Juegos de mesa/puzzles, Heladera, Toda la unidad es accesible mediante silla de ruedas, Ropa de cama",San Pedro,Argentina,"La Casa Pellegrini - B&B se encuentra en San Pedro y alberga un jardín. El alojamiento cuenta con cocina compartida y salón compartido.

Todas las habitaciones del hostel incluyen aire acondicionado, escritorio, baño compartido, TV de pantalla plana, ropa de cama y patio con vistas a la ciudad. Los alojamientos de la Casa Pellegrini - B&B cuentan con zona de estar.

El alojamiento sirve un desayuno continental.

El aeropuerto más cercano es el aeropuerto internacional de Rosario-Islas Malvinas, ubicado a 155 km de la Casa Pellegrini - B&B."
El Quincho,US$18,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/square600/528757532.webp?k=c6eea8660a4bc8500d1e007938f9b74d4d45e11ff3ce563b15c0d18075a03c42&o=,https://www.booking.com/hotel/ar/el-quincho-san-pedro.es.html?aid=2410095,"Sombrillas, Zona de fumadores, Terraza, Recepción 24 horas, Español, Cocina, Parrilla, Zona de pícnic, Cambio de moneda, Acceso con llave, Terraza/solárium, Wifi gratis, Vista, Kitchenette, Guardaequipaje, Sillas y reposeras",San Pedro,Argentina,El Quincho está en San Pedro.
República Hostel,US$14,"8,1",Muy bien,186,https://cf.bstatic.com/xdata/images/hotel/square600/189636684.webp?k=9e96054a8d22a920d734f2e69ec386a3c83c9cd8f9e182b444fbe5ccc7245544&o=,https://www.booking.com/hotel/ar/hostel-del-centro-san-pedro.es.html?aid=2410095,"Ducha, Vista a la ciudad, Terraza, Noches de películas, Jardín, Lockers, Recepción 24 horas, Español, Cafetería en la propiedad, Tetera/Cafetera, Habitaciones para no fumadores, Papel higiénico, Guardaequipaje, Cafetera, Toallas/sábanas (cargos extra), Zona de juegos interior, Baño compartido, Servicio de lavandería, Tour o clase sobre la cultura local, Tostadora, Extintores, Calefacción, Aire acondicionado, Cocina, Entretenimiento nocturno, Zona de comedor exterior, Juegos de mesa/rompecabezas, Buen desayuno, Tetera/cafetera en todas las habitaciones, Zona de comedor, Información turística, Música o espectáculo en vivo, Wifi gratis, Libros, DVD o música para niños, Discoteca/DJ, Zona TV/salón compartidos, Cámaras de seguridad en áreas comunes, Zona de fumadores, Francés, Bar, Mesa de comedor, Vino/Champán, Enchufe cerca de la cama, Recorrida de bares, Acceso a pisos superiores solo por escalera, Toallas, Parrilla, Baño, Vista al río, Inglés, Seguridad las 24 horas, Terraza/solárium, Utensilios de cocina, Hornalla, Ventilador, Sala de juegos, Mobiliario exterior, Vista a un punto turístico, Canales por cable, Happy hour, Cocina compartida, Microondas, Bidé, Cámaras de seguridad en exterior del alojamiento, Tours a pie, Reproductor de CD, Minibar, Cambio de moneda, Juegos de mesa/puzzles, Radio, Heladera, Ropa de cama",San Pedro,Argentina,"El Hostel del Centro se encuentra en San Pedro y ofrece bar, salón compartido, jardín y wifi gratis en todas las instalaciones. También cuenta con mostrador de información turística y terraza. Hay recepción 24 horas, cocina compartida y servicio de cambio de divisa.

Los alojamientos del hostel están equipados con cafetera y reproductor de CD. Todas las habitaciones tienen baño compartido y bidet. Algunas habitaciones del Hostel del Centro tienen patio. Todas las habitaciones incluyen ropa de cama y toallas.

El Hostel del Centro sirve un desayuno continental.

El hostel se encuentra a 35 km de Baradero y a 38 km de Ramallo."
Vistalrio,US$90,"8,5",Muy bien,194,https://cf.bstatic.com/xdata/images/hotel/square600/464713147.webp?k=6818a714f6c5a23b1833c2ed6dee4ac4e64c3226bec51a5d823c5eb6a826a8c0&o=,https://www.booking.com/hotel/ar/posada-al-rio.es.html?aid=2410095,"Mesa de pool, Papel higiénico, Guardaequipaje, Kitchenette, Vista a un patio interno, Secador de pelo, Sombrillas, Extintores, Adaptado para sillas de ruedas, Cocina, Zona de comedor, Menú light (a pedido), Zona de fumadores, Wifi gratis, Servicio de conserjería, Sala de juegos, Salas de reuniones/banquetes, Pileta al aire libre, Pesca, Noches de películas, Ducha, Perchero de barral, Desayuno, Abierta todo el año, Zona de pícnic, Zona de juegos interior, Calefacción, Bar en la pileta, Zona de comedor exterior, Zona TV/salón compartidos, Adaptado para personas con movilidad reducida, Check-in/check-out privado, Cámaras de seguridad en áreas comunes, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Parrilla, Baño, Snack-bar, Ventilador, Vista a un punto turístico, Armario, Servicio de delivery de alimentos, Bidé, Artículos de tocador gratuitos, Cambio de moneda, Servicio a la habitación, Juegos de mesa/puzzles, TV de pantalla plana, Recepción 24 horas, Español, Bañera, Cafetería en la propiedad, Fruta, Servicio diario de limpieza, Chimenea exterior, Pileta con vistas, Desayuno en la habitación, Acceso con llave, Música o espectáculo en vivo, Libros, DVD o música para niños, Patio, Baño privado, Toallas, Inglés, Masajes, Utensilios de cocina, Zona de juegos para menores, Cámaras de seguridad en exterior del alojamiento, Horno, Heladera, Ropa de cama, Para todas las edades, Terraza, Jardín, Bañera o ducha, Entrada privada, Sillas y reposeras, Cenas temáticas, TV, Aire acondicionado, Proporciona factura, Juegos de mesa/rompecabezas, Vista al jardín, Información turística, Bar, Estacionamiento gratuito, Mesa de comedor, Restaurante, Vino/Champán, Estacionamiento adaptado para personas con movilidad reducida, Baño público, Seguridad las 24 horas, Terraza/solárium, Hornalla, Actividades para menores, Mobiliario exterior, Canales por cable, Prohibido fumar en todo el establecimiento, Centro de negocios, Tours a pie, Minibar, Alarma de seguridad, Servicio de despertador",San Pedro,Argentina,"El alojamiento Vista al Río está situado en San Pedro, junto al río Paraná, y cuenta con pileta al aire libre. Además, ofrece un gran parque, zona de parrilla al aire libre, vistas panorámicas al río y conexión wifi gratis.

Los alojamientos del Vista al Río tienen una decoración de estilo rústico, TV de pantalla plana, zona de cocina y zona de comedor. El baño es completo y también disponen de hermosas vistas al jardín y el río.

Hay consigna de equipaje, y los huéspedes pueden practicar varias actividades tanto en el alojamiento como en los alrededores, entre ellas la pesca.

Se ofrece estacionamiento gratuito."
Departamento Temporario San Pedro,US$23,"9,4",Fantástico,11,https://cf.bstatic.com/xdata/images/hotel/square600/505493410.webp?k=816a24a17862661e5c2fca9bc90f4d3398d0d08e55b598f91ffd33ea9ae329f9&o=,https://www.booking.com/hotel/ar/departamento-temporario-san-pedro.es.html?aid=2410095,"Ducha, Pava eléctrica, TV de pantalla plana, Recepción 24 horas, Balcón, Español, Papel higiénico, Bañera o ducha, Estacionamiento privado, Entrada privada, Vista, Estación de recarga de vehículos eléctricos, Baño compartido, Calefacción, TV, Aire acondicionado, Cocina, Zona de comedor, Italiano, Wifi gratis, Mesa de comedor, Estacionamiento adaptado para personas con movilidad reducida, Habitaciones familiares, Toallas, Baño, Inglés, Ascensor, Utensilios de cocina, Ventilador, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Microondas, Bidé, Pileta al aire libre, Pantuflas, Heladera, Ropa de cama, Para todas las edades",San Pedro,Argentina,"El Departamento Temporario San Pedro se encuentra en San Pedro. El alojamiento cuenta con balcón, estacionamiento privado gratuito y wifi gratis.

El departamento consta de 2 dormitorios, cocina totalmente equipada y baño. Hay TV de pantalla plana. Este alojamiento es para no fumadores.

El aeropuerto más cercano es el aeropuerto internacional de Rosario-Islas Malvinas, a 155 km del departamento."
Departamentos San Pedro,US$35,"9,2",Fantástico,170,https://cf.bstatic.com/xdata/images/hotel/square600/395836687.webp?k=d92c492350bb1408b82b2b9a6c483de32f3b61ab8a1b155de02061e871d5427a&o=,https://www.booking.com/hotel/ar/departamentos-san-pedro.es.html?aid=2410095,"Zona de estar, Ducha, Perchero de barral, TV de pantalla plana, Español, Papel higiénico, Guardaequipaje, Entrada privada, Calefacción, TV, Aire acondicionado, Cocina, Extintores, Zona de comedor, Acceso con llave, Wifi gratis, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Protector de enchufes para menores, Habitaciones familiares, Piso de baldosa/mármol, Acceso a pisos superiores solo por escalera, Independiente, Utensilios de cocina, Ventilador, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Microondas, Bidé, Cámaras de seguridad en exterior del alojamiento, Cambio de moneda, Departamento privado en edificio, Heladera, Ropa de cama",San Pedro,Argentina,"El Departamentos San Pedro se encuentra a solo 150 metros de la terminal de autobuses y ofrece un alojamiento independiente en el centro de San Pedro. Hay wifi gratis.

Los departamentos del Departamentos San Pedro están totalmente amueblados e incluyen aire acondicionado, zona de cocina, TV por cable y baño completo.

El alojamiento se encuentra a 500 metros del río Paraná. El centro de San Pedro y la zona comercial están a 300 metros."
Hotel Barrancas San Pedro,US$65,"7,9",Bien,305,https://cf.bstatic.com/xdata/images/hotel/square600/201432272.webp?k=29aea061016c043d5755596a25ede996b23e0046155d195fcebf287393c5dc81&o=,https://www.booking.com/hotel/ar/barrancas-san-pedro.es.html?aid=2410095,"Ducha, TV de pantalla plana, Recepción 24 horas, Jardín, Español, Papel higiénico, Secador de pelo, Caja fuerte, Calefacción, TV, Aire acondicionado, Solárium, Buen desayuno, Zona TV/salón compartidos, Información turística, Wifi gratis, Estacionamiento gratuito, Baño privado, Piso de baldosa/mármol, Toallas, Teléfono, Snack-bar, Armario, Canales por cable, Bidé, Pileta al aire libre, Artículos de tocador gratuitos, Por temporada, Ropa de cama",San Pedro,Argentina,"El Hotel Barrancas San Pedro se encuentra en San Pedro y ofrece pileta exterior de temporada, salón compartido, jardín y wifi gratis en todas las instalaciones. Este hotel de 2 estrellas cuenta con recepción 24 horas y mostrador de información turística. Hay estacionamiento privado disponible por un adicional.

Las habitaciones disponen de aire acondicionado, armario, caja fuerte, TV de pantalla plana y baño privado con bidet. Las habitaciones del Hotel Barrancas San Pedro están equipadas con ropa de cama y toallas.

Todas las mañanas se sirve un desayuno continental.

El Hotel Barrancas San Pedro se encuentra a 35 km de Baradero y a 39 km de Ramallo."
La Chacra - Hotel de Campo & Spa,US$99,"8,3",Muy bien,81,https://cf.bstatic.com/xdata/images/hotel/square600/94547650.webp?k=00f9667a154b73fa12222242759a36c9627d858dbf8842371c2d6e9d19d0d60f&o=,https://www.booking.com/hotel/ar/la-chacra-spa-de-campo-san-pedro2.es.html?aid=2410095,"Habitaciones para no fumadores, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Sombrillas, Servicios de belleza, Extintores, Pileta de inmersión, Menú light (a pedido), Wifi gratis, Servicio de conserjería, Pileta climatizada, Zona de estar, Ducha, Abierta todo el año, Zona de pícnic, Calefacción, Zona de comedor exterior, Clases de gimnasia, Cámaras de seguridad en áreas comunes, Alquiler de bicicletas, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Piso de baldosa/mármol, Parrilla, Snack-bar, Armario, Cocina compartida, Bidé, Juegos de mesa/puzzles, 3 piletas, Pava eléctrica, TV de pantalla plana, Español, Cafetería en la propiedad, Pileta/toallones, Pileta con vistas, Estacionamiento en un garaje, Solárium, Servicio de planchado, Pileta infantil, Acceso con llave, Clases de yoga, Instalaciones de spa, Baño privado, Toallas, Masajes, Cámaras de seguridad en exterior del alojamiento, Spa, Mosquitero, Heladera, Por temporada, Ropa de cama, Para todas las edades, Jardín, Bata de baño, Desayuno fabuloso, Solo para adultos, Bañera o ducha, Entrada privada, Sillas y reposeras, Tratamientos faciales, TV, Aire acondicionado, Proporciona factura, Zona de spa/relajación, Información turística, Bar, Estacionamiento gratuito, Vino/Champán, Seguridad las 24 horas, Toda la unidad está situada en planta baja, Prohibido fumar en todo el establecimiento, Alarma de seguridad",San Pedro,Argentina,"La Chacra - Hotel de Campo & Spa se encuentra en San Pedro, provincia de Buenos Aires, a 20 km de Baradero, y ofrece una pileta al aire libre de temporada y parrilla. Hay wifi gratis y estacionamiento privado gratuito.

Todos los alojamientos disponen de aire acondicionado y TV de pantalla plana vía satélite. Algunos alojamientos tienen zona de estar y/o de comedor. Algunos alojamientos tienen cocina con horno y microondas. El baño es privado e incluye bañera o ducha. Se proporcionan toallas.

La Chacra - Hotel de Campo & Spa alberga un centro de spa y una bañera de hidromasaje. El alojamiento alberga un bar.

El alojamiento cuenta con bicicletas de uso gratuito y la zona es perfecta para practicar ciclismo."
