hotel,hotel_url,description,popular_facilities,highres_url,city,country
Dyko's House,https://www.booking.com/hotel/cr/dykos-house.es.html?aid=2410095,"Dyko's House está en San Ramón, a 26 km de Catarata La Fortuna, y dispone de alojamiento con jardín, wifi gratis, cocina compartida y salón de uso común. El alojamiento, que se encuentra a 28 km de Aguas termales de Kalambu, ofrece restaurante y parking privado gratis.

La habitación en casa particular dispone de TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

En la recepción se hablan varios idiomas, como inglés y español.

Parque Mistico Arenal Hanging Bridges está a 44 km del alojamiento, y Sky Adventures Arenal está a 45 km. El aeropuerto más cercano (Aeropuerto de Fortuna) está a 21 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Ropa de cama, Cámaras de seguridad fuera del alojamiento, Gimnasio, Parking gratis, Traslado aeropuerto, Desayuno en la habitación, Sombrillas, TV de pantalla plana, Menús para dietas especiales (bajo petición), Español, Cámaras de seguridad en las zonas comunitarias, Toallas, Hervidor eléctrico, Cocina compartida, Servicio de traslado, Senderismo, Nevera, Restaurante, Zona de fumadores, Recepción 24 horas, Almuerzos para llevar, Servicio de lavandería, Utensilios de cocina, Artículos de aseo gratis, Tours a pie, Servicio de planchado, Zapatillas, Zona de comedor, Jardín, Cambio de moneda, Zona TV / salón de uso compartido, Mesa de comedor, Zona de pícnic, Tour o clase sobre cultura local, Fruta, Información turística, WiFi gratis, Tetera / cafetera, Armario, Inglés, Desayuno, Parque acuático",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585816533.jpg?k=5e2bb4ad32baa019ecf0aecd0f78c7d2dfd805b6a779da561337dcbc44214851&o=&hp=1,San Ramón,Costa Rica
Beautiful house in The center of San Ramón,https://www.booking.com/hotel/cr/beautiful-house-in-the-center-of-san-ramon.es.html?aid=2410095,"Beautiful house in The center of San Ramón se encuentra en San Ramón y ofrece alojamiento a 37 km de Catarata Tesoro Escondido, a 40 km de Parque Viva y a 42 km de Estadio Alejandro Morera Soto. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento cuenta con 2 dormitorios, TV de pantalla plana y cocina. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional Juan Santamaría) está a 41 km del alojamiento.","Cocina, Toallas, Plancha para ropa, Prohibido fumar en todo el alojamiento, Ropa de cama, Papel higiénico, Balcón, Parking gratis, Secador de pelo, TV de pantalla plana, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512733527.jpg?k=a8491fdb00ef254638c1b60a1e1276ec913e76e8ce560399c5462e495fb9ccff&o=&hp=1,San Ramón,Costa Rica
Hostel Bouganvilia Bed and Breakfast,https://www.booking.com/hotel/cr/hostel-buganvilia.es.html?aid=2410095,"El Hostel Bouganvilia Bed and Breakfast está situado en San Ramón, a 1 km del estadio Guillermo Vargas Roldan, y ofrece alojamiento con salón compartido, aparcamiento privado gratuito, jardín y terraza. También cuenta con cocina compartida, mostrador de información turística y WiFi gratuita en todas las instalaciones. El establecimiento cuenta con habitaciones familiares.

Todas las habitaciones tienen patio. Las habitaciones del Hostel Bouganvilia Bed tienen baño compartido y vistas a la ciudad.

El establecimiento sirve un desayuno continental.

El aeropuerto más cercano es el aeropuerto internacional Juan Santamaría, situado a 32 km del Hostel Bouganvilia Bed and Breakfast.","Papel higiénico, Alarma de seguridad, Caja fuerte, Cámaras de seguridad fuera del alojamiento, Parking gratis, Habitaciones sin humo, Vistas a un patio interior, Patio, Vistas, Cámaras de seguridad en las zonas comunitarias, Toallas, Cocina compartida, Servicio de traslado, Proporciona factura, Zona de fumadores, Enchufe cerca de la cama, Terraza, Zona de comedor, Jardín, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Mesa de comedor, Parking en la calle, Servicio de limpieza diario, Información turística, Extintores, WiFi gratis, Cocina, Toda la unidad accesible en silla de ruedas, Terraza / solárium, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/264319495.jpg?k=8a5543814526c97b6c3e61ae0a3bf0aaa975fda7bbc65b69658b7b64aeb4cb52&o=&hp=1,San Ramón,Costa Rica
Vida Mountain Resort & Spa Adults Only,https://www.booking.com/hotel/cr/vida-mountain-resort-spa.es.html?aid=2410095,"El Vida Mountain Resort & Spa Adults Only es un complejo de estilo boutique situado en las montañas de Costa Rica.

El establecimiento ofrece internet de alta velocidad (fibra óptica), deliciosos alimentos saludables locales, piscina infinita de agua salada climatizada, bañera de hidromasaje, estudio de yoga totalmente equipado, senderos, sauna de vapor, piscina pequeña de agua fría y salón de té.

El alojamiento se encuentra en Salvador de Piedades Sur, a 30 minutos del centro de San Ramón y a 1,5 horas de la ciudad de San José.

El aeropuerto internacional Juan Santamaría está a 45 km del establecimiento.","Fax / fotocopiadora, Servicios de belleza, Baño privado, Manicura, Vino / champán, Registro de entrada / salida privado, Salas de reuniones / banquetes, Detectores de humo, Chimenea exterior, Snack-bar, Masajes, Bar, Mobiliario exterior, Tour o clase sobre cultura local, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Terraza / solárium, Piscina infinita, Proporciona factura, Masaje de pies, Exfoliación corporal, Habitaciones sin humo, Cenas temáticas, Desayuno en la habitación, Tratamientos corporales, Servicio de traslado, Zona de spa / relajación, Senderismo, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Zona TV / salón de uso compartido, Toallas de playa/piscina, Zona de pícnic, Zona poco profunda, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Paquetes de spa / bienestar, Billar, Tumbonas/sillas de playa, WC con barras de apoyo, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Piscina con vistas, Seguridad 24 horas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Baños públicos, Guardaequipaje, Plancha para pantalones, Servicio de lavandería, Terraza, Jardín, Masaje en pareja, Servicio de entrega de comestibles, Extintores, Masaje de cabeza, Habitaciones familiares, Desayuno, Español, Masaje de cuello, Caja fuerte, Tratamientos faciales, Juegos de mesa / puzles, Menús para dietas especiales (bajo petición), Masaje de espalda, Restaurante, Silla de masajes, Abierta todo el año, Tours a pie, Servicio de planchado, Cambio de moneda, Spa y centro de bienestar, Llave de acceso, Prohibido fumar en todo el alojamiento, Equitación, Clases de yoga, Para todas las edades, Adaptado personas de movilidad reducida, Taquillas en el gimnasio / spa, Instalaciones de spa, Bañera de hidromasaje / jacuzzi, Pedicura, Habitaciones hipoalergénicas, Bar en la piscina, Inglés, Baño de vapor, Sauna",https://cf.bstatic.com/xdata/images/hotel/max1024x768/137093368.jpg?k=308ddf4569159f3a6c2ef700d20ffe18fcbcd4273f3830a74a7bdaa3945829b4&o=&hp=1,San Ramón,Costa Rica
Casa céntrica en San Ramón,https://www.booking.com/hotel/cr/casa-centrica-en-san-ramon.es.html?aid=2410095,"Casa céntrica en San Ramón está en San Ramón y ofrece alojamiento con wifi gratis a 40 km de Parque Viva y a 42 km de Estadio Alejandro Morera Soto. El alojamiento, que está a 37 km de Catarata Tesoro Escondido, dispone de terraza y parking privado gratis.

Este apartamento tiene acceso a un balcón con vistas al jardín y cuenta con 2 dormitorios y cocina totalmente equipada. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional Juan Santamaría) está a 41 km.","Cocina, Toallas, Prohibido fumar en todo el alojamiento, Ropa de cama, Papel higiénico, Vistas al jardín, Balcón, Zona de cocina, Guardaequipaje, Vistas, Parking gratis, Habitaciones sin humo, Microondas, Terraza, Secador de pelo, Español, WiFi gratis, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462027532.jpg?k=50f1fe31a796ae0a6898f4d68471e59417da1cd4dd45dc3a2ed054b466987162&o=&hp=1,San Ramón,Costa Rica
Cabaña blue jeans,https://www.booking.com/hotel/cr/cabana-blue-jeans.es.html?aid=2410095,"Cabaña blue jeans, que cuenta con vistas a la montaña, ofrece alojamiento con terraza y balcón a unos 18 km de Catarata La Fortuna. Este apartamento dispone de piscina privada, jardín y parking privado gratis.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha.

En el apartamento se sirve todos los días un desayuno a la carta.

Aguas termales de Kalambu está a 20 km del alojamiento, y Parque Mistico Arenal Hanging Bridges está a 35 km. El aeropuerto más cercano (Aeropuerto de Fortuna) está a 13 km del alojamiento.","Vistas a la montaña, Papel higiénico, Vistas al jardín, Baño privado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Patio, Zona de cocina, Vistas, Toallas, Bañera o ducha, Entretenimiento nocturno, Guardaequipaje, Senderismo, Nevera, Bañera, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Suelo de madera o parquet, Terraza, Almuerzos para llevar, Tours a pie, Zona de comedor, Lavadora, Jardín, Cafetera, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Piscina privada, Zona de pícnic, Tour o clase sobre cultura local, Información turística, Cocina, Bidet, Ventilador, Productos de limpieza, Tetera / cafetera, Habitaciones familiares, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536572748.jpg?k=3a3bbaf9ede07be4af8c57a788a623ad8cb73dee4d82d393ff84adb1b8d961c0&o=&hp=1,San Ramón,Costa Rica
Villa Blanca Cloud Forest Hotel & Retreat,https://www.booking.com/hotel/cr/villa-blanca-cloud-forest.es.html?aid=2410095,"Este complejo ecológico, rodeado por el bosque tropical de niebla de la reserva biológica privada de Los Ángeles, dispone de un spa y una granja de trabajo. Sus lujosas cabañas gozan de vistas a la jungla y tienen conexión a internet gratuita.

Las amplias cabañas del Villa Blanca, distribuidas emulando un pequeño pueblo, cuentan con una chimenea y un porche o terraza. Cada cabaña presenta una elegante decoración y muebles hechos a mano, entre los que se incluyen cómodas mecedoras.

El Villa Blanca Cloud Forest Hotel & Retreat ofrece visitas diurnas y nocturnas a la increíble selva nublada. El personal también puede organizar excursiones al parque nacional del volcán Poás, situado a 50 km.

En el restaurante del Villa Blanca, que ofrece unas impresionantes vistas a la selva, se prepara cocina de Costa Rica a partir de productos orgánicos de cosecha propia. El encantador bar del vestíbulo dispone de sofás y chimenea.

El aeropuerto internacional de San José está a poco más de 1 hora en coche del Villa Blanca Cloud Forest Hotel. Hay aparcamiento privado gratuito en el establecimiento.","Fax / fotocopiadora, Baño privado, Vino / champán, Salas de reuniones / banquetes, Snack-bar, Masajes, Bar, Zona de fumadores, Habitaciones insonorizadas, Escritorio, Mobiliario exterior, Chimenea, Tour o clase sobre cultura local, WiFi gratis, Proporciona factura, Masaje de pies, Papel higiénico, Servicio de despertador, Eventos deportivos en directo (emisión), Habitaciones sin humo, Teléfono, Secador de pelo, WC, Servicio de traslado, Senderismo, Bañera, Servicio de conserjería, Enchufe cerca de la cama, Ducha, Insonorización, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Perchero, Billar, Vistas a la montaña, Parking gratis, Traslado aeropuerto, Sala de juegos, Noches de cine, Sombrillas, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Centro de negocios, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Masaje en pareja, Extintores, Alquiler de coches, Masaje de cabeza, Zona de estar, Desayuno, Español, Masaje de cuello, Caja fuerte, Juegos de mesa / puzles, Menús para dietas especiales (bajo petición), Toallas, Masaje de manos, Bañera o ducha, Masaje de espalda, Restaurante, Tours a pie, Servicio de planchado, Llave de acceso, Spa y centro de bienestar, Clases de yoga, Calefacción, Adaptado personas de movilidad reducida, Instalaciones de spa, Bañera de hidromasaje / jacuzzi, Ventilador, Capilla, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555007924.jpg?k=1f38c417425ea83122ab820e4e638959510db6f2a7e2a6ae40dba478fb0ba351&o=&hp=1,San Ramón,Costa Rica
Villa Buenaventura,https://www.booking.com/hotel/cr/villa-buenaventura.es.html?aid=2410095,"Villa Buenaventura está a 16 km de Catarata La Fortuna y ofrece jardín y terraza, además de alojamiento con balcón y wifi gratis.

El alojamiento dispone de zona de cocina totalmente equipada con nevera y cafetera, TV de pantalla plana y baño privado con ducha. Las unidades cuentan con patio con vistas al jardín.

Aguas termales de Kalambu está a 18 km del alojamiento, y Parque Mistico Arenal Hanging Bridges está a 33 km. El aeropuerto (Aeropuerto de Fortuna) está a 11 km.","Ropa de cama, Papel higiénico, Vistas al jardín, Baño privado, Cámaras de seguridad fuera del alojamiento, Utensilios de planchado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Patio, TV de pantalla plana, Zona de cocina, Libros, DVD o música para niños, Toallas, Plancha para ropa, Hervidor eléctrico, Zona de fumadores, Nevera, Utensilios de cocina, Ducha, Terraza, Jardín, Cafetera, Mobiliario exterior, Mesa de comedor, Microondas, WiFi gratis, Tendedero, Apartamento privado en edificio, Ventilador, Perchero, Productos de limpieza, Terraza / solárium, TV, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579726604.jpg?k=be9bb65efc912dad1a004838a65b579df5f14a751559ad24ddfcbb73736f6208&o=&hp=1,San Ramón,Costa Rica
Bungalows Yakari Grei,https://www.booking.com/hotel/cr/bungalows-yakari-grei-san-ramon.es.html?aid=2410095,"Bungalows Yakari Grei está en San Ramón, en la región de Alajuela, a 15 km de Catarata La Fortuna. Ofrece alojamiento con wifi gratis, zona de barbacoa, jardín y parking privado gratis. El alojamiento dispone de bañera de hidromasaje y aire acondicionado.

El lodge ofrece terraza, vistas a la montaña, zona de estar, TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y lavavajillas, y baño privado con bañera de hidromasaje. También hay horno y cafetera.

Bungalows Yakari Grei ofrece bañera de hidromasaje.

Aguas termales de Kalambu está a 17 km del alojamiento, y Parque Mistico Arenal Hanging Bridges está a 33 km. El aeropuerto (Aeropuerto de Fortuna) está a 10 km.","WC con barras de apoyo, Vistas a la montaña, Accesible para personas sordas, Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Vistas al jardín, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Vistas a un patio interior, Adaptado para sillas de ruedas, Patio, Desayuno en la habitación, TV de pantalla plana, Lavavajillas, Canales por cable, Zona de cocina, Vistas, Toda la unidad en la planta baja, Toallas, Bañera o ducha, Servicio de traslado, Barbacoa, Entrada privada, Zona de fumadores, Nevera, Bañera, Enchufe cerca de la cama, Terraza, Utensilios de cocina, Jardín, Escritorio, Mobiliario exterior, Cafetera, Llave de acceso, Prohibido fumar en todo el alojamiento, Mesa de comedor, Horno, Bañera de hidromasaje, Servicio de limpieza diario, Información turística, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Cocina, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Canales vía satélite, Toallas / sábanas (por un suplemento), Productos de limpieza, Zona de estar, Tetera / cafetera, TV, Inglés, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447860236.jpg?k=418de0330c7ed9ffd6cb6a9819a6d7bff63c49618550648b7d007458eb83d447&o=&hp=1,San Ramón,Costa Rica
Campana lodge,https://www.booking.com/hotel/cr/campana-lodge.es.html?aid=2410095,"Campana lodge está en San Ramón y ofrece vistas al río y jardín.

Hay una terraza von vistas a la montaña, cocina totalmente equipada y baño privado con ducha en el alojamiento.

Catarata Tesoro Escondido está a 43 km del alojamiento, y Parque Marino del Pacifico está a 48 km. El aeropuerto más cercano (Aeropuerto internacional Juan Santamaría) está a 53 km.","Vistas a la montaña, Barandillas de seguridad para bebés, Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Vistas al río, Aseo adicional, Habitaciones sin humo, Suelo de baldosa / mármol, Vistas a un patio interior, Juegos de mesa / puzles, Patio, Sofá cama, Vistas, Toallas, Bañera o ducha, WC, Barbacoa, Hipoalergénico, Entrada privada, Sofá, Terraza, Ducha, Artículos de aseo gratis, Utensilios de cocina, Suelo de madera o parquet, Zapatillas, Zona de comedor, Jardín, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Mosquitera, Mesa de comedor, Cocina, Tendedero, Productos de limpieza, Zona de estar, Tetera / cafetera, Habitaciones familiares, Inglés, Muebles de exterior, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582858647.jpg?k=da1c8cf187c8e48ab58081e218b0bf38454590b589b694a4b5f9abea62dff7e1&o=&hp=1,San Ramón,Costa Rica
