hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
schaus Lüftenegger - Apart-Zirbenpension,US$176,"9,2",Fantástico,329,https://cf.bstatic.com/xdata/images/hotel/max1024x768/90231261.webp?k=89f94f849007423bc248ae32da8024fe674afab4f496f15b8dceab03e5588393&o=,https://www.booking.com/hotel/at/pension-luftenegger.es.html?aid=2410095,"Sauna, Cafetería en el alojamiento, Zona TV / salón de uso compartido, Bar, Juegos de mesa / puzles, Servicio de limpieza diario, Papel higiénico, Hipoalergénico, Servicio de traslado, Supermercado pequeño en el alojamiento, Servicio de planchado, Senderismo, Pista de tenis, Información turística, Fax / fotocopiadora, Vistas a la montaña, Chimenea exterior, Albornoz, Armario, Libros, DVD o música para niños, Habitaciones sin humo, Tours en bici, Servicio de lavandería, Registro de entrada / salida privado, Baño privado, Ciclismo, Extintores, Alemán, Boles para mascotas, Peluquería / salón de belleza, Habitaciones hipoalergénicas, Húngaro, Servicio de habitaciones, Parking gratis, Detectores de humo, Terraza / solárium, Inglés, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Almuerzos para llevar, Vino / champán, Habitaciones familiares, Ropa de cama, Instalaciones de spa, Mobiliario exterior, Guardaesquíes, Zona de pícnic, Prohibido fumar en todo el alojamiento, Equitación, Artículos de aseo gratis, Vistas, Acceso a pisos superiores solo mediante escaleras, Jardín, Desayuno fantástico, Toallas, TV, WC, Escritorio, Radio, Terraza, Salas de reuniones / banquetes, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Barbacoa, Vistas al jardín, Caja fuerte, Ducha, Suelo de madera o parquet, Llave de acceso, Esquí, Servicio de entrega de comestibles, Parking en la calle, Menús para dietas especiales (bajo petición), Canales por cable, Campo de golf (a menos de 3 km), Tours a pie, Proporciona factura, Calefacción, Tiro con arco, Zona de fumadores, WiFi gratis, Desayuno en la habitación, Máquina expendedora (bebidas)",Sankt Peter,Austria,"Esta pensión de 3 estrellas con un establecimiento principal se encuentra en Mauterndorf, en la región de Lungau. El schaus Lüftenegger - Apart-Zirbenpension está rodeado de montañas y ofrece habitaciones con muebles de madera, TV por cable y conexión WiFi gratuita.

El Lüftenegger ofrece una zona de salón con vistas al castillo de Mauterndorf y un gran jardín.

Por las mañanas se sirve un desayuno buffet abundante que incluye pan y mermeladas caseras. Todas las semanas se sirve un desayuno especial con productos ecológicos y regionales de agricultores locales. El Biospährenpark Salzburg Lungau se ofrece.

Se pueden alquilar bicicletas eléctricas en el establecimiento.

Hay un autobús de esquí disponible (gratuito en caso de tener el forfait Lungo), que le llevará a las pistas de esquí y a la localidad de Tamsweg. Los huéspedes reciben un descuento del 10% en el alquiler de material de esquí local.

Como miembro del Abenteuer Biosphäre Lungau, la Lüftenegger Pension ofrece diversas actividades gratuitas para los huéspedes. En verano, los huéspedes podrán disfrutar de caminatas guiadas, excursiones en bicicleta y bicicleta de montaña y tiro con arco. En invierno, se ofrecen excursiones con raquetas de nieve y clases en bicicleta de nieve y esquí de fondo."
Stoagas Waidblick,US$223,"9,3",Fantástico,690,https://cf.bstatic.com/xdata/images/hotel/max1024x768/371294242.webp?k=c5d9ac91a03bcc570c374b3f868d853a8a7bcaa50db0c13328fed6f01c1f60c0&o=,https://www.booking.com/hotel/at/stoagas-waidblick.es.html?aid=2410095,"Radio, Sauna, Taquillas, Terraza, Restaurante, Alarma de seguridad, Enchufe cerca de la cama, Bar, Registro de entrada / salida privado, Secador de pelo, Baño privado, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Minigolf, Vistas al jardín, Hipoalergénico, Caja fuerte, Ducha, Protector de enchufes para niños, Bañera o ducha, Habitaciones familiares, Caja fuerte para ordenador portátil, Alemán, Ropa de cama, Suelo de madera o parquet, Mobiliario exterior, Guardaesquíes, Zona de pícnic, Senderismo, Esquí, Prohibido fumar en todo el alojamiento, Suelo de baldosa / mármol, Insonorización, Canales por cable, Campo de golf (a menos de 3 km), Calefacción, Artículos de aseo gratis, Tetera / cafetera, Vistas, Vistas a la montaña, Zona de fumadores, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Jardín, Parking gratis, Habitaciones sin humo, Desayuno fantástico, Estación de carga de vehículos eléctricos, Toallas, TV, Cámaras de seguridad fuera del alojamiento, WC, Pesca, Detectores de humo, Parking adaptado para personas de movilidad reducida",Sankt Peter,Austria,"Stoagas Waidblick está en Sankt Michael im Lungau y cuenta con vistas a la montaña, jardín, terraza, restaurante y bar. En el apartahotel, tanto el wifi como el parking privado son gratis.

Stoagas Waidblick ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y horno.

Se puede practicar senderismo, esquí y ciclismo en la zona, y el alojamiento ofrece guardaesquíes.

Museo Romano Teurnia está a 43 km del alojamiento, y Mauterndorf Castle está a 10 km. El aeropuerto más cercano (Aeropuerto de Salzburgo - W. A. Mozart) está a 110 km del alojamiento."
Tini´s Feinstes,US$209,"9,6",Excepcional,136,https://cf.bstatic.com/xdata/images/hotel/max1024x768/259279076.webp?k=f3d0861275ad4904731bc9dfde121f4d6bf445daa0ace852488d7514a51dcd82&o=,https://www.booking.com/hotel/at/tinis-feinstes.es.html?aid=2410095,"Fogones, Sauna, Inglés, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Lavavajillas, Secador de pelo, Baño privado, Juegos de mesa / puzles, Trona, Instalaciones para deportes acuáticos en el alojamiento, TV de pantalla plana, Secadora de ropa, Cocina, Papel higiénico, Extintores, Tostadora, Registro de entrada y salida exprés, Vistas a la ciudad, Ducha, Bañera o ducha, Perchero, Escuela de esquí, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Suelo de madera o parquet, Mobiliario exterior, Guardaesquíes, Productos de limpieza, Senderismo, Llave de acceso, Cafetera, Microondas, Servicio de entrega de comestibles, Esquí, Pista de tenis, Mesa de comedor, Nevera, Suelo de baldosa / mármol, Lavadora, Prohibido fumar en todo el alojamiento, Zona de comedor, Insonorización, Equitación, Campo de golf (a menos de 3 km), Pesca, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Tetera / cafetera, Zona de comedor exterior, Servicio de streaming (como Netflix), Vistas a la montaña, Zona de fumadores, WiFi gratis, Armario, Albornoz, Jardín, Parking gratis, Habitaciones sin humo, Toallas, TV, Sofá, Bañera de hidromasaje / jacuzzi, Detectores de humo, WC, Sofá cama, Independiente, Zona de estar",Sankt Peter,Austria,"Tini´s Feinstes está en Mariapfarr, a 6,9 km de Mauterndorf Castle, y ofrece alojamiento con wifi gratis, vistas a la montaña, un jardín y acceso a la sauna y a la bañera de hidromasaje.

Las unidades tienen vistas a la ciudad y cuentan con zona de estar, lavadora, cocina totalmente equipada con nevera, y baño privado con artículos de aseo gratuitos y secador de pelo. También hay lavavajillas, horno y microondas, además de cafetera y hervidor.

Se puede practicar senderismo y esquí en la zona, y el apartamento ofrece guardaesquíes.

El aeropuerto más cercano (Aeropuerto de Salzburgo - W. A. Mozart) está a 116 km."
Arcana,US$159,"9,2",Fantástico,111,https://cf.bstatic.com/xdata/images/hotel/max1024x768/305325023.webp?k=ff66ba087799d60c584b7842a43982eb01152b9a2b213de87662844e82767cb1&o=,https://www.booking.com/hotel/at/arcana.es.html?aid=2410095,"Fogones, Tumbonas/sillas de playa, Papel higiénico, Wifi buena gratis (30 Mbps), Piragüismo, Senderismo, Pista de tenis, Francés, Mesa de comedor, Vistas a la montaña, Armario, Habitaciones sin humo, Sofá, Parque acuático, Parking adaptado para personas de movilidad reducida, Spa y centro de bienestar, Utensilios de cocina, Registro de entrada / salida privado, Ciclismo, Extintores, Registro de entrada y salida exprés, Bañera o ducha, Alemán, Cafetera, Submarinismo, Nevera, Windsurf, Zona de comedor, Insonorización, Entrada privada, Parking gratis, Detectores de humo, Sofá cama, Bañera, Inglés, Sombrillas, Horno, Enchufe cerca de la cama, Guardaequipaje, Lavavajillas, Secador de pelo, Trona, Cocina, Minigolf, Escuela de esquí, Habitaciones familiares, Ropa de cama, Mobiliario exterior, Guardaesquíes, Baños públicos, Prohibido fumar en todo el alojamiento, Equitación, Baño al aire libre, Hervidor eléctrico, Tetera / cafetera, Zona de comedor exterior, Vistas, Acceso a pisos superiores solo mediante escaleras, Jardín, Toallas, TV, Tendedero, WC, Escritorio, Zona de estar, Radio, Terraza, Canales vía satélite, TV de pantalla plana, Utensilios de planchado, Tostadora, Barbacoa, Vistas al jardín, Ducha, Perchero, Patio, Suelo de madera o parquet, Productos de limpieza, Llave de acceso, Esquí, Microondas, Suelo de baldosa / mármol, Campo de golf (a menos de 3 km), Proporciona factura, Calefacción, Plancha para ropa, Servicio de streaming (como Netflix), Estación de carga de vehículos eléctricos, Pesca",Sankt Peter,Austria,"El Arcana ofrece alojamiento en Seeboden, muy cerca de los remontes y del lago Millstatt. Hay WiFi gratuita y aparcamiento privado gratuito.

Alojamiento moderno de lujo con calefacción por suelo radiante, ducha y bañera. Todos los alojamientos de la casa están equipados con lavavajillas, horno, cafetera, microondas y hervidor de agua.

También incluyen patio con vistas a la montaña. Hay un jardín en el establecimiento y los huéspedes pueden practicar esquí en las inmediaciones.

El aeropuerto más cercano es el de Klagenfurt, ubicado a 66 km."
Feriendorf Edelweiss,US$352,"9,3",Fantástico,345,https://cf.bstatic.com/xdata/images/hotel/max1024x768/263896344.webp?k=b18e59a91eae39e8473a9e6575942de0d35ed97b937e109c7aba14355caf24d3&o=,https://www.booking.com/hotel/at/feriendorf-edelweiss.es.html?aid=2410095,"Fogones, Sauna, Masaje de manos, Juegos de mesa / puzles, Tumbonas/sillas de playa, Zona de juegos interior, Hipoalergénico, Masajes, Servicio de traslado, Italiano, Senderismo, Mesa de comedor, Armario, Habitaciones sin humo, Parking adaptado para personas de movilidad reducida, Habitaciones insonorizadas, Utensilios de cocina, Zona de cocina, Baño privado, Ciclismo, Extintores, Adaptado personas de movilidad reducida, Masaje de cuello, Desayuno, Alemán, Boles para mascotas, Cafetera, Habitaciones hipoalergénicas, Sala de juegos, Nevera, Zona de comedor, Insonorización, Parking gratis, Sofá cama, Inglés, Zona de spa / relajación, Masaje corporal completo, Zona de juegos para niños, Sombrillas, Horno, Enchufe cerca de la cama, Guardaequipaje, Lavavajillas, Secador de pelo, Trona, Vino / champán, Almuerzos para llevar, Cocina, Masaje de cabeza, Paquetes de spa / bienestar, Habitaciones familiares, Escuela de esquí, Ropa de cama, Instalaciones de spa, Mobiliario exterior, Guardaesquíes, Prohibido fumar en todo el alojamiento, Masaje de pies, Hervidor eléctrico, Vistas, Acceso a pisos superiores solo mediante escaleras, Jardín, Toallas, TV, Tendedero, WC, Zona de estar, Terraza, Masaje de espalda, Equipamiento de juegos para exterior, Salas de reuniones / banquetes, TV de pantalla plana, Adaptado para sillas de ruedas, Tostadora, Ducha, Perchero, Suelo de madera o parquet, Productos de limpieza, Llave de acceso, Esquí, Suelo de baldosa / mármol, Canales por cable, Proporciona factura, Calefacción, WiFi gratis, Estación de carga de vehículos eléctricos, Máquina expendedora (bebidas)",Sankt Peter,Austria,"El Feriendorf Edelweiss se encuentra en Mariapfarr y ofrece conexión WiFi gratuita y alojamientos con cocina, zona de estar y TV.

Todos los alojamientos están equipados con lavavajillas, horno, cafetera, tostadora y hervidor de agua. Algunos alojamientos tienen terraza y/o balcón.

En las inmediaciones se puede practicar esquí.

La estación de esquí de Fanningberg se encuentra a 2,5 km."
Ferienwohnung Lieserhaus,US$100,"9,5",Excepcional,207,https://cf.bstatic.com/xdata/images/hotel/max1024x768/50344985.webp?k=f2c1ef1afd9fe30d83afa9d660bed2f8ff77cbe993118eac65898e0056d4df31&o=,https://www.booking.com/hotel/at/fewo-lieserhaus.es.html?aid=2410095,"Fogones, Alarma de seguridad, Papel higiénico, Hipoalergénico, Supermercado pequeño en el alojamiento, Senderismo, Pista de tenis, Fax / fotocopiadora, Vistas a la montaña, Armario, Habitaciones sin humo, Reloj despertador, Sofá, Utensilios de cocina, Zona de cocina, Baño privado, Ciclismo, Extintores, Registro de entrada y salida exprés, Bañera o ducha, Balcón, Alemán, Peluquería / salón de belleza, Cafetera, Nevera, Zona de comedor, Insonorización, Entrada privada, Parking gratis, Detectores de humo, Bolos, Terraza / solárium, Inglés, Zona de juegos para niños, Servicio de aparcacoches, Horno, Enchufe cerca de la cama, Toallas / sábanas (por un suplemento), Lavavajillas, Secador de pelo, Apartamento privado en edificio, Cocina, Minigolf, Suelo de moqueta, Habitaciones familiares, Ropa de cama, Mobiliario exterior, Guardaesquíes, Zona de pícnic, Cajero automático en el hotel, Prohibido fumar en todo el alojamiento, Equitación, Vistas al río, Hervidor eléctrico, Vistas, Jardín, Toallas, TV, Tendedero, WC, Independiente, Escritorio, Zona de estar, Terraza, Canales vía satélite, TV de pantalla plana, Barbacoa, Vistas al jardín, Ducha, Perchero, Patio, Suelo de madera o parquet, Productos de limpieza, Esquí, Microondas, Parking en la calle, Capilla, Canales por cable, Proporciona factura, Calefacción, WiFi gratis, Pesca",Sankt Peter,Austria,"El Ferienwohnung Lieserhaus alberga un jardín bien cuidado con zona de barbacoa en una zona tranquila a 3 minutos en coche del centro de Rennweg. Sus unidades de alojamiento tienen conexión Wi-Fi gratuita y aparcamiento privado gratuito.

Los apartamentos del Lieserhaus Ferienwohnung cuentan con vistas a los alrededores y el jardín e incluyen TV de pantalla plana vía satélite, balcón, terraza y una zona de cocina con todos los utensilios necesarios. También incluyen balcón o terraza con vistas al pintoresco jardín y a los alrededores. Se proporcionan toallas y ropa de cama de forma gratuita.

El Lieserhaus se encuentra a unos 5 minutos a pie de una pista de tenis, una piscina pública al aire libre y una zona para jugar a voley playa. También encontrará rutas de senderismo en el parque nacional de Nockberge, situado muy cerca.

La zona de esquí de Katschberg está a 5 km. Además, el autobús de esquí gratuito para justo frente al establecimiento."
Hotel Restaurant Platzer,US$63,"8,7",Fabuloso,587,https://cf.bstatic.com/xdata/images/hotel/max1024x768/40148459.webp?k=d02be2ed36cb11a04feed2466cf923a55ec8a6e34a03044c6b949cb962700577&o=,https://www.booking.com/hotel/at/familienhotel-platzer.es.html?aid=2410095,"Sauna, Cafetería en el alojamiento, Zona TV / salón de uso compartido, Centro de negocios, Masaje de manos, Bar, Juegos de mesa / puzles, Servicio de limpieza diario, Cenas temáticas, Papel higiénico, Zona de juegos interior, Hipoalergénico, Ping pong, Servicio de traslado, Masajes, Supermercado pequeño en el alojamiento, Servicios de belleza, Italiano, Senderismo, Pista de tenis, Información turística, Eventos deportivos en directo (emisión), Fax / fotocopiadora, Vistas a la montaña, Armario, Libros, DVD o música para niños, Habitaciones sin humo, Reloj despertador, Tours en bici, Restaurante, Servicio de lavandería, Menú para niños, Spa y centro de bienestar, Baño privado, 2 restaurantes, Ciclismo, Extintores, Snack-bar, Bañera o ducha, Alemán, Boles para mascotas, Habitaciones hipoalergénicas, Sala de juegos, Traslado aeropuerto, Servicio de habitaciones, Parking gratis, Terraza / solárium, Venta de forfaits, Servicio de despertador, Inglés, Zona de spa / relajación, Masaje corporal completo, Zona de juegos para niños, Sombrillas, Enchufe cerca de la cama, Guardaequipaje, Secador de pelo, Tour o clase sobre cultura local, Vino / champán, Almuerzos para llevar, Fruta, Minigolf, Protector de enchufes para niños, Alquiler de equipamiento de esquí en el alojamiento, Escuela de esquí, Habitaciones familiares, Paquetes de spa / bienestar, Ropa de cama, Instalaciones de spa, Mobiliario exterior, Guardaesquíes, Zona de pícnic, Música / espectáculos en directo, Cajero automático en el hotel, Prohibido fumar en todo el alojamiento, Masaje de pies, Equitación, Artículos de aseo gratis, Zona de comedor exterior, Acceso a pisos superiores solo mediante escaleras, Jardín, Desayuno fantástico, Toallas, TV, WC, Escritorio, Radio, Terraza, Teléfono, Masaje de espalda, Equipamiento de juegos para exterior, Salas de reuniones / banquetes, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Barbacoa, Caja fuerte, Ducha, Taquillas en el gimnasio / spa, Suelo de madera o parquet, Alquiler de coches, Llave de acceso, Esquí, Servicio de entrega de comestibles, Parking en la calle, Menús para dietas especiales (bajo petición), Tours a pie, Calefacción, Zona de fumadores, WiFi gratis, Galerías de arte temporales, Pesca",Sankt Peter,Austria,"El Hotel Platzer, de 3 estrellas, goza de una ubicación tranquila a la entrada del centro histórico medieval de Gmünd, en Carintia. Cuenta con sala de juegos para niños, parque infantil y zona de spa.

Las luminosas habitaciones del Platzer presentan una decoración tradicional y disponen de TV vía satélite y baño con secador de pelo. Algunas también tienen balcón.

El restaurante sirve cocina carintia e internacional, así como comidas especiales para niños. Cuenta con bar y zona de comedor al aire libre. En el vestíbulo hay un terminal con conexión gratuita a internet.

Las estaciones de esquí de Katschberg e Innerkrems están a 20 km y se puede llegar a ellas en un autobús gratuito. El Platzer Hotel ofrece servicio de alquiler de esquíes y guardaesquíes con secador de botas de esquí.

 El Hotel Platzer está a solo 15 km del lago Millstatt y organiza excursiones guiadas.

El Hotel Platzer ofrece aparcamiento privado gratuito. La autopista A10 está a menos de 1 km."
Mühlbacherhof,US$148,"9,2",Fantástico,558,https://cf.bstatic.com/xdata/images/hotel/max1024x768/282776771.webp?k=b5ea4903b4149f38f570472ceeed790edcaef0958777c538e53d68ec91ebf799&o=,https://www.booking.com/hotel/at/pension-ma1-4hlbacherhof.es.html?aid=2410095,"Inglés, Terraza, Servicio de aparcacoches, Habitaciones insonorizadas, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Bar, Registro de entrada / salida privado, Guardaequipaje, Secador de pelo, Baño privado, Billar, Canales vía satélite, TV de pantalla plana, Ciclismo, Papel higiénico, Extintores, Ascensor, Hipoalergénico, Ping pong, Ducha, Habitaciones familiares, Alemán, Servicio de traslado, Guardaesquíes, Suelo de madera o parquet, Senderismo, Esquí, Pista de tenis, Información turística, Sala de juegos, Prohibido fumar en todo el alojamiento, Insonorización, Equitación, Traslado aeropuerto, Proporciona factura, Calefacción, Acceso a pisos superiores en ascensor, Vistas, Vistas a la montaña, Zona de fumadores, WiFi gratis, Armario, Jardín, Parking gratis, Habitaciones sin humo, Desayuno fantástico, Toallas, TV, Estación de carga de vehículos eléctricos, Detectores de humo, WC, Parking adaptado para personas de movilidad reducida, Zona de estar",Sankt Peter,Austria,"La Pension Mühlbacherhof está situada junto a la parada del autobús de esquí que va a la estación de esquí de Rennweg am Katschberg, en Mühlbach, a 1 km de la autopista A10 Tauernautobahn.

Ofrece habitaciones y apartamentos con baño privado y conexión Wi-Fi gratuita.

Todas las habitaciones y apartamentos ofrecen vistas a la montaña y los apartamentos cuentan con cocina totalmente equipada.

Todas las mañanas se sirve un desayuno. El establecimiento se reformó por completo en 2018 y cuenta con mesas de billar y de ping pong y futbolín. También hay una gran zona de césped para tomar el sol.

A 500 metros del Mühlbacherhof hay una piscina al aire libre, una pista de tenis y un campo de minigolf.

En invierno, los huéspedes pueden utilizar el autobús de esquí de forma gratuita. Hay una parada de autobús enfrente de la Pension Mühlbacherhof."
Pension Waldhauser,US$119,"8,6",Fabuloso,72,https://cf.bstatic.com/xdata/images/hotel/max1024x768/241093666.webp?k=ee9badd3a1939e3a2b384d00d9dea4b4a40701527adfbbbf05c74c9647974347&o=,https://www.booking.com/hotel/at/pensioin-waldhauser.es.html?aid=2410095,"Radio, Inglés, Terraza, Zona de juegos para niños, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Juegos de mesa / puzles, Baño privado, Almuerzos para llevar, Vino / champán, Canales vía satélite, TV de pantalla plana, Ciclismo, Papel higiénico, Barbacoa, Vistas al jardín, Caja fuerte, Escuela de esquí, Habitaciones familiares, Balcón, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Mobiliario exterior, Suelo de madera o parquet, Zona de pícnic, Senderismo, Esquí, Prohibido fumar en todo el alojamiento, WC, Insonorización, Menús para dietas especiales (bajo petición), Proporciona factura, Calefacción, Servicio de habitaciones, Vistas, Vistas a la montaña, Chimenea exterior, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Jardín, Parking gratis, Habitaciones sin humo, Toallas, Terraza / solárium, Muy buen desayuno",Sankt Peter,Austria,"La Pension Waldhauser se encuentra en un entorno tranquilo en Abzwerg, a 30 minutos de la estación de esquí Aineck-Katschberg, mediante el autobús de esquí que para a 250 metros. Se sirve desayuno tradicional y cena con productos cosechados en el establecimiento.

Las habitaciones cuentan con decoración de estilo alpino y ventanas grandes.

La Pension Waldhauser ofrece aparcamiento privado gratuito, conexión WiFi gratuita en todo el establecimiento, secador de botas de esquí y almuerzos para llevar.

También hay jardín, parque infantil, terraza y zona de barbacoa.

La reserva natural de Pölltal se encuentra cerca de la pista de esquí de fondo y el carril bici de Pölltaler Radweg. La estación de esquí de Rennweg se encuentra a 15 minutos en coche."
DIE AUSZEIT,US$53,"9,0",Fantástico,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/518220889.webp?k=e2185220ac320f3b1c92460d818b8df9272c00b8af243c69455eda1f282b5dd9&o=,https://www.booking.com/hotel/at/die-auszeit.es.html?aid=2410095,"Chimenea, Radio, Fogones, Inglés, Terraza, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Registro de entrada / salida privado, Guardaequipaje, Lavavajillas, Secador de pelo, Baño privado, Juegos de mesa / puzles, Tour o clase sobre cultura local, Canales vía satélite, TV de pantalla plana, Apartamento privado en edificio, Cocina, Ciclismo, Papel higiénico, Extintores, Vistas al jardín, Ducha, Bañera o ducha, Balcón, Alemán, Ropa de cama, Mobiliario exterior, Guardaesquíes, Detector de monóxido de carbono, Productos de limpieza, Zona de pícnic, Senderismo, Llave de acceso, Cafetera, Esquí, Mesa de comedor, Nevera, Suelo de baldosa / mármol, Prohibido fumar en todo el alojamiento, Zona de comedor, Tours a pie, Calefacción, Hervidor eléctrico, Entrada privada, Zona de comedor exterior, Vistas, Vistas a la montaña, Zona de fumadores, Armario, Acceso a pisos superiores solo mediante escaleras, Jardín, Libros, DVD o música para niños, Parking gratis, Habitaciones sin humo, Toallas, TV, Sofá, Detectores de humo, WC, Sofá cama, Vistas a un patio interior, Zona de estar",Sankt Peter,Austria,"DIE AUSZEIT es un alojamiento con jardín y terraza que se encuentra en Oberkremsberg, a 29 km de Museo Romano Teurnia, a 29 km de Porcia Castle y a 33 km de Mauterndorf Castle. El apartamento, que cuenta con parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, esquí y ciclismo.

El apartamento cuenta con balcón y vistas a la montaña, y dispone de 1 dormitorio, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Hay guardaesquíes en el propio alojamiento.

Millstatt Abbey está a 33 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Klagenfurt) está a 107 km del alojamiento."
