hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
"Hotel Restaurant Böck ""Roter Hahn""",US$67,"8,4",Muy bien,521,https://cf.bstatic.com/xdata/images/hotel/max1024x768/88409798.webp?k=979ea75107ed4b5345129b99b2701a6b1bb749643e5fe325690d4471c986faa3&o=,https://www.booking.com/hotel/at/restaurant-boeck-roter-hahn.es.html?aid=2410095,"Sauna, Inglés, Zona de spa / relajación, Restaurante, Servicio de lavandería, Alarma de seguridad, Menú para niños, Enchufe cerca de la cama, Bar, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Almuerzos para llevar, TV de pantalla plana, Papel higiénico, Extintores, Suelo de moqueta, Ducha, Bañera o ducha, Habitaciones familiares, Alemán, Masajes, Ropa de cama, Servicio de planchado, Instalaciones de spa, Senderismo, Llave de acceso, Nevera, Menús para dietas especiales (bajo petición), Canales por cable, Campo de golf (a menos de 3 km), Calefacción, Fax / fotocopiadora, Zona de fumadores, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Jardín, Parking gratis, Habitaciones sin humo, Desayuno fantástico, Toallas, TV, Detectores de humo, WC, Escritorio, Parking adaptado para personas de movilidad reducida",Sankt Polten,Austria,"El Hotel Restaurant Böck ""Roter Hahn"", situado a las afueras de Sankt Pölten, ofrece habitaciones con canales por cable y un restaurante que sirve cocina regional y vinos de calidad (cerrado los viernes y Sundaysm, el hotel está abierto). Hay WiFi gratuita en todas las instalaciones.

Todas las habitaciones cuentan con baño con bañera o ducha y secador de pelo. Algunas habitaciones tienen balcón o minibar. El Hotel ""Roter Hahn"" sirve un desayuno abundante todos los días.

Los huéspedes podrán relajarse en el jardín del hotel y disfrutar de bebidas refrescantes en el bar por la noche.

Hay piscinas públicas cubiertas y al aire libre a 5 minutos en coche y 2 lagos aptos para el baño a 15 minutos en coche.

En el Hotel Restaurant Böck ""Roter Hahn"" hay una parada de autobús y aparcamiento gratuito. La autopista A1 está a 5 minutos en coche.

El campo de golf Golf Goldegg, de 18 hoyos, está a 1 km y es gratuito para los huéspedes del hotel."
Hotel Metropol,US$124,"8,2",Muy bien,1.013,https://cf.bstatic.com/xdata/images/hotel/max1024x768/297453017.webp?k=8e3c08de51c5cf1f36c70cbbaa53a2252104dcc6c444b4b47f52f30b36f88790&o=,https://www.booking.com/hotel/at/hotelmetropol.es.html?aid=2410095,"Bañera, Radio, Parking en el alojamiento, Escritorio, Cafetería en el alojamiento, Parking en un garaje, Inglés, Teléfono, Servicio de lavandería, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Almuerzos para llevar, Vino / champán, Canales vía satélite, Salas de reuniones / banquetes, TV de pantalla plana, Papel higiénico, Buffet para niños, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Snack-bar, Hipoalergénico, Caja fuerte, Suelo de moqueta, Vistas a la ciudad, Ducha, Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Servicio de planchado, Llave de acceso, Servicio de despertador, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Menús para dietas especiales (bajo petición), Habitaciones comunicadas disponibles, Calefacción, Artículos de aseo gratis, Minibar, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Servicio de habitaciones, WiFi gratis, Toallas, Habitaciones sin humo, TV, Desayuno en la habitación, Detectores de humo, WC, Vistas a un patio interior, Muy buen desayuno, Parking adaptado para personas de movilidad reducida, Zona de estar",Sankt Polten,Austria,"Este hotel moderno de 4 estrellas está situado en una zona céntrica y tranquila del centro histórico de Sankt Pölten, junto al acceso a la zona peatonal y a solo 5 minutos a pie del distrito de los órganos de gobierno. Ofrece WiFi gratuita.

Se facilita aparcamiento en garaje por un suplemento.

Todos los lugares de interés de la ciudad, así como la estación de tren y un centro comercial, se encuentran en las inmediaciones del Metropol."
Bildungshaus St. Hippolyt,US$91,"7,9",Bien,102,https://cf.bstatic.com/xdata/images/hotel/max1024x768/96869766.webp?k=d61aa59f2a03d69de88c3a7379ba6eda137b77d04da2968b8af1625d506ee02d&o=,https://www.booking.com/hotel/at/bildungshaus-st-hippolyt.es.html?aid=2410095,"Inglés, Terraza, Parking en un garaje, Parking privado, Zona TV / salón de uso compartido, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Almuerzos para llevar, WC con barras de apoyo, Adaptado para sillas de ruedas, Ciclismo, Papel higiénico, Extintores, Ascensor, Adaptado personas de movilidad reducida, Ping pong, Ducha, Bañera o ducha, Alemán, Mobiliario exterior, Cuerda de emergencia en el baño, Llave de acceso, Información turística, Prohibido fumar en todo el alojamiento, WC, Capilla, Menús para dietas especiales (bajo petición), Calefacción, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Buen desayuno, Zona de fumadores, WiFi gratis, Armario, Jardín, Toallas, Habitaciones sin humo, Estación de carga de vehículos eléctricos, Detectores de humo, Terraza / solárium, Escritorio, Parking adaptado para personas de movilidad reducida",Sankt Polten,Austria,"El Bildungshaus St. Hippolyt ofrece alojamiento en Sankt Pölten. El establecimiento alberga un bar. Hay aparcamiento privado.

El baño es privado. El Bildungshaus St. Hippolyt proporciona WiFi gratuita. La habitación no dispone de TV.

El establecimiento alberga un salón compartido.

También hay mesa de ping pong. El Bildungshaus St. Hippolyt se encuentra a 3,2 km de la calle VAZ St. Pölten y a 2,3 km de la Universidad de Nuevo Diseño. El aeropuerto internacional de Viena es el más cercano y queda a 70 km."
Das Alfred,US$80,"9,2",Fantástico,2.917,https://cf.bstatic.com/xdata/images/hotel/max1024x768/148214581.webp?k=86fa8cb5c73adc980560d686a39c6981f74d7dc58385e44008fcdf241a141e72&o=,https://www.booking.com/hotel/at/das-alfred.es.html?aid=2410095,"Máquina expendedora (aperitivos), Cafetería en el alojamiento, Terraza, Inglés, Restaurante, Bar, Secador de pelo, Baño privado, Servicio de limpieza diario, Almuerzos para llevar, Desayuno fabuloso, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Aire acondicionado, WC con barras de apoyo, Adaptado para sillas de ruedas, Ciclismo, Papel higiénico, Buffet para niños, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Snack-bar, Adaptado personas de movilidad reducida, Suelo de moqueta, Ducha, Máquina expendedora (bebidas), Bañera o ducha, Habitaciones familiares, Perchero, Alemán, WC elevado, Ropa de cama, Supermercado pequeño en el alojamiento, Mobiliario exterior, Tarjeta de acceso, Cuerda de emergencia en el baño, Zona de pícnic, Habitaciones hipoalergénicas, Parking en la calle, Suelo de baldosa / mármol, Campo de golf (a menos de 3 km), Terraza / solárium, Artículos de aseo gratis, Calefacción, Acceso a pisos superiores en ascensor, WiFi gratis, Armario, Lavamanos más bajo, Parking gratis, Habitaciones sin humo, Toallas, TV, Estación de carga de vehículos eléctricos, Bolos, Cámaras de seguridad fuera del alojamiento, WC, Detectores de humo, Escritorio, Parking adaptado para personas de movilidad reducida",Sankt Polten,Austria,"Boasting a roof-top bar, a lounge bar on the top floor and views of the Ötscher and the Alpine foothills, Das Alfred offers accommodation in Sankt Pölten, 300 metres from VAZ St. Pölten and 3.1 km from St. Pölten Railway Station. The property features a restaurant and free WiFi.

A continental breakfast is served every morning at the property.

Guests can enjoy the sun set on the property's roof top terrace.

A bus (line LUP 7) stops right outside. The property is located within 800 metres of New Design University. Vienna International Airport is 70 km away.

Please note that the Lounge Bar is open: Monday, Tuesday and Wednesday from 16:00 to 23:00, Thursday, Friday and Saturday from 16:00 to 01:00. On Sundays and public holidays the Lounge Bar is closed."
Motel 267,US$80,"8,5",Muy bien,1.710,https://cf.bstatic.com/xdata/images/hotel/max1024x768/387168228.webp?k=b37832e4c86ae3026b0004494f271914b05a02bf393e38bab7103a9e456616c0&o=,https://www.booking.com/hotel/at/motel-267.es.html?aid=2410095,"Radio, Máquina expendedora (aperitivos), Inglés, Enchufe cerca de la cama, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Aire acondicionado, TV de pantalla plana, WC con barras de apoyo, Adaptado para sillas de ruedas, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Gimnasio, Hipoalergénico, Adaptado personas de movilidad reducida, Caja fuerte, Ducha, Máquina expendedora (bebidas), Bañera o ducha, Perchero, Alemán, Ropa de cama, Tarjeta de acceso, Cuerda de emergencia en el baño, Prohibido fumar en todo el alojamiento, Canales por cable, Guiado auditivo, Calefacción, Acceso a pisos superiores en ascensor, Buen desayuno, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, TV, Estación de carga de vehículos eléctricos, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Escritorio, Parking adaptado para personas de movilidad reducida",Sankt Polten,Austria,"Motel 267 se encuentra en Sankt Pölten, a 26 km de Abadía Melk y a 19 km de Monasterio de Herzogenburg. Ofrece alojamiento con centro de fitness y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento está a unos 41 km de Erzherzog Franz Ferdinand Museum, a 45 km de Centro de Exposiciones de Tulln y a 46 km de Dürnstein Castle. Este alojamiento hipoalergénico está a 22 km de Lilienfeld Abbey.

El motel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Motel 267, todas las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, continental o vegetariano.

El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 86 km del alojamiento."
Hotel-Gasthof Graf,US$98,"8,4",Muy bien,807,https://cf.bstatic.com/xdata/images/hotel/max1024x768/171598834.webp?k=4310df4e4a24c844d2764f7d59f99d3696844f6e92d107d3144ca7e6692f53c5&o=,https://www.booking.com/hotel/at/gasthof-graf.es.html?aid=2410095,"Máquina expendedora (aperitivos), Cafetería en el alojamiento, Terraza, Inglés, Restaurante, Menú para niños, Bar, Guardaequipaje, Servicio de limpieza diario, Vino / champán, Instalaciones para deportes acuáticos en el alojamiento, Fruta, Ciclismo, Cámaras de seguridad en las zonas comunitarias, Extintores, Ascensor, Registro de entrada y salida exprés, Caja fuerte, Alemán, Mobiliario exterior, Llave de acceso, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Proporciona factura, Calefacción, WiFi gratis, Parking gratis, Habitaciones sin humo, Detectores de humo, Máquina expendedora (bebidas), Muy buen desayuno",Sankt Polten,Austria,"El Hotel Graf se encuentra junto a la estación de trenes de Sankt Pölten, a 5 minutos a pie de la céntrica Domplatz y a 10 minutos de la zona institucional. La conexión Wi-Fi y el aparcamiento privado son gratuitos.

Todas las habitaciones del Hotel-Gasthof Graf cuentan con TV de pantalla plana con canales por cable y un baño privado con secador. Además, la conexión Wi-Fi gratuita está disponible en todo el edificio.

Este establecimiento alberga un restaurante de cocina típica austríaca que también elabora especialidades de temporada, así como un elegante bar salón con chimenea abierta que permite relajarse con una bebida."
Stadthotel Hauser Eck,US$64,"7,1",Bien,1.277,https://cf.bstatic.com/xdata/images/hotel/max1024x768/3996758.webp?k=2dad3c5136a217a823b19bffc8f362e9cd40e6472215b8fd07b4e9e829061921&o=,https://www.booking.com/hotel/at/stadthotel-hauser-eck.es.html?aid=2410095,"Snorkel, Máquina expendedora (aperitivos), Cafetería en el alojamiento, Inglés, Parking en un garaje, Alarma de seguridad, Zona TV / salón de uso compartido, Enchufe cerca de la cama, Baño privado, Servicio de limpieza diario, Vino / champán, TV de pantalla plana, Fruta, Ciclismo, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Registro de entrada y salida exprés, Snack-bar, Suelo de moqueta, Ducha, Máquina expendedora (bebidas), Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Senderismo, Llave de acceso, Submarinismo, Información turística, Suelo de baldosa / mármol, Windsurf, Canales por cable, Campo de golf (a menos de 3 km), Proporciona factura, Calefacción, Acceso a pisos superiores en ascensor, Buen desayuno, Zona de fumadores, Parking, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Detectores de humo, WC, Pesca, Escritorio, Servicio de despertador",Sankt Polten,Austria,"Este hotel está situado en el centro histórico barroco de St Pölten. Ofrece registro de entrada automático y habitaciones con acceso gratuito.

Las habitaciones del Stadthotel Hauser Eck disponen de TV, escritorio y baño privado con ducha.

A 5 minutos a pie hay varios restaurantes y cafeterías.

La catedral se encuentra a 600 metros del establecimiento y el Museo Estatal de Baja Austria está a 750 metros."
Cityhotel D&C St.Pölten,US$130,"8,3",Muy bien,726,https://cf.bstatic.com/xdata/images/hotel/max1024x768/8979061.webp?k=bbe1b73fd2519a71f4a18303843613137d5a2a6dddf0798f79729e8b85839ce8&o=,https://www.booking.com/hotel/at/cityhotel-d-c-st-polten.es.html?aid=2410095,"Radio, Parking en el alojamiento, Sauna, Inglés, Parking en un garaje, Restaurante, Teléfono, Servicio de lavandería, Alarma de seguridad, Recepción 24 horas, Servicio de despertador / alarma, Zona de spa / relajación, Enchufe cerca de la cama, Spa y centro de bienestar, Centro de negocios, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Almuerzos para llevar, Desayuno fabuloso, Alquiler de bicicletas, TV de pantalla plana, Papel higiénico, Extintores, Ascensor, Gimnasio, Snack-bar, Adaptado personas de movilidad reducida, Caja fuerte, Vistas a la ciudad, Ducha, Suelo de moqueta, Caja fuerte para ordenador portátil, Alemán, Masajes, Servicio de planchado, Instalaciones de spa, Tarjeta de acceso, Habitaciones hipoalergénicas, Servicio de limpieza en seco, Hammam, Prohibido fumar en todo el alojamiento, WC, Menús para dietas especiales (bajo petición), Canales por cable, Calefacción, Artículos de aseo gratis, Minibar, Fax / fotocopiadora, Servicio de habitaciones, WiFi gratis, Jardín, Habitaciones sin humo, TV, Desayuno en la habitación, Estación de carga de vehículos eléctricos, Detectores de humo, Baño de vapor, Terraza / solárium, Escritorio, Parking adaptado para personas de movilidad reducida",Sankt Polten,Austria,"Este moderno hotel de 4 estrellas se encuentra junto al centro histórico barroco de St.Pölten, a 2 minutos a pie de la estación de tren. Alberga un restaurante y una zona de spa. Hay conexión Wi-Fi gratuita en todas las instalaciones.

Todas las habitaciones del Cityhotel D&C disponen de TV por cable, minibar y baño amplio con secador de pelo, espejo de tocador y artículos de aseo de lujo.

La zona de spa y fitness se encuentra en la 5a planta y se puede utilizar de forma gratuita. Incluye sauna, baño de vapor, cabina de infrarrojos y gimnasio. También hay una sala de relajación y un solárium. Se ofrecen tratamientos de masaje y servicios de entrenador personal bajo petición.

El restaurante del Cityhotel D&C St.Pölten sirve cocina clásica austriaca y regional. Se ofrecen interpretaciones nuevas de platos austriacos elaborados con ingredientes regionales y de temporada. También hay un bar, un salón de vino y champán y un jardín en el patio. En el vestíbulo hay un terminal con conexión a internet gratuita.

El distrito gubernamental de la Baja Austria y el Distrito Cultural se encuentran a 15 minutos a pie del D&C Cityhotel."
Hotel MUSE,US$86,"7,8",Bien,2.379,https://cf.bstatic.com/xdata/images/hotel/max1024x768/111347485.webp?k=a45fa081abfd929136822573a469558384584b86a66bb4d6ee747cf63e7c564a&o=,https://www.booking.com/hotel/at/muse.es.html?aid=2410095,"Cafetería en el alojamiento, Inglés, Servicio de despertador / alarma, Teléfono, Enchufe cerca de la cama, Bar, Registro de entrada / salida privado, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Vino / champán, Canales vía satélite, Aire acondicionado, TV de pantalla plana, Fruta, Papel higiénico, Barbacoa, Ascensor, Caja fuerte, Suelo de moqueta, Ducha, Chino, Bañera o ducha, Habitaciones familiares, Alemán, Ropa de cama, Productos de limpieza, Calefacción, Hervidor eléctrico, WiFi gratis, Armario, Parking gratis, Habitaciones sin humo, Toallas, TV, Estación de carga de vehículos eléctricos, Tendedero, WC, Muy buen desayuno, Servicio de despertador, Ventilador",Sankt Polten,Austria,"Hotel MUSE se encuentra en Sankt Pölten, a 27 km de Abadía Melk, y ofrece alojamiento con restaurante, parking privado gratis y bar. El alojamiento está a 23 km de Lilienfeld Abbey, a 42 km de Erzherzog Franz Ferdinand Museum y a 43 km de Dürnstein Castle. Hay wifi gratis en todo el alojamiento y Monasterio de Herzogenburg está a 16 km.

El hotel ofrece habitaciones con aire acondicionado, armario, hervidor, caja fuerte, TV de pantalla plana y baño privado con ducha. En Hotel MUSE, cada habitación está equipada con ropa de cama y toallas.

Centro de Exposiciones de Tulln está a 46 km del alojamiento, y Egon Schiele Museum está a 47 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 87 km del alojamiento."
Gästehaus Aquilin,US$48,"8,2",Muy bien,125,https://cf.bstatic.com/xdata/images/hotel/max1024x768/174683878.webp?k=64ede594bd38f3b2930b061dd96e8ea78667fe5717f83f69a8c2593713152ba1&o=,https://www.booking.com/hotel/at/gastehaus-aquilin.es.html?aid=2410095,"Inglés, Terraza, Enchufe cerca de la cama, Registro de entrada / salida privado, Baño privado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Muebles de exterior, Vistas al jardín, Caja fuerte, Ducha, Bañera o ducha, Habitaciones familiares, Balcón, Alemán, Ropa de cama, Insonorización, Proporciona factura, Calefacción, Entrada privada, Zona de comedor exterior, Vistas, WiFi gratis, Armario, Acceso a pisos superiores solo mediante escaleras, Jardín, Parking gratis, Habitaciones sin humo, Toallas, TV, WC, Independiente, Escritorio",Sankt Polten,Austria,"Gästehaus Aquilin está a 28 km de Abadía Melk y ofrece jardín y terraza, además de alojamiento con balcón y wifi gratis.

Algunas unidades también tienen una cocina equipada con nevera, microondas y fogones.

Monasterio de Herzogenburg está a 20 km del alojamiento, y Lilienfeld Abbey está a 21 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 87 km."
