hotel,hotel_url,description,popular_facilities,highres_url,city,country
Urbanos Hostel,https://www.booking.com/hotel/pa/turtle-hostel-santa-catalina.es.html?aid=2410095,"Urbanos Hostel está en Santa Catalina, a 7 min a pie de Playa de Santa Catalina y a 1,9 km de Playa El Estero. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis.

Todas las habitaciones disponen de baño compartido y aire acondicionado, y algunas tienen además balcón. Todas las habitaciones tienen ropa de cama.

En el albergue se sirve cada mañana un desayuno americano.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Ropa de cama, Tetera/cafetera en todas las habitaciones, Inglés, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Juegos de mesa / puzles, Desayuno en la habitación, Seguridad 24 horas, Playa, Detector de monóxido de carbono, Cámaras de seguridad en las zonas comunitarias, Supermercado pequeño en el alojamiento, Baño compartido, Snorkel, Cocina compartida, Servicio de traslado, Nevera, Enchufe cerca de la cama, Servicio de lavandería, Ducha, Parking adaptado para personas de movilidad reducida, Lavadora, Jardín, Zona de comedor, Mobiliario exterior, Llave de acceso, Zona de pícnic, Horno, Servicio de limpieza diario, Tour o clase sobre cultura local, Extintores, WiFi gratis, Música / espectáculos en directo, Tendedero, Fogones, Toallas / sábanas (por un suplemento), Productos de limpieza, Tetera / cafetera, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452064159.jpg?k=03ff00231ed495d8f4d6fbf701f0286f9cb8425ae123300ded781dfcfdbe45d5&o=&hp=1,Santa Bárbara,Panamá
Hotel Oasis & Surf Camp,https://www.booking.com/hotel/pa/oasis-surf-camp.es.html?aid=2410095,"Hotel Oasis & Surf Camp se encuentra en Santa Catalina, a pocos pasos de Playa El Estero, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este albergue de 3 estrellas tiene wifi gratis, restaurante y bar. El alojamiento dispone de karaoke y servicio de traslado gratuito.

Todas las habitaciones disponen de baño privado con ducha, algunas ofrecen balcón y otras también disponen de vistas al mar.

Puedes jugar al ping-pong en el albergue.

Playa de Santa Catalina está a 2,1 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Pedasí) está a 259 km.","Masaje de pies, Masaje de cuello, Papel higiénico, Inglés, Baño privado, Vino / champán, Aire acondicionado, Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Noches de cine, Sombrillas, Seguridad 24 horas, Zona de juegos interior, Playa, Menús para dietas especiales (bajo petición), Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Snack-bar, Snorkel, Masaje de manos, WC, Servicio de traslado, Masajes, Bar, Baños públicos, Guardaequipaje, Ping pong, Senderismo, Zona de fumadores, Restaurante, Masaje de espalda, Almuerzos para llevar, Servicio de lavandería, Terraza, Ducha, Italiano, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Jardín, Mobiliario exterior, Llave de acceso, Baño al aire libre, Zona TV / salón de uso compartido, Zona privada de playa, Equitación, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Desayuno fabuloso, Instalaciones para deportes acuáticos en el alojamiento, Discoteca / DJ, Extintores, WiFi gratis, Karaoke, Submarinismo, Terraza / solárium, Tumbonas/sillas de playa, Habitaciones familiares, Pesca, Menú para niños, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293953122.jpg?k=056731f21eba9fb8cef9342344f1798ed4586c965ff6943bb1ae1ad89bd17018&o=&hp=1,Santa Bárbara,Panamá
Hostel Villa Vento Surf,https://www.booking.com/hotel/pa/hostel-villa-vento-surf-santa-catalina.es.html?aid=2410095,"El Hostel Villa Vento Surf Surf Santa Catalina se encuentra en Santa Catalina y cuenta con piscina al aire libre y zona de barbacoa. Además, hay jardín, bar, cocina compartida, servicio de información turística y consigna de equipaje.

El menú consiste en crepes y café negro por la mañana. El personal del albergue hace la mezcla para crepes y la coloca junto a la cocina para que los huéspedes puedan preparar sus propios crepes. El café estará listo para servir en la cafetera.

El albergue ofrece solárium.","Papel higiénico, Portugués, Aire acondicionado, Eventos deportivos en directo (emisión), Parking gratis, Entrenador personal, Snack-bar, Supermercado pequeño en el alojamiento, Snorkel, WC, Cocina compartida, Barbacoa, Bar, Guardaequipaje, Zona de fumadores, Abierta todo el año, Ducha, Jardín, Mobiliario exterior, Happy hour, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de limpieza diario, Información turística, Fruta, Piscina al aire libre, Instalaciones para deportes acuáticos en el alojamiento, Para todas las edades, Parking en un garaje, WiFi gratis, Submarinismo, Terraza / solárium, Tumbonas/sillas de playa, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/514799174.jpg?k=2f493ac0ac2acf8e4353e9cd5709cca2369f083f51a04e9e24ff53db9299bd10&o=&hp=1,Santa Bárbara,Panamá
Cabañas Sherlley,https://www.booking.com/hotel/pa/cabanas-sherlley.es.html?aid=2410095,"Cabañas Sherlley se encuentra en Soná, a 8 min a pie de Playa El Estero, y ofrece alojamiento con jardín, parking privado gratis y terraza. El hotel libre de humo ofrece wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones incluyen armario. Cabañas Sherlley dispone de algunas unidades con vistas a la ciudad, y todas cuentan con patio. Todas las unidades de este alojamiento disponen de aire acondicionado y escritorio.

Playa de Santa Catalina está a 14 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Chitré-Alonso Valderrama) está a 187 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Suelo de baldosa / mármol, Albornoz, Patio, Toallas, Bañera o ducha, Entrada privada, Nevera, Enchufe cerca de la cama, Terraza, Artículos de aseo gratis, Utensilios de cocina, Zona de comedor, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Mesa de comedor, WiFi gratis, Baño adicional, Cocina, Ventilador, Fogones, Zona de estar, Tetera / cafetera, Armario, Habitaciones familiares, Inglés, Muebles de exterior, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582085500.jpg?k=85a0806aa31e506aeb99e4b7a70575123008a37e6f80474af8cd8591b6de5fcc&o=&hp=1,Santa Bárbara,Panamá
Hotel Santa Catalina Panamá,https://www.booking.com/hotel/pa/santa-catalina-panama.es.html?aid=2410095,"El Hotel Santa Catalina Panama está junto a la playa, a 20 metros de la popular zona de surf La Punta. El establecimiento está a 12 minutos a pie de la playa Estero, la playa de arena de Santa Catalina.

El Hotel Santa Catalina Panama tiene un generador de energía auxiliar que proporciona toda la electricidad necesaria.

Todas las habitaciones del Hotel Santa Catalina Panama tienen aire acondicionado, vistas al jardín, mininevera, caja fuerte, TV de pantalla plana por cable, mesa con sillas, terraza con hamacas, y baño privado con agua caliente y secador de pelo.

En el Hotel Santa Catalina se proporcionan kayaks, bicicletas, monopatines y tablas de surf de uso gratuito, y en su mostrador de información turística se pueden planificar actividades, como snorkel, submarinismo y excursiones para pescar.

El Hotel Santa Catalina Panamá está a solo 1 km de la playa El Estero, a casi 1 hora en barco del parque nacional de la isla Coiba, a 3 horas en coche de la ciudad de David y a unas 5 horas de Panamá capital.","Papel higiénico, Caja fuerte, Inglés, Baño privado, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Juegos de mesa / puzles, Piscina con vistas, Secador de pelo, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Toallas, Snack-bar, Snorkel, WC, Servicio de traslado, Masajes, Bar, Guardaequipaje, Ping pong, Senderismo, Nevera, Restaurante, Servicio de conserjería, Plancha para pantalones, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Almuerzos para llevar, Abierta todo el año, Jardín, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Toallas de playa/piscina, Zona poco profunda, Clases de yoga, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Piscina al aire libre, Instalaciones para deportes acuáticos en el alojamiento, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, Toda la unidad accesible en silla de ruedas, Canales vía satélite, Submarinismo, Ciclismo, Juguetes para la piscina, Ventilador, Billar, Toallas / sábanas (por un suplemento), Terraza / solárium, Tumbonas/sillas de playa, TV, Habitaciones familiares, Pesca, Muebles de exterior, Bar en la piscina, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/329742906.jpg?k=41305064fddc6c9baa6fc6b4c15ac1addee123e65c65f7e0c98fa245c5bb11af&o=&hp=1,Santa Bárbara,Panamá
Hotel Las Hamacas,https://www.booking.com/hotel/pa/santa-catalina-rentals-las-hamacas.es.html?aid=2410095,"El Hotel Las Hamacas ofrece terraza, vistas a la piscina y jardín y se encuentra en el centro de Santa Catalina. El establecimiento está muy cerca de varias playas de surf, tiendas de buceo y restaurantes. Hay aparcamiento privado gratuito.

Algunos alojamientos tienen zona de estar. Las habitaciones disponen de cocina y baño privado con agua caliente. El Hotel Las Hamacas ofrece WiFi gratuita de alta velocidad por fibra óptica en todas las instalaciones.","Exfoliación corporal, Papel higiénico, Ropa de cama, Vistas al jardín, Tinte, Baño privado, Manicura, Servicios de depilación, Aire acondicionado, Servicios de belleza, Inglés, Parking gratis, Habitaciones sin humo, Tratamientos faciales, Vistas a un patio interior, Detectores de humo, Patio, Vistas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Toallas, Cafetería en el alojamiento, Bañera o ducha, Snorkel, WC, Tratamientos corporales, Servicio de traslado, Zona de fumadores, Nevera, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Parking adaptado para personas de movilidad reducida, Abierta todo el año, Zona de comedor, Jardín, Corte de pelo, Mobiliario exterior, Piscina de agua salada, Mosquitera, Mesa de comedor, Equitación, Zona de pícnic, Zona poco profunda, Acceso a pisos superiores solo mediante escaleras, Peluquería / salón de belleza, Clases de yoga, Tratamientos capilares, Servicio de limpieza diario, Información turística, Extintores, Piscina al aire libre, Para todas las edades, Parking en un garaje, WiFi gratis, Baño adicional, Habitaciones comunicadas disponibles, Bidet, Submarinismo, Pedicura, Perchero, Productos de limpieza, Peinado, Tumbonas/sillas de playa, Envoltura corporal, Bar en la piscina, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537533629.jpg?k=06c11f2d9400a26410d69f97bba374bf98d1aab68e05e040f19d0bf48c259154&o=&hp=1,Santa Bárbara,Panamá
Bodhi Santa Catalina,https://www.booking.com/hotel/pa/bodhi-santa-catalina.es.html?aid=2410095,"Bodhi Santa Catalina está en Santa Catalina, a 7 min a pie de Playa de Santa Catalina, y dispone de alojamiento con jardín, parking privado gratis y terraza. Este alojamiento se encuentra muy cerca de lugares de interés como Playa El Estero. El alojamiento ofrece cocina compartida y wifi gratis en todo el alojamiento.

Las habitaciones incluyen baño privado con ducha, algunas ofrecen balcón y otras también incluyen vistas a la ciudad. En el albergue, cada habitación cuenta con ropa de cama y toallas.

La clientela puede practicar actividades en Santa Catalina y alrededores, como ciclismo.

El aeropuerto (Aeropuerto de Pedasí) está a 257 km.","Papel higiénico, Ropa de cama, Inglés, Baño privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Toallas, Snorkel, WC, Cocina compartida, Zona de fumadores, Buen desayuno, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Jardín, Boles para mascotas, Extintores, WiFi gratis, Submarinismo, Ciclismo, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/209304233.jpg?k=8101114a5a352eceb9e9bfc5a5b758e55b9bb9589d86545c3e90ecddba881273&o=&hp=1,Santa Bárbara,Panamá
Bambuda Santa Catalina,https://www.booking.com/hotel/pa/bambuda-santa-catalina.es.html?aid=2410095,"Bambuda Santa Catalina está en Santa Catalina, a 9 min a pie de Playa de Santa Catalina, y dispone de alojamiento con jardín, parking privado gratis, terraza y restaurante. El alojamiento cuenta con bar y se encuentra a 2 km de Playa El Estero. El albergue libre de humo ofrece wifi gratis en todo el alojamiento.

En el albergue, las habitaciones están equipadas con aire acondicionado y baño privado.

Bambuda Santa Catalina ofrece desayuno continental o americano.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km.","Ropa de cama, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Playa, WC, Tours en bici, Bar, Guardaequipaje, Proporciona factura, Restaurante, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Alquiler de bicicletas, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona de pícnic, Servicio de limpieza diario, Extintores, WiFi gratis, Música / espectáculos en directo, Taquillas, Habitaciones familiares, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581239071.jpg?k=d0792ed590acc43f4fc9d85e09da30f1e594a0fa004a554835f993e1c27b771b&o=&hp=1,Santa Bárbara,Panamá
Hostal Familiar Rolo,https://www.booking.com/hotel/pa/hostal-familiar-rolo.es.html?aid=2410095,"Hostal Familiar Rolo se encuentra en Santa Catalina, a 1 min a pie de Playa de Santa Catalina y a 1,7 km de Playa El Estero. Ofrece alojamiento con jardín y wifi gratis, además de parking privado gratis. Este alojamiento, que cuenta con cocina compartida, también ofrece barbacoa. Algunas habitaciones del alojamiento incluyen una terraza con vistas al mar.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km del alojamiento.","Papel higiénico, Inglés, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Playa, Snorkel, WC, Cocina compartida, Barbacoa, Senderismo, Zona de fumadores, Ruta de bares, Tours a pie, Ducha, Situado frente a la playa, Jardín, Servicio de limpieza diario, Información turística, Extintores, Instalaciones para deportes acuáticos en el alojamiento, WiFi gratis, Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/151785817.jpg?k=9a8d28ffb56e5a8fa27bb65008b91291cfb09cf7ec5be19d40f99ad5c82a5df8&o=&hp=1,Santa Bárbara,Panamá
Sunset Catalina,https://www.booking.com/hotel/pa/sunset-catalina.es.html?aid=2410095,"Sunset Catalina dispone de wifi gratis en todo el alojamiento y habitaciones con aire acondicionado en Santa Catalina. Este alojamiento libre de humo está a 4 min a pie de Playa de Santa Catalina.

En el hostal o pensión, todas las habitaciones incluyen ropa de cama y toallas.

Playa El Estero está a 17 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Pedasí) está a 257 km.","Toallas, Prohibido fumar en todo el alojamiento, Papel higiénico, Ropa de cama, Cocina compartida, Inglés, Aire acondicionado, Parking gratis, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Habitaciones familiares, Ducha, Artículos de aseo gratis, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/404070426.jpg?k=d489c0e7c24c6b6d4d6aec8d1e1798553648a80c0c87950d74128bd11dc6b9c0&o=&hp=1,Santa Bárbara,Panamá
