hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Viva Mar,https://www.booking.com/hotel/co/viva-mar.es.html?aid=2410095,"Hostal Viva Mar está en Cartagena de Indias, a 2,4 km de Castillo de San Felipe de Barajas y a 2,7 km de Muralla de Cartagena. Cerca hay lugares de interés populares como Playa Marbella, Playas de Crespo y Convento de Santa Cruz de la Popa. Palacio de la Inquisición está a 4,5 km del hostal o pensión y Parque Bolívar, a 4,5 km.

Las habitaciones del alojamiento tienen baño compartido y wifi gratis, y algunas también cuentan con patio.

Museo del Oro de Cartagena está a 4,6 km del alojamiento, y Casa de Rafael Nuñez está a 2,8 km. El aeropuerto (Aeropuerto Internacional Rafael Núñez) está a 2 km.","Inglés, Francés, Habitaciones sin humo, Habitaciones familiares, Español, Aire acondicionado, WiFi gratis, Baño compartido, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517865918.jpg?k=6177b913e30ba9328b852ed0e4b2b0b1fcbd465fb3a13b37753883a0a047ed80&o=&hp=1,Santa Cruz de Lorica,Colombia
"Hotel Casa La Factoria by Faranda Boutique, a member of Radisson Individuals",https://www.booking.com/hotel/co/casa-la-factoria-by-faranda-boutique.es.html?aid=2410095,"El Hotel Casa La Factoría By Faranda Boutique ofrece WiFi gratuita y bicicletas de uso gratuito. Se encuentra en Cartagena de Indias, a menos de 1 km del parque de Bolívar. Está a unos 10 minutos a pie del Museo del Oro y a menos de 1 km del palacio de la Inquisición. Cuenta con recepción 24 horas.

Las habitaciones de este hotel disponen de armario, TV de pantalla plana y baño privado. Todas las habitaciones están equipadas con nevera.

El establecimiento sirve un desayuno a la carta. Hay un restaurante especializado en cocina nikkei.

El hotel Casa Factoría Faranda Boutique dispone de jacuzzi.
Está a 3,7 km del castillo de San Felipe de Barajas y a 2,8 km de las murallas de Cartagena. El aeropuerto más cercano es el internacional Rafael Núñez, situado a 6 km del Hotel Casa La Factoría By Faranda Boutique.","Servicio de entrega de comestibles, Secador de pelo, Terraza, Spa y centro de bienestar, Almuerzos para llevar, Alarma de seguridad, Caja fuerte, Habitaciones sin humo, Cambio de moneda, Recepción 24 horas, Happy hour, Inglés, Jardín, Extintores, Aire acondicionado, TV, Instalaciones de spa, Solárium, Masajes, Traslado aeropuerto, Vino / champán, Información turística, Tetera / cafetera, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Tours en bici, Desayuno fabuloso, Menús para dietas especiales (bajo petición), Fruta, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Sauna, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de pícnic, Mobiliario exterior, Canales por cable, Tours a pie, Habitaciones insonorizadas, Alquiler de bicicletas, Utensilios de planchado, Servicio de planchado, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Tetera/cafetera en todas las habitaciones, Bar, Restaurante, Canales vía satélite, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/167019004.jpg?k=b28ab899b107f998ff3414e4d553d1fc7b8760ea605d735c5177981f51db9f36&o=&hp=1,Santa Cruz de Lorica,Colombia
Guakmaya hostel,https://www.booking.com/hotel/co/guakmaya-hostel-cartagena.es.html?aid=2410095,"Guakmaya hostel está en Cartagena de Indias, a 2,1 km de Castillo de San Felipe de Barajas, y dispone de servicio de check-in y check-out exprés, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y terraza. El alojamiento se encuentra a 3,3 km de Convento de Santa Cruz de la Popa, a 3,3 km de Muralla de Cartagena y a 4,2 km de Palacio de la Inquisición. El hostal o pensión tiene habitaciones familiares.

Todas las unidades de este alojamiento están equipadas con zona de estar. Todas las habitaciones tienen baño privado, artículos de aseo gratuitos y ropa de cama.

Parque Bolívar está a 4,3 km del alojamiento, y Museo del Oro de Cartagena está a 4,3 km. El aeropuerto (Aeropuerto Internacional Rafael Núñez) está a 4 km.","Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Vistas, Ventilador, Inglés, Calefacción, Baño privado, Jardín, Extintores, Aire acondicionado, Accesible para personas sordas, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Mobiliario exterior, Productos de limpieza, Hervidor eléctrico, Vistas a un patio interior, Zona de estar, Llave de acceso, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512276565.jpg?k=e019c1359705784751caae401569591ee0e682683bff6ec19c2705f8b23f9554&o=&hp=1,Santa Cruz de Lorica,Colombia
Hotel La Esperanza,https://www.booking.com/hotel/co/la-esperanza-cartagena-de-indias.es.html?aid=2410095,"Hotel La Esperanza se encuentra en Cartagena de Indias, a 2,8 km de Convento de Santa Cruz de la Popa, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y bar. El hotel tiene wifi gratis y está a unos 2,9 km de Castillo de San Felipe de Barajas y a 4,1 km de Muralla de Cartagena. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación cuenta con un patio con vistas a la ciudad. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también tienen zona de estar. En Hotel La Esperanza, todas las habitaciones están equipadas con ropa de cama y toallas.

Palacio de la Inquisición está a 5,8 km del alojamiento, y Parque Bolívar está a 5,9 km. El aeropuerto más cercano (Aeropuerto Internacional Rafael Núñez) está a 2 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Minibar, Vistas, Recepción 24 horas, Calefacción, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Vídeo, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Parking en un garaje, Patio, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Vistas a un lugar de interés, Plancha para ropa, Zona de fumadores, Mobiliario exterior, Productos de limpieza, Canales por cable, Habitaciones insonorizadas, Tarjeta de acceso, Llave de acceso, Servicio de despertador, Guardaequipaje, Servicio de lavandería, WC, Zona de comedor exterior, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Canales vía satélite, TV de pantalla plana, Toallas, Plancha para pantalones, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/276355607.jpg?k=2118211e15fb492e3e18f213f5123390b105c7c1a91bc309bd75bda21fe326d1&o=&hp=1,Santa Cruz de Lorica,Colombia
Hotel bazurto plaza,https://www.booking.com/hotel/co/bazurto-plaza.es.html?aid=2410095,"Hotel bazurto plaza se encuentra en Cartagena de Indias, a 2,6 km de Convento de Santa Cruz de la Popa, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. El alojamiento está a unos 2,6 km de Castillo de San Felipe de Barajas, a 3,9 km de Muralla de Cartagena y a 5,6 km de Palacio de la Inquisición. El hotel libre de humo cuenta con wifi gratis en todo el alojamiento.

En el hotel, cada habitación tiene armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El personal habla inglés y español, y estará encantado de dar información sobre la zona en la recepción 24 horas.

Parque Bolívar está a 5,7 km del alojamiento, y Museo del Oro de Cartagena está a 5,7 km. El aeropuerto más cercano (Aeropuerto Internacional Rafael Núñez) está a 2 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Inglés, Baño privado, Aire acondicionado, Extintores, TV, Armario, Accesible para personas sordas, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Zona TV / salón de uso compartido, Ropa de cama, Acceso a pisos superiores en ascensor, WiFi gratis, Ducha, Detectores de humo, Proporciona factura, Mobiliario exterior, Llave de acceso, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Ascensor, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583956201.jpg?k=31afdae8ab2f4e11af55a4627d799d294c00202cb2f4f761a6fdeb7c9c2c4053&o=&hp=1,Santa Cruz de Lorica,Colombia
Hotel G Cartagena,https://www.booking.com/hotel/co/g-cartagena-sas.es.html?aid=2410095,"El Hotel G Cartagena se encuentra en Cartagena de Indias, a 3,1 km del castillo de San Felipe de Barajas, y ofrece un salón compartido. El establecimiento está a unos 3,2 km de las escaleras del cerro de La Popa y a 3,9 km de las murallas de Cartagena. Entre los lugares de interés de la zona se incluyen el parque Bolívar, a 4,3 km, y el Museo del Oro de Cartagena, a 4,3 km.

Todas las habitaciones del hotel están equipadas con TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos.

Todas las mañanas se sirve un desayuno americano. El restaurante del establecimiento sirve cocina internacional.

El personal de la recepción 24 horas habla inglés y español.

El palacio de la Inquisición queda a 4,4 km. El aeropuerto internacional Rafael Núñez queda a 8 km.","Supermercado pequeño en el alojamiento, Prohibido fumar en todo el alojamiento, Caja fuerte, Almuerzos para llevar, Cafetería en el alojamiento, Bañera o ducha, Teléfono, Baños públicos, Cambio de moneda, Vistas, Recepción 24 horas, Cenas temáticas, Calefacción, Baño privado, Aire acondicionado, Extintores, Inglés, TV, Tour o clase sobre cultura local, Vino / champán, Perchero, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Menús para dietas especiales (bajo petición), Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Enchufe cerca de la cama, Vistas a un lugar de interés, Protector de enchufes para niños, Proporciona factura, Barandillas protectoras para bebés, Detectores de humo, Plancha para ropa, Servicio de aparcacoches, Bañera de hidromasaje / jacuzzi, Mobiliario exterior, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Servicio de planchado, Habitaciones hipoalergénicas, Servicio de despertador, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/120440383.jpg?k=183ce353853583fbbf74c7569136e8754700b5f29c44a8e13e794460a038cfb9&o=&hp=1,Santa Cruz de Lorica,Colombia
Martinica Hostel,https://www.booking.com/hotel/co/martinica-hostel.es.html?aid=2410095,"Martinica Hostel se encuentra en Cartagena de Indias y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. El alojamiento está a 18 min a pie de Castillo de San Felipe de Barajas, a 1,9 km de Convento de Santa Cruz de la Popa y a 2,6 km de Muralla de Cartagena. Palacio de la Inquisición está a 4,4 km del hostal o pensión y Parque Bolívar, a 4,4 km.

En el hostal o pensión, cada habitación incluye aire acondicionado, zona de estar, TV de pantalla plana con canales por cable, zona de cocina, zona de comedor y baño privado con artículos de aseo gratuitos y ducha. En Martinica Hostel, las habitaciones incluyen ropa de cama y toallas.

Museo del Oro de Cartagena está a 4,4 km del alojamiento, y Puerto de Cartagena está a 2 km. El aeropuerto más cercano (Aeropuerto Internacional Rafael Núñez) está a 5 km del alojamiento.","Desayuno, Terraza, Juegos de mesa / puzles, Habitaciones sin humo, Baño privado, Jardín, Aire acondicionado, TV, Armario, Accesible para personas sordas, Toda la unidad accesible en silla de ruedas, Parking gratis, Zona TV / salón de uso compartido, Ropa de cama, Artículos de aseo gratis, WiFi gratis, Ducha, Cocina compartida, Mesa de comedor, Enchufe cerca de la cama, Zona de cocina, Plancha para ropa, Canales por cable, Zona de estar, Servicio de lavandería, Microondas, Zona de comedor, TV de pantalla plana, Toallas, Lavadora, Habitaciones familiares, Español, Toda la unidad en la planta baja, Utensilios de cocina, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452335890.jpg?k=d2df3f1fc99702d1a336c8b9b311ac4a966c851c4c93c9bb1749fc690192f730&o=&hp=1,Santa Cruz de Lorica,Colombia
Hostal El Cielo,https://www.booking.com/hotel/co/hostal-el-cielo-cartagena-de-indias.es.html?aid=2410095,"Hostal El Cielo se encuentra en Cartagena de Indias, a 16 min a pie de Castillo de San Felipe de Barajas y a 2,4 km de Convento de Santa Cruz de la Popa, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y terraza.

Muralla de Cartagena está a 2,4 km del alojamiento, y Palacio de la Inquisición está a 4,2 km. El aeropuerto más cercano (Aeropuerto Internacional Rafael Núñez) está a 5 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Inglés, Jardín, Aire acondicionado, TV, Armario, Ropa de cama, WiFi gratis, Ducha, Enchufe cerca de la cama, Productos de limpieza, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508223205.jpg?k=67899164fba23a495ba9a8690c0d460c805da9191521f83deb30df2771e5c108&o=&hp=1,Santa Cruz de Lorica,Colombia
Habitacion independiente muy bien ubicado,https://www.booking.com/hotel/co/apartaestudio-muy-bien-ubicado.es.html?aid=2410095,"Habitacion independiente muy bien ubicado está en Cartagena de Indias y dispone de alojamiento a 1,9 km de Convento de Santa Cruz de la Popa, a 2,7 km de Muralla de Cartagena y a 4,4 km de Palacio de la Inquisición. Este alojamiento con aire acondicionado está a 19 min a pie de Castillo de San Felipe de Barajas y ofrece wifi gratis y parking privado en el propio alojamiento.

El apartamento dispone de TV de pantalla plana, 1 dormitorio.

Parque Bolívar está a 4,5 km del alojamiento, y Museo del Oro de Cartagena está a 4,5 km. El aeropuerto más cercano (Aeropuerto Internacional Rafael Núñez) está a 5 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Traslado aeropuerto, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, TV de pantalla plana, Habitaciones familiares, Servicio de traslado, Llave de acceso, Español, WiFi gratis, Aire acondicionado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495463275.jpg?k=431d94a229e213c26f7ac7b8181614212cda5ad2b1d7f4f9191b255e305e03c1&o=&hp=1,Santa Cruz de Lorica,Colombia
Hotel La Casa Del Viajero,https://www.booking.com/hotel/co/la-casa-del-viajero-cartagena-de-indias.es.html?aid=2410095,"Hotel La Casa Del Viajero está en Cartagena de Indias, a 13 min a pie de Convento de Santa Cruz de la Popa y a 2,1 km de Castillo de San Felipe de Barajas. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 2,6 km de Playa Marbella.

Todas las unidades del alojamiento disponen de baño privado con ducha, TV de pantalla plana y aire acondicionado. Algunas habitaciones disponen de balcón. Las unidades disponen de ropa de cama.

Muralla de Cartagena está a 2,7 km del alojamiento, y Palacio de la Inquisición está a 4,9 km. El aeropuerto más cercano (Aeropuerto Internacional Rafael Núñez) está a 4 km.","WC, Perchero, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Baño privado, TV de pantalla plana, Habitaciones familiares, Papel higiénico, Ropa de cama, Recepción 24 horas, Aire acondicionado, Español, WiFi gratis, Ducha, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532370774.jpg?k=d23edb1347899ab59df3e4dc2d670cdb3868ba11338941541cfc46577109dcd5&o=&hp=1,Santa Cruz de Lorica,Colombia
