hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Cisne II,https://www.booking.com/hotel/ec/cisne-ii.es.html?aid=2410095,"El Hotel Cisne II, situado justo enfrente del parque principal de Santa Elena, dispone de habitaciones con conexión Wi-Fi gratuita y TV por cable. Ofrece aparcamiento gratuito y desayuno. Asimismo, cuenta con un bar y se encuentra a 8 minutos en coche de la playa de Ballenitas.

Las habitaciones del Cisne II son muy luminosas gracias a sus grandes ventanas y están equipadas con suelo de baldosa, aire acondicionado y baño privado.

Todos los días se sirve un desayuno continental que incluye bebidas calientes. El bar también ofrece bebidas y aperitivos.

A menudo se organizan concursos de karaoke. El Hotel Cisne II cuenta con un mostrador de información turística en el que podrá reservar excursiones y está a 30 minutos en coche del aeropuerto Cosme Renella.","Entretenimiento nocturno, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Desayuno, Billar, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Happy hour, Salas de reuniones / banquetes, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Karaoke, WC, Canales por cable, Dardos, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Vino / champán, Snack-bar, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Información turística, Juegos de mesa / puzles, Productos de limpieza, Discoteca / DJ, Fax / fotocopiadora, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Escritorio, TV de pantalla plana, Ducha, Desayuno en la habitación, Teléfono, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584562442.jpg?k=2dd4e748d9db2b239eacbbfb9f48785b2c75e3d027d0eb1c2a91d966b9307131&o=&hp=1,Santa Elena,Ecuador
Hospedaje Maluli Suit Ricardo,https://www.booking.com/hotel/ec/suit-8-ricardo-santa-elena.es.html?aid=2410095,"Hospedaje Maluli Suit Ricardo, que cuenta con jardín, terraza y zona de barbacoa, ofrece alojamiento en Santa Elena con wifi gratis y vistas al jardín. Este apartamento con aire acondicionado ofrece alojamiento con patio.

El apartamento cuenta con 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y balcón con vistas a la ciudad.","Playa, Minibar, Mesa de comedor, Zona de comedor exterior, Barbacoa, Vistas al jardín, Zona de cocina, Plancha para pantalones, Plancha para ropa, Zona de comedor, Radio, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Armario, Papel higiénico, Toda la unidad en la planta baja, Seguridad 24 horas, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, TV, Lavavajillas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Nevera, Hervidor eléctrico, Canales por cable, Servicio de traslado, Proporciona factura, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Zona de fumadores, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Detector de monóxido de carbono, Juegos de mesa / puzles, Independiente, Sofá, Productos de limpieza, Adaptado personas de movilidad reducida, Horno, Bañera, Toda la unidad accesible en silla de ruedas, Baño privado, Patio, Aire acondicionado, Vistas a la ciudad, Español, Balcón, Wifi buena gratis (19 Mbps), Habitaciones sin humo, Vestidor, Enchufe cerca de la cama, Extintores, Cocina, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Ropa de cama, Entrada privada, Adaptado para sillas de ruedas, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578980988.jpg?k=c1eb959c1097a29ae7749688a6362d6ffeef5f3cf9606f27b77f58fc7f75276f&o=&hp=1,Santa Elena,Ecuador
Saint Patricks Lodge,https://www.booking.com/hotel/ec/saint-patricks-lodge.es.html?aid=2410095,"El Saint Patricks Lodge se encuentra en Santa Elena y ofrece piscina al aire libre, jardín, terraza, conexión Wi-Fi gratuita e instalaciones para reuniones. La playa de Salinas está a 15 km.

Las habitaciones del Saint Patricks Lodge son tranquilas y disponen de baño privado con agua caliente las 24 horas, aire acondicionado y TV por cable de pantalla plana. Se proporciona ropa de cama.

El Saint Patricks Lodge ofrece conexión Wi-Fi gratuita en las zonas comunes. Se ofrece servicio de lavandería bajo petición.

El Saint Patricks Lodge se encuentra a 5 minutos en coche de Punta Blanca y a 115 km del aeropuerto. Hay aparcamiento privado gratuito.","Sala de juegos, Solárium, Prohibido fumar en todo el alojamiento, Vistas al jardín, Zona de comedor exterior, Masajes, Parking gratis, Sombrillas, Cubierta para piscina, Perchero, Terraza, Bañera o ducha, Canguro / servicios para niños, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Baños termales, Para todas las edades, Baños públicos, Canales por cable, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Español, Extintores, Cesta para mascotas, TV de pantalla plana, Ropa de cama, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Mesa de comedor, Desayuno, Baño al aire libre, Chimenea exterior, Armario, Vistas a un lugar de interés, Alarma de seguridad, Vino / champán, Fax / fotocopiadora, Habitaciones sin humo, Vistas, Guardaequipaje, Entrada privada, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Zona de estar, Habitaciones hipoalergénicas, Papel higiénico, Cocina compartida, Servicio de lavandería, TV, Cámaras de seguridad fuera del alojamiento, Barandillas de seguridad para bebés, Juegos de mesa / puzles, Productos de limpieza, Bañera, Baño privado, Patio, Aire acondicionado, Zona poco profunda, Balcón, Piscina al aire libre, Vídeo, Adaptado para sillas de ruedas, Ducha, Utensilios de planchado, Canales vía satélite, Zona de juegos interior, Piscina con vistas, Italiano, Llave de acceso, Boles para mascotas, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Servicio de conserjería, Inglés, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Vistas a la ciudad, Zona de juegos para niños, Zona de pícnic, Suelo de baldosa / mármol, Tendedero, Hipoalergénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/125833880.jpg?k=19ab46b62f1df3176d24fe8ab809625e6dba9b13c4763a73fdd2c1d8f0901a55&o=&hp=1,Santa Elena,Ecuador
Hospedaje Maluli Suit 8,https://www.booking.com/hotel/ec/hospedaje-maluli-suit-6.es.html?aid=2410095,"Hospedaje Maluli Suit 8, que está en Santa Elena, ofrece alojamiento con balcón. Este apartamento dispone de recepción 24 horas y wifi gratis.

Este apartamento con vistas a la ciudad tiene 1 dormitorio y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.","Mesa de comedor, Vistas al jardín, Plancha para ropa, Zona de comedor, Parking gratis, Bañera o ducha, Zona de estar, Armario, Papel higiénico, Utensilios de cocina, Apartamento privado en edificio, Lavavajillas, Toallas / sábanas (por un suplemento), Proporciona factura, Toallas, Información turística, Wifi buena gratis (30 Mbps), Sofá, Independiente, Horno, Bañera, Español, Baño privado, Vistas a la ciudad, Parking en la calle, Balcón, Habitaciones sin humo, Enchufe cerca de la cama, Vestidor, Recepción 24 horas, Suelo de baldosa / mármol, Entrada privada, Ropa de cama, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572809396.jpg?k=d2e53d550a2b2cd3f08315e585185f72ea21d2d45b12a03ea60fbec8973194a5&o=&hp=1,Santa Elena,Ecuador
Ballenita Suites,https://www.booking.com/hotel/ec/ballenita-suites.es.html?aid=2410095,"Ballenita Suites se encuentra en Santa Elena, cerca de Playa de Ballenita, y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades tienen aire acondicionado y disponen de baño privado, TV de pantalla plana y cocina totalmente equipada.

Playa de Chuyuipe está a 2 km del alojamiento. El aeropuerto (Aeropuerto internacional José Joaquín de Olmedo) está a 133 km.","Habitaciones sin humo, Cafetería en el alojamiento, Playa, Prohibido fumar en todo el alojamiento, Bar, Cocina, WiFi gratis, Inglés, TV de pantalla plana, Parking gratis, Aire acondicionado, Situado frente a la playa, Español, Baño privado, Happy hour, Vino / champán",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583479628.jpg?k=052bd0d14e675e0c43f5e926dbbd020dd2f35fbeae2787e0ea03381487f4f0af&o=&hp=1,Santa Elena,Ecuador
Depar Ruta del sol,https://www.booking.com/hotel/ec/depar-ruta-del-sol.es.html?aid=2410095,"Depar Ruta del sol está en Santa Elena. El alojamiento, que se encuentra a 3 min a pie de Playa de Punta Blanca, ofrece zona de playa privada y parking privado gratis.

El apartamento también dispone de 3 baños.

Se puede disfrutar de la piscina cubierta en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional José Joaquín de Olmedo) está a 134 km.","Habitaciones sin humo, Playa, Prohibido fumar en todo el alojamiento, Piscina interior, Zona privada de playa, Piscina pequeña, Inglés, Para todas las edades, Parking gratis, Abierta todo el año, Aire acondicionado, Español, Baño privado, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581043643.jpg?k=04fa6ad40725d432a0206f72d610ff50d5dcdb3ae775e3222197018ae80ee546&o=&hp=1,Santa Elena,Ecuador
Vista al mar Punta Centinela,https://www.booking.com/hotel/ec/vista-al-mar-punta-centinela.es.html?aid=2410095,"Vista al mar Punta Centinela, que tiene vistas al jardín, dispone de alojamiento con balcón a unos 7 min a pie de Playa de Punta Centinela. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Este apartamento de 1 dormitorio ofrece TV de pantalla plana, aire acondicionado y sala de estar. La cocina está equipada con minibar.

Playa de Punta Blanca está a 2,1 km del alojamiento.","Vistas, Minibar, Vistas al jardín, Cocina, WiFi gratis, Inglés, Piscina, TV de pantalla plana, Parking gratis, Español, Aire acondicionado, Piscina privada, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/554865596.jpg?k=b8a0b80a8d36e9511f73b63184f113d194a7e345ac1079948e18808e127e00cb&o=&hp=1,Santa Elena,Ecuador
Punta Centinella Yacht Club,https://www.booking.com/hotel/ec/punta-centinela-santa-elena2.es.html?aid=2410095,"Punta Centinella Yacht Club está en Santa Elena y ofrece alojamiento con wifi gratis, vistas al jardín, jardín con piscina al aire libre y acceso a la sauna y a la bañera de hidromasaje.

El apartamento ofrece terraza, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y microondas, y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Hay opciones a la carta o continentales de desayuno disponibles cada mañana en Punta Centinella Yacht Club. El alojamiento cuenta un restaurante que sirve cocina local.

Hay zona de playa privada en el propio alojamiento.

Playa de Punta Centinela está a 2,6 km del alojamiento.","Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Zona de cocina, Plancha para pantalones, Plancha para ropa, Masajes, Parking gratis, Tratamientos faciales, Sombrillas, Perchero, Terraza, Bañera o ducha, Zona de spa / relajación, Mobiliario exterior, WiFi gratis, Piscina pequeña, Para todas las edades, Nevera, Canales por cable, Canales de pago, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, TV de pantalla plana, Ropa de cama, Horario de apertura, Habitaciones familiares, Cafetera, Mesa de comedor, Desayuno, Baño al aire libre, Traslado aeropuerto, Armario, WC, Piscina privada, 2 piscinas, Artículos de aseo gratis, Microondas, Servicios de belleza, Piscina infantil, Silla de masajes, Exfoliación corporal, Bañera de hidromasaje / jacuzzi, Habitaciones sin humo, Vistas, Spa y centro de bienestar, Cocina, Zona privada de playa, Entrada privada, Instalaciones de spa, Zona de comedor, Servicio de limpieza diario, Zona de estar, Papel higiénico, Servicio de lavandería, Apartamento privado en edificio, TV, Masaje corporal completo, Libros, DVD o música para niños, Sofá, Abierta todo el año, Bañera, Baño privado, Aire acondicionado, Zona poco profunda, Balcón, Supermercado pequeño en el alojamiento, Ducha, Tostadora, Playa, Reproductor de DVD, Piscina con vistas, Llave de acceso, Paquetes de spa / bienestar, Seguridad 24 horas, Utensilios de cocina, Bar, Inglés, Toallas / sábanas (por un suplemento), Situado frente a la playa, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Toallas, Bar en la piscina, Sauna, Restaurante, Zona de pícnic, Suelo de baldosa / mármol, Tendedero, Recepción 24 horas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540154852.jpg?k=46b4ba71a9d5c311e4e215b3df9157b91c905b9193524c5ebd47dc9029748fd6&o=&hp=1,Santa Elena,Ecuador
Hospedaje Familiar Taos,https://www.booking.com/hotel/ec/hospedaje-familiar-taos.es.html?aid=2410095,"Hospedaje Familiar Taos se encuentra en Santa Elena. El alojamiento tiene parking privado gratis y está a 7 min a pie de Playa de Punta Centinela y a 1,8 km de Playa de Punta Blanca.

El apartamento también tiene 1 baño.","Baño privado, Prohibido fumar en todo el alojamiento, Español, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538164619.jpg?k=c5be83372d5744dc4cf0a4b836ecc1cd20d25d6094df8940ea79d33488eb5830&o=&hp=1,Santa Elena,Ecuador
Habitación familiar #10 cerca de la playa- wanderlust,https://www.booking.com/hotel/ec/apartahotel-wanderlust.es.html?aid=2410095,"Habitación familiar #10 cerca de la playa- wanderlust se encuentra a pocos pasos de Playa Montañita y ofrece jardín y terraza, así como alojamiento con aire acondicionado, balcón y wifi gratis.

Todas las unidades disponen de baño privado, TV de pantalla plana y zona de cocina totalmente equipada.

Playa Olón está a 12 min a pie del alojamiento.","Habitaciones sin humo, Jardín, Playa, Vistas, Utensilios de cocina, Servicio de streaming (como Netflix), WiFi gratis, Zona de cocina, TV de pantalla plana, Ropa de cama, Parking gratis, Aire acondicionado, Español, Baño privado, Terraza, Habitaciones familiares, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/530039286.jpg?k=32503871a875aa4e90dd21474fe703c366c5fe060063a641e35d08214e81c833&o=&hp=1,Santa Elena,Ecuador
