hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Santa Barbara Colonial - Santa Fe de Antioquia,https://www.booking.com/hotel/co/santa-barbara-colonial-santa-fe-de-antioquia-santafe-de-antioquia.es.html?aid=2410095,"Hotel Santa Barbara Colonial - Santa Fe de Antioquia ofrece wifi gratis en todo el alojamiento y vistas a la piscina en Santa Fe de Antioquia. El hotel dispone de piscina al aire libre, piscina cubierta y servicio de habitaciones.

Las unidades del alojamiento tienen baño privado con bidet y secador de pelo, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones cuentan con balcón. En el hotel, las habitaciones disponen de ropa de cama y toallas.

En Hotel Santa Barbara Colonial - Santa Fe de Antioquia se sirve cada mañana un desayuno americano.

En el alojamiento, la clientela puede disfrutar de sauna y bañera de hidromasaje.

El personal de la recepción 24 horas puede ofrecer consejos sobre cómo y por dónde moverse en la zona.

Kanaloa Parque Acuático está a 3 km del alojamiento. El aeropuerto (Aeropuerto Olaya Herrera) está a 58 km.","Servicio de entrega de comestibles, Secador de pelo, Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Vistas a la piscina, Recepción 24 horas, Cenas temáticas, Baño privado, Aire acondicionado, Desayuno fantástico, Extintores, TV, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Sauna, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Mobiliario exterior, Canales por cable, Bidet, Alquiler de bicicletas, Solo para adultos, Llave de acceso, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Toallas, Español, 2 piscinas, Papel higiénico, Piscina privada, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521075308.jpg?k=3d3f6c934cbd573f5d9c96da4f7da2f873a6fa5331e6d0be314816c49c5cd02f&o=&hp=1,Santa Fe de Antioquia,Colombia
Curazao Hotel -Centro Histórico-,https://www.booking.com/hotel/co/curazao-santa-fe-de-antioquia12.es.html?aid=2410095,"Curazao Hotel -Centro Histórico- tiene piscina al aire libre, terraza, restaurante y bar en Santa Fe de Antioquia. El alojamiento está a 4 km de Kanaloa Parque Acuático. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones incluyen escritorio. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también incluyen balcón. En Curazao Hotel -Centro Histórico-, cada habitación dispone de ropa de cama y toallas.

En el alojamiento se sirve cada mañana un desayuno continental.

El aeropuerto (Aeropuerto Olaya Herrera) está a 59 km.","Terraza, Juegos de mesa / puzles, Sombrillas, Almuerzos para llevar, Baños públicos, Habitaciones sin humo, Entretenimiento nocturno, Masaje de manos, Recepción 24 horas, Cenas temáticas, Baño privado, Aire acondicionado, Extintores, Solárium, TV, Discoteca / DJ, Masajes, Tour o clase sobre cultura local, Vino / champán, Menú para niños, Información turística, Masaje en pareja, Cámaras de seguridad en las zonas comunitarias, Tours en bici, Desayuno fabuloso, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Masaje de pies, Proporciona factura, Música / espectáculos en directo, Zona de fumadores, Mobiliario exterior, Productos de limpieza, Canales por cable, Tours a pie, Piscina al aire libre, Masaje de cabeza, Alquiler de bicicletas, Llave de acceso, Servicio de planchado, Escritorio, Para todas las edades, Servicio de lavandería, Masaje corporal completo, Terraza / solárium, Masaje de cuello, Bar, Restaurante, TV de pantalla plana, Abierta todo el año, Tumbonas/sillas de playa, Toallas, Habitaciones familiares, Español, Masaje de espalda, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/378170870.jpg?k=6a3c78ecf3c3b17cba78a4bc134d6e7541b5e9c1b0b267543f869af7529d87a6&o=&hp=1,Santa Fe de Antioquia,Colombia
Seven hotel,https://www.booking.com/hotel/co/seven-santa-fe-de-antioquia.es.html?aid=2410095,"Seven hotel está en Santa Fe de Antioquia, a 3 km de Kanaloa Parque Acuático, y dispone de alojamiento con wifi gratis y parking privado gratis. El hotel tiene habitaciones familiares.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. Las unidades disponen de baño privado, artículos de aseo gratuitos y ropa de cama.

El personal de la recepción 24 horas puede dar consejos sobre la zona.

El aeropuerto (Aeropuerto Olaya Herrera) está a 58 km.","Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Parking en un garaje, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Tarjeta de acceso, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/501613596.jpg?k=6ac11a265466bd684050799ffbf45fbb202c8e8c532c588ba4f5d2957f88cdc2&o=&hp=1,Santa Fe de Antioquia,Colombia
Hotel Santa Fe del Parque,https://www.booking.com/hotel/co/santa-fe-del-parque.es.html?aid=2410095,"Hotel Santa Fe del Parque se encuentra en Santa Fe de Antioquia, a 2,9 km de Kanaloa Parque Acuático, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. Este hotel de 4 estrellas ofrece restaurante y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de bañera de hidromasaje, discoteca y servicio de habitaciones.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. En el hotel, todas las habitaciones tienen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

Puedes jugar al billar en Hotel Santa Fe del Parque.

El personal de recepción puede ayudar con cualquier consulta.

El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 58 km.","Terraza, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Jardín, Centro de negocios, Extintores, Hipoalergénico, Discoteca / DJ, Tour o clase sobre cultura local, Parking gratis, Bar en la piscina, Ropa de cama, Buen desayuno, Servicio de habitaciones, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Baño al aire libre, Máquina expendedora (bebidas), Restaurante, Piscina con vistas, Servicio de entrega de comestibles, Entretenimiento nocturno, Cenas temáticas, Aire acondicionado, Solárium, Menú para niños, Piscina en la azotea, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Máquina expendedora (aperitivos), Música / espectáculos en directo, Piscina al aire libre, Llave de acceso, Habitaciones hipoalergénicas, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Papel higiénico, Fax / fotocopiadora, Sombrillas, Juegos de mesa / puzles, Almuerzos para llevar, TV, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Bañera de hidromasaje / jacuzzi, Ruta de bares, Tours a pie, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Entrada privada, Menús para dietas especiales (bajo petición), Ducha, Plancha para ropa, Servicio de despertador, Para todas las edades, Servicio de lavandería, Billar, Abierta todo el año, Tumbonas/sillas de playa, Zona poco profunda, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/442222034.jpg?k=33bd49ffb339f6194b3fd9c958ca1adfe4d0522a7c602e7dcbf6c2051281f76f&o=&hp=1,Santa Fe de Antioquia,Colombia
Selva María Hotel Boutique,https://www.booking.com/hotel/co/selva-maria-boutique.es.html?aid=2410095,"Selva María Hotel Boutique se encuentra en Santa Fe de Antioquia, a 3,1 km de Kanaloa Parque Acuático, y ofrece servicio de conserjería, habitaciones libres de humo, terraza, wifi gratis en todo el alojamiento y bar. El alojamiento dispone de servicio de habitaciones, mostrador de información turística y guardaequipaje.

En el hotel, todas las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades cuentan con minibar.

En Selva María Hotel Boutique se sirve todas las mañanas un desayuno a la carta.

El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 58 km.","Desayuno, Terraza, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Baños públicos, Cafetería en el alojamiento, Minibar, Habitaciones sin humo, Ventilador, Baño privado, Aire acondicionado, Extintores, TV, Armario, Vino / champán, Perchero, Información turística, Snack-bar, Servicio de conserjería, Ropa de cama, Seguridad 24 horas, WiFi gratis, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Mobiliario exterior, Canales por cable, Hervidor eléctrico, Llave de acceso, Servicio de planchado, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Bar, TV de pantalla plana, Tumbonas/sillas de playa, Toallas, Español, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536023660.jpg?k=1900453f0ecec6da14820fda986aa88bfa07ac72c20cb3603707c95a47b97e72&o=&hp=1,Santa Fe de Antioquia,Colombia
Encomendero Hotel -Centro Histórico-,https://www.booking.com/hotel/co/encomendero.es.html?aid=2410095,"Encomendero Hotel -Centro Histórico- dispone de wifi gratis en todo el alojamiento, una terraza solárium con piscina, jardín y bar y está en Santa Fe de Antioquia. Este alojamiento libre de humo se encuentra a 2,7 km de Kanaloa Parque Acuático.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Todas las habitaciones de este alojamiento tienen aire acondicionado y escritorio.

En el hotel se puede disfrutar de un desayuno continental.

En la recepción 24 horas se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

Embajada de China está a 50 km del alojamiento. El aeropuerto (Aeropuerto Olaya Herrera) está a 57 km.","Juegos de mesa / puzles, Spa y centro de bienestar, Sombrillas, Prohibido fumar en todo el alojamiento, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Masaje de manos, Recepción 24 horas, Cenas temáticas, Ventilador, Inglés, Jardín, Extintores, Aire acondicionado, TV, Solárium, Masajes, Tour o clase sobre cultura local, Masaje en pareja, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, Tours en bici, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Enchufe cerca de la cama, Masaje de pies, Proporciona factura, Mobiliario exterior, Productos de limpieza, Canales por cable, Tours a pie, Piscina al aire libre, Vistas a un patio interior, Masaje de cabeza, Bidet, Alquiler de bicicletas, Llave de acceso, Escritorio, Para todas las edades, Baño al aire libre, Masaje corporal completo, WC, Terraza / solárium, Masaje de cuello, Bar, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Toallas, Habitaciones familiares, Español, Masaje de espalda, Zona poco profunda, Artículos de aseo gratis, Papel higiénico, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/348336991.jpg?k=fd3d7ef8613f12fa54b61714e132a993999f4b68e42da8710ed776a8a664a621&o=&hp=1,Santa Fe de Antioquia,Colombia
HOTEL SANTAFE NATURA - SANTAFE DE ANTIQUIA,https://www.booking.com/hotel/co/santafe-natura-santafe-de-antiquia.es.html?aid=2410095,"HOTEL SANTAFE NATURA - SANTAFE DE ANTIQUIA se encuentra en Santa Fe de Antioquia, a 3,9 km de Kanaloa Parque Acuático, y ofrece alojamiento con jardín, parking privado gratis y bar. El hotel dispone de piscina al aire libre, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel se sirve todas las mañanas un desayuno americano.

Puedes jugar al billar en HOTEL SANTAFE NATURA - SANTAFE DE ANTIQUIA.

El personal de recepción siempre está dispuesto a ofrecer información.

El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 58 km.","Desayuno, Prohibido fumar en todo el alojamiento, Cámaras de seguridad en las zonas comunitarias, Bar, Parking gratis, Habitaciones sin humo, Piscina al aire libre, Billar, Habitaciones familiares, Español, Desayuno en la habitación, Recepción 24 horas, Aire acondicionado, WiFi gratis, Jardín, Servicio de habitaciones, Para todas las edades, Bañera de hidromasaje / jacuzzi",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550361281.jpg?k=6f66fd724144ef264c50b8f8b2b52ccbe3b99d3f7bd5dfe1d0be02b1c4727cad&o=&hp=1,Santa Fe de Antioquia,Colombia
Nueva Granada Hotel Colonial -Centro Histórico-,https://www.booking.com/hotel/co/colonial-nueva-granada.es.html?aid=2410095,"Nueva Granada Hotel Colonial -Centro Histórico- dispone de jardín, salón de uso común, terraza y restaurante en Santa Fe de Antioquia. El alojamiento cuenta con bar y se encuentra a 2,6 km de Kanaloa Parque Acuático. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones tienen escritorio. Las habitaciones del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones están equipadas con balcón. En Nueva Granada Hotel Colonial -Centro Histórico-, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

El alojamiento ofrece zona de juegos infantil. Se puede jugar al billar en Nueva Granada Hotel Colonial -Centro Histórico-, y también hay alquiler de bicicletas.

Embajada de China está a 50 km del alojamiento. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 57 km del alojamiento.","Terraza, Spa y centro de bienestar, Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Baño privado, Jardín, Extintores, Instalaciones de spa, Ropa de cama, Servicio de habitaciones, Masaje de pies, Zona de juegos interior, Mobiliario exterior, Masaje de cabeza, Alquiler de bicicletas, Restaurante, Masaje de espalda, Sala de juegos, Servicio de entrega de comestibles, Cenas temáticas, Aire acondicionado, Solárium, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Desayuno fabuloso, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Taquillas en el gimnasio / spa, Canales por cable, Piscina al aire libre, Desayuno en la habitación, Escritorio, Salas de reuniones / banquetes, Masaje de cuello, Adaptado personas de movilidad reducida, Habitaciones familiares, Sombrillas, Papel higiénico, Fax / fotocopiadora, Juegos de mesa / puzles, Almuerzos para llevar, Caja fuerte, Masaje de manos, TV, Masajes, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Bañera de hidromasaje / jacuzzi, Barbacoa, Servicio de planchado, Guardaequipaje, Terraza / solárium, Bar, TV de pantalla plana, Toallas, Español, Nevera, Zona de fumadores, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Recepción 24 horas, Masaje en pareja, Vino / champán, Perchero, Información turística, Snack-bar, Fruta, Ducha, Bidet, Servicio de lavandería, Masaje corporal completo, Piscina infantil, Billar, Minibar, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/185865679.jpg?k=c026ccff6a690db22d77f3e60f973f7c65a8d14c046812a887111106d917734d&o=&hp=1,Santa Fe de Antioquia,Colombia
Hosteria de la Plaza Menor,https://www.booking.com/hotel/co/hosteria-de-la-plaza-menor.es.html?aid=2410095,"Hosteria de la Plaza Menor se encuentra en Santa Fe de Antioquia, a 3,2 km de Kanaloa Parque Acuático, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. El hotel dispone de piscina al aire libre, servicio de conserjería y wifi gratis.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones incluyen baño privado, artículos de aseo gratuitos y ropa de cama.

El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 58 km del alojamiento.","Terraza, Baños públicos, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Jardín, Aire acondicionado, TV, Perchero, Información turística, Parking gratis, Servicio de conserjería, Entrada privada, Desayuno fabuloso, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Zona de fumadores, Adecuada para niños, Canales por cable, Salas de reuniones / banquetes, Terraza / solárium, Piscina infantil, Bar, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, 2 piscinas, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/69645568.jpg?k=f5bee4e94bb2aa322b0091a036350e09d790ef8e72619d677c011cd273970baa&o=&hp=1,Santa Fe de Antioquia,Colombia
Hospedaje la Glorieta,https://www.booking.com/hotel/co/hospedaje-la-glorieta-santa-fe-de-antioquia.es.html?aid=2410095,"Hospedaje la Glorieta se encuentra en Santa Fe de Antioquia, en la región de Antioquia, y ofrece alojamiento con wifi gratis y parking privado gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

Kanaloa Parque Acuático está a 4,2 km del alojamiento. El aeropuerto más cercano (Aeropuerto Olaya Herrera) está a 59 km.","Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Ventilador, Baño privado, Jardín, TV, Información turística, Parking gratis, Registro de entrada / salida privado, Ropa de cama, WiFi gratis, Ducha, Proporciona factura, Canales por cable, Servicio de lavandería, WC, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/105885370.jpg?k=43675cd1032b1152d1fb8d84a83239873496dd3cc0e4cc9e041ab4720f4f0551&o=&hp=1,Santa Fe de Antioquia,Colombia
