hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal Gualingo,https://www.booking.com/hotel/ec/gualingo.es.html?aid=2410095,"Hostal Gualingo, que tiene jardín y terraza, está en Santa Rosa. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

En el hostal o pensión, las habitaciones incluyen armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también cuentan con vistas a la ciudad. En Hostal Gualingo, cada habitación cuenta con TV de pantalla plana con canales por cable.

Se puede jugar al billar en el alojamiento, y la zona es ideal para practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional de Santa Rosa) está a 5 km.","Sala de juegos, Parking en un garaje, Zona de comedor exterior, Zona de juegos interior, Billar, Zona de comedor, Parking gratis, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Mobiliario exterior, WiFi gratis, TV, Inglés, Pesca, WC, Canales por cable, Libros, DVD o música para niños, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Información turística, Juegos de mesa / puzles, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Extintores, Zona de pícnic, Recepción 24 horas, Suelo de baldosa / mármol, TV de pantalla plana, Ducha, Senderismo, Desayuno fabuloso, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/191393943.jpg?k=c362b727a2233f634cdadb775ba8243b97c2218ebc2bc49a1a510f930a2e3d62&o=&hp=1,Santa Rosa,Ecuador
Puerto Bello,https://www.booking.com/hotel/ec/puerto-bello.es.html?aid=2410095,"Puerto Bello se encuentra en Santa Rosa.

El apartamento también ofrece 1 baño.

El apartamento ofrece desayuno a la carta o continental.

El aeropuerto más cercano (Aeropuerto internacional de Santa Rosa) está a 4 km del alojamiento.","Prohibido fumar en todo el alojamiento, Inglés, Desayuno, Alemán, Parking gratis, Español, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537623495.jpg?k=dc0f50aff96dd3b4d65a353874d4479578555f087ec9e5e0f80f34c24d8fb5f7&o=&hp=1,Santa Rosa,Ecuador
Casa Estrella Santa Rosa,https://www.booking.com/hotel/ec/casa-amoblada-en-santa-rosa.es.html?aid=2410095,"La Casa Estrella Santa Rosa se encuentra en Santa Rosa y ofrece alojamiento con WiFi gratuita. Esta casa tiene patio.

Esta casa cuenta con aire acondicionado, 3 dormitorios, TV de pantalla plana por cable, zona de comedor y cocina. La casa también dispone de un baño con ducha.

La recepción ofrece consejos turísticos sobre la zona.","Cafetera, Prohibido fumar en todo el alojamiento, Mesa de comedor, Canales vía satélite, Vistas al jardín, Zona de cocina, Zona de comedor, Parking gratis, Bañera o ducha, Zona de estar, Habitaciones hipoalergénicas, Armario, Papel higiénico, Seguridad 24 horas, Utensilios de cocina, WiFi gratis, Lavavajillas, TV, Nevera, Toallas / sábanas (por un suplemento), Canales por cable, Acceso a pisos superiores solo mediante escaleras, Toallas, Adosado, Jardín, Artículos de aseo gratis, Microondas, Independiente, Piscina infantil, Muebles de exterior, Horno, Español, Baño privado, Patio, Aire acondicionado, Fogones, Enchufe cerca de la cama, Recepción 24 horas, Cocina, Baño compartido, TV de pantalla plana, Entrada privada, Ducha, Habitaciones familiares, Tostadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/141310334.jpg?k=9bd80887b299f374744da30587b90f69943221de5fc2d09b3475bdeef6220873&o=&hp=1,Santa Rosa,Ecuador
Hosteria El Edén de Maria Isabel,https://www.booking.com/hotel/ec/cabana.es.html?aid=2410095,"Hosteria El Edén de Maria Isabel tiene piscina al aire libre, jardín, restaurante y bar en Santa Rosa. Este alojamiento ofrece cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Se ofrece servicio de traslado.

En el hotel, cada habitación dispone de un patio con vistas al jardín. Las habitaciones incluyen caja fuerte, y algunas también ofrecen vistas a la piscina. Todas las habitaciones cuentan con nevera.

El aeropuerto (Aeropuerto internacional de Santa Rosa) está a 12 km.","Minibar, Fruta, Vistas al jardín, Zona de juegos interior, Barbacoa, Servicio de planchado, Suelo de madera o parquet, Desayuno, Clases de yoga, Parking gratis, Sombrillas, Aseo adicional, Tours en bici, Servicio de limpieza diario, Llave de acceso, Perchero, Caja fuerte, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, 3 piscinas, Cocina compartida, Servicio de lavandería, Habitaciones insonorizadas, Bar, WiFi gratis, Lavavajillas, Cámaras de seguridad fuera del alojamiento, Piscina pequeña, Inglés, Para todas las edades, Nevera, Baños públicos, WC, Servicio de traslado, Servicio de habitaciones, Cenas temáticas, Zona de fumadores, Vino / champán, Jardín, Secador de pelo, Cafetería en el alojamiento, Tours a pie, Abierta todo el año, Muebles de exterior, Español, Aire acondicionado, Patio, Bingo, Parking en la calle, Zona poco profunda, Habitaciones sin humo, Vistas, Restaurante, Vestidor, Extintores, Servicio de despertador / alarma, Tendedero, Entrada privada, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/410001298.jpg?k=9b9735b0899cbf240b26731eb534d9684bebde8aa0c666e69dc9e27532f555fc&o=&hp=1,Santa Rosa,Ecuador
La Pollera,https://www.booking.com/hotel/ec/la-pollera.es.html?aid=2410095,"La Pollera se encuentra en Santa Rosa y ofrece alojamiento con wifi gratis y parking privado gratis.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto más cercano (Aeropuerto internacional de Santa Rosa) está a 10 km.","Armario, Papel higiénico, Vistas, Jardín, WiFi gratis, Inglés, Parking gratis, WC, Bañera, Español, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523469902.jpg?k=e0a6ef6579df8f7dd48fbd12fb6b008d7ba1f4838515872cb76c161a0057acf8&o=&hp=1,Santa Rosa,Ecuador
REEC Machala by Oro Verde Hotels,https://www.booking.com/hotel/ec/greenport-amp-suites.es.html?aid=2410095,"El REEC Machala by Oro Verde Hotels se encuentra en Machala y ofrece piscina al aire libre, bar, salón compartido y WiFi gratuita en todas las instalaciones. Este hotel de 5 estrellas. Cuenta con recepción 24 horas, cocina compartida y servicio de organización de excursiones.

Las habitaciones incluyen escritorio, TV de pantalla plana y baño privado. Todas las habitaciones del Greenport Hotel & Suites tienen aire acondicionado y armario.

El establecimiento sirve un desayuno continental o buffet.

El REEC Machala by Oro Verde Hotels cuenta con bañera de hidromasaje.

Estamos ubicados a pocos kilómetros de la zona comercial y financiera de Machala.","Prohibido fumar en todo el alojamiento, Canales vía satélite, Servicio de planchado, Sombrillas, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Bar, Mobiliario exterior, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Piscina pequeña, Para todas las edades, Inglés, Baños públicos, Menú para niños, Gimnasio, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Zona de fumadores, Toallas, Vino / champán, Snack-bar, Artículos de aseo gratis, Información turística, Toallas de playa/piscina, Productos de limpieza, Ascensor, Abierta todo el año, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Restaurante, Enchufe cerca de la cama, Extintores, Servicio de despertador / alarma, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Reloj despertador, Horario de apertura, Desayuno fabuloso, Teléfono, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437347136.jpg?k=0a78963307d8f3e14bddee0f772bf7a931c82cd5807b46d90b35fe3a044951cf&o=&hp=1,Santa Rosa,Ecuador
Hillary Nature Resort & Spa All Inclusive,https://www.booking.com/hotel/ec/hillary-nature-resort.es.html?aid=2410095,"Este complejo de todo incluido situado en Arenillas cuenta con una piscina al aire libre, un parque zoológico privado, un gimnasio, conexión Wi-Fi gratuita y un spa. También hay un jardín y un restaurante. El centro de Machala se encuentra a 35 km.

Las suites y bungalows del Hillary Nature Resort & Spa tienen un ambiente tranquilo, baño privado, TV por cable y minibar.

El bungalow superior cuenta con una bañera de hidromasaje y un balcón con vistas panorámicas.

El Hillary Nature Resort & Spa se encuentra a 35 km del puerto de Bolívar y a 30 km del Bosque Petrificado de Puyango. El aeropuerto de Santa Rosa está a 15 km del hotel. Hay aparcamiento privado gratuito.",,https://cf.bstatic.com/xdata/images/hotel/max1024x768/321274810.jpg?k=f158ffde3849bf8784e3fb686736e5bb69ce1b0ca1061833d925ba775e0dfe14&o=&hp=1,Santa Rosa,Ecuador
"Acogedora Suite Privada, En Ciudadela Privada",https://www.booking.com/hotel/ec/acogedora-suite-privada-en-ciudadela-privada.es.html?aid=2410095,"Acogedora Suite Privada, En Ciudadela Privada se encuentra en Machala. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con nevera y lavavajillas. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional de Santa Rosa) está a 29 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de cocina, Parking gratis, Aseo adicional, Armario, Papel higiénico, WiFi gratis, Lavavajillas, TV, Inglés, Nevera, Hervidor eléctrico, WC, Toallas, Microondas, Independiente, Español, Aire acondicionado, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Cocina, Guardaequipaje, TV de pantalla plana, Ropa de cama, Entrada privada, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582073155.jpg?k=042350f8c9c1952b6036495747b0f06aff37add7bab798b1841589a5a2caf190&o=&hp=1,Santa Rosa,Ecuador
Hotel Adriand's,https://www.booking.com/hotel/ec/adriand-39-s.es.html?aid=2410095,"Hotel Adriand's tiene piscina al aire libre, jardín, salón de uso común y terraza en Machala. Este hotel de 4 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, todas las habitaciones tienen escritorio y TV de pantalla plana. Algunas habitaciones incluyen cocina con nevera y microondas. En Hotel Adriand's, las habitaciones tienen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno continental.

En Hotel Adriand's, la clientela puede disfrutar de bañera de hidromasaje.

El aeropuerto (Aeropuerto internacional de Santa Rosa) está a 31 km.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Parking gratis, Sombrillas, Aseo adicional, Perchero, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Detectores de humo, WiFi gratis, Para todas las edades, Baños públicos, Canales por cable, Lavamanos más bajo, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Español, Máquina expendedora (bebidas), Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ropa de cama, Horario de apertura, Adaptado personas de movilidad reducida, Habitaciones familiares, Tarjeta de acceso, Fruta, Baño al aire libre, Armario, Vistas a un lugar de interés, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Habitaciones sin humo, Vistas, WC elevado, Guardaequipaje, Buen desayuno, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Tobogán de agua, Servicio de limpieza diario, Barandillas protectoras para bebés, Salas de reuniones / banquetes, Acceso al salón executive, Papel higiénico, Servicio de lavandería, Servicio de aparcacoches, TV, Cámaras de seguridad fuera del alojamiento, Snack-bar, Guiado auditivo, Abierta todo el año, Bañera, Baño privado, Aire acondicionado, Piscina al aire libre, Vestidor, Escritorio, Lavadora, Adaptado para sillas de ruedas, Ducha, Calefacción, Teléfono, Canales vía satélite, Servicio de despertador, Caja fuerte, Seguridad 24 horas, Bar, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Acceso a pisos superiores en ascensor, Toallas, Información turística, Ascensor, WC con barras de apoyo, Recepción 24 horas, Desayuno en la habitación, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/268397681.jpg?k=ae60a62381c4808c0dff7a36f9ba0900d91887df0af9b68e5a7f9be3c7711c8c&o=&hp=1,Santa Rosa,Ecuador
Hotel Veuxor,https://www.booking.com/hotel/ec/veuxor-machala.es.html?aid=2410095,"El Hotel Veuxor se encuentra en Machala, Ecuador, y ofrece restaurante, centro de fitness y conexión WiFi gratuita. El parque Juan Montalvo está a 3 minutos en coche del hotel.

Todas las habitaciones tienen TV de pantalla plana por cable y aire acondicionado. También incluye minibar y nevera pequeña. El baño privado incluye ducha o bañera y secador de pelo.

El Veuxor Hotel alberga un bar. El establecimiento cuenta con recepción 24 horas, mostrador de información turística, servicio de lavandería y aparcamiento gratuito.

 El aeropuerto de Santa Rosa está a 30 km. La catedral de Machala se encuentra a 5 minutos a pie del Ecuador Hotel Veuxor.","Parking en un garaje, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Servicio de planchado, Menús para dietas especiales (bajo petición), Parking gratis, Masajes, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Caja fuerte, Habitaciones hipoalergénicas, Servicio de lavandería, Servicio de aparcacoches, Bar, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Masaje corporal completo, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Información turística, Toallas de playa/piscina, Fax / fotocopiadora, Almuerzos para llevar, Ascensor, Desayuno fantástico, Español, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Extintores, Recepción 24 horas, Guardaequipaje, Desayuno en la habitación, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/284020781.jpg?k=8c59a98cfa2a205f8b1608041fad7931d709305db89c524bcdb836b50bad4905&o=&hp=1,Santa Rosa,Ecuador
