hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hospedaje Villa Justina,https://www.booking.com/hotel/pe/hospedaje-villa-justina.es.html?aid=2410095,"Hospedaje Villa Justina está en Santa Eulalia y dispone de wifi gratis, piscina al aire libre, jardín y salón de uso común.

En la casa rural se puede disfrutar de un desayuno continental.

En Hospedaje Villa Justina, la clientela puede usar la terraza.

Museo Nacional de la Cultura Peruana está a 45 km del alojamiento. El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 72 km.","Prohibido fumar en todo el alojamiento, Desayuno, Sombrillas, Terraza, Seguridad 24 horas, Papel higiénico, Cocina compartida, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Para todas las edades, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Toallas, Jardín, Artículos de aseo gratis, Juegos de mesa / puzles, Abierta todo el año, Español, Piscina de agua salada, Piscina al aire libre, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, Ropa de cama, Ducha, Horario de apertura, Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521948675.jpg?k=d37292866488d5c018a4bb9e6a8520d2f5fcdbf0b90fe4b8f033f5c1169d8088&o=&hp=1,Santa,Perú
Albano habitación acústica cocina y baño,https://www.booking.com/hotel/pe/albano-habitacion-completa-acustica.es.html?aid=2410095,"Albano habitación acústica cocina y baño se encuentra en Chosica, a 43 km de Museo de la Nación, a 43 km de Museo de la Santa Inquisición y a 43 km de Iglesia de las Nazarenas. Este apartamento ofrece parking privado gratis, recepción 24 horas y wifi gratis.

El apartamento cuenta con 1 dormitorio, una cocina totalmente equipada con nevera y microondas, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Plaza San Martín está a 44 km del alojamiento, y Palacio de Gobierno del Perú está a 44 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 54 km del alojamiento.","Cafetera, Protector de enchufes para niños, Utensilios de planchado, Prohibido fumar en todo el alojamiento, Zona de cocina, Plancha para pantalones, Plancha para ropa, Parking gratis, Italiano, Llave de acceso, Servicio de limpieza diario, Perchero, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Cama plegable, Toda la unidad en la planta baja, Utensilios de cocina, Habitaciones insonorizadas, Apartamento privado en edificio, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Cámaras de seguridad en las zonas comunitarias, Toallas, Vino / champán, Adosado, Artículos de aseo gratis, Microondas, Secador de pelo, Registro de entrada / salida privado, Independiente, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Insonorización, Servicio de streaming (como Netflix), Cocina, Suelo de baldosa / mármol, Recepción 24 horas, Cesta para mascotas, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580409570.jpg?k=1c58f644beb60251e1d8f1321287839fa786b7b60f1e68ae5fc83742e9f348f2&o=&hp=1,Santa,Perú
Albano Habitación con cocina y baño,https://www.booking.com/hotel/pe/albano-habitacion-con-cocina-y-bano.es.html?aid=2410095,"Albano Habitación con cocina y baño está en Mariscal Castilla, a 43 km de Museo de la Nación, a 43 km de Museo de la Santa Inquisición y a 43 km de Iglesia de las Nazarenas. Este apartamento dispone de parking privado gratis, recepción 24 horas y wifi gratis.

El apartamento dispone de 1 dormitorio, una cocina totalmente equipada con nevera y microondas, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Plaza San Martín está a 44 km del alojamiento, y Palacio de Gobierno del Perú está a 44 km. El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 54 km.","Cafetera, Minibar, Protector de enchufes para niños, Prohibido fumar en todo el alojamiento, Zona de cocina, Plancha para ropa, Parking gratis, Italiano, Cambio de moneda, Llave de acceso, Perchero, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Utensilios de cocina, Apartamento privado en edificio, WiFi gratis, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, Toallas / sábanas (por un suplemento), Cámaras de seguridad en las zonas comunitarias, Toallas, Adosado, Registro de entrada / salida privado, Artículos de aseo gratis, Microondas, Secador de pelo, Independiente, Productos de limpieza, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Servicio de streaming (como Netflix), Cocina, Recepción 24 horas, Cesta para mascotas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Entrada privada, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580074724.jpg?k=7fc1d956226272f096f150d2088e79ae9b7a3d5a94371212b1a73c13448c53a7&o=&hp=1,Santa,Perú
Don jose,https://www.booking.com/hotel/pe/don-jose.es.html?aid=2410095,"Don jose está en Lima y cuenta con bar. Este alojamiento, que tiene servicio de habitaciones, también ofrece restaurante. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, las habitaciones incluyen baño privado con ducha.

En Don jose se puede disfrutar de un desayuno a la carta.

El aeropuerto (Aeropuerto internacional Jorge Chávez) está a 64 km.","Habitaciones sin humo, Papel higiénico, Terraza, Prohibido fumar en todo el alojamiento, Bar, WiFi gratis, Inglés, Desayuno, Parking gratis, WC, Ducha, Español, Baño privado, Servicio de habitaciones, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564382292.jpg?k=1f34771e4317143210cd9318116886fa521402833907b27245153a8eabf9c69c&o=&hp=1,Santa,Perú
Casa Campestre El Huerto,https://www.booking.com/hotel/pe/casa-campestre-el-huerto.es.html?aid=2410095,"Casa Campestre El Huerto está en Ricardo Palma y dispone de alojamiento con piscina privada, balcón y vistas al jardín. El alojamiento, que se encuentra a 42 km de Museo de la Nación, ofrece terraza y parking privado gratis.

La villa se compone de 2 dormitorios, una zona de cocina totalmente equipada y 2 baños. Se ofrece TV de pantalla plana.

Museo de la Santa Inquisición está a 43 km del alojamiento, y Iglesia de las Nazarenas está a 44 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 54 km del alojamiento.","Terraza, Prohibido fumar en todo el alojamiento, Vistas al jardín, WiFi gratis, Baño compartido, Zona de cocina, Inglés, TV de pantalla plana, Parking gratis, Español, Baño privado, Piscina privada, 2 piscinas, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/465134493.jpg?k=30a31d483f4daae3d28fbe3daa56efa1301bd82a9170b51a6a2821d9370f2824&o=&hp=1,Santa,Perú
casa de campo con huerta al aire libre,https://www.booking.com/hotel/pe/casa-de-campo-con-huerta-al-aire-libre.es.html?aid=2410095,"Casa de campo con huerta al aire libre se encuentra a solo 45 km de Museo de la Nación y dispone de alojamiento en Lima con piscina de temporada al aire libre y terraza, además de recepción 24 horas. Esta casa o chalet dispone de piscina privada, jardín y parking privado gratis.

Esta casa o chalet de 5 dormitorios ofrece wifi gratis, TV de pantalla plana por cable y cocina con lavavajillas y horno.

La casa o chalet ofrece zona de juegos infantil.

Museo de la Santa Inquisición está a 46 km del alojamiento, y Iglesia de las Nazarenas está a 47 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 57 km del alojamiento.","Sala de juegos, Cafetera, Utensilios de planchado, Mesa de comedor, Zona de comedor exterior, Barbacoa, Vistas al jardín, Zona de cocina, Registro de entrada y salida exprés, Desayuno, Plancha para ropa, Zona de comedor, Parking gratis, Piscina con vistas, Sombrillas, Cambio de moneda, Buffet para niños, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Utensilios de cocina, Servicio de conserjería, WiFi gratis, Lavavajillas, TV, Piscina pequeña, Cámaras de seguridad fuera del alojamiento, Inglés, Habitaciones comunicadas disponibles, Hervidor eléctrico, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Piscina privada, 2 piscinas, Terraza / solárium, Solo para adultos, Toallas de playa/piscina, Jardín, Artículos de aseo gratis, Secador de pelo, Registro de entrada / salida privado, Piscina infantil, Productos de limpieza, Muebles de exterior, Horno, Español, Adecuada para niños, Zona poco profunda, Enchufe cerca de la cama, Vistas, Extintores, Zona de juegos para niños, Recepción 24 horas, Cocina, Tendedero, TV de pantalla plana, Entrada privada, De temporada, Tetera / cafetera, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/455435401.jpg?k=d1ce423ff4be5efbb3d5f07e2022c3e46432fc082dbec9e9f3879a9103c267c8&o=&hp=1,Santa,Perú
Hostal Sol de Chosica,https://www.booking.com/hotel/pe/hostal-sol-de-chosica-chosica.es.html?aid=2410095,"Hostal Sol de Chosica se encuentra en Chosica, a 38 km de Museo de la Nación, y ofrece alojamiento con piscina al aire libre, parking privado gratis, jardín y terraza. El alojamiento cuenta con bar y se encuentra a 38 km de Museo de la Santa Inquisición. El hostal o pensión también dispone de wifi gratis y servicio de traslado de pago para ir o volver del aeropuerto.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Algunas habitaciones también están equipadas con cocina con nevera, lavavajillas y microondas.

Iglesia de las Nazarenas está a 39 km del alojamiento, y Plaza San Martín está a 39 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 49 km del alojamiento.","Zona de juegos interior, Desayuno, Billar, Parking gratis, Traslado aeropuerto, Terraza, Bañera o ducha, Papel higiénico, Vistas a la piscina, Bar, WiFi gratis, TV, Para todas las edades, Tetera/cafetera en todas las habitaciones, WC, Servicio de traslado, Proporciona factura, Toallas, Jardín, Juegos de mesa / puzles, Abierta todo el año, Bañera, Español, Equipamiento de juegos para exterior, Piscina al aire libre, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona de pícnic, TV de pantalla plana, Vídeo, Tetera / cafetera, Ducha, Ping pong, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/326267822.jpg?k=39a904160e78154480c499ea2ce86e9da2a3e16ef9875f8512be95839acae4e0&o=&hp=1,Santa,Perú
Hostal Kmr,https://www.booking.com/hotel/pe/hostal-kmr.es.html?aid=2410095,"Hostal Kmr se encuentra en Chosica, a 40 km de Museo de la Nación, y ofrece servicio de conserjería, jardín, wifi gratis y terraza. El alojamiento está a unos 40 km de Museo de la Santa Inquisición, a 41 km de Iglesia de las Nazarenas y a 42 km de Plaza San Martín. Todas las habitaciones están equipadas con TV de pantalla plana con canales por cable.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también disponen de vistas a la ciudad. En el hostal o pensión, todas las habitaciones disponen de ropa de cama y toallas.

Palacio de Gobierno del Perú está a 42 km del alojamiento, y Larcomar está a 48 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 52 km.","Mesa de comedor, Aseo adicional, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Papel higiénico, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), WC, Canales por cable, Proporciona factura, Portugués, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Juegos de mesa / puzles, Español, Baño privado, Enchufe cerca de la cama, Extintores, Zona de pícnic, TV de pantalla plana, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/362243612.jpg?k=de1d4b685f5d3616c0c2462d9c7321b877b9d52abc9ed4793c489286f28cccfb&o=&hp=1,Santa,Perú
Castamar,https://www.booking.com/hotel/pe/castamar.es.html?aid=2410095,"Castamar está en Mariscal Castilla, a 42 km de Plaza San Martín y a 43 km de Palacio de Gobierno del Perú. El alojamiento se encuentra a 42 km de Museo de la Nación, a 42 km de Museo de la Santa Inquisición y a 42 km de Iglesia de las Nazarenas. El hotel libre de humo cuenta con wifi gratis en todo el alojamiento.

Cada habitación está equipada con baño privado con ducha, algunas ofrecen terraza y otras también ofrecen vistas a la ciudad. En el hotel, todas las habitaciones tienen armario y TV de pantalla plana.

Larcomar está a 50 km del alojamiento, y Centro de Convenciones de Lima está a 42 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 52 km del alojamiento.","Prohibido fumar en todo el alojamiento, Piscina con vistas, Parking gratis, Armario, Papel higiénico, WiFi gratis, Piscina pequeña, Para todas las edades, WC, Toallas, Abierta todo el año, Español, Baño privado, Zona poco profunda, Habitaciones sin humo, Piscina interior, TV de pantalla plana, Ducha, Piscina en la azotea, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/568161244.jpg?k=a7fbc8eec7ace8517098913f74ab38e5f630593c57c1b007445d180a26a6b3c7&o=&hp=1,Santa,Perú
casa campestre marina,https://www.booking.com/hotel/pe/casa-campestre-marina.es.html?aid=2410095,"Casa campestre marina se encuentra en Chaclacayo, a solo 36 km de Museo de la Nación, y ofrece alojamiento con terraza, bar y wifi gratis. Este chalet de montaña dispone de piscina privada, jardín y parking privado gratis.

Este chalet de montaña se compone de 5 dormitorios independientes, una cocina totalmente equipada y 3 baños. Se ofrece TV de pantalla plana.

Museo de la Santa Inquisición está a 36 km del alojamiento, y Iglesia de las Nazarenas está a 38 km. El aeropuerto más cercano (Aeropuerto internacional Jorge Chávez) está a 48 km.","Jardín, Vistas, Terraza, Bar, Cocina, WiFi gratis, Zona de cocina, Inglés, Piscina, TV de pantalla plana, Parking gratis, Lavadora, Español, Baño privado, Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/483449158.jpg?k=5c8c06f6b2f6253804b17734d2f17f3031815bf8ad1305c3235c9c87e0f95c64&o=&hp=1,Santa,Perú
