hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal & Café Travelers,https://www.booking.com/hotel/pa/hostal-travelers.es.html?aid=2410095,"Hostal & Café Travelers se encuentra en Santiago de Veraguas, a 6 min a pie de Estadio Omar Torrijos, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece restaurante, cocina compartida y servicio de habitaciones, además de wifi gratis en todo el alojamiento. El bar es ideal para tomar algo.

En el hostal o pensión, todas las habitaciones están equipadas con escritorio. Hostal & Café Travelers dispone de algunas habitaciones con vistas al jardín, y todas cuentan con patio. En el alojamiento, cada habitación incluye ropa de cama y toallas.

Hostal & Café Travelers ofrece barbacoa. La zona es ideal para practicar ciclismo, y en el hostal o pensión hay alquiler de bicicletas.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 148 km del alojamiento.","Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Sala de juegos, Registro de entrada / salida privado, Masaje de espalda, Gimnasio, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Tours en bici, Guardaequipaje, Restaurante, Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Desayuno fabuloso, Traslado aeropuerto (gratis), Tours a pie, Aire acondicionado, Masajes, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Clases de cocina, Español, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Clases de yoga, Ropa de cama, Terraza, WiFi gratis, Mobiliario exterior, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Juegos de mesa / puzles, Seguridad 24 horas, Bar, Patio, Habitaciones familiares, Alquiler de bicicletas, Boles para mascotas, Papel higiénico, Masaje corporal completo, Llave de acceso, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Noches de cine, Cámaras de seguridad fuera del alojamiento, Ciclismo, Servicio de traslado, Barbacoa, Bingo, Artículos de aseo gratis, Snack-bar, Happy hour, Taquillas, WC, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/556960109.jpg?k=1f43fbe92faa7aba7aacb4f2eef60c9d7b71482daab304fdfc7b98f3ba6ce831&o=&hp=1,Santiago,Panamá
Mi Casa Hotel - En Santiago Veragua,https://www.booking.com/hotel/pa/mi-casa-plaza-corotu.es.html?aid=2410095,"Mi Casa Hotel - En Santiago Veragua dispone de alojamiento en Santiago de Veraguas. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento libre de humo está a 1,9 km de Estadio Omar Torrijos.

El aeropuerto (Aeropuerto de Chitré-Alonso Valderrama) está a 76 km.","Servicio de habitaciones, Habitaciones familiares, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Español, Inglés, Traslado aeropuerto, Recepción 24 horas, Traslado aeropuerto (gratis), Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578758000.jpg?k=ec756f9c16cc75b8e485156abe676164d5b477a2bd05ab27b7cc7fe73288c612&o=&hp=1,Santiago,Panamá
Hotel Mykonos,https://www.booking.com/hotel/pa/mykonos.es.html?aid=2410095,"El Hotel Mykonos está ubicado en Santiago, a menos de 5 minutos en coche del centro de la localidad, y cuenta con piscina exterior con encanto y restaurante amplio con platos a la carta. Además, alberga un gimnasio y un spa.

Las habitaciones son modernas y disponen de aire acondicionado, WiFi gratuita, escritorio y TV de pantalla plana con canales por cable. También tienen caja fuerte, cafetera y baño privado con ducha y aseo.

El Hotel Mykonos cuenta con instalaciones amplias para reuniones, parque infantil y mostrador de información turística. El bar del hotel es amplio y ofrece una gran selección de bebidas. El desayuno gratuito está incluido.

Se encuentra a 5 minutos en coche del aeropuerto Rubén Cantú y a 45 minutos en coche del parque nacional La Yeguada. Hay aparcamiento gratuito en el hotel.","Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Spa y centro de bienestar, Canales por cable, Salas de reuniones / banquetes, Escritorio, Clases de fitness, Desayuno, Cafetera, Sauna, Teléfono, Estación de carga de vehículos eléctricos, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Entrenador personal, Zona de spa / relajación, Masajes, Ducha, Centro de negocios, Parking gratis, Terraza / solárium, Baño de vapor, Servicios de depilación, Suelo de baldosa / mármol, Gimnasio, Español, Caja fuerte, Zona de juegos para niños, Servicio de lavandería, Inglés, Servicios de belleza, Tratamientos faciales, Exfoliación corporal, Habitaciones sin humo, Servicio de limpieza diario, Servicio de habitaciones, Masaje corporal completo, Instalaciones de spa, Tratamientos corporales, Armario, Jardín, Toallas, Información turística, WC, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/140281432.jpg?k=fa7bd3e70b7501c6848782a44658f6a72e0ce6d42d22b993b480c39917f6a299&o=&hp=1,Santiago,Panamá
Hotel Galeria,https://www.booking.com/hotel/pa/galeria.es.html?aid=2410095,"Hotel Galeria tiene jardín, terraza, restaurante y bar en Santiago de Veraguas. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de piscina al aire libre, centro de fitness, karaoke y salón de uso común.

En el hotel, todas las habitaciones disponen de armario. Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones disponen de zona de estar. Las unidades cuentan con escritorio y cafetera.

Estadio Omar Torrijos está a 16 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Pedasí) está a 147 km.","Restaurante, Baño privado, Noches de cine, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, WiFi gratis, Acceso a pisos superiores en ascensor, Horario de apertura, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Salas de reuniones / banquetes, Adecuada para niños, Fruta, Menú para niños, Fax / fotocopiadora, Escritorio, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Karaoke, Parking adaptado para personas de movilidad reducida, Servicio de despertador, Buen desayuno, Cafetera, Artículos de aseo gratis, Teléfono, Abierta todo el año, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Aire acondicionado, Ascensor, Baños públicos, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Plancha para ropa, Parking gratis, Terraza / solárium, Español, TV, Gimnasio, Detectores de humo, Registro de entrada y salida exprés, Inglés, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Vino / champán, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Habitaciones sin humo, Armario, Jardín, Alarma de seguridad, Llave de acceso, Almuerzos para llevar, Toda la unidad en la planta baja, Entretenimiento nocturno, Toallas, Desayuno en la habitación, Información turística, 2 piscinas, Tarjeta de acceso, Piscina infantil, Para todas las edades, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/276021563.jpg?k=e493a0fdb0f920e34223d17808965792f2e717a753b1675d2b04ab0212d964f6&o=&hp=1,Santiago,Panamá
Hotel Gran David,https://www.booking.com/hotel/pa/gran-david.es.html?aid=2410095,"Hotel Gran David está en Santiago de Veraguas, a 3,4 km de Estadio Omar Torrijos, y dispone de alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. Este hotel de 4 estrellas ofrece salón de uso común, servicio de habitaciones y wifi gratis. Hay bar.

En el hotel, cada habitación dispone de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones disponen de caja fuerte, algunas ofrecen terraza y otras también incluyen vistas a la ciudad. Todas las habitaciones cuentan con nevera.

Puedes jugar al tenis en Hotel Gran David.

El personal habla tanto inglés como español y estará encantado de dar consejos sobre la zona en recepción.

El aeropuerto (Aeropuerto de Pedasí) está a 145 km.","Baño privado, Zona TV / salón de uso compartido, Cama plegable, WiFi gratis, Tumbonas/sillas de playa, Tendedero, Parking en la calle, Spa y centro de bienestar, Mobiliario exterior, Canales por cable, Salas de reuniones / banquetes, Fax / fotocopiadora, Escritorio, Toallas / sábanas (por un suplemento), Barbacoa, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Servicio de despertador, Piscina al aire libre, Artículos de aseo gratis, Snack-bar, Equipamiento de tenis, Pista de tenis, Teléfono, Perchero, Secador de pelo, Ascensor, Bar, Recepción 24 horas, Aire acondicionado, Abierta todo el año, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Sofá, Entrada privada, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Gimnasio, TV, Caja fuerte, Suelo de baldosa / mármol, Inglés, Ruta de bares, Bañera o ducha, Utensilios de planchado, Sombrillas, Papel higiénico, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Armario, Bar en la piscina, Nevera, Jardín, Almuerzos para llevar, Toallas, Desayuno en la habitación, Ropa de cama, Acceso a pisos superiores en ascensor, Para todas las edades, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/46587168.jpg?k=95a609005ef0e992d5b915129fcc349bb9ab46370ca42a7c98cad99382c7881d&o=&hp=1,Santiago,Panamá
Black Lion Inn,https://www.booking.com/hotel/pa/black-lion-inn.es.html?aid=2410095,"Black Lion Inn se encuentra en Santiago de Veraguas, a 12 km de Estadio Omar Torrijos, y ofrece alojamiento con jardín, parking privado gratis y salón de uso común. El alojamiento dispone de cocina compartida y wifi gratis.

En el hostal o pensión, todas las habitaciones disponen de escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 136 km.","Baño privado, Zona TV / salón de uso compartido, Insonorización, Cama plegable, Tendedero, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Canales vía satélite, Zona de fumadores, Wifi rápida gratis (112 Mbps), Escritorio, Zona de estar, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Enchufe cerca de la cama, Servicio de despertador, Artículos de aseo gratis, Perchero, Seguridad 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Parking gratis, Español, TV, Suelo de baldosa / mármol, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Bañera o ducha, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Jardín, Llave de acceso, Habitaciones insonorizadas, Toallas, Ropa de cama, WC, TV de pantalla plana, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/388636227.jpg?k=8f8eccfd8ffdc056c26b57fbb2b49cd2b4430d30cc9b11867263a3f535fafb71&o=&hp=1,Santiago,Panamá
San Juan Loft,https://www.booking.com/hotel/pa/san-juan-loft.es.html?aid=2410095,"San Juan Loft se encuentra en Santiago de Veraguas, a 2,5 km de Estadio Omar Torrijos, y ofrece alojamiento con aire acondicionado y parking privado ofrece en el propio alojamiento. Este apartamento tiene acceso a una cocina totalmente equipada.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 135 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, Zona de cocina, Español, Inglés, Aire acondicionado, Escritorio",https://cf.bstatic.com/xdata/images/hotel/max1024x768/531793524.jpg?k=95deb75535ce710325d8de73d9d9103a55e6e8ee071864b123b30ec31420a852&o=&hp=1,Santiago,Panamá
Residencial derosas,https://www.booking.com/hotel/pa/residencial-derosas.es.html?aid=2410095,"Residencial derosas se encuentra en La Cruz de los Reyes, a 1,9 km de Estadio Omar Torrijos, y ofrece alojamiento con jardín, parking privado gratis y terraza. El hostal o pensión dispone de habitaciones familiares.

Las habitaciones del alojamiento tienen baño privado y wifi gratis, y algunas también cuentan con balcón.

El aeropuerto más cercano (Aeropuerto de Pedasí) está a 148 km.","Habitaciones familiares, Baño privado, Prohibido fumar en todo el alojamiento, Parking gratis, WiFi gratis, Jardín, Español, Inglés, Aire acondicionado, Terraza, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456921529.jpg?k=4030411e127df0db8335fcc2780b6959d0cad4946f72d45a4feed40f55b7b5f6&o=&hp=1,Santiago,Panamá
Hotel Vista Lago,https://www.booking.com/hotel/pa/vista-lago-santiago-district.es.html?aid=2410095,"Hotel Vista Lago se encuentra en Buena Vista, a 14 km de Estadio Omar Torrijos, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay bar.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana, balcón y baño privado con ducha. Las habitaciones cuentan con nevera.

El aeropuerto más cercano (Aeropuerto de Chitré-Alonso Valderrama) está a 91 km del alojamiento.","Restaurante, Baño privado, Prohibido fumar en todo el alojamiento, WiFi gratis, Vistas, Vistas a un patio interior, Canales por cable, Canales vía satélite, Escritorio, Toallas / sábanas (por un suplemento), Piscina privada, Vistas al jardín, Enchufe cerca de la cama, Buen desayuno, Parque acuático, Piscina al aire libre, Artículos de aseo gratis, Pista de tenis, Teléfono, Bar, Recepción 24 horas, Patio, Aire acondicionado, Ducha, Parking gratis, Español, TV, Suelo de baldosa / mármol, Caja fuerte, Inglés, Bañera o ducha, Vistas al lago, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Armario, Jardín, Toallas, Nevera, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486370673.jpg?k=7790d047728edd6469b4837977c59a82a0853aba5da24f1e3256a907e0a97e22&o=&hp=1,Santiago,Panamá
Salamanca Loft,https://www.booking.com/hotel/pa/salamanca-loft.es.html?aid=2410095,"Salamanca Loft, que cuenta con terraza, dispone de alojamiento en Los Güichiches con wifi gratis y vistas al jardín. El alojamiento, que se encuentra a 29 km de Estadio Omar Torrijos, ofrece jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto internacional Scarlett Martínez) está a 106 km del alojamiento.","Baño privado, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Utensilios de cocina, Escritorio, Zona de estar, Vistas al jardín, Enchufe cerca de la cama, Cafetera, Artículos de aseo gratis, Perchero, Fogones, Patio, Aire acondicionado, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Sofá, Entrada privada, Parking gratis, Español, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Sofá cama, Toda la unidad accesible en silla de ruedas, Papel higiénico, Nevera, Toda la unidad en la planta baja, Zona de cocina, Jardín, Llave de acceso, Cafetería en el alojamiento, Toallas, Información turística, Adosado, Ropa de cama, Zona de comedor, Terraza, Accesible para personas sordas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523152455.jpg?k=864d874ef693f5d0576a55d4ab3c75f11c5f50373811d823369cb51a57bb7865&o=&hp=1,Santiago,Panamá
