hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Sonetto,US$35,"7,4",Bien,299,https://cf.bstatic.com/xdata/images/hotel/max1024x768/321582609.webp?k=1901ca2ca58f79e2ff36d2ac804a6f730e681e63961143cd2dad0bcb5d5854a7&o=,https://www.booking.com/hotel/cl/sonetto.es.html?aid=2410095,"Para todas las edades, Restaurante, Terraza, Papel higiénico, Vino / champán, Guardaequipaje, Registro de entrada / salida privado, TV, Proporciona factura, Servicio de conserjería, Fruta, Habitaciones familiares, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Almuerzos para llevar, Perchero, Cafetería en el alojamiento, Caja fuerte, Piscina pequeña, Recepción 24 horas, Información turística, Español, Piscina al aire libre, Abierta todo el año, Salas de reuniones / banquetes, Extintores, Aire acondicionado, Ducha, Máquina expendedora (bebidas), Utensilios de planchado, Secador de pelo, Desayuno, Hervidor eléctrico, Servicio de limpieza diario, Cámaras de seguridad fuera del alojamiento, Desayuno en la habitación",Santiago,Chile,"Hotel Sonetto es un alojamiento de 3 estrellas que se encuentra en Santiago, a 9 min a pie de Cerro Santa Lucía, y que dispone de piscina al aire libre, terraza y restaurante. El alojamiento está a 3,8 km de Museo de la Memoria y los Derechos Humanos, a 4,7 km de Costanera Center y a 5,7 km de Teleférico San Cristóbal. El alojamiento ofrece recepción 24 horas, servicio de conserjería y servicio de organización de tours.

Las unidades de este alojamiento están equipadas con hervidor. Todas las unidades cuentan con aire acondicionado, caja fuerte y TV de pantalla plana.

En el hotel se sirve todas las mañanas un desayuno continental.

Cerca del alojamiento hay puntos de interés como La Chascona, Patio Bellavista y Museo de Arte Precolombino. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 17 km."
Four Points by Sheraton Santiago,US$88,"8,7",Fabuloso,828,https://cf.bstatic.com/xdata/images/hotel/max1024x768/463633739.webp?k=4210269f1c8389e632545c01b010fbe8ca3a7ec7b9dfdc8efd84d02319b33872&o=,https://www.booking.com/hotel/cl/four-points-by-sheraton-santiago.es.html?aid=2410095,"Portugués, Guardaequipaje, Escritorio, TV, Proporciona factura, Horario de apertura, Caja fuerte para ordenador portátil, Fruta, Happy hour, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Mobiliario exterior, Alarma de seguridad, Información turística, WiFi gratis, Piscina al aire libre, Toallas, Alquiler de bicicletas, Aire acondicionado, Toallas / sábanas (por un suplemento), Ducha, Utensilios de planchado, Insonorización, Teléfono, Zona TV / salón de uso compartido, Muy buen desayuno, Prohibido fumar en todo el alojamiento, De temporada, Piscina con vistas, Cámaras de seguridad fuera del alojamiento, Armario, Pediluvio, Servicio de despertador / alarma, Hipoalergénico, Servicio de planchado, Restaurante, Servicio de habitaciones, Apoyo visual: braille, Tumbonas/sillas de playa, Toallas de playa/piscina, Registro de entrada y salida exprés, Habitaciones sin humo, Enchufe cerca de la cama, Baño privado, Canales vía satélite, Radio, Extintores, Gimnasio, Zona poco profunda, 3 restaurantes, Ascensor, Apoyo visual: carteles táctiles, Servicio de lavandería, Plancha para ropa, Desayuno en la habitación, Para todas las edades, Ropa de cama, Acceso a pisos superiores en ascensor, Papel higiénico, Llave de acceso, Registro de entrada / salida privado, Centro de negocios, Habitaciones familiares, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Traslado aeropuerto, Cafetería en el alojamiento, Tendedero, WC con barras de apoyo, Snack-bar, Fax / fotocopiadora, Salas de reuniones / banquetes, Piscina en la azotea, Bañera o ducha, Campo de golf (a menos de 3 km), Adaptado personas de movilidad reducida, Seguridad 24 horas, Servicio de traslado, Servicio de despertador, Secador de pelo, WC, Hervidor eléctrico, Tours en bici, Canales por cable, Calefacción, Cambio de moneda, Terraza, Vino / champán, Bar, Vistas, Servicio de conserjería, Servicio de limpieza en seco, Perchero, Caja fuerte, Piscina pequeña, Recepción 24 horas, Habitaciones hipoalergénicas, Minibar, Sombrillas, Español, Habitaciones insonorizadas, Vistas a la ciudad, Reloj despertador, Adaptado para sillas de ruedas, Cafetera, Zona de fumadores, Tarjeta de acceso, Inglés, Plancha para pantalones",Santiago,Chile,"El Four Points Hotel de Santiago se encuentra junto al parque de Las Esculturas, a 200 metros de la estación de metro Los Leones, u cuenta con una piscina en la azotea con vistas a la cordillera de los Andes. El centro comercial Costanera está a 5 minutos a pie.

Las habitaciones del Four Points Sheraton Santiago ofrecen vistas panorámicas a la ciudad y disponen de TV de plasma con canales por cable, minibar y conexión a internet de alta velocidad.

El restaurante Buganvilia ofrece un menú variado de cocina local e internacional, así como una selección de los mejores vinos chilenos. Además, a solo unos minutos a pie del hotel hay muchos restaurantes.

El establecimiento incluye piscina al aire libre, vistas desde la terraza de la azotea, centro de fitness y bañeras de hidromasaje.

El Four Points Santiago está a menos de 20 minutos en coche del aeropuerto internacional y ofrece un servicio de traslado."
ibis Santiago Estacion Central,US$45,"7,7",Bien,6.177,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251939454.webp?k=37d205a60dd4c906bf65ae15a7a09b0cb0efb711bf3a447ae2cfd232ae92b354&o=,https://www.booking.com/hotel/cl/ibis-santiago-estacia3n-central.es.html?aid=2410095,"Servicio de planchado, Canales por cable, Restaurante, Calefacción, Guardaequipaje, Bar, Escritorio, Tour o clase sobre cultura local, TV, Servicio de limpieza en seco, Fruta, Habitaciones familiares, Parking gratis, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Habitaciones sin humo, Alarma de seguridad, Alquiler de coches, Perchero, Traslado aeropuerto, Baño privado, Cafetería en el alojamiento, Caja fuerte, Recepción 24 horas, Información turística, Español, WiFi gratis, Artículos de aseo gratis, Snack-bar, Fax / fotocopiadora, Adaptado personas de movilidad reducida, Extintores, Parking en un garaje, Seguridad 24 horas, Aire acondicionado, Ducha, Servicio de traslado, Servicio de despertador, Secador de pelo, Ascensor, Desayuno, WC, Parking adaptado para personas de movilidad reducida, Teléfono, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Servicio de lavandería",Santiago,Chile,"El Ibis Santiago EstaciÃ³n Central ofrece restaurante, bar y habitaciones con WiFi gratuita y TV por cable en Santiago, al lado de la estación principal de autobuses de la ciudad. Se sirve un desayuno buffet por un suplemento.

Las habitaciones del Ibis Santiago disponen de suelo y mobiliario de madera, aire acondicionado y baño privado.

El IBIS Kitchen Restaurant ofrece una amplia variedad de platos internacionales. Los huéspedes también pueden disfrutar de una copa en el bar del hotel.

El Ibis Santiago EstaciÃ³n Central está al lado de la estación de metro Santiago, que ofrece conexiones directas con los principales lugares de interés turístico. El hotel está junto a la estación central, que ofrece conexiones en autobús durante todo el día con lugares como Valparaíso, Viña del Mar y otras ciudades. 

El aeropuerto internacional Arturo Merino Benítez está a 14 km del hotel.

El registro de salida después de lo habitual conlleva los siguientes suplementos:
- Si se deja el hotel antes de las 18:00: 50% de la tarifa vigente
- Si se deja el hotel después de las 18:00: tarifa completa de dicho día

El registro de entrada antes de lo habitual comporta los siguientes suplementos: 50% de la tarifa diaria si se hace el registro de entrada de 09:00 a 15:00."
ibis budget Santiago Providencia,US$54,"8,0",Muy bien,6.025,https://cf.bstatic.com/xdata/images/hotel/max1024x768/267383000.webp?k=a57da796ad9dbfeed2672111f665526ec45c32eb6c41fc22cda079543323f23a&o=,https://www.booking.com/hotel/cl/ibis-budget-providencia.es.html?aid=2410095,"Servicio de planchado, Canales por cable, Calefacción, Portugués, Ropa de cama, Acceso a pisos superiores en ascensor, Terraza, Papel higiénico, Vino / champán, Guardaequipaje, Escritorio, TV, Proporciona factura, Vistas a un lugar de interés, Servicio de conserjería, Centro de negocios, Habitaciones familiares, Parking gratis, TV de pantalla plana, Máquina expendedora (aperitivos), Registro de entrada y salida exprés, Detectores de humo, Entrada privada, Habitaciones sin humo, Mobiliario exterior, Alarma de seguridad, Alquiler de coches, Perchero, Enchufe cerca de la cama, Traslado aeropuerto, Baño privado, Cafetería en el alojamiento, Recepción 24 horas, Canales vía satélite, Información turística, Español, WiFi gratis, Snack-bar, Toda la unidad accesible en silla de ruedas, Suelo de madera o parquet, Salas de reuniones / banquetes, Vistas a la montaña, Adaptado personas de movilidad reducida, Bañera o ducha, Parking en un garaje, Toallas, Vistas a la ciudad, Alquiler de bicicletas, Extintores, Ducha, Seguridad 24 horas, Servicio de traslado, Máquina expendedora (bebidas), Aire acondicionado, Adaptado para sillas de ruedas, Ascensor, Desayuno, WC, Parking adaptado para personas de movilidad reducida, Inglés, Supermercado pequeño en el alojamiento, Zona de fumadores, Zona TV / salón de uso compartido, Toda la unidad en la planta baja, Prohibido fumar en todo el alojamiento, Servicio de limpieza diario, Cámaras de seguridad fuera del alojamiento",Santiago,Chile,"Ibis budget Santiago Providencia se encuentra en Santiago, a 2,2 km de Patio Bellavista, y ofrece alojamiento con bicicletas gratis, parking privado gratis, salón de uso común y terraza. Este hotel de 2 estrellas ofrece servicio de conserjería y mostrador de información turística. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, centro de negocios y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas.

En ibis budget Santiago Providencia se puede disfrutar de un desayuno buffet o continental.

Costanera Center está a 2,5 km del alojamiento, y La Chascona está a 2,9 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 20 km."
ibis Santiago Las Condes Manquehue,US$65,"7,1",Bien,5.702,https://cf.bstatic.com/xdata/images/hotel/max1024x768/220971373.webp?k=1e5809585f22129254baedf044b58c6f06c62bb2753f9e2921b55c392a8bc6a2&o=,https://www.booking.com/hotel/cl/ibis-santiago-manquehue-norte.es.html?aid=2410095,"Servicio de planchado, Restaurante, Calefacción, Portugués, Papel higiénico, Vino / champán, Guardaequipaje, Bar, Proporciona factura, Servicio de limpieza en seco, Fruta, Centro de negocios, Parking gratis, Registro de entrada y salida exprés, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Habitaciones sin humo, Alarma de seguridad, Alquiler de coches, Perchero, Traslado aeropuerto, Baño privado, Cafetería en el alojamiento, Caja fuerte, Recepción 24 horas, Menús para dietas especiales (bajo petición), Información turística, Lavamanos más bajo, Español, WiFi gratis, Artículos de aseo gratis, Estación de carga de vehículos eléctricos, Habitaciones insonorizadas, WC con barras de apoyo, Fax / fotocopiadora, Adaptado personas de movilidad reducida, Bañera o ducha, Parking en un garaje, Extintores, Seguridad 24 horas, Aire acondicionado, Ducha, Adaptado para sillas de ruedas, Secador de pelo, Ascensor, Desayuno, Parking adaptado para personas de movilidad reducida, Inglés, Menú para niños, Prohibido fumar en todo el alojamiento, Tarjeta de acceso, Servicio de limpieza diario, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Plancha para pantalones",Santiago,Chile,"El Ibis Santiago Manquehue Norte está situado en Santiago y ofrece bar y restaurante. Este hotel está a solo 1,5 km del parque Araucano y dispone de conexión WiFi gratuita.

Las habitaciones del Ibis Santiago Manquehue Norte cuentan con aire acondicionado, TV de pantalla plana con canales por cable y caja fuerte. El baño privado está equipado con ducha y secador de pelo. Todas las habitaciones están insonorizadas.

El Ibis Santiago Manquehue Norte dispone de recepción 24 horas, mostrador de información turística, consigna de equipaje y aparcamiento por un suplemento.

El Ibis Santiago Manquehue Norte se encuentra a 8,9 km del Museo de Bellas Artes y los locales de ocio nocturno de Patio Bellavista y a 10,3 km del Palacio Presidencial de La Moneda.

El hotel se halla a 30 minutos en coche del aeropuerto Arturo Merino Benítez."
Apartamentos City Centro Los Leones,US$71,"8,5",Muy bien,684,https://cf.bstatic.com/xdata/images/hotel/max1024x768/410032571.webp?k=1071ac7cd82e10fe3ffa528611f61c9f69e38c9a1dd1b6103c09cb510a83f8c4&o=,https://www.booking.com/hotel/cl/city-centro-apartamentos.es.html?aid=2410095,"TV, Horario de apertura, Vistas a un lugar de interés, Sofá cama, Utensilios de cocina, Mesa de comedor, Mobiliario exterior, Información turística, WiFi gratis, Piscina al aire libre, Toallas, Aire acondicionado, Toallas / sábanas (por un suplemento), Ducha, Zona TV / salón de uso compartido, Piscina con vistas, De temporada, Zona de estar, Armario, Servicio de planchado, Parking privado, Servicio de streaming (como Netflix), Zona de cocina, Valla alrededor de la piscina, Entrada privada, Habitaciones sin humo, Enchufe cerca de la cama, Baño privado, Nevera, Zona de comedor exterior, Baño al aire libre, Artículos de aseo gratis, Suelo de madera o parquet, Independiente, Gimnasio, Zona poco profunda, Ascensor, Zona de pícnic, Patio, Servicio de lavandería, Plancha para ropa, Para todas las edades, Ropa de cama, Papel higiénico, Zona de comedor, Habitaciones familiares, TV de pantalla plana, Bañera, Vistas al jardín, Traslado aeropuerto, Baños públicos, Cocina, Toda la unidad accesible en silla de ruedas, Salas de reuniones / banquetes, Piscina en la azotea, Adaptado personas de movilidad reducida, Bañera o ducha, Servicio de traslado, Secador de pelo, WC, Microondas, Balcón, Hervidor eléctrico, Servicio de limpieza diario, Productos de limpieza, Canales por cable, Calefacción, Servicio de aparcacoches, Sofá, Apartamento privado en edificio, Terraza, Piscina privada, Vistas, Perchero, Recepción 24 horas, Ventilador, Minibar, Tostadora, Español, Vistas a la montaña, Horno, Vistas a la ciudad, Adaptado para sillas de ruedas, Zona de fumadores, Plancha para pantalones",Santiago,Chile,"Apartamentos City Centro Los Leones está a menos de 1 km de Costanera Center y ofrece piscina de temporada al aire libre y centro de fitness, así como alojamiento con aire acondicionado, balcón y wifi gratis. Hay parking privado en el propio alojamiento.

El apartamento ofrece terraza, vistas a la ciudad, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y horno, y baño privado con ducha y artículos de aseo gratuitos. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

También hay un salón de uso común ideal para relajarse.

Parque Bicentenario está a 3 km del alojamiento, y Patio Bellavista está a 3,2 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 23 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
"DoubleTree by Hilton Santiago Kennedy, Chile",US$94,"8,4",Muy bien,2.192,https://cf.bstatic.com/xdata/images/hotel/max1024x768/497099454.webp?k=6fda4b6aa4025b0348b03372745dd2e701e10b02061eb588a952eff748ec2296&o=,https://www.booking.com/hotel/cl/doubletree-byhilton-santiago-kennedy.es.html?aid=2410095,"Masaje en pareja, Paquetes de spa / bienestar, Bañera de hidromasaje / jacuzzi, Portugués, Guardaequipaje, Escritorio, TV, Proporciona factura, Guardaesquíes, Fruta, Happy hour, Detectores de humo, Mobiliario exterior, Alarma de seguridad, Venta de forfaits, Información turística, WiFi gratis, Piscina al aire libre, Comedia en vivo, Masaje de cuello, Toallas, Aire acondicionado, Toallas / sábanas (por un suplemento), Ducha, Taquillas en el gimnasio / spa, Utensilios de planchado, Insonorización, Parking adaptado para personas de movilidad reducida, Teléfono, Zona TV / salón de uso compartido, Muy buen desayuno, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Cámaras de seguridad fuera del alojamiento, Armario, Pediluvio, Servicio de despertador / alarma, Servicio de planchado, Restaurante, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas de playa/piscina, Parking gratis, Masaje de pies, Registro de entrada y salida exprés, Albornoz, Habitaciones sin humo, Almuerzos para llevar, Enchufe cerca de la cama, Baño privado, Tetera / cafetera, Masaje de espalda, Instalaciones de spa, Artículos de aseo gratis, Radio, Abierta todo el año, Extintores, Gimnasio, Masaje de cabeza, Ascensor, Menú para niños, Servicio de lavandería, Plancha para ropa, Desayuno en la habitación, Tours a pie, Para todas las edades, Ropa de cama, Acceso a pisos superiores en ascensor, Papel higiénico, Llave de acceso, Masaje de manos, Registro de entrada / salida privado, Centro de negocios, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Barandillas protectoras para bebés, Buffet para niños, Vistas al jardín, Traslado aeropuerto, Cafetería en el alojamiento, Snack-bar, Toda la unidad accesible en silla de ruedas, Fax / fotocopiadora, Salas de reuniones / banquetes, Bañera o ducha, Campo de golf (a menos de 3 km), Adaptado personas de movilidad reducida, Seguridad 24 horas, Servicio de traslado, Alquiler de equipamiento de esquí en el alojamiento, Esquí, Servicio de despertador, Secador de pelo, WC, Spa y centro de bienestar, Servicio de limpieza diario, Tours en bici, Canales por cable, Calefacción, Servicio de aparcacoches, Sofá, Terraza, Vino / champán, Taquillas, Bar, Jardín, Vistas, Servicio de conserjería, Servicio de limpieza en seco, Zapatillas, Servicio de entrega de comestibles, Masaje corporal completo, Tetera/cafetera en todas las habitaciones, Masajes, Alquiler de coches, Perchero, Caja fuerte, Recepción 24 horas, Terraza / solárium, Menús para dietas especiales (bajo petición), Minibar, Sombrillas, Español, Habitaciones insonorizadas, Vistas a la montaña, Parking en un garaje, Vistas a la ciudad, Reloj despertador, Aeróbic, Adaptado para sillas de ruedas, Cafetera, Zona de fumadores, Tarjeta de acceso, Galerías de arte temporales, Inglés, Plancha para pantalones",Santiago,Chile,"El DoubleTree by Hilton Santiago Kennedy, Chile ofrece alojamiento en el exclusivo distrito Vitacura de Santiago. Hay WiFi gratuita en todas las zonas. Este hotel cuenta con piscina al aire libre y centro de fitness.

Las habitaciones del DoubleTree by Hilton Santiago Kennedy, Chile disponen de baño privado con ducha, artículos de aseo gratuitos y zapatillas de uso gratuito. Además, están equipadas con TV de pantalla plana con canales por cable, minibar, caja fuerte, cafetera, calefacción y aire acondicionado. Las habitaciones también tienen vistas a la ciudad o a la ciudad y a las montañas.

Se sirve un desayuno gratuito a diario. Hay servicio de habitaciones. Se puede servir el desayuno en las habitaciones.

El DoubleTree by Hilton Santiago Kennedy, Chile cuenta con recepción 24 horas y mostrador de información turística. Se puede organizar un servicio de enlace con el aeropuerto por un suplemento.

Las plazas de aparcamiento privado conllevan un suplemento y deben reservarse con antelación.

El DoubleTree by Hilton Santiago Kennedy, Chile se encuentra a 1,1 km del centro infantil KidZania Santiago y a 14 km del centro comercial Outlets San Ignacio. El aeropuerto Arturo Merino Benítez, situado a 19 km, es el más cercano."
Mercure Santiago Centro,US$70,"8,1",Muy bien,3.368,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515771647.webp?k=316bd57c93c351e719f5280e23f561d999cc3c3dd1f2f8c3ad871ae10a2a20b5&o=,https://www.booking.com/hotel/cl/mercure-santiago-centro.es.html?aid=2410095,"Portugués, Guardaequipaje, Escritorio, TV, Proporciona factura, Caja fuerte para ordenador portátil, Fruta, Detectores de humo, Mobiliario exterior, Alarma de seguridad, Información turística, WiFi gratis, Piscina al aire libre, Boles para mascotas, Toallas, Aire acondicionado, Ducha, Parking adaptado para personas de movilidad reducida, Teléfono, Zona TV / salón de uso compartido, Piscina con vistas, Prohibido fumar en todo el alojamiento, De temporada, Armario, Hipoalergénico, Servicio de planchado, Restaurante, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas de playa/piscina, Habitaciones sin humo, Almuerzos para llevar, Enchufe cerca de la cama, Baño privado, Artículos de aseo gratis, Suelo de madera o parquet, Extintores, Gimnasio, Ascensor, Menú para niños, Servicio de lavandería, Desayuno en la habitación, Buen desayuno, Ropa de cama, Acceso a pisos superiores en ascensor, Papel higiénico, Registro de entrada / salida privado, Zona de comedor, Centro de negocios, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Traslado aeropuerto, Cafetería en el alojamiento, WC con barras de apoyo, Snack-bar, Fax / fotocopiadora, Salas de reuniones / banquetes, Bañera o ducha, Adaptado personas de movilidad reducida, Seguridad 24 horas, Servicio de traslado, Servicio de despertador, Secador de pelo, WC, Servicio de limpieza diario, Productos de limpieza, Canales por cable, Calefacción, Parking en el alojamiento, Terraza, Vino / champán, Bar, Vistas, Servicio de limpieza en seco, Servicio de entrega de comestibles, Perchero, Caja fuerte, Recepción 24 horas, Ventilador, Terraza / solárium, Español, Parking en un garaje, Adaptado para sillas de ruedas, Secadora de ropa, Tarjeta de acceso, Inglés, Plancha para pantalones",Santiago,Chile,"Este hotel de 4 estrellas ofrece habitaciones amplias en una zona céntrica de Santiago. Está cerca de una estación de metro y del Cerro Santa Lucia, la Plaza de Armas y el Palacio de la Moneda.

El Mercure Santiago Centro ofrece piscina al aire libre durante el verano. El gimnasio, bien equipado, abre todo el año.

El restaurante sirve desayuno variado y platos internacionales en el almuerzo y en la cena. El bar del vestíbulo cuenta con una selecta carta de vinos chilenos.

El personal del Mercure Santiago Centro proporciona información sobre excursiones."
ibis Santiago Providencia,US$57,"7,3",Bien,4.547,https://cf.bstatic.com/xdata/images/hotel/max1024x768/134804434.webp?k=b24c877b723840b6a9b3b4017c92255983bf6b7c3d9539b28b1f74888d6357a3&o=,https://www.booking.com/hotel/cl/ibis-santiago-providencia.es.html?aid=2410095,"Servicio de planchado, Restaurante, Calefacción, Servicio de habitaciones, Portugués, Parking privado, Ropa de cama, Papel higiénico, Guardaequipaje, Bar, Escritorio, TV, Servicio de conserjería, Servicio de limpieza en seco, Habitaciones familiares, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Habitaciones sin humo, Alarma de seguridad, Enchufe cerca de la cama, Traslado aeropuerto, Baño privado, Cafetería en el alojamiento, Caja fuerte, Recepción 24 horas, Información turística, Español, WiFi gratis, Artículos de aseo gratis, Snack-bar, Suelo de madera o parquet, Bañera o ducha, Extintores, Parking en un garaje, Toallas, Vistas a la ciudad, Seguridad 24 horas, Aire acondicionado, Adaptado personas de movilidad reducida, Secador de pelo, Ascensor, Desayuno, WC, Inglés, Zona de fumadores, Prohibido fumar en todo el alojamiento, Tarjeta de acceso, Servicio de limpieza diario, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Armario",Santiago,Chile,"El Ibis Santiago Providencia está ubicado en el distrito Providencia de Santiago, a solo 100 metros de la estación de metro Manuel Montt. Alberga un restaurante y un bar. Hay WiFi gratuita. El aparcamiento conlleva un suplemento de 3.000 CLP por noche (sujeto a disponibilidad).

Las habitaciones del Ibis Providencia presentan una decoración con mobiliario de madera y disponen de calefacción, aire acondicionado, TV de pantalla plana y escritorio. Todas las habitaciones disponen de baño privado.

El desayuno buffet, elaborado con ingredientes de la zona, se sirve todos los días de 07:00 a 10:00 y está disponible por un suplemento. El restaurante La Table Rouge tiene terraza y ofrece platos internacionales. Hay un bar que sirve bebidas y cócteles.

El aeropuerto internacional Arturo Merino Benítez queda a 23 km."
Best Western Estacion Central,US$60,"8,7",Fabuloso,5.406,https://cf.bstatic.com/xdata/images/hotel/max1024x768/205169813.webp?k=56c4a3850b28b3b61e12ab7caca79c9eace5972b959a7ad822741aeae6c9977b&o=,https://www.booking.com/hotel/cl/best-western-estacion-central.es.html?aid=2410095,"Portugués, Guardaequipaje, Escritorio, TV, Proporciona factura, Fruta, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Mobiliario exterior, Alarma de seguridad, WiFi gratis, Toallas, Aire acondicionado, Ducha, Barandillas de seguridad para bebés, Insonorización, Parking adaptado para personas de movilidad reducida, Teléfono, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Armario, Servicio de despertador / alarma, Hipoalergénico, Servicio de planchado, Restaurante, Desayuno fabuloso, Trona, Servicio de habitaciones, Parking gratis, Registro de entrada y salida exprés, Entrada privada, Habitaciones sin humo, Enchufe cerca de la cama, Baño privado, Tetera / cafetera, Canales vía satélite, Artículos de aseo gratis, Suelo de madera o parquet, Extintores, Ascensor, Servicio de lavandería, Tours a pie, Ropa de cama, Acceso a pisos superiores en ascensor, Papel higiénico, Llave de acceso, Tour o clase sobre cultura local, Habitaciones familiares, TV de pantalla plana, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Baños públicos, Snack-bar, Salas de reuniones / banquetes, Bañera o ducha, Adaptado personas de movilidad reducida, Seguridad 24 horas, Servicio de traslado, Servicio de despertador, Secador de pelo, WC, Hervidor eléctrico, Servicio de limpieza diario, Tours en bici, Canales por cable, Calefacción, Sofá, Vino / champán, Bar, Vistas, Servicio de conserjería, Tetera/cafetera en todas las habitaciones, Perchero, Caja fuerte, Recepción 24 horas, Habitaciones hipoalergénicas, Menús para dietas especiales (bajo petición), Español, Parking en un garaje, Vistas a la ciudad, Máquina expendedora (bebidas), Adaptado para sillas de ruedas, Cafetera, Zona de fumadores, Tarjeta de acceso, Inglés",Santiago,Chile,"Best Western Estacion Central está en Santiago, a 2 km de Museo de la Memoria y los Derechos Humanos, y dispone de alojamiento con salón de uso común, parking privado gratis, restaurante y bar. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Este alojamiento hipoalergénico se encuentra a 4,4 km de Movistar Arena.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, caja fuerte, TV de pantalla plana y baño privado con ducha. Las habitaciones están equipadas con hervidor, y algunas también ofrecen zona de cocina con nevera y microondas. En Best Western Estacion Central, todas las habitaciones disponen de ropa de cama y toallas.

Museo de Arte Precolombino está a 4,6 km del alojamiento, y Cerro Santa Lucía está a 5,8 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 18 km."
