hotel,hotel_url,description,popular_facilities,highres_url,city,country
Victtorios Hotel,https://www.booking.com/hotel/pe/victtorios-satipo.es.html?aid=2410095,"El Victtorios Hotel ofrece alojamiento en Satipo, a solo 200 metros de la plaza principal. Este hotel alberga un bar y cuenta con terraza y vistas a la ciudad. Hay aparcamiento privado gratuito.

Las habitaciones disponen de TV de pantalla plana con canales por cable y baño privado. Algunas tienen zona de estar. El Victtorios Hotel proporciona WiFi gratuito en todas sus instalaciones.

Se facilita un servicio de traslado gratuito.","Mesa de comedor, Servicio de planchado, Plancha para pantalones, Plancha para ropa, Zona de comedor, Parking gratis, Aseo adicional, Cambio de moneda, Servicio de limpieza diario, Traslado aeropuerto, Perchero, Salas de reuniones / banquetes, Terraza, Servicio de despertador, Armario, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Servicio de conserjería, WiFi gratis, TV, Inglés, Karaoke, Toallas / sábanas (por un suplemento), WC, Canales por cable, Servicio de traslado, Servicio de habitaciones, Toallas, Snack-bar, Jardín, Artículos de aseo gratis, Registro de entrada / salida privado, Información turística, Centro de negocios, Vistas a la montaña, Productos de limpieza, Español, Baño privado, Enchufe cerca de la cama, Vistas, Vestidor, Extintores, Supermercado pequeño en el alojamiento, Servicio de streaming (como Netflix), Recepción 24 horas, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Traslado aeropuerto (gratis), Buen desayuno, Ducha, Ventilador, Camas extralargas (más de 2 metros)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/349129397.jpg?k=18996301fc3aa698366b2a15a361e88a716264fd0ce2a4407a540d74968b3059&o=&hp=1,Satipo,Perú
Bungalows El Palmiche,https://www.booking.com/hotel/pe/bungalows-el-palmiche.es.html?aid=2410095,"El Bungalows El Palmiche se encuentra en Satipo, en la región de Junín, a solo 1 km del centro, y ofrece piscina exterior abierta todo el año, zonas de jardín y centro de fitness. También alberga un restaurante y cuenta con zona de barbacoa sujeta a disponibilidad.

Todos los bungalows tienen el techo de palma, ofrecen vistas al jardín y disponen de baño privado y TV de pantalla plana por cable.

Además, el Bungalows El Palmiche cuenta con un bar y una cafetería.

La recepción está abierta las 24 horas. Hay servicios de información turística y de lavandería.","Sala de juegos, Parking en un garaje, Vistas al jardín, Zona de comedor exterior, Baño adicional, Plancha para pantalones, Plancha para ropa, Parking gratis, Sombrillas, Aseo adicional, Tours en bici, Perchero, Terraza, Bañera o ducha, Mobiliario exterior, Detectores de humo, WiFi gratis, Karaoke, Baños públicos, Pesca, Canales por cable, Canales de pago, Cenas temáticas, Terraza / solárium, Estación de carga de vehículos eléctricos, Zona de fumadores, Jardín, Cafetería en el alojamiento, Centro de negocios, Discoteca / DJ, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Máquina expendedora (bebidas), Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Ruta de bares, TV de pantalla plana, Ping pong, Habitaciones familiares, Tarjeta de acceso, Fruta, Mesa de comedor, Desayuno, Baño al aire libre, Tour o clase sobre cultura local, Armario, Alarma de seguridad, Mosquitera, WC, Dardos, Piscina privada, Vino / champán, Artículos de aseo gratis, Habitaciones sin humo, Vistas, Guardaequipaje, Entrada privada, Ventilador, Parking adaptado para personas de movilidad reducida, Barbacoa, Servicio de planchado, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Acceso al salón executive, Zona de estar, Papel higiénico, Cocina compartida, Servicio de lavandería, Servicio de aparcacoches, Alquiler de bicicletas, TV, Lavavajillas, Cámaras de seguridad fuera del alojamiento, Snack-bar, Juegos de mesa / puzles, Sofá, Productos de limpieza, Tours a pie, Abierta todo el año, Bañera, Baño privado, Aire acondicionado, Balcón, Piscina al aire libre, Vestidor, Servicio de streaming (como Netflix), Ducha, Ciclismo, Entretenimiento nocturno, Canales vía satélite, Zona de juegos interior, Menús para dietas especiales (bajo petición), Radio, Cambio de moneda, Llave de acceso, Seguridad 24 horas, Vistas a la piscina, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Toallas de playa/piscina, Restaurante, Zona de pícnic, Recepción 24 horas, Tendedero, Servicio de despertador / alarma, Hipoalergénico, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/116723723.jpg?k=8baa0468830114931e2155bd163af30a9e06a0ceae50533de7a35471cda5b25a&o=&hp=1,Satipo,Perú
Hotel El Cafetalero,https://www.booking.com/hotel/pe/el-cafetalero-satipo2.es.html?aid=2410095,"Hotel El Cafetalero está en Satipo y ofrece alojamiento de 2 estrellas con jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

Las habitaciones tienen baño privado, algunas ofrecen balcón y otras también incluyen vistas al jardín.

El aeropuerto (Mayor PNP Nancy Flores Paucar ) está a 21 km.","Habitaciones sin humo, Jardín, Prohibido fumar en todo el alojamiento, Recepción 24 horas, WiFi gratis, Parking gratis, Aire acondicionado, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Servicio de habitaciones, Habitaciones familiares, Estación de carga de vehículos eléctricos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/500475697.jpg?k=a105805b90f65ea978875368b2e7de85c2dc8acd5c2c3b356b6d0b6388f1e164&o=&hp=1,Satipo,Perú
Hospedaje 4Hera,https://www.booking.com/hotel/pe/hospedaje-4hera.es.html?aid=2410095,"Hospedaje 4Hera está en Satipo. El hotel dispone de terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con hervidor. El hotel ofrece algunas unidades con vistas disponen de, y todas tienen baño privado con ducha. En Hospedaje 4Hera, cada habitación cuenta con armario y TV de pantalla plana.

El aeropuerto más cercano (Mayor PNP Nancy Flores Paucar ) está a 21 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Traslado aeropuerto, Perchero, Terraza, Armario, Papel higiénico, WiFi gratis, Toallas / sábanas (por un suplemento), Hervidor eléctrico, WC, Servicio de habitaciones, Toallas, Microondas, Baño privado, Aire acondicionado, Recepción 24 horas, TV de pantalla plana, Traslado aeropuerto (gratis), Tetera / cafetera, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/479087534.jpg?k=b7dd1e13044e81badc35c39cd2a5ed0b2591e6e5947cc6e5a29e00fcdc3ce1ab&o=&hp=1,Satipo,Perú
Paraiso Inn,https://www.booking.com/hotel/pe/nightsinn.es.html?aid=2410095,"El Hotel Nights Inn, situado en Río Negro, ofrece piscina exterior abierta todo el año y vistas a las montañas. El establecimiento sirve un desayuno continental diario y opcional por un suplemento.

Las habitaciones disponen de armario, baño privado con artículos de aseo gratuitos y TV con canales por cable.

Además, el Hotel Nights Inn cuenta con bar, restaurante, tienda de regalos, dardos y recepción abierta las 24 horas. Se facilita servicio de lavandería por un suplemento.

El hotel, rodeado de zonas verdes, se encuentra a 14 minutos en coche de la estación de autobuses y a 25 minutos en coche del aeropuerto de Mazamari. La plaza principal de la ciudad está a 12 minutos en coche.","Sala de juegos, Parking en un garaje, Protector de enchufes para niños, Vistas al jardín, Instalaciones para deportes acuáticos en el alojamiento, Parking gratis, Aseo adicional, Perchero, Terraza, Bañera o ducha, Toda la unidad en la planta baja, Servicio de entrega de comestibles, WiFi gratis, Nevera, Pesca, Canales por cable, Proporciona factura, Terraza / solárium, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Centro de negocios, Vistas a la montaña, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Ropa de cama, Habitaciones familiares, Fruta, Mesa de comedor, Desayuno, Traslado aeropuerto, Tour o clase sobre cultura local, Armario, WC, Vino / champán, Artículos de aseo gratis, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vistas, Guardaequipaje, Ventilador, Reloj despertador, Minibar, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Acceso al salón executive, Papel higiénico, Cocina compartida, Servicio de lavandería, TV, Menú para niños, Snack-bar, Juegos de mesa / puzles, Sofá, Productos de limpieza, Tours a pie, Baño privado, Patio, Vestidor, Escritorio, Ducha, Ciclismo, Canales vía satélite, Reproductor de DVD, Menús para dietas especiales (bajo petición), Llave de acceso, Servicio de despertador, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Restaurante, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Servicio de despertador / alarma, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515459899.jpg?k=dad0dfd7ca0ffa646bf94ed7f41427247c9e9a9deecbe515b16933fbdb5339ab&o=&hp=1,Satipo,Perú
Hotel Mayros,https://www.booking.com/hotel/pe/mayros-satipo.es.html?aid=2410095,"Hotel Mayros, en Satipo, ofrece alojamiento de 2 estrellas con bar. Este alojamiento ofrece restaurante, servicio de traslado gratuito y servicio de habitaciones, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento disponen de un balcón con vistas a la ciudad.

En el hotel, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El personal de recepción ofrece ayuda de forma ininterrumpida.

El aeropuerto más cercano (Mayor PNP Nancy Flores Paucar ) está a 21 km.","Registro de entrada y salida exprés, Mesa de comedor, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Parking gratis, Servicio de limpieza diario, Traslado aeropuerto, Perchero, Bañera o ducha, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Toallas / sábanas (por un suplemento), Alarma de seguridad, WC, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Registro de entrada / salida privado, Información turística, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Traslado aeropuerto (gratis), Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506426090.jpg?k=edf4415bfc2bb5cd780352d2a604ac2107bf533d4a391ccdc67609c02fc40d2c&o=&hp=1,Satipo,Perú
Hotel El Cafetalero,https://www.booking.com/hotel/pe/el-cafetalero-satipo.es.html?aid=2410095,"Hotel El Cafetalero, que cuenta con restaurante, se encuentra en Satipo. Este hotel de 2 estrellas ofrece jardín y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En el hotel, cada habitación tiene escritorio y TV de pantalla plana. En Hotel El Cafetalero, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto más cercano (Mayor PNP Nancy Flores Paucar ) está a 21 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Zona de comedor, Parking gratis, Perchero, Armario, Papel higiénico, WiFi gratis, Toallas / sábanas (por un suplemento), WC, Servicio de habitaciones, Toallas, Estación de carga de vehículos eléctricos, Jardín, Artículos de aseo gratis, Microondas, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Balcón, Recepción 24 horas, Escritorio, Ropa de cama, TV de pantalla plana, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/481605992.jpg?k=7ee0faad0fff48490a6691df0ec6a8a4dbb791b3d1d449ac9e28f168c5b131c1&o=&hp=1,Satipo,Perú
Hostel Satipo. Alojamiento entero en Satipo,https://www.booking.com/hotel/pe/hostel-satipo-alojamiento-entero-en-satipo-satipo.es.html?aid=2410095,"Hostel Satipo. Alojamiento entero en Satipo se encuentra en Satipo.

Hay parking privado gratis en el chalet de montaña.

El aeropuerto más cercano (Mayor PNP Nancy Flores Paucar ) está a 24 km.","Inglés, Prohibido fumar en todo el alojamiento, Español, Parking gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532975989.jpg?k=2bf47c548cfe2db55594b55659d90097227b1875c2dbe43ae2696090a8f19a2f&o=&hp=1,Satipo,Perú
Casa de bambú en armonía con el medio ambiente,https://www.booking.com/hotel/pe/casa-de-bambu-en-armonia-con-el-medio-ambiente.es.html?aid=2410095,"Casa de bambú en armonía con el medio ambiente está en Satipo.

Esta casa o chalet de 2 dormitorios dispone de wifi gratis, TV de pantalla plana por cable y cocina con nevera y microondas. Hay parking privado gratis en la casa o chalet.

El aeropuerto (Mayor PNP Nancy Flores Paucar ) está a 29 km.","Papel higiénico, Microondas, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Inglés, Plancha para ropa, TV de pantalla plana, Ropa de cama, Parking gratis, Nevera, Entrada privada, Canales por cable, Español, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/483545159.jpg?k=1dd7bdd313a0d4b7ae313731f4fb9b49cb0fcc5cb165e8bf792b6b951ff922e4&o=&hp=1,Satipo,Perú
Hostel Satipo. Alojamiento entero en Satipo,https://www.booking.com/hotel/pe/hostel-satipo-alojamiento-entero-en-satipo.es.html?aid=2410095,"Hostel Satipo. Alojamiento entero en Satipo se encuentra en Satipo y ofrece alojamiento con balcón y wifi gratis. Este chalet de montaña dispone de jardín y parking privado gratis.

El chalet de montaña cuenta con 7 dormitorios, 4 baños, ropa de cama, toallas, TV de pantalla plana, cocina totalmente equipada y terraza con vistas al jardín.

El aeropuerto más cercano (Mayor PNP Nancy Flores Paucar ) está a 24 km del alojamiento.","Prohibido fumar en todo el alojamiento, Vistas al jardín, Barbacoa, Zona de cocina, Desayuno, Parking gratis, Terraza, Seguridad 24 horas, Papel higiénico, WiFi gratis, Inglés, Toallas, Jardín, Tours a pie, Español, Baño privado, Balcón, Vistas, Cocina, Escritorio, Ropa de cama, TV de pantalla plana, Lavadora, Tetera / cafetera, Secadora de ropa, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/532707439.jpg?k=df4079f490219ec8122d0d0fedaf3a7e3528c19d7c95464d50911eee12f15953&o=&hp=1,Satipo,Perú
