hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Nightcap at Seaford Hotel,US$106,"7,1",Bien,605,https://cf.bstatic.com/xdata/images/hotel/max1024x768/184106314.webp?k=9a80aedd563ccf16533b2f45a43ba399c40181ca3a8447d293d5de9718491abd&o=,https://www.booking.com/hotel/au/seaford.es.html?aid=2410095,"Billar, Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Menú para niños, Cajero automático en el hotel, Baño privado, Plancha para ropa, Bañera o ducha, Artículos de aseo gratis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Enchufe cerca de la cama, Ducha, Aseo adicional, Aire acondicionado, Restaurante, TV de pantalla plana, Eventos deportivos en directo (emisión), Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Parking en la calle, Zona de juegos para niños, Vino / champán, Inglés, WiFi gratis, Balcón, Utensilios de planchado, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Nevera, TV, Extintores, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Suelo de moqueta",Seaford,Australia,"Offering a sports bar, saloon bar and a private function space, Nightcap at Seaford Hotel features accommodation just 4 minutes' drive from the Frankston Foreshore. There is an indoor children's play area to keep children entertained. Free unlimited WiFi is offered.

All contemporary rooms offer a flat-screen TV, refrigerator, desk, heating, air-conditioning and tea/coffee making facilities. Each room also boasts a rain shower.

Seaford Hotel is 15 minutes' drive from Cranbourne and Dandenong. Central Melbourne is 40 minutes' drive away."
The Sands by Nightcap Plus,US$112,"8,9",Fabuloso,1.246,https://cf.bstatic.com/xdata/images/hotel/max1024x768/337188791.webp?k=a8c021c8cad573a8c35769045a902aac788d535b56b4a6ee8bd7414bc083a013&o=,https://www.booking.com/hotel/au/sands-by-nightcap-plus.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Desayuno, Toallas, Suelo de moqueta, Menú para niños, Cajero automático en el hotel, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Llave de acceso, Aire acondicionado, Cafetería en el alojamiento, Máquina expendedora (aperitivos), Restaurante, TV de pantalla plana, Terraza, Terraza / solárium, Servicio de streaming (como Netflix), Parking gratis, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Plancha para ropa, Habitaciones familiares, Alarma de seguridad, Gimnasio, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Seaford,Australia,"The Sands by Nightcap Plus tiene centro de fitness, salón de uso común, terraza y restaurante en Carrum Downs. Este hotel de 4 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones, cajero automático y guardaequipaje.

En el hotel, cada habitación incluye escritorio y TV de pantalla plana. Las habitaciones cuentan con hervidor, y algunas también ofrecen zona de cocina con microondas. En The Sands by Nightcap Plus, las habitaciones tienen ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

Estación de tren de Dandenong está a 14 km del alojamiento, y Victoria Golf Club está a 25 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 59 km."
Quest Frankston,US$136,"7,3",Bien,744,https://cf.bstatic.com/xdata/images/hotel/max1024x768/60455968.webp?k=2f47b96935672572bf7a0cbf2764d40b86d1c04fda31c4a388c1c97aa96f680d&o=,https://www.booking.com/hotel/au/quest-frankston.es.html?aid=2410095,"Snack-bar, Toallas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Servicio de entrega de comestibles, Perchero, Artículos de aseo gratis, Vistas, Calefacción, Mesa de comedor, Ropa de cama, Ducha, Servicio de lavandería, Tostadora, Toallas de playa/piscina, Abierta todo el año, Proporciona factura, Aire acondicionado, Piscina climatizada, TV de pantalla plana, Microondas, Adaptado personas de movilidad reducida, Zona de comedor, Utensilios de cocina, Parking gratis, Barbacoa, Servicio de limpieza en seco, Fogones, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Servicio de limpieza diario, Zona poco profunda, Minibar, Escritorio, Acceso a pisos superiores solo mediante escaleras, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Teléfono, Habitaciones familiares, Bañera, Suelo de moqueta, Valla alrededor de la piscina, Parking adaptado para personas de movilidad reducida",Seaford,Australia,"El Quest Frankston está situado en la península de Mornington y ofrece amplios apartamentos con aire acondicionado, utensilios de cocina y TV con canales por cable. También dispone de piscina al aire libre, zona de barbacoa y conexión Wi-Fi gratuita.

El Quest Apartments Frankston está a solo 5 minutos a pie de varios restaurantes y tiendas y de la playa. El Hospital Frankston y el campus Peninsula de la Monash University se encuentran a 7 minutos en coche. La zona termal de Peninsula está a 45 km.

Todos los estudios y apartamentos cuentan con calefacción, bañera y TV LCD. Algunos apartamentos también disponen de balcón o patio privado, reproductor de DVD o sistema estéreo.

El establecimiento dispone de aparcamiento vigilado y conexión a internet de banda ancha. Está ubicado cerca de numerosos restaurantes. Además, los huéspedes tienen la opción de añadir el coste de las comidas a la factura del alojamiento."
Quest Frankston on the Bay,US$164,"7,8",Bien,628,https://cf.bstatic.com/xdata/images/hotel/max1024x768/263160624.webp?k=032600ab1dc383390b1be35171bc5b488e09119e85481fc785e4bc29cc26512e&o=,https://www.booking.com/hotel/au/quest-frankston-on-the-bay.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Toallas, Tumbonas/sillas de playa, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Baño privado, Servicio de entrega de comestibles, Fax / fotocopiadora, Pista de tenis, Calefacción, Zona de fumadores, Bar, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Parque acuático, Servicio de lavandería, Alarma de seguridad, Aire acondicionado, Traslado aeropuerto, Cafetería en el alojamiento, Ascensor, Restaurante, Terraza, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Pesca, 2 restaurantes, Terraza / solárium, Música / espectáculos en directo, Parking en un garaje, Barbacoa, Eventos deportivos en directo (emisión), Servicio de limpieza en seco, Centro de negocios, Tarjeta de acceso, Habitaciones sin humo, Playa, Salas de reuniones / banquetes, Inglés, WiFi gratis, Bolos, Parking privado, Registro de entrada y salida exprés, Detectores de humo, Acceso a pisos superiores en ascensor, Servicio de traslado, Extintores, Caja fuerte, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Gimnasio, Tiro con arco, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Seaford,Australia,"Located in the heart of the Frankston restaurant precinct, 200 metres from the beach, Quest Frankston on the Bay features a fitness centre, a sun terrace with BBQ facilities and a conference centre. It offers self-contained accommodation with kitchen facilities.

All air-conditioned apartments feature a seating area, a work desk and a flat-screen TV. Each includes a refrigerator, microwave convection oven and stove.

Quest Frankston on the Bay is 750 metres from Frankston Railway Station. It is 45 minutes' drive from central Melbourne. Melbourne Airport is an hour's drive away."
Gorgeous Master Bedroom with Own Bath,US$79,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/526616783.webp?k=e01dfc61fbd50d0485fc3ab78a43937db9535aeeadd25c15832133cbc12bf2c0&o=,https://www.booking.com/hotel/au/gorgeous-master-bedroom-with-own-bath.es.html?aid=2410095,"Vistas a la piscina, Toallas, Prohibido fumar en todo el alojamiento, Baño privado, Artículos de aseo gratis, Calefacción, Mesa de comedor, Ropa de cama, Ducha, Chino, Zona de comedor, Utensilios de cocina, Parking gratis, Inglés, WiFi gratis, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, Jardín, Habitaciones familiares",Seaford,Australia,"Gorgeous Master Bedroom with Own Bath es un alojamiento con wifi gratis y vistas a la piscina que se encuentra en Frankston. El alojamiento, que está a 15 min a pie de Frankston Beach, dispone de jardín y parking privado gratis.

Hay toallas y ropa de cama en la habitación en casa particular.

Estación de tren de Dandenong está a 22 km del alojamiento, y Victoria Golf Club está a 27 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 57 km."
12 Olive Cozy Rooms,US$89,"3,0",Puntuación,3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/525593703.webp?k=f19e68ce8efcbfe404498ae6ade2b49b1a1d5ab833c4eb57a22eeec05026200b&o=,https://www.booking.com/hotel/au/12-olive-cozy-rooms.es.html?aid=2410095,"Guardaequipaje, Toallas, Prohibido fumar en todo el alojamiento, Baño privado, Artículos de aseo gratis, Albornoz, Vistas, Taquillas, Mesa de comedor, Ropa de cama, Calefacción, Ducha, Chino, Registro de entrada / salida privado, Zona de comedor, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, Tetera / cafetera, Jardín, Habitaciones familiares, Bañera, Proporciona factura",Seaford,Australia,"12 Olive Cozy Rooms es un alojamiento con wifi gratis y vistas al jardín que está en Frankston. El alojamiento, que se encuentra a 15 min a pie de Frankston Beach, ofrece jardín y parking privado gratis.

Hay toallas y ropa de cama en la habitación en casa particular.

Estación de tren de Dandenong está a 22 km del alojamiento, y Victoria Golf Club está a 27 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 57 km del alojamiento."
Beachfront-private beach access and 180 degree bay views!,US$312,10,Excepcional,5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/450170496.webp?k=aaec4d175ed6a7320b2decc523b93ffa60b4e3fc944cbbb263a51aeb27699fea&o=,https://www.booking.com/hotel/au/beachfront-private-beach-access-and-180-degree-bay-views.es.html?aid=2410095,"Guardaequipaje, Secadora de ropa, Toallas, Canales por cable, Vistas a la ciudad, Vestidor, Prohibido fumar en todo el alojamiento, Plancha para ropa, Bañera o ducha, Artículos de aseo gratis, Cocina, Perchero, Bar, Mesa de comedor, Situado frente a la playa, Ropa de cama, Ducha, Calefacción, Ventilador, Muebles de exterior, Libros, DVD o música para niños, Aseo adicional, Patio, Productos de limpieza, Tostadora, Aire acondicionado, Sombrillas, Reproductor de CD, Juegos de mesa / puzles, TV de pantalla plana, Terraza, Microondas, Zona de comedor, Radio, Trona, Servicio de streaming (como Netflix), Utensilios de cocina, Parking gratis, Barbacoa, Fogones, Habitaciones sin humo, Playa, Cafetera, Inglés, WiFi gratis, Utensilios de planchado, Chimenea, Balcón, Vistas, Suelo de baldosa / mármol, Lavadora, Escritorio, Acceso a pisos superiores solo mediante escaleras, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Vistas al jardín, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Sofá, Jardín, Vistas al mar, Habitaciones familiares, Bañera, Horno, Lavavajillas, Suelo de moqueta, Zona de estar",Seaford,Australia,"Beachfront-private beach access and 180 degree bay views!, que cuenta con jardín, terraza y bar, ofrece alojamiento en Chelsea con wifi gratis y vistas a la ciudad. Este alojamiento frente a la playa ofrece parking privado gratis y acceso a un balcón.

Esta casa o chalet tiene 3 dormitorios, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 2 baños con ducha. Hay toallas y ropa de cama en la casa o chalet.

Cerca del alojamiento hay puntos de interés como Bonbeach Beach, Chelsea Beach y Playa de Edithvale. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 42 km."
Paradise Beach Villa-Beachfront Outdoor Spa,US$461,"7,5",Bien,2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/408321647.webp?k=018aa7821e98056e2af25134b89d0af008d3db555c5977f0966f48109ef19fbd&o=,https://www.booking.com/hotel/au/paradise-beach-villa-beachfront-outdoor-spa.es.html?aid=2410095,"Parking gratis, Chino, Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, Sauna, Bañera de hidromasaje, WiFi gratis, Cocina, Zona de cocina, TV de pantalla plana, Calefacción, Balcón, Terraza, Vistas, Lavadora",Seaford,Australia,"Paradise Beach Villa-Beachfront Outdoor Spa se encuentra en Patterson Lakes y ofrece alojamiento con balcón y wifi gratis. Esta villa está a 2,4 km de Carrum Beach y a 2,7 km de Bonbeach Beach.

Esta villa con aire acondicionado tiene acceso directo a una terraza y cuenta con 5 dormitorios y cocina totalmente equipada. Se ofrece TV de pantalla plana.

Estación de tren de Dandenong está a 15 km del alojamiento, y Victoria Golf Club está a 18 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 48 km del alojamiento."
Frankston Motel,US$92,"8,0",Muy bien,1.150,https://cf.bstatic.com/xdata/images/hotel/max1024x768/490200239.webp?k=b754029b812046ad85e8a8dadf2f359371792ccb8f6d89c55dee185e57fde971&o=,https://www.booking.com/hotel/au/frankston-motel.es.html?aid=2410095,"Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Mantas eléctricas, Suelo de moqueta, Plancha para ropa, Baño privado, Servicio de habitaciones, Perchero, Toallas / sábanas (por un suplemento), Vistas, Zona de cocina, Pista de tenis, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Reloj despertador, Calefacción, Toda la unidad en la planta baja, Tostadora, Llave de acceso, Aire acondicionado, Toallas de playa/piscina, Mosquitera, TV de pantalla plana, Horario de apertura, Registro de entrada / salida privado, Microondas, Equipamiento de tenis, Radio, Tendedero, Barbacoa, Parking gratis, Utensilios de cocina, Valla alrededor de la piscina, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, De temporada, Zona poco profunda, Parking adaptado para personas de movilidad reducida, Para todas las edades, Suelo de baldosa / mármol, Máquina expendedora (bebidas), Registro de entrada y salida exprés, Detectores de humo, Papel higiénico, Armario, WC, Vistas al jardín, Hervidor eléctrico, Nevera, TV, Piscina al aire libre, Zona de comedor exterior, Secador de pelo, Tetera / cafetera, Extintores, Jardín, Teléfono, Habitaciones familiares, Zona de pícnic, Proporciona factura, Mobiliario exterior, Zona de estar",Seaford,Australia,"El Frankston Motel está rodeado de 1 hectárea de jardines autóctonos y zonas verdes y cuenta con piscina, pista de tenis y zona de barbacoa. Todas las habitaciones cuentan con zona de cocina y TV de pantalla plana. A su llegada, los huéspedes recibirán conexión Wi-Fi gratuita limitada.

El Frankston Motel Melbourne ofrece aparcamiento gratuito para coches, remolques, barcos y camiones. Las instalaciones de ocio incluyen una canasta de baloncesto. Las habitaciones cuentan con aire acondicionado, nevera y microondas. Cada uno tiene un baño con ducha y secador de pelo.

""Frankston, conocida como """"la puerta de la península de Mornington"""", ofrece tiendas y restaurantes a solo 3 km del motel."" El campus universitario Monash University Peninsula Campus y el hospital privado Frankston Hospital se encuentran en las inmediaciones. Los baños termales Peninsula Hot Springs están a 40 minutos en coche. La península de Mornington es un lugar de interés muy agradable. El Frankston Motel es un establecimiento cómodo y asequible."
Nightcap at The Cheeky Squire,US$154,"8,1",Muy bien,648,https://cf.bstatic.com/xdata/images/hotel/max1024x768/128326480.webp?k=93581e41c5459d2950f45f25123aa622fdd4c30060a84a36b09b1029809369f1&o=,https://www.booking.com/hotel/au/cheeky-squire.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Menú para niños, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Calefacción, Bar, Ropa de cama, Ducha, Aire acondicionado, Restaurante, TV de pantalla plana, Música / espectáculos en directo, Eventos deportivos en directo (emisión), Parking gratis, Habitaciones sin humo, Playa, Vino / champán, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Escritorio, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Tetera / cafetera, Campo de golf (a menos de 3 km), Habitaciones familiares, Suelo de moqueta",Seaford,Australia,"El Nightcap at The Cheeky Squire se encuentra en Frankston, a 400 metros del centro de artes de Frankston, y cuenta con bar y conexión WiFi gratuita. Este hotel de 3 estrellas dispone de habitaciones con aire acondicionado y baño privado. El hotel alberga un restaurante australiano.

Los alojamientos del hotel están equipados con hervidor de agua. Algunas habitaciones tienen cocina con microondas. Todas las habitaciones del The Cheeky Squire están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

El aeropuerto más cercano es el de Melbourne, ubicado a 58 km."
