hotel,hotel_url,description,popular_facilities,highres_url,city,country
Leonor hospedaje,https://www.booking.com/hotel/ec/leonor-hospedaje.es.html?aid=2410095,"Leonor hospedaje se encuentra en Sigsig, a 37 km de Museo Pumapungo y a 37 km de Río Tomebamba, y ofrece alojamiento con wifi gratis y jardín.

En el camping se puede disfrutar de un desayuno continental.

Casa museo Chahuarchimbana está a 36 km del alojamiento, y Museo de Artes Populares está a 37 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 36 km del alojamiento.","Desayuno, Prohibido fumar en todo el alojamiento, Habitaciones familiares, Español, WiFi gratis, Jardín",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559484927.jpg?k=f52a224f442ebdc09716a4d8cccdddfff67c26361563078267fe36af4845dc51&o=&hp=1,Sigsig,Ecuador
Cabaña Lato_puzhio,https://www.booking.com/hotel/ec/cabana-lato-puzhio.es.html?aid=2410095,"Cabaña Lato_puzhio está en Chordeleg y cuenta con vistas a la montaña, jardín, terraza, bar y zona de barbacoa. El alojamiento dispone de bañera de hidromasaje y bañera de hidromasaje.

Todas las unidades tienen balcón con vistas al jardín y disponen de cocina con nevera y fogones. Hay una zona de estar y de comedor en todas las unidades.

Se puede descubrir la zona practicando senderismo o ciclismo en los alrededores.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 50 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Chimenea, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Senderismo, Suelo de madera o parquet, Vistas, Inglés, Libros, DVD o música para niños, Jardín, Cocina, Ciclismo, Accesible para personas sordas, Vino / champán, Perchero, Equipamiento de bádminton, Información turística, Equipamiento de juegos para exterior, Registro de entrada y salida exprés, Parking gratis, Fogones, Registro de entrada / salida privado, Patio, Tours en bici, Ropa de cama, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Cocina compartida, Ducha, Mesa de comedor, Vistas a un lugar de interés, Enchufe cerca de la cama, Zona de cocina, Barandillas protectoras para bebés, Bañera de hidromasaje / jacuzzi, Zona de pícnic, Barbacoa, Mobiliario exterior, Radio, Tours a pie, Vistas a la montaña, Bañera de hidromasaje, Zona de estar, Llave de acceso, Vistas al jardín, Barandillas de seguridad para bebés, Baño al aire libre, Utensilios de cocina, WC, Zona de comedor exterior, Insonorización, Bar, Zona de comedor, Balcón, Toallas, Lavadora, Habitaciones familiares, Español, Nevera, Artículos de aseo gratis, Aseo compartido, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553056435.jpg?k=102ae5348b35abb7b784271a7a2be6d1beddfe3904071cc763fcb4b3333e9cf3&o=&hp=1,Sigsig,Ecuador
Hospedaje Leonor,https://www.booking.com/hotel/ec/hospedaje-leonor-cuenca.es.html?aid=2410095,"Hospedaje Leonor está en Cuenca, a 37 km de Museo Pumapungo y a 37 km de Río Tomebamba, y ofrece alojamiento con wifi gratis y jardín.

Casa museo Chahuarchimbana está a 36 km del alojamiento, y Museo de Artes Populares está a 37 km. El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 36 km.","Zona de comedor exterior, Jardín, Tetera / cafetera, Prohibido fumar en todo el alojamiento, Zona de comedor, Baño privado, Toallas, Habitaciones familiares, Español, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/547395566.jpg?k=33f878f831263e9f3d82019ec66d988ebdcf1d0970c694681a0264f8376a23df&o=&hp=1,Sigsig,Ecuador
El Castillo de Nallig,https://www.booking.com/hotel/ec/el-castillo-de-nallig-gualaceo.es.html?aid=2410095,"El Castillo de Nallig está en Gualaceo, a 40 km de Museo Pumapungo, y dispone de alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y jardín. El alojamiento ofrece restaurante y también tiene terraza, sauna y bañera de hidromasaje. El bar es ideal para tomar algo.

Algunas de las habitaciones ofrecen cocina con nevera, microondas y minibar.

El hotel ofrece alojamiento de 3 estrellas con centro de spa.

El personal, que habla inglés y español, ofrece consejos en la recepción.

Río Tomebamba está a 41 km del alojamiento, y Casa museo Chahuarchimbana está a 40 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 33 km.","Desayuno, Terraza, Spa y centro de bienestar, Horario de apertura, Piscina climatizada, Baños públicos, Habitaciones sin humo, Parking en la calle, Recepción 24 horas, Cenas temáticas, Inglés, Jardín, Extintores, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Tours en bici, Menús para dietas especiales (bajo petición), Seguridad 24 horas, Detectores de humo, Sauna, Toallas de playa/piscina, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Zona de pícnic, Barbacoa, Mobiliario exterior, Tours a pie, Piscina al aire libre, Minigolf, Llave de acceso, Gimnasio, Para todas las edades, Guardaequipaje, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Abierta todo el año, Habitaciones familiares, Español, Sombrillas, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/404304812.jpg?k=5cf609ca795262236a24e585d7d19fc1116a7d69e083142c66631515fbad7790&o=&hp=1,Sigsig,Ecuador
Quinta Jessenita,https://www.booking.com/hotel/ec/quinta-jessenita.es.html?aid=2410095,"Quinta Jessenita ofrece terraza y vistas al jardín. Está en Chordeleg, a 42 km de Río Tomebamba y a 41 km de Casa museo Chahuarchimbana. El alojamiento, que se encuentra a 41 km de Museo Pumapungo, dispone de jardín y parking privado gratis.

Esta villa de 4 dormitorios ofrece wifi gratis, TV de pantalla plana y cocina con nevera y horno.

Plaza San Blas está a 41 km del alojamiento, y Museo de las culturas aborígenes está a 42 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 39 km.","Secador de pelo, Terraza, Chimenea, Vistas, Jardín, Cocina, Tetera / cafetera, Parking gratis, Fogones, Entrada privada, WiFi gratis, Zona de cocina, Plancha para ropa, Barbacoa, Vistas al jardín, Escritorio, Guardaequipaje, Microondas, TV de pantalla plana, Balcón, Toallas, Español, Nevera, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546309532.jpg?k=c11eb1b75df8bece695cb915945ecc50e06c8d5926a46a0a0514cea3a6bd2f4b&o=&hp=1,Sigsig,Ecuador
Hostería La Travesía Campiña,https://www.booking.com/hotel/ec/hosteria-la-travesia-campina.es.html?aid=2410095,"Hostería La Travesía Campiña está en Cuenca, a 22 km de Museo Pumapungo, y dispone de alojamiento con terraza, parking privado gratis, restaurante y bar. El alojamiento se encuentra a 22 km de Río Tomebamba, a 21 km de Casa museo Chahuarchimbana y a 22 km de Museo de Artes Populares. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

En la posada u hostería, cada habitación está equipada con armario. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas habitaciones también ofrecen vistas a la montaña. En Hostería La Travesía Campiña, las habitaciones están equipadas con TV de pantalla plana y caja fuerte.

El alojamiento ofrece desayuno continental o americano.

Iglesia de Turi está a 22 km del alojamiento, y Museo de las culturas aborígenes está a 22 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 22 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Baño privado, Armario, Traslado aeropuerto, Perchero, Parking gratis, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Traslado aeropuerto (gratis), Bar, Zona de comedor, TV de pantalla plana, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520391458.jpg?k=1348108d2a918065abbc0a9c5e18f7f7f18436788c73cc6af4e2f0a8369d1105&o=&hp=1,Sigsig,Ecuador
Quinta maría isabel. Elegante y restaurada,https://www.booking.com/hotel/ec/quinta-maria-isabel-elegante-y-restaurada.es.html?aid=2410095,"Quinta maría isabel. Elegante y restaurada está a 39 km de Museo Pumapungo y ofrece alojamiento con restaurante, jardín, salón de uso común y terraza. La villa ofrece wifi y parking privado, ambos gratis.

Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En Quinta maría isabel. Elegante y restaurada se sirve cada mañana un desayuno continental.

El alojamiento dispone de zona de juegos infantil.

Río Tomebamba está a 40 km del alojamiento, y Casa museo Chahuarchimbana está a 39 km. El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 36 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Secador de pelo, Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Lavamanos más bajo, Jardín, WC con barras de apoyo, Servicio de limpieza en seco, Equipamiento de juegos para exterior, Parking gratis, Servicio de habitaciones, Proporciona factura, Zona de juegos interior, Mobiliario exterior, Baño al aire libre, Máquina expendedora (bebidas), Restaurante, Barandillas protectoras para bebés, Sala de juegos, Servicio de entrega de comestibles, Cafetería en el alojamiento, Entretenimiento nocturno, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Capilla, WiFi gratis, Enchufe cerca de la cama, Cuerda de emergencia en el baño, Canales por cable, Habitaciones insonorizadas, Vistas a un patio interior, Desayuno en la habitación, Llave de acceso, Habitaciones hipoalergénicas, Escritorio, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Sombrillas, Papel higiénico, Fax / fotocopiadora, Almuerzos para llevar, Adaptado para sillas de ruedas, TV, Armario, Accesible para personas sordas, Servicio de traslado, Artículos de aseo gratis, Seguridad 24 horas, Karaoke, Zona de pícnic, Barbacoa, Productos de limpieza, Guardaequipaje, Apoyo visual: braille, Terraza / solárium, TV de pantalla plana, Toallas, Español, Independiente, Zona de fumadores, Zona de juegos para niños, Recepción 24 horas, Inglés, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Ducha, Servicio de lavandería, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506037459.jpg?k=622ebae219fba9a9a7757b96c79bc13d8e85a7bd50f1f8c1beb68972b018a56c&o=&hp=1,Sigsig,Ecuador
Casa de campo con piscina,https://www.booking.com/hotel/ec/casa-de-campo-con-piscina-cuenca.es.html?aid=2410095,"Casa de campo con piscina, que tiene vistas a la montaña, dispone de alojamiento con salón de uso común y balcón a unos 14 km de Museo Pumapungo. Esta casa o chalet tiene piscina privada, jardín y parking privado gratis.

Esta casa o chalet dispone de 4 dormitorios, cocina con nevera y horno, TV, zona de estar y 5 baños con ducha. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Durante su estancia en la casa o chalet, la clientela puede disfrutar de instalaciones de spa y bienestar como una piscina cubierta y una bañera de hidromasaje.

Río Tomebamba está a 15 km del alojamiento, y Casa museo Chahuarchimbana está a 13 km. El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 12 km.","Piscina interior, Vestidor, Horario de apertura, Independiente, Piscina climatizada, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Vistas a la piscina, Vistas, Jardín, Cocina, TV, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Fogones, Zona TV / salón de uso compartido, Patio, Entrada privada, Acceso a pisos superiores solo mediante escaleras, Artículos de aseo gratis, WiFi gratis, Ducha, Mesa de comedor, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Zona de cocina, Vistas a un lugar de interés, Barbacoa, Productos de limpieza, Radio, Bañera, Sofá, Vistas a un patio interior, Vistas a la montaña, Bañera de hidromasaje, Zona de estar, Vistas al jardín, Para todas las edades, WC, Zona de comedor exterior, Zona de comedor, Abierta todo el año, Balcón, Toallas, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Piscina privada, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561187166.jpg?k=9d9bc142c64537534cde596217a23759931cc587d2eaf11a02e6e0176ecdc330&o=&hp=1,Sigsig,Ecuador
Arhaná Hosteria & Resort,https://www.booking.com/hotel/ec/arhana-hosteria-resort.es.html?aid=2410095,"El Arhaná Hosteria & Resort se encuentra en Gualaceo y ofrece piscina exterior, centro de fitness, restaurante, WiFi gratuita y desayuno buffet La zona comercial está a 4 km.

Las habitaciones del Arhaná Hosteria & Resort ofrecen un ambiente tranquilo y cuentan con baño privado y TV de plasma vía satélite. Algunas tienen bañera de hidromasaje.

El Arhaná Hosteria & Resort alberga jardín y el Mi Kuna Grill and Bar, que sirve carne y marisco. Hay servicio de habitaciones y se ofrece servicio de lavandería bajo petición.

El Arhaná Hosteria & Resort se encuentra a 14 km de Cuenca y a 20 km del aeropuerto Mariscal de Sucre. Hay aparcamiento privado gratuito.","Desayuno, Secador de pelo, Terraza, Supermercado pequeño en el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Baño privado, Jardín, Centro de negocios, Extintores, Hipoalergénico, Hammam, Parking gratis, Parking en un garaje, Servicio de habitaciones, Toallas de playa/piscina, Restaurante, Piscina con vistas, Sala de juegos, Vestidor, Cafetería en el alojamiento, Cenas temáticas, Solárium, Campo de golf (a menos de 3 km), Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Taquillas en el gimnasio / spa, Canales por cable, Piscina al aire libre, Tarjeta de acceso, Desayuno en la habitación, Zona de estar, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Lavadora, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Sombrillas, Piscina climatizada, Parking adaptado para personas de movilidad reducida, Caja fuerte, TV, Armario, Masajes, Servicio de traslado, Seguridad 24 horas, Artículos de aseo gratis, Detectores de humo, Karaoke, Bañera de hidromasaje / jacuzzi, Reloj despertador, Zona de pícnic, Barbacoa, Productos de limpieza, Buffet para niños, Vistas a la montaña, Secadora de ropa, Servicio de planchado, Terraza / solárium, Bar, TV de pantalla plana, Español, Zona de fumadores, Albornoz, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Servicios de belleza, Recepción 24 horas, Inglés, Calefacción, Traslado aeropuerto, Vino / champán, Información turística, Registro de entrada / salida privado, Servicio de conserjería, Fruta, Ducha, Radio, Servicio de despertador, Para todas las edades, Servicio de lavandería, Abierta todo el año, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/58697385.jpg?k=0f8c01f13beb3adc6126cd0214af1059d94b1cf606e74a92583ec82867f1ac2a&o=&hp=1,Sigsig,Ecuador
GZ GUEST HOUSE,https://www.booking.com/hotel/ec/gz-guest-house.es.html?aid=2410095,"GZ GUEST HOUSE se encuentra a 8,8 km de Museo Pumapungo y ofrece alojamiento con wifi gratis y parking privado gratis.

Algunas unidades disponen de balcón y/o patio con vistas a la montaña o a la piscina.

En el apartamento se puede disfrutar de un desayuno a la carta o continental.

Río Tomebamba está a 10 km del alojamiento, y Casa museo Chahuarchimbana está a 8,4 km. El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 6 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Piscina interior, Desayuno, Horario de apertura, Piscina climatizada, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Inglés, Baño privado, Extintores, Traslado aeropuerto, Wifi rápida gratis (63 Mbps), Información turística, Piscina pequeña, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Servicio de traslado, Seguridad 24 horas, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Llave de acceso, Habitaciones hipoalergénicas, Para todas las edades, Guardaequipaje, Servicio de lavandería, Cámaras de seguridad fuera del alojamiento, Abierta todo el año, Habitaciones familiares, Español, Zona poco profunda, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585834426.jpg?k=9ba521435319be85554918758624eb613f6cf37a6001cdcb258411e935f1f0fa&o=&hp=1,Sigsig,Ecuador
