hotel,hotel_url,description,popular_facilities,highres_url,city,country
villa luz de vida,https://www.booking.com/hotel/co/villa-luz-de-vida-silvia.es.html?aid=2410095,"Villa luz de vida se encuentra en Silvia, en la región de Cauca, y ofrece alojamiento con wifi gratis y parking privado gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el bed and breakfast se sirve todas las mañanas un desayuno americano.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 49 km.","Baño privado, Prohibido fumar en todo el alojamiento, Italiano, Wifi buena gratis (19 Mbps), Desayuno, Artículos de aseo gratis, Ducha, Parking gratis, Español, TV, Bañera o ducha, Papel higiénico, Armario, Jardín, Tour o clase sobre cultura local, Toallas, Información turística, Ropa de cama, WC, TV de pantalla plana, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541282952.jpg?k=0c62bb5dc1c3973425f909a533eabb9c44905b2f6cd83b0b596d41225dc86dc5&o=&hp=1,Silvia,Colombia
Posada Turistica Nakku,https://www.booking.com/hotel/co/posada-turistica-nakku.es.html?aid=2410095,"Posada Turistica Nakku se encuentra en Silvia y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la ciudad.

Algunas unidades incluyen TV de pantalla plana por cable, cocina totalmente equipada con nevera y baño privado con ducha y artículos de aseo gratuitos.

El apartahotel ofrece barbacoa.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 48 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Prohibido fumar en todo el alojamiento, Independiente, WiFi gratis, Vistas, Vistas a la ciudad, Vistas a un patio interior, Balcón, Mobiliario exterior, Canales por cable, Servicio de traslado, Vistas a la montaña, Zona de estar, Proporciona factura, Extintores, Zona de comedor exterior, Barbacoa, Vistas al jardín, Enchufe cerca de la cama, Artículos de aseo gratis, Patio, Tours a pie, Habitaciones familiares, Pesca, Entrada privada, Terraza / solárium, Español, TV, Mesa de comedor, Apartamento privado en edificio, Senderismo, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Jardín, Llave de acceso, Tour o clase sobre cultura local, Toallas, Ropa de cama, Zona de comedor, WC, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/276832513.jpg?k=d399e5a6fa8351bb714da7bd6b3cf7bce3f00cf4915d1742e431548c6b02dd84&o=&hp=1,Silvia,Colombia
Cabaña Familiar en Silvia Las Mechitas,https://www.booking.com/hotel/co/cabana-familiar-en-silvia-las-mechitas.es.html?aid=2410095,"Cabaña Familiar en Silvia Las Mechitas, que cuenta con jardín, salón de uso común y terraza, ofrece alojamiento en Silvia con wifi gratis y vistas a la ciudad. Esta casa o chalet dispone de parking privado gratis y servicio de conserjería.

La casa o chalet incluye 3 dormitorios y una cocina con nevera y horno, además de cafetera. Hay toallas y ropa de cama en la casa o chalet.

En la casa o chalet, la clientela puede usar la barbacoa.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 49 km del alojamiento.","Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Vistas, Vistas a la ciudad, Mobiliario exterior, Productos de limpieza, Vistas a la montaña, Extintores, Zona de comedor exterior, Barbacoa, Horno, Vistas al jardín, Enchufe cerca de la cama, Juegos de mesa / puzles, Cafetera, Artículos de aseo gratis, Tetera / cafetera, Fogones, Patio, Tours a pie, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Entrada privada, Parking gratis, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Inglés, Bañera o ducha, Chimenea, Habitaciones sin humo, Papel higiénico, Armario, Zona de pícnic, Nevera, Jardín, Zona de cocina, Servicio de conserjería, Llave de acceso, Toallas, Información turística, Adosado, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582455876.jpg?k=77a2bb47b1bd20283752298a724f89756f1baa6ef361cc8d8889f841599a4406&o=&hp=1,Silvia,Colombia
leremita biohotel,https://www.booking.com/hotel/co/leremita-bio.es.html?aid=2410095,"Leremita biohotel se encuentra en Silvia, en la región de Cauca, y ofrece alojamiento con parking privado gratis.

Las unidades están equipadas con terraza y disponen de TV de pantalla plana y baño privado con ducha y secador de pelo. Algunas unidades incluyen balcón y/o patio con vistas a la piscina.

En el lodge, la clientela puede practicar ciclismo en los alrededores o disfrutar del jardín.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 50 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de streaming (como Netflix), Baño privado, Servicio de planchado, Cenas temáticas, Vistas, Vistas a la ciudad, Spa y centro de bienestar, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Canales por cable, Canales vía satélite, Zona de fumadores, Ciclismo, Servicio de traslado, Fax / fotocopiadora, Vistas a la montaña, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Barbacoa, Vistas al jardín, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Cambio de moneda, Juegos de mesa / puzles, Secador de pelo, Seguridad 24 horas, Peluquería / salón de belleza, Solárium, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Pesca, Parking gratis, Terraza / solárium, Español, TV, Alquiler de bicicletas, Habitaciones hipoalergénicas, Detectores de humo, Caja fuerte, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, TV de pantalla plana, Vino / champán, Servicio de limpieza diario, Bañera de hidromasaje / jacuzzi, Canales de pago, Jardín, Servicio de conserjería, Tour o clase sobre cultura local, Almuerzos para llevar, Tours en bici, Habitaciones insonorizadas, Toallas, Desayuno en la habitación, Minibar, Información turística, Zona de comedor, Balcón, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/353772164.jpg?k=7273b8763af998a32cceeb34a617cf7a98d3d25cb365902a7f726a9062791c23&o=&hp=1,Silvia,Colombia
Alojamiento campestre con hermosas vistas,https://www.booking.com/hotel/co/alojamiento-campestre-con-hermosas-vistas.es.html?aid=2410095,"Alojamiento campestre con hermosas vistas está en Silvia, en la región de Cauca, y tiene balcón y vistas a la montaña. Este alojamiento ofrece parking privado gratis y acceso a una terraza.

Esta casa o chalet de 1 dormitorio ofrece 1 baño con ducha y artículos de aseo gratuitos. El alojamiento ofrece cocina.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 50 km.","Habitaciones comunicadas disponibles, Independiente, Cocina, Vistas, WC, Utensilios de cocina, Baño compartido, Vistas a la montaña, Escritorio, Zona de estar, Barbacoa, Vistas al jardín, Artículos de aseo gratis, Ducha, Vistas al río, Parking gratis, Español, Mesa de comedor, Inglés, Bañera o ducha, Vistas al lago, Chimenea, Papel higiénico, Armario, Zona de cocina, Zona de comedor, Balcón, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523887943.jpg?k=e2287bacc849867c1c3ffba6a67f9490d8a6b4de98b6bd614c04e826d070fafd&o=&hp=1,Silvia,Colombia
Campground Hostal La Bonanza Chez Kika,https://www.booking.com/hotel/co/campground-la-bonanza-chez-kika.es.html?aid=2410095,"Campground Hostal La Bonanza Chez Kika se encuentra en Piendamó y ofrece wifi gratis, jardín, terraza y restaurante.

Algunas unidades también tienen una cocina equipada con horno y tostadora.

El desayuno diario ofrece opciones a la carta, continentales o vegetarianas.

El camping ofrece barbacoa.

Hay una bolera en el propio alojamiento, y cerca se puede practicar senderismo.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 39 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Equipamiento de juegos para exterior, Restaurante, WiFi gratis, Vistas, Mobiliario exterior, Zona de fumadores, Fax / fotocopiadora, Toallas / sábanas (por un suplemento), Proporciona factura, Extintores, Zona de comedor exterior, Equitación, Barbacoa, Vistas al jardín, Árabe, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Francés, Sauna, Estación de carga de vehículos eléctricos, Dardos, Tours a pie, Libros, DVD o música para niños, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Entrada privada, Parking gratis, Terraza / solárium, Clases de cocina, Español, Inglés, Servicio de lavandería, Senderismo, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Bolos, Vino / champán, Máquina expendedora (bebidas), Armario, Jardín, Toda la unidad en la planta baja, Tour o clase sobre cultura local, Toallas, Desayuno en la habitación, Guardaequipaje, Ropa de cama, Información turística, Terraza, Zona de pícnic, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/477450070.jpg?k=78bbd242e37b2b16eb47ee0b5cc9fc96cc64af07ac069e08b74dab8ddcb00803&o=&hp=1,Silvia,Colombia
Hotel Kuácara Campestre,https://www.booking.com/hotel/co/kuacara-campestre-cajibio.es.html?aid=2410095,"Hotel Kuácara Campestre se encuentra en Cajibío y dispone de vistas al jardín, wifi gratis y parking privado gratis.

Hay un baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

El lodge ofrece terraza solárium.

También hay un jardín y un salón de uso común ideales para relajarse.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 22 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, WiFi gratis, Mobiliario exterior, Zona de fumadores, Productos de limpieza, Servicio de traslado, Proporciona factura, Extintores, Vistas al jardín, Desayuno, Artículos de aseo gratis, Seguridad 24 horas, Baños públicos, Tours a pie, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Detectores de humo, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Servicio de limpieza diario, Jardín, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Cafetería en el alojamiento, Toallas, Guardaequipaje, Información turística, Ropa de cama, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/349185882.jpg?k=d4a55d04bcbf0b6ca6462db27788cdeef5fd9ec4ec90b029542b276826de6fea&o=&hp=1,Silvia,Colombia
Villa Campestre Popayan,https://www.booking.com/hotel/co/villa-campestre-popayan.es.html?aid=2410095,"Villa Campestre Popayan se encuentra en Popayán, en la región de Cauca, y dispone de balcón. Este alojamiento ofrece piscina privada, wifi gratis y parking privado gratis.

Esta villa tiene acceso directo a una terraza con vistas al jardín y cuenta con 4 dormitorios y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto Guillermo León Valencia) está a 21 km.","Prohibido fumar en todo el alojamiento, Cocina, Entrada privada, Parking gratis, WiFi gratis, Piscina, Zona de cocina, Barbacoa, Vistas al jardín, Vistas, Español, Inglés, Chimenea, Balcón, Terraza, TV de pantalla plana, Piscina privada",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548229063.jpg?k=ef76396485fc9640d2c594f103f1f5c6fec4697f51523f68a6d52e22c58e290b&o=&hp=1,Silvia,Colombia
Hotel Hacienda Supracafe,https://www.booking.com/hotel/co/hacienda-supracafe.es.html?aid=2410095,"Hotel Hacienda Supracafe tiene jardín, salón de uso común, terraza y restaurante en Popayán. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones cuentan con caja fuerte, y algunas también ofrecen patio. Todas las habitaciones cuentan con nevera.

La zona es ideal para practicar senderismo, y en Hotel Hacienda Supracafe hay alquiler de bicicletas.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 30 km.","Zapatillas, Baño privado, Servicio de planchado, Zona TV / salón de uso compartido, Menú para niños, Vistas a la montaña, Toallas / sábanas (por un suplemento), Proporciona factura, Servicio de despertador, Canguro / servicios para niños, Entrada privada, Plancha para ropa, WC con barras de apoyo, TV, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Protector de enchufes para niños, Almuerzos para llevar, Nevera, Restaurante, Cenas temáticas, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Vistas al jardín, Secador de pelo, Lavamanos más bajo, Tours a pie, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Mesa de comedor, Servicio de lavandería, Senderismo, Traslado aeropuerto, Utensilios de planchado, Servicio de limpieza diario, Jardín, Ropa de cama, Terraza, TV de pantalla plana, Servicio de streaming (como Netflix), Cama plegable, WiFi gratis, Vistas, Mobiliario exterior, Canales por cable, Productos de limpieza, Escritorio, Extintores, Desayuno, Aseo adicional, Enchufe cerca de la cama, Juegos de mesa / puzles, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Capilla, Habitaciones familiares, Suelo de baldosa / mármol, Alquiler de bicicletas, Caja fuerte, Albornoz, Adaptado para sillas de ruedas, Secadora de ropa, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Reloj despertador, Canales de pago, Servicio de conserjería, Llave de acceso, Tour o clase sobre cultura local, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Mosquitera, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Bingo, Artículos de aseo gratis, Perchero, Libros, DVD o música para niños, Centro de negocios, Servicio de despertador / alarma, Chimenea exterior, Armario, Toda la unidad en la planta baja, Minibar, WC, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447787236.jpg?k=de41e0fd33978e5e74799c1f00694e66e5ab1ed9cd6ba1b5e07a617fcd824654&o=&hp=1,Silvia,Colombia
Orion Luxury Lodge,https://www.booking.com/hotel/co/orion-luxury-lodge.es.html?aid=2410095,"Orion Luxury Lodge está en Calibío y ofrece jardín, wifi gratis, servicio de habitaciones y recepción 24 horas. Este alojamiento ofrece parking privado gratis y acceso a un patio.

El lodge dispone de 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas a la montaña.

En el lodge se sirve cada mañana un desayuno continental.

El aeropuerto (Aeropuerto Guillermo León Valencia) está a 18 km.","Servicio de streaming (como Netflix), Baño privado, Bañera de hidromasaje, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Utensilios de cocina, Vistas a la montaña, Escritorio, Extintores, Zona de comedor exterior, Parking en un garaje, Barbacoa, Vistas al jardín, Desayuno, Servicio de despertador, Ventilador, Cafetera, Francés, Artículos de aseo gratis, Perchero, Tetera / cafetera, Seguridad 24 horas, Bar, Recepción 24 horas, Patio, Registro de entrada / salida privado, Muebles de exterior, Ducha, Sofá, Parking gratis, Terraza / solárium, Español, TV, Mesa de comedor, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Armario, Nevera, Jardín, Zona de cocina, Microondas, Alarma de seguridad, Toda la unidad en la planta baja, Toallas, Minibar, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548168461.jpg?k=62eedc22ed6df18b3bf5fd37eef6d714d0e381398ff54cc2e911ecc4bc839255&o=&hp=1,Silvia,Colombia
