hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
City Apartments Wien,US$71,"8,5",Muy bien,35,https://cf.bstatic.com/xdata/images/hotel/max1024x768/507356834.webp?k=31594dec3afe549d015e856ade023a7f44fa99d0ef89252cec553cc50d974b2e&o=,https://www.booking.com/hotel/at/city-apartments-wien-wien.es.html?aid=2410095,"Fogones, Inglés, Servicio de lavandería, Parking privado, Enchufe cerca de la cama, Utensilios de cocina, Zona de cocina, Registro de entrada / salida privado, Secador de pelo, Baño privado, Apartamento privado en edificio, Cocina, Papel higiénico, Extintores, Ascensor, Toda la unidad accesible en silla de ruedas, Registro de entrada y salida exprés, Ducha, Bañera o ducha, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Peluquería / salón de belleza, Llave de acceso, Mesa de comedor, Nevera, Prohibido fumar en todo el alojamiento, Zona de comedor, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Acceso a pisos superiores en ascensor, Vistas, WiFi gratis, Toallas, Habitaciones sin humo, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Zona de estar",Simmering,Austria,"City Apartments Wien está en Viena, a 3 km de Museo de la Historia Militar y a 3,6 km de Palacio Belvedere, y ofrece alojamiento con zona de estar. Hay wifi gratis y parking privado en el propio alojamiento.

Las unidades tienen cocina totalmente equipada con zona de comedor, nevera, hervidor y fogones. Hay un baño privado con ducha y artículos de aseo gratuitos en cada unidad, además de secador de pelo.

Estación Central de Viena está a 3,7 km del alojamiento, y Iglesia de San Carlos Borromeo está a 4,3 km. El aeropuerto (Aeropuerto internacional de Viena) está a 14 km."
Hotel König,US$86,"8,1",Muy bien,1.361,https://cf.bstatic.com/xdata/images/hotel/max1024x768/183263773.webp?k=235445adf31543c90f5cf5ac1569a30c8c467800c6c479bcca3a9c7e1c1e3267&o=,https://www.booking.com/hotel/at/pension-konigs-cafe.es.html?aid=2410095,"Escritorio, Cafetería en el alojamiento, Inglés, Parking en un garaje, Restaurante, Alarma de seguridad, Parking privado, Habitaciones insonorizadas, Árabe, Enchufe cerca de la cama, Bar, Registro de entrada / salida privado, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Aire acondicionado, Canales vía satélite, TV de pantalla plana, Papel higiénico, Extintores, Ascensor, Vistas al jardín, Snack-bar, Hipoalergénico, Caja fuerte, Ducha, Bañera o ducha, Perchero, Alemán, Servicio de traslado, Ropa de cama, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Suelo de baldosa / mármol, Insonorización, Traslado aeropuerto, Proporciona factura, Calefacción, Vistas, Turco, WiFi gratis, Armario, Jardín, Toallas, Habitaciones sin humo, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, WC, Vistas a un patio interior, Muy buen desayuno, Parking adaptado para personas de movilidad reducida",Simmering,Austria,"El Hotel König está a solo 12 minutos en metro del centro de Viena. Ofrece habitaciones modernas, buena cocina y WiFi gratuita en todas las instalaciones.

Todas las habitaciones del König Hotel disponen de baño privado y de TV por cable. Algunas tienen aire acondicionado.

El restaurante sirve platos típicos austriacos y cocina internacional.

El Hotel König está situado a solo 200 metros de la parada Simmering, línea de metro U3, que proporciona conexiones fáciles con todos los lugares de interés de Viena."
Simm's Hotel - cityhotel next to Metro U3,US$120,"8,5",Muy bien,604,https://cf.bstatic.com/xdata/images/hotel/max1024x768/513186590.webp?k=c1edc9ad6497afdd1794e927c6f34b931bad6058bf9faf3a4f4e2dbbdfc6a7c9&o=,https://www.booking.com/hotel/at/simma-s.es.html?aid=2410095,"Radio, Parking en el alojamiento, Cafetería en el alojamiento, Inglés, Parking en un garaje, Servicio de despertador / alarma, Teléfono, Alarma de seguridad, Recepción 24 horas, Habitaciones insonorizadas, Centro de negocios, Bar, Guardaequipaje, Secador de pelo, Baño privado, Servicio de limpieza diario, Aire acondicionado, Canales vía satélite, Alquiler de bicicletas, TV de pantalla plana, Ciclismo, Papel higiénico, Servicio de conserjería, Extintores, Ascensor, Registro de entrada y salida exprés, Cámaras de seguridad en las zonas comunitarias, Hipoalergénico, Adaptado personas de movilidad reducida, Caja fuerte, Suelo de moqueta, Ducha, Bañera o ducha, Habitaciones familiares, Caja fuerte para ordenador portátil, Alemán, Ropa de cama, Tarjeta de acceso, Alquiler de coches, Cajero automático en el hotel, Habitaciones hipoalergénicas, Información turística, Prohibido fumar en todo el alojamiento, Nevera, Insonorización, Calefacción, Minibar, Hervidor eléctrico, Fax / fotocopiadora, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Buen desayuno, Vistas, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Cámaras de seguridad fuera del alojamiento, Reloj despertador, Detectores de humo, WC, Escritorio, Zona de estar",Simmering,Austria,"El Simm's Hotel - cityhotel next to Metro U3 es un establecimiento moderno y elegante situado junto a la estación de Zippererstraße de la línea U3 del metro, que enlaza directamente con la catedral de San Esteban, en el corazón de Viena. Ofrece aparcamiento subterráneo y conexión Wi-Fi gratuita en todo el edificio.

Las habitaciones del Simm's Hotel - cityhotel next to Metro U3 cuentan con aire acondicionado, minibar y TV de pantalla plana con canales vía satélite.

Los fines de semana, el desayuno se sirve hasta el mediodía.

La línea de tranvía 71 para frente al hotel, lleva al palacio de Belvedere en 15 minutos y continúa hasta la Ópera Estatal y el Burgtheater. El Simm's Hotel - cityhotel next to Metro U3 también está bien comunicado con la autopista A23 a través de las salidas Gürtel/Landstraße o St. Marx. Junto al establecimiento hay una parada de taxis."
Plaza Inn Wien Gasometer,US$90,"8,7",Fabuloso,40,https://cf.bstatic.com/xdata/images/hotel/max1024x768/527261410.webp?k=f3823c626f484dd4fead4c3e9fe172f9afe006da45992b4e4afa9f3323a9b0d2&o=,https://www.booking.com/hotel/at/roomz-vienna.es.html?aid=2410095,"Radio, Inglés, Teléfono, Recepción 24 horas, Habitaciones insonorizadas, Enchufe cerca de la cama, Bar, Guardaequipaje, Secador de pelo, Baño privado, Salas de reuniones / banquetes, Vino / champán, Canales vía satélite, Aire acondicionado, TV de pantalla plana, Papel higiénico, Servicio de conserjería, Extintores, Ascensor, Gimnasio, Cámaras de seguridad en las zonas comunitarias, Snack-bar, Adaptado personas de movilidad reducida, Caja fuerte, Habitaciones familiares, Perchero, Desayuno, Alemán, Ropa de cama, Mobiliario exterior, Boles para mascotas, Tarjeta de acceso, Suelo de madera o parquet, Habitaciones hipoalergénicas, Húngaro, Prohibido fumar en todo el alojamiento, Insonorización, Menús para dietas especiales (bajo petición), Traslado aeropuerto, Proporciona factura, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, Vistas, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Bolos, WC, Escritorio",Simmering,Austria,"Located next to the Gasometer City shopping and entertainment centre and only a 2-minute walk from the underground station (U3), Roomz Vienna offers free internet and parking at reasonable rates.

The stylishly furnished rooms all have a private bathroom and a flat-screen cable TV.

The bar is open Tuesday to Saturday form 3 a.m. to 11 p.m.

You can keep in shape in the modern on-site fitness centre.

The PLAZA INN Gasometer hotel is easily reachable via the St. Marx exit of the A23 motorway and via the Alt-Simmering exit of the A4 motorway.

Saint Stephen's Cathedral is reachable within a 10-minute subway ride."
Hahn Hotel Vienna,US$144,"7,7",Bien,466,https://cf.bstatic.com/xdata/images/hotel/max1024x768/78821035.webp?k=4ad62e4996bd721e4a5e91104f9aa5ee6a5155148a460b4e124c068da50acad5&o=,https://www.booking.com/hotel/at/hahn.es.html?aid=2410095,"Inglés, Terraza, Parking en un garaje, Servicio de despertador / alarma, Teléfono, Parking privado, Bar, Guardaequipaje, Secador de pelo, Baño privado, Alquiler de bicicletas, TV de pantalla plana, Papel higiénico, Extintores, Cámaras de seguridad en las zonas comunitarias, Ascensor, Registro de entrada y salida exprés, Caja fuerte, Ducha, Máquina expendedora (bebidas), Bañera o ducha, Alemán, Ropa de cama, Mobiliario exterior, Llave de acceso, Habitaciones hipoalergénicas, Prohibido fumar en todo el alojamiento, Calefacción, Artículos de aseo gratis, Acceso a pisos superiores en ascensor, Buen desayuno, WiFi gratis, Armario, Jardín, Toallas, Habitaciones sin humo, TV, Detectores de humo, WC, Escritorio, Servicio de despertador",Simmering,Austria,"El Hahn Hotel Vienna está situado en el distrito 11 de Viena, a solo 12 minutos en metro de la catedral de San Esteban. Las habitaciones tienen WiFi gratuita.

Cerca del hotel hay un centro de fitness a disposición de los huéspedes.

La parada de Enkplatz de la línea U3 de metro está a 5 minutos a pie. El palacio Belvedere se encuentra a 15 minutos en tranvía.

En la recepción, se pueden reservar paseos en un Fiaker tradicional (carruaje tirado por caballos) a precios reducidos."
The Luxury Loft Vienna,US$96,"8,8",Fabuloso,137,https://cf.bstatic.com/xdata/images/hotel/max1024x768/285227883.webp?k=24cdb772310cb899eead138b05010e3bebe00ae6702bf4f916479fe67f6abfc8&o=,https://www.booking.com/hotel/at/the-secret-loft-vienna.es.html?aid=2410095,"Fogones, Inglés, Terraza, Zona de juegos para niños, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Lavavajillas, Secador de pelo, Baño privado, TV de pantalla plana, Apartamento privado en edificio, Cocina, Papel higiénico, Tostadora, Registro de entrada y salida exprés, Ducha, Bañera o ducha, Perchero, Alemán, Ropa de cama, Supermercado pequeño en el alojamiento, Zapatillas, Senderismo, Cafetera, Microondas, Parking en la calle, Servicio de entrega de comestibles, Húngaro, Vistas a un patio interior, Mesa de comedor, Nevera, Prohibido fumar en todo el alojamiento, Lavadora, Zona de comedor, Proporciona factura, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Entrada privada, Tetera / cafetera, Zona de comedor exterior, Servicio de streaming (como Netflix), Zona de fumadores, WiFi gratis, Armario, Libros, DVD o música para niños, Parking gratis, Habitaciones sin humo, Toallas, TV, Sofá, Detectores de humo, Tendedero, WC, Sofá cama, Independiente, Escritorio, Zona de estar",Simmering,Austria,"The Luxury Loft Vienna está a 3,6 km de Museo de la Historia Militar y a 4,2 km de Palacio Belvedere, y ofrece wifi gratis y terraza. Este apartamento está a 4,4 km de Estación Central de Viena y a 4,6 km de Iglesia de San Carlos Borromeo.

Este apartamento consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

El apartamento dispone de zona de juegos infantil.

Sala de conciertos Musikverein está a 4,7 km del alojamiento, y Estadio Ernst Happel está a 4,8 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 14 km del alojamiento."
Enjoy Vienna,US$103,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/max1024x768/531128899.webp?k=e7969667fe05ea376e80fad269eba891f755a0a6834ab1597741852ef76836b2&o=,https://www.booking.com/hotel/at/enjoy-vienna-wien.es.html?aid=2410095,"Bañera, Fogones, Inglés, Parking privado, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Guardaequipaje, Lavavajillas, Secador de pelo, Baño privado, Trona, Apartamento privado en edificio, Cocina, Papel higiénico, Extintores, Ascensor, Alemán, Ropa de cama, Detector de monóxido de carbono, Cafetera, Microondas, Mesa de comedor, Nevera, Prohibido fumar en todo el alojamiento, Zona de comedor, Calefacción, Tetera / cafetera, Hervidor eléctrico, Entrada privada, Plancha para ropa, Acceso a pisos superiores en ascensor, WiFi gratis, Toallas, Detectores de humo, Independiente, Zona de estar",Simmering,Austria,"Enjoy Vienna se encuentra en el barrio de Simmering, en Viena, a 4 km de Palacio Belvedere, a 4,2 km de Estación Central de Viena y a 5,2 km de Iglesia de San Carlos Borromeo. El alojamiento está a 3,4 km de Museo de la Historia Militar y ofrece parking privado en el propio alojamiento y wifi gratis.

Este apartamento consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bañera y secador de pelo. Hay toallas y ropa de cama en el apartamento.

Sala de conciertos Musikverein está a 5,3 km del alojamiento, y Casa de la Música está a 5,4 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 11 km."
Exquisit Apartment Simmering,US$103,"8,9",Fabuloso,192,https://cf.bstatic.com/xdata/images/hotel/max1024x768/326654370.webp?k=92d6e059960f4047db9bbcf2df65cf191d81e4eae2eea2440402332b7e669992&o=,https://www.booking.com/hotel/at/exquisit-apartment-simmering.es.html?aid=2410095,"Bañera, Fogones, Inglés, Terraza, Habitaciones insonorizadas, Horno, Utensilios de cocina, Zona de cocina, Enchufe cerca de la cama, Secador de pelo, Baño privado, Canales vía satélite, TV de pantalla plana, Apartamento privado en edificio, Adaptado para sillas de ruedas, Cocina, Papel higiénico, Ascensor, Registro de entrada y salida exprés, Vistas al jardín, Hipoalergénico, Adaptado personas de movilidad reducida, Chino, Bañera o ducha, Perchero, Balcón, Alemán, Ropa de cama, Suelo de madera o parquet, Mobiliario exterior, Detector de monóxido de carbono, Productos de limpieza, Cafetera, Mesa de comedor, Nevera, Suelo de baldosa / mármol, Prohibido fumar en todo el alojamiento, Zona de comedor, Canales por cable, Calefacción, Artículos de aseo gratis, Hervidor eléctrico, Entrada privada, Acceso a pisos superiores en ascensor, Zona de comedor exterior, Tetera / cafetera, Vistas, WiFi gratis, Armario, Toallas, Habitaciones sin humo, TV, Sofá, WC, Sofá cama, Independiente, Zona de estar",Simmering,Austria,"Exquisit Apartment Simmering, que cuenta con vistas al jardín, ofrece alojamiento con terraza y balcón a unos 3,7 km de Museo de la Historia Militar. Este apartamento ofrece wifi gratis y se encuentra a 4,3 km de Palacio Belvedere y a 4,5 km de Estación Central de Viena.

Este apartamento consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bañera y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Iglesia de San Carlos Borromeo está a 4,7 km del alojamiento, y Sala de conciertos Musikverein está a 4,8 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 14 km."
Liv's place,US$74,"9,2",Fantástico,1.415,https://cf.bstatic.com/xdata/images/hotel/max1024x768/399545011.webp?k=a40de80a562316c8dadeb682e9c06f68359d7adad7cd20d4aa958915a81764e5&o=,https://www.booking.com/hotel/at/livs-place-wien.es.html?aid=2410095,"Calefacción, Tarjeta de acceso, Inglés, Cámaras de seguridad en las zonas comunitarias, Ascensor, WiFi gratis, Registro de entrada y salida exprés, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Detectores de humo, Registro de entrada / salida privado, Baño privado, Habitaciones familiares, Alemán, Proporciona factura",Simmering,Austria,"Liv's place está en Viena y dispone de vistas a la ciudad y wifi gratis a 2,8 km de Museo de la Historia Militar y a 3,3 km de Palacio Belvedere.

Algunas unidades tienen TV de pantalla plana vía satélite, cocina totalmente equipada con nevera y baño privado con bañera y secador de pelo.

Estación Central de Viena está a 3,6 km del alojamiento, y Iglesia de San Carlos Borromeo está a 3,9 km. El aeropuerto (Aeropuerto internacional de Viena) está a 14 km."
70m² großes Apartment mit Gartenzugang,US$91,"9,6",Excepcional,72,https://cf.bstatic.com/xdata/images/hotel/max1024x768/115935966.webp?k=e9078971ac98c3697da4f6ad03905545a1a59582586b62829c5078190c949f1f&o=,https://www.booking.com/hotel/at/70m2-grosses-apartment-mit-gartenzugang.es.html?aid=2410095,"Chimenea, Fogones, Juegos de mesa / puzles, Papel higiénico, Ping pong, Senderismo, Mesa de comedor, Chimenea exterior, Armario, Habitaciones sin humo, Reloj despertador, Sofá, Utensilios de cocina, Baño privado, Secadora de ropa, Ciclismo, Extintores, Bañera o ducha, Alemán, Boles para mascotas, Cafetera, Nevera, Zona de comedor, Entrada privada, Terraza / solárium, Sofá cama, Vistas a un patio interior, Bañera, Inglés, Zona de juegos para niños, Sombrillas, Horno, Enchufe cerca de la cama, Guardaequipaje, Lavavajillas, Secador de pelo, Apartamento privado en edificio, Cocina, Suelo de moqueta, Habitaciones familiares, Ropa de cama, Aseo adicional, Mobiliario exterior, Zona de pícnic, Lavadora, Tetera / cafetera, Hervidor eléctrico, Zona de comedor exterior, Vistas, Cama plegable, Jardín, Toallas, TV, Tendedero, WC, Escritorio, Zona de estar, Radio, Terraza, Equipamiento de juegos para exterior, Canales vía satélite, TV de pantalla plana, Utensilios de planchado, Barbacoa, Tostadora, Vistas al jardín, Caja fuerte, Cesta para mascotas, Perchero, Patio, Suelo de madera o parquet, Productos de limpieza, Llave de acceso, Microondas, Suelo de baldosa / mármol, Toda la unidad en la planta baja, Proporciona factura, Calefacción, Plancha para ropa, Zona de fumadores, WiFi gratis",Simmering,Austria,"70m² großes Apartment mit Gartenzugang ofrece jardín y wifi gratis, y se encuentra en el barrio de Simmering, en Viena, a 2,4 km de Museo de la Historia Militar. El apartamento, que cuenta con patio, está en una zona en la que se pueden practicar actividades como senderismo, ciclismo y ping pong.

El apartamento cuenta con terraza y vistas al jardín, y dispone de 1 dormitorio, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y lavavajillas, y 1 baño con bañera. Hay toallas y ropa de cama en el apartamento.

El apartamento ofrece zona de juegos infantil y barbacoa.

Palacio Belvedere está a 2,8 km del alojamiento, y Estación Central de Viena está a 3,2 km. El aeropuerto más cercano (Aeropuerto internacional de Viena) está a 16 km."
